# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,14,17,14,17,20,23,20,23,18,17,24,28,26,25,6,
(18,4),-1.60679 # DEPENDENCYPART_ARC
(18,5),-2.85076 # DEPENDENCYPART_ARC
(18,6),-1.84647 # DEPENDENCYPART_ARC
(18,7),-1.43509 # DEPENDENCYPART_ARC
(18,8),-1.12235 # DEPENDENCYPART_ARC
(18,9),-1.14373 # DEPENDENCYPART_ARC
(18,10),-1.05053 # DEPENDENCYPART_ARC
(18,11),-1.48899 # DEPENDENCYPART_ARC
(18,12),-0.773423 # DEPENDENCYPART_ARC
(18,13),-0.680017 # DEPENDENCYPART_ARC
(18,14),-0.805448 # DEPENDENCYPART_ARC
(18,15),-0.178837 # DEPENDENCYPART_ARC
(18,16),1.12036 # DEPENDENCYPART_ARC
(18,17),0.573689 # DEPENDENCYPART_ARC
(18,19),0.310911 # DEPENDENCYPART_ARC
(18,20),2.06771 # DEPENDENCYPART_ARC
(18,21),0.280324 # DEPENDENCYPART_ARC
(18,22),1.5267 # DEPENDENCYPART_ARC
(18,23),2.30076 # DEPENDENCYPART_ARC
(18,24),0.220731 # DEPENDENCYPART_ARC
(18,25),0.228735 # DEPENDENCYPART_ARC
(18,26),-2.17642 # DEPENDENCYPART_ARC
(18,27),-0.8536 # DEPENDENCYPART_ARC
(18,28),0.0138285 # DEPENDENCYPART_ARC
(18,29),0.0106796 # DEPENDENCYPART_ARC
(19,1),-3.86758 # DEPENDENCYPART_ARC
(19,2),-3.66324 # DEPENDENCYPART_ARC
(19,3),-3.83113 # DEPENDENCYPART_ARC
(19,4),-3.42343 # DEPENDENCYPART_ARC
(19,5),-4.16715 # DEPENDENCYPART_ARC
(19,6),-3.49316 # DEPENDENCYPART_ARC
(19,7),-3.6153 # DEPENDENCYPART_ARC
(19,8),-3.5249 # DEPENDENCYPART_ARC
(19,9),-3.25798 # DEPENDENCYPART_ARC
(19,10),-3.03369 # DEPENDENCYPART_ARC
(19,11),-3.38303 # DEPENDENCYPART_ARC
(19,12),-2.54183 # DEPENDENCYPART_ARC
(19,13),-2.78289 # DEPENDENCYPART_ARC
(19,14),-2.64078 # DEPENDENCYPART_ARC
(19,15),-2.17543 # DEPENDENCYPART_ARC
(19,16),-1.06893 # DEPENDENCYPART_ARC
(19,17),-2.01956 # DEPENDENCYPART_ARC
(19,18),-1.07457 # DEPENDENCYPART_ARC
(19,20),-0.233552 # DEPENDENCYPART_ARC
(19,21),-1.16171 # DEPENDENCYPART_ARC
(19,22),-1.26024 # DEPENDENCYPART_ARC
(19,23),-1.45791 # DEPENDENCYPART_ARC
(19,24),-2.02931 # DEPENDENCYPART_ARC
(19,25),-2.19765 # DEPENDENCYPART_ARC
(19,26),-1.95586 # DEPENDENCYPART_ARC
(19,27),-2.7682 # DEPENDENCYPART_ARC
(19,28),-2.67446 # DEPENDENCYPART_ARC
(19,29),-2.01327 # DEPENDENCYPART_ARC
(20,1),-3.27317 # DEPENDENCYPART_ARC
(20,2),-3.93642 # DEPENDENCYPART_ARC
(20,3),-1.03241 # DEPENDENCYPART_ARC
(20,4),-2.5668 # DEPENDENCYPART_ARC
(20,5),-4.8875 # DEPENDENCYPART_ARC
(20,6),-2.66208 # DEPENDENCYPART_ARC
(20,7),-2.91448 # DEPENDENCYPART_ARC
(20,8),-3.21268 # DEPENDENCYPART_ARC
(20,9),-4.05769 # DEPENDENCYPART_ARC
(20,10),-2.21702 # DEPENDENCYPART_ARC
(20,11),-3.91153 # DEPENDENCYPART_ARC
(20,12),-0.971979 # DEPENDENCYPART_ARC
(20,13),-1.22055 # DEPENDENCYPART_ARC
(20,14),-2.44062 # DEPENDENCYPART_ARC
(20,15),-0.816523 # DEPENDENCYPART_ARC
(20,16),0.436323 # DEPENDENCYPART_ARC
(20,17),-0.0803875 # DEPENDENCYPART_ARC
(20,18),0.258382 # DEPENDENCYPART_ARC
(20,19),4.96699 # DEPENDENCYPART_ARC
(20,21),4.27865 # DEPENDENCYPART_ARC
(20,22),0.72516 # DEPENDENCYPART_ARC
(20,23),0.430056 # DEPENDENCYPART_ARC
(20,24),0.374516 # DEPENDENCYPART_ARC
(20,25),-0.137087 # DEPENDENCYPART_ARC
(20,26),0.104621 # DEPENDENCYPART_ARC
(20,27),1.04011 # DEPENDENCYPART_ARC
(20,28),-1.13928 # DEPENDENCYPART_ARC
(20,29),-0.617474 # DEPENDENCYPART_ARC
(21,1),-3.93014 # DEPENDENCYPART_ARC
(21,2),-2.40636 # DEPENDENCYPART_ARC
(21,3),-2.29625 # DEPENDENCYPART_ARC
(21,4),-3.25239 # DEPENDENCYPART_ARC
(21,5),-3.38821 # DEPENDENCYPART_ARC
(21,6),-2.36782 # DEPENDENCYPART_ARC
(21,7),-1.54652 # DEPENDENCYPART_ARC
(21,8),-1.4956 # DEPENDENCYPART_ARC
(21,9),-1.56528 # DEPENDENCYPART_ARC
(21,10),-1.44256 # DEPENDENCYPART_ARC
(21,11),-2.23927 # DEPENDENCYPART_ARC
(21,12),-1.65093 # DEPENDENCYPART_ARC
(21,13),-1.00463 # DEPENDENCYPART_ARC
(21,14),-1.01844 # DEPENDENCYPART_ARC
(21,15),-0.467839 # DEPENDENCYPART_ARC
(21,16),0.068982 # DEPENDENCYPART_ARC
(21,17),-0.823692 # DEPENDENCYPART_ARC
(21,18),-0.361165 # DEPENDENCYPART_ARC
(21,19),1.22619 # DEPENDENCYPART_ARC
(21,20),0.185448 # DEPENDENCYPART_ARC
(21,22),-0.490702 # DEPENDENCYPART_ARC
(21,23),-1.07082 # DEPENDENCYPART_ARC
(21,24),-1.79001 # DEPENDENCYPART_ARC
(21,25),-1.35737 # DEPENDENCYPART_ARC
(21,26),-1.9642 # DEPENDENCYPART_ARC
(21,27),-1.92713 # DEPENDENCYPART_ARC
(21,28),-2.68047 # DEPENDENCYPART_ARC
(21,29),-1.94121 # DEPENDENCYPART_ARC
(22,1),-3.93728 # DEPENDENCYPART_ARC
(22,2),-6.89716 # DEPENDENCYPART_ARC
(22,3),-2.47576 # DEPENDENCYPART_ARC
(22,4),-3.2908 # DEPENDENCYPART_ARC
(22,5),-5.0643 # DEPENDENCYPART_ARC
(22,6),-3.41852 # DEPENDENCYPART_ARC
(22,7),-3.68475 # DEPENDENCYPART_ARC
(22,8),-4.24262 # DEPENDENCYPART_ARC
(22,9),-4.93375 # DEPENDENCYPART_ARC
(22,10),-2.62699 # DEPENDENCYPART_ARC
(22,11),-4.55446 # DEPENDENCYPART_ARC
(22,12),-1.67679 # DEPENDENCYPART_ARC
(22,13),-2.10015 # DEPENDENCYPART_ARC
(22,14),-3.28337 # DEPENDENCYPART_ARC
(22,15),-1.7134 # DEPENDENCYPART_ARC
(22,16),-0.923611 # DEPENDENCYPART_ARC
(22,17),-1.34595 # DEPENDENCYPART_ARC
(22,18),-1.16725 # DEPENDENCYPART_ARC
(22,19),0.393358 # DEPENDENCYPART_ARC
(22,20),2.9394 # DEPENDENCYPART_ARC
(22,21),0.611486 # DEPENDENCYPART_ARC
(22,23),0.653719 # DEPENDENCYPART_ARC
(22,24),-0.162085 # DEPENDENCYPART_ARC
(22,25),-0.472824 # DEPENDENCYPART_ARC
(22,26),-0.508462 # DEPENDENCYPART_ARC
(22,27),-0.107634 # DEPENDENCYPART_ARC
(22,28),-1.32278 # DEPENDENCYPART_ARC
(22,29),-0.738863 # DEPENDENCYPART_ARC
(23,1),-2.82401 # DEPENDENCYPART_ARC
(23,2),-4.30994 # DEPENDENCYPART_ARC
(23,3),-0.624786 # DEPENDENCYPART_ARC
(23,4),-2.29706 # DEPENDENCYPART_ARC
(23,5),-3.45684 # DEPENDENCYPART_ARC
(23,6),-2.18814 # DEPENDENCYPART_ARC
(23,7),-2.56199 # DEPENDENCYPART_ARC
(23,8),-2.93608 # DEPENDENCYPART_ARC
(23,9),-3.85551 # DEPENDENCYPART_ARC
(23,10),-1.17048 # DEPENDENCYPART_ARC
(23,11),-3.04099 # DEPENDENCYPART_ARC
(23,12),-0.855577 # DEPENDENCYPART_ARC
(23,13),-0.650471 # DEPENDENCYPART_ARC
(23,14),-1.94432 # DEPENDENCYPART_ARC
(23,15),-0.456622 # DEPENDENCYPART_ARC
(23,16),0.473638 # DEPENDENCYPART_ARC
(23,17),-0.276123 # DEPENDENCYPART_ARC
(23,18),-0.322012 # DEPENDENCYPART_ARC
(23,19),2.82586 # DEPENDENCYPART_ARC
(23,20),4.49667 # DEPENDENCYPART_ARC
(23,21),1.5602 # DEPENDENCYPART_ARC
(23,22),4.24252 # DEPENDENCYPART_ARC
(23,24),1.7604 # DEPENDENCYPART_ARC
(23,25),0.963742 # DEPENDENCYPART_ARC
(23,26),0.937563 # DEPENDENCYPART_ARC
(23,27),1.36716 # DEPENDENCYPART_ARC
(23,28),-0.0548077 # DEPENDENCYPART_ARC
(23,29),0.459803 # DEPENDENCYPART_ARC
(24,1),-2.37974 # DEPENDENCYPART_ARC
(24,2),-0.727076 # DEPENDENCYPART_ARC
(24,3),-2.39555 # DEPENDENCYPART_ARC
(24,4),-1.31126 # DEPENDENCYPART_ARC
(24,5),-2.45973 # DEPENDENCYPART_ARC
(24,6),-1.84528 # DEPENDENCYPART_ARC
(24,7),-0.910415 # DEPENDENCYPART_ARC
(24,8),-0.770413 # DEPENDENCYPART_ARC
(24,9),-0.800247 # DEPENDENCYPART_ARC
(24,10),-1.13877 # DEPENDENCYPART_ARC
(24,11),-1.54741 # DEPENDENCYPART_ARC
(24,12),-0.937369 # DEPENDENCYPART_ARC
(24,13),-0.300398 # DEPENDENCYPART_ARC
(24,14),-0.374289 # DEPENDENCYPART_ARC
(24,15),-0.715744 # DEPENDENCYPART_ARC
(24,16),0.495414 # DEPENDENCYPART_ARC
(24,17),-0.256536 # DEPENDENCYPART_ARC
(24,18),0.159636 # DEPENDENCYPART_ARC
(24,19),0.132544 # DEPENDENCYPART_ARC
(24,20),0.919608 # DEPENDENCYPART_ARC
(24,21),0.784661 # DEPENDENCYPART_ARC
(24,22),0.383126 # DEPENDENCYPART_ARC
(24,23),1.01489 # DEPENDENCYPART_ARC
(24,25),3.81041 # DEPENDENCYPART_ARC
(24,26),0.448781 # DEPENDENCYPART_ARC
(24,27),0.513698 # DEPENDENCYPART_ARC
(24,28),1.29404 # DEPENDENCYPART_ARC
(24,29),-0.0111508 # DEPENDENCYPART_ARC
(25,1),-1.40432 # DEPENDENCYPART_ARC
(25,2),-1.40313 # DEPENDENCYPART_ARC
(25,3),-1.39667 # DEPENDENCYPART_ARC
(25,4),-1.71766 # DEPENDENCYPART_ARC
(25,5),-1.56999 # DEPENDENCYPART_ARC
(25,6),-1.04059 # DEPENDENCYPART_ARC
(25,7),-1.08874 # DEPENDENCYPART_ARC
(25,8),-1.2579 # DEPENDENCYPART_ARC
(25,9),-1.34357 # DEPENDENCYPART_ARC
(25,10),-0.825374 # DEPENDENCYPART_ARC
(25,11),-0.951353 # DEPENDENCYPART_ARC
(25,12),-1.03909 # DEPENDENCYPART_ARC
(25,13),-0.660608 # DEPENDENCYPART_ARC
(25,14),-0.914488 # DEPENDENCYPART_ARC
(25,15),-0.617407 # DEPENDENCYPART_ARC
(25,16),1.04573 # DEPENDENCYPART_ARC
(25,17),-0.499298 # DEPENDENCYPART_ARC
(25,18),0.254351 # DEPENDENCYPART_ARC
(25,19),0.427167 # DEPENDENCYPART_ARC
(25,20),0.273832 # DEPENDENCYPART_ARC
(25,21),0.214387 # DEPENDENCYPART_ARC
(25,22),0.820739 # DEPENDENCYPART_ARC
(25,23),0.631364 # DEPENDENCYPART_ARC
(25,24),1.77948 # DEPENDENCYPART_ARC
(25,26),2.60606 # DEPENDENCYPART_ARC
(25,27),1.41924 # DEPENDENCYPART_ARC
(25,28),3.01182 # DEPENDENCYPART_ARC
(25,29),-0.0464884 # DEPENDENCYPART_ARC
(26,1),-4.13495 # DEPENDENCYPART_ARC
(26,2),-9.39539 # DEPENDENCYPART_ARC
(26,3),-4.09876 # DEPENDENCYPART_ARC
(26,4),-4.00024 # DEPENDENCYPART_ARC
(26,5),-8.93308 # DEPENDENCYPART_ARC
(26,6),-5.27955 # DEPENDENCYPART_ARC
(26,7),-7.98529 # DEPENDENCYPART_ARC
(26,8),-8.07348 # DEPENDENCYPART_ARC
(26,9),-8.81174 # DEPENDENCYPART_ARC
(26,10),-5.05698 # DEPENDENCYPART_ARC
(26,11),-8.05281 # DEPENDENCYPART_ARC
(26,12),-2.76255 # DEPENDENCYPART_ARC
(26,13),-6.01292 # DEPENDENCYPART_ARC
(26,14),-7.00867 # DEPENDENCYPART_ARC
(26,15),-4.42052 # DEPENDENCYPART_ARC
(26,16),-3.06192 # DEPENDENCYPART_ARC
(26,17),-3.62367 # DEPENDENCYPART_ARC
(26,18),-4.32032 # DEPENDENCYPART_ARC
(26,19),-2.36699 # DEPENDENCYPART_ARC
(26,20),-2.08579 # DEPENDENCYPART_ARC
(26,21),-2.54413 # DEPENDENCYPART_ARC
(26,22),-2.67592 # DEPENDENCYPART_ARC
(26,23),-3.28459 # DEPENDENCYPART_ARC
(26,24),-1.62388 # DEPENDENCYPART_ARC
(26,25),-0.439785 # DEPENDENCYPART_ARC
(26,27),3.71518 # DEPENDENCYPART_ARC
(26,28),0.0762798 # DEPENDENCYPART_ARC
(26,29),-0.227175 # DEPENDENCYPART_ARC
(27,1),-5.14523 # DEPENDENCYPART_ARC
(27,2),-3.40861 # DEPENDENCYPART_ARC
(27,3),-3.24272 # DEPENDENCYPART_ARC
(27,4),-4.65318 # DEPENDENCYPART_ARC
(27,5),-4.50313 # DEPENDENCYPART_ARC
(27,6),-3.37059 # DEPENDENCYPART_ARC
(27,7),-2.65953 # DEPENDENCYPART_ARC
(27,8),-2.60783 # DEPENDENCYPART_ARC
(27,9),-2.60559 # DEPENDENCYPART_ARC
(27,10),-2.25295 # DEPENDENCYPART_ARC
(27,11),-3.48743 # DEPENDENCYPART_ARC
(27,12),-2.83015 # DEPENDENCYPART_ARC
(27,13),-2.29833 # DEPENDENCYPART_ARC
(27,14),-2.28246 # DEPENDENCYPART_ARC
(27,15),-1.36347 # DEPENDENCYPART_ARC
(27,16),-1.3154 # DEPENDENCYPART_ARC
(27,17),-1.86456 # DEPENDENCYPART_ARC
(27,18),-1.70182 # DEPENDENCYPART_ARC
(27,19),-0.568788 # DEPENDENCYPART_ARC
(27,20),-2.04734 # DEPENDENCYPART_ARC
(27,21),-1.06159 # DEPENDENCYPART_ARC
(27,22),-1.44319 # DEPENDENCYPART_ARC
(27,23),-1.14938 # DEPENDENCYPART_ARC
(27,24),-0.658308 # DEPENDENCYPART_ARC
(27,25),-0.0722203 # DEPENDENCYPART_ARC
(27,26),-0.00767274 # DEPENDENCYPART_ARC
(27,28),-0.155465 # DEPENDENCYPART_ARC
(27,29),-0.88383 # DEPENDENCYPART_ARC
(28,1),-1.635 # DEPENDENCYPART_ARC
(28,2),-7.11093 # DEPENDENCYPART_ARC
(28,3),-2.19614 # DEPENDENCYPART_ARC
(28,4),-1.59907 # DEPENDENCYPART_ARC
(28,5),-2.45142 # DEPENDENCYPART_ARC
(28,6),-1.73561 # DEPENDENCYPART_ARC
(28,7),-2.14179 # DEPENDENCYPART_ARC
(28,8),-2.15127 # DEPENDENCYPART_ARC
(28,9),-2.90898 # DEPENDENCYPART_ARC
(28,10),-0.77064 # DEPENDENCYPART_ARC
(28,11),-2.69205 # DEPENDENCYPART_ARC
(28,12),-1.21687 # DEPENDENCYPART_ARC
(28,13),-0.368793 # DEPENDENCYPART_ARC
(28,14),-1.60388 # DEPENDENCYPART_ARC
(28,15),-0.636747 # DEPENDENCYPART_ARC
(28,16),-0.760292 # DEPENDENCYPART_ARC
(28,17),-1.01238 # DEPENDENCYPART_ARC
(28,18),-1.15957 # DEPENDENCYPART_ARC
(28,19),-1.04711 # DEPENDENCYPART_ARC
(28,20),2.62593 # DEPENDENCYPART_ARC
(28,21),-0.458937 # DEPENDENCYPART_ARC
(28,22),0.928665 # DEPENDENCYPART_ARC
(28,23),0.151477 # DEPENDENCYPART_ARC
(28,24),0.00356267 # DEPENDENCYPART_ARC
(28,25),0.962567 # DEPENDENCYPART_ARC
(28,26),4.62433 # DEPENDENCYPART_ARC
(28,27),1.55683 # DEPENDENCYPART_ARC
(28,29),0.567687 # DEPENDENCYPART_ARC
(29,1),-4.01864 # DEPENDENCYPART_ARC
(29,2),-3.27279 # DEPENDENCYPART_ARC
(29,3),-2.22713 # DEPENDENCYPART_ARC
(29,4),-4.10517 # DEPENDENCYPART_ARC
(29,5),-2.95195 # DEPENDENCYPART_ARC
(29,6),-2.73262 # DEPENDENCYPART_ARC
(29,7),-2.67357 # DEPENDENCYPART_ARC
(29,8),-2.73946 # DEPENDENCYPART_ARC
(29,9),-2.7118 # DEPENDENCYPART_ARC
(29,10),-1.71619 # DEPENDENCYPART_ARC
(29,11),-2.4272 # DEPENDENCYPART_ARC
(29,12),-2.57429 # DEPENDENCYPART_ARC
(29,13),-2.2109 # DEPENDENCYPART_ARC
(29,14),-2.3331 # DEPENDENCYPART_ARC
(29,15),-1.03169 # DEPENDENCYPART_ARC
(29,16),-1.30562 # DEPENDENCYPART_ARC
(29,17),-0.869815 # DEPENDENCYPART_ARC
(29,18),-1.82489 # DEPENDENCYPART_ARC
(29,19),-1.39511 # DEPENDENCYPART_ARC
(29,20),-1.65289 # DEPENDENCYPART_ARC
(29,21),-1.7763 # DEPENDENCYPART_ARC
(29,22),-1.31622 # DEPENDENCYPART_ARC
(29,23),-1.38265 # DEPENDENCYPART_ARC
(29,24),-1.68317 # DEPENDENCYPART_ARC
(29,25),-1.43629 # DEPENDENCYPART_ARC
(29,26),-1.11496 # DEPENDENCYPART_ARC
(29,27),-1.30706 # DEPENDENCYPART_ARC
(29,28),-1.51496 # DEPENDENCYPART_ARC
