# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(19,14),-1.65526 # DEPENDENCYPART_ARC
(19,15),-1.30978 # DEPENDENCYPART_ARC
(19,16),-1.42149 # DEPENDENCYPART_ARC
(19,17),-1.22658 # DEPENDENCYPART_ARC
(19,18),-0.190344 # DEPENDENCYPART_ARC
(19,20),-0.0361468 # DEPENDENCYPART_ARC
(19,21),-0.57471 # DEPENDENCYPART_ARC
(19,22),-0.815152 # DEPENDENCYPART_ARC
(19,23),-0.973136 # DEPENDENCYPART_ARC
(19,24),-1.43687 # DEPENDENCYPART_ARC
(19,25),-1.93347 # DEPENDENCYPART_ARC
(19,26),-2.02719 # DEPENDENCYPART_ARC
(19,27),-1.05854 # DEPENDENCYPART_ARC
(20,1),-1.95301 # DEPENDENCYPART_ARC
(20,2),-2.94269 # DEPENDENCYPART_ARC
(20,3),-2.86029 # DEPENDENCYPART_ARC
(20,4),-2.83998 # DEPENDENCYPART_ARC
(20,5),-2.79357 # DEPENDENCYPART_ARC
(20,6),-2.47039 # DEPENDENCYPART_ARC
(20,7),-2.68555 # DEPENDENCYPART_ARC
(20,8),-2.24082 # DEPENDENCYPART_ARC
(20,9),-2.04167 # DEPENDENCYPART_ARC
(20,10),-1.82275 # DEPENDENCYPART_ARC
(20,11),-0.98499 # DEPENDENCYPART_ARC
(20,12),-1.73583 # DEPENDENCYPART_ARC
(20,13),-1.6219 # DEPENDENCYPART_ARC
(20,14),-1.64366 # DEPENDENCYPART_ARC
(20,15),-0.836694 # DEPENDENCYPART_ARC
(20,16),-1.26782 # DEPENDENCYPART_ARC
(20,17),-1.0868 # DEPENDENCYPART_ARC
(20,18),-0.227666 # DEPENDENCYPART_ARC
(20,19),0.0967851 # DEPENDENCYPART_ARC
(20,21),0.896624 # DEPENDENCYPART_ARC
(20,22),0.328337 # DEPENDENCYPART_ARC
(20,23),0.370841 # DEPENDENCYPART_ARC
(20,24),0.491001 # DEPENDENCYPART_ARC
(20,25),-0.846973 # DEPENDENCYPART_ARC
(20,26),-0.879661 # DEPENDENCYPART_ARC
(20,27),-0.448749 # DEPENDENCYPART_ARC
(21,1),-5.06496 # DEPENDENCYPART_ARC
(21,2),-6.0702 # DEPENDENCYPART_ARC
(21,3),-4.11953 # DEPENDENCYPART_ARC
(21,4),-7.50477 # DEPENDENCYPART_ARC
(21,5),-8.62066 # DEPENDENCYPART_ARC
(21,6),-4.1907 # DEPENDENCYPART_ARC
(21,7),-3.54239 # DEPENDENCYPART_ARC
(21,8),-3.82371 # DEPENDENCYPART_ARC
(21,9),-3.73724 # DEPENDENCYPART_ARC
(21,10),-2.87066 # DEPENDENCYPART_ARC
(21,11),-2.29687 # DEPENDENCYPART_ARC
(21,12),-2.61535 # DEPENDENCYPART_ARC
(21,13),-2.93282 # DEPENDENCYPART_ARC
(21,14),-4.12164 # DEPENDENCYPART_ARC
(21,15),-2.66329 # DEPENDENCYPART_ARC
(21,16),-2.4172 # DEPENDENCYPART_ARC
(21,17),-1.75015 # DEPENDENCYPART_ARC
(21,18),-1.0268 # DEPENDENCYPART_ARC
(21,19),-0.0960236 # DEPENDENCYPART_ARC
(21,20),0.408763 # DEPENDENCYPART_ARC
(21,22),1.92344 # DEPENDENCYPART_ARC
(21,23),-0.351706 # DEPENDENCYPART_ARC
(21,24),-0.666372 # DEPENDENCYPART_ARC
(21,25),-1.59463 # DEPENDENCYPART_ARC
(21,26),-1.56801 # DEPENDENCYPART_ARC
(21,27),-0.328866 # DEPENDENCYPART_ARC
(22,1),-3.79797 # DEPENDENCYPART_ARC
(22,2),-5.02938 # DEPENDENCYPART_ARC
(22,3),-2.9859 # DEPENDENCYPART_ARC
(22,4),-5.19798 # DEPENDENCYPART_ARC
(22,5),-7.01552 # DEPENDENCYPART_ARC
(22,6),-2.9954 # DEPENDENCYPART_ARC
(22,7),-2.20183 # DEPENDENCYPART_ARC
(22,8),-2.60054 # DEPENDENCYPART_ARC
(22,9),-2.48159 # DEPENDENCYPART_ARC
(22,10),-1.21954 # DEPENDENCYPART_ARC
(22,11),-1.83681 # DEPENDENCYPART_ARC
(22,12),-0.951733 # DEPENDENCYPART_ARC
(22,13),-1.58051 # DEPENDENCYPART_ARC
(22,14),-3.13775 # DEPENDENCYPART_ARC
(22,15),-1.2488 # DEPENDENCYPART_ARC
(22,16),-1.66254 # DEPENDENCYPART_ARC
(22,17),-0.62112 # DEPENDENCYPART_ARC
(22,18),0.325606 # DEPENDENCYPART_ARC
(22,19),0.650299 # DEPENDENCYPART_ARC
(22,20),1.1449 # DEPENDENCYPART_ARC
(22,21),4.17344 # DEPENDENCYPART_ARC
(22,23),1.56153 # DEPENDENCYPART_ARC
(22,24),0.683506 # DEPENDENCYPART_ARC
(22,25),-0.378826 # DEPENDENCYPART_ARC
(22,26),-0.468935 # DEPENDENCYPART_ARC
(22,27),0.328252 # DEPENDENCYPART_ARC
(23,1),-1.6468 # DEPENDENCYPART_ARC
(23,2),-0.879153 # DEPENDENCYPART_ARC
(23,3),-1.63087 # DEPENDENCYPART_ARC
(23,4),-0.0877568 # DEPENDENCYPART_ARC
(23,5),-0.177431 # DEPENDENCYPART_ARC
(23,6),-0.304648 # DEPENDENCYPART_ARC
(23,7),-0.720195 # DEPENDENCYPART_ARC
(23,8),0.83487 # DEPENDENCYPART_ARC
(23,9),-0.232191 # DEPENDENCYPART_ARC
(23,10),0.210661 # DEPENDENCYPART_ARC
(23,11),-1.0091 # DEPENDENCYPART_ARC
(23,12),0.0969755 # DEPENDENCYPART_ARC
(23,13),-0.38764 # DEPENDENCYPART_ARC
(23,14),-0.261854 # DEPENDENCYPART_ARC
(23,15),-0.428495 # DEPENDENCYPART_ARC
(23,16),0.0235722 # DEPENDENCYPART_ARC
(23,17),0.743884 # DEPENDENCYPART_ARC
(23,18),1.43807 # DEPENDENCYPART_ARC
(23,19),1.48466 # DEPENDENCYPART_ARC
(23,20),1.6034 # DEPENDENCYPART_ARC
(23,21),1.97439 # DEPENDENCYPART_ARC
(23,22),2.98305 # DEPENDENCYPART_ARC
(23,24),3.91139 # DEPENDENCYPART_ARC
(23,25),0.831692 # DEPENDENCYPART_ARC
(23,26),1.6565 # DEPENDENCYPART_ARC
(23,27),4.64328 # DEPENDENCYPART_ARC
(24,1),-3.2688 # DEPENDENCYPART_ARC
(24,2),-3.5964 # DEPENDENCYPART_ARC
(24,3),-2.6428 # DEPENDENCYPART_ARC
(24,4),-2.9952 # DEPENDENCYPART_ARC
(24,5),-3.09011 # DEPENDENCYPART_ARC
(24,6),-2.6257 # DEPENDENCYPART_ARC
(24,7),-2.83959 # DEPENDENCYPART_ARC
(24,8),-1.97502 # DEPENDENCYPART_ARC
(24,9),-3.24068 # DEPENDENCYPART_ARC
(24,10),-1.93959 # DEPENDENCYPART_ARC
(24,11),-1.97257 # DEPENDENCYPART_ARC
(24,12),-2.3972 # DEPENDENCYPART_ARC
(24,13),-1.59396 # DEPENDENCYPART_ARC
(24,14),-2.37954 # DEPENDENCYPART_ARC
(24,15),-1.40325 # DEPENDENCYPART_ARC
(24,16),-0.879035 # DEPENDENCYPART_ARC
(24,17),-1.12877 # DEPENDENCYPART_ARC
(24,18),-1.09882 # DEPENDENCYPART_ARC
(24,19),-0.559346 # DEPENDENCYPART_ARC
(24,20),-1.25723 # DEPENDENCYPART_ARC
(24,21),-0.562184 # DEPENDENCYPART_ARC
(24,22),-0.748144 # DEPENDENCYPART_ARC
(24,23),0.176058 # DEPENDENCYPART_ARC
(24,25),1.0766 # DEPENDENCYPART_ARC
(24,26),2.67206 # DEPENDENCYPART_ARC
(24,27),0.305923 # DEPENDENCYPART_ARC
(25,1),-4.21532 # DEPENDENCYPART_ARC
(25,2),-4.66265 # DEPENDENCYPART_ARC
(25,3),-3.99191 # DEPENDENCYPART_ARC
(25,4),-4.20915 # DEPENDENCYPART_ARC
(25,5),-4.00616 # DEPENDENCYPART_ARC
(25,6),-3.85694 # DEPENDENCYPART_ARC
(25,7),-3.92929 # DEPENDENCYPART_ARC
(25,8),-3.64256 # DEPENDENCYPART_ARC
(25,9),-3.87799 # DEPENDENCYPART_ARC
(25,10),-3.42185 # DEPENDENCYPART_ARC
(25,11),-3.12904 # DEPENDENCYPART_ARC
(25,12),-3.41808 # DEPENDENCYPART_ARC
(25,13),-3.25204 # DEPENDENCYPART_ARC
(25,14),-3.23192 # DEPENDENCYPART_ARC
(25,15),-2.67901 # DEPENDENCYPART_ARC
(25,16),-3.13426 # DEPENDENCYPART_ARC
(25,17),-2.71767 # DEPENDENCYPART_ARC
(25,18),-2.35828 # DEPENDENCYPART_ARC
(25,19),-2.26312 # DEPENDENCYPART_ARC
(25,20),-2.41741 # DEPENDENCYPART_ARC
(25,21),-1.90622 # DEPENDENCYPART_ARC
(25,22),-1.57182 # DEPENDENCYPART_ARC
(25,23),-1.74043 # DEPENDENCYPART_ARC
(25,24),-0.791179 # DEPENDENCYPART_ARC
(25,26),1.07938 # DEPENDENCYPART_ARC
(25,27),-0.335927 # DEPENDENCYPART_ARC
(26,1),-6.21794 # DEPENDENCYPART_ARC
(26,2),-5.15854 # DEPENDENCYPART_ARC
(26,3),-2.62806 # DEPENDENCYPART_ARC
(26,4),-5.5654 # DEPENDENCYPART_ARC
(26,5),-7.01703 # DEPENDENCYPART_ARC
(26,6),-2.46655 # DEPENDENCYPART_ARC
(26,7),-2.71056 # DEPENDENCYPART_ARC
(26,8),-2.20984 # DEPENDENCYPART_ARC
(26,9),-3.5293 # DEPENDENCYPART_ARC
(26,10),-1.99593 # DEPENDENCYPART_ARC
(26,11),-2.824 # DEPENDENCYPART_ARC
(26,12),-0.332479 # DEPENDENCYPART_ARC
(26,13),-1.97697 # DEPENDENCYPART_ARC
(26,14),-2.74205 # DEPENDENCYPART_ARC
(26,15),-1.94254 # DEPENDENCYPART_ARC
(26,16),-1.7467 # DEPENDENCYPART_ARC
(26,17),-1.16939 # DEPENDENCYPART_ARC
(26,18),-0.975123 # DEPENDENCYPART_ARC
(26,19),-1.05452 # DEPENDENCYPART_ARC
(26,20),-1.15464 # DEPENDENCYPART_ARC
(26,21),0.0784323 # DEPENDENCYPART_ARC
(26,22),-0.450817 # DEPENDENCYPART_ARC
(26,23),-0.380149 # DEPENDENCYPART_ARC
(26,24),0.660764 # DEPENDENCYPART_ARC
(26,25),4.16631 # DEPENDENCYPART_ARC
(26,27),0.134773 # DEPENDENCYPART_ARC
(27,1),-3.59438 # DEPENDENCYPART_ARC
(27,2),-3.03016 # DEPENDENCYPART_ARC
(27,3),-3.49848 # DEPENDENCYPART_ARC
(27,4),-3.28121 # DEPENDENCYPART_ARC
(27,5),-3.20031 # DEPENDENCYPART_ARC
(27,6),-2.40819 # DEPENDENCYPART_ARC
(27,7),-2.284 # DEPENDENCYPART_ARC
(27,8),-2.28682 # DEPENDENCYPART_ARC
(27,9),-2.30437 # DEPENDENCYPART_ARC
(27,10),-2.14708 # DEPENDENCYPART_ARC
(27,11),-2.18998 # DEPENDENCYPART_ARC
(27,12),-2.46135 # DEPENDENCYPART_ARC
(27,13),-2.28205 # DEPENDENCYPART_ARC
(27,14),-2.03712 # DEPENDENCYPART_ARC
(27,15),-0.737101 # DEPENDENCYPART_ARC
(27,16),-1.68871 # DEPENDENCYPART_ARC
(27,17),-1.70085 # DEPENDENCYPART_ARC
(27,18),-0.459884 # DEPENDENCYPART_ARC
(27,19),-1.35684 # DEPENDENCYPART_ARC
(27,20),-1.58417 # DEPENDENCYPART_ARC
(27,21),-1.34662 # DEPENDENCYPART_ARC
(27,22),-1.7984 # DEPENDENCYPART_ARC
(27,23),-1.03751 # DEPENDENCYPART_ARC
(27,24),-1.03251 # DEPENDENCYPART_ARC
(27,25),-0.58476 # DEPENDENCYPART_ARC
(27,26),-1.64039 # DEPENDENCYPART_ARC
