# _root_ If you side with the arbitragers and raiders , you clearly have more to fear from private investors than from regulators , although the Delaware courts should never be underestimated .
#goldHeads=12,3,1,3,6,4,6,7,12,12,12,0,12,13,14,15,18,16,13,19,20,12,12,26,26,27,23,27,27,29,12,
#predictedHeads=12,3,1,3,6,4,6,7,12,12,12,0,12,13,14,15,18,16,13,19,20,12,12,26,26,27,23,27,27,29,12,
(16,28),-0.756567 # DEPENDENCYPART_ARC
(16,29),-0.301391 # DEPENDENCYPART_ARC
(16,30),-0.775656 # DEPENDENCYPART_ARC
(16,31),0.0954261 # DEPENDENCYPART_ARC
(17,1),-2.05443 # DEPENDENCYPART_ARC
(17,2),-3.13751 # DEPENDENCYPART_ARC
(17,3),-3.02811 # DEPENDENCYPART_ARC
(17,4),-1.95885 # DEPENDENCYPART_ARC
(17,5),-1.81188 # DEPENDENCYPART_ARC
(17,6),-2.58561 # DEPENDENCYPART_ARC
(17,7),-2.49126 # DEPENDENCYPART_ARC
(17,8),-2.29869 # DEPENDENCYPART_ARC
(17,9),-1.55249 # DEPENDENCYPART_ARC
(17,10),-2.23931 # DEPENDENCYPART_ARC
(17,11),-1.31266 # DEPENDENCYPART_ARC
(17,12),-2.00284 # DEPENDENCYPART_ARC
(17,13),-0.626947 # DEPENDENCYPART_ARC
(17,14),-0.546775 # DEPENDENCYPART_ARC
(17,15),-0.432326 # DEPENDENCYPART_ARC
(17,16),0.808893 # DEPENDENCYPART_ARC
(17,18),1.30108 # DEPENDENCYPART_ARC
(17,19),0.351719 # DEPENDENCYPART_ARC
(17,20),-0.296883 # DEPENDENCYPART_ARC
(17,21),-0.164748 # DEPENDENCYPART_ARC
(17,22),-0.321336 # DEPENDENCYPART_ARC
(17,23),-1.52035 # DEPENDENCYPART_ARC
(17,24),-2.01301 # DEPENDENCYPART_ARC
(17,25),-1.5617 # DEPENDENCYPART_ARC
(17,26),-0.940099 # DEPENDENCYPART_ARC
(17,27),-0.825388 # DEPENDENCYPART_ARC
(17,28),-1.46651 # DEPENDENCYPART_ARC
(17,29),-1.94083 # DEPENDENCYPART_ARC
(17,30),-1.10708 # DEPENDENCYPART_ARC
(17,31),0.1292 # DEPENDENCYPART_ARC
(18,1),-2.2233 # DEPENDENCYPART_ARC
(18,2),-2.64598 # DEPENDENCYPART_ARC
(18,3),-2.79121 # DEPENDENCYPART_ARC
(18,4),-2.26373 # DEPENDENCYPART_ARC
(18,5),-3.121 # DEPENDENCYPART_ARC
(18,6),-3.1732 # DEPENDENCYPART_ARC
(18,7),-2.15642 # DEPENDENCYPART_ARC
(18,8),-2.16213 # DEPENDENCYPART_ARC
(18,9),-2.23986 # DEPENDENCYPART_ARC
(18,10),-1.53772 # DEPENDENCYPART_ARC
(18,11),-1.1322 # DEPENDENCYPART_ARC
(18,12),-1.71705 # DEPENDENCYPART_ARC
(18,13),0.454247 # DEPENDENCYPART_ARC
(18,14),-0.774599 # DEPENDENCYPART_ARC
(18,15),0.0689452 # DEPENDENCYPART_ARC
(18,16),0.299145 # DEPENDENCYPART_ARC
(18,17),3.6177 # DEPENDENCYPART_ARC
(18,19),0.63654 # DEPENDENCYPART_ARC
(18,20),-0.177047 # DEPENDENCYPART_ARC
(18,21),-0.215277 # DEPENDENCYPART_ARC
(18,22),0.118934 # DEPENDENCYPART_ARC
(18,23),-1.08931 # DEPENDENCYPART_ARC
(18,24),-1.30131 # DEPENDENCYPART_ARC
(18,25),-1.35016 # DEPENDENCYPART_ARC
(18,26),-1.39072 # DEPENDENCYPART_ARC
(18,27),-0.224601 # DEPENDENCYPART_ARC
(18,28),-0.96862 # DEPENDENCYPART_ARC
(18,29),-1.12562 # DEPENDENCYPART_ARC
(18,30),-1.89196 # DEPENDENCYPART_ARC
(18,31),-0.645112 # DEPENDENCYPART_ARC
(19,1),-0.927365 # DEPENDENCYPART_ARC
(19,2),-2.5604 # DEPENDENCYPART_ARC
(19,3),-2.34505 # DEPENDENCYPART_ARC
(19,4),-1.3833 # DEPENDENCYPART_ARC
(19,5),-2.01592 # DEPENDENCYPART_ARC
(19,6),-1.35106 # DEPENDENCYPART_ARC
(19,7),-1.90573 # DEPENDENCYPART_ARC
(19,8),-1.43519 # DEPENDENCYPART_ARC
(19,9),-1.34224 # DEPENDENCYPART_ARC
(19,10),-1.51684 # DEPENDENCYPART_ARC
(19,11),-1.05693 # DEPENDENCYPART_ARC
(19,12),-1.23658 # DEPENDENCYPART_ARC
(19,13),-0.33707 # DEPENDENCYPART_ARC
(19,14),-0.827986 # DEPENDENCYPART_ARC
(19,15),-0.532463 # DEPENDENCYPART_ARC
(19,16),0.705572 # DEPENDENCYPART_ARC
(19,17),-0.00920796 # DEPENDENCYPART_ARC
(19,18),0.548725 # DEPENDENCYPART_ARC
(19,20),3.1774 # DEPENDENCYPART_ARC
(19,21),2.25867 # DEPENDENCYPART_ARC
(19,22),0.956088 # DEPENDENCYPART_ARC
(19,23),0.448596 # DEPENDENCYPART_ARC
(19,24),-1.40433 # DEPENDENCYPART_ARC
(19,25),-2.45809 # DEPENDENCYPART_ARC
(19,26),-1.36869 # DEPENDENCYPART_ARC
(19,27),0.822265 # DEPENDENCYPART_ARC
(19,28),-0.0328163 # DEPENDENCYPART_ARC
(19,29),0.482929 # DEPENDENCYPART_ARC
(19,30),0.214233 # DEPENDENCYPART_ARC
(19,31),0.0964075 # DEPENDENCYPART_ARC
(20,1),-1.27531 # DEPENDENCYPART_ARC
(20,2),-2.31215 # DEPENDENCYPART_ARC
(20,3),-2.08618 # DEPENDENCYPART_ARC
(20,4),-1.78774 # DEPENDENCYPART_ARC
(20,5),-1.83148 # DEPENDENCYPART_ARC
(20,6),-1.08602 # DEPENDENCYPART_ARC
(20,7),-1.35849 # DEPENDENCYPART_ARC
(20,8),-1.0646 # DEPENDENCYPART_ARC
(20,9),-1.28887 # DEPENDENCYPART_ARC
(20,10),-1.28338 # DEPENDENCYPART_ARC
(20,11),-0.797523 # DEPENDENCYPART_ARC
(20,12),-1.04106 # DEPENDENCYPART_ARC
(20,13),-0.063824 # DEPENDENCYPART_ARC
(20,14),-0.412629 # DEPENDENCYPART_ARC
(20,15),-0.431584 # DEPENDENCYPART_ARC
(20,16),0.25608 # DEPENDENCYPART_ARC
(20,17),0.284828 # DEPENDENCYPART_ARC
(20,18),0.297823 # DEPENDENCYPART_ARC
(20,19),1.26755 # DEPENDENCYPART_ARC
(20,21),3.77436 # DEPENDENCYPART_ARC
(20,22),0.954717 # DEPENDENCYPART_ARC
(20,23),0.748308 # DEPENDENCYPART_ARC
(20,24),-1.92078 # DEPENDENCYPART_ARC
(20,25),-1.57405 # DEPENDENCYPART_ARC
(20,26),-1.50214 # DEPENDENCYPART_ARC
(20,27),-0.0331036 # DEPENDENCYPART_ARC
(20,28),-0.283145 # DEPENDENCYPART_ARC
(20,29),-0.208638 # DEPENDENCYPART_ARC
(20,30),-0.561381 # DEPENDENCYPART_ARC
(20,31),-0.00882484 # DEPENDENCYPART_ARC
(21,1),-3.61875 # DEPENDENCYPART_ARC
(21,2),-4.14438 # DEPENDENCYPART_ARC
(21,3),-4.12919 # DEPENDENCYPART_ARC
(21,4),-3.61161 # DEPENDENCYPART_ARC
(21,5),-6.63075 # DEPENDENCYPART_ARC
(21,6),-5.12322 # DEPENDENCYPART_ARC
(21,7),-3.52203 # DEPENDENCYPART_ARC
(21,8),-4.3768 # DEPENDENCYPART_ARC
(21,9),-4.02297 # DEPENDENCYPART_ARC
(21,10),-3.27987 # DEPENDENCYPART_ARC
(21,11),-3.52718 # DEPENDENCYPART_ARC
(21,12),-3.19004 # DEPENDENCYPART_ARC
(21,13),-2.37244 # DEPENDENCYPART_ARC
(21,14),-2.67537 # DEPENDENCYPART_ARC
(21,15),-2.11991 # DEPENDENCYPART_ARC
(21,16),-1.86388 # DEPENDENCYPART_ARC
(21,17),-1.70904 # DEPENDENCYPART_ARC
(21,18),-1.97019 # DEPENDENCYPART_ARC
(21,19),-0.453677 # DEPENDENCYPART_ARC
(21,20),0.00524385 # DEPENDENCYPART_ARC
(21,22),1.3977 # DEPENDENCYPART_ARC
(21,23),-0.122976 # DEPENDENCYPART_ARC
(21,24),-0.473358 # DEPENDENCYPART_ARC
(21,25),-0.114558 # DEPENDENCYPART_ARC
(21,26),-0.142162 # DEPENDENCYPART_ARC
(21,27),0.013143 # DEPENDENCYPART_ARC
(21,28),-0.234033 # DEPENDENCYPART_ARC
(21,29),-0.597887 # DEPENDENCYPART_ARC
(21,30),-0.750583 # DEPENDENCYPART_ARC
(21,31),-0.259837 # DEPENDENCYPART_ARC
(22,1),-3.40928 # DEPENDENCYPART_ARC
(22,2),-3.48893 # DEPENDENCYPART_ARC
(22,3),-3.3886 # DEPENDENCYPART_ARC
(22,4),-2.90699 # DEPENDENCYPART_ARC
(22,5),-2.72136 # DEPENDENCYPART_ARC
(22,6),-3.06084 # DEPENDENCYPART_ARC
(22,7),-2.92108 # DEPENDENCYPART_ARC
(22,8),-2.97189 # DEPENDENCYPART_ARC
(22,9),-0.872056 # DEPENDENCYPART_ARC
(22,10),-2.62553 # DEPENDENCYPART_ARC
(22,11),-2.86582 # DEPENDENCYPART_ARC
(22,12),-2.50585 # DEPENDENCYPART_ARC
(22,13),-2.29786 # DEPENDENCYPART_ARC
(22,14),-1.37449 # DEPENDENCYPART_ARC
(22,15),-1.89692 # DEPENDENCYPART_ARC
(22,16),-1.6241 # DEPENDENCYPART_ARC
(22,17),-1.79109 # DEPENDENCYPART_ARC
(22,18),-1.84705 # DEPENDENCYPART_ARC
(22,19),-1.15401 # DEPENDENCYPART_ARC
(22,20),-1.2311 # DEPENDENCYPART_ARC
(22,21),-1.20807 # DEPENDENCYPART_ARC
(22,23),-0.87267 # DEPENDENCYPART_ARC
(22,24),-1.39527 # DEPENDENCYPART_ARC
(22,25),-1.29615 # DEPENDENCYPART_ARC
(22,26),-1.86261 # DEPENDENCYPART_ARC
(22,27),-1.70474 # DEPENDENCYPART_ARC
(22,28),-2.02939 # DEPENDENCYPART_ARC
(22,29),-1.88158 # DEPENDENCYPART_ARC
(22,30),-2.21616 # DEPENDENCYPART_ARC
(22,31),-1.80623 # DEPENDENCYPART_ARC
(23,1),-2.07759 # DEPENDENCYPART_ARC
(23,2),-2.98872 # DEPENDENCYPART_ARC
(23,3),-2.72444 # DEPENDENCYPART_ARC
(23,4),-2.47609 # DEPENDENCYPART_ARC
(23,5),-2.41472 # DEPENDENCYPART_ARC
(23,6),-1.80953 # DEPENDENCYPART_ARC
(23,7),-2.30942 # DEPENDENCYPART_ARC
(23,8),-1.87207 # DEPENDENCYPART_ARC
(23,9),-2.00657 # DEPENDENCYPART_ARC
(23,10),-2.1109 # DEPENDENCYPART_ARC
(23,11),-1.60825 # DEPENDENCYPART_ARC
(23,12),-1.6987 # DEPENDENCYPART_ARC
(23,13),-0.628574 # DEPENDENCYPART_ARC
(23,14),-1.06834 # DEPENDENCYPART_ARC
(23,15),-0.933088 # DEPENDENCYPART_ARC
(23,16),-0.421537 # DEPENDENCYPART_ARC
(23,17),-0.253433 # DEPENDENCYPART_ARC
(23,18),-0.639496 # DEPENDENCYPART_ARC
(23,19),-0.261489 # DEPENDENCYPART_ARC
(23,20),0.228874 # DEPENDENCYPART_ARC
(23,21),-0.254344 # DEPENDENCYPART_ARC
(23,22),0.483534 # DEPENDENCYPART_ARC
(23,24),0.10021 # DEPENDENCYPART_ARC
(23,25),0.380243 # DEPENDENCYPART_ARC
(23,26),1.30501 # DEPENDENCYPART_ARC
(23,27),2.80104 # DEPENDENCYPART_ARC
(23,28),0.0895825 # DEPENDENCYPART_ARC
(23,29),0.63914 # DEPENDENCYPART_ARC
(23,30),0.580344 # DEPENDENCYPART_ARC
(23,31),1.21572 # DEPENDENCYPART_ARC
(24,1),-3.92372 # DEPENDENCYPART_ARC
(24,2),-3.59719 # DEPENDENCYPART_ARC
(24,3),-3.76565 # DEPENDENCYPART_ARC
(24,4),-3.46576 # DEPENDENCYPART_ARC
(24,5),-3.34123 # DEPENDENCYPART_ARC
(24,6),-3.69771 # DEPENDENCYPART_ARC
(24,7),-3.75076 # DEPENDENCYPART_ARC
(24,8),-3.53495 # DEPENDENCYPART_ARC
(24,9),-3.06085 # DEPENDENCYPART_ARC
(24,10),-2.98439 # DEPENDENCYPART_ARC
(24,11),-3.1066 # DEPENDENCYPART_ARC
(24,12),-2.90561 # DEPENDENCYPART_ARC
(24,13),-1.87086 # DEPENDENCYPART_ARC
(24,14),-2.59853 # DEPENDENCYPART_ARC
(24,15),-2.3088 # DEPENDENCYPART_ARC
(24,16),-2.0179 # DEPENDENCYPART_ARC
(24,17),-2.25574 # DEPENDENCYPART_ARC
(24,18),-2.31536 # DEPENDENCYPART_ARC
(24,19),-1.25645 # DEPENDENCYPART_ARC
(24,20),-1.32078 # DEPENDENCYPART_ARC
(24,21),-1.57613 # DEPENDENCYPART_ARC
(24,22),-1.11827 # DEPENDENCYPART_ARC
(24,23),-0.386208 # DEPENDENCYPART_ARC
(24,25),-0.352637 # DEPENDENCYPART_ARC
(24,26),-0.451204 # DEPENDENCYPART_ARC
(24,27),-0.36263 # DEPENDENCYPART_ARC
(24,28),-1.16832 # DEPENDENCYPART_ARC
(24,29),-1.03808 # DEPENDENCYPART_ARC
(24,30),-1.09935 # DEPENDENCYPART_ARC
(24,31),-0.468649 # DEPENDENCYPART_ARC
(25,1),-4.63887 # DEPENDENCYPART_ARC
(25,2),-4.76844 # DEPENDENCYPART_ARC
(25,3),-4.96454 # DEPENDENCYPART_ARC
(25,4),-4.46619 # DEPENDENCYPART_ARC
(25,5),-7.88939 # DEPENDENCYPART_ARC
(25,6),-5.56771 # DEPENDENCYPART_ARC
(25,7),-4.95846 # DEPENDENCYPART_ARC
(25,8),-5.54325 # DEPENDENCYPART_ARC
(25,9),-4.52803 # DEPENDENCYPART_ARC
(25,10),-3.90113 # DEPENDENCYPART_ARC
(25,11),-4.39714 # DEPENDENCYPART_ARC
(25,12),-4.0064 # DEPENDENCYPART_ARC
(25,13),-3.89816 # DEPENDENCYPART_ARC
(25,14),-3.96831 # DEPENDENCYPART_ARC
(25,15),-3.0842 # DEPENDENCYPART_ARC
(25,16),-2.81135 # DEPENDENCYPART_ARC
(25,17),-3.43504 # DEPENDENCYPART_ARC
(25,18),-3.76476 # DEPENDENCYPART_ARC
(25,19),-2.32692 # DEPENDENCYPART_ARC
(25,20),-1.73817 # DEPENDENCYPART_ARC
(25,21),-2.12599 # DEPENDENCYPART_ARC
(25,22),-1.80314 # DEPENDENCYPART_ARC
(25,23),-0.808294 # DEPENDENCYPART_ARC
(25,24),2.45825 # DEPENDENCYPART_ARC
(25,26),0.39882 # DEPENDENCYPART_ARC
(25,27),0.12463 # DEPENDENCYPART_ARC
(25,28),-0.494555 # DEPENDENCYPART_ARC
(25,29),-0.977431 # DEPENDENCYPART_ARC
(25,30),-0.645209 # DEPENDENCYPART_ARC
(25,31),-0.0807542 # DEPENDENCYPART_ARC
(26,1),-1.30678 # DEPENDENCYPART_ARC
(26,2),-2.74455 # DEPENDENCYPART_ARC
(26,3),-2.74961 # DEPENDENCYPART_ARC
(26,4),-1.4127 # DEPENDENCYPART_ARC
(26,5),-6.78 # DEPENDENCYPART_ARC
(26,6),-4.25129 # DEPENDENCYPART_ARC
(26,7),-1.45049 # DEPENDENCYPART_ARC
(26,8),-3.62951 # DEPENDENCYPART_ARC
(26,9),-1.76538 # DEPENDENCYPART_ARC
(26,10),-1.83294 # DEPENDENCYPART_ARC
(26,11),-2.75306 # DEPENDENCYPART_ARC
(26,12),-1.97349 # DEPENDENCYPART_ARC
(26,13),-1.3306 # DEPENDENCYPART_ARC
(26,14),-1.66956 # DEPENDENCYPART_ARC
(26,15),-1.18672 # DEPENDENCYPART_ARC
(26,16),-0.268946 # DEPENDENCYPART_ARC
(26,17),-1.99899 # DEPENDENCYPART_ARC
(26,18),-2.06216 # DEPENDENCYPART_ARC
(26,19),0.495081 # DEPENDENCYPART_ARC
(26,20),0.187349 # DEPENDENCYPART_ARC
(26,21),-0.191408 # DEPENDENCYPART_ARC
(26,22),0.555446 # DEPENDENCYPART_ARC
(26,23),1.03009 # DEPENDENCYPART_ARC
(26,24),4.07828 # DEPENDENCYPART_ARC
(26,25),4.1466 # DEPENDENCYPART_ARC
(26,27),0.114817 # DEPENDENCYPART_ARC
(26,28),-0.579354 # DEPENDENCYPART_ARC
(26,29),-0.485738 # DEPENDENCYPART_ARC
(26,30),-0.667902 # DEPENDENCYPART_ARC
(26,31),-0.0911109 # DEPENDENCYPART_ARC
(27,1),2.68226 # DEPENDENCYPART_ARC
(27,2),-1.41796 # DEPENDENCYPART_ARC
(27,3),-1.29376 # DEPENDENCYPART_ARC
(27,4),0.955522 # DEPENDENCYPART_ARC
(27,5),-0.492514 # DEPENDENCYPART_ARC
(27,6),0.24713 # DEPENDENCYPART_ARC
(27,7),-0.703908 # DEPENDENCYPART_ARC
(27,8),0.402835 # DEPENDENCYPART_ARC
(27,9),1.24204 # DEPENDENCYPART_ARC
(27,10),-0.326237 # DEPENDENCYPART_ARC
(27,11),-0.0791658 # DEPENDENCYPART_ARC
(27,12),-0.329906 # DEPENDENCYPART_ARC
(27,13),0.172254 # DEPENDENCYPART_ARC
(27,14),0.619205 # DEPENDENCYPART_ARC
(27,15),-0.103792 # DEPENDENCYPART_ARC
(27,16),0.783381 # DEPENDENCYPART_ARC
(27,17),0.676312 # DEPENDENCYPART_ARC
(27,18),2.28092 # DEPENDENCYPART_ARC
(27,19),0.831267 # DEPENDENCYPART_ARC
(27,20),1.87852 # DEPENDENCYPART_ARC
(27,21),1.49404 # DEPENDENCYPART_ARC
(27,22),2.01726 # DEPENDENCYPART_ARC
(27,23),1.83517 # DEPENDENCYPART_ARC
(27,24),1.35015 # DEPENDENCYPART_ARC
(27,25),1.76396 # DEPENDENCYPART_ARC
(27,26),3.11247 # DEPENDENCYPART_ARC
(27,28),3.58135 # DEPENDENCYPART_ARC
(27,29),3.7523 # DEPENDENCYPART_ARC
(27,30),1.32437 # DEPENDENCYPART_ARC
(27,31),3.29602 # DEPENDENCYPART_ARC
(28,1),-2.87428 # DEPENDENCYPART_ARC
(28,2),-3.79832 # DEPENDENCYPART_ARC
(28,3),-3.43039 # DEPENDENCYPART_ARC
(28,4),-2.92009 # DEPENDENCYPART_ARC
(28,5),-2.24641 # DEPENDENCYPART_ARC
(28,6),-3.34743 # DEPENDENCYPART_ARC
(28,7),-3.3659 # DEPENDENCYPART_ARC
(28,8),-3.19751 # DEPENDENCYPART_ARC
(28,9),-2.74218 # DEPENDENCYPART_ARC
(28,10),-3.0301 # DEPENDENCYPART_ARC
(28,11),-1.97323 # DEPENDENCYPART_ARC
(28,12),-2.63743 # DEPENDENCYPART_ARC
(28,13),-1.76766 # DEPENDENCYPART_ARC
(28,14),-2.27108 # DEPENDENCYPART_ARC
(28,15),-2.19763 # DEPENDENCYPART_ARC
(28,16),-1.59492 # DEPENDENCYPART_ARC
(28,17),-1.36403 # DEPENDENCYPART_ARC
(28,18),-1.89585 # DEPENDENCYPART_ARC
(28,19),-1.36444 # DEPENDENCYPART_ARC
(28,20),-1.26071 # DEPENDENCYPART_ARC
(28,21),-1.77206 # DEPENDENCYPART_ARC
(28,22),-1.23416 # DEPENDENCYPART_ARC
(28,23),-1.09418 # DEPENDENCYPART_ARC
(28,24),-0.124402 # DEPENDENCYPART_ARC
(28,25),-0.982228 # DEPENDENCYPART_ARC
(28,26),-0.729251 # DEPENDENCYPART_ARC
(28,27),0.26842 # DEPENDENCYPART_ARC
(28,29),0.750659 # DEPENDENCYPART_ARC
(28,30),0.214487 # DEPENDENCYPART_ARC
(28,31),-0.557311 # DEPENDENCYPART_ARC
(29,1),-0.723258 # DEPENDENCYPART_ARC
(29,2),-2.32677 # DEPENDENCYPART_ARC
(29,3),-2.40776 # DEPENDENCYPART_ARC
(29,4),-2.90225 # DEPENDENCYPART_ARC
(29,5),-2.4443 # DEPENDENCYPART_ARC
(29,6),-1.77395 # DEPENDENCYPART_ARC
(29,7),-2.39243 # DEPENDENCYPART_ARC
(29,8),-1.45106 # DEPENDENCYPART_ARC
(29,9),-1.33107 # DEPENDENCYPART_ARC
(29,10),-1.4138 # DEPENDENCYPART_ARC
(29,11),-1.4385 # DEPENDENCYPART_ARC
(29,12),-1.35686 # DEPENDENCYPART_ARC
(29,13),-1.58976 # DEPENDENCYPART_ARC
(29,14),-1.44362 # DEPENDENCYPART_ARC
(29,15),-0.977551 # DEPENDENCYPART_ARC
(29,16),-0.858368 # DEPENDENCYPART_ARC
(29,17),-0.911357 # DEPENDENCYPART_ARC
(29,18),0.374711 # DEPENDENCYPART_ARC
(29,19),-0.744017 # DEPENDENCYPART_ARC
(29,20),-0.652927 # DEPENDENCYPART_ARC
(29,21),0.0927539 # DEPENDENCYPART_ARC
(29,22),-0.489564 # DEPENDENCYPART_ARC
(29,23),-0.629405 # DEPENDENCYPART_ARC
(29,24),0.350833 # DEPENDENCYPART_ARC
(29,25),0.230276 # DEPENDENCYPART_ARC
(29,26),0.964884 # DEPENDENCYPART_ARC
(29,27),1.02033 # DEPENDENCYPART_ARC
(29,28),1.4126 # DEPENDENCYPART_ARC
(29,30),3.55291 # DEPENDENCYPART_ARC
(29,31),1.06686 # DEPENDENCYPART_ARC
(30,1),-2.64441 # DEPENDENCYPART_ARC
(30,2),-1.49305 # DEPENDENCYPART_ARC
(30,3),-2.00508 # DEPENDENCYPART_ARC
(30,4),-2.7613 # DEPENDENCYPART_ARC
(30,5),-1.78529 # DEPENDENCYPART_ARC
(30,6),-1.33912 # DEPENDENCYPART_ARC
(30,7),-2.59067 # DEPENDENCYPART_ARC
(30,8),-1.31822 # DEPENDENCYPART_ARC
(30,9),-1.01669 # DEPENDENCYPART_ARC
(30,10),-0.936626 # DEPENDENCYPART_ARC
(30,11),-1.82314 # DEPENDENCYPART_ARC
(30,12),-1.23157 # DEPENDENCYPART_ARC
(30,13),-1.15192 # DEPENDENCYPART_ARC
(30,14),-1.10477 # DEPENDENCYPART_ARC
(30,15),-1.44449 # DEPENDENCYPART_ARC
(30,16),-1.07425 # DEPENDENCYPART_ARC
(30,17),-0.189362 # DEPENDENCYPART_ARC
(30,18),-0.103696 # DEPENDENCYPART_ARC
(30,19),-0.309517 # DEPENDENCYPART_ARC
(30,20),-0.475378 # DEPENDENCYPART_ARC
(30,21),-0.108962 # DEPENDENCYPART_ARC
(30,22),-0.0726854 # DEPENDENCYPART_ARC
(30,23),0.208439 # DEPENDENCYPART_ARC
(30,24),0.468828 # DEPENDENCYPART_ARC
(30,25),0.0376376 # DEPENDENCYPART_ARC
(30,26),0.440227 # DEPENDENCYPART_ARC
(30,27),0.39872 # DEPENDENCYPART_ARC
(30,28),0.799947 # DEPENDENCYPART_ARC
(30,29),0.895992 # DEPENDENCYPART_ARC
(30,31),0.300735 # DEPENDENCYPART_ARC
(31,1),-3.63168 # DEPENDENCYPART_ARC
(31,2),-2.69861 # DEPENDENCYPART_ARC
(31,3),-3.03755 # DEPENDENCYPART_ARC
(31,4),-3.72283 # DEPENDENCYPART_ARC
(31,5),-3.0795 # DEPENDENCYPART_ARC
(31,6),-2.68412 # DEPENDENCYPART_ARC
(31,7),-3.12526 # DEPENDENCYPART_ARC
(31,8),-2.55464 # DEPENDENCYPART_ARC
(31,9),-1.58139 # DEPENDENCYPART_ARC
(31,10),-2.05013 # DEPENDENCYPART_ARC
(31,11),-2.64746 # DEPENDENCYPART_ARC
(31,12),-2.6096 # DEPENDENCYPART_ARC
(31,13),-2.29797 # DEPENDENCYPART_ARC
(31,14),-2.3557 # DEPENDENCYPART_ARC
(31,15),-2.22825 # DEPENDENCYPART_ARC
(31,16),-1.98828 # DEPENDENCYPART_ARC
(31,17),-2.27338 # DEPENDENCYPART_ARC
(31,18),-1.61108 # DEPENDENCYPART_ARC
(31,19),-1.65829 # DEPENDENCYPART_ARC
(31,20),-1.60014 # DEPENDENCYPART_ARC
(31,21),-1.72646 # DEPENDENCYPART_ARC
(31,22),-0.857524 # DEPENDENCYPART_ARC
(31,23),-1.40325 # DEPENDENCYPART_ARC
(31,24),-0.917788 # DEPENDENCYPART_ARC
(31,25),-1.26631 # DEPENDENCYPART_ARC
(31,26),-1.76963 # DEPENDENCYPART_ARC
(31,27),-0.821074 # DEPENDENCYPART_ARC
(31,28),-0.911383 # DEPENDENCYPART_ARC
(31,29),-1.20651 # DEPENDENCYPART_ARC
(31,30),-0.264533 # DEPENDENCYPART_ARC
