# _root_ The A-men batting Nos. 6 through 9 , a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in a 5-0 decision .
#goldHeads=2,18,2,3,4,4,4,12,12,12,12,4,12,15,13,12,12,0,18,19,22,25,22,25,20,18,26,27,28,31,29,27,35,35,32,18,
#predictedHeads=2,18,2,3,4,3,6,4,12,12,12,18,12,15,13,12,18,0,18,19,22,25,22,25,20,18,26,27,28,31,29,31,35,35,32,18,
(14,15),0.598564 # DEPENDENCYPART_ARC
(14,16),-1.07841 # DEPENDENCYPART_ARC
(14,17),-0.931715 # DEPENDENCYPART_ARC
(14,18),-0.77963 # DEPENDENCYPART_ARC
(14,19),-1.54801 # DEPENDENCYPART_ARC
(14,20),-0.914077 # DEPENDENCYPART_ARC
(14,21),-2.22624 # DEPENDENCYPART_ARC
(14,22),-1.80866 # DEPENDENCYPART_ARC
(14,23),-2.37783 # DEPENDENCYPART_ARC
(14,24),-2.01327 # DEPENDENCYPART_ARC
(14,25),-2.56862 # DEPENDENCYPART_ARC
(14,26),-2.01129 # DEPENDENCYPART_ARC
(14,27),-2.31865 # DEPENDENCYPART_ARC
(14,28),-2.82619 # DEPENDENCYPART_ARC
(14,29),-2.17215 # DEPENDENCYPART_ARC
(14,30),-3.26002 # DEPENDENCYPART_ARC
(14,31),-2.98117 # DEPENDENCYPART_ARC
(14,32),-3.59414 # DEPENDENCYPART_ARC
(14,33),-3.80805 # DEPENDENCYPART_ARC
(14,34),-3.09238 # DEPENDENCYPART_ARC
(14,35),-3.325 # DEPENDENCYPART_ARC
(14,36),-1.91416 # DEPENDENCYPART_ARC
(15,1),-2.875 # DEPENDENCYPART_ARC
(15,2),-1.78611 # DEPENDENCYPART_ARC
(15,3),-1.28281 # DEPENDENCYPART_ARC
(15,4),-1.8804 # DEPENDENCYPART_ARC
(15,5),-2.75262 # DEPENDENCYPART_ARC
(15,6),-0.731224 # DEPENDENCYPART_ARC
(15,7),-1.96671 # DEPENDENCYPART_ARC
(15,8),-0.655044 # DEPENDENCYPART_ARC
(15,9),-1.03014 # DEPENDENCYPART_ARC
(15,10),0.686059 # DEPENDENCYPART_ARC
(15,11),1.65811 # DEPENDENCYPART_ARC
(15,12),-0.403685 # DEPENDENCYPART_ARC
(15,13),0.942663 # DEPENDENCYPART_ARC
(15,14),5.42295 # DEPENDENCYPART_ARC
(15,16),0.950234 # DEPENDENCYPART_ARC
(15,17),1.58285 # DEPENDENCYPART_ARC
(15,18),0.475053 # DEPENDENCYPART_ARC
(15,19),-0.0465563 # DEPENDENCYPART_ARC
(15,20),-0.0200621 # DEPENDENCYPART_ARC
(15,21),-1.07727 # DEPENDENCYPART_ARC
(15,22),-0.9459 # DEPENDENCYPART_ARC
(15,23),0.0486859 # DEPENDENCYPART_ARC
(15,24),-0.564234 # DEPENDENCYPART_ARC
(15,25),-0.203924 # DEPENDENCYPART_ARC
(15,26),-0.74986 # DEPENDENCYPART_ARC
(15,27),-1.20767 # DEPENDENCYPART_ARC
(15,28),-1.69613 # DEPENDENCYPART_ARC
(15,29),-2.92687 # DEPENDENCYPART_ARC
(15,30),-2.12722 # DEPENDENCYPART_ARC
(15,31),-1.70429 # DEPENDENCYPART_ARC
(15,32),-2.11022 # DEPENDENCYPART_ARC
(15,33),-1.34041 # DEPENDENCYPART_ARC
(15,34),-2.32265 # DEPENDENCYPART_ARC
(15,35),-2.92806 # DEPENDENCYPART_ARC
(15,36),1.83499 # DEPENDENCYPART_ARC
(16,1),-2.0334 # DEPENDENCYPART_ARC
(16,2),-1.82923 # DEPENDENCYPART_ARC
(16,3),-1.24808 # DEPENDENCYPART_ARC
(16,4),-1.63364 # DEPENDENCYPART_ARC
(16,5),-1.91052 # DEPENDENCYPART_ARC
(16,6),-1.59278 # DEPENDENCYPART_ARC
(16,7),-1.70541 # DEPENDENCYPART_ARC
(16,8),0.0316169 # DEPENDENCYPART_ARC
(16,9),-1.44578 # DEPENDENCYPART_ARC
(16,10),-0.837755 # DEPENDENCYPART_ARC
(16,11),-0.990749 # DEPENDENCYPART_ARC
(16,12),-1.04332 # DEPENDENCYPART_ARC
(16,13),-0.667874 # DEPENDENCYPART_ARC
(16,14),-0.297584 # DEPENDENCYPART_ARC
(16,15),-0.756795 # DEPENDENCYPART_ARC
(16,17),0.56844 # DEPENDENCYPART_ARC
(16,18),0.0917556 # DEPENDENCYPART_ARC
(16,19),-0.92568 # DEPENDENCYPART_ARC
(16,20),-0.806491 # DEPENDENCYPART_ARC
(16,21),-1.53434 # DEPENDENCYPART_ARC
(16,22),-1.53073 # DEPENDENCYPART_ARC
(16,23),-1.46204 # DEPENDENCYPART_ARC
(16,24),-1.97193 # DEPENDENCYPART_ARC
(16,25),-1.86146 # DEPENDENCYPART_ARC
(16,26),-1.44433 # DEPENDENCYPART_ARC
(16,27),-1.34956 # DEPENDENCYPART_ARC
(16,28),-2.39871 # DEPENDENCYPART_ARC
(16,29),-1.67291 # DEPENDENCYPART_ARC
(16,30),-2.41705 # DEPENDENCYPART_ARC
(16,31),-2.48688 # DEPENDENCYPART_ARC
(16,32),-2.02046 # DEPENDENCYPART_ARC
(16,33),-2.52465 # DEPENDENCYPART_ARC
(16,34),-2.97401 # DEPENDENCYPART_ARC
(16,35),-2.95583 # DEPENDENCYPART_ARC
(16,36),-2.01488 # DEPENDENCYPART_ARC
(17,1),-1.76558 # DEPENDENCYPART_ARC
(17,2),-2.30369 # DEPENDENCYPART_ARC
(17,3),-2.23308 # DEPENDENCYPART_ARC
(17,4),-2.10393 # DEPENDENCYPART_ARC
(17,5),-2.12195 # DEPENDENCYPART_ARC
(17,6),-1.83341 # DEPENDENCYPART_ARC
(17,7),-1.84469 # DEPENDENCYPART_ARC
(17,8),-1.37621 # DEPENDENCYPART_ARC
(17,9),-1.87148 # DEPENDENCYPART_ARC
(17,10),-0.378973 # DEPENDENCYPART_ARC
(17,11),0.354402 # DEPENDENCYPART_ARC
(17,12),-1.57312 # DEPENDENCYPART_ARC
(17,13),-0.939567 # DEPENDENCYPART_ARC
(17,14),0.362861 # DEPENDENCYPART_ARC
(17,15),-1.14961 # DEPENDENCYPART_ARC
(17,16),0.553913 # DEPENDENCYPART_ARC
(17,18),0.194904 # DEPENDENCYPART_ARC
(17,19),-0.925388 # DEPENDENCYPART_ARC
(17,20),-0.989575 # DEPENDENCYPART_ARC
(17,21),-1.98611 # DEPENDENCYPART_ARC
(17,22),-1.54997 # DEPENDENCYPART_ARC
(17,23),-1.97404 # DEPENDENCYPART_ARC
(17,24),-2.44091 # DEPENDENCYPART_ARC
(17,25),-2.12912 # DEPENDENCYPART_ARC
(17,26),-1.69432 # DEPENDENCYPART_ARC
(17,27),-1.8683 # DEPENDENCYPART_ARC
(17,28),-2.85985 # DEPENDENCYPART_ARC
(17,29),-2.1578 # DEPENDENCYPART_ARC
(17,30),-2.92868 # DEPENDENCYPART_ARC
(17,31),-2.74483 # DEPENDENCYPART_ARC
(17,32),-2.33074 # DEPENDENCYPART_ARC
(17,33),-3.12635 # DEPENDENCYPART_ARC
(17,34),-3.45311 # DEPENDENCYPART_ARC
(17,35),-3.06192 # DEPENDENCYPART_ARC
(17,36),-2.26777 # DEPENDENCYPART_ARC
(18,1),-2.34706 # DEPENDENCYPART_ARC
(18,2),-0.228889 # DEPENDENCYPART_ARC
(18,3),-0.532589 # DEPENDENCYPART_ARC
(18,4),-0.752292 # DEPENDENCYPART_ARC
(18,5),-0.678474 # DEPENDENCYPART_ARC
(18,6),-0.406158 # DEPENDENCYPART_ARC
(18,7),-1.27886 # DEPENDENCYPART_ARC
(18,8),0.315291 # DEPENDENCYPART_ARC
(18,9),0.18994 # DEPENDENCYPART_ARC
(18,10),-0.780256 # DEPENDENCYPART_ARC
(18,11),0.769862 # DEPENDENCYPART_ARC
(18,12),0.933386 # DEPENDENCYPART_ARC
(18,13),-0.947034 # DEPENDENCYPART_ARC
(18,14),-0.102748 # DEPENDENCYPART_ARC
(18,15),1.00451 # DEPENDENCYPART_ARC
(18,16),2.27162 # DEPENDENCYPART_ARC
(18,17),2.40733 # DEPENDENCYPART_ARC
(18,19),2.46783 # DEPENDENCYPART_ARC
(18,20),1.64601 # DEPENDENCYPART_ARC
(18,21),0.484043 # DEPENDENCYPART_ARC
(18,22),1.50168 # DEPENDENCYPART_ARC
(18,23),0.839745 # DEPENDENCYPART_ARC
(18,24),-0.0164882 # DEPENDENCYPART_ARC
(18,25),1.65412 # DEPENDENCYPART_ARC
(18,26),3.30905 # DEPENDENCYPART_ARC
(18,27),1.24664 # DEPENDENCYPART_ARC
(18,28),-0.214126 # DEPENDENCYPART_ARC
(18,29),0.23809 # DEPENDENCYPART_ARC
(18,30),-0.876006 # DEPENDENCYPART_ARC
(18,31),1.16476 # DEPENDENCYPART_ARC
(18,32),1.74649 # DEPENDENCYPART_ARC
(18,33),-1.22705 # DEPENDENCYPART_ARC
(18,34),-0.872785 # DEPENDENCYPART_ARC
(18,35),0.280403 # DEPENDENCYPART_ARC
(18,36),8.14049 # DEPENDENCYPART_ARC
(19,1),-0.93629 # DEPENDENCYPART_ARC
(19,2),-2.19769 # DEPENDENCYPART_ARC
(19,3),-1.69927 # DEPENDENCYPART_ARC
(19,4),-1.94436 # DEPENDENCYPART_ARC
(19,5),-1.40857 # DEPENDENCYPART_ARC
(19,6),-1.56196 # DEPENDENCYPART_ARC
(19,7),-0.8564 # DEPENDENCYPART_ARC
(19,8),-0.929085 # DEPENDENCYPART_ARC
(19,9),-0.623131 # DEPENDENCYPART_ARC
(19,10),0.341957 # DEPENDENCYPART_ARC
(19,11),-0.729479 # DEPENDENCYPART_ARC
(19,12),-1.2551 # DEPENDENCYPART_ARC
(19,13),-0.304142 # DEPENDENCYPART_ARC
(19,14),1.14833 # DEPENDENCYPART_ARC
(19,15),-0.530407 # DEPENDENCYPART_ARC
(19,16),0.589735 # DEPENDENCYPART_ARC
(19,17),0.733321 # DEPENDENCYPART_ARC
(19,18),1.19758 # DEPENDENCYPART_ARC
(19,20),2.91247 # DEPENDENCYPART_ARC
(19,21),0.843422 # DEPENDENCYPART_ARC
(19,22),1.16776 # DEPENDENCYPART_ARC
(19,23),1.39029 # DEPENDENCYPART_ARC
(19,24),0.450194 # DEPENDENCYPART_ARC
(19,25),0.575126 # DEPENDENCYPART_ARC
(19,26),1.44975 # DEPENDENCYPART_ARC
(19,27),0.610063 # DEPENDENCYPART_ARC
(19,28),-0.12898 # DEPENDENCYPART_ARC
(19,29),1.04428 # DEPENDENCYPART_ARC
(19,30),-0.395778 # DEPENDENCYPART_ARC
(19,31),-0.129922 # DEPENDENCYPART_ARC
(19,32),0.904 # DEPENDENCYPART_ARC
(19,33),-0.717212 # DEPENDENCYPART_ARC
(19,34),-0.816991 # DEPENDENCYPART_ARC
(19,35),-1.17068 # DEPENDENCYPART_ARC
(19,36),0.607293 # DEPENDENCYPART_ARC
(20,1),-2.95554 # DEPENDENCYPART_ARC
(20,2),-2.78932 # DEPENDENCYPART_ARC
(20,3),-2.63791 # DEPENDENCYPART_ARC
(20,4),-2.63713 # DEPENDENCYPART_ARC
(20,5),-2.2626 # DEPENDENCYPART_ARC
(20,6),-2.32189 # DEPENDENCYPART_ARC
(20,7),-1.9798 # DEPENDENCYPART_ARC
(20,8),-1.86158 # DEPENDENCYPART_ARC
(20,9),-1.80339 # DEPENDENCYPART_ARC
(20,10),-1.36937 # DEPENDENCYPART_ARC
(20,11),-0.521445 # DEPENDENCYPART_ARC
(20,12),-1.21636 # DEPENDENCYPART_ARC
(20,13),-1.30012 # DEPENDENCYPART_ARC
(20,14),-0.829151 # DEPENDENCYPART_ARC
(20,15),-0.808203 # DEPENDENCYPART_ARC
(20,16),-0.451627 # DEPENDENCYPART_ARC
(20,17),-0.438955 # DEPENDENCYPART_ARC
(20,18),-0.408895 # DEPENDENCYPART_ARC
(20,19),0.248718 # DEPENDENCYPART_ARC
(20,21),1.32194 # DEPENDENCYPART_ARC
(20,22),2.72034 # DEPENDENCYPART_ARC
(20,23),0.248445 # DEPENDENCYPART_ARC
(20,24),-0.137061 # DEPENDENCYPART_ARC
(20,25),3.30035 # DEPENDENCYPART_ARC
(20,26),-0.131804 # DEPENDENCYPART_ARC
(20,27),-0.0124412 # DEPENDENCYPART_ARC
(20,28),-0.852988 # DEPENDENCYPART_ARC
(20,29),-0.0764535 # DEPENDENCYPART_ARC
(20,30),-0.84659 # DEPENDENCYPART_ARC
(20,31),-0.751656 # DEPENDENCYPART_ARC
(20,32),-0.806408 # DEPENDENCYPART_ARC
(20,33),-2.54525 # DEPENDENCYPART_ARC
(20,34),-2.5832 # DEPENDENCYPART_ARC
(20,35),-3.35526 # DEPENDENCYPART_ARC
(20,36),1.52153 # DEPENDENCYPART_ARC
(21,1),-3.41326 # DEPENDENCYPART_ARC
(21,2),-3.51279 # DEPENDENCYPART_ARC
(21,3),-3.40819 # DEPENDENCYPART_ARC
(21,4),-3.29841 # DEPENDENCYPART_ARC
(21,5),-3.1824 # DEPENDENCYPART_ARC
(21,6),-2.96828 # DEPENDENCYPART_ARC
(21,7),-3.00017 # DEPENDENCYPART_ARC
(21,8),-2.60383 # DEPENDENCYPART_ARC
(21,9),-2.69936 # DEPENDENCYPART_ARC
(21,10),-2.44639 # DEPENDENCYPART_ARC
(21,11),-2.37524 # DEPENDENCYPART_ARC
(21,12),-2.5181 # DEPENDENCYPART_ARC
(21,13),-2.18767 # DEPENDENCYPART_ARC
(21,14),-1.75232 # DEPENDENCYPART_ARC
(21,15),-2.15461 # DEPENDENCYPART_ARC
(21,16),-1.64508 # DEPENDENCYPART_ARC
(21,17),-1.7214 # DEPENDENCYPART_ARC
(21,18),-1.54787 # DEPENDENCYPART_ARC
(21,19),-1.04702 # DEPENDENCYPART_ARC
(21,20),-0.4493 # DEPENDENCYPART_ARC
(21,22),0.286572 # DEPENDENCYPART_ARC
(21,23),-0.0797686 # DEPENDENCYPART_ARC
(21,24),-0.894749 # DEPENDENCYPART_ARC
(21,25),-0.54957 # DEPENDENCYPART_ARC
(21,26),-0.54832 # DEPENDENCYPART_ARC
(21,27),-0.980449 # DEPENDENCYPART_ARC
(21,28),-1.84813 # DEPENDENCYPART_ARC
(21,29),-1.34687 # DEPENDENCYPART_ARC
(21,30),-2.146 # DEPENDENCYPART_ARC
(21,31),-1.54591 # DEPENDENCYPART_ARC
(21,32),-1.65787 # DEPENDENCYPART_ARC
(21,33),-2.32902 # DEPENDENCYPART_ARC
(21,34),-2.45583 # DEPENDENCYPART_ARC
(21,35),-2.33796 # DEPENDENCYPART_ARC
(21,36),-1.64065 # DEPENDENCYPART_ARC
(22,1),-5.67757 # DEPENDENCYPART_ARC
(22,2),-3.18867 # DEPENDENCYPART_ARC
(22,3),-2.62689 # DEPENDENCYPART_ARC
(22,4),-3.24465 # DEPENDENCYPART_ARC
(22,5),-5.17167 # DEPENDENCYPART_ARC
(22,6),-2.36685 # DEPENDENCYPART_ARC
(22,7),-4.11552 # DEPENDENCYPART_ARC
(22,8),-1.57452 # DEPENDENCYPART_ARC
(22,9),-3.44118 # DEPENDENCYPART_ARC
(22,10),-2.94695 # DEPENDENCYPART_ARC
(22,11),-0.660125 # DEPENDENCYPART_ARC
(22,12),-3.5472 # DEPENDENCYPART_ARC
(22,13),-1.40677 # DEPENDENCYPART_ARC
(22,14),0.301021 # DEPENDENCYPART_ARC
(22,15),-2.01115 # DEPENDENCYPART_ARC
(22,16),-0.893662 # DEPENDENCYPART_ARC
(22,17),-0.334158 # DEPENDENCYPART_ARC
(22,18),-0.749801 # DEPENDENCYPART_ARC
(22,19),0.253541 # DEPENDENCYPART_ARC
(22,20),0.41776 # DEPENDENCYPART_ARC
(22,21),4.50746 # DEPENDENCYPART_ARC
(22,23),3.80405 # DEPENDENCYPART_ARC
(22,24),1.33403 # DEPENDENCYPART_ARC
(22,25),0.455947 # DEPENDENCYPART_ARC
(22,26),0.182278 # DEPENDENCYPART_ARC
(22,27),0.125906 # DEPENDENCYPART_ARC
(22,28),-0.494077 # DEPENDENCYPART_ARC
(22,29),0.274742 # DEPENDENCYPART_ARC
(22,30),-1.4871 # DEPENDENCYPART_ARC
(22,31),-0.957238 # DEPENDENCYPART_ARC
(22,32),-0.987214 # DEPENDENCYPART_ARC
(22,33),-0.927535 # DEPENDENCYPART_ARC
(22,34),-1.21833 # DEPENDENCYPART_ARC
(22,35),-1.68511 # DEPENDENCYPART_ARC
(22,36),1.08097 # DEPENDENCYPART_ARC
(23,1),-2.4415 # DEPENDENCYPART_ARC
(23,2),-3.09237 # DEPENDENCYPART_ARC
(23,3),-2.5839 # DEPENDENCYPART_ARC
(23,4),-2.71496 # DEPENDENCYPART_ARC
(23,5),-2.54168 # DEPENDENCYPART_ARC
(23,6),-2.59634 # DEPENDENCYPART_ARC
(23,7),-2.36989 # DEPENDENCYPART_ARC
(23,8),-1.64841 # DEPENDENCYPART_ARC
(23,9),-2.08183 # DEPENDENCYPART_ARC
(23,10),-1.29161 # DEPENDENCYPART_ARC
(23,11),-1.43455 # DEPENDENCYPART_ARC
(23,12),-2.60837 # DEPENDENCYPART_ARC
(23,13),-1.71023 # DEPENDENCYPART_ARC
(23,14),-0.451854 # DEPENDENCYPART_ARC
(23,15),-2.00215 # DEPENDENCYPART_ARC
(23,16),-1.11273 # DEPENDENCYPART_ARC
(23,17),-1.02012 # DEPENDENCYPART_ARC
(23,18),-1.07993 # DEPENDENCYPART_ARC
(23,19),-0.573487 # DEPENDENCYPART_ARC
(23,20),-0.318951 # DEPENDENCYPART_ARC
(23,21),0.756573 # DEPENDENCYPART_ARC
(23,22),0.195618 # DEPENDENCYPART_ARC
(23,24),0.194085 # DEPENDENCYPART_ARC
(23,25),-0.498131 # DEPENDENCYPART_ARC
(23,26),0.126227 # DEPENDENCYPART_ARC
(23,27),-0.768664 # DEPENDENCYPART_ARC
(23,28),-1.4118 # DEPENDENCYPART_ARC
(23,29),-1.64934 # DEPENDENCYPART_ARC
(23,30),-1.88099 # DEPENDENCYPART_ARC
(23,31),-2.12007 # DEPENDENCYPART_ARC
(23,32),-1.82736 # DEPENDENCYPART_ARC
(23,33),-1.824 # DEPENDENCYPART_ARC
(23,34),-2.35022 # DEPENDENCYPART_ARC
(23,35),-1.87336 # DEPENDENCYPART_ARC
(23,36),-1.65176 # DEPENDENCYPART_ARC
(24,1),-2.03905 # DEPENDENCYPART_ARC
(24,2),-2.80444 # DEPENDENCYPART_ARC
(24,3),-2.19482 # DEPENDENCYPART_ARC
(24,4),-2.51242 # DEPENDENCYPART_ARC
(24,5),-1.55457 # DEPENDENCYPART_ARC
(24,6),-1.58721 # DEPENDENCYPART_ARC
(24,7),-1.08425 # DEPENDENCYPART_ARC
(24,8),-1.7541 # DEPENDENCYPART_ARC
(24,9),-1.46485 # DEPENDENCYPART_ARC
(24,10),-0.952585 # DEPENDENCYPART_ARC
(24,11),-1.28011 # DEPENDENCYPART_ARC
(24,12),-2.04003 # DEPENDENCYPART_ARC
(24,13),-0.653565 # DEPENDENCYPART_ARC
(24,14),-0.2185 # DEPENDENCYPART_ARC
(24,15),-1.61553 # DEPENDENCYPART_ARC
(24,16),-0.966639 # DEPENDENCYPART_ARC
(24,17),-0.951333 # DEPENDENCYPART_ARC
(24,18),-0.640818 # DEPENDENCYPART_ARC
(24,19),0.818684 # DEPENDENCYPART_ARC
(24,20),1.08406 # DEPENDENCYPART_ARC
(24,21),0.925527 # DEPENDENCYPART_ARC
(24,22),0.271793 # DEPENDENCYPART_ARC
(24,23),1.12228 # DEPENDENCYPART_ARC
(24,25),0.502629 # DEPENDENCYPART_ARC
(24,26),-0.0686552 # DEPENDENCYPART_ARC
(24,27),-0.414792 # DEPENDENCYPART_ARC
(24,28),-1.10914 # DEPENDENCYPART_ARC
(24,29),-0.551971 # DEPENDENCYPART_ARC
(24,30),-1.53135 # DEPENDENCYPART_ARC
(24,31),-1.29222 # DEPENDENCYPART_ARC
(24,32),-0.692914 # DEPENDENCYPART_ARC
(24,33),-1.69102 # DEPENDENCYPART_ARC
(24,34),-1.88585 # DEPENDENCYPART_ARC
(24,35),-2.17012 # DEPENDENCYPART_ARC
(24,36),-0.714637 # DEPENDENCYPART_ARC
(25,1),-4.99755 # DEPENDENCYPART_ARC
(25,2),-3.35287 # DEPENDENCYPART_ARC
(25,3),-3.05901 # DEPENDENCYPART_ARC
(25,4),-3.05244 # DEPENDENCYPART_ARC
(25,5),-4.7423 # DEPENDENCYPART_ARC
(25,6),-0.580078 # DEPENDENCYPART_ARC
(25,7),-3.48418 # DEPENDENCYPART_ARC
(25,8),-0.586119 # DEPENDENCYPART_ARC
(25,9),-2.89336 # DEPENDENCYPART_ARC
(25,10),-2.4813 # DEPENDENCYPART_ARC
(25,11),-0.183281 # DEPENDENCYPART_ARC
(25,12),-1.99171 # DEPENDENCYPART_ARC
(25,13),-0.404274 # DEPENDENCYPART_ARC
(25,14),-0.340139 # DEPENDENCYPART_ARC
(25,15),-0.756516 # DEPENDENCYPART_ARC
(25,16),-0.558819 # DEPENDENCYPART_ARC
(25,17),-0.22121 # DEPENDENCYPART_ARC
(25,18),-0.492707 # DEPENDENCYPART_ARC
(25,19),0.436201 # DEPENDENCYPART_ARC
(25,20),0.915634 # DEPENDENCYPART_ARC
(25,21),2.96227 # DEPENDENCYPART_ARC
(25,22),3.6978 # DEPENDENCYPART_ARC
(25,23),1.55577 # DEPENDENCYPART_ARC
(25,24),3.91038 # DEPENDENCYPART_ARC
(25,26),0.705925 # DEPENDENCYPART_ARC
(25,27),1.13357 # DEPENDENCYPART_ARC
(25,28),0.129737 # DEPENDENCYPART_ARC
(25,29),0.416693 # DEPENDENCYPART_ARC
(25,30),-0.707125 # DEPENDENCYPART_ARC
(25,31),-0.625991 # DEPENDENCYPART_ARC
(25,32),0.300487 # DEPENDENCYPART_ARC
(25,33),-0.689833 # DEPENDENCYPART_ARC
(25,34),-0.880402 # DEPENDENCYPART_ARC
(25,35),-0.957941 # DEPENDENCYPART_ARC
(25,36),0.894408 # DEPENDENCYPART_ARC
(26,1),-2.97966 # DEPENDENCYPART_ARC
(26,2),-2.66307 # DEPENDENCYPART_ARC
(26,3),-1.84235 # DEPENDENCYPART_ARC
(26,4),-2.41835 # DEPENDENCYPART_ARC
(26,5),-2.90117 # DEPENDENCYPART_ARC
(26,6),-2.24095 # DEPENDENCYPART_ARC
(26,7),-2.72625 # DEPENDENCYPART_ARC
(26,8),-2.5362 # DEPENDENCYPART_ARC
(26,9),-2.3971 # DEPENDENCYPART_ARC
(26,10),-2.12005 # DEPENDENCYPART_ARC
(26,11),-2.17913 # DEPENDENCYPART_ARC
(26,12),-1.89061 # DEPENDENCYPART_ARC
(26,13),-1.43437 # DEPENDENCYPART_ARC
(26,14),-1.7238 # DEPENDENCYPART_ARC
(26,15),-1.45167 # DEPENDENCYPART_ARC
(26,16),-1.78516 # DEPENDENCYPART_ARC
(26,17),-1.81274 # DEPENDENCYPART_ARC
(26,18),-0.501651 # DEPENDENCYPART_ARC
(26,19),-1.3578 # DEPENDENCYPART_ARC
(26,20),-0.69588 # DEPENDENCYPART_ARC
(26,21),-0.392921 # DEPENDENCYPART_ARC
(26,22),-0.376894 # DEPENDENCYPART_ARC
(26,23),-0.466208 # DEPENDENCYPART_ARC
(26,24),-0.574931 # DEPENDENCYPART_ARC
(26,25),0.182831 # DEPENDENCYPART_ARC
(26,27),3.30287 # DEPENDENCYPART_ARC
(26,28),0.783458 # DEPENDENCYPART_ARC
(26,29),0.0896504 # DEPENDENCYPART_ARC
(26,30),-1.22744 # DEPENDENCYPART_ARC
(26,31),-0.479383 # DEPENDENCYPART_ARC
(26,32),-0.257026 # DEPENDENCYPART_ARC
(26,33),-1.37359 # DEPENDENCYPART_ARC
(26,34),-1.96157 # DEPENDENCYPART_ARC
(26,35),-2.2012 # DEPENDENCYPART_ARC
(26,36),-0.432027 # DEPENDENCYPART_ARC
(27,1),-3.57741 # DEPENDENCYPART_ARC
(27,2),-2.27587 # DEPENDENCYPART_ARC
(27,3),-1.94494 # DEPENDENCYPART_ARC
(27,4),-2.89819 # DEPENDENCYPART_ARC
(27,5),-2.05726 # DEPENDENCYPART_ARC
(27,6),-1.7909 # DEPENDENCYPART_ARC
(27,7),-2.64813 # DEPENDENCYPART_ARC
(27,8),-0.647178 # DEPENDENCYPART_ARC
(27,9),-1.46635 # DEPENDENCYPART_ARC
(27,10),-2.14801 # DEPENDENCYPART_ARC
(27,11),-0.78819 # DEPENDENCYPART_ARC
(27,12),-1.29674 # DEPENDENCYPART_ARC
(27,13),-3.33039 # DEPENDENCYPART_ARC
(27,14),-1.76413 # DEPENDENCYPART_ARC
(27,15),-1.45753 # DEPENDENCYPART_ARC
(27,16),0.115415 # DEPENDENCYPART_ARC
(27,17),-0.847329 # DEPENDENCYPART_ARC
(27,18),-1.08822 # DEPENDENCYPART_ARC
(27,19),-0.390003 # DEPENDENCYPART_ARC
(27,20),-1.43611 # DEPENDENCYPART_ARC
(27,21),-0.218906 # DEPENDENCYPART_ARC
(27,22),0.396315 # DEPENDENCYPART_ARC
(27,23),-0.627227 # DEPENDENCYPART_ARC
(27,24),0.120915 # DEPENDENCYPART_ARC
(27,25),0.137012 # DEPENDENCYPART_ARC
(27,26),0.990943 # DEPENDENCYPART_ARC
(27,28),2.05614 # DEPENDENCYPART_ARC
(27,29),1.24048 # DEPENDENCYPART_ARC
(27,30),0.00913791 # DEPENDENCYPART_ARC
(27,31),1.70302 # DEPENDENCYPART_ARC
(27,32),1.82344 # DEPENDENCYPART_ARC
(27,33),-0.645272 # DEPENDENCYPART_ARC
(27,34),-0.524483 # DEPENDENCYPART_ARC
(27,35),0.466143 # DEPENDENCYPART_ARC
(27,36),2.21571 # DEPENDENCYPART_ARC
(28,1),-2.26884 # DEPENDENCYPART_ARC
(28,2),-3.60365 # DEPENDENCYPART_ARC
(28,3),-2.76696 # DEPENDENCYPART_ARC
(28,4),-3.40638 # DEPENDENCYPART_ARC
(28,5),-2.39038 # DEPENDENCYPART_ARC
(28,6),-2.78871 # DEPENDENCYPART_ARC
(28,7),-1.92367 # DEPENDENCYPART_ARC
(28,8),-1.90225 # DEPENDENCYPART_ARC
(28,9),-2.03485 # DEPENDENCYPART_ARC
(28,10),-1.29299 # DEPENDENCYPART_ARC
(28,11),-2.03003 # DEPENDENCYPART_ARC
(28,12),-2.7434 # DEPENDENCYPART_ARC
(28,13),-1.13515 # DEPENDENCYPART_ARC
(28,14),-0.927236 # DEPENDENCYPART_ARC
(28,15),-2.47227 # DEPENDENCYPART_ARC
(28,16),-1.06679 # DEPENDENCYPART_ARC
(28,17),-1.65058 # DEPENDENCYPART_ARC
(28,18),-1.46729 # DEPENDENCYPART_ARC
(28,19),-0.642192 # DEPENDENCYPART_ARC
(28,20),-0.0527953 # DEPENDENCYPART_ARC
(28,21),-0.467156 # DEPENDENCYPART_ARC
(28,22),-1.35568 # DEPENDENCYPART_ARC
(28,23),-0.947231 # DEPENDENCYPART_ARC
(28,24),0.249393 # DEPENDENCYPART_ARC
(28,25),-0.118541 # DEPENDENCYPART_ARC
(28,26),0.293455 # DEPENDENCYPART_ARC
(28,27),1.07826 # DEPENDENCYPART_ARC
(28,29),3.32715 # DEPENDENCYPART_ARC
(28,30),0.929577 # DEPENDENCYPART_ARC
(28,31),1.09527 # DEPENDENCYPART_ARC
(28,32),1.9733 # DEPENDENCYPART_ARC
(28,33),0.208079 # DEPENDENCYPART_ARC
(28,34),0.23037 # DEPENDENCYPART_ARC
(28,35),0.401664 # DEPENDENCYPART_ARC
(28,36),1.10096 # DEPENDENCYPART_ARC
(29,1),-4.11792 # DEPENDENCYPART_ARC
(29,2),-3.88823 # DEPENDENCYPART_ARC
