# _root_ Two years ago , Tokyo 's biggest fall came the day after New York 's 22.6 % Black Monday plunge , when the Nikkei average fell 14.9 % .
#goldHeads=2,3,9,9,8,5,8,9,0,11,9,11,14,20,14,17,20,20,20,12,11,26,25,25,26,11,28,26,9,
#predictedHeads=2,3,26,9,8,5,8,9,0,11,9,9,14,20,14,17,20,20,20,12,20,26,25,25,26,9,28,26,9,
(18,3),-4.59573 # DEPENDENCYPART_ARC
(18,4),-4.57037 # DEPENDENCYPART_ARC
(18,5),-2.88319 # DEPENDENCYPART_ARC
(18,6),-3.75618 # DEPENDENCYPART_ARC
(18,7),-3.70653 # DEPENDENCYPART_ARC
(18,8),-2.42762 # DEPENDENCYPART_ARC
(18,9),-3.12014 # DEPENDENCYPART_ARC
(18,10),-1.35002 # DEPENDENCYPART_ARC
(18,11),-2.53196 # DEPENDENCYPART_ARC
(18,12),-2.85669 # DEPENDENCYPART_ARC
(18,13),1.66164 # DEPENDENCYPART_ARC
(18,14),0.93944 # DEPENDENCYPART_ARC
(18,15),-1.50546 # DEPENDENCYPART_ARC
(18,16),0.394977 # DEPENDENCYPART_ARC
(18,17),0.48435 # DEPENDENCYPART_ARC
(18,19),0.100162 # DEPENDENCYPART_ARC
(18,20),0.4327 # DEPENDENCYPART_ARC
(18,21),0.647479 # DEPENDENCYPART_ARC
(18,22),-2.27982 # DEPENDENCYPART_ARC
(18,23),-1.69698 # DEPENDENCYPART_ARC
(18,24),-2.71855 # DEPENDENCYPART_ARC
(18,25),-1.69947 # DEPENDENCYPART_ARC
(18,26),-1.27486 # DEPENDENCYPART_ARC
(18,27),-2.59198 # DEPENDENCYPART_ARC
(18,28),-3.49819 # DEPENDENCYPART_ARC
(18,29),-1.30352 # DEPENDENCYPART_ARC
(19,1),-2.59325 # DEPENDENCYPART_ARC
(19,2),-2.84633 # DEPENDENCYPART_ARC
(19,3),-4.17025 # DEPENDENCYPART_ARC
(19,4),-3.02168 # DEPENDENCYPART_ARC
(19,5),-2.88788 # DEPENDENCYPART_ARC
(19,6),-2.8504 # DEPENDENCYPART_ARC
(19,7),-3.01304 # DEPENDENCYPART_ARC
(19,8),-2.30024 # DEPENDENCYPART_ARC
(19,9),-2.37465 # DEPENDENCYPART_ARC
(19,10),-1.3148 # DEPENDENCYPART_ARC
(19,11),-2.30195 # DEPENDENCYPART_ARC
(19,12),-2.20421 # DEPENDENCYPART_ARC
(19,13),0.762815 # DEPENDENCYPART_ARC
(19,14),0.952552 # DEPENDENCYPART_ARC
(19,15),-0.87276 # DEPENDENCYPART_ARC
(19,16),0.643097 # DEPENDENCYPART_ARC
(19,17),1.00083 # DEPENDENCYPART_ARC
(19,18),1.55205 # DEPENDENCYPART_ARC
(19,20),0.672486 # DEPENDENCYPART_ARC
(19,21),-0.255961 # DEPENDENCYPART_ARC
(19,22),-1.77242 # DEPENDENCYPART_ARC
(19,23),-1.4806 # DEPENDENCYPART_ARC
(19,24),-2.07997 # DEPENDENCYPART_ARC
(19,25),-1.71228 # DEPENDENCYPART_ARC
(19,26),-0.213189 # DEPENDENCYPART_ARC
(19,27),-2.51881 # DEPENDENCYPART_ARC
(19,28),-3.33889 # DEPENDENCYPART_ARC
(19,29),-1.22292 # DEPENDENCYPART_ARC
(20,1),-0.415897 # DEPENDENCYPART_ARC
(20,2),-0.593694 # DEPENDENCYPART_ARC
(20,3),-3.43875 # DEPENDENCYPART_ARC
(20,4),-1.44498 # DEPENDENCYPART_ARC
(20,5),1.17283 # DEPENDENCYPART_ARC
(20,6),-0.782242 # DEPENDENCYPART_ARC
(20,7),0.303949 # DEPENDENCYPART_ARC
(20,8),-1.38831 # DEPENDENCYPART_ARC
(20,9),-1.13303 # DEPENDENCYPART_ARC
(20,10),2.4893 # DEPENDENCYPART_ARC
(20,11),0.187164 # DEPENDENCYPART_ARC
(20,12),0.137854 # DEPENDENCYPART_ARC
(20,13),4.3763 # DEPENDENCYPART_ARC
(20,14),4.2596 # DEPENDENCYPART_ARC
(20,15),1.06584 # DEPENDENCYPART_ARC
(20,16),2.97923 # DEPENDENCYPART_ARC
(20,17),3.31195 # DEPENDENCYPART_ARC
(20,18),4.59895 # DEPENDENCYPART_ARC
(20,19),4.48255 # DEPENDENCYPART_ARC
(20,21),3.18316 # DEPENDENCYPART_ARC
(20,22),0.776749 # DEPENDENCYPART_ARC
(20,23),1.08371 # DEPENDENCYPART_ARC
(20,24),1.96896 # DEPENDENCYPART_ARC
(20,25),1.14185 # DEPENDENCYPART_ARC
(20,26),1.25863 # DEPENDENCYPART_ARC
(20,27),0.835296 # DEPENDENCYPART_ARC
(20,28),0.0571568 # DEPENDENCYPART_ARC
(20,29),1.86724 # DEPENDENCYPART_ARC
(21,1),-3.16795 # DEPENDENCYPART_ARC
(21,2),-2.82376 # DEPENDENCYPART_ARC
(21,3),-3.39196 # DEPENDENCYPART_ARC
(21,4),-1.42178 # DEPENDENCYPART_ARC
(21,5),-2.96711 # DEPENDENCYPART_ARC
(21,6),-2.56506 # DEPENDENCYPART_ARC
(21,7),-2.49286 # DEPENDENCYPART_ARC
(21,8),-2.25372 # DEPENDENCYPART_ARC
(21,9),-2.09374 # DEPENDENCYPART_ARC
(21,10),-1.89176 # DEPENDENCYPART_ARC
(21,11),-2.1006 # DEPENDENCYPART_ARC
(21,12),-1.77933 # DEPENDENCYPART_ARC
(21,13),-2.06469 # DEPENDENCYPART_ARC
(21,14),-1.93886 # DEPENDENCYPART_ARC
(21,15),-1.57883 # DEPENDENCYPART_ARC
(21,16),-1.5612 # DEPENDENCYPART_ARC
(21,17),-1.14273 # DEPENDENCYPART_ARC
(21,18),-1.29571 # DEPENDENCYPART_ARC
(21,19),-1.42101 # DEPENDENCYPART_ARC
(21,20),-0.850584 # DEPENDENCYPART_ARC
(21,22),-0.747894 # DEPENDENCYPART_ARC
(21,23),-1.06643 # DEPENDENCYPART_ARC
(21,24),-0.967521 # DEPENDENCYPART_ARC
(21,25),-1.67525 # DEPENDENCYPART_ARC
(21,26),-1.24733 # DEPENDENCYPART_ARC
(21,27),-2.21478 # DEPENDENCYPART_ARC
(21,28),-2.23809 # DEPENDENCYPART_ARC
(21,29),-1.55582 # DEPENDENCYPART_ARC
(22,1),-3.14375 # DEPENDENCYPART_ARC
(22,2),-3.30869 # DEPENDENCYPART_ARC
(22,3),-2.7762 # DEPENDENCYPART_ARC
(22,4),-2.14928 # DEPENDENCYPART_ARC
(22,5),-2.63487 # DEPENDENCYPART_ARC
(22,6),-2.66681 # DEPENDENCYPART_ARC
(22,7),-2.39609 # DEPENDENCYPART_ARC
(22,8),-2.75749 # DEPENDENCYPART_ARC
(22,9),-2.23019 # DEPENDENCYPART_ARC
(22,10),-1.93514 # DEPENDENCYPART_ARC
(22,11),-2.45492 # DEPENDENCYPART_ARC
(22,12),-0.687938 # DEPENDENCYPART_ARC
(22,13),-1.69359 # DEPENDENCYPART_ARC
(22,14),-1.62033 # DEPENDENCYPART_ARC
(22,15),-1.68763 # DEPENDENCYPART_ARC
(22,16),-1.45423 # DEPENDENCYPART_ARC
(22,17),-1.4748 # DEPENDENCYPART_ARC
(22,18),-0.97969 # DEPENDENCYPART_ARC
(22,19),-0.651916 # DEPENDENCYPART_ARC
(22,20),-0.993434 # DEPENDENCYPART_ARC
(22,21),0.689667 # DEPENDENCYPART_ARC
(22,23),0.130461 # DEPENDENCYPART_ARC
(22,24),-0.10168 # DEPENDENCYPART_ARC
(22,25),-0.378173 # DEPENDENCYPART_ARC
(22,26),-0.440264 # DEPENDENCYPART_ARC
(22,27),-1.13115 # DEPENDENCYPART_ARC
(22,28),-1.14846 # DEPENDENCYPART_ARC
(22,29),0.0154816 # DEPENDENCYPART_ARC
(23,1),-4.41457 # DEPENDENCYPART_ARC
(23,2),-4.90535 # DEPENDENCYPART_ARC
(23,3),-4.74431 # DEPENDENCYPART_ARC
(23,4),-4.22654 # DEPENDENCYPART_ARC
(23,5),-4.35982 # DEPENDENCYPART_ARC
(23,6),-4.14601 # DEPENDENCYPART_ARC
(23,7),-3.82024 # DEPENDENCYPART_ARC
(23,8),-4.40194 # DEPENDENCYPART_ARC
(23,9),-3.80909 # DEPENDENCYPART_ARC
(23,10),-3.27629 # DEPENDENCYPART_ARC
(23,11),-4.10518 # DEPENDENCYPART_ARC
(23,12),-3.35688 # DEPENDENCYPART_ARC
(23,13),-3.40342 # DEPENDENCYPART_ARC
(23,14),-3.32414 # DEPENDENCYPART_ARC
(23,15),-3.19638 # DEPENDENCYPART_ARC
(23,16),-2.85961 # DEPENDENCYPART_ARC
(23,17),-3.22998 # DEPENDENCYPART_ARC
(23,18),-2.78623 # DEPENDENCYPART_ARC
(23,19),-2.56208 # DEPENDENCYPART_ARC
(23,20),-2.39032 # DEPENDENCYPART_ARC
(23,21),-1.87667 # DEPENDENCYPART_ARC
(23,22),-0.541917 # DEPENDENCYPART_ARC
(23,24),-0.356123 # DEPENDENCYPART_ARC
(23,25),-0.296527 # DEPENDENCYPART_ARC
(23,26),0.0684774 # DEPENDENCYPART_ARC
(23,27),-0.735159 # DEPENDENCYPART_ARC
(23,28),-1.22547 # DEPENDENCYPART_ARC
(23,29),-1.30204 # DEPENDENCYPART_ARC
(24,1),-4.38952 # DEPENDENCYPART_ARC
(24,2),-4.18344 # DEPENDENCYPART_ARC
(24,3),-5.39613 # DEPENDENCYPART_ARC
(24,4),-4.64074 # DEPENDENCYPART_ARC
(24,5),-4.29668 # DEPENDENCYPART_ARC
(24,6),-3.95706 # DEPENDENCYPART_ARC
(24,7),-4.05561 # DEPENDENCYPART_ARC
(24,8),-3.52652 # DEPENDENCYPART_ARC
(24,9),-3.83782 # DEPENDENCYPART_ARC
(24,10),-2.79772 # DEPENDENCYPART_ARC
(24,11),-3.7076 # DEPENDENCYPART_ARC
(24,12),-3.65855 # DEPENDENCYPART_ARC
(24,13),-1.39246 # DEPENDENCYPART_ARC
(24,14),-1.37686 # DEPENDENCYPART_ARC
(24,15),-2.74636 # DEPENDENCYPART_ARC
(24,16),-1.92281 # DEPENDENCYPART_ARC
(24,17),-2.01103 # DEPENDENCYPART_ARC
(24,18),-1.60167 # DEPENDENCYPART_ARC
(24,19),-1.03367 # DEPENDENCYPART_ARC
(24,20),-1.79039 # DEPENDENCYPART_ARC
(24,21),-0.834708 # DEPENDENCYPART_ARC
(24,22),-0.203134 # DEPENDENCYPART_ARC
(24,23),2.33063 # DEPENDENCYPART_ARC
(24,25),0.524033 # DEPENDENCYPART_ARC
(24,26),0.0374602 # DEPENDENCYPART_ARC
(24,27),-0.461987 # DEPENDENCYPART_ARC
(24,28),-1.80206 # DEPENDENCYPART_ARC
(24,29),-0.718398 # DEPENDENCYPART_ARC
(25,1),-2.59578 # DEPENDENCYPART_ARC
(25,2),-2.90248 # DEPENDENCYPART_ARC
(25,3),-5.78686 # DEPENDENCYPART_ARC
(25,4),-2.61352 # DEPENDENCYPART_ARC
(25,5),-2.04639 # DEPENDENCYPART_ARC
(25,6),-1.86387 # DEPENDENCYPART_ARC
(25,7),-1.00191 # DEPENDENCYPART_ARC
(25,8),-4.02953 # DEPENDENCYPART_ARC
(25,9),-2.40535 # DEPENDENCYPART_ARC
(25,10),-1.22723 # DEPENDENCYPART_ARC
(25,11),-2.82499 # DEPENDENCYPART_ARC
(25,12),-1.27585 # DEPENDENCYPART_ARC
(25,13),0.928916 # DEPENDENCYPART_ARC
(25,14),0.945521 # DEPENDENCYPART_ARC
(25,15),-0.492243 # DEPENDENCYPART_ARC
(25,16),0.225798 # DEPENDENCYPART_ARC
(25,17),-0.596231 # DEPENDENCYPART_ARC
(25,18),0.63391 # DEPENDENCYPART_ARC
(25,19),-0.157999 # DEPENDENCYPART_ARC
(25,20),-0.543481 # DEPENDENCYPART_ARC
(25,21),0.491574 # DEPENDENCYPART_ARC
(25,22),0.938583 # DEPENDENCYPART_ARC
(25,23),4.34095 # DEPENDENCYPART_ARC
(25,24),4.47082 # DEPENDENCYPART_ARC
(25,26),0.755629 # DEPENDENCYPART_ARC
(25,27),0.621807 # DEPENDENCYPART_ARC
(25,28),-0.407958 # DEPENDENCYPART_ARC
(25,29),0.148419 # DEPENDENCYPART_ARC
(26,1),-1.06954 # DEPENDENCYPART_ARC
(26,2),-0.938887 # DEPENDENCYPART_ARC
(26,3),1.28016 # DEPENDENCYPART_ARC
(26,4),2.15708 # DEPENDENCYPART_ARC
(26,5),0.284393 # DEPENDENCYPART_ARC
(26,6),-1.84324 # DEPENDENCYPART_ARC
(26,7),-1.04087 # DEPENDENCYPART_ARC
(26,8),0.0365426 # DEPENDENCYPART_ARC
(26,9),0.00827269 # DEPENDENCYPART_ARC
(26,10),-2.97449 # DEPENDENCYPART_ARC
(26,11),1.74448 # DEPENDENCYPART_ARC
(26,12),2.63679 # DEPENDENCYPART_ARC
(26,13),0.350913 # DEPENDENCYPART_ARC
(26,14),0.781599 # DEPENDENCYPART_ARC
(26,15),-0.601113 # DEPENDENCYPART_ARC
(26,16),-0.432493 # DEPENDENCYPART_ARC
(26,17),0.416075 # DEPENDENCYPART_ARC
(26,18),1.29641 # DEPENDENCYPART_ARC
(26,19),2.44837 # DEPENDENCYPART_ARC
(26,20),0.20337 # DEPENDENCYPART_ARC
(26,21),1.28753 # DEPENDENCYPART_ARC
(26,22),3.63153 # DEPENDENCYPART_ARC
(26,23),0.576849 # DEPENDENCYPART_ARC
(26,24),1.86645 # DEPENDENCYPART_ARC
(26,25),2.50687 # DEPENDENCYPART_ARC
(26,27),1.91659 # DEPENDENCYPART_ARC
(26,28),3.32759 # DEPENDENCYPART_ARC
(26,29),4.31316 # DEPENDENCYPART_ARC
(27,1),-3.71561 # DEPENDENCYPART_ARC
(27,2),-3.90151 # DEPENDENCYPART_ARC
(27,3),-3.72024 # DEPENDENCYPART_ARC
(27,4),-4.30142 # DEPENDENCYPART_ARC
(27,5),-3.46936 # DEPENDENCYPART_ARC
(27,6),-3.56769 # DEPENDENCYPART_ARC
(27,7),-2.62108 # DEPENDENCYPART_ARC
(27,8),-3.71835 # DEPENDENCYPART_ARC
(27,9),-3.21905 # DEPENDENCYPART_ARC
(27,10),-2.94173 # DEPENDENCYPART_ARC
(27,11),-3.32492 # DEPENDENCYPART_ARC
(27,12),-2.68461 # DEPENDENCYPART_ARC
(27,13),-2.42692 # DEPENDENCYPART_ARC
(27,14),-2.43269 # DEPENDENCYPART_ARC
(27,15),-2.70179 # DEPENDENCYPART_ARC
(27,16),-1.97 # DEPENDENCYPART_ARC
(27,17),-2.53627 # DEPENDENCYPART_ARC
(27,18),-1.84907 # DEPENDENCYPART_ARC
(27,19),-1.78141 # DEPENDENCYPART_ARC
(27,20),-2.24018 # DEPENDENCYPART_ARC
(27,21),-1.64224 # DEPENDENCYPART_ARC
(27,22),-0.91955 # DEPENDENCYPART_ARC
(27,23),-0.078966 # DEPENDENCYPART_ARC
(27,24),-0.43452 # DEPENDENCYPART_ARC
(27,25),-0.625218 # DEPENDENCYPART_ARC
(27,26),0.170122 # DEPENDENCYPART_ARC
(27,28),1.29354 # DEPENDENCYPART_ARC
(27,29),-0.379165 # DEPENDENCYPART_ARC
(28,1),-2.80108 # DEPENDENCYPART_ARC
(28,2),-3.79979 # DEPENDENCYPART_ARC
(28,3),-6.46576 # DEPENDENCYPART_ARC
(28,4),-3.56471 # DEPENDENCYPART_ARC
(28,5),-5.85243 # DEPENDENCYPART_ARC
(28,6),-2.59502 # DEPENDENCYPART_ARC
(28,7),-1.42585 # DEPENDENCYPART_ARC
(28,8),-6.78408 # DEPENDENCYPART_ARC
(28,9),-3.19285 # DEPENDENCYPART_ARC
(28,10),-4.57117 # DEPENDENCYPART_ARC
(28,11),-5.08403 # DEPENDENCYPART_ARC
(28,12),-1.53517 # DEPENDENCYPART_ARC
(28,13),-2.42278 # DEPENDENCYPART_ARC
(28,14),-2.53413 # DEPENDENCYPART_ARC
(28,15),-1.48704 # DEPENDENCYPART_ARC
(28,16),0.616237 # DEPENDENCYPART_ARC
(28,17),-2.46622 # DEPENDENCYPART_ARC
(28,18),-2.29183 # DEPENDENCYPART_ARC
(28,19),-2.95566 # DEPENDENCYPART_ARC
(28,20),-2.78534 # DEPENDENCYPART_ARC
(28,21),-0.919782 # DEPENDENCYPART_ARC
(28,22),-0.510348 # DEPENDENCYPART_ARC
(28,23),1.43662 # DEPENDENCYPART_ARC
(28,24),0.583507 # DEPENDENCYPART_ARC
(28,25),0.617641 # DEPENDENCYPART_ARC
(28,26),0.530244 # DEPENDENCYPART_ARC
(28,27),4.38988 # DEPENDENCYPART_ARC
(28,29),-0.148977 # DEPENDENCYPART_ARC
(29,1),-4.09712 # DEPENDENCYPART_ARC
(29,2),-3.77109 # DEPENDENCYPART_ARC
(29,3),-3.6548 # DEPENDENCYPART_ARC
(29,4),-2.61747 # DEPENDENCYPART_ARC
(29,5),-3.19722 # DEPENDENCYPART_ARC
(29,6),-3.59751 # DEPENDENCYPART_ARC
(29,7),-3.04094 # DEPENDENCYPART_ARC
(29,8),-2.9257 # DEPENDENCYPART_ARC
(29,9),-2.50935 # DEPENDENCYPART_ARC
(29,10),-2.61012 # DEPENDENCYPART_ARC
(29,11),-2.87778 # DEPENDENCYPART_ARC
(29,12),-2.69906 # DEPENDENCYPART_ARC
(29,13),-2.14315 # DEPENDENCYPART_ARC
(29,14),-2.1876 # DEPENDENCYPART_ARC
(29,15),-2.52527 # DEPENDENCYPART_ARC
(29,16),-2.50326 # DEPENDENCYPART_ARC
(29,17),-2.1305 # DEPENDENCYPART_ARC
(29,18),-1.81268 # DEPENDENCYPART_ARC
(29,19),-1.71269 # DEPENDENCYPART_ARC
(29,20),-1.84836 # DEPENDENCYPART_ARC
(29,21),-0.769495 # DEPENDENCYPART_ARC
(29,22),-1.09822 # DEPENDENCYPART_ARC
(29,23),-1.06459 # DEPENDENCYPART_ARC
(29,24),-1.6469 # DEPENDENCYPART_ARC
(29,25),-1.70606 # DEPENDENCYPART_ARC
(29,26),-1.03502 # DEPENDENCYPART_ARC
(29,27),-1.76434 # DEPENDENCYPART_ARC
(29,28),-1.75429 # DEPENDENCYPART_ARC
