# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,10,0,12,10,10,16,16,10,10,10,18,21,23,21,18,10,
(22,4),-2.50022 # DEPENDENCYPART_ARC
(22,5),-2.6361 # DEPENDENCYPART_ARC
(22,6),-2.48428 # DEPENDENCYPART_ARC
(22,7),-2.38436 # DEPENDENCYPART_ARC
(22,8),-2.30204 # DEPENDENCYPART_ARC
(22,9),-2.1806 # DEPENDENCYPART_ARC
(22,10),-2.17426 # DEPENDENCYPART_ARC
(22,11),-2.01443 # DEPENDENCYPART_ARC
(22,12),-2.39794 # DEPENDENCYPART_ARC
(22,13),-1.05098 # DEPENDENCYPART_ARC
(22,14),-0.953935 # DEPENDENCYPART_ARC
(22,15),-1.33877 # DEPENDENCYPART_ARC
(22,16),-1.77384 # DEPENDENCYPART_ARC
(22,17),-0.623783 # DEPENDENCYPART_ARC
(22,18),-0.597793 # DEPENDENCYPART_ARC
(22,19),-0.516899 # DEPENDENCYPART_ARC
(22,20),0.945162 # DEPENDENCYPART_ARC
(22,21),-0.0902434 # DEPENDENCYPART_ARC
(22,23),-0.452521 # DEPENDENCYPART_ARC
(22,24),-1.18089 # DEPENDENCYPART_ARC
(23,1),-3.65011 # DEPENDENCYPART_ARC
(23,2),-2.52961 # DEPENDENCYPART_ARC
(23,3),-3.50655 # DEPENDENCYPART_ARC
(23,4),-1.63869 # DEPENDENCYPART_ARC
(23,5),-1.34 # DEPENDENCYPART_ARC
(23,6),-1.91028 # DEPENDENCYPART_ARC
(23,7),-1.40911 # DEPENDENCYPART_ARC
(23,8),-1.3573 # DEPENDENCYPART_ARC
(23,9),-1.27259 # DEPENDENCYPART_ARC
(23,10),-1.01235 # DEPENDENCYPART_ARC
(23,11),-0.871068 # DEPENDENCYPART_ARC
(23,12),-1.01849 # DEPENDENCYPART_ARC
(23,13),0.215967 # DEPENDENCYPART_ARC
(23,14),-0.327947 # DEPENDENCYPART_ARC
(23,15),0.587893 # DEPENDENCYPART_ARC
(23,16),0.198305 # DEPENDENCYPART_ARC
(23,17),-0.124717 # DEPENDENCYPART_ARC
(23,18),-0.00415934 # DEPENDENCYPART_ARC
(23,19),0.307585 # DEPENDENCYPART_ARC
(23,20),2.01455 # DEPENDENCYPART_ARC
(23,21),4.65937 # DEPENDENCYPART_ARC
(23,22),1.67617 # DEPENDENCYPART_ARC
(23,24),0.153257 # DEPENDENCYPART_ARC
(24,1),-2.95138 # DEPENDENCYPART_ARC
(24,2),-3.07554 # DEPENDENCYPART_ARC
(24,3),-3.20431 # DEPENDENCYPART_ARC
(24,4),-3.14819 # DEPENDENCYPART_ARC
(24,5),-3.00398 # DEPENDENCYPART_ARC
(24,6),-2.7564 # DEPENDENCYPART_ARC
(24,7),-2.69216 # DEPENDENCYPART_ARC
(24,8),-2.6084 # DEPENDENCYPART_ARC
(24,9),-2.3341 # DEPENDENCYPART_ARC
(24,10),-1.43992 # DEPENDENCYPART_ARC
(24,11),-2.3378 # DEPENDENCYPART_ARC
(24,12),-1.79351 # DEPENDENCYPART_ARC
(24,13),0.0842568 # DEPENDENCYPART_ARC
(24,14),-1.50585 # DEPENDENCYPART_ARC
(24,15),-1.87773 # DEPENDENCYPART_ARC
(24,16),-1.39078 # DEPENDENCYPART_ARC
(24,17),-0.0744736 # DEPENDENCYPART_ARC
(24,18),-0.834088 # DEPENDENCYPART_ARC
(24,19),-1.47316 # DEPENDENCYPART_ARC
(24,20),-0.846332 # DEPENDENCYPART_ARC
(24,21),-1.25627 # DEPENDENCYPART_ARC
(24,22),-1.2731 # DEPENDENCYPART_ARC
(24,23),-1.49178 # DEPENDENCYPART_ARC
