# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,9,15,13,9,19,19,16,21,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(15,10),0.560485 # DEPENDENCYPART_ARC
(15,11),-0.149616 # DEPENDENCYPART_ARC
(15,12),-0.102197 # DEPENDENCYPART_ARC
(15,13),0.209094 # DEPENDENCYPART_ARC
(15,14),4.39389 # DEPENDENCYPART_ARC
(15,16),1.67016 # DEPENDENCYPART_ARC
(15,17),0.291658 # DEPENDENCYPART_ARC
(15,18),0.0376126 # DEPENDENCYPART_ARC
(15,19),0.48614 # DEPENDENCYPART_ARC
(15,20),0.972474 # DEPENDENCYPART_ARC
(15,21),-0.458237 # DEPENDENCYPART_ARC
(15,22),-0.434544 # DEPENDENCYPART_ARC
(15,23),-0.245431 # DEPENDENCYPART_ARC
(15,24),-0.58325 # DEPENDENCYPART_ARC
(15,25),-1.1606 # DEPENDENCYPART_ARC
(15,26),-0.935223 # DEPENDENCYPART_ARC
(15,27),-1.7705 # DEPENDENCYPART_ARC
(15,28),-1.49645 # DEPENDENCYPART_ARC
(15,29),-2.03435 # DEPENDENCYPART_ARC
(15,30),-0.903818 # DEPENDENCYPART_ARC
(15,31),-1.55095 # DEPENDENCYPART_ARC
(15,32),-2.05174 # DEPENDENCYPART_ARC
(15,33),-2.43646 # DEPENDENCYPART_ARC
(15,34),0.3047 # DEPENDENCYPART_ARC
(16,1),-1.83435 # DEPENDENCYPART_ARC
(16,2),-0.80619 # DEPENDENCYPART_ARC
(16,3),-1.90264 # DEPENDENCYPART_ARC
(16,4),-1.05456 # DEPENDENCYPART_ARC
(16,5),-0.992698 # DEPENDENCYPART_ARC
(16,6),-0.589432 # DEPENDENCYPART_ARC
(16,7),-0.622122 # DEPENDENCYPART_ARC
(16,8),0.945381 # DEPENDENCYPART_ARC
(16,9),-0.718134 # DEPENDENCYPART_ARC
(16,10),0.368887 # DEPENDENCYPART_ARC
(16,11),0.514458 # DEPENDENCYPART_ARC
(16,12),0.163478 # DEPENDENCYPART_ARC
(16,13),0.867001 # DEPENDENCYPART_ARC
(16,14),1.46023 # DEPENDENCYPART_ARC
(16,15),1.23913 # DEPENDENCYPART_ARC
(16,17),2.0318 # DEPENDENCYPART_ARC
(16,18),1.62041 # DEPENDENCYPART_ARC
(16,19),3.10518 # DEPENDENCYPART_ARC
(16,20),0.875142 # DEPENDENCYPART_ARC
(16,21),0.602579 # DEPENDENCYPART_ARC
(16,22),0.842729 # DEPENDENCYPART_ARC
(16,23),0.776492 # DEPENDENCYPART_ARC
(16,24),0.858917 # DEPENDENCYPART_ARC
(16,25),-0.680108 # DEPENDENCYPART_ARC
(16,26),-0.104109 # DEPENDENCYPART_ARC
(16,27),-0.677026 # DEPENDENCYPART_ARC
(16,28),-0.5167 # DEPENDENCYPART_ARC
(16,29),0.0233624 # DEPENDENCYPART_ARC
(16,30),-0.00728405 # DEPENDENCYPART_ARC
(16,31),-1.18279 # DEPENDENCYPART_ARC
(16,32),-1.11805 # DEPENDENCYPART_ARC
(16,33),-2.13394 # DEPENDENCYPART_ARC
(16,34),0.67621 # DEPENDENCYPART_ARC
(17,1),-2.03366 # DEPENDENCYPART_ARC
(17,2),-2.4835 # DEPENDENCYPART_ARC
(17,3),-2.7672 # DEPENDENCYPART_ARC
(17,4),-2.30286 # DEPENDENCYPART_ARC
(17,5),-2.06974 # DEPENDENCYPART_ARC
(17,6),-1.98806 # DEPENDENCYPART_ARC
(17,7),-0.978238 # DEPENDENCYPART_ARC
(17,8),-0.543045 # DEPENDENCYPART_ARC
(17,9),-2.0306 # DEPENDENCYPART_ARC
(17,10),-0.669649 # DEPENDENCYPART_ARC
(17,11),-1.16264 # DEPENDENCYPART_ARC
(17,12),-0.495666 # DEPENDENCYPART_ARC
(17,13),-0.31048 # DEPENDENCYPART_ARC
(17,14),0.642533 # DEPENDENCYPART_ARC
(17,15),-0.0399906 # DEPENDENCYPART_ARC
(17,16),0.506429 # DEPENDENCYPART_ARC
(17,18),1.75878 # DEPENDENCYPART_ARC
(17,19),1.23923 # DEPENDENCYPART_ARC
(17,20),0.565881 # DEPENDENCYPART_ARC
(17,21),0.176019 # DEPENDENCYPART_ARC
(17,22),-0.0737504 # DEPENDENCYPART_ARC
(17,23),-0.162562 # DEPENDENCYPART_ARC
(17,24),-0.265213 # DEPENDENCYPART_ARC
(17,25),-1.25081 # DEPENDENCYPART_ARC
(17,26),-0.561498 # DEPENDENCYPART_ARC
(17,27),-1.25354 # DEPENDENCYPART_ARC
(17,28),-0.671496 # DEPENDENCYPART_ARC
(17,29),-1.02464 # DEPENDENCYPART_ARC
(17,30),-0.813069 # DEPENDENCYPART_ARC
(17,31),-1.34586 # DEPENDENCYPART_ARC
(17,32),-1.332 # DEPENDENCYPART_ARC
(17,33),-0.706492 # DEPENDENCYPART_ARC
(17,34),0.0825846 # DEPENDENCYPART_ARC
(18,1),-1.81794 # DEPENDENCYPART_ARC
(18,2),-2.46226 # DEPENDENCYPART_ARC
(18,3),-2.76067 # DEPENDENCYPART_ARC
(18,4),-2.34457 # DEPENDENCYPART_ARC
(18,5),-2.05115 # DEPENDENCYPART_ARC
(18,6),-1.76263 # DEPENDENCYPART_ARC
(18,7),-1.37244 # DEPENDENCYPART_ARC
(18,8),-0.504932 # DEPENDENCYPART_ARC
(18,9),-2.01425 # DEPENDENCYPART_ARC
(18,10),-0.562599 # DEPENDENCYPART_ARC
(18,11),-1.11947 # DEPENDENCYPART_ARC
(18,12),-0.968067 # DEPENDENCYPART_ARC
(18,13),-0.705671 # DEPENDENCYPART_ARC
(18,14),0.496457 # DEPENDENCYPART_ARC
(18,15),-0.189259 # DEPENDENCYPART_ARC
(18,16),-0.0628719 # DEPENDENCYPART_ARC
(18,17),2.52681 # DEPENDENCYPART_ARC
(18,19),1.00824 # DEPENDENCYPART_ARC
(18,20),0.393897 # DEPENDENCYPART_ARC
(18,21),-0.311907 # DEPENDENCYPART_ARC
(18,22),-0.880457 # DEPENDENCYPART_ARC
(18,23),-0.523927 # DEPENDENCYPART_ARC
(18,24),-1.25437 # DEPENDENCYPART_ARC
(18,25),-1.90967 # DEPENDENCYPART_ARC
(18,26),-1.21956 # DEPENDENCYPART_ARC
(18,27),-2.03055 # DEPENDENCYPART_ARC
(18,28),-1.32649 # DEPENDENCYPART_ARC
(18,29),-1.69797 # DEPENDENCYPART_ARC
(18,30),-1.59348 # DEPENDENCYPART_ARC
(18,31),-2.09779 # DEPENDENCYPART_ARC
(18,32),-2.0397 # DEPENDENCYPART_ARC
(18,33),-1.46915 # DEPENDENCYPART_ARC
(18,34),-0.258883 # DEPENDENCYPART_ARC
(19,1),-3.45369 # DEPENDENCYPART_ARC
(19,2),-3.33583 # DEPENDENCYPART_ARC
(19,3),-1.22296 # DEPENDENCYPART_ARC
(19,4),-2.32509 # DEPENDENCYPART_ARC
(19,5),-1.95208 # DEPENDENCYPART_ARC
(19,6),-2.43101 # DEPENDENCYPART_ARC
(19,7),-0.985591 # DEPENDENCYPART_ARC
(19,8),-0.578366 # DEPENDENCYPART_ARC
(19,9),-0.557813 # DEPENDENCYPART_ARC
(19,10),0.741574 # DEPENDENCYPART_ARC
(19,11),-0.231679 # DEPENDENCYPART_ARC
(19,12),-1.03515 # DEPENDENCYPART_ARC
(19,13),-0.944473 # DEPENDENCYPART_ARC
(19,14),2.28014 # DEPENDENCYPART_ARC
(19,15),1.32019 # DEPENDENCYPART_ARC
(19,16),1.70384 # DEPENDENCYPART_ARC
(19,17),3.69276 # DEPENDENCYPART_ARC
(19,18),3.98707 # DEPENDENCYPART_ARC
(19,20),1.2166 # DEPENDENCYPART_ARC
(19,21),0.81126 # DEPENDENCYPART_ARC
(19,22),-0.0361409 # DEPENDENCYPART_ARC
(19,23),-0.247891 # DEPENDENCYPART_ARC
(19,24),-0.412706 # DEPENDENCYPART_ARC
(19,25),-0.97957 # DEPENDENCYPART_ARC
(19,26),-0.679963 # DEPENDENCYPART_ARC
(19,27),-1.51217 # DEPENDENCYPART_ARC
(19,28),-0.818105 # DEPENDENCYPART_ARC
(19,29),-1.21218 # DEPENDENCYPART_ARC
(19,30),-1.28392 # DEPENDENCYPART_ARC
(19,31),-1.4039 # DEPENDENCYPART_ARC
(19,32),-1.427 # DEPENDENCYPART_ARC
(19,33),-2.02833 # DEPENDENCYPART_ARC
(19,34),-0.690705 # DEPENDENCYPART_ARC
(20,1),-2.88284 # DEPENDENCYPART_ARC
(20,2),-2.45695 # DEPENDENCYPART_ARC
(20,3),-2.75265 # DEPENDENCYPART_ARC
(20,4),-2.33608 # DEPENDENCYPART_ARC
(20,5),-0.276979 # DEPENDENCYPART_ARC
(20,6),-2.07406 # DEPENDENCYPART_ARC
(20,7),-2.01825 # DEPENDENCYPART_ARC
(20,8),-1.42679 # DEPENDENCYPART_ARC
(20,9),-1.45782 # DEPENDENCYPART_ARC
(20,10),-1.42274 # DEPENDENCYPART_ARC
(20,11),-1.44572 # DEPENDENCYPART_ARC
(20,12),-2.18657 # DEPENDENCYPART_ARC
(20,13),-1.47419 # DEPENDENCYPART_ARC
(20,14),-0.839309 # DEPENDENCYPART_ARC
(20,15),-1.56497 # DEPENDENCYPART_ARC
(20,16),-0.999288 # DEPENDENCYPART_ARC
(20,17),-0.86705 # DEPENDENCYPART_ARC
(20,18),-1.00533 # DEPENDENCYPART_ARC
(20,19),-0.886377 # DEPENDENCYPART_ARC
(20,21),-0.434375 # DEPENDENCYPART_ARC
(20,22),-1.68111 # DEPENDENCYPART_ARC
(20,23),-1.88062 # DEPENDENCYPART_ARC
(20,24),-1.8162 # DEPENDENCYPART_ARC
(20,25),-2.49567 # DEPENDENCYPART_ARC
(20,26),-2.5479 # DEPENDENCYPART_ARC
(20,27),-2.9466 # DEPENDENCYPART_ARC
(20,28),-3.13079 # DEPENDENCYPART_ARC
(20,29),-3.26638 # DEPENDENCYPART_ARC
(20,30),-2.3662 # DEPENDENCYPART_ARC
(20,31),-3.04301 # DEPENDENCYPART_ARC
(20,32),-3.49699 # DEPENDENCYPART_ARC
(20,33),-3.49232 # DEPENDENCYPART_ARC
(20,34),-2.56215 # DEPENDENCYPART_ARC
(21,1),0.239974 # DEPENDENCYPART_ARC
(21,2),0.549471 # DEPENDENCYPART_ARC
(21,3),-0.0408701 # DEPENDENCYPART_ARC
(21,4),1.08911 # DEPENDENCYPART_ARC
(21,5),0.498838 # DEPENDENCYPART_ARC
(21,6),0.00697913 # DEPENDENCYPART_ARC
(21,7),-0.259814 # DEPENDENCYPART_ARC
(21,8),0.453792 # DEPENDENCYPART_ARC
(21,9),-0.307546 # DEPENDENCYPART_ARC
(21,10),-0.887009 # DEPENDENCYPART_ARC
(21,11),0.63484 # DEPENDENCYPART_ARC
(21,12),0.118802 # DEPENDENCYPART_ARC
(21,13),0.919032 # DEPENDENCYPART_ARC
(21,14),0.307436 # DEPENDENCYPART_ARC
(21,15),1.90985 # DEPENDENCYPART_ARC
(21,16),0.871226 # DEPENDENCYPART_ARC
(21,17),1.16628 # DEPENDENCYPART_ARC
(21,18),1.20602 # DEPENDENCYPART_ARC
(21,19),1.88773 # DEPENDENCYPART_ARC
(21,20),1.76209 # DEPENDENCYPART_ARC
(21,22),2.4629 # DEPENDENCYPART_ARC
(21,23),2.89885 # DEPENDENCYPART_ARC
(21,24),2.35206 # DEPENDENCYPART_ARC
(21,25),-0.172698 # DEPENDENCYPART_ARC
(21,26),0.911405 # DEPENDENCYPART_ARC
(21,27),-0.205196 # DEPENDENCYPART_ARC
(21,28),-0.0490304 # DEPENDENCYPART_ARC
(21,29),1.05731 # DEPENDENCYPART_ARC
(21,30),1.57456 # DEPENDENCYPART_ARC
(21,31),-0.506903 # DEPENDENCYPART_ARC
(21,32),0.0129386 # DEPENDENCYPART_ARC
(21,33),-0.567454 # DEPENDENCYPART_ARC
(21,34),5.31882 # DEPENDENCYPART_ARC
(22,1),-2.21274 # DEPENDENCYPART_ARC
(22,2),-3.01034 # DEPENDENCYPART_ARC
(22,3),-3.38893 # DEPENDENCYPART_ARC
(22,4),-2.91692 # DEPENDENCYPART_ARC
(22,5),-2.34104 # DEPENDENCYPART_ARC
(22,6),-1.83222 # DEPENDENCYPART_ARC
(22,7),-2.02369 # DEPENDENCYPART_ARC
(22,8),-1.3272 # DEPENDENCYPART_ARC
(22,9),-2.28709 # DEPENDENCYPART_ARC
(22,10),-1.33906 # DEPENDENCYPART_ARC
(22,11),-2.60015 # DEPENDENCYPART_ARC
(22,12),-1.52599 # DEPENDENCYPART_ARC
(22,13),-1.67925 # DEPENDENCYPART_ARC
(22,14),-1.39793 # DEPENDENCYPART_ARC
(22,15),-1.67388 # DEPENDENCYPART_ARC
(22,16),-1.55907 # DEPENDENCYPART_ARC
(22,17),-0.731222 # DEPENDENCYPART_ARC
(22,18),-0.63817 # DEPENDENCYPART_ARC
(22,19),-1.07269 # DEPENDENCYPART_ARC
(22,20),-0.252306 # DEPENDENCYPART_ARC
(22,21),0.0187764 # DEPENDENCYPART_ARC
(22,23),1.09319 # DEPENDENCYPART_ARC
(22,24),0.546834 # DEPENDENCYPART_ARC
(22,25),-0.348239 # DEPENDENCYPART_ARC
(22,26),-0.170693 # DEPENDENCYPART_ARC
(22,27),-0.355002 # DEPENDENCYPART_ARC
(22,28),-0.737674 # DEPENDENCYPART_ARC
(22,29),-1.20054 # DEPENDENCYPART_ARC
(22,30),-0.885779 # DEPENDENCYPART_ARC
(22,31),-1.60917 # DEPENDENCYPART_ARC
(22,32),-1.66483 # DEPENDENCYPART_ARC
(22,33),-1.88539 # DEPENDENCYPART_ARC
(22,34),-0.417405 # DEPENDENCYPART_ARC
(23,1),-1.7856 # DEPENDENCYPART_ARC
(23,2),-2.44681 # DEPENDENCYPART_ARC
(23,3),-2.34658 # DEPENDENCYPART_ARC
(23,4),-2.18521 # DEPENDENCYPART_ARC
(23,5),-1.55238 # DEPENDENCYPART_ARC
(23,6),-1.43658 # DEPENDENCYPART_ARC
(23,7),-1.03623 # DEPENDENCYPART_ARC
(23,8),-0.327042 # DEPENDENCYPART_ARC
(23,9),-1.86024 # DEPENDENCYPART_ARC
(23,10),-0.663691 # DEPENDENCYPART_ARC
(23,11),-1.19854 # DEPENDENCYPART_ARC
(23,12),-0.588037 # DEPENDENCYPART_ARC
(23,13),-0.534964 # DEPENDENCYPART_ARC
(23,14),0.505709 # DEPENDENCYPART_ARC
(23,15),-0.646694 # DEPENDENCYPART_ARC
(23,16),-0.588847 # DEPENDENCYPART_ARC
(23,17),0.646616 # DEPENDENCYPART_ARC
(23,18),0.855107 # DEPENDENCYPART_ARC
(23,19),-0.213731 # DEPENDENCYPART_ARC
(23,20),0.776592 # DEPENDENCYPART_ARC
(23,21),0.111409 # DEPENDENCYPART_ARC
(23,22),3.69816 # DEPENDENCYPART_ARC
(23,24),2.1573 # DEPENDENCYPART_ARC
(23,25),0.243887 # DEPENDENCYPART_ARC
(23,26),0.681486 # DEPENDENCYPART_ARC
(23,27),1.07731 # DEPENDENCYPART_ARC
(23,28),0.195231 # DEPENDENCYPART_ARC
(23,29),-0.382963 # DEPENDENCYPART_ARC
(23,30),0.38743 # DEPENDENCYPART_ARC
(23,31),-0.643253 # DEPENDENCYPART_ARC
(23,32),-0.654302 # DEPENDENCYPART_ARC
(23,33),-0.421246 # DEPENDENCYPART_ARC
(23,34),0.923093 # DEPENDENCYPART_ARC
(24,1),-2.18064 # DEPENDENCYPART_ARC
(24,2),-1.4497 # DEPENDENCYPART_ARC
(24,3),-2.6064 # DEPENDENCYPART_ARC
(24,4),-1.61049 # DEPENDENCYPART_ARC
(24,5),-2.97702 # DEPENDENCYPART_ARC
(24,6),-2.08671 # DEPENDENCYPART_ARC
(24,7),-1.93019 # DEPENDENCYPART_ARC
(24,8),-0.266646 # DEPENDENCYPART_ARC
(24,9),-1.8013 # DEPENDENCYPART_ARC
(24,10),-1.66962 # DEPENDENCYPART_ARC
(24,11),-2.19325 # DEPENDENCYPART_ARC
(24,12),-1.10635 # DEPENDENCYPART_ARC
(24,13),-1.26662 # DEPENDENCYPART_ARC
(24,14),-0.494605 # DEPENDENCYPART_ARC
(24,15),-0.0228144 # DEPENDENCYPART_ARC
(24,16),-1.2206 # DEPENDENCYPART_ARC
(24,17),-0.326646 # DEPENDENCYPART_ARC
(24,18),-0.201191 # DEPENDENCYPART_ARC
(24,19),-0.282464 # DEPENDENCYPART_ARC
(24,20),-0.64694 # DEPENDENCYPART_ARC
(24,21),-0.101211 # DEPENDENCYPART_ARC
(24,22),0.990957 # DEPENDENCYPART_ARC
(24,23),0.34607 # DEPENDENCYPART_ARC
(24,25),0.652416 # DEPENDENCYPART_ARC
(24,26),1.07684 # DEPENDENCYPART_ARC
(24,27),1.09396 # DEPENDENCYPART_ARC
(24,28),0.601564 # DEPENDENCYPART_ARC
(24,29),2.31922 # DEPENDENCYPART_ARC
(24,30),-0.0055911 # DEPENDENCYPART_ARC
(24,31),-1.40483 # DEPENDENCYPART_ARC
(24,32),-0.437657 # DEPENDENCYPART_ARC
(24,33),-0.640013 # DEPENDENCYPART_ARC
(24,34),0.0916875 # DEPENDENCYPART_ARC
(25,1),-4.64812 # DEPENDENCYPART_ARC
(25,2),-4.79774 # DEPENDENCYPART_ARC
(25,3),-4.5218 # DEPENDENCYPART_ARC
(25,4),-4.54692 # DEPENDENCYPART_ARC
(25,5),-4.01369 # DEPENDENCYPART_ARC
(25,6),-3.80505 # DEPENDENCYPART_ARC
(25,7),-3.6674 # DEPENDENCYPART_ARC
(25,8),-3.09587 # DEPENDENCYPART_ARC
(25,9),-3.61268 # DEPENDENCYPART_ARC
(25,10),-3.283 # DEPENDENCYPART_ARC
(25,11),-3.98755 # DEPENDENCYPART_ARC
(25,12),-3.3628 # DEPENDENCYPART_ARC
(25,13),-3.31385 # DEPENDENCYPART_ARC
(25,14),-2.6345 # DEPENDENCYPART_ARC
(25,15),-3.13742 # DEPENDENCYPART_ARC
(25,16),-2.8043 # DEPENDENCYPART_ARC
(25,17),-2.78918 # DEPENDENCYPART_ARC
(25,18),-2.63148 # DEPENDENCYPART_ARC
(25,19),-2.68733 # DEPENDENCYPART_ARC
(25,20),-2.20693 # DEPENDENCYPART_ARC
(25,21),-2.27045 # DEPENDENCYPART_ARC
(25,22),-1.45405 # DEPENDENCYPART_ARC
(25,23),-1.58784 # DEPENDENCYPART_ARC
(25,24),-1.0111 # DEPENDENCYPART_ARC
(25,26),0.270033 # DEPENDENCYPART_ARC
(25,27),-0.206999 # DEPENDENCYPART_ARC
(25,28),-0.947818 # DEPENDENCYPART_ARC
(25,29),-1.12936 # DEPENDENCYPART_ARC
(25,30),-1.53188 # DEPENDENCYPART_ARC
(25,31),-2.06451 # DEPENDENCYPART_ARC
(25,32),-1.61557 # DEPENDENCYPART_ARC
(25,33),-2.19918 # DEPENDENCYPART_ARC
(25,34),-1.68995 # DEPENDENCYPART_ARC
(26,1),-3.31545 # DEPENDENCYPART_ARC
(26,2),-3.65709 # DEPENDENCYPART_ARC
(26,3),-3.78398 # DEPENDENCYPART_ARC
(26,4),-3.416 # DEPENDENCYPART_ARC
(26,5),-2.87476 # DEPENDENCYPART_ARC
(26,6),-2.9957 # DEPENDENCYPART_ARC
(26,7),-2.06813 # DEPENDENCYPART_ARC
(26,8),-1.64515 # DEPENDENCYPART_ARC
(26,9),-3.07983 # DEPENDENCYPART_ARC
(26,10),-2.40257 # DEPENDENCYPART_ARC
(26,11),-2.41049 # DEPENDENCYPART_ARC
(26,12),-2.29414 # DEPENDENCYPART_ARC
(26,13),-1.75552 # DEPENDENCYPART_ARC
(26,14),-1.08482 # DEPENDENCYPART_ARC
(26,15),-1.97622 # DEPENDENCYPART_ARC
(26,16),-1.85135 # DEPENDENCYPART_ARC
(26,17),-1.06214 # DEPENDENCYPART_ARC
(26,18),-1.00649 # DEPENDENCYPART_ARC
(26,19),-1.63789 # DEPENDENCYPART_ARC
(26,20),-1.12546 # DEPENDENCYPART_ARC
(26,21),-1.68888 # DEPENDENCYPART_ARC
(26,22),0.259461 # DEPENDENCYPART_ARC
(26,23),-0.0500148 # DEPENDENCYPART_ARC
(26,24),0.686757 # DEPENDENCYPART_ARC
(26,25),1.82818 # DEPENDENCYPART_ARC
(26,27),2.11123 # DEPENDENCYPART_ARC
(26,28),1.30899 # DEPENDENCYPART_ARC
(26,29),0.512436 # DEPENDENCYPART_ARC
(26,30),0.394005 # DEPENDENCYPART_ARC
(26,31),0.153827 # DEPENDENCYPART_ARC
(26,32),-0.178101 # DEPENDENCYPART_ARC
(26,33),0.0675089 # DEPENDENCYPART_ARC
(26,34),0.292437 # DEPENDENCYPART_ARC
(27,1),-2.6606 # DEPENDENCYPART_ARC
(27,2),-3.32016 # DEPENDENCYPART_ARC
(27,3),-3.58597 # DEPENDENCYPART_ARC
(27,4),-3.13788 # DEPENDENCYPART_ARC
(27,5),-2.68278 # DEPENDENCYPART_ARC
(27,6),-1.58105 # DEPENDENCYPART_ARC
(27,7),-1.93914 # DEPENDENCYPART_ARC
(27,8),-1.47792 # DEPENDENCYPART_ARC
(27,9),-2.12591 # DEPENDENCYPART_ARC
(27,10),-0.298563 # DEPENDENCYPART_ARC
(27,11),-2.4345 # DEPENDENCYPART_ARC
(27,12),-1.55453 # DEPENDENCYPART_ARC
(27,13),-2.52044 # DEPENDENCYPART_ARC
(27,14),-0.969908 # DEPENDENCYPART_ARC
(27,15),-1.73837 # DEPENDENCYPART_ARC
(27,16),-1.30997 # DEPENDENCYPART_ARC
(27,17),-0.631334 # DEPENDENCYPART_ARC
(27,18),-0.604796 # DEPENDENCYPART_ARC
(27,19),-1.22209 # DEPENDENCYPART_ARC
(27,20),-0.918747 # DEPENDENCYPART_ARC
(27,21),-0.73336 # DEPENDENCYPART_ARC
(27,22),0.0717462 # DEPENDENCYPART_ARC
(27,23),0.33989 # DEPENDENCYPART_ARC
(27,24),0.187285 # DEPENDENCYPART_ARC
(27,25),2.23078 # DEPENDENCYPART_ARC
(27,26),1.85473 # DEPENDENCYPART_ARC
(27,28),2.0745 # DEPENDENCYPART_ARC
(27,29),0.429984 # DEPENDENCYPART_ARC
(27,30),0.457204 # DEPENDENCYPART_ARC
(27,31),-0.185589 # DEPENDENCYPART_ARC
(27,32),0.152328 # DEPENDENCYPART_ARC
(27,33),-0.597942 # DEPENDENCYPART_ARC
(27,34),-0.408261 # DEPENDENCYPART_ARC
(28,1),-7.97868 # DEPENDENCYPART_ARC
(28,2),-6.40034 # DEPENDENCYPART_ARC
(28,3),-2.23845 # DEPENDENCYPART_ARC
(28,4),-5.59917 # DEPENDENCYPART_ARC
(28,5),-4.04876 # DEPENDENCYPART_ARC
(28,6),-7.83961 # DEPENDENCYPART_ARC
(28,7),-3.46757 # DEPENDENCYPART_ARC
(28,8),-3.15054 # DEPENDENCYPART_ARC
(28,9),-3.10374 # DEPENDENCYPART_ARC
(28,10),-5.38551 # DEPENDENCYPART_ARC
(28,11),-5.95478 # DEPENDENCYPART_ARC
(28,12),-4.6797 # DEPENDENCYPART_ARC
(28,13),-3.81738 # DEPENDENCYPART_ARC
(28,14),-2.45392 # DEPENDENCYPART_ARC
(28,15),-3.0845 # DEPENDENCYPART_ARC
(28,16),-2.00073 # DEPENDENCYPART_ARC
(28,17),-2.16613 # DEPENDENCYPART_ARC
(28,18),-2.35746 # DEPENDENCYPART_ARC
(28,19),-2.97837 # DEPENDENCYPART_ARC
(28,20),-1.76991 # DEPENDENCYPART_ARC
(28,21),-1.58299 # DEPENDENCYPART_ARC
(28,22),-1.19494 # DEPENDENCYPART_ARC
(28,23),-0.636397 # DEPENDENCYPART_ARC
(28,24),-0.0984936 # DEPENDENCYPART_ARC
(28,25),1.57435 # DEPENDENCYPART_ARC
(28,26),1.86547 # DEPENDENCYPART_ARC
(28,27),4.04599 # DEPENDENCYPART_ARC
(28,29),0.808357 # DEPENDENCYPART_ARC
(28,30),-0.484244 # DEPENDENCYPART_ARC
(28,31),-0.935229 # DEPENDENCYPART_ARC
(28,32),-0.746553 # DEPENDENCYPART_ARC
(28,33),-1.11835 # DEPENDENCYPART_ARC
(28,34),-0.359865 # DEPENDENCYPART_ARC
(29,1),-5.92353 # DEPENDENCYPART_ARC
(29,2),-4.1513 # DEPENDENCYPART_ARC
(29,3),-1.41598 # DEPENDENCYPART_ARC
(29,4),-3.61626 # DEPENDENCYPART_ARC
(29,5),-3.26918 # DEPENDENCYPART_ARC
(29,6),-5.40791 # DEPENDENCYPART_ARC
(29,7),-2.77689 # DEPENDENCYPART_ARC
(29,8),-1.80519 # DEPENDENCYPART_ARC
(29,9),-1.96101 # DEPENDENCYPART_ARC
(29,10),-2.28071 # DEPENDENCYPART_ARC
(29,11),-3.14575 # DEPENDENCYPART_ARC
(29,12),-3.16597 # DEPENDENCYPART_ARC
(29,13),-2.68637 # DEPENDENCYPART_ARC
(29,14),0.0932501 # DEPENDENCYPART_ARC
(29,15),-1.04892 # DEPENDENCYPART_ARC
(29,16),-0.303321 # DEPENDENCYPART_ARC
(29,17),0.218705 # DEPENDENCYPART_ARC
(29,18),-0.432253 # DEPENDENCYPART_ARC
(29,19),-0.870208 # DEPENDENCYPART_ARC
(29,20),-0.918104 # DEPENDENCYPART_ARC
(29,21),-0.331159 # DEPENDENCYPART_ARC
(29,22),0.0195338 # DEPENDENCYPART_ARC
(29,23),-0.277261 # DEPENDENCYPART_ARC
(29,24),0.668846 # DEPENDENCYPART_ARC
(29,25),4.51015 # DEPENDENCYPART_ARC
(29,26),3.52954 # DEPENDENCYPART_ARC
(29,27),2.84115 # DEPENDENCYPART_ARC
(29,28),4.14774 # DEPENDENCYPART_ARC
(29,30),3.82955 # DEPENDENCYPART_ARC
(29,31),1.08534 # DEPENDENCYPART_ARC
(29,32),1.68654 # DEPENDENCYPART_ARC
(29,33),0.694429 # DEPENDENCYPART_ARC
(29,34),1.10801 # DEPENDENCYPART_ARC
(30,1),-3.097 # DEPENDENCYPART_ARC
(30,2),-1.61982 # DEPENDENCYPART_ARC
(30,3),-3.81791 # DEPENDENCYPART_ARC
(30,4),-2.17289 # DEPENDENCYPART_ARC
(30,5),-3.66484 # DEPENDENCYPART_ARC
(30,6),-3.24612 # DEPENDENCYPART_ARC
(30,7),-3.36315 # DEPENDENCYPART_ARC
(30,8),-0.929456 # DEPENDENCYPART_ARC
(30,9),-2.90248 # DEPENDENCYPART_ARC
(30,10),-2.73649 # DEPENDENCYPART_ARC
(30,11),-3.12378 # DEPENDENCYPART_ARC
(30,12),-2.26438 # DEPENDENCYPART_ARC
(30,13),-2.30054 # DEPENDENCYPART_ARC
(30,14),-1.80096 # DEPENDENCYPART_ARC
(30,15),-1.15583 # DEPENDENCYPART_ARC
(30,16),-2.49513 # DEPENDENCYPART_ARC
(30,17),-1.55093 # DEPENDENCYPART_ARC
(30,18),-1.62503 # DEPENDENCYPART_ARC
(30,19),-1.49787 # DEPENDENCYPART_ARC
(30,20),-1.45097 # DEPENDENCYPART_ARC
(30,21),-1.40729 # DEPENDENCYPART_ARC
(30,22),-1.03037 # DEPENDENCYPART_ARC
(30,23),-1.08984 # DEPENDENCYPART_ARC
(30,24),-0.591242 # DEPENDENCYPART_ARC
(30,25),-0.530402 # DEPENDENCYPART_ARC
(30,26),-0.737405 # DEPENDENCYPART_ARC
(30,27),-0.0774376 # DEPENDENCYPART_ARC
(30,28),-0.623186 # DEPENDENCYPART_ARC
