# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,27,31,31,28,19,
(16,9),-1.021 # DEPENDENCYPART_ARC
(16,10),-0.945252 # DEPENDENCYPART_ARC
(16,11),-0.858324 # DEPENDENCYPART_ARC
(16,12),-0.779779 # DEPENDENCYPART_ARC
(16,13),-0.120052 # DEPENDENCYPART_ARC
(16,14),-0.265862 # DEPENDENCYPART_ARC
(16,15),0.196324 # DEPENDENCYPART_ARC
(16,17),4.14215 # DEPENDENCYPART_ARC
(16,18),0.604731 # DEPENDENCYPART_ARC
(16,19),0.710805 # DEPENDENCYPART_ARC
(16,20),0.00130798 # DEPENDENCYPART_ARC
(16,21),-0.696021 # DEPENDENCYPART_ARC
(16,22),-0.64509 # DEPENDENCYPART_ARC
(16,23),-1.26395 # DEPENDENCYPART_ARC
(16,24),-2.28024 # DEPENDENCYPART_ARC
(16,25),-1.56732 # DEPENDENCYPART_ARC
(16,26),-1.4445 # DEPENDENCYPART_ARC
(16,27),-0.145402 # DEPENDENCYPART_ARC
(16,28),-1.50729 # DEPENDENCYPART_ARC
(16,29),-3.42346 # DEPENDENCYPART_ARC
(16,30),-1.99777 # DEPENDENCYPART_ARC
(16,31),-2.46657 # DEPENDENCYPART_ARC
(16,32),-0.838978 # DEPENDENCYPART_ARC
(17,1),-6.21076 # DEPENDENCYPART_ARC
(17,2),-5.7859 # DEPENDENCYPART_ARC
(17,3),-6.29246 # DEPENDENCYPART_ARC
(17,4),-3.97553 # DEPENDENCYPART_ARC
(17,5),-2.99376 # DEPENDENCYPART_ARC
(17,6),-3.06128 # DEPENDENCYPART_ARC
(17,7),-1.89356 # DEPENDENCYPART_ARC
(17,8),-2.61224 # DEPENDENCYPART_ARC
(17,9),-1.99581 # DEPENDENCYPART_ARC
(17,10),-1.62018 # DEPENDENCYPART_ARC
(17,11),0.330952 # DEPENDENCYPART_ARC
(17,12),-0.247619 # DEPENDENCYPART_ARC
(17,13),1.40037 # DEPENDENCYPART_ARC
(17,14),1.06015 # DEPENDENCYPART_ARC
(17,15),0.814144 # DEPENDENCYPART_ARC
(17,16),1.3497 # DEPENDENCYPART_ARC
(17,18),0.281294 # DEPENDENCYPART_ARC
(17,19),-0.440545 # DEPENDENCYPART_ARC
(17,20),-1.38197 # DEPENDENCYPART_ARC
(17,21),-0.891808 # DEPENDENCYPART_ARC
(17,22),-1.45796 # DEPENDENCYPART_ARC
(17,23),-1.78548 # DEPENDENCYPART_ARC
(17,24),-1.80858 # DEPENDENCYPART_ARC
(17,25),-0.690335 # DEPENDENCYPART_ARC
(17,26),-1.31698 # DEPENDENCYPART_ARC
(17,27),-1.55517 # DEPENDENCYPART_ARC
(17,28),-1.54805 # DEPENDENCYPART_ARC
(17,29),-2.04397 # DEPENDENCYPART_ARC
(17,30),-1.8833 # DEPENDENCYPART_ARC
(17,31),-2.91088 # DEPENDENCYPART_ARC
(17,32),-1.5924 # DEPENDENCYPART_ARC
(18,1),-2.95149 # DEPENDENCYPART_ARC
(18,2),-2.88787 # DEPENDENCYPART_ARC
(18,3),-2.90051 # DEPENDENCYPART_ARC
(18,4),-0.243928 # DEPENDENCYPART_ARC
(18,5),-0.60936 # DEPENDENCYPART_ARC
(18,6),-1.92452 # DEPENDENCYPART_ARC
(18,7),-1.72738 # DEPENDENCYPART_ARC
(18,8),-1.78165 # DEPENDENCYPART_ARC
(18,9),-1.58452 # DEPENDENCYPART_ARC
(18,10),-1.48931 # DEPENDENCYPART_ARC
(18,11),-1.08809 # DEPENDENCYPART_ARC
(18,12),-0.601798 # DEPENDENCYPART_ARC
(18,13),-1.75415 # DEPENDENCYPART_ARC
(18,14),-1.56038 # DEPENDENCYPART_ARC
(18,15),-1.21647 # DEPENDENCYPART_ARC
(18,16),-0.829768 # DEPENDENCYPART_ARC
(18,17),-0.675269 # DEPENDENCYPART_ARC
(18,19),-0.209285 # DEPENDENCYPART_ARC
(18,20),-1.45215 # DEPENDENCYPART_ARC
(18,21),-1.77737 # DEPENDENCYPART_ARC
(18,22),-2.04398 # DEPENDENCYPART_ARC
(18,23),-1.98645 # DEPENDENCYPART_ARC
(18,24),-2.25124 # DEPENDENCYPART_ARC
(18,25),-2.35296 # DEPENDENCYPART_ARC
(18,26),-2.56717 # DEPENDENCYPART_ARC
(18,27),-2.94309 # DEPENDENCYPART_ARC
(18,28),-2.34102 # DEPENDENCYPART_ARC
(18,29),-2.83268 # DEPENDENCYPART_ARC
(18,30),-3.05971 # DEPENDENCYPART_ARC
(18,31),-3.39779 # DEPENDENCYPART_ARC
(18,32),-2.29657 # DEPENDENCYPART_ARC
(19,1),0.464255 # DEPENDENCYPART_ARC
(19,2),-0.143969 # DEPENDENCYPART_ARC
(19,3),0.637181 # DEPENDENCYPART_ARC
(19,4),1.54861 # DEPENDENCYPART_ARC
(19,5),0.158516 # DEPENDENCYPART_ARC
(19,6),-0.559275 # DEPENDENCYPART_ARC
(19,7),-1.27688 # DEPENDENCYPART_ARC
(19,8),1.67238 # DEPENDENCYPART_ARC
(19,9),-0.751022 # DEPENDENCYPART_ARC
(19,10),0.203799 # DEPENDENCYPART_ARC
(19,11),-0.934415 # DEPENDENCYPART_ARC
(19,12),0.203628 # DEPENDENCYPART_ARC
(19,13),0.64752 # DEPENDENCYPART_ARC
(19,14),0.687781 # DEPENDENCYPART_ARC
(19,15),-0.0330845 # DEPENDENCYPART_ARC
(19,16),0.15793 # DEPENDENCYPART_ARC
(19,17),1.03032 # DEPENDENCYPART_ARC
(19,18),1.65297 # DEPENDENCYPART_ARC
(19,20),2.47626 # DEPENDENCYPART_ARC
(19,21),1.25269 # DEPENDENCYPART_ARC
(19,22),1.13715 # DEPENDENCYPART_ARC
(19,23),3.20498 # DEPENDENCYPART_ARC
(19,24),1.26718 # DEPENDENCYPART_ARC
(19,25),0.382083 # DEPENDENCYPART_ARC
(19,26),0.241918 # DEPENDENCYPART_ARC
(19,27),1.12417 # DEPENDENCYPART_ARC
(19,28),1.96471 # DEPENDENCYPART_ARC
(19,29),-0.743737 # DEPENDENCYPART_ARC
(19,30),-0.68936 # DEPENDENCYPART_ARC
(19,31),0.247618 # DEPENDENCYPART_ARC
(19,32),5.4104 # DEPENDENCYPART_ARC
(20,1),-3.15737 # DEPENDENCYPART_ARC
(20,2),-2.98953 # DEPENDENCYPART_ARC
(20,3),-2.91099 # DEPENDENCYPART_ARC
(20,4),-2.45454 # DEPENDENCYPART_ARC
(20,5),-1.97862 # DEPENDENCYPART_ARC
(20,6),-3.36898 # DEPENDENCYPART_ARC
(20,7),-0.89367 # DEPENDENCYPART_ARC
(20,8),-2.04699 # DEPENDENCYPART_ARC
(20,9),-2.45321 # DEPENDENCYPART_ARC
(20,10),-1.6708 # DEPENDENCYPART_ARC
(20,11),0.359869 # DEPENDENCYPART_ARC
(20,12),-0.794893 # DEPENDENCYPART_ARC
(20,13),-1.47875 # DEPENDENCYPART_ARC
(20,14),-1.34308 # DEPENDENCYPART_ARC
(20,15),-0.903814 # DEPENDENCYPART_ARC
(20,16),0.0499281 # DEPENDENCYPART_ARC
(20,17),-0.29783 # DEPENDENCYPART_ARC
(20,18),0.652297 # DEPENDENCYPART_ARC
(20,19),1.10457 # DEPENDENCYPART_ARC
(20,21),4.35584 # DEPENDENCYPART_ARC
(20,22),4.17802 # DEPENDENCYPART_ARC
(20,23),1.57035 # DEPENDENCYPART_ARC
(20,24),0.58389 # DEPENDENCYPART_ARC
(20,25),0.649633 # DEPENDENCYPART_ARC
(20,26),1.32169 # DEPENDENCYPART_ARC
(20,27),0.748154 # DEPENDENCYPART_ARC
(20,28),0.90169 # DEPENDENCYPART_ARC
(20,29),-0.0146976 # DEPENDENCYPART_ARC
(20,30),0.422586 # DEPENDENCYPART_ARC
(20,31),0.144583 # DEPENDENCYPART_ARC
(20,32),0.335049 # DEPENDENCYPART_ARC
(21,1),-4.67042 # DEPENDENCYPART_ARC
(21,2),-4.52548 # DEPENDENCYPART_ARC
(21,3),-4.41406 # DEPENDENCYPART_ARC
(21,4),-4.71588 # DEPENDENCYPART_ARC
(21,5),-3.79444 # DEPENDENCYPART_ARC
(21,6),-4.17568 # DEPENDENCYPART_ARC
(21,7),-3.4561 # DEPENDENCYPART_ARC
(21,8),-3.65423 # DEPENDENCYPART_ARC
(21,9),-2.51054 # DEPENDENCYPART_ARC
(21,10),-2.29078 # DEPENDENCYPART_ARC
(21,11),-2.58298 # DEPENDENCYPART_ARC
(21,12),-2.84153 # DEPENDENCYPART_ARC
(21,13),-2.91985 # DEPENDENCYPART_ARC
(21,14),-2.84049 # DEPENDENCYPART_ARC
(21,15),-2.69989 # DEPENDENCYPART_ARC
(21,16),-1.80771 # DEPENDENCYPART_ARC
(21,17),-1.9457 # DEPENDENCYPART_ARC
(21,18),-1.53909 # DEPENDENCYPART_ARC
(21,19),-1.51274 # DEPENDENCYPART_ARC
(21,20),-0.718952 # DEPENDENCYPART_ARC
(21,22),1.44872 # DEPENDENCYPART_ARC
(21,23),-0.360527 # DEPENDENCYPART_ARC
(21,24),-0.637164 # DEPENDENCYPART_ARC
(21,25),-0.150295 # DEPENDENCYPART_ARC
(21,26),-0.895878 # DEPENDENCYPART_ARC
(21,27),-0.967378 # DEPENDENCYPART_ARC
(21,28),-0.949761 # DEPENDENCYPART_ARC
(21,29),-1.67248 # DEPENDENCYPART_ARC
(21,30),-1.36203 # DEPENDENCYPART_ARC
(21,31),-1.35054 # DEPENDENCYPART_ARC
(21,32),-1.29362 # DEPENDENCYPART_ARC
(22,1),-3.33096 # DEPENDENCYPART_ARC
(22,2),-3.10197 # DEPENDENCYPART_ARC
(22,3),-2.98949 # DEPENDENCYPART_ARC
(22,4),-3.21866 # DEPENDENCYPART_ARC
(22,5),-2.20948 # DEPENDENCYPART_ARC
(22,6),-2.49898 # DEPENDENCYPART_ARC
(22,7),-2.03931 # DEPENDENCYPART_ARC
(22,8),-2.2307 # DEPENDENCYPART_ARC
(22,9),-0.66295 # DEPENDENCYPART_ARC
(22,10),-0.37967 # DEPENDENCYPART_ARC
(22,11),-1.4185 # DEPENDENCYPART_ARC
(22,12),-1.16422 # DEPENDENCYPART_ARC
(22,13),-1.4431 # DEPENDENCYPART_ARC
(22,14),-1.4181 # DEPENDENCYPART_ARC
(22,15),-1.27408 # DEPENDENCYPART_ARC
(22,16),-0.407259 # DEPENDENCYPART_ARC
(22,17),-0.611014 # DEPENDENCYPART_ARC
(22,18),-0.24114 # DEPENDENCYPART_ARC
(22,19),-0.374554 # DEPENDENCYPART_ARC
(22,20),0.389404 # DEPENDENCYPART_ARC
(22,21),2.51375 # DEPENDENCYPART_ARC
(22,23),0.0157406 # DEPENDENCYPART_ARC
(22,24),-0.332711 # DEPENDENCYPART_ARC
(22,25),-0.00375287 # DEPENDENCYPART_ARC
(22,26),-0.715728 # DEPENDENCYPART_ARC
(22,27),-0.417116 # DEPENDENCYPART_ARC
(22,28),-0.672421 # DEPENDENCYPART_ARC
(22,29),-1.61813 # DEPENDENCYPART_ARC
(22,30),-1.28615 # DEPENDENCYPART_ARC
(22,31),-0.758474 # DEPENDENCYPART_ARC
(22,32),-1.5184 # DEPENDENCYPART_ARC
(23,1),-2.49623 # DEPENDENCYPART_ARC
(23,2),-2.65307 # DEPENDENCYPART_ARC
(23,3),-2.53731 # DEPENDENCYPART_ARC
(23,4),-1.79082 # DEPENDENCYPART_ARC
(23,5),-2.73426 # DEPENDENCYPART_ARC
(23,6),-2.11773 # DEPENDENCYPART_ARC
(23,7),-1.67672 # DEPENDENCYPART_ARC
(23,8),-1.72919 # DEPENDENCYPART_ARC
(23,9),-1.89326 # DEPENDENCYPART_ARC
(23,10),-1.76989 # DEPENDENCYPART_ARC
(23,11),-1.45053 # DEPENDENCYPART_ARC
(23,12),-2.03196 # DEPENDENCYPART_ARC
(23,13),-0.932175 # DEPENDENCYPART_ARC
(23,14),-1.18491 # DEPENDENCYPART_ARC
(23,15),-1.13928 # DEPENDENCYPART_ARC
(23,16),-0.870471 # DEPENDENCYPART_ARC
(23,17),-0.847616 # DEPENDENCYPART_ARC
(23,18),-0.483857 # DEPENDENCYPART_ARC
(23,19),-0.593762 # DEPENDENCYPART_ARC
(23,20),-0.172045 # DEPENDENCYPART_ARC
(23,21),0.00262551 # DEPENDENCYPART_ARC
(23,22),0.356963 # DEPENDENCYPART_ARC
(23,24),2.10556 # DEPENDENCYPART_ARC
(23,25),1.44174 # DEPENDENCYPART_ARC
(23,26),0.475719 # DEPENDENCYPART_ARC
(23,27),2.9407 # DEPENDENCYPART_ARC
(23,28),0.0458314 # DEPENDENCYPART_ARC
(23,29),-1.28404 # DEPENDENCYPART_ARC
(23,30),-0.557649 # DEPENDENCYPART_ARC
(23,31),0.101271 # DEPENDENCYPART_ARC
(23,32),-0.0619136 # DEPENDENCYPART_ARC
(24,1),-7.3925 # DEPENDENCYPART_ARC
(24,2),-6.92086 # DEPENDENCYPART_ARC
(24,3),-8.82032 # DEPENDENCYPART_ARC
(24,4),-4.98844 # DEPENDENCYPART_ARC
(24,5),-3.76577 # DEPENDENCYPART_ARC
(24,6),-3.80648 # DEPENDENCYPART_ARC
(24,7),-3.44878 # DEPENDENCYPART_ARC
(24,8),-4.13031 # DEPENDENCYPART_ARC
(24,9),-3.01997 # DEPENDENCYPART_ARC
(24,10),-2.692 # DEPENDENCYPART_ARC
(24,11),-1.28248 # DEPENDENCYPART_ARC
(24,12),-2.10304 # DEPENDENCYPART_ARC
(24,13),-1.34795 # DEPENDENCYPART_ARC
(24,14),-1.16829 # DEPENDENCYPART_ARC
(24,15),-2.22542 # DEPENDENCYPART_ARC
(24,16),-1.50074 # DEPENDENCYPART_ARC
(24,17),-1.40393 # DEPENDENCYPART_ARC
(24,18),-1.45694 # DEPENDENCYPART_ARC
(24,19),-1.56148 # DEPENDENCYPART_ARC
(24,20),0.153033 # DEPENDENCYPART_ARC
(24,21),0.29135 # DEPENDENCYPART_ARC
(24,22),0.218603 # DEPENDENCYPART_ARC
(24,23),0.135141 # DEPENDENCYPART_ARC
(24,25),4.68264 # DEPENDENCYPART_ARC
(24,26),1.51261 # DEPENDENCYPART_ARC
(24,27),0.715624 # DEPENDENCYPART_ARC
(24,28),0.477566 # DEPENDENCYPART_ARC
(24,29),-0.00902149 # DEPENDENCYPART_ARC
(24,30),0.0797791 # DEPENDENCYPART_ARC
(24,31),-0.49575 # DEPENDENCYPART_ARC
(24,32),-0.0642968 # DEPENDENCYPART_ARC
(25,1),-1.84455 # DEPENDENCYPART_ARC
(25,2),-1.70523 # DEPENDENCYPART_ARC
(25,3),-1.65106 # DEPENDENCYPART_ARC
(25,4),-3.17142 # DEPENDENCYPART_ARC
(25,5),-1.98659 # DEPENDENCYPART_ARC
(25,6),-2.84213 # DEPENDENCYPART_ARC
(25,7),-1.70622 # DEPENDENCYPART_ARC
(25,8),-2.1689 # DEPENDENCYPART_ARC
(25,9),-2.34856 # DEPENDENCYPART_ARC
(25,10),-2.20279 # DEPENDENCYPART_ARC
(25,11),-1.15169 # DEPENDENCYPART_ARC
(25,12),-1.03795 # DEPENDENCYPART_ARC
(25,13),-0.766191 # DEPENDENCYPART_ARC
(25,14),-0.661386 # DEPENDENCYPART_ARC
(25,15),-0.180702 # DEPENDENCYPART_ARC
(25,16),-1.0025 # DEPENDENCYPART_ARC
(25,17),-0.606045 # DEPENDENCYPART_ARC
(25,18),-0.859765 # DEPENDENCYPART_ARC
(25,19),-0.756343 # DEPENDENCYPART_ARC
(25,20),-0.273722 # DEPENDENCYPART_ARC
(25,21),-0.247655 # DEPENDENCYPART_ARC
(25,22),0.0962505 # DEPENDENCYPART_ARC
(25,23),0.269553 # DEPENDENCYPART_ARC
(25,24),1.45934 # DEPENDENCYPART_ARC
(25,26),0.172734 # DEPENDENCYPART_ARC
(25,27),-0.715785 # DEPENDENCYPART_ARC
(25,28),-0.892593 # DEPENDENCYPART_ARC
(25,29),-1.32729 # DEPENDENCYPART_ARC
(25,30),-1.52029 # DEPENDENCYPART_ARC
(25,31),-1.81131 # DEPENDENCYPART_ARC
(25,32),-1.01068 # DEPENDENCYPART_ARC
(26,1),-2.70184 # DEPENDENCYPART_ARC
(26,2),-2.82131 # DEPENDENCYPART_ARC
(26,3),-3.45288 # DEPENDENCYPART_ARC
(26,4),-1.61089 # DEPENDENCYPART_ARC
(26,5),-2.80559 # DEPENDENCYPART_ARC
(26,6),-2.38975 # DEPENDENCYPART_ARC
(26,7),-1.36661 # DEPENDENCYPART_ARC
(26,8),-2.38325 # DEPENDENCYPART_ARC
(26,9),-2.05637 # DEPENDENCYPART_ARC
(26,10),-1.88817 # DEPENDENCYPART_ARC
(26,11),-0.777974 # DEPENDENCYPART_ARC
(26,12),-2.00132 # DEPENDENCYPART_ARC
(26,13),-1.04087 # DEPENDENCYPART_ARC
(26,14),-1.10275 # DEPENDENCYPART_ARC
(26,15),-1.15528 # DEPENDENCYPART_ARC
(26,16),-1.11014 # DEPENDENCYPART_ARC
(26,17),-0.69358 # DEPENDENCYPART_ARC
(26,18),-0.751105 # DEPENDENCYPART_ARC
(26,19),-1.40553 # DEPENDENCYPART_ARC
(26,20),0.0184162 # DEPENDENCYPART_ARC
(26,21),0.262969 # DEPENDENCYPART_ARC
(26,22),0.062372 # DEPENDENCYPART_ARC
(26,23),0.426183 # DEPENDENCYPART_ARC
(26,24),0.93719 # DEPENDENCYPART_ARC
(26,25),0.970211 # DEPENDENCYPART_ARC
(26,27),1.39989 # DEPENDENCYPART_ARC
(26,28),-0.258405 # DEPENDENCYPART_ARC
(26,29),-1.0955 # DEPENDENCYPART_ARC
(26,30),-0.486118 # DEPENDENCYPART_ARC
(26,31),-0.409635 # DEPENDENCYPART_ARC
(26,32),-0.281787 # DEPENDENCYPART_ARC
(27,1),-7.30899 # DEPENDENCYPART_ARC
(27,2),-6.66073 # DEPENDENCYPART_ARC
(27,3),-8.2365 # DEPENDENCYPART_ARC
(27,4),-3.34043 # DEPENDENCYPART_ARC
(27,5),-3.46624 # DEPENDENCYPART_ARC
(27,6),-2.58933 # DEPENDENCYPART_ARC
(27,7),-3.32077 # DEPENDENCYPART_ARC
(27,8),-2.32344 # DEPENDENCYPART_ARC
(27,9),-1.2886 # DEPENDENCYPART_ARC
(27,10),-0.686372 # DEPENDENCYPART_ARC
(27,11),0.30827 # DEPENDENCYPART_ARC
(27,12),0.33794 # DEPENDENCYPART_ARC
(27,13),-0.303696 # DEPENDENCYPART_ARC
(27,14),-0.786161 # DEPENDENCYPART_ARC
(27,15),-1.00223 # DEPENDENCYPART_ARC
(27,16),-0.543662 # DEPENDENCYPART_ARC
(27,17),-0.393768 # DEPENDENCYPART_ARC
(27,18),-0.694407 # DEPENDENCYPART_ARC
(27,19),0.183912 # DEPENDENCYPART_ARC
(27,20),1.62762 # DEPENDENCYPART_ARC
(27,21),1.51045 # DEPENDENCYPART_ARC
(27,22),1.03863 # DEPENDENCYPART_ARC
(27,23),0.0352163 # DEPENDENCYPART_ARC
(27,24),4.82568 # DEPENDENCYPART_ARC
(27,25),2.13152 # DEPENDENCYPART_ARC
(27,26),4.50443 # DEPENDENCYPART_ARC
(27,28),2.34054 # DEPENDENCYPART_ARC
(27,29),0.476507 # DEPENDENCYPART_ARC
(27,30),0.599434 # DEPENDENCYPART_ARC
(27,31),0.791087 # DEPENDENCYPART_ARC
(27,32),0.337188 # DEPENDENCYPART_ARC
(28,1),-3.3338 # DEPENDENCYPART_ARC
(28,2),-3.40128 # DEPENDENCYPART_ARC
(28,3),-3.40517 # DEPENDENCYPART_ARC
(28,4),-2.78669 # DEPENDENCYPART_ARC
(28,5),-2.58621 # DEPENDENCYPART_ARC
(28,6),-2.88728 # DEPENDENCYPART_ARC
(28,7),-2.39626 # DEPENDENCYPART_ARC
(28,8),-2.16882 # DEPENDENCYPART_ARC
(28,9),-2.63445 # DEPENDENCYPART_ARC
(28,10),-2.38659 # DEPENDENCYPART_ARC
(28,11),-1.73686 # DEPENDENCYPART_ARC
(28,12),-1.85401 # DEPENDENCYPART_ARC
(28,13),-2.04393 # DEPENDENCYPART_ARC
(28,14),-1.97442 # DEPENDENCYPART_ARC
(28,15),-1.98708 # DEPENDENCYPART_ARC
(28,16),-1.7929 # DEPENDENCYPART_ARC
(28,17),-1.5962 # DEPENDENCYPART_ARC
(28,18),-0.88059 # DEPENDENCYPART_ARC
(28,19),-1.07164 # DEPENDENCYPART_ARC
(28,20),-0.620459 # DEPENDENCYPART_ARC
(28,21),-0.521366 # DEPENDENCYPART_ARC
(28,22),-0.574381 # DEPENDENCYPART_ARC
(28,23),-0.638046 # DEPENDENCYPART_ARC
(28,24),-0.533496 # DEPENDENCYPART_ARC
(28,25),0.255353 # DEPENDENCYPART_ARC
(28,26),-0.146827 # DEPENDENCYPART_ARC
(28,27),0.138905 # DEPENDENCYPART_ARC
(28,29),0.676474 # DEPENDENCYPART_ARC
(28,30),2.0078 # DEPENDENCYPART_ARC
(28,31),4.06752 # DEPENDENCYPART_ARC
(28,32),-0.587423 # DEPENDENCYPART_ARC
(29,1),-5.56801 # DEPENDENCYPART_ARC
(29,2),-5.42653 # DEPENDENCYPART_ARC
(29,3),-5.40263 # DEPENDENCYPART_ARC
(29,4),-4.77663 # DEPENDENCYPART_ARC
(29,5),-4.96855 # DEPENDENCYPART_ARC
(29,6),-4.76659 # DEPENDENCYPART_ARC
(29,7),-4.36853 # DEPENDENCYPART_ARC
(29,8),-4.95111 # DEPENDENCYPART_ARC
(29,9),-4.22881 # DEPENDENCYPART_ARC
(29,10),-4.25891 # DEPENDENCYPART_ARC
(29,11),-3.89117 # DEPENDENCYPART_ARC
(29,12),-4.14574 # DEPENDENCYPART_ARC
(29,13),-4.26126 # DEPENDENCYPART_ARC
(29,14),-4.14286 # DEPENDENCYPART_ARC
(29,15),-4.07195 # DEPENDENCYPART_ARC
(29,16),-3.56407 # DEPENDENCYPART_ARC
(29,17),-3.82388 # DEPENDENCYPART_ARC
(29,18),-3.4398 # DEPENDENCYPART_ARC
(29,19),-3.37542 # DEPENDENCYPART_ARC
(29,20),-3.08667 # DEPENDENCYPART_ARC
(29,21),-2.96988 # DEPENDENCYPART_ARC
(29,22),-2.84522 # DEPENDENCYPART_ARC
(29,23),-2.92652 # DEPENDENCYPART_ARC
(29,24),-2.83629 # DEPENDENCYPART_ARC
(29,25),-2.52729 # DEPENDENCYPART_ARC
(29,26),-2.10005 # DEPENDENCYPART_ARC
(29,27),-2.48513 # DEPENDENCYPART_ARC
(29,28),-1.65898 # DEPENDENCYPART_ARC
(29,30),-0.318746 # DEPENDENCYPART_ARC
(29,31),-1.03088 # DEPENDENCYPART_ARC
(29,32),-1.93439 # DEPENDENCYPART_ARC
(30,1),-3.76379 # DEPENDENCYPART_ARC
(30,2),-3.86858 # DEPENDENCYPART_ARC
(30,3),-4.55853 # DEPENDENCYPART_ARC
(30,4),-2.40538 # DEPENDENCYPART_ARC
(30,5),-3.36499 # DEPENDENCYPART_ARC
(30,6),-2.82936 # DEPENDENCYPART_ARC
(30,7),-1.84375 # DEPENDENCYPART_ARC
(30,8),-3.20597 # DEPENDENCYPART_ARC
(30,9),-2.60818 # DEPENDENCYPART_ARC
(30,10),-2.22212 # DEPENDENCYPART_ARC
(30,11),-1.23825 # DEPENDENCYPART_ARC
(30,12),-2.57981 # DEPENDENCYPART_ARC
(30,13),-2.17482 # DEPENDENCYPART_ARC
(30,14),-2.27078 # DEPENDENCYPART_ARC
(30,15),-2.34172 # DEPENDENCYPART_ARC
(30,16),-1.81286 # DEPENDENCYPART_ARC
(30,17),-2.02011 # DEPENDENCYPART_ARC
(30,18),-1.50321 # DEPENDENCYPART_ARC
(30,19),-2.18693 # DEPENDENCYPART_ARC
(30,20),-0.935312 # DEPENDENCYPART_ARC
(30,21),-0.85041 # DEPENDENCYPART_ARC
(30,22),-1.19401 # DEPENDENCYPART_ARC
(30,23),-0.422785 # DEPENDENCYPART_ARC
(30,24),-1.06686 # DEPENDENCYPART_ARC
(30,25),-0.860489 # DEPENDENCYPART_ARC
(30,26),0.187321 # DEPENDENCYPART_ARC
(30,27),-0.205031 # DEPENDENCYPART_ARC
(30,28),0.432721 # DEPENDENCYPART_ARC
(30,29),2.49124 # DEPENDENCYPART_ARC
(30,31),0.910486 # DEPENDENCYPART_ARC
(30,32),-0.448988 # DEPENDENCYPART_ARC
(31,1),-9.36086 # DEPENDENCYPART_ARC
(31,2),-9.04121 # DEPENDENCYPART_ARC
(31,3),-10.1286 # DEPENDENCYPART_ARC
(31,4),-3.71468 # DEPENDENCYPART_ARC
(31,5),-4.35009 # DEPENDENCYPART_ARC
(31,6),-3.27728 # DEPENDENCYPART_ARC
(31,7),-6.93629 # DEPENDENCYPART_ARC
(31,8),-3.82699 # DEPENDENCYPART_ARC
(31,9),-2.00717 # DEPENDENCYPART_ARC
(31,10),-1.60467 # DEPENDENCYPART_ARC
(31,11),-3.14439 # DEPENDENCYPART_ARC
(31,12),-0.788642 # DEPENDENCYPART_ARC
(31,13),-2.58182 # DEPENDENCYPART_ARC
(31,14),-3.20932 # DEPENDENCYPART_ARC
(31,15),-3.39091 # DEPENDENCYPART_ARC
(31,16),-1.20886 # DEPENDENCYPART_ARC
(31,17),-2.83813 # DEPENDENCYPART_ARC
(31,18),-1.44402 # DEPENDENCYPART_ARC
(31,19),-0.745598 # DEPENDENCYPART_ARC
(31,20),-1.45733 # DEPENDENCYPART_ARC
(31,21),0.293958 # DEPENDENCYPART_ARC
(31,22),-0.678224 # DEPENDENCYPART_ARC
(31,23),-1.40264 # DEPENDENCYPART_ARC
(31,24),1.16256 # DEPENDENCYPART_ARC
(31,25),-0.120459 # DEPENDENCYPART_ARC
(31,26),1.2699 # DEPENDENCYPART_ARC
(31,27),-0.384058 # DEPENDENCYPART_ARC
(31,28),0.799569 # DEPENDENCYPART_ARC
(31,29),5.18839 # DEPENDENCYPART_ARC
(31,30),4.40285 # DEPENDENCYPART_ARC
(31,32),-0.207815 # DEPENDENCYPART_ARC
(32,1),-3.88237 # DEPENDENCYPART_ARC
(32,2),-3.44901 # DEPENDENCYPART_ARC
(32,3),-3.707 # DEPENDENCYPART_ARC
(32,4),-2.81792 # DEPENDENCYPART_ARC
(32,5),-2.95388 # DEPENDENCYPART_ARC
(32,6),-3.39554 # DEPENDENCYPART_ARC
(32,7),-2.88987 # DEPENDENCYPART_ARC
(32,8),-2.68858 # DEPENDENCYPART_ARC
(32,9),-2.98937 # DEPENDENCYPART_ARC
(32,10),-2.88323 # DEPENDENCYPART_ARC
(32,11),-2.56091 # DEPENDENCYPART_ARC
(32,12),-2.21506 # DEPENDENCYPART_ARC
(32,13),-1.85687 # DEPENDENCYPART_ARC
(32,14),-2.30005 # DEPENDENCYPART_ARC
(32,15),-2.36394 # DEPENDENCYPART_ARC
(32,16),-2.28105 # DEPENDENCYPART_ARC
(32,17),-2.26361 # DEPENDENCYPART_ARC
(32,18),-1.16031 # DEPENDENCYPART_ARC
(32,19),-1.08105 # DEPENDENCYPART_ARC
(32,20),-2.1434 # DEPENDENCYPART_ARC
(32,21),-2.00496 # DEPENDENCYPART_ARC
(32,22),-1.93109 # DEPENDENCYPART_ARC
(32,23),-1.54472 # DEPENDENCYPART_ARC
(32,24),-1.48567 # DEPENDENCYPART_ARC
(32,25),-1.41129 # DEPENDENCYPART_ARC
(32,26),-1.32268 # DEPENDENCYPART_ARC
