# _root_ `` There was a volatility in the market that I have never seen before , '' said Michel Vigier , a partner in brokerage firm Cholet Dupont .
#goldHeads=17,3,17,5,3,5,8,6,13,11,5,11,11,13,17,17,0,19,17,19,22,19,22,27,27,27,23,17,
#predictedHeads=17,3,17,5,3,5,8,6,5,11,9,11,11,13,17,17,0,19,17,19,22,19,22,27,27,27,23,17,
(18,23),-1.16647 # DEPENDENCYPART_ARC
(18,24),-0.439941 # DEPENDENCYPART_ARC
(18,25),-0.459069 # DEPENDENCYPART_ARC
(18,26),-1.44906 # DEPENDENCYPART_ARC
(18,27),-0.972056 # DEPENDENCYPART_ARC
(18,28),0.394311 # DEPENDENCYPART_ARC
(19,1),-1.5807 # DEPENDENCYPART_ARC
(19,2),-1.97988 # DEPENDENCYPART_ARC
(19,3),-2.81361 # DEPENDENCYPART_ARC
(19,4),-2.35046 # DEPENDENCYPART_ARC
(19,5),-4.86836 # DEPENDENCYPART_ARC
(19,6),-1.93885 # DEPENDENCYPART_ARC
(19,7),-1.38834 # DEPENDENCYPART_ARC
(19,8),-3.82279 # DEPENDENCYPART_ARC
(19,9),-1.78504 # DEPENDENCYPART_ARC
(19,10),-1.01144 # DEPENDENCYPART_ARC
(19,11),-1.65299 # DEPENDENCYPART_ARC
(19,12),-1.0733 # DEPENDENCYPART_ARC
(19,13),-0.302982 # DEPENDENCYPART_ARC
(19,14),-0.631501 # DEPENDENCYPART_ARC
(19,15),-0.392576 # DEPENDENCYPART_ARC
(19,16),0.138211 # DEPENDENCYPART_ARC
(19,17),0.29714 # DEPENDENCYPART_ARC
(19,18),4.88175 # DEPENDENCYPART_ARC
(19,20),3.61144 # DEPENDENCYPART_ARC
(19,21),0.831808 # DEPENDENCYPART_ARC
(19,22),2.60386 # DEPENDENCYPART_ARC
(19,23),0.280122 # DEPENDENCYPART_ARC
(19,24),0.608381 # DEPENDENCYPART_ARC
(19,25),0.93308 # DEPENDENCYPART_ARC
(19,26),-0.658002 # DEPENDENCYPART_ARC
(19,27),0.252138 # DEPENDENCYPART_ARC
(19,28),0.947055 # DEPENDENCYPART_ARC
(20,1),-2.93191 # DEPENDENCYPART_ARC
(20,2),-2.83887 # DEPENDENCYPART_ARC
(20,3),-2.77642 # DEPENDENCYPART_ARC
(20,4),-2.72378 # DEPENDENCYPART_ARC
(20,5),-2.85378 # DEPENDENCYPART_ARC
(20,6),-2.66918 # DEPENDENCYPART_ARC
(20,7),-2.39194 # DEPENDENCYPART_ARC
(20,8),-2.7729 # DEPENDENCYPART_ARC
(20,9),-2.23858 # DEPENDENCYPART_ARC
(20,10),-2.51489 # DEPENDENCYPART_ARC
(20,11),-2.52523 # DEPENDENCYPART_ARC
(20,12),-2.66919 # DEPENDENCYPART_ARC
(20,13),-1.58781 # DEPENDENCYPART_ARC
(20,14),-2.45768 # DEPENDENCYPART_ARC
(20,15),-0.943562 # DEPENDENCYPART_ARC
(20,16),-1.66275 # DEPENDENCYPART_ARC
(20,17),-1.40163 # DEPENDENCYPART_ARC
(20,18),-1.77544 # DEPENDENCYPART_ARC
(20,19),-1.22214 # DEPENDENCYPART_ARC
(20,21),-0.413738 # DEPENDENCYPART_ARC
(20,22),-1.19164 # DEPENDENCYPART_ARC
(20,23),-0.994749 # DEPENDENCYPART_ARC
(20,24),-1.70192 # DEPENDENCYPART_ARC
(20,25),-1.87346 # DEPENDENCYPART_ARC
(20,26),-1.81427 # DEPENDENCYPART_ARC
(20,27),-1.9619 # DEPENDENCYPART_ARC
(20,28),-1.53303 # DEPENDENCYPART_ARC
(21,1),-3.56918 # DEPENDENCYPART_ARC
(21,2),-2.97723 # DEPENDENCYPART_ARC
(21,3),-3.09409 # DEPENDENCYPART_ARC
(21,4),-2.62019 # DEPENDENCYPART_ARC
(21,5),-3.46768 # DEPENDENCYPART_ARC
(21,6),-2.43557 # DEPENDENCYPART_ARC
(21,7),-1.96811 # DEPENDENCYPART_ARC
(21,8),-3.11544 # DEPENDENCYPART_ARC
(21,9),-2.03928 # DEPENDENCYPART_ARC
(21,10),-2.3232 # DEPENDENCYPART_ARC
(21,11),-2.47245 # DEPENDENCYPART_ARC
(21,12),-2.48523 # DEPENDENCYPART_ARC
(21,13),-2.16596 # DEPENDENCYPART_ARC
(21,14),-2.33817 # DEPENDENCYPART_ARC
(21,15),-1.82909 # DEPENDENCYPART_ARC
(21,16),-1.82315 # DEPENDENCYPART_ARC
(21,17),-1.57378 # DEPENDENCYPART_ARC
(21,18),-1.09861 # DEPENDENCYPART_ARC
(21,19),-1.07775 # DEPENDENCYPART_ARC
(21,20),-0.167964 # DEPENDENCYPART_ARC
(21,22),0.515753 # DEPENDENCYPART_ARC
(21,23),-0.703646 # DEPENDENCYPART_ARC
(21,24),-0.398391 # DEPENDENCYPART_ARC
(21,25),-0.523739 # DEPENDENCYPART_ARC
(21,26),-0.950801 # DEPENDENCYPART_ARC
(21,27),-1.19927 # DEPENDENCYPART_ARC
(21,28),-1.21962 # DEPENDENCYPART_ARC
(22,1),-2.63318 # DEPENDENCYPART_ARC
(22,2),-2.96909 # DEPENDENCYPART_ARC
(22,3),-3.40608 # DEPENDENCYPART_ARC
(22,4),-3.15235 # DEPENDENCYPART_ARC
(22,5),-6.48443 # DEPENDENCYPART_ARC
(22,6),-2.24137 # DEPENDENCYPART_ARC
(22,7),-2.05548 # DEPENDENCYPART_ARC
(22,8),-4.95833 # DEPENDENCYPART_ARC
(22,9),-1.83538 # DEPENDENCYPART_ARC
(22,10),-2.28644 # DEPENDENCYPART_ARC
(22,11),-2.49091 # DEPENDENCYPART_ARC
(22,12),-2.93445 # DEPENDENCYPART_ARC
(22,13),-2.12557 # DEPENDENCYPART_ARC
(22,14),-3.42167 # DEPENDENCYPART_ARC
(22,15),-1.38438 # DEPENDENCYPART_ARC
(22,16),-1.07088 # DEPENDENCYPART_ARC
(22,17),-1.2721 # DEPENDENCYPART_ARC
(22,18),-0.18884 # DEPENDENCYPART_ARC
(22,19),-1.09031 # DEPENDENCYPART_ARC
(22,20),0.0103182 # DEPENDENCYPART_ARC
(22,21),3.44113 # DEPENDENCYPART_ARC
(22,23),3.20836 # DEPENDENCYPART_ARC
(22,24),1.53276 # DEPENDENCYPART_ARC
(22,25),1.30579 # DEPENDENCYPART_ARC
(22,26),0.742427 # DEPENDENCYPART_ARC
(22,27),0.771903 # DEPENDENCYPART_ARC
(22,28),1.10945 # DEPENDENCYPART_ARC
(23,1),-1.23068 # DEPENDENCYPART_ARC
(23,2),-2.40842 # DEPENDENCYPART_ARC
(23,3),-2.49704 # DEPENDENCYPART_ARC
(23,4),-2.38625 # DEPENDENCYPART_ARC
(23,5),-2.74133 # DEPENDENCYPART_ARC
(23,6),-2.60863 # DEPENDENCYPART_ARC
(23,7),-2.06006 # DEPENDENCYPART_ARC
(23,8),-2.32907 # DEPENDENCYPART_ARC
(23,9),-0.292669 # DEPENDENCYPART_ARC
(23,10),-2.16786 # DEPENDENCYPART_ARC
(23,11),-1.86781 # DEPENDENCYPART_ARC
(23,12),-2.12341 # DEPENDENCYPART_ARC
(23,13),-1.23888 # DEPENDENCYPART_ARC
(23,14),-1.60094 # DEPENDENCYPART_ARC
(23,15),-0.926258 # DEPENDENCYPART_ARC
(23,16),-1.01336 # DEPENDENCYPART_ARC
(23,17),-0.801685 # DEPENDENCYPART_ARC
(23,18),-0.902062 # DEPENDENCYPART_ARC
(23,19),-0.88472 # DEPENDENCYPART_ARC
(23,20),0.128942 # DEPENDENCYPART_ARC
(23,21),0.330398 # DEPENDENCYPART_ARC
(23,22),0.523525 # DEPENDENCYPART_ARC
(23,24),2.5505 # DEPENDENCYPART_ARC
(23,25),2.00973 # DEPENDENCYPART_ARC
(23,26),1.06041 # DEPENDENCYPART_ARC
(23,27),1.41337 # DEPENDENCYPART_ARC
(23,28),-0.916156 # DEPENDENCYPART_ARC
(24,1),-5.36732 # DEPENDENCYPART_ARC
(24,2),-5.45141 # DEPENDENCYPART_ARC
(24,3),-6.0072 # DEPENDENCYPART_ARC
(24,4),-6.87653 # DEPENDENCYPART_ARC
(24,5),-9.70406 # DEPENDENCYPART_ARC
(24,6),-4.51155 # DEPENDENCYPART_ARC
(24,7),-6.32958 # DEPENDENCYPART_ARC
(24,8),-8.18711 # DEPENDENCYPART_ARC
(24,9),-4.49002 # DEPENDENCYPART_ARC
(24,10),-4.79832 # DEPENDENCYPART_ARC
(24,11),-4.84987 # DEPENDENCYPART_ARC
(24,12),-6.00451 # DEPENDENCYPART_ARC
(24,13),-4.86077 # DEPENDENCYPART_ARC
(24,14),-5.88048 # DEPENDENCYPART_ARC
(24,15),-3.8217 # DEPENDENCYPART_ARC
(24,16),-3.59647 # DEPENDENCYPART_ARC
(24,17),-4.15077 # DEPENDENCYPART_ARC
(24,18),-4.15219 # DEPENDENCYPART_ARC
(24,19),-4.67624 # DEPENDENCYPART_ARC
(24,20),-2.74659 # DEPENDENCYPART_ARC
(24,21),-1.01522 # DEPENDENCYPART_ARC
(24,22),-2.08779 # DEPENDENCYPART_ARC
(24,23),-0.590898 # DEPENDENCYPART_ARC
(24,25),0.572722 # DEPENDENCYPART_ARC
(24,26),-1.0091 # DEPENDENCYPART_ARC
(24,27),-1.01311 # DEPENDENCYPART_ARC
(24,28),-1.5008 # DEPENDENCYPART_ARC
(25,1),-3.03628 # DEPENDENCYPART_ARC
(25,2),-3.53665 # DEPENDENCYPART_ARC
(25,3),-4.12194 # DEPENDENCYPART_ARC
(25,4),-3.81301 # DEPENDENCYPART_ARC
(25,5),-7.21007 # DEPENDENCYPART_ARC
(25,6),-3.08917 # DEPENDENCYPART_ARC
(25,7),-3.28001 # DEPENDENCYPART_ARC
(25,8),-5.66729 # DEPENDENCYPART_ARC
(25,9),-3.21094 # DEPENDENCYPART_ARC
(25,10),-2.64688 # DEPENDENCYPART_ARC
(25,11),-2.92312 # DEPENDENCYPART_ARC
(25,12),-3.95476 # DEPENDENCYPART_ARC
(25,13),-2.66745 # DEPENDENCYPART_ARC
(25,14),-4.13075 # DEPENDENCYPART_ARC
(25,15),-2.54529 # DEPENDENCYPART_ARC
(25,16),-1.27624 # DEPENDENCYPART_ARC
(25,17),-2.30967 # DEPENDENCYPART_ARC
(25,18),-1.64593 # DEPENDENCYPART_ARC
(25,19),-2.95409 # DEPENDENCYPART_ARC
(25,20),-1.37294 # DEPENDENCYPART_ARC
(25,21),1.25216 # DEPENDENCYPART_ARC
(25,22),0.0295634 # DEPENDENCYPART_ARC
(25,23),-0.055615 # DEPENDENCYPART_ARC
(25,24),2.75065 # DEPENDENCYPART_ARC
(25,26),0.989298 # DEPENDENCYPART_ARC
(25,27),0.746477 # DEPENDENCYPART_ARC
(25,28),0.338306 # DEPENDENCYPART_ARC
(26,1),-2.31126 # DEPENDENCYPART_ARC
(26,2),-3.08718 # DEPENDENCYPART_ARC
(26,3),-3.97749 # DEPENDENCYPART_ARC
(26,4),-4.81468 # DEPENDENCYPART_ARC
(26,5),-6.19969 # DEPENDENCYPART_ARC
(26,6),-3.03579 # DEPENDENCYPART_ARC
(26,7),-3.94575 # DEPENDENCYPART_ARC
(26,8),-4.86614 # DEPENDENCYPART_ARC
(26,9),-3.45707 # DEPENDENCYPART_ARC
(26,10),-2.20414 # DEPENDENCYPART_ARC
(26,11),-2.92666 # DEPENDENCYPART_ARC
(26,12),-2.70048 # DEPENDENCYPART_ARC
(26,13),-1.73211 # DEPENDENCYPART_ARC
(26,14),-2.81577 # DEPENDENCYPART_ARC
(26,15),-2.89096 # DEPENDENCYPART_ARC
(26,16),-1.76216 # DEPENDENCYPART_ARC
(26,17),-1.93356 # DEPENDENCYPART_ARC
(26,18),-0.632103 # DEPENDENCYPART_ARC
(26,19),-1.25414 # DEPENDENCYPART_ARC
(26,20),-1.27557 # DEPENDENCYPART_ARC
(26,21),-0.0917344 # DEPENDENCYPART_ARC
(26,22),0.0187398 # DEPENDENCYPART_ARC
(26,23),0.0346243 # DEPENDENCYPART_ARC
(26,24),2.72238 # DEPENDENCYPART_ARC
(26,25),1.99918 # DEPENDENCYPART_ARC
(26,27),1.92485 # DEPENDENCYPART_ARC
(26,28),0.132528 # DEPENDENCYPART_ARC
(27,1),-1.44609 # DEPENDENCYPART_ARC
(27,2),-1.81275 # DEPENDENCYPART_ARC
(27,3),-2.86183 # DEPENDENCYPART_ARC
(27,4),-3.39285 # DEPENDENCYPART_ARC
(27,5),-5.00831 # DEPENDENCYPART_ARC
(27,6),-1.97339 # DEPENDENCYPART_ARC
(27,7),-2.41926 # DEPENDENCYPART_ARC
(27,8),-3.69328 # DEPENDENCYPART_ARC
(27,9),-2.43898 # DEPENDENCYPART_ARC
(27,10),-0.971093 # DEPENDENCYPART_ARC
(27,11),-1.89639 # DEPENDENCYPART_ARC
(27,12),-1.597 # DEPENDENCYPART_ARC
(27,13),-0.45335 # DEPENDENCYPART_ARC
(27,14),-1.81208 # DEPENDENCYPART_ARC
(27,15),-1.6132 # DEPENDENCYPART_ARC
(27,16),-1.00661 # DEPENDENCYPART_ARC
(27,17),-0.890138 # DEPENDENCYPART_ARC
(27,18),1.31777 # DEPENDENCYPART_ARC
(27,19),-0.00991013 # DEPENDENCYPART_ARC
(27,20),0.180495 # DEPENDENCYPART_ARC
(27,21),0.775025 # DEPENDENCYPART_ARC
(27,22),1.09866 # DEPENDENCYPART_ARC
(27,23),0.77047 # DEPENDENCYPART_ARC
(27,24),4.34462 # DEPENDENCYPART_ARC
(27,25),3.49654 # DEPENDENCYPART_ARC
(27,26),4.16515 # DEPENDENCYPART_ARC
(27,28),0.788446 # DEPENDENCYPART_ARC
(28,1),-2.89426 # DEPENDENCYPART_ARC
(28,2),-2.79592 # DEPENDENCYPART_ARC
(28,3),-2.66939 # DEPENDENCYPART_ARC
(28,4),-3.31179 # DEPENDENCYPART_ARC
(28,5),-2.53744 # DEPENDENCYPART_ARC
(28,6),-3.30311 # DEPENDENCYPART_ARC
(28,7),-2.55569 # DEPENDENCYPART_ARC
(28,8),-2.34907 # DEPENDENCYPART_ARC
(28,9),-2.60015 # DEPENDENCYPART_ARC
(28,10),-1.71236 # DEPENDENCYPART_ARC
(28,11),-2.4297 # DEPENDENCYPART_ARC
(28,12),-2.34901 # DEPENDENCYPART_ARC
(28,13),-1.61599 # DEPENDENCYPART_ARC
(28,14),-2.03481 # DEPENDENCYPART_ARC
(28,15),-0.889378 # DEPENDENCYPART_ARC
(28,16),-1.70176 # DEPENDENCYPART_ARC
(28,17),-1.34272 # DEPENDENCYPART_ARC
(28,18),-1.27521 # DEPENDENCYPART_ARC
(28,19),-1.52481 # DEPENDENCYPART_ARC
(28,20),-0.347128 # DEPENDENCYPART_ARC
(28,21),-1.03192 # DEPENDENCYPART_ARC
(28,22),-1.15669 # DEPENDENCYPART_ARC
(28,23),-1.5888 # DEPENDENCYPART_ARC
(28,24),-1.14129 # DEPENDENCYPART_ARC
(28,25),-0.960916 # DEPENDENCYPART_ARC
(28,26),-1.25496 # DEPENDENCYPART_ARC
(28,27),-1.18384 # DEPENDENCYPART_ARC
