# _root_ In composite trading on the New York Stock Exchange , Telerate shares closed yesterday at $ 18.875 , down 75 cents a share .
#goldHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,13,15,16,13,13,21,19,23,21,13,
#predictedHeads=13,3,1,13,9,9,9,9,4,13,12,13,0,13,13,15,16,13,13,21,19,23,21,13,
(22,4),-2.71866 # DEPENDENCYPART_ARC
(22,5),-1.86688 # DEPENDENCYPART_ARC
(22,6),-3.00528 # DEPENDENCYPART_ARC
(22,7),-3.01864 # DEPENDENCYPART_ARC
(22,8),-3.03653 # DEPENDENCYPART_ARC
(22,9),-2.97826 # DEPENDENCYPART_ARC
(22,10),-2.69278 # DEPENDENCYPART_ARC
(22,11),-2.90844 # DEPENDENCYPART_ARC
(22,12),-2.68526 # DEPENDENCYPART_ARC
(22,13),-2.40933 # DEPENDENCYPART_ARC
(22,14),-2.65621 # DEPENDENCYPART_ARC
(22,15),-1.17512 # DEPENDENCYPART_ARC
(22,16),-1.82825 # DEPENDENCYPART_ARC
(22,17),-1.65239 # DEPENDENCYPART_ARC
(22,18),-1.54585 # DEPENDENCYPART_ARC
(22,19),-1.48369 # DEPENDENCYPART_ARC
(22,20),-0.94715 # DEPENDENCYPART_ARC
(22,21),-0.740209 # DEPENDENCYPART_ARC
(22,23),0.554043 # DEPENDENCYPART_ARC
(22,24),-1.20382 # DEPENDENCYPART_ARC
(23,1),-3.12268 # DEPENDENCYPART_ARC
(23,2),-3.32082 # DEPENDENCYPART_ARC
(23,3),-6.57599 # DEPENDENCYPART_ARC
(23,4),-2.00071 # DEPENDENCYPART_ARC
(23,5),-1.01668 # DEPENDENCYPART_ARC
(23,6),-2.21762 # DEPENDENCYPART_ARC
(23,7),-3.16762 # DEPENDENCYPART_ARC
(23,8),-3.29418 # DEPENDENCYPART_ARC
(23,9),-4.29395 # DEPENDENCYPART_ARC
(23,10),-0.813736 # DEPENDENCYPART_ARC
(23,11),-2.56578 # DEPENDENCYPART_ARC
(23,12),-1.65671 # DEPENDENCYPART_ARC
(23,13),-0.877133 # DEPENDENCYPART_ARC
(23,14),-1.9072 # DEPENDENCYPART_ARC
(23,15),-0.349829 # DEPENDENCYPART_ARC
(23,16),-1.02433 # DEPENDENCYPART_ARC
(23,17),-0.906966 # DEPENDENCYPART_ARC
(23,18),0.379781 # DEPENDENCYPART_ARC
(23,19),-0.19981 # DEPENDENCYPART_ARC
(23,20),0.569399 # DEPENDENCYPART_ARC
(23,21),0.954644 # DEPENDENCYPART_ARC
(23,22),5.19961 # DEPENDENCYPART_ARC
(23,24),-0.502739 # DEPENDENCYPART_ARC
(24,1),-3.52451 # DEPENDENCYPART_ARC
(24,2),-3.04547 # DEPENDENCYPART_ARC
(24,3),-2.83203 # DEPENDENCYPART_ARC
(24,4),-2.73558 # DEPENDENCYPART_ARC
(24,5),-2.29986 # DEPENDENCYPART_ARC
(24,6),-2.14291 # DEPENDENCYPART_ARC
(24,7),-2.15751 # DEPENDENCYPART_ARC
(24,8),-2.13005 # DEPENDENCYPART_ARC
(24,9),-2.2411 # DEPENDENCYPART_ARC
(24,10),-0.984606 # DEPENDENCYPART_ARC
(24,11),-2.06685 # DEPENDENCYPART_ARC
(24,12),-1.41448 # DEPENDENCYPART_ARC
(24,13),-1.05003 # DEPENDENCYPART_ARC
(24,14),-1.71595 # DEPENDENCYPART_ARC
(24,15),-1.63541 # DEPENDENCYPART_ARC
(24,16),-1.7102 # DEPENDENCYPART_ARC
(24,17),-1.61772 # DEPENDENCYPART_ARC
(24,18),-0.124227 # DEPENDENCYPART_ARC
(24,19),-1.30249 # DEPENDENCYPART_ARC
(24,20),-1.358 # DEPENDENCYPART_ARC
(24,21),-1.10592 # DEPENDENCYPART_ARC
(24,22),-0.701274 # DEPENDENCYPART_ARC
(24,23),-1.79557 # DEPENDENCYPART_ARC
