# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,17,11,25,25,22,25,28,26,8,
(18,5),-1.57701 # DEPENDENCYPART_ARC
(18,6),-1.74421 # DEPENDENCYPART_ARC
(18,7),-1.84776 # DEPENDENCYPART_ARC
(18,8),-1.95507 # DEPENDENCYPART_ARC
(18,9),-1.16341 # DEPENDENCYPART_ARC
(18,10),-0.393717 # DEPENDENCYPART_ARC
(18,11),-0.896037 # DEPENDENCYPART_ARC
(18,12),-0.59676 # DEPENDENCYPART_ARC
(18,13),-0.469117 # DEPENDENCYPART_ARC
(18,14),-0.900839 # DEPENDENCYPART_ARC
(18,15),0.364407 # DEPENDENCYPART_ARC
(18,16),0.336198 # DEPENDENCYPART_ARC
(18,17),0.416095 # DEPENDENCYPART_ARC
(18,19),1.418 # DEPENDENCYPART_ARC
(18,20),2.57039 # DEPENDENCYPART_ARC
(18,21),0.453966 # DEPENDENCYPART_ARC
(18,22),-0.411811 # DEPENDENCYPART_ARC
(18,23),-1.60914 # DEPENDENCYPART_ARC
(18,24),-1.37338 # DEPENDENCYPART_ARC
(18,25),-2.08902 # DEPENDENCYPART_ARC
(18,26),-0.449268 # DEPENDENCYPART_ARC
(18,27),0.46247 # DEPENDENCYPART_ARC
(18,28),-3.23077 # DEPENDENCYPART_ARC
(18,29),-0.296402 # DEPENDENCYPART_ARC
(19,1),-3.63328 # DEPENDENCYPART_ARC
(19,2),-1.71125 # DEPENDENCYPART_ARC
(19,3),-2.09443 # DEPENDENCYPART_ARC
(19,4),-3.17417 # DEPENDENCYPART_ARC
(19,5),-2.95171 # DEPENDENCYPART_ARC
(19,6),-2.28591 # DEPENDENCYPART_ARC
(19,7),-2.26413 # DEPENDENCYPART_ARC
(19,8),-2.1326 # DEPENDENCYPART_ARC
(19,9),-1.59593 # DEPENDENCYPART_ARC
(19,10),-1.78617 # DEPENDENCYPART_ARC
(19,11),-1.32246 # DEPENDENCYPART_ARC
(19,12),-0.108278 # DEPENDENCYPART_ARC
(19,13),-0.779258 # DEPENDENCYPART_ARC
(19,14),-1.38422 # DEPENDENCYPART_ARC
(19,15),-0.428503 # DEPENDENCYPART_ARC
(19,16),-0.129597 # DEPENDENCYPART_ARC
(19,17),0.357839 # DEPENDENCYPART_ARC
(19,18),1.0557 # DEPENDENCYPART_ARC
(19,20),0.0642572 # DEPENDENCYPART_ARC
(19,21),-0.170497 # DEPENDENCYPART_ARC
(19,22),-0.718955 # DEPENDENCYPART_ARC
(19,23),-1.47095 # DEPENDENCYPART_ARC
(19,24),-1.06668 # DEPENDENCYPART_ARC
(19,25),-1.15135 # DEPENDENCYPART_ARC
(19,26),-1.39073 # DEPENDENCYPART_ARC
(19,27),-1.18164 # DEPENDENCYPART_ARC
(19,28),-1.65487 # DEPENDENCYPART_ARC
(19,29),-1.17498 # DEPENDENCYPART_ARC
(20,1),-1.43329 # DEPENDENCYPART_ARC
(20,2),-2.03795 # DEPENDENCYPART_ARC
(20,3),-2.54352 # DEPENDENCYPART_ARC
(20,4),-4.26515 # DEPENDENCYPART_ARC
(20,5),-1.93881 # DEPENDENCYPART_ARC
(20,6),-3.88012 # DEPENDENCYPART_ARC
(20,7),-4.52488 # DEPENDENCYPART_ARC
(20,8),-1.90971 # DEPENDENCYPART_ARC
(20,9),-1.40202 # DEPENDENCYPART_ARC
(20,10),-1.24022 # DEPENDENCYPART_ARC
(20,11),-0.682484 # DEPENDENCYPART_ARC
(20,12),0.408102 # DEPENDENCYPART_ARC
(20,13),0.0995026 # DEPENDENCYPART_ARC
(20,14),-1.34034 # DEPENDENCYPART_ARC
(20,15),-0.122427 # DEPENDENCYPART_ARC
(20,16),1.21959 # DEPENDENCYPART_ARC
(20,17),2.72083 # DEPENDENCYPART_ARC
(20,18),1.06899 # DEPENDENCYPART_ARC
(20,19),3.99883 # DEPENDENCYPART_ARC
(20,21),1.0454 # DEPENDENCYPART_ARC
(20,22),0.421346 # DEPENDENCYPART_ARC
(20,23),0.385163 # DEPENDENCYPART_ARC
(20,24),-0.0552395 # DEPENDENCYPART_ARC
(20,25),-0.351886 # DEPENDENCYPART_ARC
(20,26),0.194977 # DEPENDENCYPART_ARC
(20,27),0.109936 # DEPENDENCYPART_ARC
(20,28),-0.574077 # DEPENDENCYPART_ARC
(20,29),-0.241235 # DEPENDENCYPART_ARC
(21,1),-3.11323 # DEPENDENCYPART_ARC
(21,2),-2.78146 # DEPENDENCYPART_ARC
(21,3),-2.94832 # DEPENDENCYPART_ARC
(21,4),-2.39068 # DEPENDENCYPART_ARC
(21,5),-0.674567 # DEPENDENCYPART_ARC
(21,6),-2.92471 # DEPENDENCYPART_ARC
(21,7),-2.86127 # DEPENDENCYPART_ARC
(21,8),-2.54697 # DEPENDENCYPART_ARC
(21,9),-2.29227 # DEPENDENCYPART_ARC
(21,10),-1.6563 # DEPENDENCYPART_ARC
(21,11),-2.06084 # DEPENDENCYPART_ARC
(21,12),-1.54408 # DEPENDENCYPART_ARC
(21,13),-1.91349 # DEPENDENCYPART_ARC
(21,14),-1.51946 # DEPENDENCYPART_ARC
(21,15),-1.42236 # DEPENDENCYPART_ARC
(21,16),-2.02839 # DEPENDENCYPART_ARC
(21,17),-1.41006 # DEPENDENCYPART_ARC
(21,18),-0.990786 # DEPENDENCYPART_ARC
(21,19),-1.14877 # DEPENDENCYPART_ARC
(21,20),-1.03244 # DEPENDENCYPART_ARC
(21,22),-0.0466814 # DEPENDENCYPART_ARC
(21,23),-1.09915 # DEPENDENCYPART_ARC
(21,24),-1.12083 # DEPENDENCYPART_ARC
(21,25),-1.76039 # DEPENDENCYPART_ARC
(21,26),-1.39008 # DEPENDENCYPART_ARC
(21,27),-1.67595 # DEPENDENCYPART_ARC
(21,28),-2.19293 # DEPENDENCYPART_ARC
(21,29),-1.48587 # DEPENDENCYPART_ARC
(22,1),-3.05595 # DEPENDENCYPART_ARC
(22,2),-2.5702 # DEPENDENCYPART_ARC
(22,3),-2.44938 # DEPENDENCYPART_ARC
(22,4),-2.84006 # DEPENDENCYPART_ARC
(22,5),-1.95622 # DEPENDENCYPART_ARC
(22,6),-1.72535 # DEPENDENCYPART_ARC
(22,7),-1.76763 # DEPENDENCYPART_ARC
(22,8),-2.22093 # DEPENDENCYPART_ARC
(22,9),-1.80783 # DEPENDENCYPART_ARC
(22,10),-1.60011 # DEPENDENCYPART_ARC
(22,11),-1.47694 # DEPENDENCYPART_ARC
(22,12),-0.598866 # DEPENDENCYPART_ARC
(22,13),-1.26571 # DEPENDENCYPART_ARC
(22,14),-1.08293 # DEPENDENCYPART_ARC
(22,15),-0.549784 # DEPENDENCYPART_ARC
(22,16),-0.645618 # DEPENDENCYPART_ARC
(22,17),-0.638283 # DEPENDENCYPART_ARC
(22,18),-0.164232 # DEPENDENCYPART_ARC
(22,19),0.137849 # DEPENDENCYPART_ARC
(22,20),-0.0460221 # DEPENDENCYPART_ARC
(22,21),0.746369 # DEPENDENCYPART_ARC
(22,23),1.75053 # DEPENDENCYPART_ARC
(22,24),1.80641 # DEPENDENCYPART_ARC
(22,25),3.27237 # DEPENDENCYPART_ARC
(22,26),1.82879 # DEPENDENCYPART_ARC
(22,27),0.898795 # DEPENDENCYPART_ARC
(22,28),1.3313 # DEPENDENCYPART_ARC
(22,29),0.621847 # DEPENDENCYPART_ARC
(23,1),-3.14674 # DEPENDENCYPART_ARC
(23,2),-2.71722 # DEPENDENCYPART_ARC
(23,3),-3.18018 # DEPENDENCYPART_ARC
(23,4),-3.47448 # DEPENDENCYPART_ARC
(23,5),-2.799 # DEPENDENCYPART_ARC
(23,6),-2.89636 # DEPENDENCYPART_ARC
(23,7),-2.90133 # DEPENDENCYPART_ARC
(23,8),-2.7857 # DEPENDENCYPART_ARC
(23,9),-2.34512 # DEPENDENCYPART_ARC
(23,10),-2.27233 # DEPENDENCYPART_ARC
(23,11),-2.05673 # DEPENDENCYPART_ARC
(23,12),-1.64354 # DEPENDENCYPART_ARC
(23,13),-1.97978 # DEPENDENCYPART_ARC
(23,14),-2.29191 # DEPENDENCYPART_ARC
(23,15),-0.958391 # DEPENDENCYPART_ARC
(23,16),-2.11629 # DEPENDENCYPART_ARC
(23,17),-1.51217 # DEPENDENCYPART_ARC
(23,18),-0.87261 # DEPENDENCYPART_ARC
(23,19),-0.849165 # DEPENDENCYPART_ARC
(23,20),-0.983922 # DEPENDENCYPART_ARC
(23,21),-0.559368 # DEPENDENCYPART_ARC
(23,22),0.117318 # DEPENDENCYPART_ARC
(23,24),0.997607 # DEPENDENCYPART_ARC
(23,25),0.477246 # DEPENDENCYPART_ARC
(23,26),0.013063 # DEPENDENCYPART_ARC
(23,27),-0.239023 # DEPENDENCYPART_ARC
(23,28),-0.378696 # DEPENDENCYPART_ARC
(23,29),0.15308 # DEPENDENCYPART_ARC
(24,1),-3.30723 # DEPENDENCYPART_ARC
(24,2),-2.52688 # DEPENDENCYPART_ARC
(24,3),-2.66584 # DEPENDENCYPART_ARC
(24,4),-2.7963 # DEPENDENCYPART_ARC
(24,5),-1.99021 # DEPENDENCYPART_ARC
(24,6),-1.78068 # DEPENDENCYPART_ARC
(24,7),-1.85472 # DEPENDENCYPART_ARC
(24,8),-2.23771 # DEPENDENCYPART_ARC
(24,9),-1.89766 # DEPENDENCYPART_ARC
(24,10),-1.69572 # DEPENDENCYPART_ARC
(24,11),-1.49143 # DEPENDENCYPART_ARC
(24,12),-0.904498 # DEPENDENCYPART_ARC
(24,13),-1.48071 # DEPENDENCYPART_ARC
(24,14),-1.06116 # DEPENDENCYPART_ARC
(24,15),-0.749877 # DEPENDENCYPART_ARC
(24,16),-0.689964 # DEPENDENCYPART_ARC
(24,17),-0.884546 # DEPENDENCYPART_ARC
(24,18),-0.435532 # DEPENDENCYPART_ARC
(24,19),-0.247742 # DEPENDENCYPART_ARC
(24,20),-0.088036 # DEPENDENCYPART_ARC
(24,21),0.260336 # DEPENDENCYPART_ARC
(24,22),0.414805 # DEPENDENCYPART_ARC
(24,23),1.69276 # DEPENDENCYPART_ARC
(24,25),0.617336 # DEPENDENCYPART_ARC
(24,26),1.126 # DEPENDENCYPART_ARC
(24,27),-0.305601 # DEPENDENCYPART_ARC
(24,28),-0.933652 # DEPENDENCYPART_ARC
(24,29),-0.945492 # DEPENDENCYPART_ARC
(25,1),-3.10317 # DEPENDENCYPART_ARC
(25,2),-2.25812 # DEPENDENCYPART_ARC
(25,3),-2.7947 # DEPENDENCYPART_ARC
(25,4),-6.36094 # DEPENDENCYPART_ARC
(25,5),-3.11393 # DEPENDENCYPART_ARC
(25,6),-5.18601 # DEPENDENCYPART_ARC
(25,7),-6.16285 # DEPENDENCYPART_ARC
(25,8),-2.20973 # DEPENDENCYPART_ARC
(25,9),-1.95355 # DEPENDENCYPART_ARC
(25,10),-2.14066 # DEPENDENCYPART_ARC
(25,11),-1.7152 # DEPENDENCYPART_ARC
(25,12),-0.763438 # DEPENDENCYPART_ARC
(25,13),-0.567988 # DEPENDENCYPART_ARC
(25,14),-2.95419 # DEPENDENCYPART_ARC
(25,15),-0.574992 # DEPENDENCYPART_ARC
(25,16),-1.08262 # DEPENDENCYPART_ARC
(25,17),-0.865449 # DEPENDENCYPART_ARC
(25,18),-0.210483 # DEPENDENCYPART_ARC
(25,19),-0.672223 # DEPENDENCYPART_ARC
(25,20),0.350883 # DEPENDENCYPART_ARC
(25,21),-0.579201 # DEPENDENCYPART_ARC
(25,22),0.374268 # DEPENDENCYPART_ARC
(25,23),4.43416 # DEPENDENCYPART_ARC
(25,24),5.08591 # DEPENDENCYPART_ARC
(25,26),3.33171 # DEPENDENCYPART_ARC
(25,27),1.62029 # DEPENDENCYPART_ARC
(25,28),0.902014 # DEPENDENCYPART_ARC
(25,29),0.773022 # DEPENDENCYPART_ARC
(26,1),-3.03021 # DEPENDENCYPART_ARC
(26,2),-3.22343 # DEPENDENCYPART_ARC
(26,3),-2.17276 # DEPENDENCYPART_ARC
(26,4),-4.39067 # DEPENDENCYPART_ARC
(26,5),-3.02146 # DEPENDENCYPART_ARC
(26,6),-2.52509 # DEPENDENCYPART_ARC
(26,7),-2.63069 # DEPENDENCYPART_ARC
(26,8),-2.79096 # DEPENDENCYPART_ARC
(26,9),-2.04557 # DEPENDENCYPART_ARC
(26,10),-1.63832 # DEPENDENCYPART_ARC
(26,11),-1.80519 # DEPENDENCYPART_ARC
(26,12),-1.94473 # DEPENDENCYPART_ARC
(26,13),-1.0688 # DEPENDENCYPART_ARC
(26,14),-2.30972 # DEPENDENCYPART_ARC
(26,15),-0.768442 # DEPENDENCYPART_ARC
(26,16),-1.14716 # DEPENDENCYPART_ARC
(26,17),-0.496201 # DEPENDENCYPART_ARC
(26,18),-0.527779 # DEPENDENCYPART_ARC
(26,19),-0.857092 # DEPENDENCYPART_ARC
(26,20),-0.612241 # DEPENDENCYPART_ARC
(26,21),-0.989555 # DEPENDENCYPART_ARC
(26,22),-0.843864 # DEPENDENCYPART_ARC
(26,23),0.326729 # DEPENDENCYPART_ARC
(26,24),-0.369907 # DEPENDENCYPART_ARC
(26,25),0.775751 # DEPENDENCYPART_ARC
(26,27),1.05214 # DEPENDENCYPART_ARC
(26,28),3.41648 # DEPENDENCYPART_ARC
(26,29),-0.632105 # DEPENDENCYPART_ARC
(27,1),-2.74893 # DEPENDENCYPART_ARC
(27,2),-2.62348 # DEPENDENCYPART_ARC
(27,3),-2.28516 # DEPENDENCYPART_ARC
(27,4),-2.90997 # DEPENDENCYPART_ARC
(27,5),-1.29358 # DEPENDENCYPART_ARC
(27,6),-1.58682 # DEPENDENCYPART_ARC
(27,7),-1.56236 # DEPENDENCYPART_ARC
(27,8),-1.81772 # DEPENDENCYPART_ARC
(27,9),-2.43038 # DEPENDENCYPART_ARC
(27,10),-1.87537 # DEPENDENCYPART_ARC
(27,11),-2.25009 # DEPENDENCYPART_ARC
(27,12),-1.51361 # DEPENDENCYPART_ARC
(27,13),-1.28902 # DEPENDENCYPART_ARC
(27,14),-1.31018 # DEPENDENCYPART_ARC
(27,15),-1.02388 # DEPENDENCYPART_ARC
(27,16),-1.53397 # DEPENDENCYPART_ARC
(27,17),-0.726289 # DEPENDENCYPART_ARC
(27,18),-0.94139 # DEPENDENCYPART_ARC
(27,19),-1.37127 # DEPENDENCYPART_ARC
(27,20),-1.26975 # DEPENDENCYPART_ARC
(27,21),0.18053 # DEPENDENCYPART_ARC
(27,22),-0.342076 # DEPENDENCYPART_ARC
(27,23),-0.11455 # DEPENDENCYPART_ARC
(27,24),0.21684 # DEPENDENCYPART_ARC
(27,25),-0.13936 # DEPENDENCYPART_ARC
(27,26),1.14088 # DEPENDENCYPART_ARC
(27,28),1.47452 # DEPENDENCYPART_ARC
(27,29),0.815167 # DEPENDENCYPART_ARC
(28,1),-1.83872 # DEPENDENCYPART_ARC
(28,2),-5.93262 # DEPENDENCYPART_ARC
(28,3),-5.0274 # DEPENDENCYPART_ARC
(28,4),-6.69214 # DEPENDENCYPART_ARC
(28,5),-2.60646 # DEPENDENCYPART_ARC
(28,6),-5.47544 # DEPENDENCYPART_ARC
(28,7),-6.23724 # DEPENDENCYPART_ARC
(28,8),-2.3672 # DEPENDENCYPART_ARC
(28,9),-2.20545 # DEPENDENCYPART_ARC
(28,10),-2.1089 # DEPENDENCYPART_ARC
(28,11),-1.80779 # DEPENDENCYPART_ARC
(28,12),-3.80798 # DEPENDENCYPART_ARC
(28,13),-2.81273 # DEPENDENCYPART_ARC
(28,14),-4.52155 # DEPENDENCYPART_ARC
(28,15),-1.00367 # DEPENDENCYPART_ARC
(28,16),-1.40912 # DEPENDENCYPART_ARC
(28,17),-1.53885 # DEPENDENCYPART_ARC
(28,18),-0.638796 # DEPENDENCYPART_ARC
(28,19),-0.303357 # DEPENDENCYPART_ARC
(28,20),-1.30789 # DEPENDENCYPART_ARC
(28,21),-0.794247 # DEPENDENCYPART_ARC
(28,22),-0.928934 # DEPENDENCYPART_ARC
(28,23),0.627195 # DEPENDENCYPART_ARC
(28,24),1.52523 # DEPENDENCYPART_ARC
(28,25),0.463963 # DEPENDENCYPART_ARC
(28,26),1.1595 # DEPENDENCYPART_ARC
(28,27),4.05727 # DEPENDENCYPART_ARC
(28,29),0.432182 # DEPENDENCYPART_ARC
(29,1),-3.41091 # DEPENDENCYPART_ARC
(29,2),-3.59359 # DEPENDENCYPART_ARC
(29,3),-3.61422 # DEPENDENCYPART_ARC
(29,4),-2.66671 # DEPENDENCYPART_ARC
(29,5),-2.06331 # DEPENDENCYPART_ARC
(29,6),-3.43057 # DEPENDENCYPART_ARC
(29,7),-3.27426 # DEPENDENCYPART_ARC
(29,8),-2.50112 # DEPENDENCYPART_ARC
(29,9),-3.04332 # DEPENDENCYPART_ARC
(29,10),-2.62381 # DEPENDENCYPART_ARC
(29,11),-2.47169 # DEPENDENCYPART_ARC
(29,12),-2.16307 # DEPENDENCYPART_ARC
(29,13),-2.52269 # DEPENDENCYPART_ARC
(29,14),-1.77609 # DEPENDENCYPART_ARC
(29,15),-2.1482 # DEPENDENCYPART_ARC
(29,16),-1.33305 # DEPENDENCYPART_ARC
(29,17),-2.07309 # DEPENDENCYPART_ARC
(29,18),-1.54317 # DEPENDENCYPART_ARC
(29,19),-2.01526 # DEPENDENCYPART_ARC
(29,20),-1.77858 # DEPENDENCYPART_ARC
(29,21),-0.187777 # DEPENDENCYPART_ARC
(29,22),-0.799458 # DEPENDENCYPART_ARC
(29,23),-0.91893 # DEPENDENCYPART_ARC
(29,24),-1.07632 # DEPENDENCYPART_ARC
(29,25),-1.21848 # DEPENDENCYPART_ARC
(29,26),-0.849872 # DEPENDENCYPART_ARC
(29,27),-1.08845 # DEPENDENCYPART_ARC
(29,28),-1.42547 # DEPENDENCYPART_ARC
