# _root_ In a stark lesson in the power of the appropriations committees , the House deliberately killed a handful of projects backed by lawmakers in Florida , Illinois and Pennsylvania who had voted against the panel leadership on the House floor .
#goldHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,32,40,40,37,16,
#predictedHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,18,31,32,36,36,33,36,40,40,37,16,
(12,22),-1.50318 # DEPENDENCYPART_ARC
(12,23),-2.47306 # DEPENDENCYPART_ARC
(12,24),-1.85323 # DEPENDENCYPART_ARC
(12,25),-2.44612 # DEPENDENCYPART_ARC
(12,26),-0.981843 # DEPENDENCYPART_ARC
(12,27),-2.65662 # DEPENDENCYPART_ARC
(12,28),-2.30937 # DEPENDENCYPART_ARC
(12,29),-2.86995 # DEPENDENCYPART_ARC
(12,30),-3.46942 # DEPENDENCYPART_ARC
(12,31),-2.52787 # DEPENDENCYPART_ARC
(12,32),-2.8834 # DEPENDENCYPART_ARC
(12,33),-2.58606 # DEPENDENCYPART_ARC
(12,34),-3.33077 # DEPENDENCYPART_ARC
(12,35),-3.83756 # DEPENDENCYPART_ARC
(12,36),-4.02025 # DEPENDENCYPART_ARC
(12,37),-2.87181 # DEPENDENCYPART_ARC
(12,38),-3.8127 # DEPENDENCYPART_ARC
(12,39),-3.99903 # DEPENDENCYPART_ARC
(12,40),-4.44744 # DEPENDENCYPART_ARC
(12,41),-3.29906 # DEPENDENCYPART_ARC
(13,1),-3.45638 # DEPENDENCYPART_ARC
(13,2),-2.88651 # DEPENDENCYPART_ARC
(13,3),-3.03517 # DEPENDENCYPART_ARC
(13,4),-3.35659 # DEPENDENCYPART_ARC
(13,5),-2.89416 # DEPENDENCYPART_ARC
(13,6),-2.07775 # DEPENDENCYPART_ARC
(13,7),-2.972 # DEPENDENCYPART_ARC
(13,8),-2.38016 # DEPENDENCYPART_ARC
(13,9),-1.41747 # DEPENDENCYPART_ARC
(13,10),-2.03202 # DEPENDENCYPART_ARC
(13,11),-1.92241 # DEPENDENCYPART_ARC
(13,12),-0.915439 # DEPENDENCYPART_ARC
(13,14),-0.429966 # DEPENDENCYPART_ARC
(13,15),-0.837294 # DEPENDENCYPART_ARC
(13,16),-0.237761 # DEPENDENCYPART_ARC
(13,17),-1.93827 # DEPENDENCYPART_ARC
(13,18),-1.30613 # DEPENDENCYPART_ARC
(13,19),-1.14022 # DEPENDENCYPART_ARC
(13,20),-1.52412 # DEPENDENCYPART_ARC
(13,21),-1.30221 # DEPENDENCYPART_ARC
(13,22),-2.13043 # DEPENDENCYPART_ARC
(13,23),-1.57706 # DEPENDENCYPART_ARC
(13,24),-2.82356 # DEPENDENCYPART_ARC
(13,25),-2.57255 # DEPENDENCYPART_ARC
(13,26),-1.1675 # DEPENDENCYPART_ARC
(13,27),-2.65842 # DEPENDENCYPART_ARC
(13,28),-2.21013 # DEPENDENCYPART_ARC
(13,29),-2.93524 # DEPENDENCYPART_ARC
(13,30),-3.80247 # DEPENDENCYPART_ARC
(13,31),-4.05954 # DEPENDENCYPART_ARC
(13,32),-2.66416 # DEPENDENCYPART_ARC
(13,33),-3.6915 # DEPENDENCYPART_ARC
(13,34),-3.88408 # DEPENDENCYPART_ARC
(13,35),-3.26988 # DEPENDENCYPART_ARC
(13,36),-3.32179 # DEPENDENCYPART_ARC
(13,37),-4.84227 # DEPENDENCYPART_ARC
(13,38),-4.30629 # DEPENDENCYPART_ARC
(13,39),-4.32472 # DEPENDENCYPART_ARC
(13,40),-3.79698 # DEPENDENCYPART_ARC
(13,41),-2.29557 # DEPENDENCYPART_ARC
(14,1),-1.94207 # DEPENDENCYPART_ARC
(14,2),-2.7562 # DEPENDENCYPART_ARC
(14,3),-2.70401 # DEPENDENCYPART_ARC
(14,4),-3.20633 # DEPENDENCYPART_ARC
(14,5),-1.00857 # DEPENDENCYPART_ARC
(14,6),-1.63432 # DEPENDENCYPART_ARC
(14,7),-2.26157 # DEPENDENCYPART_ARC
(14,8),-0.661955 # DEPENDENCYPART_ARC
(14,9),0.529675 # DEPENDENCYPART_ARC
(14,10),-0.390054 # DEPENDENCYPART_ARC
(14,11),-0.47391 # DEPENDENCYPART_ARC
(14,12),0.681154 # DEPENDENCYPART_ARC
(14,13),3.92598 # DEPENDENCYPART_ARC
(14,15),0.389724 # DEPENDENCYPART_ARC
(14,16),0.171154 # DEPENDENCYPART_ARC
(14,17),-0.671525 # DEPENDENCYPART_ARC
(14,18),-1.11601 # DEPENDENCYPART_ARC
(14,19),-0.296287 # DEPENDENCYPART_ARC
(14,20),-1.58838 # DEPENDENCYPART_ARC
(14,21),-0.923776 # DEPENDENCYPART_ARC
(14,22),-1.70786 # DEPENDENCYPART_ARC
(14,23),-2.1512 # DEPENDENCYPART_ARC
(14,24),-1.39769 # DEPENDENCYPART_ARC
(14,25),-2.51607 # DEPENDENCYPART_ARC
(14,26),-0.0107807 # DEPENDENCYPART_ARC
(14,27),-2.20596 # DEPENDENCYPART_ARC
(14,28),-0.489971 # DEPENDENCYPART_ARC
(14,29),-3.83104 # DEPENDENCYPART_ARC
(14,30),-2.99208 # DEPENDENCYPART_ARC
(14,31),-0.562185 # DEPENDENCYPART_ARC
(14,32),-2.211 # DEPENDENCYPART_ARC
(14,33),-3.17301 # DEPENDENCYPART_ARC
(14,34),-2.33156 # DEPENDENCYPART_ARC
(14,35),-7.10873 # DEPENDENCYPART_ARC
(14,36),-7.16308 # DEPENDENCYPART_ARC
(14,37),-4.29304 # DEPENDENCYPART_ARC
(14,38),-2.82561 # DEPENDENCYPART_ARC
(14,39),-5.25444 # DEPENDENCYPART_ARC
(14,40),-8.42213 # DEPENDENCYPART_ARC
(14,41),-0.516894 # DEPENDENCYPART_ARC
(15,1),-1.85697 # DEPENDENCYPART_ARC
(15,2),-0.365258 # DEPENDENCYPART_ARC
(15,3),-0.662189 # DEPENDENCYPART_ARC
(15,4),-1.98288 # DEPENDENCYPART_ARC
(15,5),-1.20023 # DEPENDENCYPART_ARC
(15,6),0.00654221 # DEPENDENCYPART_ARC
(15,7),-1.19682 # DEPENDENCYPART_ARC
(15,8),-0.357469 # DEPENDENCYPART_ARC
(15,9),0.265125 # DEPENDENCYPART_ARC
(15,10),-0.998568 # DEPENDENCYPART_ARC
(15,11),-0.792804 # DEPENDENCYPART_ARC
(15,12),0.20528 # DEPENDENCYPART_ARC
(15,13),1.08491 # DEPENDENCYPART_ARC
(15,14),0.315852 # DEPENDENCYPART_ARC
(15,16),0.732944 # DEPENDENCYPART_ARC
(15,17),0.363727 # DEPENDENCYPART_ARC
(15,18),-0.034251 # DEPENDENCYPART_ARC
(15,19),-0.318276 # DEPENDENCYPART_ARC
(15,20),-0.858891 # DEPENDENCYPART_ARC
(15,21),-1.02003 # DEPENDENCYPART_ARC
(15,22),-0.897952 # DEPENDENCYPART_ARC
(15,23),-1.59955 # DEPENDENCYPART_ARC
(15,24),-1.0621 # DEPENDENCYPART_ARC
(15,25),-1.59866 # DEPENDENCYPART_ARC
(15,26),-0.190693 # DEPENDENCYPART_ARC
(15,27),-1.97609 # DEPENDENCYPART_ARC
(15,28),-0.4212 # DEPENDENCYPART_ARC
(15,29),-2.20241 # DEPENDENCYPART_ARC
(15,30),-2.0535 # DEPENDENCYPART_ARC
(15,31),-1.92855 # DEPENDENCYPART_ARC
(15,32),-2.14524 # DEPENDENCYPART_ARC
(15,33),-2.42413 # DEPENDENCYPART_ARC
(15,34),-2.56882 # DEPENDENCYPART_ARC
(15,35),-3.15236 # DEPENDENCYPART_ARC
(15,36),-3.47709 # DEPENDENCYPART_ARC
(15,37),-2.22684 # DEPENDENCYPART_ARC
(15,38),-3.1386 # DEPENDENCYPART_ARC
(15,39),-3.16901 # DEPENDENCYPART_ARC
(15,40),-3.92543 # DEPENDENCYPART_ARC
(15,41),-1.4911 # DEPENDENCYPART_ARC
(16,1),2.15784 # DEPENDENCYPART_ARC
(16,2),-0.225974 # DEPENDENCYPART_ARC
(16,3),0.783809 # DEPENDENCYPART_ARC
(16,4),1.2805 # DEPENDENCYPART_ARC
(16,5),0.936687 # DEPENDENCYPART_ARC
(16,6),-0.165407 # DEPENDENCYPART_ARC
(16,7),1.78024 # DEPENDENCYPART_ARC
(16,8),-0.000862274 # DEPENDENCYPART_ARC
(16,9),0.36427 # DEPENDENCYPART_ARC
(16,10),1.6682 # DEPENDENCYPART_ARC
(16,11),0.736674 # DEPENDENCYPART_ARC
(16,12),3.42307 # DEPENDENCYPART_ARC
(16,13),1.5274 # DEPENDENCYPART_ARC
(16,14),2.69913 # DEPENDENCYPART_ARC
(16,15),3.69849 # DEPENDENCYPART_ARC
(16,17),1.36786 # DEPENDENCYPART_ARC
(16,18),2.98727 # DEPENDENCYPART_ARC
(16,19),1.50163 # DEPENDENCYPART_ARC
(16,20),1.22554 # DEPENDENCYPART_ARC
(16,21),0.704565 # DEPENDENCYPART_ARC
(16,22),1.92834 # DEPENDENCYPART_ARC
(16,23),0.21386 # DEPENDENCYPART_ARC
(16,24),2.12158 # DEPENDENCYPART_ARC
(16,25),-0.480902 # DEPENDENCYPART_ARC
(16,26),1.16358 # DEPENDENCYPART_ARC
(16,27),-1.37087 # DEPENDENCYPART_ARC
(16,28),1.06741 # DEPENDENCYPART_ARC
(16,29),-1.3012 # DEPENDENCYPART_ARC
(16,30),-1.18617 # DEPENDENCYPART_ARC
(16,31),-0.14134 # DEPENDENCYPART_ARC
(16,32),-0.758706 # DEPENDENCYPART_ARC
(16,33),-0.833762 # DEPENDENCYPART_ARC
(16,34),-2.257 # DEPENDENCYPART_ARC
(16,35),-2.75122 # DEPENDENCYPART_ARC
(16,36),-2.01446 # DEPENDENCYPART_ARC
(16,37),-1.11113 # DEPENDENCYPART_ARC
(16,38),-2.3998 # DEPENDENCYPART_ARC
(16,39),-3.35569 # DEPENDENCYPART_ARC
(16,40),-3.422 # DEPENDENCYPART_ARC
(16,41),6.44432 # DEPENDENCYPART_ARC
(17,1),-2.40314 # DEPENDENCYPART_ARC
(17,2),-2.2425 # DEPENDENCYPART_ARC
(17,3),-2.625 # DEPENDENCYPART_ARC
(17,4),-2.93883 # DEPENDENCYPART_ARC
(17,5),-1.84505 # DEPENDENCYPART_ARC
(17,6),-1.57474 # DEPENDENCYPART_ARC
(17,7),-2.47096 # DEPENDENCYPART_ARC
(17,8),-1.3232 # DEPENDENCYPART_ARC
(17,9),-1.05863 # DEPENDENCYPART_ARC
(17,10),-1.92135 # DEPENDENCYPART_ARC
(17,11),-1.78775 # DEPENDENCYPART_ARC
(17,12),-1.40277 # DEPENDENCYPART_ARC
(17,13),-0.275645 # DEPENDENCYPART_ARC
(17,14),-1.02079 # DEPENDENCYPART_ARC
(17,15),-0.525122 # DEPENDENCYPART_ARC
(17,16),-0.225321 # DEPENDENCYPART_ARC
(17,18),0.709453 # DEPENDENCYPART_ARC
(17,19),0.37553 # DEPENDENCYPART_ARC
(17,20),-0.23544 # DEPENDENCYPART_ARC
(17,21),-0.283696 # DEPENDENCYPART_ARC
(17,22),-0.842956 # DEPENDENCYPART_ARC
(17,23),-0.72169 # DEPENDENCYPART_ARC
(17,24),-1.35172 # DEPENDENCYPART_ARC
(17,25),-1.31413 # DEPENDENCYPART_ARC
(17,26),0.492166 # DEPENDENCYPART_ARC
(17,27),-1.27396 # DEPENDENCYPART_ARC
(17,28),-1.17945 # DEPENDENCYPART_ARC
(17,29),-1.64849 # DEPENDENCYPART_ARC
(17,30),-2.75072 # DEPENDENCYPART_ARC
(17,31),-2.40854 # DEPENDENCYPART_ARC
(17,32),-1.68531 # DEPENDENCYPART_ARC
(17,33),-2.32847 # DEPENDENCYPART_ARC
(17,34),-2.83058 # DEPENDENCYPART_ARC
(17,35),-2.12738 # DEPENDENCYPART_ARC
(17,36),-2.30248 # DEPENDENCYPART_ARC
(17,37),-3.30421 # DEPENDENCYPART_ARC
(17,38),-3.24325 # DEPENDENCYPART_ARC
(17,39),-2.7743 # DEPENDENCYPART_ARC
(17,40),-2.72431 # DEPENDENCYPART_ARC
(17,41),-0.575725 # DEPENDENCYPART_ARC
(18,1),-2.02647 # DEPENDENCYPART_ARC
(18,2),-4.52263 # DEPENDENCYPART_ARC
(18,3),-4.12589 # DEPENDENCYPART_ARC
(18,4),-6.91143 # DEPENDENCYPART_ARC
(18,5),-1.09327 # DEPENDENCYPART_ARC
(18,6),-3.85668 # DEPENDENCYPART_ARC
(18,7),-5.121 # DEPENDENCYPART_ARC
(18,8),-0.684919 # DEPENDENCYPART_ARC
(18,9),-1.39135 # DEPENDENCYPART_ARC
(18,10),-0.842385 # DEPENDENCYPART_ARC
(18,11),-1.90338 # DEPENDENCYPART_ARC
(18,12),-1.12873 # DEPENDENCYPART_ARC
(18,13),0.442715 # DEPENDENCYPART_ARC
(18,14),-0.705001 # DEPENDENCYPART_ARC
(18,15),0.461805 # DEPENDENCYPART_ARC
(18,16),0.0525758 # DEPENDENCYPART_ARC
(18,17),4.51677 # DEPENDENCYPART_ARC
(18,19),4.07989 # DEPENDENCYPART_ARC
(18,20),1.37821 # DEPENDENCYPART_ARC
(18,21),2.39304 # DEPENDENCYPART_ARC
(18,22),1.71033 # DEPENDENCYPART_ARC
(18,23),0.505416 # DEPENDENCYPART_ARC
(18,24),1.65889 # DEPENDENCYPART_ARC
(18,25),-0.0511755 # DEPENDENCYPART_ARC
(18,26),0.360399 # DEPENDENCYPART_ARC
(18,27),-0.811671 # DEPENDENCYPART_ARC
(18,28),0.271385 # DEPENDENCYPART_ARC
(18,29),-0.924807 # DEPENDENCYPART_ARC
(18,30),-1.38656 # DEPENDENCYPART_ARC
(18,31),2.66096 # DEPENDENCYPART_ARC
(18,32),0.703884 # DEPENDENCYPART_ARC
(18,33),0.253652 # DEPENDENCYPART_ARC
(18,34),-1.08343 # DEPENDENCYPART_ARC
(18,35),-1.74384 # DEPENDENCYPART_ARC
(18,36),-2.09954 # DEPENDENCYPART_ARC
(18,37),-0.360626 # DEPENDENCYPART_ARC
(18,38),-1.4194 # DEPENDENCYPART_ARC
(18,39),-2.68407 # DEPENDENCYPART_ARC
(18,40),-2.78906 # DEPENDENCYPART_ARC
(18,41),1.02538 # DEPENDENCYPART_ARC
(19,1),-3.95447 # DEPENDENCYPART_ARC
(19,2),-3.46659 # DEPENDENCYPART_ARC
(19,3),-2.99451 # DEPENDENCYPART_ARC
(19,4),-3.68669 # DEPENDENCYPART_ARC
(19,5),-3.27167 # DEPENDENCYPART_ARC
(19,6),-2.87328 # DEPENDENCYPART_ARC
(19,7),-2.97416 # DEPENDENCYPART_ARC
(19,8),-2.71073 # DEPENDENCYPART_ARC
(19,9),-2.07435 # DEPENDENCYPART_ARC
(19,10),-2.23769 # DEPENDENCYPART_ARC
(19,11),-2.21958 # DEPENDENCYPART_ARC
(19,12),-2.04216 # DEPENDENCYPART_ARC
(19,13),-1.2859 # DEPENDENCYPART_ARC
(19,14),-1.26389 # DEPENDENCYPART_ARC
(19,15),-0.901129 # DEPENDENCYPART_ARC
(19,16),-1.16687 # DEPENDENCYPART_ARC
(19,17),-0.638873 # DEPENDENCYPART_ARC
(19,18),0.0109648 # DEPENDENCYPART_ARC
(19,20),4.00515 # DEPENDENCYPART_ARC
(19,21),0.957566 # DEPENDENCYPART_ARC
(19,22),0.561391 # DEPENDENCYPART_ARC
(19,23),0.444776 # DEPENDENCYPART_ARC
(19,24),0.159925 # DEPENDENCYPART_ARC
(19,25),-1.30004 # DEPENDENCYPART_ARC
(19,26),0.370515 # DEPENDENCYPART_ARC
(19,27),-2.53851 # DEPENDENCYPART_ARC
(19,28),-0.414793 # DEPENDENCYPART_ARC
(19,29),-3.72019 # DEPENDENCYPART_ARC
(19,30),-1.33385 # DEPENDENCYPART_ARC
(19,31),-0.896135 # DEPENDENCYPART_ARC
(19,32),-1.4605 # DEPENDENCYPART_ARC
(19,33),-1.8086 # DEPENDENCYPART_ARC
(19,34),-3.46362 # DEPENDENCYPART_ARC
(19,35),-7.51886 # DEPENDENCYPART_ARC
(19,36),-6.23467 # DEPENDENCYPART_ARC
(19,37),-1.68411 # DEPENDENCYPART_ARC
(19,38),-4.2406 # DEPENDENCYPART_ARC
(19,39),-8.66951 # DEPENDENCYPART_ARC
(19,40),-9.6498 # DEPENDENCYPART_ARC
(19,41),-0.918674 # DEPENDENCYPART_ARC
(20,1),-2.37929 # DEPENDENCYPART_ARC
(20,2),-5.8695 # DEPENDENCYPART_ARC
(20,3),-5.58742 # DEPENDENCYPART_ARC
(20,4),-6.16325 # DEPENDENCYPART_ARC
(20,5),-1.732 # DEPENDENCYPART_ARC
(20,6),-4.74586 # DEPENDENCYPART_ARC
(20,7),-4.94846 # DEPENDENCYPART_ARC
(20,8),-1.19081 # DEPENDENCYPART_ARC
(20,9),-2.73604 # DEPENDENCYPART_ARC
(20,10),-1.71179 # DEPENDENCYPART_ARC
(20,11),-2.23496 # DEPENDENCYPART_ARC
(20,12),-1.27981 # DEPENDENCYPART_ARC
(20,13),-1.25457 # DEPENDENCYPART_ARC
(20,14),-1.90126 # DEPENDENCYPART_ARC
(20,15),-0.625207 # DEPENDENCYPART_ARC
(20,16),-0.909362 # DEPENDENCYPART_ARC
(20,17),0.695867 # DEPENDENCYPART_ARC
(20,18),0.27873 # DEPENDENCYPART_ARC
(20,19),1.12417 # DEPENDENCYPART_ARC
(20,21),2.95979 # DEPENDENCYPART_ARC
(20,22),1.13557 # DEPENDENCYPART_ARC
(20,23),0.65642 # DEPENDENCYPART_ARC
(20,24),1.13127 # DEPENDENCYPART_ARC
(20,25),-0.211535 # DEPENDENCYPART_ARC
(20,26),1.52437 # DEPENDENCYPART_ARC
(20,27),-0.458817 # DEPENDENCYPART_ARC
(20,28),0.182502 # DEPENDENCYPART_ARC
(20,29),-0.796542 # DEPENDENCYPART_ARC
(20,30),-1.70078 # DEPENDENCYPART_ARC
(20,31),1.96168 # DEPENDENCYPART_ARC
(20,32),-0.0503978 # DEPENDENCYPART_ARC
(20,33),-0.00418798 # DEPENDENCYPART_ARC
(20,34),-1.62087 # DEPENDENCYPART_ARC
(20,35),-1.139 # DEPENDENCYPART_ARC
(20,36),-1.2428 # DEPENDENCYPART_ARC
(20,37),-0.387768 # DEPENDENCYPART_ARC
(20,38),-2.03567 # DEPENDENCYPART_ARC
(20,39),-1.76433 # DEPENDENCYPART_ARC
(20,40),-1.33696 # DEPENDENCYPART_ARC
(20,41),0.396461 # DEPENDENCYPART_ARC
(21,1),-3.83822 # DEPENDENCYPART_ARC
(21,2),-1.70678 # DEPENDENCYPART_ARC
(21,3),-0.993199 # DEPENDENCYPART_ARC
(21,4),-1.67578 # DEPENDENCYPART_ARC
(21,5),-2.82533 # DEPENDENCYPART_ARC
(21,6),-1.19781 # DEPENDENCYPART_ARC
(21,7),-1.32472 # DEPENDENCYPART_ARC
(21,8),-1.58098 # DEPENDENCYPART_ARC
(21,9),-0.926296 # DEPENDENCYPART_ARC
(21,10),-0.553364 # DEPENDENCYPART_ARC
(21,11),-0.8561 # DEPENDENCYPART_ARC
(21,12),-0.124942 # DEPENDENCYPART_ARC
(21,13),-0.254223 # DEPENDENCYPART_ARC
(21,14),-0.736075 # DEPENDENCYPART_ARC
(21,15),-0.485475 # DEPENDENCYPART_ARC
(21,16),-0.806581 # DEPENDENCYPART_ARC
(21,17),0.199158 # DEPENDENCYPART_ARC
(21,18),0.543481 # DEPENDENCYPART_ARC
(21,19),-0.229132 # DEPENDENCYPART_ARC
(21,20),1.19512 # DEPENDENCYPART_ARC
(21,22),4.14692 # DEPENDENCYPART_ARC
(21,23),1.14256 # DEPENDENCYPART_ARC
(21,24),2.27197 # DEPENDENCYPART_ARC
(21,25),0.336839 # DEPENDENCYPART_ARC
(21,26),0.493676 # DEPENDENCYPART_ARC
(21,27),-0.567472 # DEPENDENCYPART_ARC
(21,28),1.38879 # DEPENDENCYPART_ARC
(21,29),-0.787226 # DEPENDENCYPART_ARC
(21,30),-1.26472 # DEPENDENCYPART_ARC
(21,31),0.0781499 # DEPENDENCYPART_ARC
(21,32),-0.195771 # DEPENDENCYPART_ARC
(21,33),0.883394 # DEPENDENCYPART_ARC
(21,34),-1.75026 # DEPENDENCYPART_ARC
(21,35),-2.01509 # DEPENDENCYPART_ARC
(21,36),-1.87674 # DEPENDENCYPART_ARC
(21,37),-0.186044 # DEPENDENCYPART_ARC
(21,38),-2.13136 # DEPENDENCYPART_ARC
(21,39),-2.45239 # DEPENDENCYPART_ARC
(21,40),-2.56656 # DEPENDENCYPART_ARC
(21,41),1.24906 # DEPENDENCYPART_ARC
(22,1),-3.16926 # DEPENDENCYPART_ARC
(22,2),-2.93259 # DEPENDENCYPART_ARC
(22,3),-2.59011 # DEPENDENCYPART_ARC
(22,4),-3.54814 # DEPENDENCYPART_ARC
(22,5),-2.29584 # DEPENDENCYPART_ARC
(22,6),-2.34848 # DEPENDENCYPART_ARC
(22,7),-3.00847 # DEPENDENCYPART_ARC
(22,8),-1.9417 # DEPENDENCYPART_ARC
(22,9),-1.92801 # DEPENDENCYPART_ARC
(22,10),-1.85824 # DEPENDENCYPART_ARC
(22,11),-1.83535 # DEPENDENCYPART_ARC
(22,12),-1.35242 # DEPENDENCYPART_ARC
(22,13),-0.866553 # DEPENDENCYPART_ARC
(22,14),-1.19978 # DEPENDENCYPART_ARC
(22,15),-1.11807 # DEPENDENCYPART_ARC
(22,16),-0.882954 # DEPENDENCYPART_ARC
(22,17),-0.534139 # DEPENDENCYPART_ARC
(22,18),-0.707565 # DEPENDENCYPART_ARC
(22,19),0.332201 # DEPENDENCYPART_ARC
(22,20),-0.192654 # DEPENDENCYPART_ARC
(22,21),1.03305 # DEPENDENCYPART_ARC
(22,23),4.34283 # DEPENDENCYPART_ARC
(22,24),0.683385 # DEPENDENCYPART_ARC
(22,25),1.47142 # DEPENDENCYPART_ARC
(22,26),0.715159 # DEPENDENCYPART_ARC
(22,27),-0.00450266 # DEPENDENCYPART_ARC
(22,28),0.609859 # DEPENDENCYPART_ARC
(22,29),-1.80768 # DEPENDENCYPART_ARC
(22,30),-0.978068 # DEPENDENCYPART_ARC
(22,31),-1.6367 # DEPENDENCYPART_ARC
(22,32),-0.832031 # DEPENDENCYPART_ARC
(22,33),-0.428488 # DEPENDENCYPART_ARC
(22,34),-2.65539 # DEPENDENCYPART_ARC
(22,35),-4.57635 # DEPENDENCYPART_ARC
(22,36),-3.59441 # DEPENDENCYPART_ARC
(22,37),-0.542023 # DEPENDENCYPART_ARC
(22,38),-3.31659 # DEPENDENCYPART_ARC
(22,39),-5.3352 # DEPENDENCYPART_ARC
(22,40),-6.88068 # DEPENDENCYPART_ARC
(22,41),-0.994946 # DEPENDENCYPART_ARC
(23,1),-3.10869 # DEPENDENCYPART_ARC
(23,2),-7.48628 # DEPENDENCYPART_ARC
(23,3),-7.40724 # DEPENDENCYPART_ARC
(23,4),-7.49752 # DEPENDENCYPART_ARC
(23,5),-2.32158 # DEPENDENCYPART_ARC
(23,6),-6.96266 # DEPENDENCYPART_ARC
(23,7),-6.47409 # DEPENDENCYPART_ARC
(23,8),-1.75073 # DEPENDENCYPART_ARC
(23,9),-4.99057 # DEPENDENCYPART_ARC
(23,10),-3.23292 # DEPENDENCYPART_ARC
(23,11),-3.79961 # DEPENDENCYPART_ARC
(23,12),-2.29282 # DEPENDENCYPART_ARC
(23,13),-3.66214 # DEPENDENCYPART_ARC
(23,14),-3.31135 # DEPENDENCYPART_ARC
(23,15),-2.38483 # DEPENDENCYPART_ARC
(23,16),-1.97793 # DEPENDENCYPART_ARC
(23,17),-2.04469 # DEPENDENCYPART_ARC
(23,18),-2.33436 # DEPENDENCYPART_ARC
(23,19),-0.491969 # DEPENDENCYPART_ARC
(23,20),-0.270955 # DEPENDENCYPART_ARC
(23,21),0.0622047 # DEPENDENCYPART_ARC
(23,22),0.814978 # DEPENDENCYPART_ARC
(23,24),2.56152 # DEPENDENCYPART_ARC
(23,25),0.399252 # DEPENDENCYPART_ARC
(23,26),0.993963 # DEPENDENCYPART_ARC
(23,27),0.227627 # DEPENDENCYPART_ARC
(23,28),0.527421 # DEPENDENCYPART_ARC
(23,29),-0.27575 # DEPENDENCYPART_ARC
(23,30),-1.32921 # DEPENDENCYPART_ARC
(23,31),2.06367 # DEPENDENCYPART_ARC
(23,32),0.355811 # DEPENDENCYPART_ARC
(23,33),0.364749 # DEPENDENCYPART_ARC
(23,34),-1.37257 # DEPENDENCYPART_ARC
(23,35),-0.923773 # DEPENDENCYPART_ARC
(23,36),-1.02989 # DEPENDENCYPART_ARC
(23,37),-0.153358 # DEPENDENCYPART_ARC
(23,38),-1.74673 # DEPENDENCYPART_ARC
(23,39),-1.21105 # DEPENDENCYPART_ARC
(23,40),-1.12361 # DEPENDENCYPART_ARC
(23,41),-0.227168 # DEPENDENCYPART_ARC
(24,1),-4.50348 # DEPENDENCYPART_ARC
(24,2),-3.26367 # DEPENDENCYPART_ARC
(24,3),-3.03817 # DEPENDENCYPART_ARC
(24,4),-3.77903 # DEPENDENCYPART_ARC
(24,5),-3.59677 # DEPENDENCYPART_ARC
(24,6),-2.71199 # DEPENDENCYPART_ARC
(24,7),-2.7706 # DEPENDENCYPART_ARC
(24,8),-2.97669 # DEPENDENCYPART_ARC
(24,9),-2.4016 # DEPENDENCYPART_ARC
(24,10),-1.43437 # DEPENDENCYPART_ARC
(24,11),-1.43237 # DEPENDENCYPART_ARC
(24,12),-1.93735 # DEPENDENCYPART_ARC
(24,13),-1.70199 # DEPENDENCYPART_ARC
(24,14),-1.62399 # DEPENDENCYPART_ARC
(24,15),-1.71832 # DEPENDENCYPART_ARC
(24,16),-1.23769 # DEPENDENCYPART_ARC
(24,17),-1.07446 # DEPENDENCYPART_ARC
(24,18),-0.77077 # DEPENDENCYPART_ARC
(24,19),-0.870394 # DEPENDENCYPART_ARC
(24,20),-0.0642765 # DEPENDENCYPART_ARC
(24,21),-0.222565 # DEPENDENCYPART_ARC
(24,22),0.182235 # DEPENDENCYPART_ARC
(24,23),0.522922 # DEPENDENCYPART_ARC
(24,25),3.9295 # DEPENDENCYPART_ARC
(24,26),0.240226 # DEPENDENCYPART_ARC
(24,27),0.970014 # DEPENDENCYPART_ARC
(24,28),-0.119044 # DEPENDENCYPART_ARC
(24,29),-0.644113 # DEPENDENCYPART_ARC
(24,30),-1.07521 # DEPENDENCYPART_ARC
(24,31),-0.809346 # DEPENDENCYPART_ARC
(24,32),-1.06374 # DEPENDENCYPART_ARC
(24,33),-0.897472 # DEPENDENCYPART_ARC
(24,34),-2.39584 # DEPENDENCYPART_ARC
(24,35),-4.07873 # DEPENDENCYPART_ARC
(24,36),-3.14042 # DEPENDENCYPART_ARC
(24,37),-1.22315 # DEPENDENCYPART_ARC
(24,38),-3.25917 # DEPENDENCYPART_ARC
(24,39),-5.63784 # DEPENDENCYPART_ARC
(24,40),-6.51624 # DEPENDENCYPART_ARC
(24,41),0.597372 # DEPENDENCYPART_ARC
(25,1),-4.87031 # DEPENDENCYPART_ARC
(25,2),-6.44865 # DEPENDENCYPART_ARC
(25,3),-6.49773 # DEPENDENCYPART_ARC
(25,4),-8.1253 # DEPENDENCYPART_ARC
(25,5),-3.93785 # DEPENDENCYPART_ARC
(25,6),-7.57933 # DEPENDENCYPART_ARC
(25,7),-6.63747 # DEPENDENCYPART_ARC
(25,8),-3.49106 # DEPENDENCYPART_ARC
(25,9),-6.28818 # DEPENDENCYPART_ARC
(25,10),-4.6055 # DEPENDENCYPART_ARC
(25,11),-5.06717 # DEPENDENCYPART_ARC
(25,12),-4.92307 # DEPENDENCYPART_ARC
