# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(18,23),-0.911389 # DEPENDENCYPART_ARC
(18,24),-1.00791 # DEPENDENCYPART_ARC
(18,25),-1.4008 # DEPENDENCYPART_ARC
(18,26),-1.01428 # DEPENDENCYPART_ARC
(18,27),-1.60934 # DEPENDENCYPART_ARC
(18,28),-0.986223 # DEPENDENCYPART_ARC
(19,1),-1.06134 # DEPENDENCYPART_ARC
(19,2),-2.16889 # DEPENDENCYPART_ARC
(19,3),-2.81752 # DEPENDENCYPART_ARC
(19,4),-2.11816 # DEPENDENCYPART_ARC
(19,5),-0.702321 # DEPENDENCYPART_ARC
(19,6),-2.88309 # DEPENDENCYPART_ARC
(19,7),-2.1361 # DEPENDENCYPART_ARC
(19,8),-1.57603 # DEPENDENCYPART_ARC
(19,9),-1.28461 # DEPENDENCYPART_ARC
(19,10),-1.39535 # DEPENDENCYPART_ARC
(19,11),-0.512725 # DEPENDENCYPART_ARC
(19,12),-0.097358 # DEPENDENCYPART_ARC
(19,13),-0.664619 # DEPENDENCYPART_ARC
(19,14),0.600447 # DEPENDENCYPART_ARC
(19,15),-0.88478 # DEPENDENCYPART_ARC
(19,16),0.159843 # DEPENDENCYPART_ARC
(19,17),4.65343 # DEPENDENCYPART_ARC
(19,18),4.65057 # DEPENDENCYPART_ARC
(19,20),3.60262 # DEPENDENCYPART_ARC
(19,21),0.877836 # DEPENDENCYPART_ARC
(19,22),1.15723 # DEPENDENCYPART_ARC
(19,23),0.877237 # DEPENDENCYPART_ARC
(19,24),1.26377 # DEPENDENCYPART_ARC
(19,25),1.03706 # DEPENDENCYPART_ARC
(19,26),1.07098 # DEPENDENCYPART_ARC
(19,27),0.159822 # DEPENDENCYPART_ARC
(19,28),0.713586 # DEPENDENCYPART_ARC
(20,1),-1.64821 # DEPENDENCYPART_ARC
(20,2),-3.00121 # DEPENDENCYPART_ARC
(20,3),-2.90136 # DEPENDENCYPART_ARC
(20,4),-2.21868 # DEPENDENCYPART_ARC
(20,5),-2.74501 # DEPENDENCYPART_ARC
(20,6),-2.48551 # DEPENDENCYPART_ARC
(20,7),-1.96041 # DEPENDENCYPART_ARC
(20,8),-2.38457 # DEPENDENCYPART_ARC
(20,9),-2.45418 # DEPENDENCYPART_ARC
(20,10),-2.15836 # DEPENDENCYPART_ARC
(20,11),-1.72765 # DEPENDENCYPART_ARC
(20,12),-1.69089 # DEPENDENCYPART_ARC
(20,13),-1.20977 # DEPENDENCYPART_ARC
(20,14),-0.9897 # DEPENDENCYPART_ARC
(20,15),-1.21058 # DEPENDENCYPART_ARC
(20,16),-0.998034 # DEPENDENCYPART_ARC
(20,17),-0.279688 # DEPENDENCYPART_ARC
(20,18),-0.701272 # DEPENDENCYPART_ARC
(20,19),-0.0504199 # DEPENDENCYPART_ARC
(20,21),2.91166 # DEPENDENCYPART_ARC
(20,22),2.94413 # DEPENDENCYPART_ARC
(20,23),0.282811 # DEPENDENCYPART_ARC
(20,24),-0.385735 # DEPENDENCYPART_ARC
(20,25),0.00331255 # DEPENDENCYPART_ARC
(20,26),1.2055 # DEPENDENCYPART_ARC
(20,27),2.6726 # DEPENDENCYPART_ARC
(20,28),-1.78242 # DEPENDENCYPART_ARC
(21,1),-4.21017 # DEPENDENCYPART_ARC
(21,2),-5.88716 # DEPENDENCYPART_ARC
(21,3),-6.47451 # DEPENDENCYPART_ARC
(21,4),-5.82888 # DEPENDENCYPART_ARC
(21,5),-4.48641 # DEPENDENCYPART_ARC
(21,6),-4.95909 # DEPENDENCYPART_ARC
(21,7),-5.26934 # DEPENDENCYPART_ARC
(21,8),-5.59334 # DEPENDENCYPART_ARC
(21,9),-5.35164 # DEPENDENCYPART_ARC
(21,10),-5.65607 # DEPENDENCYPART_ARC
(21,11),-4.34332 # DEPENDENCYPART_ARC
(21,12),-4.00616 # DEPENDENCYPART_ARC
(21,13),-4.26627 # DEPENDENCYPART_ARC
(21,14),-3.08606 # DEPENDENCYPART_ARC
(21,15),-3.96942 # DEPENDENCYPART_ARC
(21,16),-2.33608 # DEPENDENCYPART_ARC
(21,17),-0.861316 # DEPENDENCYPART_ARC
(21,18),-0.858165 # DEPENDENCYPART_ARC
(21,19),-2.24494 # DEPENDENCYPART_ARC
(21,20),-1.09865 # DEPENDENCYPART_ARC
(21,22),0.927179 # DEPENDENCYPART_ARC
(21,23),1.02351 # DEPENDENCYPART_ARC
(21,24),-0.083087 # DEPENDENCYPART_ARC
(21,25),-0.815321 # DEPENDENCYPART_ARC
(21,26),-0.488781 # DEPENDENCYPART_ARC
(21,27),-0.409625 # DEPENDENCYPART_ARC
(21,28),-1.56901 # DEPENDENCYPART_ARC
(22,1),-3.13456 # DEPENDENCYPART_ARC
(22,2),-4.9772 # DEPENDENCYPART_ARC
(22,3),-5.59509 # DEPENDENCYPART_ARC
(22,4),-4.99775 # DEPENDENCYPART_ARC
(22,5),-3.34678 # DEPENDENCYPART_ARC
(22,6),-3.89736 # DEPENDENCYPART_ARC
(22,7),-4.39066 # DEPENDENCYPART_ARC
(22,8),-4.62582 # DEPENDENCYPART_ARC
(22,9),-4.39065 # DEPENDENCYPART_ARC
(22,10),-4.83649 # DEPENDENCYPART_ARC
(22,11),-3.88674 # DEPENDENCYPART_ARC
(22,12),-3.07257 # DEPENDENCYPART_ARC
(22,13),-3.44809 # DEPENDENCYPART_ARC
(22,14),-1.58611 # DEPENDENCYPART_ARC
(22,15),-2.75001 # DEPENDENCYPART_ARC
(22,16),-1.7401 # DEPENDENCYPART_ARC
(22,17),0.074813 # DEPENDENCYPART_ARC
(22,18),0.101307 # DEPENDENCYPART_ARC
(22,19),-1.62352 # DEPENDENCYPART_ARC
(22,20),-1.00393 # DEPENDENCYPART_ARC
(22,21),3.55463 # DEPENDENCYPART_ARC
(22,23),2.01175 # DEPENDENCYPART_ARC
(22,24),1.89773 # DEPENDENCYPART_ARC
(22,25),0.0985927 # DEPENDENCYPART_ARC
(22,26),0.385529 # DEPENDENCYPART_ARC
(22,27),0.372192 # DEPENDENCYPART_ARC
(22,28),-0.385739 # DEPENDENCYPART_ARC
(23,1),-2.65652 # DEPENDENCYPART_ARC
(23,2),-4.04807 # DEPENDENCYPART_ARC
(23,3),-5.32797 # DEPENDENCYPART_ARC
(23,4),-4.74593 # DEPENDENCYPART_ARC
(23,5),-2.82899 # DEPENDENCYPART_ARC
(23,6),-3.62744 # DEPENDENCYPART_ARC
(23,7),-4.02795 # DEPENDENCYPART_ARC
(23,8),-4.34914 # DEPENDENCYPART_ARC
(23,9),-4.09607 # DEPENDENCYPART_ARC
(23,10),-4.45559 # DEPENDENCYPART_ARC
(23,11),-3.5118 # DEPENDENCYPART_ARC
(23,12),-3.04159 # DEPENDENCYPART_ARC
(23,13),-3.1202 # DEPENDENCYPART_ARC
(23,14),0.509913 # DEPENDENCYPART_ARC
(23,15),-2.45826 # DEPENDENCYPART_ARC
(23,16),-1.58136 # DEPENDENCYPART_ARC
(23,17),0.479859 # DEPENDENCYPART_ARC
(23,18),0.537662 # DEPENDENCYPART_ARC
(23,19),-1.46702 # DEPENDENCYPART_ARC
(23,20),-0.956202 # DEPENDENCYPART_ARC
(23,21),4.5407 # DEPENDENCYPART_ARC
(23,22),4.67245 # DEPENDENCYPART_ARC
(23,24),4.58612 # DEPENDENCYPART_ARC
(23,25),0.547736 # DEPENDENCYPART_ARC
(23,26),-0.585552 # DEPENDENCYPART_ARC
(23,27),-0.927474 # DEPENDENCYPART_ARC
(23,28),-1.04937 # DEPENDENCYPART_ARC
(24,1),-1.85681 # DEPENDENCYPART_ARC
(24,2),-2.30934 # DEPENDENCYPART_ARC
(24,3),-3.84823 # DEPENDENCYPART_ARC
(24,4),-2.45338 # DEPENDENCYPART_ARC
(24,5),-2.14448 # DEPENDENCYPART_ARC
(24,6),-3.00154 # DEPENDENCYPART_ARC
(24,7),-2.0554 # DEPENDENCYPART_ARC
(24,8),-3.07897 # DEPENDENCYPART_ARC
(24,9),-2.11673 # DEPENDENCYPART_ARC
(24,10),-2.82304 # DEPENDENCYPART_ARC
(24,11),-2.00101 # DEPENDENCYPART_ARC
(24,12),-1.22829 # DEPENDENCYPART_ARC
(24,13),-1.36741 # DEPENDENCYPART_ARC
(24,14),-0.291344 # DEPENDENCYPART_ARC
(24,15),-0.246394 # DEPENDENCYPART_ARC
(24,16),-1.44453 # DEPENDENCYPART_ARC
(24,17),-0.197032 # DEPENDENCYPART_ARC
(24,18),-0.557741 # DEPENDENCYPART_ARC
(24,19),-1.0557 # DEPENDENCYPART_ARC
(24,20),-0.482589 # DEPENDENCYPART_ARC
(24,21),0.916208 # DEPENDENCYPART_ARC
(24,22),0.971827 # DEPENDENCYPART_ARC
(24,23),1.52493 # DEPENDENCYPART_ARC
(24,25),0.18947 # DEPENDENCYPART_ARC
(24,26),-0.691851 # DEPENDENCYPART_ARC
(24,27),-1.19089 # DEPENDENCYPART_ARC
(24,28),-1.12596 # DEPENDENCYPART_ARC
(25,1),-2.91853 # DEPENDENCYPART_ARC
(25,2),-2.32276 # DEPENDENCYPART_ARC
(25,3),-2.70011 # DEPENDENCYPART_ARC
(25,4),-2.74078 # DEPENDENCYPART_ARC
(25,5),-2.79543 # DEPENDENCYPART_ARC
(25,6),-3.17241 # DEPENDENCYPART_ARC
(25,7),-1.52878 # DEPENDENCYPART_ARC
(25,8),-2.33094 # DEPENDENCYPART_ARC
(25,9),-3.07437 # DEPENDENCYPART_ARC
(25,10),-2.38972 # DEPENDENCYPART_ARC
(25,11),-1.23166 # DEPENDENCYPART_ARC
(25,12),-1.89957 # DEPENDENCYPART_ARC
(25,13),-2.01665 # DEPENDENCYPART_ARC
(25,14),-0.912442 # DEPENDENCYPART_ARC
(25,15),-1.35549 # DEPENDENCYPART_ARC
(25,16),-0.837675 # DEPENDENCYPART_ARC
(25,17),0.0253988 # DEPENDENCYPART_ARC
(25,18),-0.335237 # DEPENDENCYPART_ARC
(25,19),-1.07591 # DEPENDENCYPART_ARC
(25,20),-0.706377 # DEPENDENCYPART_ARC
(25,21),0.678623 # DEPENDENCYPART_ARC
(25,22),0.535189 # DEPENDENCYPART_ARC
(25,23),0.467373 # DEPENDENCYPART_ARC
(25,24),0.787502 # DEPENDENCYPART_ARC
(25,26),1.43839 # DEPENDENCYPART_ARC
(25,27),0.186453 # DEPENDENCYPART_ARC
(25,28),-0.307293 # DEPENDENCYPART_ARC
(26,1),-2.63423 # DEPENDENCYPART_ARC
(26,2),-6.45318 # DEPENDENCYPART_ARC
(26,3),-5.69999 # DEPENDENCYPART_ARC
(26,4),-3.80948 # DEPENDENCYPART_ARC
(26,5),-2.78421 # DEPENDENCYPART_ARC
(26,6),-5.61022 # DEPENDENCYPART_ARC
(26,7),-4.40628 # DEPENDENCYPART_ARC
(26,8),-3.53283 # DEPENDENCYPART_ARC
(26,9),-3.18595 # DEPENDENCYPART_ARC
(26,10),-4.02025 # DEPENDENCYPART_ARC
(26,11),-2.55406 # DEPENDENCYPART_ARC
(26,12),-1.94189 # DEPENDENCYPART_ARC
(26,13),-2.67393 # DEPENDENCYPART_ARC
(26,14),-2.11359 # DEPENDENCYPART_ARC
(26,15),-3.47667 # DEPENDENCYPART_ARC
(26,16),-2.30188 # DEPENDENCYPART_ARC
(26,17),-1.03223 # DEPENDENCYPART_ARC
(26,18),-0.784972 # DEPENDENCYPART_ARC
(26,19),-2.49456 # DEPENDENCYPART_ARC
(26,20),-1.47309 # DEPENDENCYPART_ARC
(26,21),1.77971 # DEPENDENCYPART_ARC
(26,22),1.3427 # DEPENDENCYPART_ARC
(26,23),2.35647 # DEPENDENCYPART_ARC
(26,24),0.534308 # DEPENDENCYPART_ARC
(26,25),1.9847 # DEPENDENCYPART_ARC
(26,27),1.26884 # DEPENDENCYPART_ARC
(26,28),-0.379792 # DEPENDENCYPART_ARC
(27,1),-1.20849 # DEPENDENCYPART_ARC
(27,2),-2.83612 # DEPENDENCYPART_ARC
(27,3),-3.05434 # DEPENDENCYPART_ARC
(27,4),-1.94509 # DEPENDENCYPART_ARC
(27,5),-0.718608 # DEPENDENCYPART_ARC
(27,6),-4.12242 # DEPENDENCYPART_ARC
(27,7),-3.21689 # DEPENDENCYPART_ARC
(27,8),-1.20681 # DEPENDENCYPART_ARC
(27,9),-1.53791 # DEPENDENCYPART_ARC
(27,10),-1.51279 # DEPENDENCYPART_ARC
(27,11),-0.850682 # DEPENDENCYPART_ARC
(27,12),-0.11147 # DEPENDENCYPART_ARC
(27,13),-0.719843 # DEPENDENCYPART_ARC
(27,14),-0.377164 # DEPENDENCYPART_ARC
(27,15),-1.34988 # DEPENDENCYPART_ARC
(27,16),-0.811495 # DEPENDENCYPART_ARC
(27,17),2.30561 # DEPENDENCYPART_ARC
(27,18),1.78413 # DEPENDENCYPART_ARC
(27,19),0.109003 # DEPENDENCYPART_ARC
(27,20),0.0239516 # DEPENDENCYPART_ARC
(27,21),3.17314 # DEPENDENCYPART_ARC
(27,22),3.08097 # DEPENDENCYPART_ARC
(27,23),4.12448 # DEPENDENCYPART_ARC
(27,24),1.60879 # DEPENDENCYPART_ARC
(27,25),4.30392 # DEPENDENCYPART_ARC
(27,26),4.73996 # DEPENDENCYPART_ARC
(27,28),0.367987 # DEPENDENCYPART_ARC
(28,1),-2.79574 # DEPENDENCYPART_ARC
(28,2),-2.93507 # DEPENDENCYPART_ARC
(28,3),-2.83135 # DEPENDENCYPART_ARC
(28,4),-2.99201 # DEPENDENCYPART_ARC
(28,5),-1.98758 # DEPENDENCYPART_ARC
(28,6),-2.76431 # DEPENDENCYPART_ARC
(28,7),-2.66694 # DEPENDENCYPART_ARC
(28,8),-2.46144 # DEPENDENCYPART_ARC
(28,9),-2.25978 # DEPENDENCYPART_ARC
(28,10),-2.17613 # DEPENDENCYPART_ARC
(28,11),-1.17401 # DEPENDENCYPART_ARC
(28,12),-2.02338 # DEPENDENCYPART_ARC
(28,13),-1.30932 # DEPENDENCYPART_ARC
(28,14),-1.65854 # DEPENDENCYPART_ARC
(28,15),-1.72044 # DEPENDENCYPART_ARC
(28,16),-0.478322 # DEPENDENCYPART_ARC
(28,17),-1.35429 # DEPENDENCYPART_ARC
(28,18),-1.6897 # DEPENDENCYPART_ARC
(28,19),-1.53419 # DEPENDENCYPART_ARC
(28,20),-1.23693 # DEPENDENCYPART_ARC
(28,21),-0.968271 # DEPENDENCYPART_ARC
(28,22),-0.904616 # DEPENDENCYPART_ARC
(28,23),-1.33084 # DEPENDENCYPART_ARC
(28,24),-1.12048 # DEPENDENCYPART_ARC
(28,25),-0.827039 # DEPENDENCYPART_ARC
(28,26),-1.5066 # DEPENDENCYPART_ARC
(28,27),-1.6301 # DEPENDENCYPART_ARC
