# _root_ `` The question is how long it 's going to take Barry Wright to make a contribution , '' says F. John Mirek , an analyst at Blunt Ellis Loewi in Milwaukee .
#goldHeads=20,3,4,20,6,11,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
#predictedHeads=20,3,4,20,8,5,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
(15,28),-0.772861 # DEPENDENCYPART_ARC
(15,29),-0.450487 # DEPENDENCYPART_ARC
(15,30),0.169826 # DEPENDENCYPART_ARC
(15,31),-1.61497 # DEPENDENCYPART_ARC
(15,32),-0.666663 # DEPENDENCYPART_ARC
(15,33),-0.541053 # DEPENDENCYPART_ARC
(16,1),-2.87093 # DEPENDENCYPART_ARC
(16,2),-1.79755 # DEPENDENCYPART_ARC
(16,3),-2.86228 # DEPENDENCYPART_ARC
(16,4),-2.42361 # DEPENDENCYPART_ARC
(16,5),-1.6131 # DEPENDENCYPART_ARC
(16,6),-2.03759 # DEPENDENCYPART_ARC
(16,7),-1.80005 # DEPENDENCYPART_ARC
(16,8),-1.96811 # DEPENDENCYPART_ARC
(16,9),-1.65701 # DEPENDENCYPART_ARC
(16,10),-1.60687 # DEPENDENCYPART_ARC
(16,11),-1.20931 # DEPENDENCYPART_ARC
(16,12),-1.23186 # DEPENDENCYPART_ARC
(16,13),-1.00123 # DEPENDENCYPART_ARC
(16,14),-0.670129 # DEPENDENCYPART_ARC
(16,15),0.43128 # DEPENDENCYPART_ARC
(16,17),-0.069167 # DEPENDENCYPART_ARC
(16,18),-0.951471 # DEPENDENCYPART_ARC
(16,19),-1.15507 # DEPENDENCYPART_ARC
(16,20),-0.951886 # DEPENDENCYPART_ARC
(16,21),-1.5837 # DEPENDENCYPART_ARC
(16,22),-1.82204 # DEPENDENCYPART_ARC
(16,23),-1.77598 # DEPENDENCYPART_ARC
(16,24),-0.640392 # DEPENDENCYPART_ARC
(16,25),-2.71676 # DEPENDENCYPART_ARC
(16,26),-2.06124 # DEPENDENCYPART_ARC
(16,27),-2.68147 # DEPENDENCYPART_ARC
(16,28),-2.4063 # DEPENDENCYPART_ARC
(16,29),-2.33139 # DEPENDENCYPART_ARC
(16,30),-2.34514 # DEPENDENCYPART_ARC
(16,31),-3.23367 # DEPENDENCYPART_ARC
(16,32),-2.40629 # DEPENDENCYPART_ARC
(16,33),-2.76995 # DEPENDENCYPART_ARC
(17,1),-2.07205 # DEPENDENCYPART_ARC
(17,2),-3.68748 # DEPENDENCYPART_ARC
(17,3),-4.10842 # DEPENDENCYPART_ARC
(17,4),-1.74424 # DEPENDENCYPART_ARC
(17,5),-0.265848 # DEPENDENCYPART_ARC
(17,6),-2.9257 # DEPENDENCYPART_ARC
(17,7),-0.612483 # DEPENDENCYPART_ARC
(17,8),-0.793372 # DEPENDENCYPART_ARC
(17,9),-0.218007 # DEPENDENCYPART_ARC
(17,10),-1.36071 # DEPENDENCYPART_ARC
(17,11),-0.380328 # DEPENDENCYPART_ARC
(17,12),0.153131 # DEPENDENCYPART_ARC
(17,13),-0.399359 # DEPENDENCYPART_ARC
(17,14),-0.00453879 # DEPENDENCYPART_ARC
(17,15),0.936002 # DEPENDENCYPART_ARC
(17,16),5.07034 # DEPENDENCYPART_ARC
(17,18),1.40995 # DEPENDENCYPART_ARC
(17,19),1.85339 # DEPENDENCYPART_ARC
(17,20),1.17122 # DEPENDENCYPART_ARC
(17,21),0.459979 # DEPENDENCYPART_ARC
(17,22),0.410862 # DEPENDENCYPART_ARC
(17,23),0.524122 # DEPENDENCYPART_ARC
(17,24),0.865096 # DEPENDENCYPART_ARC
(17,25),-0.395561 # DEPENDENCYPART_ARC
(17,26),-0.116206 # DEPENDENCYPART_ARC
(17,27),-0.17248 # DEPENDENCYPART_ARC
(17,28),-0.298505 # DEPENDENCYPART_ARC
(17,29),-0.272892 # DEPENDENCYPART_ARC
(17,30),-0.224684 # DEPENDENCYPART_ARC
(17,31),-0.200227 # DEPENDENCYPART_ARC
(17,32),-0.809475 # DEPENDENCYPART_ARC
(17,33),0.425379 # DEPENDENCYPART_ARC
(18,1),-2.37778 # DEPENDENCYPART_ARC
(18,2),-2.39767 # DEPENDENCYPART_ARC
(18,3),-2.63591 # DEPENDENCYPART_ARC
(18,4),-2.40483 # DEPENDENCYPART_ARC
(18,5),-1.5451 # DEPENDENCYPART_ARC
(18,6),-2.31233 # DEPENDENCYPART_ARC
(18,7),-2.28752 # DEPENDENCYPART_ARC
(18,8),-1.96896 # DEPENDENCYPART_ARC
(18,9),-1.56749 # DEPENDENCYPART_ARC
(18,10),-1.27943 # DEPENDENCYPART_ARC
(18,11),-1.65735 # DEPENDENCYPART_ARC
(18,12),-1.78658 # DEPENDENCYPART_ARC
(18,13),-1.90258 # DEPENDENCYPART_ARC
(18,14),-1.19062 # DEPENDENCYPART_ARC
(18,15),-1.06917 # DEPENDENCYPART_ARC
(18,16),-0.544201 # DEPENDENCYPART_ARC
(18,17),-1.02114 # DEPENDENCYPART_ARC
(18,19),0.407135 # DEPENDENCYPART_ARC
(18,20),-0.0581332 # DEPENDENCYPART_ARC
(18,21),-0.575319 # DEPENDENCYPART_ARC
(18,22),-0.858114 # DEPENDENCYPART_ARC
(18,23),-1.05388 # DEPENDENCYPART_ARC
(18,24),0.720211 # DEPENDENCYPART_ARC
(18,25),-1.48328 # DEPENDENCYPART_ARC
(18,26),-2.01917 # DEPENDENCYPART_ARC
(18,27),-1.2692 # DEPENDENCYPART_ARC
(18,28),-1.90336 # DEPENDENCYPART_ARC
(18,29),-2.05185 # DEPENDENCYPART_ARC
(18,30),-2.20862 # DEPENDENCYPART_ARC
(18,31),-1.76818 # DEPENDENCYPART_ARC
(18,32),-2.41708 # DEPENDENCYPART_ARC
(18,33),-1.53893 # DEPENDENCYPART_ARC
(19,1),0.178465 # DEPENDENCYPART_ARC
(19,2),-2.06243 # DEPENDENCYPART_ARC
(19,3),-2.95881 # DEPENDENCYPART_ARC
(19,4),-1.98415 # DEPENDENCYPART_ARC
(19,5),-1.73043 # DEPENDENCYPART_ARC
(19,6),-2.40295 # DEPENDENCYPART_ARC
(19,7),-2.20642 # DEPENDENCYPART_ARC
(19,8),-1.67766 # DEPENDENCYPART_ARC
(19,9),-1.66954 # DEPENDENCYPART_ARC
(19,10),-1.66746 # DEPENDENCYPART_ARC
(19,11),-1.63237 # DEPENDENCYPART_ARC
(19,12),-1.61191 # DEPENDENCYPART_ARC
(19,13),-1.46989 # DEPENDENCYPART_ARC
(19,14),-1.31309 # DEPENDENCYPART_ARC
(19,15),-1.08141 # DEPENDENCYPART_ARC
(19,16),0.0661321 # DEPENDENCYPART_ARC
(19,17),-1.10422 # DEPENDENCYPART_ARC
(19,18),0.598204 # DEPENDENCYPART_ARC
(19,20),-0.0854632 # DEPENDENCYPART_ARC
(19,21),-1.19239 # DEPENDENCYPART_ARC
(19,22),-1.54632 # DEPENDENCYPART_ARC
(19,23),-1.82661 # DEPENDENCYPART_ARC
(19,24),-1.51415 # DEPENDENCYPART_ARC
(19,25),-2.35446 # DEPENDENCYPART_ARC
(19,26),-2.2786 # DEPENDENCYPART_ARC
(19,27),-2.07545 # DEPENDENCYPART_ARC
(19,28),-2.76756 # DEPENDENCYPART_ARC
(19,29),-2.89285 # DEPENDENCYPART_ARC
(19,30),-3.02656 # DEPENDENCYPART_ARC
(19,31),-2.35885 # DEPENDENCYPART_ARC
(19,32),-3.24752 # DEPENDENCYPART_ARC
(19,33),-2.06123 # DEPENDENCYPART_ARC
(20,1),4.61714 # DEPENDENCYPART_ARC
(20,2),-2.53686 # DEPENDENCYPART_ARC
(20,3),-1.47723 # DEPENDENCYPART_ARC
(20,4),1.8553 # DEPENDENCYPART_ARC
(20,5),-1.02925 # DEPENDENCYPART_ARC
(20,6),-1.14712 # DEPENDENCYPART_ARC
(20,7),-1.34091 # DEPENDENCYPART_ARC
(20,8),1.59069 # DEPENDENCYPART_ARC
(20,9),-0.800349 # DEPENDENCYPART_ARC
(20,10),-0.961235 # DEPENDENCYPART_ARC
(20,11),-0.0143615 # DEPENDENCYPART_ARC
(20,12),0.388904 # DEPENDENCYPART_ARC
(20,13),0.421903 # DEPENDENCYPART_ARC
(20,14),-0.478594 # DEPENDENCYPART_ARC
(20,15),0.0943744 # DEPENDENCYPART_ARC
(20,16),-0.164473 # DEPENDENCYPART_ARC
(20,17),-0.247434 # DEPENDENCYPART_ARC
(20,18),3.61361 # DEPENDENCYPART_ARC
(20,19),3.81188 # DEPENDENCYPART_ARC
(20,21),1.67684 # DEPENDENCYPART_ARC
(20,22),2.11523 # DEPENDENCYPART_ARC
(20,23),2.79757 # DEPENDENCYPART_ARC
(20,24),0.876952 # DEPENDENCYPART_ARC
(20,25),-0.252607 # DEPENDENCYPART_ARC
(20,26),-0.444978 # DEPENDENCYPART_ARC
(20,27),-1.3901 # DEPENDENCYPART_ARC
(20,28),-0.640539 # DEPENDENCYPART_ARC
(20,29),-0.0508798 # DEPENDENCYPART_ARC
(20,30),0.25105 # DEPENDENCYPART_ARC
(20,31),-1.48142 # DEPENDENCYPART_ARC
(20,32),-0.998084 # DEPENDENCYPART_ARC
(20,33),7.88035 # DEPENDENCYPART_ARC
(21,1),-4.49676 # DEPENDENCYPART_ARC
(21,2),-5.16949 # DEPENDENCYPART_ARC
(21,3),-6.11421 # DEPENDENCYPART_ARC
(21,4),-5.71803 # DEPENDENCYPART_ARC
(21,5),-4.6938 # DEPENDENCYPART_ARC
(21,6),-5.09912 # DEPENDENCYPART_ARC
(21,7),-4.66583 # DEPENDENCYPART_ARC
(21,8),-4.98754 # DEPENDENCYPART_ARC
(21,9),-4.15364 # DEPENDENCYPART_ARC
(21,10),-4.89852 # DEPENDENCYPART_ARC
(21,11),-3.79392 # DEPENDENCYPART_ARC
(21,12),-4.0089 # DEPENDENCYPART_ARC
(21,13),-4.92494 # DEPENDENCYPART_ARC
(21,14),-3.95528 # DEPENDENCYPART_ARC
(21,15),-3.23553 # DEPENDENCYPART_ARC
(21,16),-1.99759 # DEPENDENCYPART_ARC
(21,17),-3.0651 # DEPENDENCYPART_ARC
(21,18),-2.43939 # DEPENDENCYPART_ARC
(21,19),-1.66816 # DEPENDENCYPART_ARC
(21,20),-1.38628 # DEPENDENCYPART_ARC
(21,22),0.548776 # DEPENDENCYPART_ARC
(21,23),0.613428 # DEPENDENCYPART_ARC
(21,24),0.511298 # DEPENDENCYPART_ARC
(21,25),-1.52404 # DEPENDENCYPART_ARC
(21,26),-0.145084 # DEPENDENCYPART_ARC
(21,27),-1.72169 # DEPENDENCYPART_ARC
(21,28),-2.37326 # DEPENDENCYPART_ARC
(21,29),-1.85991 # DEPENDENCYPART_ARC
(21,30),-1.96839 # DEPENDENCYPART_ARC
(21,31),-1.76004 # DEPENDENCYPART_ARC
(21,32),-2.35084 # DEPENDENCYPART_ARC
(21,33),-0.50286 # DEPENDENCYPART_ARC
(22,1),-3.09031 # DEPENDENCYPART_ARC
(22,2),-4.08797 # DEPENDENCYPART_ARC
(22,3),-4.86298 # DEPENDENCYPART_ARC
(22,4),-4.52097 # DEPENDENCYPART_ARC
(22,5),-3.47001 # DEPENDENCYPART_ARC
(22,6),-3.83876 # DEPENDENCYPART_ARC
(22,7),-3.31355 # DEPENDENCYPART_ARC
(22,8),-3.91747 # DEPENDENCYPART_ARC
(22,9),-2.71817 # DEPENDENCYPART_ARC
(22,10),-3.73569 # DEPENDENCYPART_ARC
(22,11),-2.94308 # DEPENDENCYPART_ARC
(22,12),-2.0966 # DEPENDENCYPART_ARC
(22,13),-3.49565 # DEPENDENCYPART_ARC
(22,14),-2.82927 # DEPENDENCYPART_ARC
(22,15),-2.02262 # DEPENDENCYPART_ARC
(22,16),-1.57787 # DEPENDENCYPART_ARC
(22,17),-2.33949 # DEPENDENCYPART_ARC
(22,18),-1.60829 # DEPENDENCYPART_ARC
(22,19),-0.95182 # DEPENDENCYPART_ARC
(22,20),-0.791529 # DEPENDENCYPART_ARC
(22,21),3.06801 # DEPENDENCYPART_ARC
(22,23),2.05041 # DEPENDENCYPART_ARC
(22,24),2.14009 # DEPENDENCYPART_ARC
(22,25),-0.360918 # DEPENDENCYPART_ARC
(22,26),1.47884 # DEPENDENCYPART_ARC
(22,27),-0.650096 # DEPENDENCYPART_ARC
(22,28),-1.2398 # DEPENDENCYPART_ARC
(22,29),-0.442103 # DEPENDENCYPART_ARC
(22,30),-0.453125 # DEPENDENCYPART_ARC
(22,31),-0.134157 # DEPENDENCYPART_ARC
(22,32),-1.2996 # DEPENDENCYPART_ARC
(22,33),0.711065 # DEPENDENCYPART_ARC
(23,1),-0.984109 # DEPENDENCYPART_ARC
(23,2),-1.96235 # DEPENDENCYPART_ARC
(23,3),-3.13202 # DEPENDENCYPART_ARC
(23,4),-3.0489 # DEPENDENCYPART_ARC
(23,5),-1.79643 # DEPENDENCYPART_ARC
(23,6),-1.97313 # DEPENDENCYPART_ARC
(23,7),-1.59495 # DEPENDENCYPART_ARC
(23,8),-2.40765 # DEPENDENCYPART_ARC
(23,9),-0.988347 # DEPENDENCYPART_ARC
(23,10),-2.0839 # DEPENDENCYPART_ARC
(23,11),-1.26712 # DEPENDENCYPART_ARC
(23,12),-0.221058 # DEPENDENCYPART_ARC
(23,13),-1.33838 # DEPENDENCYPART_ARC
(23,14),-1.19759 # DEPENDENCYPART_ARC
(23,15),-0.390277 # DEPENDENCYPART_ARC
(23,16),0.678144 # DEPENDENCYPART_ARC
(23,17),-1.44874 # DEPENDENCYPART_ARC
(23,18),-0.0795598 # DEPENDENCYPART_ARC
(23,19),0.532591 # DEPENDENCYPART_ARC
(23,20),0.296676 # DEPENDENCYPART_ARC
(23,21),4.96345 # DEPENDENCYPART_ARC
(23,22),4.63817 # DEPENDENCYPART_ARC
(23,24),3.72574 # DEPENDENCYPART_ARC
(23,25),0.981444 # DEPENDENCYPART_ARC
(23,26),2.99413 # DEPENDENCYPART_ARC
(23,27),0.652866 # DEPENDENCYPART_ARC
(23,28),0.293044 # DEPENDENCYPART_ARC
(23,29),0.558004 # DEPENDENCYPART_ARC
(23,30),0.565994 # DEPENDENCYPART_ARC
(23,31),0.424685 # DEPENDENCYPART_ARC
(23,32),0.147532 # DEPENDENCYPART_ARC
(23,33),1.30872 # DEPENDENCYPART_ARC
(24,1),-3.22092 # DEPENDENCYPART_ARC
(24,2),-3.23843 # DEPENDENCYPART_ARC
(24,3),-3.50567 # DEPENDENCYPART_ARC
(24,4),-3.27193 # DEPENDENCYPART_ARC
(24,5),-2.4271 # DEPENDENCYPART_ARC
(24,6),-3.10105 # DEPENDENCYPART_ARC
(24,7),-3.12944 # DEPENDENCYPART_ARC
(24,8),-2.82006 # DEPENDENCYPART_ARC
(24,9),-2.52274 # DEPENDENCYPART_ARC
(24,10),-1.83952 # DEPENDENCYPART_ARC
(24,11),-2.51207 # DEPENDENCYPART_ARC
(24,12),-2.82212 # DEPENDENCYPART_ARC
(24,13),-2.75638 # DEPENDENCYPART_ARC
(24,14),-1.72607 # DEPENDENCYPART_ARC
(24,15),-2.12317 # DEPENDENCYPART_ARC
(24,16),-1.60743 # DEPENDENCYPART_ARC
(24,17),-1.91105 # DEPENDENCYPART_ARC
(24,18),-0.608836 # DEPENDENCYPART_ARC
(24,19),-1.7875 # DEPENDENCYPART_ARC
(24,20),-1.68598 # DEPENDENCYPART_ARC
(24,21),-1.56224 # DEPENDENCYPART_ARC
(24,22),-1.70641 # DEPENDENCYPART_ARC
(24,23),-1.11538 # DEPENDENCYPART_ARC
(24,25),-0.421709 # DEPENDENCYPART_ARC
(24,26),-1.21442 # DEPENDENCYPART_ARC
(24,27),-0.943709 # DEPENDENCYPART_ARC
(24,28),-1.24656 # DEPENDENCYPART_ARC
(24,29),-1.43429 # DEPENDENCYPART_ARC
(24,30),-1.86815 # DEPENDENCYPART_ARC
(24,31),-1.57936 # DEPENDENCYPART_ARC
(24,32),-2.14132 # DEPENDENCYPART_ARC
(24,33),-1.54907 # DEPENDENCYPART_ARC
(25,1),-4.15792 # DEPENDENCYPART_ARC
(25,2),-3.56626 # DEPENDENCYPART_ARC
(25,3),-4.33415 # DEPENDENCYPART_ARC
(25,4),-3.66009 # DEPENDENCYPART_ARC
(25,5),-2.93826 # DEPENDENCYPART_ARC
(25,6),-3.48 # DEPENDENCYPART_ARC
(25,7),-3.06785 # DEPENDENCYPART_ARC
(25,8),-3.27883 # DEPENDENCYPART_ARC
(25,9),-3.0961 # DEPENDENCYPART_ARC
(25,10),-2.94612 # DEPENDENCYPART_ARC
(25,11),-2.73937 # DEPENDENCYPART_ARC
(25,12),-2.95109 # DEPENDENCYPART_ARC
(25,13),-2.89334 # DEPENDENCYPART_ARC
(25,14),-2.52484 # DEPENDENCYPART_ARC
(25,15),-2.17026 # DEPENDENCYPART_ARC
(25,16),-1.79708 # DEPENDENCYPART_ARC
(25,17),-2.70061 # DEPENDENCYPART_ARC
(25,18),-2.08461 # DEPENDENCYPART_ARC
(25,19),-2.24989 # DEPENDENCYPART_ARC
(25,20),-1.98388 # DEPENDENCYPART_ARC
(25,21),-1.66116 # DEPENDENCYPART_ARC
(25,22),-1.33033 # DEPENDENCYPART_ARC
(25,23),-1.19619 # DEPENDENCYPART_ARC
(25,24),-0.292916 # DEPENDENCYPART_ARC
(25,26),0.447102 # DEPENDENCYPART_ARC
(25,27),-0.687002 # DEPENDENCYPART_ARC
(25,28),-0.584239 # DEPENDENCYPART_ARC
(25,29),-0.789591 # DEPENDENCYPART_ARC
(25,30),-0.94679 # DEPENDENCYPART_ARC
(25,31),-1.40726 # DEPENDENCYPART_ARC
(25,32),-1.40641 # DEPENDENCYPART_ARC
(25,33),-1.31465 # DEPENDENCYPART_ARC
(26,1),-2.57895 # DEPENDENCYPART_ARC
(26,2),-6.67247 # DEPENDENCYPART_ARC
(26,3),-7.20725 # DEPENDENCYPART_ARC
(26,4),-3.35078 # DEPENDENCYPART_ARC
(26,5),-1.96839 # DEPENDENCYPART_ARC
(26,6),-4.93189 # DEPENDENCYPART_ARC
(26,7),-2.18694 # DEPENDENCYPART_ARC
(26,8),-2.69516 # DEPENDENCYPART_ARC
(26,9),-1.38392 # DEPENDENCYPART_ARC
(26,10),-3.22557 # DEPENDENCYPART_ARC
(26,11),-2.04958 # DEPENDENCYPART_ARC
(26,12),-4.36831 # DEPENDENCYPART_ARC
(26,13),-4.96534 # DEPENDENCYPART_ARC
(26,14),-2.5704 # DEPENDENCYPART_ARC
(26,15),-2.06468 # DEPENDENCYPART_ARC
(26,16),0.679783 # DEPENDENCYPART_ARC
(26,17),-2.6173 # DEPENDENCYPART_ARC
(26,18),-1.05509 # DEPENDENCYPART_ARC
(26,19),-0.731028 # DEPENDENCYPART_ARC
(26,20),-1.22936 # DEPENDENCYPART_ARC
(26,21),0.145481 # DEPENDENCYPART_ARC
(26,22),-0.0612416 # DEPENDENCYPART_ARC
(26,23),-0.68524 # DEPENDENCYPART_ARC
(26,24),0.352704 # DEPENDENCYPART_ARC
(26,25),3.94283 # DEPENDENCYPART_ARC
(26,27),2.96366 # DEPENDENCYPART_ARC
(26,28),0.798688 # DEPENDENCYPART_ARC
(26,29),0.868335 # DEPENDENCYPART_ARC
(26,30),0.92579 # DEPENDENCYPART_ARC
(26,31),0.440025 # DEPENDENCYPART_ARC
(26,32),0.166719 # DEPENDENCYPART_ARC
(26,33),0.647717 # DEPENDENCYPART_ARC
(27,1),-1.53852 # DEPENDENCYPART_ARC
(27,2),-3.27622 # DEPENDENCYPART_ARC
(27,3),-4.12016 # DEPENDENCYPART_ARC
(27,4),-2.64641 # DEPENDENCYPART_ARC
(27,5),-1.48244 # DEPENDENCYPART_ARC
(27,6),-2.78457 # DEPENDENCYPART_ARC
(27,7),-2.93022 # DEPENDENCYPART_ARC
(27,8),-2.33873 # DEPENDENCYPART_ARC
(27,9),-2.84167 # DEPENDENCYPART_ARC
(27,10),-2.4872 # DEPENDENCYPART_ARC
(27,11),-2.29628 # DEPENDENCYPART_ARC
(27,12),-2.28727 # DEPENDENCYPART_ARC
(27,13),-2.39721 # DEPENDENCYPART_ARC
(27,14),-1.96615 # DEPENDENCYPART_ARC
(27,15),-1.88155 # DEPENDENCYPART_ARC
(27,16),-1.80825 # DEPENDENCYPART_ARC
(27,17),-2.15429 # DEPENDENCYPART_ARC
(27,18),-1.01049 # DEPENDENCYPART_ARC
(27,19),-1.49721 # DEPENDENCYPART_ARC
(27,20),-0.955318 # DEPENDENCYPART_ARC
(27,21),-1.02327 # DEPENDENCYPART_ARC
(27,22),-1.16041 # DEPENDENCYPART_ARC
(27,23),-1.05978 # DEPENDENCYPART_ARC
(27,24),0.0657317 # DEPENDENCYPART_ARC
(27,25),0.172353 # DEPENDENCYPART_ARC
(27,26),0.681903 # DEPENDENCYPART_ARC
(27,28),2.64021 # DEPENDENCYPART_ARC
(27,29),2.65654 # DEPENDENCYPART_ARC
(27,30),2.78256 # DEPENDENCYPART_ARC
(27,31),-0.490849 # DEPENDENCYPART_ARC
(27,32),1.73466 # DEPENDENCYPART_ARC
(27,33),-0.293314 # DEPENDENCYPART_ARC
(28,1),-5.26484 # DEPENDENCYPART_ARC
(28,2),-7.35905 # DEPENDENCYPART_ARC
(28,3),-8.13842 # DEPENDENCYPART_ARC
(28,4),-7.26374 # DEPENDENCYPART_ARC
(28,5),-6.08873 # DEPENDENCYPART_ARC
(28,6),-7.02635 # DEPENDENCYPART_ARC
(28,7),-5.6922 # DEPENDENCYPART_ARC
(28,8),-6.50569 # DEPENDENCYPART_ARC
(28,9),-5.12907 # DEPENDENCYPART_ARC
(28,10),-6.26395 # DEPENDENCYPART_ARC
(28,11),-5.41232 # DEPENDENCYPART_ARC
(28,12),-6.96308 # DEPENDENCYPART_ARC
(28,13),-8.00797 # DEPENDENCYPART_ARC
(28,14),-5.68905 # DEPENDENCYPART_ARC
(28,15),-4.86717 # DEPENDENCYPART_ARC
(28,16),-5.15668 # DEPENDENCYPART_ARC
(28,17),-6.33843 # DEPENDENCYPART_ARC
(28,18),-5.20703 # DEPENDENCYPART_ARC
(28,19),-4.42423 # DEPENDENCYPART_ARC
(28,20),-4.64804 # DEPENDENCYPART_ARC
(28,21),-3.26587 # DEPENDENCYPART_ARC
(28,22),-3.31996 # DEPENDENCYPART_ARC
(28,23),-3.49589 # DEPENDENCYPART_ARC
(28,24),-2.83037 # DEPENDENCYPART_ARC
(28,25),-1.86522 # DEPENDENCYPART_ARC
(28,26),-2.5408 # DEPENDENCYPART_ARC
(28,27),-1.57195 # DEPENDENCYPART_ARC
(28,29),1.03981 # DEPENDENCYPART_ARC
(28,30),0.491246 # DEPENDENCYPART_ARC
(28,31),0.00891856 # DEPENDENCYPART_ARC
(28,32),-0.87407 # DEPENDENCYPART_ARC
(28,33),-0.939351 # DEPENDENCYPART_ARC
(29,1),-3.91131 # DEPENDENCYPART_ARC
(29,2),-5.927 # DEPENDENCYPART_ARC
(29,3),-6.88812 # DEPENDENCYPART_ARC
(29,4),-5.94898 # DEPENDENCYPART_ARC
(29,5),-4.81204 # DEPENDENCYPART_ARC
(29,6),-5.81884 # DEPENDENCYPART_ARC
(29,7),-4.22095 # DEPENDENCYPART_ARC
(29,8),-5.33507 # DEPENDENCYPART_ARC
(29,9),-3.7001 # DEPENDENCYPART_ARC
(29,10),-5.07492 # DEPENDENCYPART_ARC
(29,11),-4.06836 # DEPENDENCYPART_ARC
(29,12),-5.08088 # DEPENDENCYPART_ARC
(29,13),-6.51064 # DEPENDENCYPART_ARC
(29,14),-4.43542 # DEPENDENCYPART_ARC
(29,15),-3.60399 # DEPENDENCYPART_ARC
(29,16),-3.78502 # DEPENDENCYPART_ARC
(29,17),-5.4124 # DEPENDENCYPART_ARC
(29,18),-4.37157 # DEPENDENCYPART_ARC
(29,19),-3.11178 # DEPENDENCYPART_ARC
(29,20),-3.451 # DEPENDENCYPART_ARC
(29,21),-1.56619 # DEPENDENCYPART_ARC
(29,22),-1.71622 # DEPENDENCYPART_ARC
(29,23),-2.63132 # DEPENDENCYPART_ARC
(29,24),-1.44251 # DEPENDENCYPART_ARC
(29,25),-0.779229 # DEPENDENCYPART_ARC
(29,26),-1.58179 # DEPENDENCYPART_ARC
(29,27),-1.21421 # DEPENDENCYPART_ARC
(29,28),3.44216 # DEPENDENCYPART_ARC
(29,30),1.83958 # DEPENDENCYPART_ARC
(29,31),0.992695 # DEPENDENCYPART_ARC
(29,32),-0.290956 # DEPENDENCYPART_ARC
(29,33),0.362165 # DEPENDENCYPART_ARC
(30,1),-2.01883 # DEPENDENCYPART_ARC
(30,2),-3.89327 # DEPENDENCYPART_ARC
(30,3),-4.80436 # DEPENDENCYPART_ARC
(30,4),-4.38518 # DEPENDENCYPART_ARC
(30,5),-2.93115 # DEPENDENCYPART_ARC
(30,6),-4.01641 # DEPENDENCYPART_ARC
(30,7),-2.54631 # DEPENDENCYPART_ARC
(30,8),-3.65385 # DEPENDENCYPART_ARC
(30,9),-1.85517 # DEPENDENCYPART_ARC
(30,10),-3.38388 # DEPENDENCYPART_ARC
(30,11),-2.36337 # DEPENDENCYPART_ARC
(30,12),-2.86849 # DEPENDENCYPART_ARC
(30,13),-4.45836 # DEPENDENCYPART_ARC
(30,14),-2.67776 # DEPENDENCYPART_ARC
(30,15),-1.82624 # DEPENDENCYPART_ARC
(30,16),-1.63078 # DEPENDENCYPART_ARC
(30,17),-3.34367 # DEPENDENCYPART_ARC
(30,18),-2.54756 # DEPENDENCYPART_ARC
(30,19),-1.64564 # DEPENDENCYPART_ARC
(30,20),-1.78094 # DEPENDENCYPART_ARC
(30,21),0.530978 # DEPENDENCYPART_ARC
(30,22),0.489989 # DEPENDENCYPART_ARC
(30,23),-0.741633 # DEPENDENCYPART_ARC
(30,24),-0.257466 # DEPENDENCYPART_ARC
(30,25),1.33624 # DEPENDENCYPART_ARC
(30,26),0.277251 # DEPENDENCYPART_ARC
(30,27),0.157653 # DEPENDENCYPART_ARC
(30,28),4.56508 # DEPENDENCYPART_ARC
(30,29),4.17898 # DEPENDENCYPART_ARC
(30,31),2.45136 # DEPENDENCYPART_ARC
(30,32),1.35984 # DEPENDENCYPART_ARC
(30,33),1.42322 # DEPENDENCYPART_ARC
(31,1),-1.35721 # DEPENDENCYPART_ARC
(31,2),-3.01639 # DEPENDENCYPART_ARC
(31,3),-3.56707 # DEPENDENCYPART_ARC
(31,4),-2.96602 # DEPENDENCYPART_ARC
(31,5),-1.97588 # DEPENDENCYPART_ARC
(31,6),-3.28338 # DEPENDENCYPART_ARC
(31,7),-3.35177 # DEPENDENCYPART_ARC
(31,8),-2.84581 # DEPENDENCYPART_ARC
(31,9),-3.276 # DEPENDENCYPART_ARC
(31,10),-3.09966 # DEPENDENCYPART_ARC
(31,11),-2.76582 # DEPENDENCYPART_ARC
(31,12),-2.5968 # DEPENDENCYPART_ARC
(31,13),-2.71578 # DEPENDENCYPART_ARC
(31,14),-2.54473 # DEPENDENCYPART_ARC
(31,15),-2.30916 # DEPENDENCYPART_ARC
(31,16),-1.72913 # DEPENDENCYPART_ARC
(31,17),-2.30715 # DEPENDENCYPART_ARC
(31,18),-1.46045 # DEPENDENCYPART_ARC
(31,19),-1.94511 # DEPENDENCYPART_ARC
(31,20),-1.63017 # DEPENDENCYPART_ARC
(31,21),-1.3641 # DEPENDENCYPART_ARC
(31,22),-1.46883 # DEPENDENCYPART_ARC
(31,23),-1.52501 # DEPENDENCYPART_ARC
(31,24),-0.736048 # DEPENDENCYPART_ARC
(31,25),-0.357426 # DEPENDENCYPART_ARC
(31,26),-0.432426 # DEPENDENCYPART_ARC
(31,27),-0.194456 # DEPENDENCYPART_ARC
