# _root_ Here are price trends on the world 's major stock markets , as calculated by Morgan Stanley Capital International Perspective , Geneva .
#goldHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
#predictedHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
(23,5),-2.22607 # DEPENDENCYPART_ARC
(23,6),-2.04716 # DEPENDENCYPART_ARC
(23,7),-2.4626 # DEPENDENCYPART_ARC
(23,8),-2.12373 # DEPENDENCYPART_ARC
(23,9),-2.19813 # DEPENDENCYPART_ARC
(23,10),-1.96859 # DEPENDENCYPART_ARC
(23,11),-2.18444 # DEPENDENCYPART_ARC
(23,12),-1.46352 # DEPENDENCYPART_ARC
(23,13),-0.649397 # DEPENDENCYPART_ARC
(23,14),-1.07963 # DEPENDENCYPART_ARC
(23,15),-1.0743 # DEPENDENCYPART_ARC
(23,16),-0.951075 # DEPENDENCYPART_ARC
(23,17),-0.859634 # DEPENDENCYPART_ARC
(23,18),-1.21911 # DEPENDENCYPART_ARC
(23,19),-1.05407 # DEPENDENCYPART_ARC
(23,20),-1.04145 # DEPENDENCYPART_ARC
(23,21),-0.437582 # DEPENDENCYPART_ARC
(23,22),-1.16159 # DEPENDENCYPART_ARC
