# _root_ `` Those shares which had posted gains on M&A speculation were dashed with cold water , but as far as major stocks are concerned , there is n't much impact . ''
#goldHeads=11,3,11,5,3,5,6,6,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
#predictedHeads=11,3,11,5,3,5,6,7,10,8,0,11,12,15,13,11,11,17,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
(16,12),-0.94369 # DEPENDENCYPART_ARC
(16,13),-0.916567 # DEPENDENCYPART_ARC
(16,14),-1.11448 # DEPENDENCYPART_ARC
(16,15),-0.81561 # DEPENDENCYPART_ARC
(16,17),-0.0646712 # DEPENDENCYPART_ARC
(16,18),-0.895076 # DEPENDENCYPART_ARC
(16,19),-1.09304 # DEPENDENCYPART_ARC
(16,20),-0.930768 # DEPENDENCYPART_ARC
(16,21),-1.51647 # DEPENDENCYPART_ARC
(16,22),-1.88557 # DEPENDENCYPART_ARC
(16,23),-1.55356 # DEPENDENCYPART_ARC
(16,24),-1.75459 # DEPENDENCYPART_ARC
(16,25),0.66279 # DEPENDENCYPART_ARC
(16,26),-2.08397 # DEPENDENCYPART_ARC
(16,27),-1.74957 # DEPENDENCYPART_ARC
(16,28),-2.25317 # DEPENDENCYPART_ARC
(16,29),-2.56768 # DEPENDENCYPART_ARC
(16,30),-2.86259 # DEPENDENCYPART_ARC
(16,31),-1.72856 # DEPENDENCYPART_ARC
(16,32),-1.73937 # DEPENDENCYPART_ARC
(17,1),-2.40926 # DEPENDENCYPART_ARC
(17,2),-1.99022 # DEPENDENCYPART_ARC
(17,3),-1.90739 # DEPENDENCYPART_ARC
(17,4),-1.41366 # DEPENDENCYPART_ARC
(17,5),-0.489237 # DEPENDENCYPART_ARC
(17,6),-1.66172 # DEPENDENCYPART_ARC
(17,7),-1.43533 # DEPENDENCYPART_ARC
(17,8),-1.03646 # DEPENDENCYPART_ARC
(17,9),-0.951876 # DEPENDENCYPART_ARC
(17,10),-1.24867 # DEPENDENCYPART_ARC
(17,11),0.0659603 # DEPENDENCYPART_ARC
(17,12),-1.15905 # DEPENDENCYPART_ARC
(17,13),-0.368704 # DEPENDENCYPART_ARC
(17,14),-0.360158 # DEPENDENCYPART_ARC
(17,15),-0.391627 # DEPENDENCYPART_ARC
(17,16),-0.322946 # DEPENDENCYPART_ARC
(17,18),1.17366 # DEPENDENCYPART_ARC
(17,19),1.13117 # DEPENDENCYPART_ARC
(17,20),1.10379 # DEPENDENCYPART_ARC
(17,21),0.717052 # DEPENDENCYPART_ARC
(17,22),-0.570203 # DEPENDENCYPART_ARC
(17,23),2.63546 # DEPENDENCYPART_ARC
(17,24),0.901758 # DEPENDENCYPART_ARC
(17,25),0.428414 # DEPENDENCYPART_ARC
(17,26),-1.37259 # DEPENDENCYPART_ARC
(17,27),2.157 # DEPENDENCYPART_ARC
(17,28),-0.76418 # DEPENDENCYPART_ARC
(17,29),-1.23581 # DEPENDENCYPART_ARC
(17,30),-0.907542 # DEPENDENCYPART_ARC
(17,31),-0.261659 # DEPENDENCYPART_ARC
(17,32),-0.277106 # DEPENDENCYPART_ARC
(18,1),-2.30822 # DEPENDENCYPART_ARC
(18,2),-1.56726 # DEPENDENCYPART_ARC
(18,3),-2.30969 # DEPENDENCYPART_ARC
(18,4),-1.91684 # DEPENDENCYPART_ARC
(18,5),-1.97852 # DEPENDENCYPART_ARC
(18,6),-1.69059 # DEPENDENCYPART_ARC
(18,7),-1.75608 # DEPENDENCYPART_ARC
(18,8),-1.60713 # DEPENDENCYPART_ARC
(18,9),-1.3777 # DEPENDENCYPART_ARC
(18,10),-1.66079 # DEPENDENCYPART_ARC
(18,11),-1.32446 # DEPENDENCYPART_ARC
(18,12),-0.989075 # DEPENDENCYPART_ARC
(18,13),-0.97311 # DEPENDENCYPART_ARC
(18,14),-0.248825 # DEPENDENCYPART_ARC
(18,15),-0.592912 # DEPENDENCYPART_ARC
(18,16),1.22688 # DEPENDENCYPART_ARC
(18,17),1.3368 # DEPENDENCYPART_ARC
(18,19),3.09268 # DEPENDENCYPART_ARC
(18,20),3.11164 # DEPENDENCYPART_ARC
(18,21),2.81645 # DEPENDENCYPART_ARC
(18,22),1.5842 # DEPENDENCYPART_ARC
(18,23),2.34228 # DEPENDENCYPART_ARC
(18,24),1.10458 # DEPENDENCYPART_ARC
(18,25),1.37764 # DEPENDENCYPART_ARC
(18,26),0.252219 # DEPENDENCYPART_ARC
(18,27),1.09847 # DEPENDENCYPART_ARC
(18,28),-0.213435 # DEPENDENCYPART_ARC
(18,29),0.954049 # DEPENDENCYPART_ARC
(18,30),-0.0898795 # DEPENDENCYPART_ARC
(18,31),2.3287 # DEPENDENCYPART_ARC
(18,32),1.11792 # DEPENDENCYPART_ARC
(19,1),-2.14567 # DEPENDENCYPART_ARC
(19,2),-1.50024 # DEPENDENCYPART_ARC
(19,3),-2.22234 # DEPENDENCYPART_ARC
(19,4),-1.74637 # DEPENDENCYPART_ARC
(19,5),-1.84592 # DEPENDENCYPART_ARC
(19,6),-1.56217 # DEPENDENCYPART_ARC
(19,7),-1.5516 # DEPENDENCYPART_ARC
(19,8),-0.723218 # DEPENDENCYPART_ARC
(19,9),-1.47584 # DEPENDENCYPART_ARC
(19,10),-1.56989 # DEPENDENCYPART_ARC
(19,11),-1.18784 # DEPENDENCYPART_ARC
(19,12),-0.938148 # DEPENDENCYPART_ARC
(19,13),0.114823 # DEPENDENCYPART_ARC
(19,14),-0.352131 # DEPENDENCYPART_ARC
(19,15),-0.888863 # DEPENDENCYPART_ARC
(19,16),0.256577 # DEPENDENCYPART_ARC
(19,17),0.822073 # DEPENDENCYPART_ARC
(19,18),1.62755 # DEPENDENCYPART_ARC
(19,20),1.8271 # DEPENDENCYPART_ARC
(19,21),1.65079 # DEPENDENCYPART_ARC
(19,22),0.234918 # DEPENDENCYPART_ARC
(19,23),0.881764 # DEPENDENCYPART_ARC
(19,24),-0.18433 # DEPENDENCYPART_ARC
(19,25),0.251408 # DEPENDENCYPART_ARC
(19,26),-0.766931 # DEPENDENCYPART_ARC
(19,27),-0.250328 # DEPENDENCYPART_ARC
(19,28),-0.908811 # DEPENDENCYPART_ARC
(19,29),-0.0424294 # DEPENDENCYPART_ARC
(19,30),-1.55715 # DEPENDENCYPART_ARC
(19,31),0.631375 # DEPENDENCYPART_ARC
(19,32),-0.187945 # DEPENDENCYPART_ARC
(20,1),-1.38296 # DEPENDENCYPART_ARC
(20,2),-2.0361 # DEPENDENCYPART_ARC
(20,3),-1.96183 # DEPENDENCYPART_ARC
(20,4),-0.248784 # DEPENDENCYPART_ARC
(20,5),-1.02926 # DEPENDENCYPART_ARC
(20,6),-1.18265 # DEPENDENCYPART_ARC
(20,7),-1.52 # DEPENDENCYPART_ARC
(20,8),-0.990751 # DEPENDENCYPART_ARC
(20,9),-1.25156 # DEPENDENCYPART_ARC
(20,10),-1.40955 # DEPENDENCYPART_ARC
(20,11),-0.543821 # DEPENDENCYPART_ARC
(20,12),-0.531405 # DEPENDENCYPART_ARC
(20,13),-0.0345761 # DEPENDENCYPART_ARC
(20,14),0.0117701 # DEPENDENCYPART_ARC
(20,15),-1.14897 # DEPENDENCYPART_ARC
(20,16),0.93532 # DEPENDENCYPART_ARC
(20,17),1.6567 # DEPENDENCYPART_ARC
(20,18),1.12796 # DEPENDENCYPART_ARC
(20,19),1.14773 # DEPENDENCYPART_ARC
(20,21),1.67579 # DEPENDENCYPART_ARC
(20,22),1.82858 # DEPENDENCYPART_ARC
(20,23),3.33975 # DEPENDENCYPART_ARC
(20,24),1.26153 # DEPENDENCYPART_ARC
(20,25),0.811878 # DEPENDENCYPART_ARC
(20,26),-0.634691 # DEPENDENCYPART_ARC
(20,27),0.182659 # DEPENDENCYPART_ARC
(20,28),-0.394965 # DEPENDENCYPART_ARC
(20,29),-1.53042 # DEPENDENCYPART_ARC
(20,30),-1.01208 # DEPENDENCYPART_ARC
(20,31),1.42392 # DEPENDENCYPART_ARC
(20,32),0.637878 # DEPENDENCYPART_ARC
(21,1),-3.1919 # DEPENDENCYPART_ARC
(21,2),-3.64949 # DEPENDENCYPART_ARC
(21,3),-3.55691 # DEPENDENCYPART_ARC
(21,4),-2.29408 # DEPENDENCYPART_ARC
(21,5),-3.43301 # DEPENDENCYPART_ARC
(21,6),-2.96282 # DEPENDENCYPART_ARC
(21,7),-3.02439 # DEPENDENCYPART_ARC
(21,8),-2.15682 # DEPENDENCYPART_ARC
(21,9),-2.60843 # DEPENDENCYPART_ARC
(21,10),-2.48771 # DEPENDENCYPART_ARC
(21,11),-2.74291 # DEPENDENCYPART_ARC
(21,12),-2.31416 # DEPENDENCYPART_ARC
(21,13),-1.28857 # DEPENDENCYPART_ARC
(21,14),-1.04885 # DEPENDENCYPART_ARC
(21,15),-1.91999 # DEPENDENCYPART_ARC
(21,16),-0.809648 # DEPENDENCYPART_ARC
(21,17),-1.60812 # DEPENDENCYPART_ARC
(21,18),-0.172818 # DEPENDENCYPART_ARC
(21,19),0.127122 # DEPENDENCYPART_ARC
(21,20),0.881465 # DEPENDENCYPART_ARC
(21,22),1.06192 # DEPENDENCYPART_ARC
(21,23),0.541502 # DEPENDENCYPART_ARC
(21,24),-0.232338 # DEPENDENCYPART_ARC
(21,25),-0.30528 # DEPENDENCYPART_ARC
(21,26),-1.07056 # DEPENDENCYPART_ARC
(21,27),-1.04841 # DEPENDENCYPART_ARC
(21,28),-1.08971 # DEPENDENCYPART_ARC
(21,29),-1.21132 # DEPENDENCYPART_ARC
(21,30),-1.00237 # DEPENDENCYPART_ARC
(21,31),-0.450091 # DEPENDENCYPART_ARC
(21,32),-1.28532 # DEPENDENCYPART_ARC
(22,1),-4.11176 # DEPENDENCYPART_ARC
(22,2),-5.3793 # DEPENDENCYPART_ARC
(22,3),-4.03327 # DEPENDENCYPART_ARC
(22,4),-2.55455 # DEPENDENCYPART_ARC
(22,5),-2.16969 # DEPENDENCYPART_ARC
(22,6),-1.87984 # DEPENDENCYPART_ARC
(22,7),-3.25613 # DEPENDENCYPART_ARC
(22,8),-2.19034 # DEPENDENCYPART_ARC
(22,9),-2.67981 # DEPENDENCYPART_ARC
(22,10),-2.44815 # DEPENDENCYPART_ARC
(22,11),-1.6296 # DEPENDENCYPART_ARC
(22,12),-1.37592 # DEPENDENCYPART_ARC
(22,13),-1.56169 # DEPENDENCYPART_ARC
(22,14),0.527186 # DEPENDENCYPART_ARC
(22,15),-0.95205 # DEPENDENCYPART_ARC
(22,16),-1.72271 # DEPENDENCYPART_ARC
(22,17),-0.987334 # DEPENDENCYPART_ARC
(22,18),0.300158 # DEPENDENCYPART_ARC
(22,19),0.620942 # DEPENDENCYPART_ARC
(22,20),0.470845 # DEPENDENCYPART_ARC
(22,21),3.89984 # DEPENDENCYPART_ARC
(22,23),0.0826585 # DEPENDENCYPART_ARC
(22,24),0.0898946 # DEPENDENCYPART_ARC
(22,25),0.336563 # DEPENDENCYPART_ARC
(22,26),-0.33181 # DEPENDENCYPART_ARC
(22,27),-0.461359 # DEPENDENCYPART_ARC
(22,28),-0.515773 # DEPENDENCYPART_ARC
(22,29),-0.845758 # DEPENDENCYPART_ARC
(22,30),-1.08964 # DEPENDENCYPART_ARC
(22,31),-0.130441 # DEPENDENCYPART_ARC
(22,32),-0.551964 # DEPENDENCYPART_ARC
(23,1),1.26936 # DEPENDENCYPART_ARC
(23,2),0.266739 # DEPENDENCYPART_ARC
(23,3),-0.295123 # DEPENDENCYPART_ARC
(23,4),-1.56669 # DEPENDENCYPART_ARC
(23,5),-0.91047 # DEPENDENCYPART_ARC
(23,6),-0.279503 # DEPENDENCYPART_ARC
(23,7),0.717649 # DEPENDENCYPART_ARC
(23,8),-1.54856 # DEPENDENCYPART_ARC
(23,9),-0.567284 # DEPENDENCYPART_ARC
(23,10),-0.704035 # DEPENDENCYPART_ARC
(23,11),-0.549283 # DEPENDENCYPART_ARC
(23,12),0.2386 # DEPENDENCYPART_ARC
(23,13),-0.172869 # DEPENDENCYPART_ARC
(23,14),0.373372 # DEPENDENCYPART_ARC
(23,15),-0.253389 # DEPENDENCYPART_ARC
(23,16),-0.2927 # DEPENDENCYPART_ARC
(23,17),-0.0303465 # DEPENDENCYPART_ARC
(23,18),0.412964 # DEPENDENCYPART_ARC
(23,19),0.869326 # DEPENDENCYPART_ARC
(23,20),1.10775 # DEPENDENCYPART_ARC
(23,21),1.05399 # DEPENDENCYPART_ARC
(23,22),3.31444 # DEPENDENCYPART_ARC
(23,24),3.15465 # DEPENDENCYPART_ARC
(23,25),0.77613 # DEPENDENCYPART_ARC
(23,26),-0.293397 # DEPENDENCYPART_ARC
(23,27),-0.295792 # DEPENDENCYPART_ARC
(23,28),0.184993 # DEPENDENCYPART_ARC
(23,29),-0.651033 # DEPENDENCYPART_ARC
(23,30),-0.655781 # DEPENDENCYPART_ARC
(23,31),2.15864 # DEPENDENCYPART_ARC
(23,32),1.75254 # DEPENDENCYPART_ARC
(24,1),-0.811256 # DEPENDENCYPART_ARC
(24,2),-1.33329 # DEPENDENCYPART_ARC
(24,3),-1.24188 # DEPENDENCYPART_ARC
(24,4),-0.780578 # DEPENDENCYPART_ARC
(24,5),-0.415332 # DEPENDENCYPART_ARC
(24,6),-1.43523 # DEPENDENCYPART_ARC
(24,7),-0.563834 # DEPENDENCYPART_ARC
(24,8),-0.533246 # DEPENDENCYPART_ARC
(24,9),-0.562388 # DEPENDENCYPART_ARC
(24,10),-0.950205 # DEPENDENCYPART_ARC
(24,11),-0.367797 # DEPENDENCYPART_ARC
(24,12),-0.771003 # DEPENDENCYPART_ARC
(24,13),-0.619527 # DEPENDENCYPART_ARC
(24,14),-0.124305 # DEPENDENCYPART_ARC
(24,15),-0.724482 # DEPENDENCYPART_ARC
(24,16),-0.239055 # DEPENDENCYPART_ARC
(24,17),-0.629518 # DEPENDENCYPART_ARC
(24,18),-0.478793 # DEPENDENCYPART_ARC
(24,19),0.224854 # DEPENDENCYPART_ARC
(24,20),0.273455 # DEPENDENCYPART_ARC
(24,21),0.952479 # DEPENDENCYPART_ARC
(24,22),0.694007 # DEPENDENCYPART_ARC
(24,23),1.15374 # DEPENDENCYPART_ARC
(24,25),1.20385 # DEPENDENCYPART_ARC
(24,26),0.606328 # DEPENDENCYPART_ARC
(24,27),0.348082 # DEPENDENCYPART_ARC
(24,28),-0.0373873 # DEPENDENCYPART_ARC
(24,29),-0.258547 # DEPENDENCYPART_ARC
(24,30),-0.626258 # DEPENDENCYPART_ARC
(24,31),0.288577 # DEPENDENCYPART_ARC
(24,32),-0.232827 # DEPENDENCYPART_ARC
(25,1),-3.18038 # DEPENDENCYPART_ARC
(25,2),-3.3169 # DEPENDENCYPART_ARC
(25,3),-3.37796 # DEPENDENCYPART_ARC
(25,4),-2.78257 # DEPENDENCYPART_ARC
(25,5),-2.83812 # DEPENDENCYPART_ARC
(25,6),-2.24151 # DEPENDENCYPART_ARC
(25,7),-2.72441 # DEPENDENCYPART_ARC
(25,8),-2.72538 # DEPENDENCYPART_ARC
(25,9),-3.03057 # DEPENDENCYPART_ARC
(25,10),-2.34747 # DEPENDENCYPART_ARC
(25,11),-2.22135 # DEPENDENCYPART_ARC
(25,12),-1.82984 # DEPENDENCYPART_ARC
(25,13),-2.14169 # DEPENDENCYPART_ARC
(25,14),-2.27345 # DEPENDENCYPART_ARC
(25,15),-1.93152 # DEPENDENCYPART_ARC
(25,16),-0.52408 # DEPENDENCYPART_ARC
(25,17),-2.15041 # DEPENDENCYPART_ARC
(25,18),-2.25847 # DEPENDENCYPART_ARC
(25,19),-2.14866 # DEPENDENCYPART_ARC
(25,20),-1.59781 # DEPENDENCYPART_ARC
(25,21),-1.41123 # DEPENDENCYPART_ARC
(25,22),-1.50506 # DEPENDENCYPART_ARC
(25,23),-1.51694 # DEPENDENCYPART_ARC
(25,24),-0.30225 # DEPENDENCYPART_ARC
(25,26),0.0373089 # DEPENDENCYPART_ARC
(25,27),-0.0484786 # DEPENDENCYPART_ARC
(25,28),-0.805667 # DEPENDENCYPART_ARC
(25,29),-1.0765 # DEPENDENCYPART_ARC
(25,30),-1.4571 # DEPENDENCYPART_ARC
(25,31),-0.741084 # DEPENDENCYPART_ARC
(25,32),-0.753306 # DEPENDENCYPART_ARC
(26,1),-3.34326 # DEPENDENCYPART_ARC
(26,2),-3.00404 # DEPENDENCYPART_ARC
(26,3),-3.28756 # DEPENDENCYPART_ARC
(26,4),-2.51231 # DEPENDENCYPART_ARC
(26,5),-2.86613 # DEPENDENCYPART_ARC
(26,6),-2.76201 # DEPENDENCYPART_ARC
(26,7),-2.69588 # DEPENDENCYPART_ARC
(26,8),-2.29186 # DEPENDENCYPART_ARC
(26,9),-2.4179 # DEPENDENCYPART_ARC
(26,10),-2.61607 # DEPENDENCYPART_ARC
(26,11),-2.26608 # DEPENDENCYPART_ARC
(26,12),-2.12789 # DEPENDENCYPART_ARC
(26,13),-1.77247 # DEPENDENCYPART_ARC
(26,14),-1.86039 # DEPENDENCYPART_ARC
(26,15),-2.0982 # DEPENDENCYPART_ARC
(26,16),-1.54291 # DEPENDENCYPART_ARC
(26,17),-2.0921 # DEPENDENCYPART_ARC
(26,18),-1.79001 # DEPENDENCYPART_ARC
(26,19),-1.64462 # DEPENDENCYPART_ARC
(26,20),-0.987625 # DEPENDENCYPART_ARC
(26,21),-0.857951 # DEPENDENCYPART_ARC
(26,22),-0.847754 # DEPENDENCYPART_ARC
(26,23),-0.829941 # DEPENDENCYPART_ARC
(26,24),-0.332907 # DEPENDENCYPART_ARC
(26,25),0.567001 # DEPENDENCYPART_ARC
(26,27),-0.143472 # DEPENDENCYPART_ARC
(26,28),-1.15085 # DEPENDENCYPART_ARC
(26,29),-1.32819 # DEPENDENCYPART_ARC
(26,30),-1.47949 # DEPENDENCYPART_ARC
(26,31),-1.54695 # DEPENDENCYPART_ARC
(26,32),-1.31504 # DEPENDENCYPART_ARC
(27,1),0.734276 # DEPENDENCYPART_ARC
(27,2),-1.7483 # DEPENDENCYPART_ARC
(27,3),-1.31884 # DEPENDENCYPART_ARC
(27,4),-1.33274 # DEPENDENCYPART_ARC
(27,5),0.646286 # DEPENDENCYPART_ARC
(27,6),-0.381592 # DEPENDENCYPART_ARC
(27,7),-0.892865 # DEPENDENCYPART_ARC
(27,8),-0.869782 # DEPENDENCYPART_ARC
(27,9),0.608434 # DEPENDENCYPART_ARC
(27,10),-0.061189 # DEPENDENCYPART_ARC
(27,11),0.0663115 # DEPENDENCYPART_ARC
(27,12),0.379778 # DEPENDENCYPART_ARC
(27,13),-0.200574 # DEPENDENCYPART_ARC
(27,14),0.627337 # DEPENDENCYPART_ARC
(27,15),0.0875238 # DEPENDENCYPART_ARC
(27,16),0.029787 # DEPENDENCYPART_ARC
(27,17),0.739361 # DEPENDENCYPART_ARC
(27,18),0.504932 # DEPENDENCYPART_ARC
(27,19),0.251459 # DEPENDENCYPART_ARC
(27,20),1.12245 # DEPENDENCYPART_ARC
(27,21),1.21742 # DEPENDENCYPART_ARC
(27,22),-0.0302438 # DEPENDENCYPART_ARC
(27,23),1.18291 # DEPENDENCYPART_ARC
(27,24),1.25257 # DEPENDENCYPART_ARC
(27,25),2.98278 # DEPENDENCYPART_ARC
(27,26),4.22456 # DEPENDENCYPART_ARC
(27,28),3.57327 # DEPENDENCYPART_ARC
(27,29),1.64055 # DEPENDENCYPART_ARC
(27,30),2.44767 # DEPENDENCYPART_ARC
(27,31),3.03106 # DEPENDENCYPART_ARC
(27,32),2.37025 # DEPENDENCYPART_ARC
(28,1),-3.49627 # DEPENDENCYPART_ARC
(28,2),-2.89049 # DEPENDENCYPART_ARC
(28,3),-3.89825 # DEPENDENCYPART_ARC
(28,4),-3.38018 # DEPENDENCYPART_ARC
(28,5),-3.44655 # DEPENDENCYPART_ARC
(28,6),-3.01678 # DEPENDENCYPART_ARC
(28,7),-3.32639 # DEPENDENCYPART_ARC
(28,8),-2.76749 # DEPENDENCYPART_ARC
(28,9),-3.15399 # DEPENDENCYPART_ARC
(28,10),-3.48848 # DEPENDENCYPART_ARC
(28,11),-2.79275 # DEPENDENCYPART_ARC
(28,12),-2.41678 # DEPENDENCYPART_ARC
(28,13),-2.07755 # DEPENDENCYPART_ARC
(28,14),-1.71429 # DEPENDENCYPART_ARC
(28,15),-3.02762 # DEPENDENCYPART_ARC
(28,16),-1.75697 # DEPENDENCYPART_ARC
(28,17),-1.66415 # DEPENDENCYPART_ARC
(28,18),-1.38692 # DEPENDENCYPART_ARC
(28,19),-1.37421 # DEPENDENCYPART_ARC
(28,20),-0.933099 # DEPENDENCYPART_ARC
(28,21),-1.10146 # DEPENDENCYPART_ARC
(28,22),-1.6089 # DEPENDENCYPART_ARC
(28,23),-1.91608 # DEPENDENCYPART_ARC
(28,24),-1.03829 # DEPENDENCYPART_ARC
(28,25),-0.577539 # DEPENDENCYPART_ARC
(28,26),-0.247003 # DEPENDENCYPART_ARC
(28,27),-0.309906 # DEPENDENCYPART_ARC
(28,29),0.737718 # DEPENDENCYPART_ARC
(28,30),-0.186858 # DEPENDENCYPART_ARC
(28,31),-0.909202 # DEPENDENCYPART_ARC
(28,32),-0.654412 # DEPENDENCYPART_ARC
(29,1),-3.58655 # DEPENDENCYPART_ARC
(29,2),-4.08139 # DEPENDENCYPART_ARC
(29,3),-4.28717 # DEPENDENCYPART_ARC
(29,4),-2.5322 # DEPENDENCYPART_ARC
(29,5),-3.95079 # DEPENDENCYPART_ARC
(29,6),-3.43431 # DEPENDENCYPART_ARC
(29,7),-3.6109 # DEPENDENCYPART_ARC
(29,8),-2.80751 # DEPENDENCYPART_ARC
(29,9),-3.38273 # DEPENDENCYPART_ARC
(29,10),-3.0889 # DEPENDENCYPART_ARC
(29,11),-3.25712 # DEPENDENCYPART_ARC
(29,12),-2.68671 # DEPENDENCYPART_ARC
(29,13),-2.36612 # DEPENDENCYPART_ARC
(29,14),-1.94664 # DEPENDENCYPART_ARC
(29,15),-2.84327 # DEPENDENCYPART_ARC
(29,16),-1.25545 # DEPENDENCYPART_ARC
(29,17),-1.89194 # DEPENDENCYPART_ARC
(29,18),-1.84849 # DEPENDENCYPART_ARC
(29,19),-1.7928 # DEPENDENCYPART_ARC
(29,20),-0.831609 # DEPENDENCYPART_ARC
(29,21),-0.721906 # DEPENDENCYPART_ARC
(29,22),-1.69488 # DEPENDENCYPART_ARC
(29,23),-1.86231 # DEPENDENCYPART_ARC
(29,24),-1.2719 # DEPENDENCYPART_ARC
(29,25),-0.278822 # DEPENDENCYPART_ARC
(29,26),0.06802 # DEPENDENCYPART_ARC
(29,27),-0.390891 # DEPENDENCYPART_ARC
(29,28),1.0529 # DEPENDENCYPART_ARC
(29,30),1.12446 # DEPENDENCYPART_ARC
(29,31),0.120249 # DEPENDENCYPART_ARC
(29,32),-0.252227 # DEPENDENCYPART_ARC
(30,1),-2.38535 # DEPENDENCYPART_ARC
(30,2),-5.7258 # DEPENDENCYPART_ARC
(30,3),-2.32981 # DEPENDENCYPART_ARC
(30,4),-2.31153 # DEPENDENCYPART_ARC
(30,5),-2.45449 # DEPENDENCYPART_ARC
(30,6),-2.81151 # DEPENDENCYPART_ARC
(30,7),-3.25404 # DEPENDENCYPART_ARC
(30,8),-2.96651 # DEPENDENCYPART_ARC
(30,9),-4.60215 # DEPENDENCYPART_ARC
(30,10),-3.89685 # DEPENDENCYPART_ARC
(30,11),-1.62061 # DEPENDENCYPART_ARC
(30,12),-1.99481 # DEPENDENCYPART_ARC
(30,13),-1.92674 # DEPENDENCYPART_ARC
(30,14),0.25788 # DEPENDENCYPART_ARC
(30,15),-2.33036 # DEPENDENCYPART_ARC
(30,16),-0.101084 # DEPENDENCYPART_ARC
(30,17),-0.985169 # DEPENDENCYPART_ARC
(30,18),-1.2482 # DEPENDENCYPART_ARC
(30,19),-1.7541 # DEPENDENCYPART_ARC
(30,20),0.234594 # DEPENDENCYPART_ARC
(30,21),1.23797 # DEPENDENCYPART_ARC
(30,22),-0.110184 # DEPENDENCYPART_ARC
(30,23),-0.552526 # DEPENDENCYPART_ARC
(30,24),0.557389 # DEPENDENCYPART_ARC
(30,25),1.64462 # DEPENDENCYPART_ARC
(30,26),1.6453 # DEPENDENCYPART_ARC
(30,27),0.979582 # DEPENDENCYPART_ARC
(30,28),1.97678 # DEPENDENCYPART_ARC
(30,29),3.55995 # DEPENDENCYPART_ARC
(30,31),0.95636 # DEPENDENCYPART_ARC
(30,32),0.692483 # DEPENDENCYPART_ARC
(31,1),-3.20395 # DEPENDENCYPART_ARC
(31,2),-3.44383 # DEPENDENCYPART_ARC
(31,3),-3.67947 # DEPENDENCYPART_ARC
(31,4),-2.83222 # DEPENDENCYPART_ARC
(31,5),-2.53674 # DEPENDENCYPART_ARC
(31,6),-2.98134 # DEPENDENCYPART_ARC
(31,7),-3.50793 # DEPENDENCYPART_ARC
(31,8),-3.40991 # DEPENDENCYPART_ARC
(31,9),-3.25956 # DEPENDENCYPART_ARC
(31,10),-2.93403 # DEPENDENCYPART_ARC
(31,11),-2.07502 # DEPENDENCYPART_ARC
(31,12),-2.41611 # DEPENDENCYPART_ARC
(31,13),-2.96056 # DEPENDENCYPART_ARC
(31,14),-2.65952 # DEPENDENCYPART_ARC
(31,15),-2.36007 # DEPENDENCYPART_ARC
(31,16),-1.20369 # DEPENDENCYPART_ARC
(31,17),-2.4135 # DEPENDENCYPART_ARC
(31,18),-1.67951 # DEPENDENCYPART_ARC
(31,19),-1.76545 # DEPENDENCYPART_ARC
(31,20),-1.64138 # DEPENDENCYPART_ARC
(31,21),-1.93349 # DEPENDENCYPART_ARC
(31,22),-2.03855 # DEPENDENCYPART_ARC
(31,23),-1.53226 # DEPENDENCYPART_ARC
(31,24),-1.25309 # DEPENDENCYPART_ARC
(31,25),-0.26511 # DEPENDENCYPART_ARC
(31,26),-1.07428 # DEPENDENCYPART_ARC
(31,27),-0.868486 # DEPENDENCYPART_ARC
(31,28),-1.03498 # DEPENDENCYPART_ARC
(31,29),-1.53674 # DEPENDENCYPART_ARC
(31,30),-1.55985 # DEPENDENCYPART_ARC
(31,32),-0.62982 # DEPENDENCYPART_ARC
(32,1),-2.09358 # DEPENDENCYPART_ARC
(32,2),-3.83246 # DEPENDENCYPART_ARC
(32,3),-3.7522 # DEPENDENCYPART_ARC
(32,4),-3.25934 # DEPENDENCYPART_ARC
(32,5),-3.51833 # DEPENDENCYPART_ARC
(32,6),-3.57257 # DEPENDENCYPART_ARC
(32,7),-3.39578 # DEPENDENCYPART_ARC
(32,8),-3.38729 # DEPENDENCYPART_ARC
(32,9),-3.73079 # DEPENDENCYPART_ARC
(32,10),-3.71769 # DEPENDENCYPART_ARC
(32,11),-2.9956 # DEPENDENCYPART_ARC
(32,12),-2.95536 # DEPENDENCYPART_ARC
(32,13),-2.68108 # DEPENDENCYPART_ARC
(32,14),-3.00388 # DEPENDENCYPART_ARC
(32,15),-3.13972 # DEPENDENCYPART_ARC
(32,16),-2.0646 # DEPENDENCYPART_ARC
(32,17),-2.58861 # DEPENDENCYPART_ARC
(32,18),-2.79444 # DEPENDENCYPART_ARC
(32,19),-2.65433 # DEPENDENCYPART_ARC
(32,20),-1.88748 # DEPENDENCYPART_ARC
(32,21),-2.32278 # DEPENDENCYPART_ARC
(32,22),-1.84379 # DEPENDENCYPART_ARC
(32,23),-1.86032 # DEPENDENCYPART_ARC
(32,24),-1.74002 # DEPENDENCYPART_ARC
(32,25),-1.17903 # DEPENDENCYPART_ARC
(32,26),-1.1289 # DEPENDENCYPART_ARC
(32,27),-1.09148 # DEPENDENCYPART_ARC
(32,28),-1.35673 # DEPENDENCYPART_ARC
(32,29),-0.95851 # DEPENDENCYPART_ARC
(32,30),-1.18073 # DEPENDENCYPART_ARC
