# _root_ `` It 's falling like a stone , '' said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .
#goldHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
#predictedHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
(19,15),0.291738 # DEPENDENCYPART_ARC
(19,16),0.318763 # DEPENDENCYPART_ARC
(19,17),1.77163 # DEPENDENCYPART_ARC
(19,18),0.347455 # DEPENDENCYPART_ARC
(19,20),3.48966 # DEPENDENCYPART_ARC
(19,21),0.446141 # DEPENDENCYPART_ARC
(19,22),0.866374 # DEPENDENCYPART_ARC
(19,23),0.839946 # DEPENDENCYPART_ARC
(19,24),0.840093 # DEPENDENCYPART_ARC
(19,25),0.428906 # DEPENDENCYPART_ARC
(19,26),0.723179 # DEPENDENCYPART_ARC
(19,27),0.255674 # DEPENDENCYPART_ARC
(20,1),-1.26971 # DEPENDENCYPART_ARC
(20,2),-2.57393 # DEPENDENCYPART_ARC
(20,3),-2.1237 # DEPENDENCYPART_ARC
(20,4),-2.73585 # DEPENDENCYPART_ARC
(20,5),-2.24159 # DEPENDENCYPART_ARC
(20,6),-1.96423 # DEPENDENCYPART_ARC
(20,7),-2.61887 # DEPENDENCYPART_ARC
(20,8),-1.57933 # DEPENDENCYPART_ARC
(20,9),-1.75728 # DEPENDENCYPART_ARC
(20,10),-1.47669 # DEPENDENCYPART_ARC
(20,11),-1.28722 # DEPENDENCYPART_ARC
(20,12),-1.40745 # DEPENDENCYPART_ARC
(20,13),-0.896813 # DEPENDENCYPART_ARC
(20,14),-0.541681 # DEPENDENCYPART_ARC
(20,15),-0.528104 # DEPENDENCYPART_ARC
(20,16),-0.802919 # DEPENDENCYPART_ARC
(20,17),1.35855 # DEPENDENCYPART_ARC
(20,18),-0.428935 # DEPENDENCYPART_ARC
(20,19),-0.0368566 # DEPENDENCYPART_ARC
(20,21),0.719048 # DEPENDENCYPART_ARC
(20,22),2.07472 # DEPENDENCYPART_ARC
(20,23),1.96188 # DEPENDENCYPART_ARC
(20,24),1.49225 # DEPENDENCYPART_ARC
(20,25),1.62436 # DEPENDENCYPART_ARC
(20,26),2.00229 # DEPENDENCYPART_ARC
(20,27),0.283702 # DEPENDENCYPART_ARC
(21,1),-4.14125 # DEPENDENCYPART_ARC
(21,2),-3.48171 # DEPENDENCYPART_ARC
(21,3),-3.71354 # DEPENDENCYPART_ARC
(21,4),-3.54223 # DEPENDENCYPART_ARC
(21,5),-3.41805 # DEPENDENCYPART_ARC
(21,6),-3.02928 # DEPENDENCYPART_ARC
(21,7),-3.80169 # DEPENDENCYPART_ARC
(21,8),-3.01746 # DEPENDENCYPART_ARC
(21,9),-3.28494 # DEPENDENCYPART_ARC
(21,10),-2.91229 # DEPENDENCYPART_ARC
(21,11),-2.84769 # DEPENDENCYPART_ARC
(21,12),-2.76841 # DEPENDENCYPART_ARC
(21,13),-2.57681 # DEPENDENCYPART_ARC
(21,14),-1.91495 # DEPENDENCYPART_ARC
(21,15),-2.70064 # DEPENDENCYPART_ARC
(21,16),-2.43833 # DEPENDENCYPART_ARC
(21,17),-1.03 # DEPENDENCYPART_ARC
(21,18),-1.75695 # DEPENDENCYPART_ARC
(21,19),-1.35133 # DEPENDENCYPART_ARC
(21,20),-0.527435 # DEPENDENCYPART_ARC
(21,22),-0.75733 # DEPENDENCYPART_ARC
(21,23),-1.12444 # DEPENDENCYPART_ARC
(21,24),-1.27357 # DEPENDENCYPART_ARC
(21,25),-1.49913 # DEPENDENCYPART_ARC
(21,26),-1.65329 # DEPENDENCYPART_ARC
(21,27),-2.19336 # DEPENDENCYPART_ARC
(22,1),-4.25634 # DEPENDENCYPART_ARC
(22,2),-4.87089 # DEPENDENCYPART_ARC
(22,3),-4.94968 # DEPENDENCYPART_ARC
(22,4),-4.37163 # DEPENDENCYPART_ARC
(22,5),-4.6944 # DEPENDENCYPART_ARC
(22,6),-5.39762 # DEPENDENCYPART_ARC
(22,7),-6.50618 # DEPENDENCYPART_ARC
(22,8),-5.23921 # DEPENDENCYPART_ARC
(22,9),-4.28994 # DEPENDENCYPART_ARC
(22,10),-4.40159 # DEPENDENCYPART_ARC
(22,11),-5.22928 # DEPENDENCYPART_ARC
(22,12),-5.42645 # DEPENDENCYPART_ARC
(22,13),-3.55062 # DEPENDENCYPART_ARC
(22,14),-3.29719 # DEPENDENCYPART_ARC
(22,15),-2.82377 # DEPENDENCYPART_ARC
(22,16),-3.5862 # DEPENDENCYPART_ARC
(22,17),-1.83672 # DEPENDENCYPART_ARC
(22,18),-2.49315 # DEPENDENCYPART_ARC
(22,19),-1.69497 # DEPENDENCYPART_ARC
(22,20),-1.24437 # DEPENDENCYPART_ARC
(22,21),1.84869 # DEPENDENCYPART_ARC
(22,23),-0.481474 # DEPENDENCYPART_ARC
(22,24),-0.473316 # DEPENDENCYPART_ARC
(22,25),-1.02656 # DEPENDENCYPART_ARC
(22,26),-1.29089 # DEPENDENCYPART_ARC
(22,27),-1.4623 # DEPENDENCYPART_ARC
(23,1),-3.61403 # DEPENDENCYPART_ARC
(23,2),-4.25102 # DEPENDENCYPART_ARC
(23,3),-4.73226 # DEPENDENCYPART_ARC
(23,4),-3.73267 # DEPENDENCYPART_ARC
(23,5),-4.26895 # DEPENDENCYPART_ARC
(23,6),-4.70483 # DEPENDENCYPART_ARC
(23,7),-6.6828 # DEPENDENCYPART_ARC
(23,8),-4.90098 # DEPENDENCYPART_ARC
(23,9),-3.85482 # DEPENDENCYPART_ARC
(23,10),-3.76827 # DEPENDENCYPART_ARC
(23,11),-4.1117 # DEPENDENCYPART_ARC
(23,12),-5.15385 # DEPENDENCYPART_ARC
(23,13),-2.80297 # DEPENDENCYPART_ARC
(23,14),-2.70722 # DEPENDENCYPART_ARC
(23,15),-2.11538 # DEPENDENCYPART_ARC
(23,16),-3.16617 # DEPENDENCYPART_ARC
(23,17),-1.991 # DEPENDENCYPART_ARC
(23,18),-1.99524 # DEPENDENCYPART_ARC
(23,19),-1.2883 # DEPENDENCYPART_ARC
(23,20),-1.31085 # DEPENDENCYPART_ARC
(23,21),2.1109 # DEPENDENCYPART_ARC
(23,22),2.09011 # DEPENDENCYPART_ARC
(23,24),0.745654 # DEPENDENCYPART_ARC
(23,25),0.714194 # DEPENDENCYPART_ARC
(23,26),0.227147 # DEPENDENCYPART_ARC
(23,27),-0.783029 # DEPENDENCYPART_ARC
(24,1),-3.27695 # DEPENDENCYPART_ARC
(24,2),-3.77079 # DEPENDENCYPART_ARC
(24,3),-4.46554 # DEPENDENCYPART_ARC
(24,4),-3.31001 # DEPENDENCYPART_ARC
(24,5),-4.08607 # DEPENDENCYPART_ARC
(24,6),-4.17311 # DEPENDENCYPART_ARC
(24,7),-5.93619 # DEPENDENCYPART_ARC
(24,8),-4.72848 # DEPENDENCYPART_ARC
(24,9),-3.47162 # DEPENDENCYPART_ARC
(24,10),-3.45245 # DEPENDENCYPART_ARC
(24,11),-3.70122 # DEPENDENCYPART_ARC
(24,12),-4.77467 # DEPENDENCYPART_ARC
(24,13),-2.93984 # DEPENDENCYPART_ARC
(24,14),-2.19028 # DEPENDENCYPART_ARC
(24,15),-1.47181 # DEPENDENCYPART_ARC
(24,16),-2.56242 # DEPENDENCYPART_ARC
(24,17),-1.67366 # DEPENDENCYPART_ARC
(24,18),-1.94455 # DEPENDENCYPART_ARC
(24,19),-0.953591 # DEPENDENCYPART_ARC
(24,20),-1.33049 # DEPENDENCYPART_ARC
(24,21),2.1079 # DEPENDENCYPART_ARC
(24,22),2.13366 # DEPENDENCYPART_ARC
(24,23),2.37724 # DEPENDENCYPART_ARC
(24,25),1.1206 # DEPENDENCYPART_ARC
(24,26),1.25115 # DEPENDENCYPART_ARC
(24,27),0.485081 # DEPENDENCYPART_ARC
(25,1),-3.27699 # DEPENDENCYPART_ARC
(25,2),-3.94582 # DEPENDENCYPART_ARC
(25,3),-4.60353 # DEPENDENCYPART_ARC
(25,4),-3.36186 # DEPENDENCYPART_ARC
(25,5),-4.36039 # DEPENDENCYPART_ARC
(25,6),-3.76885 # DEPENDENCYPART_ARC
(25,7),-5.89085 # DEPENDENCYPART_ARC
(25,8),-5.02021 # DEPENDENCYPART_ARC
(25,9),-3.8134 # DEPENDENCYPART_ARC
(25,10),-3.51661 # DEPENDENCYPART_ARC
(25,11),-3.5748 # DEPENDENCYPART_ARC
(25,12),-4.59721 # DEPENDENCYPART_ARC
(25,13),-3.20649 # DEPENDENCYPART_ARC
(25,14),-2.53351 # DEPENDENCYPART_ARC
(25,15),-1.43345 # DEPENDENCYPART_ARC
(25,16),-2.49033 # DEPENDENCYPART_ARC
(25,17),-1.81586 # DEPENDENCYPART_ARC
(25,18),-2.0106 # DEPENDENCYPART_ARC
(25,19),-1.41812 # DEPENDENCYPART_ARC
(25,20),-1.69387 # DEPENDENCYPART_ARC
(25,21),2.29967 # DEPENDENCYPART_ARC
(25,22),1.89685 # DEPENDENCYPART_ARC
(25,23),2.02745 # DEPENDENCYPART_ARC
(25,24),2.38864 # DEPENDENCYPART_ARC
(25,26),1.82456 # DEPENDENCYPART_ARC
(25,27),-0.188971 # DEPENDENCYPART_ARC
(26,1),-1.7274 # DEPENDENCYPART_ARC
(26,2),-2.19653 # DEPENDENCYPART_ARC
(26,3),-3.21878 # DEPENDENCYPART_ARC
(26,4),-1.3872 # DEPENDENCYPART_ARC
(26,5),-2.71673 # DEPENDENCYPART_ARC
(26,6),-2.53779 # DEPENDENCYPART_ARC
(26,7),-4.17929 # DEPENDENCYPART_ARC
(26,8),-3.48602 # DEPENDENCYPART_ARC
(26,9),-1.82582 # DEPENDENCYPART_ARC
(26,10),-1.96307 # DEPENDENCYPART_ARC
(26,11),-1.05999 # DEPENDENCYPART_ARC
(26,12),-2.42375 # DEPENDENCYPART_ARC
(26,13),-1.57271 # DEPENDENCYPART_ARC
(26,14),-0.598259 # DEPENDENCYPART_ARC
(26,15),-0.119443 # DEPENDENCYPART_ARC
(26,16),-0.752837 # DEPENDENCYPART_ARC
(26,17),-0.124151 # DEPENDENCYPART_ARC
(26,18),-0.379621 # DEPENDENCYPART_ARC
(26,19),0.40312 # DEPENDENCYPART_ARC
(26,20),-0.268038 # DEPENDENCYPART_ARC
(26,21),4.27884 # DEPENDENCYPART_ARC
(26,22),4.42396 # DEPENDENCYPART_ARC
(26,23),4.38457 # DEPENDENCYPART_ARC
(26,24),4.75145 # DEPENDENCYPART_ARC
(26,25),4.75553 # DEPENDENCYPART_ARC
(26,27),0.724477 # DEPENDENCYPART_ARC
(27,1),-2.83226 # DEPENDENCYPART_ARC
(27,2),-1.43114 # DEPENDENCYPART_ARC
(27,3),-2.95502 # DEPENDENCYPART_ARC
(27,4),-1.99683 # DEPENDENCYPART_ARC
(27,5),-2.98258 # DEPENDENCYPART_ARC
(27,6),-2.89496 # DEPENDENCYPART_ARC
(27,7),-2.38527 # DEPENDENCYPART_ARC
(27,8),-1.80877 # DEPENDENCYPART_ARC
(27,9),-2.29263 # DEPENDENCYPART_ARC
(27,10),-2.17346 # DEPENDENCYPART_ARC
(27,11),-1.85879 # DEPENDENCYPART_ARC
(27,12),-2.09513 # DEPENDENCYPART_ARC
(27,13),-0.998547 # DEPENDENCYPART_ARC
(27,14),-1.87069 # DEPENDENCYPART_ARC
(27,15),-1.71277 # DEPENDENCYPART_ARC
(27,16),-1.60816 # DEPENDENCYPART_ARC
(27,17),-0.551845 # DEPENDENCYPART_ARC
(27,18),-1.6588 # DEPENDENCYPART_ARC
(27,19),-0.915157 # DEPENDENCYPART_ARC
(27,20),-1.0897 # DEPENDENCYPART_ARC
(27,21),-0.755027 # DEPENDENCYPART_ARC
(27,22),-1.20856 # DEPENDENCYPART_ARC
(27,23),-1.04016 # DEPENDENCYPART_ARC
(27,24),-0.762727 # DEPENDENCYPART_ARC
(27,25),-1.26483 # DEPENDENCYPART_ARC
(27,26),-1.19738 # DEPENDENCYPART_ARC
