# _root_ `` Futures were pulling the stock market higher , '' said Donald Selkin , head of stock-index futures research at Prudential-Bache Securities Inc .
#goldHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,19,22,20,22,11,
#predictedHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,15,22,20,22,11,
(22,4),-2.31604 # DEPENDENCYPART_ARC
(22,5),-2.96143 # DEPENDENCYPART_ARC
(22,6),-2.25207 # DEPENDENCYPART_ARC
(22,7),-3.04769 # DEPENDENCYPART_ARC
(22,8),-2.68644 # DEPENDENCYPART_ARC
(22,9),-2.5982 # DEPENDENCYPART_ARC
(22,10),-2.37283 # DEPENDENCYPART_ARC
(22,11),-2.44385 # DEPENDENCYPART_ARC
(22,12),-0.110177 # DEPENDENCYPART_ARC
(22,13),-1.40695 # DEPENDENCYPART_ARC
(22,14),-1.11626 # DEPENDENCYPART_ARC
(22,15),-1.86136 # DEPENDENCYPART_ARC
(22,16),-1.15847 # DEPENDENCYPART_ARC
(22,17),0.866645 # DEPENDENCYPART_ARC
(22,18),0.322455 # DEPENDENCYPART_ARC
(22,19),-0.342306 # DEPENDENCYPART_ARC
(22,20),-0.17626 # DEPENDENCYPART_ARC
(22,21),4.64978 # DEPENDENCYPART_ARC
(22,23),3.21789 # DEPENDENCYPART_ARC
(22,24),0.446774 # DEPENDENCYPART_ARC
(23,1),-1.67913 # DEPENDENCYPART_ARC
(23,2),-2.89258 # DEPENDENCYPART_ARC
(23,3),-3.03493 # DEPENDENCYPART_ARC
(23,4),-1.99337 # DEPENDENCYPART_ARC
(23,5),-2.15565 # DEPENDENCYPART_ARC
(23,6),-2.55809 # DEPENDENCYPART_ARC
(23,7),-3.37946 # DEPENDENCYPART_ARC
(23,8),-2.4208 # DEPENDENCYPART_ARC
(23,9),-2.51441 # DEPENDENCYPART_ARC
(23,10),-2.13901 # DEPENDENCYPART_ARC
(23,11),-2.4195 # DEPENDENCYPART_ARC
(23,12),-0.142869 # DEPENDENCYPART_ARC
(23,13),-1.36719 # DEPENDENCYPART_ARC
(23,14),-1.0006 # DEPENDENCYPART_ARC
(23,15),-1.76399 # DEPENDENCYPART_ARC
(23,16),-0.800594 # DEPENDENCYPART_ARC
(23,17),0.152119 # DEPENDENCYPART_ARC
(23,18),0.477591 # DEPENDENCYPART_ARC
(23,19),-0.408162 # DEPENDENCYPART_ARC
(23,20),-0.102157 # DEPENDENCYPART_ARC
(23,21),3.57853 # DEPENDENCYPART_ARC
(23,22),2.88947 # DEPENDENCYPART_ARC
(23,24),1.99948 # DEPENDENCYPART_ARC
(24,1),-2.59807 # DEPENDENCYPART_ARC
(24,2),-2.97216 # DEPENDENCYPART_ARC
(24,3),-2.34504 # DEPENDENCYPART_ARC
(24,4),-1.64584 # DEPENDENCYPART_ARC
(24,5),-2.27372 # DEPENDENCYPART_ARC
(24,6),-2.46573 # DEPENDENCYPART_ARC
(24,7),-2.41265 # DEPENDENCYPART_ARC
(24,8),-2.4177 # DEPENDENCYPART_ARC
(24,9),-1.42773 # DEPENDENCYPART_ARC
(24,10),-1.93726 # DEPENDENCYPART_ARC
(24,11),-1.66113 # DEPENDENCYPART_ARC
(24,12),-1.59376 # DEPENDENCYPART_ARC
(24,13),-1.82655 # DEPENDENCYPART_ARC
(24,14),-0.919105 # DEPENDENCYPART_ARC
(24,15),-1.44146 # DEPENDENCYPART_ARC
(24,16),-1.26749 # DEPENDENCYPART_ARC
(24,17),-1.46793 # DEPENDENCYPART_ARC
(24,18),-1.46312 # DEPENDENCYPART_ARC
(24,19),-1.37941 # DEPENDENCYPART_ARC
(24,20),-1.0248 # DEPENDENCYPART_ARC
(24,21),-0.772022 # DEPENDENCYPART_ARC
(24,22),-1.25749 # DEPENDENCYPART_ARC
(24,23),-1.19004 # DEPENDENCYPART_ARC
