# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
(22,5),-2.04767 # DEPENDENCYPART_ARC
(22,6),-1.47165 # DEPENDENCYPART_ARC
(22,7),-2.08077 # DEPENDENCYPART_ARC
(22,8),-2.47977 # DEPENDENCYPART_ARC
(22,9),-1.6398 # DEPENDENCYPART_ARC
(22,10),-1.45632 # DEPENDENCYPART_ARC
(22,11),-1.11958 # DEPENDENCYPART_ARC
(22,12),-2.19994 # DEPENDENCYPART_ARC
(22,13),-1.21084 # DEPENDENCYPART_ARC
(22,14),-0.451604 # DEPENDENCYPART_ARC
(22,15),-1.41966 # DEPENDENCYPART_ARC
(22,16),-0.673573 # DEPENDENCYPART_ARC
(22,17),-1.07483 # DEPENDENCYPART_ARC
(22,18),-0.173587 # DEPENDENCYPART_ARC
(22,19),0.0316516 # DEPENDENCYPART_ARC
(22,20),-0.387957 # DEPENDENCYPART_ARC
(22,21),-0.0567425 # DEPENDENCYPART_ARC
(22,23),4.60382 # DEPENDENCYPART_ARC
(22,24),-0.782118 # DEPENDENCYPART_ARC
(23,1),-4.49146 # DEPENDENCYPART_ARC
(23,2),-7.30514 # DEPENDENCYPART_ARC
(23,3),-6.36168 # DEPENDENCYPART_ARC
(23,4),-3.41505 # DEPENDENCYPART_ARC
(23,5),-5.86524 # DEPENDENCYPART_ARC
(23,6),-2.42653 # DEPENDENCYPART_ARC
(23,7),-3.25604 # DEPENDENCYPART_ARC
(23,8),-3.60905 # DEPENDENCYPART_ARC
(23,9),-2.46914 # DEPENDENCYPART_ARC
(23,10),-3.3648 # DEPENDENCYPART_ARC
(23,11),-2.91642 # DEPENDENCYPART_ARC
(23,12),-4.66736 # DEPENDENCYPART_ARC
(23,13),-2.89417 # DEPENDENCYPART_ARC
(23,14),-2.18251 # DEPENDENCYPART_ARC
(23,15),-0.990149 # DEPENDENCYPART_ARC
(23,16),-2.33401 # DEPENDENCYPART_ARC
(23,17),-2.99932 # DEPENDENCYPART_ARC
(23,18),0.0192568 # DEPENDENCYPART_ARC
(23,19),1.10149 # DEPENDENCYPART_ARC
(23,20),0.667951 # DEPENDENCYPART_ARC
(23,21),-0.613357 # DEPENDENCYPART_ARC
(23,22),0.891677 # DEPENDENCYPART_ARC
(23,24),-0.709463 # DEPENDENCYPART_ARC
(24,1),-3.60043 # DEPENDENCYPART_ARC
(24,2),-2.40613 # DEPENDENCYPART_ARC
(24,3),-2.31806 # DEPENDENCYPART_ARC
(24,4),-0.725951 # DEPENDENCYPART_ARC
(24,5),-2.55529 # DEPENDENCYPART_ARC
(24,6),-1.80781 # DEPENDENCYPART_ARC
(24,7),-1.15984 # DEPENDENCYPART_ARC
(24,8),-1.45667 # DEPENDENCYPART_ARC
(24,9),-2.11738 # DEPENDENCYPART_ARC
(24,10),-1.46452 # DEPENDENCYPART_ARC
(24,11),-2.27176 # DEPENDENCYPART_ARC
(24,12),-1.1313 # DEPENDENCYPART_ARC
(24,13),-0.0364355 # DEPENDENCYPART_ARC
(24,14),-1.65444 # DEPENDENCYPART_ARC
(24,15),-0.677066 # DEPENDENCYPART_ARC
(24,16),-1.50325 # DEPENDENCYPART_ARC
(24,17),-1.25179 # DEPENDENCYPART_ARC
(24,18),-1.22032 # DEPENDENCYPART_ARC
(24,19),-0.751176 # DEPENDENCYPART_ARC
(24,20),-1.15428 # DEPENDENCYPART_ARC
(24,21),-0.782085 # DEPENDENCYPART_ARC
(24,22),-1.26815 # DEPENDENCYPART_ARC
(24,23),-1.30401 # DEPENDENCYPART_ARC
