# _root_ United Biscuits ( Holdings ) PLC , a British food producer , announced the creation of a European group to bring together its trading interests in the region .
#goldHeads=6,6,6,6,6,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
#predictedHeads=2,6,4,6,4,13,2,11,11,11,2,2,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
(18,5),-2.30952 # DEPENDENCYPART_ARC
(18,6),-2.65546 # DEPENDENCYPART_ARC
(18,7),-1.95011 # DEPENDENCYPART_ARC
(18,8),0.217262 # DEPENDENCYPART_ARC
(18,9),-0.680369 # DEPENDENCYPART_ARC
(18,10),-1.33313 # DEPENDENCYPART_ARC
(18,11),-1.44569 # DEPENDENCYPART_ARC
(18,12),-1.34488 # DEPENDENCYPART_ARC
(18,13),-1.55143 # DEPENDENCYPART_ARC
(18,14),0.355728 # DEPENDENCYPART_ARC
(18,15),-0.11271 # DEPENDENCYPART_ARC
(18,16),0.358862 # DEPENDENCYPART_ARC
(18,17),2.28657 # DEPENDENCYPART_ARC
(18,19),1.66434 # DEPENDENCYPART_ARC
(18,20),0.504017 # DEPENDENCYPART_ARC
(18,21),-0.215245 # DEPENDENCYPART_ARC
(18,22),-0.345197 # DEPENDENCYPART_ARC
(18,23),-1.08141 # DEPENDENCYPART_ARC
(18,24),-0.434011 # DEPENDENCYPART_ARC
(18,25),-0.376603 # DEPENDENCYPART_ARC
(18,26),-0.853982 # DEPENDENCYPART_ARC
(18,27),-1.50034 # DEPENDENCYPART_ARC
(18,28),-1.04763 # DEPENDENCYPART_ARC
(18,29),0.0502413 # DEPENDENCYPART_ARC
(19,1),-6.1129 # DEPENDENCYPART_ARC
(19,2),-6.55522 # DEPENDENCYPART_ARC
(19,3),-0.590362 # DEPENDENCYPART_ARC
(19,4),-6.24089 # DEPENDENCYPART_ARC
(19,5),-2.30608 # DEPENDENCYPART_ARC
(19,6),-6.91586 # DEPENDENCYPART_ARC
(19,7),-2.1854 # DEPENDENCYPART_ARC
(19,8),-1.08788 # DEPENDENCYPART_ARC
(19,9),-0.530768 # DEPENDENCYPART_ARC
(19,10),-2.72067 # DEPENDENCYPART_ARC
(19,11),-3.76216 # DEPENDENCYPART_ARC
(19,12),-1.58841 # DEPENDENCYPART_ARC
(19,13),-0.885037 # DEPENDENCYPART_ARC
(19,14),0.911908 # DEPENDENCYPART_ARC
(19,15),-0.419309 # DEPENDENCYPART_ARC
(19,16),-0.26377 # DEPENDENCYPART_ARC
(19,17),4.82134 # DEPENDENCYPART_ARC
(19,18),3.75342 # DEPENDENCYPART_ARC
(19,20),1.75169 # DEPENDENCYPART_ARC
(19,21),1.07301 # DEPENDENCYPART_ARC
(19,22),0.206348 # DEPENDENCYPART_ARC
(19,23),-0.693478 # DEPENDENCYPART_ARC
(19,24),0.207175 # DEPENDENCYPART_ARC
(19,25),0.593004 # DEPENDENCYPART_ARC
(19,26),0.3668 # DEPENDENCYPART_ARC
(19,27),-0.514897 # DEPENDENCYPART_ARC
(19,28),0.0487644 # DEPENDENCYPART_ARC
(19,29),0.379067 # DEPENDENCYPART_ARC
(20,1),-0.511223 # DEPENDENCYPART_ARC
(20,2),-0.3652 # DEPENDENCYPART_ARC
(20,3),-1.42696 # DEPENDENCYPART_ARC
(20,4),-0.0868272 # DEPENDENCYPART_ARC
(20,5),-1.49899 # DEPENDENCYPART_ARC
(20,6),0.280987 # DEPENDENCYPART_ARC
(20,7),-0.498998 # DEPENDENCYPART_ARC
(20,8),-0.614764 # DEPENDENCYPART_ARC
(20,9),-1.1071 # DEPENDENCYPART_ARC
(20,10),-0.649358 # DEPENDENCYPART_ARC
(20,11),-0.692943 # DEPENDENCYPART_ARC
(20,12),-0.301201 # DEPENDENCYPART_ARC
(20,13),-0.17983 # DEPENDENCYPART_ARC
(20,14),0.33368 # DEPENDENCYPART_ARC
(20,15),0.936194 # DEPENDENCYPART_ARC
(20,16),0.723607 # DEPENDENCYPART_ARC
(20,17),1.03137 # DEPENDENCYPART_ARC
(20,18),0.549389 # DEPENDENCYPART_ARC
(20,19),1.06155 # DEPENDENCYPART_ARC
(20,21),3.8056 # DEPENDENCYPART_ARC
(20,22),0.499455 # DEPENDENCYPART_ARC
(20,23),-0.543122 # DEPENDENCYPART_ARC
(20,24),0.12237 # DEPENDENCYPART_ARC
(20,25),0.821118 # DEPENDENCYPART_ARC
(20,26),1.17879 # DEPENDENCYPART_ARC
(20,27),-1.60218 # DEPENDENCYPART_ARC
(20,28),-2.45345 # DEPENDENCYPART_ARC
(20,29),-0.0317429 # DEPENDENCYPART_ARC
(21,1),-1.92955 # DEPENDENCYPART_ARC
(21,2),-2.06625 # DEPENDENCYPART_ARC
(21,3),-0.727712 # DEPENDENCYPART_ARC
(21,4),-1.9178 # DEPENDENCYPART_ARC
(21,5),-1.78289 # DEPENDENCYPART_ARC
(21,6),-1.7362 # DEPENDENCYPART_ARC
(21,7),-0.512167 # DEPENDENCYPART_ARC
(21,8),-1.05442 # DEPENDENCYPART_ARC
(21,9),-0.98988 # DEPENDENCYPART_ARC
(21,10),-1.08885 # DEPENDENCYPART_ARC
(21,11),-1.02594 # DEPENDENCYPART_ARC
(21,12),-0.785913 # DEPENDENCYPART_ARC
(21,13),-1.02828 # DEPENDENCYPART_ARC
(21,14),-0.346557 # DEPENDENCYPART_ARC
(21,15),-0.45529 # DEPENDENCYPART_ARC
(21,16),-0.0610061 # DEPENDENCYPART_ARC
(21,17),0.205257 # DEPENDENCYPART_ARC
(21,18),0.36003 # DEPENDENCYPART_ARC
(21,19),0.111327 # DEPENDENCYPART_ARC
(21,20),1.09167 # DEPENDENCYPART_ARC
(21,22),2.92516 # DEPENDENCYPART_ARC
(21,23),0.544433 # DEPENDENCYPART_ARC
(21,24),1.96253 # DEPENDENCYPART_ARC
(21,25),2.61382 # DEPENDENCYPART_ARC
(21,26),2.36698 # DEPENDENCYPART_ARC
(21,27),-0.670591 # DEPENDENCYPART_ARC
(21,28),0.776321 # DEPENDENCYPART_ARC
(21,29),0.0186923 # DEPENDENCYPART_ARC
(22,1),-2.98906 # DEPENDENCYPART_ARC
(22,2),-2.77686 # DEPENDENCYPART_ARC
(22,3),-1.9153 # DEPENDENCYPART_ARC
(22,4),-2.44226 # DEPENDENCYPART_ARC
(22,5),-2.35569 # DEPENDENCYPART_ARC
(22,6),-2.21405 # DEPENDENCYPART_ARC
(22,7),-1.31543 # DEPENDENCYPART_ARC
(22,8),-0.975592 # DEPENDENCYPART_ARC
(22,9),-0.81947 # DEPENDENCYPART_ARC
(22,10),-2.1783 # DEPENDENCYPART_ARC
(22,11),-2.14458 # DEPENDENCYPART_ARC
(22,12),-0.91861 # DEPENDENCYPART_ARC
(22,13),-1.21731 # DEPENDENCYPART_ARC
(22,14),-0.103124 # DEPENDENCYPART_ARC
(22,15),-1.07658 # DEPENDENCYPART_ARC
(22,16),-0.685222 # DEPENDENCYPART_ARC
(22,17),0.254887 # DEPENDENCYPART_ARC
(22,18),-0.0582141 # DEPENDENCYPART_ARC
(22,19),-0.481442 # DEPENDENCYPART_ARC
(22,20),0.0920604 # DEPENDENCYPART_ARC
(22,21),0.771073 # DEPENDENCYPART_ARC
(22,23),0.846124 # DEPENDENCYPART_ARC
(22,24),0.746716 # DEPENDENCYPART_ARC
(22,25),0.210487 # DEPENDENCYPART_ARC
(22,26),0.459932 # DEPENDENCYPART_ARC
(22,27),-0.295065 # DEPENDENCYPART_ARC
(22,28),-0.954457 # DEPENDENCYPART_ARC
(22,29),-0.342949 # DEPENDENCYPART_ARC
(23,1),-4.04814 # DEPENDENCYPART_ARC
(23,2),-4.03151 # DEPENDENCYPART_ARC
(23,3),-3.59631 # DEPENDENCYPART_ARC
(23,4),-3.66593 # DEPENDENCYPART_ARC
(23,5),-3.80234 # DEPENDENCYPART_ARC
(23,6),-3.46106 # DEPENDENCYPART_ARC
(23,7),-3.10727 # DEPENDENCYPART_ARC
(23,8),-3.02421 # DEPENDENCYPART_ARC
(23,9),-3.09139 # DEPENDENCYPART_ARC
(23,10),-3.21906 # DEPENDENCYPART_ARC
(23,11),-3.14824 # DEPENDENCYPART_ARC
(23,12),-2.59227 # DEPENDENCYPART_ARC
(23,13),-2.70655 # DEPENDENCYPART_ARC
(23,14),-2.14915 # DEPENDENCYPART_ARC
(23,15),-2.60332 # DEPENDENCYPART_ARC
(23,16),-2.1763 # DEPENDENCYPART_ARC
(23,17),-1.77378 # DEPENDENCYPART_ARC
(23,18),-1.8549 # DEPENDENCYPART_ARC
(23,19),-1.82479 # DEPENDENCYPART_ARC
(23,20),-1.68626 # DEPENDENCYPART_ARC
(23,21),-1.42256 # DEPENDENCYPART_ARC
(23,22),-0.626772 # DEPENDENCYPART_ARC
(23,24),-0.107857 # DEPENDENCYPART_ARC
(23,25),-0.311008 # DEPENDENCYPART_ARC
(23,26),-0.997296 # DEPENDENCYPART_ARC
(23,27),-1.82378 # DEPENDENCYPART_ARC
(23,28),-1.63796 # DEPENDENCYPART_ARC
(23,29),-1.46458 # DEPENDENCYPART_ARC
(24,1),-9.88387 # DEPENDENCYPART_ARC
(24,2),-10.3549 # DEPENDENCYPART_ARC
(24,3),-2.96147 # DEPENDENCYPART_ARC
(24,4),-10.0629 # DEPENDENCYPART_ARC
(24,5),-4.72643 # DEPENDENCYPART_ARC
(24,6),-10.6971 # DEPENDENCYPART_ARC
(24,7),-4.38969 # DEPENDENCYPART_ARC
(24,8),-5.94316 # DEPENDENCYPART_ARC
(24,9),-4.96691 # DEPENDENCYPART_ARC
(24,10),-7.03051 # DEPENDENCYPART_ARC
(24,11),-7.65237 # DEPENDENCYPART_ARC
(24,12),-4.08207 # DEPENDENCYPART_ARC
(24,13),-3.54766 # DEPENDENCYPART_ARC
(24,14),-4.55264 # DEPENDENCYPART_ARC
(24,15),-4.98057 # DEPENDENCYPART_ARC
(24,16),-2.39811 # DEPENDENCYPART_ARC
(24,17),-1.49267 # DEPENDENCYPART_ARC
(24,18),-1.85463 # DEPENDENCYPART_ARC
(24,19),-2.28151 # DEPENDENCYPART_ARC
(24,20),-1.96638 # DEPENDENCYPART_ARC
(24,21),-1.49949 # DEPENDENCYPART_ARC
(24,22),-0.219406 # DEPENDENCYPART_ARC
(24,23),2.20053 # DEPENDENCYPART_ARC
(24,25),1.26665 # DEPENDENCYPART_ARC
(24,26),0.448303 # DEPENDENCYPART_ARC
(24,27),-0.913049 # DEPENDENCYPART_ARC
(24,28),-0.492668 # DEPENDENCYPART_ARC
(24,29),-0.898605 # DEPENDENCYPART_ARC
(25,1),-4.51635 # DEPENDENCYPART_ARC
(25,2),-4.91887 # DEPENDENCYPART_ARC
(25,3),-0.998096 # DEPENDENCYPART_ARC
(25,4),-4.64962 # DEPENDENCYPART_ARC
(25,5),-2.38488 # DEPENDENCYPART_ARC
(25,6),-4.77799 # DEPENDENCYPART_ARC
(25,7),-0.606866 # DEPENDENCYPART_ARC
(25,8),-3.14908 # DEPENDENCYPART_ARC
(25,9),-2.43672 # DEPENDENCYPART_ARC
(25,10),-2.33742 # DEPENDENCYPART_ARC
(25,11),-4.08669 # DEPENDENCYPART_ARC
(25,12),-1.06149 # DEPENDENCYPART_ARC
(25,13),-1.14859 # DEPENDENCYPART_ARC
(25,14),-1.80006 # DEPENDENCYPART_ARC
(25,15),-1.96939 # DEPENDENCYPART_ARC
(25,16),-0.729565 # DEPENDENCYPART_ARC
(25,17),1.10941 # DEPENDENCYPART_ARC
(25,18),0.910417 # DEPENDENCYPART_ARC
(25,19),-0.517333 # DEPENDENCYPART_ARC
(25,20),-0.410474 # DEPENDENCYPART_ARC
(25,21),0.694768 # DEPENDENCYPART_ARC
(25,22),1.33135 # DEPENDENCYPART_ARC
(25,23),3.91276 # DEPENDENCYPART_ARC
(25,24),4.53192 # DEPENDENCYPART_ARC
(25,26),2.6826 # DEPENDENCYPART_ARC
(25,27),-0.179257 # DEPENDENCYPART_ARC
(25,28),0.332888 # DEPENDENCYPART_ARC
(25,29),0.590378 # DEPENDENCYPART_ARC
(26,1),-3.6074 # DEPENDENCYPART_ARC
(26,2),-3.77805 # DEPENDENCYPART_ARC
(26,3),-1.16228 # DEPENDENCYPART_ARC
(26,4),-3.41815 # DEPENDENCYPART_ARC
(26,5),-3.13179 # DEPENDENCYPART_ARC
(26,6),-3.21709 # DEPENDENCYPART_ARC
(26,7),-2.7643 # DEPENDENCYPART_ARC
(26,8),-2.41538 # DEPENDENCYPART_ARC
(26,9),-2.51529 # DEPENDENCYPART_ARC
(26,10),-3.21193 # DEPENDENCYPART_ARC
(26,11),-3.51565 # DEPENDENCYPART_ARC
(26,12),-2.10438 # DEPENDENCYPART_ARC
(26,13),-2.06836 # DEPENDENCYPART_ARC
(26,14),-1.82615 # DEPENDENCYPART_ARC
(26,15),-1.37925 # DEPENDENCYPART_ARC
(26,16),-1.59562 # DEPENDENCYPART_ARC
(26,17),-1.18407 # DEPENDENCYPART_ARC
(26,18),-1.42722 # DEPENDENCYPART_ARC
(26,19),-1.61839 # DEPENDENCYPART_ARC
(26,20),-0.868403 # DEPENDENCYPART_ARC
(26,21),-0.980625 # DEPENDENCYPART_ARC
(26,22),-0.982709 # DEPENDENCYPART_ARC
(26,23),0.229653 # DEPENDENCYPART_ARC
(26,24),-0.679152 # DEPENDENCYPART_ARC
(26,25),0.435856 # DEPENDENCYPART_ARC
(26,27),0.657696 # DEPENDENCYPART_ARC
(26,28),3.92312 # DEPENDENCYPART_ARC
(26,29),-0.756313 # DEPENDENCYPART_ARC
(27,1),-5.54437 # DEPENDENCYPART_ARC
(27,2),-5.37115 # DEPENDENCYPART_ARC
(27,3),-4.4538 # DEPENDENCYPART_ARC
(27,4),-5.28053 # DEPENDENCYPART_ARC
(27,5),-4.89366 # DEPENDENCYPART_ARC
(27,6),-5.02911 # DEPENDENCYPART_ARC
(27,7),-4.55629 # DEPENDENCYPART_ARC
(27,8),-4.31344 # DEPENDENCYPART_ARC
(27,9),-4.40418 # DEPENDENCYPART_ARC
(27,10),-4.81339 # DEPENDENCYPART_ARC
(27,11),-4.7511 # DEPENDENCYPART_ARC
(27,12),-3.98895 # DEPENDENCYPART_ARC
(27,13),-3.96896 # DEPENDENCYPART_ARC
(27,14),-3.57963 # DEPENDENCYPART_ARC
(27,15),-4.31465 # DEPENDENCYPART_ARC
(27,16),-3.50008 # DEPENDENCYPART_ARC
(27,17),-3.04019 # DEPENDENCYPART_ARC
(27,18),-3.4032 # DEPENDENCYPART_ARC
(27,19),-3.73179 # DEPENDENCYPART_ARC
(27,20),-3.20148 # DEPENDENCYPART_ARC
(27,21),-2.8178 # DEPENDENCYPART_ARC
(27,22),-2.80196 # DEPENDENCYPART_ARC
(27,23),-2.00495 # DEPENDENCYPART_ARC
(27,24),-2.57572 # DEPENDENCYPART_ARC
(27,25),-2.36274 # DEPENDENCYPART_ARC
(27,26),-0.908288 # DEPENDENCYPART_ARC
(27,28),0.0432888 # DEPENDENCYPART_ARC
(27,29),-2.04801 # DEPENDENCYPART_ARC
(28,1),-10.5376 # DEPENDENCYPART_ARC
(28,2),-10.8466 # DEPENDENCYPART_ARC
(28,3),-1.42926 # DEPENDENCYPART_ARC
(28,4),-10.762 # DEPENDENCYPART_ARC
(28,5),-3.62027 # DEPENDENCYPART_ARC
(28,6),-11.0828 # DEPENDENCYPART_ARC
(28,7),-3.14128 # DEPENDENCYPART_ARC
(28,8),-6.04504 # DEPENDENCYPART_ARC
(28,9),-4.61725 # DEPENDENCYPART_ARC
(28,10),-6.62411 # DEPENDENCYPART_ARC
(28,11),-7.35088 # DEPENDENCYPART_ARC
(28,12),-2.86148 # DEPENDENCYPART_ARC
(28,13),-2.23181 # DEPENDENCYPART_ARC
(28,14),-5.20232 # DEPENDENCYPART_ARC
(28,15),-5.28896 # DEPENDENCYPART_ARC
(28,16),-1.71801 # DEPENDENCYPART_ARC
(28,17),-1.78228 # DEPENDENCYPART_ARC
(28,18),-1.86753 # DEPENDENCYPART_ARC
(28,19),-3.3745 # DEPENDENCYPART_ARC
(28,20),-1.89088 # DEPENDENCYPART_ARC
(28,21),-1.44757 # DEPENDENCYPART_ARC
(28,22),-1.42645 # DEPENDENCYPART_ARC
(28,23),0.448396 # DEPENDENCYPART_ARC
(28,24),-0.103268 # DEPENDENCYPART_ARC
(28,25),-0.606236 # DEPENDENCYPART_ARC
(28,26),0.867856 # DEPENDENCYPART_ARC
(28,27),4.80349 # DEPENDENCYPART_ARC
(28,29),0.169438 # DEPENDENCYPART_ARC
(29,1),-3.15911 # DEPENDENCYPART_ARC
(29,2),-3.3067 # DEPENDENCYPART_ARC
(29,3),-2.73857 # DEPENDENCYPART_ARC
(29,4),-3.16137 # DEPENDENCYPART_ARC
(29,5),-3.2052 # DEPENDENCYPART_ARC
(29,6),-3.21972 # DEPENDENCYPART_ARC
(29,7),-0.712589 # DEPENDENCYPART_ARC
(29,8),-2.95175 # DEPENDENCYPART_ARC
(29,9),-2.91078 # DEPENDENCYPART_ARC
(29,10),-1.91326 # DEPENDENCYPART_ARC
(29,11),-1.79169 # DEPENDENCYPART_ARC
(29,12),-0.627434 # DEPENDENCYPART_ARC
(29,13),-0.930862 # DEPENDENCYPART_ARC
(29,14),-1.90553 # DEPENDENCYPART_ARC
(29,15),-1.86555 # DEPENDENCYPART_ARC
(29,16),-2.22273 # DEPENDENCYPART_ARC
(29,17),-1.82005 # DEPENDENCYPART_ARC
(29,18),-1.9439 # DEPENDENCYPART_ARC
(29,19),-1.38554 # DEPENDENCYPART_ARC
(29,20),-1.58831 # DEPENDENCYPART_ARC
(29,21),-1.48088 # DEPENDENCYPART_ARC
(29,22),-1.24909 # DEPENDENCYPART_ARC
(29,23),-0.599892 # DEPENDENCYPART_ARC
(29,24),-1.2818 # DEPENDENCYPART_ARC
(29,25),-1.24107 # DEPENDENCYPART_ARC
(29,26),-1.08008 # DEPENDENCYPART_ARC
(29,27),-0.71052 # DEPENDENCYPART_ARC
(29,28),-1.82897 # DEPENDENCYPART_ARC
