# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(14,30),-2.82157 # DEPENDENCYPART_ARC
(14,31),-2.9607 # DEPENDENCYPART_ARC
(14,32),-2.45044 # DEPENDENCYPART_ARC
(14,33),-3.18725 # DEPENDENCYPART_ARC
(14,34),-3.2772 # DEPENDENCYPART_ARC
(14,35),-2.40853 # DEPENDENCYPART_ARC
(15,1),-0.876181 # DEPENDENCYPART_ARC
(15,2),-2.32013 # DEPENDENCYPART_ARC
(15,3),-2.0682 # DEPENDENCYPART_ARC
(15,4),-1.60321 # DEPENDENCYPART_ARC
(15,5),-1.73097 # DEPENDENCYPART_ARC
(15,6),-1.71034 # DEPENDENCYPART_ARC
(15,7),-1.67525 # DEPENDENCYPART_ARC
(15,8),-0.995519 # DEPENDENCYPART_ARC
(15,9),-1.77311 # DEPENDENCYPART_ARC
(15,10),-1.59739 # DEPENDENCYPART_ARC
(15,11),-0.900411 # DEPENDENCYPART_ARC
(15,12),-0.87182 # DEPENDENCYPART_ARC
(15,13),-0.90956 # DEPENDENCYPART_ARC
(15,14),0.431689 # DEPENDENCYPART_ARC
(15,16),0.0579145 # DEPENDENCYPART_ARC
(15,17),-0.982039 # DEPENDENCYPART_ARC
(15,18),-1.34732 # DEPENDENCYPART_ARC
(15,19),-1.11696 # DEPENDENCYPART_ARC
(15,20),-1.98746 # DEPENDENCYPART_ARC
(15,21),-1.91237 # DEPENDENCYPART_ARC
(15,22),-2.03539 # DEPENDENCYPART_ARC
(15,23),-1.71714 # DEPENDENCYPART_ARC
(15,24),-2.45816 # DEPENDENCYPART_ARC
(15,25),-2.35674 # DEPENDENCYPART_ARC
(15,26),-2.39887 # DEPENDENCYPART_ARC
(15,27),-2.5394 # DEPENDENCYPART_ARC
(15,28),-2.61932 # DEPENDENCYPART_ARC
(15,29),-2.48245 # DEPENDENCYPART_ARC
(15,30),-3.16515 # DEPENDENCYPART_ARC
(15,31),-3.29146 # DEPENDENCYPART_ARC
(15,32),-2.64051 # DEPENDENCYPART_ARC
(15,33),-3.54637 # DEPENDENCYPART_ARC
(15,34),-3.67231 # DEPENDENCYPART_ARC
(15,35),-2.41406 # DEPENDENCYPART_ARC
(16,1),4.31687 # DEPENDENCYPART_ARC
(16,2),-0.455252 # DEPENDENCYPART_ARC
(16,3),1.09931 # DEPENDENCYPART_ARC
(16,4),-1.47997 # DEPENDENCYPART_ARC
(16,5),-0.0487259 # DEPENDENCYPART_ARC
(16,6),-0.998481 # DEPENDENCYPART_ARC
(16,7),0.189921 # DEPENDENCYPART_ARC
(16,8),0.0773131 # DEPENDENCYPART_ARC
(16,9),-0.0974266 # DEPENDENCYPART_ARC
(16,10),-0.343172 # DEPENDENCYPART_ARC
(16,11),-0.658145 # DEPENDENCYPART_ARC
(16,12),0.262624 # DEPENDENCYPART_ARC
(16,13),-0.258021 # DEPENDENCYPART_ARC
(16,14),3.8156 # DEPENDENCYPART_ARC
(16,15),3.9074 # DEPENDENCYPART_ARC
(16,17),1.26539 # DEPENDENCYPART_ARC
(16,18),2.64133 # DEPENDENCYPART_ARC
(16,19),1.53613 # DEPENDENCYPART_ARC
(16,20),0.245859 # DEPENDENCYPART_ARC
(16,21),0.162815 # DEPENDENCYPART_ARC
(16,22),0.199129 # DEPENDENCYPART_ARC
(16,23),1.11731 # DEPENDENCYPART_ARC
(16,24),-1.46126 # DEPENDENCYPART_ARC
(16,25),-0.616831 # DEPENDENCYPART_ARC
(16,26),-0.617951 # DEPENDENCYPART_ARC
(16,27),-0.614165 # DEPENDENCYPART_ARC
(16,28),-0.120968 # DEPENDENCYPART_ARC
(16,29),-1.07027 # DEPENDENCYPART_ARC
(16,30),-2.07699 # DEPENDENCYPART_ARC
(16,31),-1.32326 # DEPENDENCYPART_ARC
(16,32),-1.14208 # DEPENDENCYPART_ARC
(16,33),-2.04091 # DEPENDENCYPART_ARC
(16,34),-1.17493 # DEPENDENCYPART_ARC
(16,35),9.29567 # DEPENDENCYPART_ARC
(17,1),-2.99506 # DEPENDENCYPART_ARC
(17,2),-3.65696 # DEPENDENCYPART_ARC
(17,3),-3.96496 # DEPENDENCYPART_ARC
(17,4),-4.00523 # DEPENDENCYPART_ARC
(17,5),-3.51636 # DEPENDENCYPART_ARC
(17,6),-3.76086 # DEPENDENCYPART_ARC
(17,7),-2.76811 # DEPENDENCYPART_ARC
(17,8),-1.35196 # DEPENDENCYPART_ARC
(17,9),-2.18638 # DEPENDENCYPART_ARC
(17,10),-3.64015 # DEPENDENCYPART_ARC
(17,11),-2.3369 # DEPENDENCYPART_ARC
(17,12),-0.815923 # DEPENDENCYPART_ARC
(17,13),-2.03013 # DEPENDENCYPART_ARC
(17,14),-1.44096 # DEPENDENCYPART_ARC
(17,15),-0.742559 # DEPENDENCYPART_ARC
(17,16),-0.405706 # DEPENDENCYPART_ARC
(17,18),1.90074 # DEPENDENCYPART_ARC
(17,19),0.794028 # DEPENDENCYPART_ARC
(17,20),0.356433 # DEPENDENCYPART_ARC
(17,21),0.509723 # DEPENDENCYPART_ARC
(17,22),0.549621 # DEPENDENCYPART_ARC
(17,23),-1.32034 # DEPENDENCYPART_ARC
(17,24),-0.553782 # DEPENDENCYPART_ARC
(17,25),-1.24295 # DEPENDENCYPART_ARC
(17,26),-1.24438 # DEPENDENCYPART_ARC
(17,27),-1.81088 # DEPENDENCYPART_ARC
(17,28),-2.57974 # DEPENDENCYPART_ARC
(17,29),-1.9933 # DEPENDENCYPART_ARC
(17,30),-2.41902 # DEPENDENCYPART_ARC
(17,31),-1.42421 # DEPENDENCYPART_ARC
(17,32),-0.260523 # DEPENDENCYPART_ARC
(17,33),-3.07316 # DEPENDENCYPART_ARC
(17,34),-2.20506 # DEPENDENCYPART_ARC
(17,35),0.346542 # DEPENDENCYPART_ARC
(18,1),-1.10377 # DEPENDENCYPART_ARC
(18,2),-1.88152 # DEPENDENCYPART_ARC
(18,3),-2.35819 # DEPENDENCYPART_ARC
(18,4),-1.92577 # DEPENDENCYPART_ARC
(18,5),-1.63765 # DEPENDENCYPART_ARC
(18,6),-2.20514 # DEPENDENCYPART_ARC
(18,7),-1.50608 # DEPENDENCYPART_ARC
(18,8),0.59931 # DEPENDENCYPART_ARC
(18,9),0.00716956 # DEPENDENCYPART_ARC
(18,10),-2.0712 # DEPENDENCYPART_ARC
(18,11),-0.817912 # DEPENDENCYPART_ARC
(18,12),0.382038 # DEPENDENCYPART_ARC
(18,13),-0.584224 # DEPENDENCYPART_ARC
(18,14),-0.0291207 # DEPENDENCYPART_ARC
(18,15),0.437433 # DEPENDENCYPART_ARC
(18,16),0.596363 # DEPENDENCYPART_ARC
(18,17),5.18097 # DEPENDENCYPART_ARC
(18,19),3.23239 # DEPENDENCYPART_ARC
(18,20),1.67201 # DEPENDENCYPART_ARC
(18,21),1.79796 # DEPENDENCYPART_ARC
(18,22),2.34386 # DEPENDENCYPART_ARC
(18,23),0.247179 # DEPENDENCYPART_ARC
(18,24),0.306645 # DEPENDENCYPART_ARC
(18,25),-0.250886 # DEPENDENCYPART_ARC
(18,26),-0.0910303 # DEPENDENCYPART_ARC
(18,27),-0.63192 # DEPENDENCYPART_ARC
(18,28),-0.573496 # DEPENDENCYPART_ARC
(18,29),-1.0789 # DEPENDENCYPART_ARC
(18,30),-1.77553 # DEPENDENCYPART_ARC
(18,31),0.162652 # DEPENDENCYPART_ARC
(18,32),0.33671 # DEPENDENCYPART_ARC
(18,33),-2.55107 # DEPENDENCYPART_ARC
(18,34),-1.0316 # DEPENDENCYPART_ARC
(18,35),0.78285 # DEPENDENCYPART_ARC
(19,1),-2.93442 # DEPENDENCYPART_ARC
(19,2),-3.38122 # DEPENDENCYPART_ARC
(19,3),-3.42065 # DEPENDENCYPART_ARC
(19,4),-2.76888 # DEPENDENCYPART_ARC
(19,5),-3.03904 # DEPENDENCYPART_ARC
(19,6),-2.2971 # DEPENDENCYPART_ARC
(19,7),-2.69929 # DEPENDENCYPART_ARC
(19,8),-2.08338 # DEPENDENCYPART_ARC
(19,9),-2.18399 # DEPENDENCYPART_ARC
(19,10),-2.21418 # DEPENDENCYPART_ARC
(19,11),-2.19916 # DEPENDENCYPART_ARC
(19,12),-2.17639 # DEPENDENCYPART_ARC
(19,13),-2.44154 # DEPENDENCYPART_ARC
(19,14),-1.02572 # DEPENDENCYPART_ARC
(19,15),-1.80777 # DEPENDENCYPART_ARC
(19,16),-1.54666 # DEPENDENCYPART_ARC
(19,17),-1.92046 # DEPENDENCYPART_ARC
(19,18),-1.36716 # DEPENDENCYPART_ARC
(19,20),-0.313528 # DEPENDENCYPART_ARC
(19,21),-1.08031 # DEPENDENCYPART_ARC
(19,22),-1.52852 # DEPENDENCYPART_ARC
(19,23),-1.31529 # DEPENDENCYPART_ARC
(19,24),-1.911 # DEPENDENCYPART_ARC
(19,25),-2.25716 # DEPENDENCYPART_ARC
(19,26),-2.3529 # DEPENDENCYPART_ARC
(19,27),-2.4922 # DEPENDENCYPART_ARC
(19,28),-2.64217 # DEPENDENCYPART_ARC
(19,29),-1.59699 # DEPENDENCYPART_ARC
(19,30),-2.45719 # DEPENDENCYPART_ARC
(19,31),-2.6208 # DEPENDENCYPART_ARC
(19,32),-2.10033 # DEPENDENCYPART_ARC
(19,33),-2.81015 # DEPENDENCYPART_ARC
(19,34),-2.91045 # DEPENDENCYPART_ARC
(19,35),-2.27132 # DEPENDENCYPART_ARC
(20,1),-2.49659 # DEPENDENCYPART_ARC
(20,2),-2.8328 # DEPENDENCYPART_ARC
(20,3),-2.52618 # DEPENDENCYPART_ARC
(20,4),-1.99047 # DEPENDENCYPART_ARC
(20,5),-2.42348 # DEPENDENCYPART_ARC
(20,6),-1.64532 # DEPENDENCYPART_ARC
(20,7),-1.83896 # DEPENDENCYPART_ARC
(20,8),-0.939865 # DEPENDENCYPART_ARC
(20,9),-1.83481 # DEPENDENCYPART_ARC
(20,10),-1.62817 # DEPENDENCYPART_ARC
(20,11),-1.61102 # DEPENDENCYPART_ARC
(20,12),-0.277068 # DEPENDENCYPART_ARC
(20,13),-1.69604 # DEPENDENCYPART_ARC
(20,14),-0.775547 # DEPENDENCYPART_ARC
(20,15),-0.705955 # DEPENDENCYPART_ARC
(20,16),-1.14722 # DEPENDENCYPART_ARC
(20,17),1.27754 # DEPENDENCYPART_ARC
(20,18),0.762916 # DEPENDENCYPART_ARC
(20,19),1.31651 # DEPENDENCYPART_ARC
(20,21),1.46348 # DEPENDENCYPART_ARC
(20,22),0.248491 # DEPENDENCYPART_ARC
(20,23),-0.114191 # DEPENDENCYPART_ARC
(20,24),-1.16918 # DEPENDENCYPART_ARC
(20,25),-0.732707 # DEPENDENCYPART_ARC
(20,26),-1.1049 # DEPENDENCYPART_ARC
(20,27),-1.36998 # DEPENDENCYPART_ARC
(20,28),-1.65276 # DEPENDENCYPART_ARC
(20,29),-0.447276 # DEPENDENCYPART_ARC
(20,30),-1.64262 # DEPENDENCYPART_ARC
(20,31),-1.76519 # DEPENDENCYPART_ARC
(20,32),-0.78848 # DEPENDENCYPART_ARC
(20,33),-1.93928 # DEPENDENCYPART_ARC
(20,34),-2.09836 # DEPENDENCYPART_ARC
(20,35),-0.728669 # DEPENDENCYPART_ARC
(21,1),-2.03526 # DEPENDENCYPART_ARC
(21,2),-2.4943 # DEPENDENCYPART_ARC
(21,3),-2.98023 # DEPENDENCYPART_ARC
(21,4),-2.44305 # DEPENDENCYPART_ARC
(21,5),-2.77253 # DEPENDENCYPART_ARC
(21,6),-3.44063 # DEPENDENCYPART_ARC
(21,7),-2.18209 # DEPENDENCYPART_ARC
(21,8),-1.02727 # DEPENDENCYPART_ARC
(21,9),-1.97143 # DEPENDENCYPART_ARC
(21,10),-3.68624 # DEPENDENCYPART_ARC
(21,11),-1.75937 # DEPENDENCYPART_ARC
(21,12),-0.257329 # DEPENDENCYPART_ARC
(21,13),-1.92086 # DEPENDENCYPART_ARC
(21,14),-0.956212 # DEPENDENCYPART_ARC
(21,15),-0.604518 # DEPENDENCYPART_ARC
(21,16),-1.10161 # DEPENDENCYPART_ARC
(21,17),1.45978 # DEPENDENCYPART_ARC
(21,18),0.36117 # DEPENDENCYPART_ARC
(21,19),0.799306 # DEPENDENCYPART_ARC
(21,20),2.3305 # DEPENDENCYPART_ARC
(21,22),0.669344 # DEPENDENCYPART_ARC
(21,23),-0.669034 # DEPENDENCYPART_ARC
(21,24),-1.12087 # DEPENDENCYPART_ARC
(21,25),-0.840024 # DEPENDENCYPART_ARC
(21,26),-1.11287 # DEPENDENCYPART_ARC
(21,27),-1.14599 # DEPENDENCYPART_ARC
(21,28),-1.42894 # DEPENDENCYPART_ARC
(21,29),-1.04124 # DEPENDENCYPART_ARC
(21,30),-1.83984 # DEPENDENCYPART_ARC
(21,31),-1.67567 # DEPENDENCYPART_ARC
(21,32),-1.56164 # DEPENDENCYPART_ARC
(21,33),-2.57044 # DEPENDENCYPART_ARC
(21,34),-2.32409 # DEPENDENCYPART_ARC
(21,35),-0.370764 # DEPENDENCYPART_ARC
(22,1),-0.990087 # DEPENDENCYPART_ARC
(22,2),-1.56414 # DEPENDENCYPART_ARC
(22,3),-2.09009 # DEPENDENCYPART_ARC
(22,4),-1.039 # DEPENDENCYPART_ARC
(22,5),-1.16684 # DEPENDENCYPART_ARC
(22,6),-3.13443 # DEPENDENCYPART_ARC
(22,7),-1.40301 # DEPENDENCYPART_ARC
(22,8),0.60918 # DEPENDENCYPART_ARC
(22,9),0.45368 # DEPENDENCYPART_ARC
(22,10),-1.88396 # DEPENDENCYPART_ARC
(22,11),-1.3897 # DEPENDENCYPART_ARC
(22,12),1.08364 # DEPENDENCYPART_ARC
(22,13),-0.376602 # DEPENDENCYPART_ARC
(22,14),-0.328406 # DEPENDENCYPART_ARC
(22,15),0.567585 # DEPENDENCYPART_ARC
(22,16),-0.430619 # DEPENDENCYPART_ARC
(22,17),2.48092 # DEPENDENCYPART_ARC
(22,18),1.07428 # DEPENDENCYPART_ARC
(22,19),1.47381 # DEPENDENCYPART_ARC
(22,20),4.18925 # DEPENDENCYPART_ARC
(22,21),4.4324 # DEPENDENCYPART_ARC
(22,23),2.7343 # DEPENDENCYPART_ARC
(22,24),0.450505 # DEPENDENCYPART_ARC
(22,25),1.43709 # DEPENDENCYPART_ARC
(22,26),0.926618 # DEPENDENCYPART_ARC
(22,27),0.781614 # DEPENDENCYPART_ARC
(22,28),0.63231 # DEPENDENCYPART_ARC
(22,29),3.11513 # DEPENDENCYPART_ARC
(22,30),0.160422 # DEPENDENCYPART_ARC
(22,31),0.385576 # DEPENDENCYPART_ARC
(22,32),1.06574 # DEPENDENCYPART_ARC
(22,33),-0.386432 # DEPENDENCYPART_ARC
(22,34),-0.394855 # DEPENDENCYPART_ARC
(22,35),1.6819 # DEPENDENCYPART_ARC
(23,1),-1.33441 # DEPENDENCYPART_ARC
(23,2),-3.20674 # DEPENDENCYPART_ARC
(23,3),-3.03109 # DEPENDENCYPART_ARC
(23,4),-2.54552 # DEPENDENCYPART_ARC
(23,5),-2.19644 # DEPENDENCYPART_ARC
(23,6),-2.41219 # DEPENDENCYPART_ARC
(23,7),-2.3809 # DEPENDENCYPART_ARC
(23,8),-1.72895 # DEPENDENCYPART_ARC
(23,9),-2.76726 # DEPENDENCYPART_ARC
(23,10),-2.63911 # DEPENDENCYPART_ARC
(23,11),-1.84852 # DEPENDENCYPART_ARC
(23,12),-1.71123 # DEPENDENCYPART_ARC
(23,13),-1.79541 # DEPENDENCYPART_ARC
(23,14),-1.28643 # DEPENDENCYPART_ARC
(23,15),-1.34439 # DEPENDENCYPART_ARC
(23,16),-1.21802 # DEPENDENCYPART_ARC
(23,17),-1.09077 # DEPENDENCYPART_ARC
(23,18),-1.28038 # DEPENDENCYPART_ARC
(23,19),-0.478419 # DEPENDENCYPART_ARC
(23,20),-0.368158 # DEPENDENCYPART_ARC
(23,21),-0.840398 # DEPENDENCYPART_ARC
(23,22),-0.0603058 # DEPENDENCYPART_ARC
(23,24),0.551389 # DEPENDENCYPART_ARC
(23,25),2.31389 # DEPENDENCYPART_ARC
(23,26),1.93367 # DEPENDENCYPART_ARC
(23,27),1.07168 # DEPENDENCYPART_ARC
(23,28),1.5335 # DEPENDENCYPART_ARC
(23,29),0.499868 # DEPENDENCYPART_ARC
(23,30),-2.06714 # DEPENDENCYPART_ARC
(23,31),-0.172561 # DEPENDENCYPART_ARC
(23,32),-0.0763083 # DEPENDENCYPART_ARC
(23,33),-3.63052 # DEPENDENCYPART_ARC
(23,34),-4.13162 # DEPENDENCYPART_ARC
(23,35),0.02657 # DEPENDENCYPART_ARC
(24,1),-5.12974 # DEPENDENCYPART_ARC
(24,2),-4.55786 # DEPENDENCYPART_ARC
(24,3),-4.76003 # DEPENDENCYPART_ARC
(24,4),-4.5028 # DEPENDENCYPART_ARC
(24,5),-4.78099 # DEPENDENCYPART_ARC
(24,6),-4.33126 # DEPENDENCYPART_ARC
(24,7),-4.14728 # DEPENDENCYPART_ARC
(24,8),-3.72983 # DEPENDENCYPART_ARC
(24,9),-4.65933 # DEPENDENCYPART_ARC
(24,10),-4.63023 # DEPENDENCYPART_ARC
(24,11),-3.94331 # DEPENDENCYPART_ARC
(24,12),-3.86955 # DEPENDENCYPART_ARC
(24,13),-3.95636 # DEPENDENCYPART_ARC
(24,14),-3.50007 # DEPENDENCYPART_ARC
(24,15),-3.74001 # DEPENDENCYPART_ARC
(24,16),-3.36012 # DEPENDENCYPART_ARC
(24,17),-3.3039 # DEPENDENCYPART_ARC
(24,18),-3.1757 # DEPENDENCYPART_ARC
(24,19),-2.78667 # DEPENDENCYPART_ARC
(24,20),-2.59424 # DEPENDENCYPART_ARC
(24,21),-2.65347 # DEPENDENCYPART_ARC
(24,22),-2.67774 # DEPENDENCYPART_ARC
(24,23),-1.37516 # DEPENDENCYPART_ARC
(24,25),0.1024 # DEPENDENCYPART_ARC
(24,26),-0.787573 # DEPENDENCYPART_ARC
(24,27),-1.13075 # DEPENDENCYPART_ARC
(24,28),-1.47613 # DEPENDENCYPART_ARC
(24,29),-2.29022 # DEPENDENCYPART_ARC
(24,30),-2.56849 # DEPENDENCYPART_ARC
(24,31),-2.61222 # DEPENDENCYPART_ARC
(24,32),-1.89097 # DEPENDENCYPART_ARC
(24,33),-2.82239 # DEPENDENCYPART_ARC
(24,34),-2.84666 # DEPENDENCYPART_ARC
(24,35),-2.73713 # DEPENDENCYPART_ARC
(25,1),-4.78362 # DEPENDENCYPART_ARC
(25,2),-5.06008 # DEPENDENCYPART_ARC
(25,3),-5.44047 # DEPENDENCYPART_ARC
(25,4),-6.6235 # DEPENDENCYPART_ARC
(25,5),-5.51243 # DEPENDENCYPART_ARC
(25,6),-6.01479 # DEPENDENCYPART_ARC
(25,7),-4.71569 # DEPENDENCYPART_ARC
(25,8),-4.25971 # DEPENDENCYPART_ARC
(25,9),-5.3252 # DEPENDENCYPART_ARC
(25,10),-6.73962 # DEPENDENCYPART_ARC
(25,11),-4.10043 # DEPENDENCYPART_ARC
(25,12),-3.88679 # DEPENDENCYPART_ARC
(25,13),-4.763 # DEPENDENCYPART_ARC
(25,14),-3.39174 # DEPENDENCYPART_ARC
(25,15),-2.845 # DEPENDENCYPART_ARC
(25,16),-3.73349 # DEPENDENCYPART_ARC
(25,17),-3.54746 # DEPENDENCYPART_ARC
(25,18),-4.4118 # DEPENDENCYPART_ARC
(25,19),-2.42676 # DEPENDENCYPART_ARC
(25,20),-2.14374 # DEPENDENCYPART_ARC
(25,21),-2.56603 # DEPENDENCYPART_ARC
(25,22),-3.22105 # DEPENDENCYPART_ARC
(25,23),-0.814943 # DEPENDENCYPART_ARC
(25,24),2.23401 # DEPENDENCYPART_ARC
(25,26),0.896064 # DEPENDENCYPART_ARC
(25,27),0.376049 # DEPENDENCYPART_ARC
(25,28),-0.113886 # DEPENDENCYPART_ARC
(25,29),-0.0455594 # DEPENDENCYPART_ARC
(25,30),-0.834626 # DEPENDENCYPART_ARC
(25,31),-0.92007 # DEPENDENCYPART_ARC
(25,32),-0.807011 # DEPENDENCYPART_ARC
(25,33),-1.62381 # DEPENDENCYPART_ARC
(25,34),-1.60167 # DEPENDENCYPART_ARC
(25,35),-0.359733 # DEPENDENCYPART_ARC
(26,1),-2.92184 # DEPENDENCYPART_ARC
(26,2),-3.50448 # DEPENDENCYPART_ARC
(26,3),-4.11069 # DEPENDENCYPART_ARC
(26,4),-4.62488 # DEPENDENCYPART_ARC
(26,5),-3.90579 # DEPENDENCYPART_ARC
(26,6),-4.97565 # DEPENDENCYPART_ARC
(26,7),-3.33791 # DEPENDENCYPART_ARC
(26,8),-2.62502 # DEPENDENCYPART_ARC
(26,9),-3.34711 # DEPENDENCYPART_ARC
(26,10),-5.34922 # DEPENDENCYPART_ARC
(26,11),-2.91058 # DEPENDENCYPART_ARC
(26,12),-2.66572 # DEPENDENCYPART_ARC
(26,13),-3.04157 # DEPENDENCYPART_ARC
(26,14),-2.31045 # DEPENDENCYPART_ARC
(26,15),-1.39712 # DEPENDENCYPART_ARC
(26,16),-2.52541 # DEPENDENCYPART_ARC
(26,17),-1.68394 # DEPENDENCYPART_ARC
(26,18),-2.89817 # DEPENDENCYPART_ARC
(26,19),-1.06583 # DEPENDENCYPART_ARC
(26,20),-0.896349 # DEPENDENCYPART_ARC
(26,21),-0.748807 # DEPENDENCYPART_ARC
(26,22),-1.95013 # DEPENDENCYPART_ARC
(26,23),0.0805377 # DEPENDENCYPART_ARC
(26,24),3.11791 # DEPENDENCYPART_ARC
(26,25),2.86181 # DEPENDENCYPART_ARC
(26,27),1.03243 # DEPENDENCYPART_ARC
(26,28),0.502961 # DEPENDENCYPART_ARC
(26,29),0.0558405 # DEPENDENCYPART_ARC
(26,30),-0.597823 # DEPENDENCYPART_ARC
(26,31),-0.449805 # DEPENDENCYPART_ARC
(26,32),-0.174509 # DEPENDENCYPART_ARC
(26,33),-1.40776 # DEPENDENCYPART_ARC
(26,34),-1.59463 # DEPENDENCYPART_ARC
(26,35),-0.128154 # DEPENDENCYPART_ARC
(27,1),-2.93789 # DEPENDENCYPART_ARC
(27,2),-3.00009 # DEPENDENCYPART_ARC
(27,3),-3.81826 # DEPENDENCYPART_ARC
(27,4),-4.67418 # DEPENDENCYPART_ARC
(27,5),-3.50402 # DEPENDENCYPART_ARC
(27,6),-4.93486 # DEPENDENCYPART_ARC
(27,7),-3.09979 # DEPENDENCYPART_ARC
(27,8),-1.88223 # DEPENDENCYPART_ARC
(27,9),-1.92354 # DEPENDENCYPART_ARC
(27,10),-4.11885 # DEPENDENCYPART_ARC
(27,11),-2.57463 # DEPENDENCYPART_ARC
(27,12),-1.60655 # DEPENDENCYPART_ARC
(27,13),-2.75458 # DEPENDENCYPART_ARC
(27,14),-1.65586 # DEPENDENCYPART_ARC
(27,15),-0.917309 # DEPENDENCYPART_ARC
(27,16),-2.51936 # DEPENDENCYPART_ARC
(27,17),-1.44673 # DEPENDENCYPART_ARC
(27,18),-2.59812 # DEPENDENCYPART_ARC
(27,19),-0.564931 # DEPENDENCYPART_ARC
(27,20),-0.0206372 # DEPENDENCYPART_ARC
(27,21),-0.438126 # DEPENDENCYPART_ARC
(27,22),-1.23789 # DEPENDENCYPART_ARC
(27,23),0.158011 # DEPENDENCYPART_ARC
(27,24),2.46881 # DEPENDENCYPART_ARC
(27,25),2.93846 # DEPENDENCYPART_ARC
(27,26),2.43406 # DEPENDENCYPART_ARC
(27,28),1.07757 # DEPENDENCYPART_ARC
(27,29),-0.0704486 # DEPENDENCYPART_ARC
(27,30),-0.382093 # DEPENDENCYPART_ARC
(27,31),-0.42479 # DEPENDENCYPART_ARC
(27,32),-0.187401 # DEPENDENCYPART_ARC
(27,33),-1.30252 # DEPENDENCYPART_ARC
(27,34),-1.43816 # DEPENDENCYPART_ARC
(27,35),0.508424 # DEPENDENCYPART_ARC
(28,1),-1.25172 # DEPENDENCYPART_ARC
(28,2),-1.99362 # DEPENDENCYPART_ARC
(28,3),-2.62066 # DEPENDENCYPART_ARC
(28,4),-2.39798 # DEPENDENCYPART_ARC
(28,5),-1.84992 # DEPENDENCYPART_ARC
(28,6),-4.15049 # DEPENDENCYPART_ARC
(28,7),-2.21899 # DEPENDENCYPART_ARC
(28,8),-1.14968 # DEPENDENCYPART_ARC
(28,9),-0.850763 # DEPENDENCYPART_ARC
(28,10),-3.16772 # DEPENDENCYPART_ARC
(28,11),-1.71558 # DEPENDENCYPART_ARC
(28,12),-0.293894 # DEPENDENCYPART_ARC
(28,13),-0.931353 # DEPENDENCYPART_ARC
(28,14),-1.11979 # DEPENDENCYPART_ARC
(28,15),0.597767 # DEPENDENCYPART_ARC
(28,16),-1.46585 # DEPENDENCYPART_ARC
(28,17),-0.537321 # DEPENDENCYPART_ARC
(28,18),-1.52626 # DEPENDENCYPART_ARC
(28,19),0.0155642 # DEPENDENCYPART_ARC
(28,20),1.64832 # DEPENDENCYPART_ARC
(28,21),0.895818 # DEPENDENCYPART_ARC
(28,22),-0.795355 # DEPENDENCYPART_ARC
(28,23),0.928001 # DEPENDENCYPART_ARC
(28,24),4.82103 # DEPENDENCYPART_ARC
(28,25),4.1633 # DEPENDENCYPART_ARC
(28,26),3.56335 # DEPENDENCYPART_ARC
(28,27),4.36996 # DEPENDENCYPART_ARC
(28,29),2.66348 # DEPENDENCYPART_ARC
(28,30),0.6447 # DEPENDENCYPART_ARC
(28,31),0.869487 # DEPENDENCYPART_ARC
(28,32),1.32591 # DEPENDENCYPART_ARC
(28,33),-0.0556837 # DEPENDENCYPART_ARC
(28,34),-0.281088 # DEPENDENCYPART_ARC
(28,35),0.925091 # DEPENDENCYPART_ARC
(29,1),-1.64649 # DEPENDENCYPART_ARC
(29,2),-3.53948 # DEPENDENCYPART_ARC
(29,3),-3.46161 # DEPENDENCYPART_ARC
(29,4),-3.37852 # DEPENDENCYPART_ARC
(29,5),-3.53932 # DEPENDENCYPART_ARC
(29,6),-2.81674 # DEPENDENCYPART_ARC
(29,7),-2.77969 # DEPENDENCYPART_ARC
(29,8),-2.20125 # DEPENDENCYPART_ARC
(29,9),-3.25197 # DEPENDENCYPART_ARC
(29,10),-3.18541 # DEPENDENCYPART_ARC
(29,11),-1.90347 # DEPENDENCYPART_ARC
(29,12),-1.96599 # DEPENDENCYPART_ARC
(29,13),-2.76616 # DEPENDENCYPART_ARC
(29,14),-1.90618 # DEPENDENCYPART_ARC
(29,15),-2.12558 # DEPENDENCYPART_ARC
(29,16),-2.1584 # DEPENDENCYPART_ARC
(29,17),-2.03801 # DEPENDENCYPART_ARC
(29,18),-2.18417 # DEPENDENCYPART_ARC
(29,19),-1.13737 # DEPENDENCYPART_ARC
(29,20),-1.07407 # DEPENDENCYPART_ARC
(29,21),-1.44171 # DEPENDENCYPART_ARC
(29,22),-1.16544 # DEPENDENCYPART_ARC
(29,23),-0.213569 # DEPENDENCYPART_ARC
(29,24),-0.504228 # DEPENDENCYPART_ARC
(29,25),-0.246435 # DEPENDENCYPART_ARC
(29,26),-0.428581 # DEPENDENCYPART_ARC
(29,27),-0.585512 # DEPENDENCYPART_ARC
(29,28),0.133365 # DEPENDENCYPART_ARC
(29,30),2.7381 # DEPENDENCYPART_ARC
(29,31),3.39237 # DEPENDENCYPART_ARC
(29,32),0.671246 # DEPENDENCYPART_ARC
