# _root_ DPC Acquisition Partners , a hostile suitor for Dataproducts Corp. , said it intends to launch a tender offer for the computer printer maker 's common stock .
#goldHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
#predictedHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
(18,22),-0.147975 # DEPENDENCYPART_ARC
(18,23),-0.169039 # DEPENDENCYPART_ARC
(18,24),-0.59344 # DEPENDENCYPART_ARC
(18,25),-0.390804 # DEPENDENCYPART_ARC
(18,26),-0.630897 # DEPENDENCYPART_ARC
(18,27),-1.12494 # DEPENDENCYPART_ARC
(18,28),-0.749243 # DEPENDENCYPART_ARC
(19,1),-5.82839 # DEPENDENCYPART_ARC
(19,2),-5.92543 # DEPENDENCYPART_ARC
(19,3),-6.9294 # DEPENDENCYPART_ARC
(19,4),-2.18119 # DEPENDENCYPART_ARC
(19,5),-1.22365 # DEPENDENCYPART_ARC
(19,6),-1.32421 # DEPENDENCYPART_ARC
(19,7),-3.91019 # DEPENDENCYPART_ARC
(19,8),-0.533798 # DEPENDENCYPART_ARC
(19,9),-2.17103 # DEPENDENCYPART_ARC
(19,10),-3.63297 # DEPENDENCYPART_ARC
(19,11),-1.34111 # DEPENDENCYPART_ARC
(19,12),-0.397373 # DEPENDENCYPART_ARC
(19,13),0.256539 # DEPENDENCYPART_ARC
(19,14),-0.044676 # DEPENDENCYPART_ARC
(19,15),-0.325298 # DEPENDENCYPART_ARC
(19,16),0.625855 # DEPENDENCYPART_ARC
(19,17),4.6142 # DEPENDENCYPART_ARC
(19,18),4.50137 # DEPENDENCYPART_ARC
(19,20),3.538 # DEPENDENCYPART_ARC
(19,21),0.272544 # DEPENDENCYPART_ARC
(19,22),1.27609 # DEPENDENCYPART_ARC
(19,23),1.0036 # DEPENDENCYPART_ARC
(19,24),0.505991 # DEPENDENCYPART_ARC
(19,25),0.634275 # DEPENDENCYPART_ARC
(19,26),0.287055 # DEPENDENCYPART_ARC
(19,27),-0.220984 # DEPENDENCYPART_ARC
(19,28),0.744521 # DEPENDENCYPART_ARC
(20,1),-2.89426 # DEPENDENCYPART_ARC
(20,2),-2.84777 # DEPENDENCYPART_ARC
(20,3),-2.93091 # DEPENDENCYPART_ARC
(20,4),-2.31505 # DEPENDENCYPART_ARC
(20,5),-2.1306 # DEPENDENCYPART_ARC
(20,6),-2.44919 # DEPENDENCYPART_ARC
(20,7),-2.97569 # DEPENDENCYPART_ARC
(20,8),-1.43089 # DEPENDENCYPART_ARC
(20,9),-1.95458 # DEPENDENCYPART_ARC
(20,10),-1.89716 # DEPENDENCYPART_ARC
(20,11),-1.27904 # DEPENDENCYPART_ARC
(20,12),-1.60095 # DEPENDENCYPART_ARC
(20,13),-1.45982 # DEPENDENCYPART_ARC
(20,14),-0.893813 # DEPENDENCYPART_ARC
(20,15),-1.17772 # DEPENDENCYPART_ARC
(20,16),-0.871669 # DEPENDENCYPART_ARC
(20,17),0.00776269 # DEPENDENCYPART_ARC
(20,18),-0.578539 # DEPENDENCYPART_ARC
(20,19),-0.405213 # DEPENDENCYPART_ARC
(20,21),0.275146 # DEPENDENCYPART_ARC
(20,22),1.98742 # DEPENDENCYPART_ARC
(20,23),1.58851 # DEPENDENCYPART_ARC
(20,24),0.710745 # DEPENDENCYPART_ARC
(20,25),-0.792141 # DEPENDENCYPART_ARC
(20,26),-0.516665 # DEPENDENCYPART_ARC
(20,27),0.858392 # DEPENDENCYPART_ARC
(20,28),-1.35605 # DEPENDENCYPART_ARC
(21,1),-4.66175 # DEPENDENCYPART_ARC
(21,2),-4.51148 # DEPENDENCYPART_ARC
(21,3),-4.36896 # DEPENDENCYPART_ARC
(21,4),-4.01841 # DEPENDENCYPART_ARC
(21,5),-3.80706 # DEPENDENCYPART_ARC
(21,6),-3.96381 # DEPENDENCYPART_ARC
(21,7),-4.38212 # DEPENDENCYPART_ARC
(21,8),-3.46902 # DEPENDENCYPART_ARC
(21,9),-3.77856 # DEPENDENCYPART_ARC
(21,10),-3.69958 # DEPENDENCYPART_ARC
(21,11),-3.28361 # DEPENDENCYPART_ARC
(21,12),-3.23105 # DEPENDENCYPART_ARC
(21,13),-2.94365 # DEPENDENCYPART_ARC
(21,14),-3.09904 # DEPENDENCYPART_ARC
(21,15),-2.88013 # DEPENDENCYPART_ARC
(21,16),-2.47812 # DEPENDENCYPART_ARC
(21,17),-1.89749 # DEPENDENCYPART_ARC
(21,18),-2.41145 # DEPENDENCYPART_ARC
(21,19),-2.46128 # DEPENDENCYPART_ARC
(21,20),-1.1187 # DEPENDENCYPART_ARC
(21,22),0.533103 # DEPENDENCYPART_ARC
(21,23),-0.344546 # DEPENDENCYPART_ARC
(21,24),-0.677606 # DEPENDENCYPART_ARC
(21,25),-1.81131 # DEPENDENCYPART_ARC
(21,26),-1.49002 # DEPENDENCYPART_ARC
(21,27),-1.53281 # DEPENDENCYPART_ARC
(21,28),-1.87004 # DEPENDENCYPART_ARC
(22,1),-11.1515 # DEPENDENCYPART_ARC
(22,2),-10.8303 # DEPENDENCYPART_ARC
(22,3),-11.4286 # DEPENDENCYPART_ARC
(22,4),-5.03409 # DEPENDENCYPART_ARC
(22,5),-6.90512 # DEPENDENCYPART_ARC
(22,6),-6.40781 # DEPENDENCYPART_ARC
(22,7),-8.65913 # DEPENDENCYPART_ARC
(22,8),-3.05918 # DEPENDENCYPART_ARC
(22,9),-7.4797 # DEPENDENCYPART_ARC
(22,10),-8.61697 # DEPENDENCYPART_ARC
(22,11),-4.34669 # DEPENDENCYPART_ARC
(22,12),-3.42256 # DEPENDENCYPART_ARC
(22,13),-3.026 # DEPENDENCYPART_ARC
(22,14),-3.35207 # DEPENDENCYPART_ARC
(22,15),-3.51461 # DEPENDENCYPART_ARC
(22,16),-3.17053 # DEPENDENCYPART_ARC
(22,17),-1.34719 # DEPENDENCYPART_ARC
(22,18),-2.29642 # DEPENDENCYPART_ARC
(22,19),-3.17203 # DEPENDENCYPART_ARC
(22,20),-0.968109 # DEPENDENCYPART_ARC
(22,21),2.37669 # DEPENDENCYPART_ARC
(22,23),0.796582 # DEPENDENCYPART_ARC
(22,24),0.0541664 # DEPENDENCYPART_ARC
(22,25),0.520775 # DEPENDENCYPART_ARC
(22,26),-0.468489 # DEPENDENCYPART_ARC
(22,27),-0.872832 # DEPENDENCYPART_ARC
(22,28),-1.16611 # DEPENDENCYPART_ARC
(23,1),-9.43504 # DEPENDENCYPART_ARC
(23,2),-9.66137 # DEPENDENCYPART_ARC
(23,3),-10.2382 # DEPENDENCYPART_ARC
(23,4),-3.8699 # DEPENDENCYPART_ARC
(23,5),-5.09696 # DEPENDENCYPART_ARC
(23,6),-4.59802 # DEPENDENCYPART_ARC
(23,7),-7.09448 # DEPENDENCYPART_ARC
(23,8),-1.91853 # DEPENDENCYPART_ARC
(23,9),-6.09961 # DEPENDENCYPART_ARC
(23,10),-7.46325 # DEPENDENCYPART_ARC
(23,11),-3.15167 # DEPENDENCYPART_ARC
(23,12),-2.62623 # DEPENDENCYPART_ARC
(23,13),-1.54284 # DEPENDENCYPART_ARC
(23,14),-1.96056 # DEPENDENCYPART_ARC
(23,15),-2.58369 # DEPENDENCYPART_ARC
(23,16),-1.86763 # DEPENDENCYPART_ARC
(23,17),-0.461625 # DEPENDENCYPART_ARC
(23,18),-0.479916 # DEPENDENCYPART_ARC
(23,19),-2.0021 # DEPENDENCYPART_ARC
(23,20),-0.177974 # DEPENDENCYPART_ARC
(23,21),2.76603 # DEPENDENCYPART_ARC
(23,22),2.65244 # DEPENDENCYPART_ARC
(23,24),1.01328 # DEPENDENCYPART_ARC
(23,25),1.94257 # DEPENDENCYPART_ARC
(23,26),0.119704 # DEPENDENCYPART_ARC
(23,27),-0.446379 # DEPENDENCYPART_ARC
(23,28),-0.553409 # DEPENDENCYPART_ARC
(24,1),-7.12921 # DEPENDENCYPART_ARC
(24,2),-7.16227 # DEPENDENCYPART_ARC
(24,3),-8.13724 # DEPENDENCYPART_ARC
(24,4),-3.23429 # DEPENDENCYPART_ARC
(24,5),-1.66677 # DEPENDENCYPART_ARC
(24,6),-1.62215 # DEPENDENCYPART_ARC
(24,7),-4.69804 # DEPENDENCYPART_ARC
(24,8),-0.449918 # DEPENDENCYPART_ARC
(24,9),-3.74076 # DEPENDENCYPART_ARC
(24,10),-5.26607 # DEPENDENCYPART_ARC
(24,11),-2.07106 # DEPENDENCYPART_ARC
(24,12),-1.04456 # DEPENDENCYPART_ARC
(24,13),0.0467223 # DEPENDENCYPART_ARC
(24,14),-0.127682 # DEPENDENCYPART_ARC
(24,15),-1.15419 # DEPENDENCYPART_ARC
(24,16),-0.276595 # DEPENDENCYPART_ARC
(24,17),2.35699 # DEPENDENCYPART_ARC
(24,18),1.84974 # DEPENDENCYPART_ARC
(24,19),0.344724 # DEPENDENCYPART_ARC
(24,20),0.977042 # DEPENDENCYPART_ARC
(24,21),5.24335 # DEPENDENCYPART_ARC
(24,22),4.95264 # DEPENDENCYPART_ARC
(24,23),4.86833 # DEPENDENCYPART_ARC
(24,25),4.4594 # DEPENDENCYPART_ARC
(24,26),1.29382 # DEPENDENCYPART_ARC
(24,27),0.247511 # DEPENDENCYPART_ARC
(24,28),0.212381 # DEPENDENCYPART_ARC
(25,1),-2.99606 # DEPENDENCYPART_ARC
(25,2),-2.91877 # DEPENDENCYPART_ARC
(25,3),-2.846 # DEPENDENCYPART_ARC
(25,4),-2.49215 # DEPENDENCYPART_ARC
(25,5),-2.56363 # DEPENDENCYPART_ARC
(25,6),-2.50342 # DEPENDENCYPART_ARC
(25,7),-3.56417 # DEPENDENCYPART_ARC
(25,8),-3.63622 # DEPENDENCYPART_ARC
(25,9),-2.16887 # DEPENDENCYPART_ARC
(25,10),-2.17675 # DEPENDENCYPART_ARC
(25,11),-1.51929 # DEPENDENCYPART_ARC
(25,12),-2.02348 # DEPENDENCYPART_ARC
(25,13),-1.91541 # DEPENDENCYPART_ARC
(25,14),-1.06848 # DEPENDENCYPART_ARC
(25,15),-1.51648 # DEPENDENCYPART_ARC
(25,16),-0.835011 # DEPENDENCYPART_ARC
(25,17),-0.675766 # DEPENDENCYPART_ARC
(25,18),-1.89298 # DEPENDENCYPART_ARC
(25,19),-1.65214 # DEPENDENCYPART_ARC
(25,20),-1.36508 # DEPENDENCYPART_ARC
(25,21),0.655011 # DEPENDENCYPART_ARC
(25,22),-0.614622 # DEPENDENCYPART_ARC
(25,23),-0.461122 # DEPENDENCYPART_ARC
(25,24),0.255758 # DEPENDENCYPART_ARC
(25,26),0.133385 # DEPENDENCYPART_ARC
(25,27),-0.772007 # DEPENDENCYPART_ARC
(25,28),-0.829089 # DEPENDENCYPART_ARC
(26,1),-3.5772 # DEPENDENCYPART_ARC
(26,2),-3.86269 # DEPENDENCYPART_ARC
(26,3),-4.25903 # DEPENDENCYPART_ARC
(26,4),-2.39995 # DEPENDENCYPART_ARC
(26,5),-0.973209 # DEPENDENCYPART_ARC
(26,6),-2.14206 # DEPENDENCYPART_ARC
(26,7),-1.71453 # DEPENDENCYPART_ARC
(26,8),-3.19286 # DEPENDENCYPART_ARC
(26,9),-2.40413 # DEPENDENCYPART_ARC
(26,10),-2.89331 # DEPENDENCYPART_ARC
(26,11),-1.93246 # DEPENDENCYPART_ARC
(26,12),-2.46163 # DEPENDENCYPART_ARC
(26,13),-2.38602 # DEPENDENCYPART_ARC
(26,14),-2.06772 # DEPENDENCYPART_ARC
(26,15),-0.863714 # DEPENDENCYPART_ARC
(26,16),-1.38284 # DEPENDENCYPART_ARC
(26,17),0.375436 # DEPENDENCYPART_ARC
(26,18),-0.16701 # DEPENDENCYPART_ARC
(26,19),-0.286833 # DEPENDENCYPART_ARC
(26,20),-1.34663 # DEPENDENCYPART_ARC
(26,21),0.571036 # DEPENDENCYPART_ARC
(26,22),0.322423 # DEPENDENCYPART_ARC
(26,23),0.347504 # DEPENDENCYPART_ARC
(26,24),0.341396 # DEPENDENCYPART_ARC
(26,25),0.782578 # DEPENDENCYPART_ARC
(26,27),1.15853 # DEPENDENCYPART_ARC
(26,28),-0.371899 # DEPENDENCYPART_ARC
(27,1),-7.36119 # DEPENDENCYPART_ARC
(27,2),-7.29442 # DEPENDENCYPART_ARC
(27,3),-8.37133 # DEPENDENCYPART_ARC
(27,4),-3.03206 # DEPENDENCYPART_ARC
(27,5),-4.71666 # DEPENDENCYPART_ARC
(27,6),-2.71988 # DEPENDENCYPART_ARC
(27,7),-5.07444 # DEPENDENCYPART_ARC
(27,8),-1.21173 # DEPENDENCYPART_ARC
(27,9),-4.02856 # DEPENDENCYPART_ARC
(27,10),-5.65053 # DEPENDENCYPART_ARC
(27,11),-2.14039 # DEPENDENCYPART_ARC
(27,12),-1.33643 # DEPENDENCYPART_ARC
(27,13),-0.501643 # DEPENDENCYPART_ARC
(27,14),-0.854006 # DEPENDENCYPART_ARC
(27,15),-2.23145 # DEPENDENCYPART_ARC
(27,16),-1.23368 # DEPENDENCYPART_ARC
(27,17),-0.177027 # DEPENDENCYPART_ARC
(27,18),1.09283 # DEPENDENCYPART_ARC
(27,19),-0.925708 # DEPENDENCYPART_ARC
(27,20),-0.154169 # DEPENDENCYPART_ARC
(27,21),2.28639 # DEPENDENCYPART_ARC
(27,22),3.28495 # DEPENDENCYPART_ARC
(27,23),2.6133 # DEPENDENCYPART_ARC
(27,24),4.02835 # DEPENDENCYPART_ARC
(27,25),1.86297 # DEPENDENCYPART_ARC
(27,26),4.1523 # DEPENDENCYPART_ARC
(27,28),0.221848 # DEPENDENCYPART_ARC
(28,1),-2.80125 # DEPENDENCYPART_ARC
(28,2),-2.98727 # DEPENDENCYPART_ARC
(28,3),-3.03172 # DEPENDENCYPART_ARC
(28,4),-1.4519 # DEPENDENCYPART_ARC
(28,5),-3.167 # DEPENDENCYPART_ARC
(28,6),-3.02134 # DEPENDENCYPART_ARC
(28,7),-2.21971 # DEPENDENCYPART_ARC
(28,8),-3.40913 # DEPENDENCYPART_ARC
(28,9),-2.23386 # DEPENDENCYPART_ARC
(28,10),-2.31347 # DEPENDENCYPART_ARC
(28,11),-0.81703 # DEPENDENCYPART_ARC
(28,12),-0.796422 # DEPENDENCYPART_ARC
(28,13),0.0535936 # DEPENDENCYPART_ARC
(28,14),-2.13673 # DEPENDENCYPART_ARC
(28,15),-1.85926 # DEPENDENCYPART_ARC
(28,16),-1.78352 # DEPENDENCYPART_ARC
(28,17),-1.6895 # DEPENDENCYPART_ARC
(28,18),-1.45828 # DEPENDENCYPART_ARC
(28,19),-1.32341 # DEPENDENCYPART_ARC
(28,20),-1.96863 # DEPENDENCYPART_ARC
(28,21),-0.867635 # DEPENDENCYPART_ARC
(28,22),-1.37383 # DEPENDENCYPART_ARC
(28,23),-1.55828 # DEPENDENCYPART_ARC
(28,24),-1.43105 # DEPENDENCYPART_ARC
(28,25),-0.808066 # DEPENDENCYPART_ARC
(28,26),-1.36214 # DEPENDENCYPART_ARC
(28,27),-1.50109 # DEPENDENCYPART_ARC
