# _root_ `` We did n't trade much today , as our policy now is to wait and see , '' said a fund manager at Taisho Life Insurance Co .
#goldHeads=20,3,20,3,3,5,5,5,5,11,13,11,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
#predictedHeads=20,3,20,3,3,13,5,13,5,11,13,13,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
(18,5),-2.58213 # DEPENDENCYPART_ARC
(18,6),-2.60787 # DEPENDENCYPART_ARC
(18,7),-2.62574 # DEPENDENCYPART_ARC
(18,8),-1.14817 # DEPENDENCYPART_ARC
(18,9),-2.00904 # DEPENDENCYPART_ARC
(18,10),-1.54857 # DEPENDENCYPART_ARC
(18,11),-2.18295 # DEPENDENCYPART_ARC
(18,12),-2.34376 # DEPENDENCYPART_ARC
(18,13),-1.98005 # DEPENDENCYPART_ARC
(18,14),-1.43603 # DEPENDENCYPART_ARC
(18,15),-1.36474 # DEPENDENCYPART_ARC
(18,16),-1.32907 # DEPENDENCYPART_ARC
(18,17),-0.633695 # DEPENDENCYPART_ARC
(18,19),0.512541 # DEPENDENCYPART_ARC
(18,20),0.104345 # DEPENDENCYPART_ARC
(18,21),-0.918288 # DEPENDENCYPART_ARC
(18,22),-1.19738 # DEPENDENCYPART_ARC
(18,23),-1.41588 # DEPENDENCYPART_ARC
(18,24),-0.843597 # DEPENDENCYPART_ARC
(18,25),-1.46736 # DEPENDENCYPART_ARC
(18,26),-1.62342 # DEPENDENCYPART_ARC
(18,27),-1.70965 # DEPENDENCYPART_ARC
(18,28),-1.83151 # DEPENDENCYPART_ARC
(18,29),-1.05736 # DEPENDENCYPART_ARC
(19,1),-0.104538 # DEPENDENCYPART_ARC
(19,2),-2.69156 # DEPENDENCYPART_ARC
(19,3),-2.40041 # DEPENDENCYPART_ARC
(19,4),-2.72746 # DEPENDENCYPART_ARC
(19,5),-2.28027 # DEPENDENCYPART_ARC
(19,6),-2.39594 # DEPENDENCYPART_ARC
(19,7),-2.55896 # DEPENDENCYPART_ARC
(19,8),-1.43982 # DEPENDENCYPART_ARC
(19,9),-1.57392 # DEPENDENCYPART_ARC
(19,10),-1.1664 # DEPENDENCYPART_ARC
(19,11),-1.99588 # DEPENDENCYPART_ARC
(19,12),-1.85367 # DEPENDENCYPART_ARC
(19,13),-1.20679 # DEPENDENCYPART_ARC
(19,14),-1.29278 # DEPENDENCYPART_ARC
(19,15),-1.0611 # DEPENDENCYPART_ARC
(19,16),-0.948151 # DEPENDENCYPART_ARC
(19,17),-0.595128 # DEPENDENCYPART_ARC
(19,18),0.528571 # DEPENDENCYPART_ARC
(19,20),0.12177 # DEPENDENCYPART_ARC
(19,21),-1.24578 # DEPENDENCYPART_ARC
(19,22),-1.18211 # DEPENDENCYPART_ARC
(19,23),-1.44871 # DEPENDENCYPART_ARC
(19,24),-1.52866 # DEPENDENCYPART_ARC
(19,25),-2.1417 # DEPENDENCYPART_ARC
(19,26),-2.28888 # DEPENDENCYPART_ARC
(19,27),-2.44639 # DEPENDENCYPART_ARC
(19,28),-2.52697 # DEPENDENCYPART_ARC
(19,29),-1.59957 # DEPENDENCYPART_ARC
(20,1),4.1842 # DEPENDENCYPART_ARC
(20,2),-0.426012 # DEPENDENCYPART_ARC
(20,3),-0.222176 # DEPENDENCYPART_ARC
(20,4),-2.07576 # DEPENDENCYPART_ARC
(20,5),-0.350257 # DEPENDENCYPART_ARC
(20,6),-1.27255 # DEPENDENCYPART_ARC
(20,7),-1.86964 # DEPENDENCYPART_ARC
(20,8),-1.39269 # DEPENDENCYPART_ARC
(20,9),-1.44336 # DEPENDENCYPART_ARC
(20,10),-0.117122 # DEPENDENCYPART_ARC
(20,11),-0.381525 # DEPENDENCYPART_ARC
(20,12),-1.38437 # DEPENDENCYPART_ARC
(20,13),0.0403622 # DEPENDENCYPART_ARC
(20,14),-0.528904 # DEPENDENCYPART_ARC
(20,15),0.213928 # DEPENDENCYPART_ARC
(20,16),-0.184177 # DEPENDENCYPART_ARC
(20,17),0.705519 # DEPENDENCYPART_ARC
(20,18),3.13962 # DEPENDENCYPART_ARC
(20,19),3.07662 # DEPENDENCYPART_ARC
(20,21),0.858257 # DEPENDENCYPART_ARC
(20,22),0.733688 # DEPENDENCYPART_ARC
(20,23),1.105 # DEPENDENCYPART_ARC
(20,24),0.109609 # DEPENDENCYPART_ARC
(20,25),-0.356108 # DEPENDENCYPART_ARC
(20,26),-0.139908 # DEPENDENCYPART_ARC
(20,27),-0.307454 # DEPENDENCYPART_ARC
(20,28),0.0320716 # DEPENDENCYPART_ARC
(20,29),7.22111 # DEPENDENCYPART_ARC
(21,1),-3.73897 # DEPENDENCYPART_ARC
(21,2),-3.30611 # DEPENDENCYPART_ARC
(21,3),-3.25756 # DEPENDENCYPART_ARC
(21,4),-3.38108 # DEPENDENCYPART_ARC
(21,5),-2.96785 # DEPENDENCYPART_ARC
(21,6),-3.04953 # DEPENDENCYPART_ARC
(21,7),-3.45204 # DEPENDENCYPART_ARC
(21,8),-2.70175 # DEPENDENCYPART_ARC
(21,9),-2.19405 # DEPENDENCYPART_ARC
(21,10),-2.14954 # DEPENDENCYPART_ARC
(21,11),-2.79414 # DEPENDENCYPART_ARC
(21,12),-2.67675 # DEPENDENCYPART_ARC
(21,13),-2.36213 # DEPENDENCYPART_ARC
(21,14),-2.12238 # DEPENDENCYPART_ARC
(21,15),-1.75545 # DEPENDENCYPART_ARC
(21,16),-2.30587 # DEPENDENCYPART_ARC
(21,17),-1.31553 # DEPENDENCYPART_ARC
(21,18),-1.12301 # DEPENDENCYPART_ARC
(21,19),-1.14209 # DEPENDENCYPART_ARC
(21,20),-0.57313 # DEPENDENCYPART_ARC
(21,22),0.994947 # DEPENDENCYPART_ARC
(21,23),0.331474 # DEPENDENCYPART_ARC
(21,24),-0.476824 # DEPENDENCYPART_ARC
(21,25),-0.422976 # DEPENDENCYPART_ARC
(21,26),-0.448471 # DEPENDENCYPART_ARC
(21,27),-0.722215 # DEPENDENCYPART_ARC
(21,28),-0.708372 # DEPENDENCYPART_ARC
(21,29),-1.01609 # DEPENDENCYPART_ARC
(22,1),-3.68725 # DEPENDENCYPART_ARC
(22,2),-3.89742 # DEPENDENCYPART_ARC
(22,3),-3.1762 # DEPENDENCYPART_ARC
(22,4),-6.36013 # DEPENDENCYPART_ARC
(22,5),-3.85889 # DEPENDENCYPART_ARC
(22,6),-5.59573 # DEPENDENCYPART_ARC
(22,7),-7.34042 # DEPENDENCYPART_ARC
(22,8),-3.3464 # DEPENDENCYPART_ARC
(22,9),-2.80711 # DEPENDENCYPART_ARC
(22,10),-2.33784 # DEPENDENCYPART_ARC
(22,11),-4.92929 # DEPENDENCYPART_ARC
(22,12),-3.87473 # DEPENDENCYPART_ARC
(22,13),-2.83853 # DEPENDENCYPART_ARC
(22,14),-2.52969 # DEPENDENCYPART_ARC
(22,15),-2.08947 # DEPENDENCYPART_ARC
(22,16),-1.85926 # DEPENDENCYPART_ARC
(22,17),-1.70602 # DEPENDENCYPART_ARC
(22,18),-1.07922 # DEPENDENCYPART_ARC
(22,19),-1.02139 # DEPENDENCYPART_ARC
(22,20),-1.20565 # DEPENDENCYPART_ARC
(22,21),3.07833 # DEPENDENCYPART_ARC
(22,23),1.411 # DEPENDENCYPART_ARC
(22,24),0.18628 # DEPENDENCYPART_ARC
(22,25),-0.18956 # DEPENDENCYPART_ARC
(22,26),-0.329699 # DEPENDENCYPART_ARC
(22,27),-0.560099 # DEPENDENCYPART_ARC
(22,28),-0.922348 # DEPENDENCYPART_ARC
(22,29),-0.248965 # DEPENDENCYPART_ARC
(23,1),-1.45375 # DEPENDENCYPART_ARC
(23,2),-1.94572 # DEPENDENCYPART_ARC
(23,3),-1.6416 # DEPENDENCYPART_ARC
(23,4),-4.61978 # DEPENDENCYPART_ARC
(23,5),-2.00345 # DEPENDENCYPART_ARC
(23,6),-2.92553 # DEPENDENCYPART_ARC
(23,7),-4.81505 # DEPENDENCYPART_ARC
(23,8),-1.89115 # DEPENDENCYPART_ARC
(23,9),-1.41354 # DEPENDENCYPART_ARC
(23,10),0.518258 # DEPENDENCYPART_ARC
(23,11),-2.26168 # DEPENDENCYPART_ARC
(23,12),-2.57227 # DEPENDENCYPART_ARC
(23,13),-0.965449 # DEPENDENCYPART_ARC
(23,14),-1.23748 # DEPENDENCYPART_ARC
(23,15),-0.338849 # DEPENDENCYPART_ARC
(23,16),-0.331428 # DEPENDENCYPART_ARC
(23,17),-0.193523 # DEPENDENCYPART_ARC
(23,18),0.359697 # DEPENDENCYPART_ARC
(23,19),1.03243 # DEPENDENCYPART_ARC
(23,20),0.181324 # DEPENDENCYPART_ARC
(23,21),4.82875 # DEPENDENCYPART_ARC
(23,22),4.629 # DEPENDENCYPART_ARC
(23,24),2.35413 # DEPENDENCYPART_ARC
(23,25),0.41228 # DEPENDENCYPART_ARC
(23,26),0.583339 # DEPENDENCYPART_ARC
(23,27),0.261657 # DEPENDENCYPART_ARC
(23,28),0.00501453 # DEPENDENCYPART_ARC
(23,29),0.888193 # DEPENDENCYPART_ARC
(24,1),-1.91947 # DEPENDENCYPART_ARC
(24,2),-3.24596 # DEPENDENCYPART_ARC
(24,3),-3.05886 # DEPENDENCYPART_ARC
(24,4),-3.18006 # DEPENDENCYPART_ARC
(24,5),-2.68315 # DEPENDENCYPART_ARC
(24,6),-2.45982 # DEPENDENCYPART_ARC
(24,7),-3.72689 # DEPENDENCYPART_ARC
(24,8),-1.61358 # DEPENDENCYPART_ARC
(24,9),-2.16326 # DEPENDENCYPART_ARC
(24,10),-1.67158 # DEPENDENCYPART_ARC
(24,11),-2.72088 # DEPENDENCYPART_ARC
(24,12),-2.45404 # DEPENDENCYPART_ARC
(24,13),-1.41215 # DEPENDENCYPART_ARC
(24,14),-1.58761 # DEPENDENCYPART_ARC
(24,15),-1.44846 # DEPENDENCYPART_ARC
(24,16),-1.58222 # DEPENDENCYPART_ARC
(24,17),-1.22878 # DEPENDENCYPART_ARC
(24,18),-0.693085 # DEPENDENCYPART_ARC
(24,19),-1.15653 # DEPENDENCYPART_ARC
(24,20),-1.14709 # DEPENDENCYPART_ARC
(24,21),-0.0630728 # DEPENDENCYPART_ARC
(24,22),-0.313168 # DEPENDENCYPART_ARC
(24,23),-0.0703839 # DEPENDENCYPART_ARC
(24,25),2.71242 # DEPENDENCYPART_ARC
(24,26),2.64938 # DEPENDENCYPART_ARC
(24,27),2.71966 # DEPENDENCYPART_ARC
(24,28),0.596794 # DEPENDENCYPART_ARC
(24,29),-0.626624 # DEPENDENCYPART_ARC
(25,1),-5.31567 # DEPENDENCYPART_ARC
(25,2),-5.8527 # DEPENDENCYPART_ARC
(25,3),-6.36873 # DEPENDENCYPART_ARC
(25,4),-6.36605 # DEPENDENCYPART_ARC
(25,5),-5.7852 # DEPENDENCYPART_ARC
(25,6),-6.96811 # DEPENDENCYPART_ARC
(25,7),-8.54782 # DEPENDENCYPART_ARC
(25,8),-6.35093 # DEPENDENCYPART_ARC
(25,9),-5.39449 # DEPENDENCYPART_ARC
(25,10),-3.84975 # DEPENDENCYPART_ARC
(25,11),-6.73473 # DEPENDENCYPART_ARC
(25,12),-5.65223 # DEPENDENCYPART_ARC
(25,13),-5.35119 # DEPENDENCYPART_ARC
(25,14),-5.1623 # DEPENDENCYPART_ARC
(25,15),-4.17602 # DEPENDENCYPART_ARC
(25,16),-4.89777 # DEPENDENCYPART_ARC
(25,17),-4.00316 # DEPENDENCYPART_ARC
(25,18),-4.43386 # DEPENDENCYPART_ARC
(25,19),-3.94098 # DEPENDENCYPART_ARC
(25,20),-3.66544 # DEPENDENCYPART_ARC
(25,21),-2.11284 # DEPENDENCYPART_ARC
(25,22),-1.50014 # DEPENDENCYPART_ARC
(25,23),-2.67346 # DEPENDENCYPART_ARC
(25,24),-1.66431 # DEPENDENCYPART_ARC
(25,26),1.02535 # DEPENDENCYPART_ARC
(25,27),0.832449 # DEPENDENCYPART_ARC
(25,28),0.645037 # DEPENDENCYPART_ARC
(25,29),-0.978046 # DEPENDENCYPART_ARC
(26,1),-4.25519 # DEPENDENCYPART_ARC
(26,2),-5.08819 # DEPENDENCYPART_ARC
(26,3),-5.74577 # DEPENDENCYPART_ARC
(26,4),-5.55234 # DEPENDENCYPART_ARC
(26,5),-5.14146 # DEPENDENCYPART_ARC
(26,6),-6.22733 # DEPENDENCYPART_ARC
(26,7),-8.30866 # DEPENDENCYPART_ARC
(26,8),-6.05157 # DEPENDENCYPART_ARC
(26,9),-4.95029 # DEPENDENCYPART_ARC
(26,10),-2.87535 # DEPENDENCYPART_ARC
(26,11),-5.98594 # DEPENDENCYPART_ARC
(26,12),-5.07053 # DEPENDENCYPART_ARC
(26,13),-4.79958 # DEPENDENCYPART_ARC
(26,14),-4.60599 # DEPENDENCYPART_ARC
(26,15),-3.92127 # DEPENDENCYPART_ARC
(26,16),-4.25484 # DEPENDENCYPART_ARC
(26,17),-3.34043 # DEPENDENCYPART_ARC
(26,18),-3.95973 # DEPENDENCYPART_ARC
(26,19),-3.35653 # DEPENDENCYPART_ARC
(26,20),-3.3533 # DEPENDENCYPART_ARC
(26,21),-1.69738 # DEPENDENCYPART_ARC
(26,22),-0.741895 # DEPENDENCYPART_ARC
(26,23),-2.2761 # DEPENDENCYPART_ARC
(26,24),-1.9886 # DEPENDENCYPART_ARC
(26,25),2.67082 # DEPENDENCYPART_ARC
(26,27),0.390962 # DEPENDENCYPART_ARC
(26,28),1.08319 # DEPENDENCYPART_ARC
(26,29),-0.362792 # DEPENDENCYPART_ARC
(27,1),-1.41041 # DEPENDENCYPART_ARC
(27,2),-2.43986 # DEPENDENCYPART_ARC
(27,3),-3.22199 # DEPENDENCYPART_ARC
(27,4),-3.35431 # DEPENDENCYPART_ARC
(27,5),-2.64413 # DEPENDENCYPART_ARC
(27,6),-3.64252 # DEPENDENCYPART_ARC
(27,7),-5.70172 # DEPENDENCYPART_ARC
(27,8),-3.93863 # DEPENDENCYPART_ARC
(27,9),-2.68508 # DEPENDENCYPART_ARC
(27,10),-0.38894 # DEPENDENCYPART_ARC
(27,11),-3.37252 # DEPENDENCYPART_ARC
(27,12),-2.70376 # DEPENDENCYPART_ARC
(27,13),-2.49343 # DEPENDENCYPART_ARC
(27,14),-2.18072 # DEPENDENCYPART_ARC
(27,15),-1.46692 # DEPENDENCYPART_ARC
(27,16),-2.15787 # DEPENDENCYPART_ARC
(27,17),-0.869255 # DEPENDENCYPART_ARC
(27,18),-1.7451 # DEPENDENCYPART_ARC
(27,19),-0.939566 # DEPENDENCYPART_ARC
(27,20),-0.93193 # DEPENDENCYPART_ARC
(27,21),0.425507 # DEPENDENCYPART_ARC
(27,22),1.76299 # DEPENDENCYPART_ARC
(27,23),0.177125 # DEPENDENCYPART_ARC
(27,24),-0.194076 # DEPENDENCYPART_ARC
(27,25),4.66843 # DEPENDENCYPART_ARC
(27,26),3.80002 # DEPENDENCYPART_ARC
(27,28),3.57836 # DEPENDENCYPART_ARC
(27,29),0.809058 # DEPENDENCYPART_ARC
(28,1),-2.92558 # DEPENDENCYPART_ARC
(28,2),-3.28358 # DEPENDENCYPART_ARC
(28,3),-3.99885 # DEPENDENCYPART_ARC
(28,4),-4.03123 # DEPENDENCYPART_ARC
(28,5),-3.69742 # DEPENDENCYPART_ARC
(28,6),-4.17993 # DEPENDENCYPART_ARC
(28,7),-6.23544 # DEPENDENCYPART_ARC
(28,8),-4.49609 # DEPENDENCYPART_ARC
(28,9),-3.46207 # DEPENDENCYPART_ARC
(28,10),-1.00461 # DEPENDENCYPART_ARC
(28,11),-4.07552 # DEPENDENCYPART_ARC
(28,12),-3.47624 # DEPENDENCYPART_ARC
(28,13),-3.47167 # DEPENDENCYPART_ARC
(28,14),-3.20519 # DEPENDENCYPART_ARC
(28,15),-2.32234 # DEPENDENCYPART_ARC
(28,16),-3.06703 # DEPENDENCYPART_ARC
(28,17),-2.15139 # DEPENDENCYPART_ARC
(28,18),-2.30989 # DEPENDENCYPART_ARC
(28,19),-1.8046 # DEPENDENCYPART_ARC
(28,20),-1.94739 # DEPENDENCYPART_ARC
(28,21),-0.29807 # DEPENDENCYPART_ARC
(28,22),0.320162 # DEPENDENCYPART_ARC
(28,23),-0.691683 # DEPENDENCYPART_ARC
(28,24),-1.0259 # DEPENDENCYPART_ARC
(28,25),2.58864 # DEPENDENCYPART_ARC
(28,26),2.35638 # DEPENDENCYPART_ARC
(28,27),2.20055 # DEPENDENCYPART_ARC
(28,29),2.12353 # DEPENDENCYPART_ARC
(29,1),-3.04976 # DEPENDENCYPART_ARC
(29,2),-2.18993 # DEPENDENCYPART_ARC
(29,3),-2.43046 # DEPENDENCYPART_ARC
(29,4),-3.2146 # DEPENDENCYPART_ARC
(29,5),-3.09764 # DEPENDENCYPART_ARC
(29,6),-3.30908 # DEPENDENCYPART_ARC
(29,7),-2.75257 # DEPENDENCYPART_ARC
(29,8),-1.99304 # DEPENDENCYPART_ARC
(29,9),-2.14129 # DEPENDENCYPART_ARC
(29,10),-2.01771 # DEPENDENCYPART_ARC
(29,11),-1.78209 # DEPENDENCYPART_ARC
(29,12),-2.61802 # DEPENDENCYPART_ARC
(29,13),-2.12826 # DEPENDENCYPART_ARC
(29,14),-2.17563 # DEPENDENCYPART_ARC
(29,15),-2.07854 # DEPENDENCYPART_ARC
(29,16),-1.68761 # DEPENDENCYPART_ARC
(29,17),-1.84925 # DEPENDENCYPART_ARC
(29,18),-0.905342 # DEPENDENCYPART_ARC
(29,19),-1.64456 # DEPENDENCYPART_ARC
(29,20),-1.36188 # DEPENDENCYPART_ARC
(29,21),-1.26156 # DEPENDENCYPART_ARC
(29,22),-1.46025 # DEPENDENCYPART_ARC
(29,23),-1.31667 # DEPENDENCYPART_ARC
(29,24),-1.26796 # DEPENDENCYPART_ARC
(29,25),-1.10411 # DEPENDENCYPART_ARC
(29,26),-0.810045 # DEPENDENCYPART_ARC
(29,27),-1.19142 # DEPENDENCYPART_ARC
(29,28),-1.25587 # DEPENDENCYPART_ARC
