# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(19,14),1.70627 # DEPENDENCYPART_ARC
(19,15),0.320757 # DEPENDENCYPART_ARC
(19,16),0.439093 # DEPENDENCYPART_ARC
(19,17),4.71778 # DEPENDENCYPART_ARC
(19,18),4.47662 # DEPENDENCYPART_ARC
(19,20),1.1643 # DEPENDENCYPART_ARC
(19,21),2.98307 # DEPENDENCYPART_ARC
(19,22),1.86258 # DEPENDENCYPART_ARC
(19,23),2.59855 # DEPENDENCYPART_ARC
(19,24),1.65953 # DEPENDENCYPART_ARC
(19,25),0.526666 # DEPENDENCYPART_ARC
(19,26),1.35189 # DEPENDENCYPART_ARC
(19,27),1.40646 # DEPENDENCYPART_ARC
(20,1),-2.7161 # DEPENDENCYPART_ARC
(20,2),-3.27029 # DEPENDENCYPART_ARC
(20,3),-2.80494 # DEPENDENCYPART_ARC
(20,4),-2.74135 # DEPENDENCYPART_ARC
(20,5),-3.01099 # DEPENDENCYPART_ARC
(20,6),-2.21482 # DEPENDENCYPART_ARC
(20,7),-2.44231 # DEPENDENCYPART_ARC
(20,8),-2.23973 # DEPENDENCYPART_ARC
(20,9),-2.16999 # DEPENDENCYPART_ARC
(20,10),-1.92057 # DEPENDENCYPART_ARC
(20,11),-1.83391 # DEPENDENCYPART_ARC
(20,12),-1.6056 # DEPENDENCYPART_ARC
(20,13),-1.17618 # DEPENDENCYPART_ARC
(20,14),-1.83719 # DEPENDENCYPART_ARC
(20,15),-1.59294 # DEPENDENCYPART_ARC
(20,16),-0.185942 # DEPENDENCYPART_ARC
(20,17),-0.743179 # DEPENDENCYPART_ARC
(20,18),-0.630645 # DEPENDENCYPART_ARC
(20,19),0.0404005 # DEPENDENCYPART_ARC
(20,21),1.22924 # DEPENDENCYPART_ARC
(20,22),1.32716 # DEPENDENCYPART_ARC
(20,23),-0.0689047 # DEPENDENCYPART_ARC
(20,24),-0.869501 # DEPENDENCYPART_ARC
(20,25),-0.606104 # DEPENDENCYPART_ARC
(20,26),-1.0065 # DEPENDENCYPART_ARC
(20,27),-0.381766 # DEPENDENCYPART_ARC
(21,1),-2.05861 # DEPENDENCYPART_ARC
(21,2),-3.32391 # DEPENDENCYPART_ARC
(21,3),-4.47439 # DEPENDENCYPART_ARC
(21,4),-2.82477 # DEPENDENCYPART_ARC
(21,5),-4.11131 # DEPENDENCYPART_ARC
(21,6),-4.19749 # DEPENDENCYPART_ARC
(21,7),-3.14239 # DEPENDENCYPART_ARC
(21,8),-3.32505 # DEPENDENCYPART_ARC
(21,9),-1.92507 # DEPENDENCYPART_ARC
(21,10),-2.73322 # DEPENDENCYPART_ARC
(21,11),-2.77732 # DEPENDENCYPART_ARC
(21,12),-2.37903 # DEPENDENCYPART_ARC
(21,13),-0.729536 # DEPENDENCYPART_ARC
(21,14),-0.469638 # DEPENDENCYPART_ARC
(21,15),-1.35022 # DEPENDENCYPART_ARC
(21,16),-1.4148 # DEPENDENCYPART_ARC
(21,17),1.86182 # DEPENDENCYPART_ARC
(21,18),1.27947 # DEPENDENCYPART_ARC
(21,19),0.639127 # DEPENDENCYPART_ARC
(21,20),2.95083 # DEPENDENCYPART_ARC
(21,22),3.04997 # DEPENDENCYPART_ARC
(21,23),1.59574 # DEPENDENCYPART_ARC
(21,24),0.557445 # DEPENDENCYPART_ARC
(21,25),-0.293706 # DEPENDENCYPART_ARC
(21,26),0.157835 # DEPENDENCYPART_ARC
(21,27),0.773702 # DEPENDENCYPART_ARC
(22,1),-1.99195 # DEPENDENCYPART_ARC
(22,2),-2.19679 # DEPENDENCYPART_ARC
(22,3),-2.19972 # DEPENDENCYPART_ARC
(22,4),-2.04326 # DEPENDENCYPART_ARC
(22,5),-2.42051 # DEPENDENCYPART_ARC
(22,6),-1.57746 # DEPENDENCYPART_ARC
(22,7),-2.01684 # DEPENDENCYPART_ARC
(22,8),-1.64943 # DEPENDENCYPART_ARC
(22,9),-1.74786 # DEPENDENCYPART_ARC
(22,10),-1.70904 # DEPENDENCYPART_ARC
(22,11),-1.60557 # DEPENDENCYPART_ARC
(22,12),-0.962044 # DEPENDENCYPART_ARC
(22,13),-0.590672 # DEPENDENCYPART_ARC
(22,14),-1.35618 # DEPENDENCYPART_ARC
(22,15),-1.21 # DEPENDENCYPART_ARC
(22,16),-0.372322 # DEPENDENCYPART_ARC
(22,17),-0.724323 # DEPENDENCYPART_ARC
(22,18),-0.524814 # DEPENDENCYPART_ARC
(22,19),-0.180909 # DEPENDENCYPART_ARC
(22,20),1.08146 # DEPENDENCYPART_ARC
(22,21),0.590469 # DEPENDENCYPART_ARC
(22,23),1.21259 # DEPENDENCYPART_ARC
(22,24),0.512698 # DEPENDENCYPART_ARC
(22,25),0.382025 # DEPENDENCYPART_ARC
(22,26),0.0966568 # DEPENDENCYPART_ARC
(22,27),0.258529 # DEPENDENCYPART_ARC
(23,1),-1.83398 # DEPENDENCYPART_ARC
(23,2),-3.32912 # DEPENDENCYPART_ARC
(23,3),-4.70806 # DEPENDENCYPART_ARC
(23,4),-2.82517 # DEPENDENCYPART_ARC
(23,5),-3.97136 # DEPENDENCYPART_ARC
(23,6),-4.33863 # DEPENDENCYPART_ARC
(23,7),-3.17212 # DEPENDENCYPART_ARC
(23,8),-3.38848 # DEPENDENCYPART_ARC
(23,9),-1.90773 # DEPENDENCYPART_ARC
(23,10),-2.43126 # DEPENDENCYPART_ARC
(23,11),-3.10104 # DEPENDENCYPART_ARC
(23,12),-2.78319 # DEPENDENCYPART_ARC
(23,13),-0.581129 # DEPENDENCYPART_ARC
(23,14),-0.337473 # DEPENDENCYPART_ARC
(23,15),-1.30791 # DEPENDENCYPART_ARC
(23,16),-2.03872 # DEPENDENCYPART_ARC
(23,17),1.1774 # DEPENDENCYPART_ARC
(23,18),1.34978 # DEPENDENCYPART_ARC
(23,19),0.534023 # DEPENDENCYPART_ARC
(23,20),1.12365 # DEPENDENCYPART_ARC
(23,21),1.42658 # DEPENDENCYPART_ARC
(23,22),0.465413 # DEPENDENCYPART_ARC
(23,24),0.767362 # DEPENDENCYPART_ARC
(23,25),0.184296 # DEPENDENCYPART_ARC
(23,26),0.0850863 # DEPENDENCYPART_ARC
(23,27),-0.00390756 # DEPENDENCYPART_ARC
(24,1),-1.22962 # DEPENDENCYPART_ARC
(24,2),-2.69666 # DEPENDENCYPART_ARC
(24,3),-2.39209 # DEPENDENCYPART_ARC
(24,4),-2.52383 # DEPENDENCYPART_ARC
(24,5),-2.67545 # DEPENDENCYPART_ARC
(24,6),-1.66355 # DEPENDENCYPART_ARC
(24,7),-2.11891 # DEPENDENCYPART_ARC
(24,8),-1.94039 # DEPENDENCYPART_ARC
(24,9),-1.7838 # DEPENDENCYPART_ARC
(24,10),-1.91027 # DEPENDENCYPART_ARC
(24,11),-1.89737 # DEPENDENCYPART_ARC
(24,12),-1.11083 # DEPENDENCYPART_ARC
(24,13),-0.79337 # DEPENDENCYPART_ARC
(24,14),-0.512129 # DEPENDENCYPART_ARC
(24,15),-0.822648 # DEPENDENCYPART_ARC
(24,16),-0.871968 # DEPENDENCYPART_ARC
(24,17),-0.491476 # DEPENDENCYPART_ARC
(24,18),-0.694701 # DEPENDENCYPART_ARC
(24,19),-0.768141 # DEPENDENCYPART_ARC
(24,20),0.292105 # DEPENDENCYPART_ARC
(24,21),-0.0551346 # DEPENDENCYPART_ARC
(24,22),-0.245921 # DEPENDENCYPART_ARC
(24,23),0.551304 # DEPENDENCYPART_ARC
(24,25),3.35465 # DEPENDENCYPART_ARC
(24,26),3.94316 # DEPENDENCYPART_ARC
(24,27),0.0927555 # DEPENDENCYPART_ARC
(25,1),-3.67385 # DEPENDENCYPART_ARC
(25,2),-5.10453 # DEPENDENCYPART_ARC
(25,3),-6.48901 # DEPENDENCYPART_ARC
(25,4),-4.95299 # DEPENDENCYPART_ARC
(25,5),-6.37196 # DEPENDENCYPART_ARC
(25,6),-6.62767 # DEPENDENCYPART_ARC
(25,7),-4.95342 # DEPENDENCYPART_ARC
(25,8),-5.03212 # DEPENDENCYPART_ARC
(25,9),-3.80491 # DEPENDENCYPART_ARC
(25,10),-4.42827 # DEPENDENCYPART_ARC
(25,11),-4.85323 # DEPENDENCYPART_ARC
(25,12),-4.94174 # DEPENDENCYPART_ARC
(25,13),-3.56341 # DEPENDENCYPART_ARC
(25,14),-3.06247 # DEPENDENCYPART_ARC
(25,15),-3.60882 # DEPENDENCYPART_ARC
(25,16),-4.15953 # DEPENDENCYPART_ARC
(25,17),-0.729754 # DEPENDENCYPART_ARC
(25,18),-1.36028 # DEPENDENCYPART_ARC
(25,19),-2.36346 # DEPENDENCYPART_ARC
(25,20),-0.886691 # DEPENDENCYPART_ARC
(25,21),-1.07988 # DEPENDENCYPART_ARC
(25,22),-2.06199 # DEPENDENCYPART_ARC
(25,23),-0.759809 # DEPENDENCYPART_ARC
(25,24),-0.829279 # DEPENDENCYPART_ARC
(25,26),1.8737 # DEPENDENCYPART_ARC
(25,27),-0.972913 # DEPENDENCYPART_ARC
(26,1),-1.72884 # DEPENDENCYPART_ARC
(26,2),-3.05654 # DEPENDENCYPART_ARC
(26,3),-4.83514 # DEPENDENCYPART_ARC
(26,4),-2.29946 # DEPENDENCYPART_ARC
(26,5),-4.57751 # DEPENDENCYPART_ARC
(26,6),-5.13551 # DEPENDENCYPART_ARC
(26,7),-3.02599 # DEPENDENCYPART_ARC
(26,8),-3.11206 # DEPENDENCYPART_ARC
(26,9),-1.11032 # DEPENDENCYPART_ARC
(26,10),-1.62864 # DEPENDENCYPART_ARC
(26,11),-2.63438 # DEPENDENCYPART_ARC
(26,12),-2.94442 # DEPENDENCYPART_ARC
(26,13),-1.20016 # DEPENDENCYPART_ARC
(26,14),-0.551402 # DEPENDENCYPART_ARC
(26,15),-2.03926 # DEPENDENCYPART_ARC
(26,16),-2.05231 # DEPENDENCYPART_ARC
(26,17),2.04719 # DEPENDENCYPART_ARC
(26,18),1.64179 # DEPENDENCYPART_ARC
(26,19),-0.0213019 # DEPENDENCYPART_ARC
(26,20),-0.267721 # DEPENDENCYPART_ARC
(26,21),1.24733 # DEPENDENCYPART_ARC
(26,22),-0.13341 # DEPENDENCYPART_ARC
(26,23),1.94235 # DEPENDENCYPART_ARC
(26,24),1.19658 # DEPENDENCYPART_ARC
(26,25),5.12503 # DEPENDENCYPART_ARC
(26,27),0.728279 # DEPENDENCYPART_ARC
(27,1),-3.19988 # DEPENDENCYPART_ARC
(27,2),-2.10344 # DEPENDENCYPART_ARC
(27,3),-2.82051 # DEPENDENCYPART_ARC
(27,4),-3.62939 # DEPENDENCYPART_ARC
(27,5),-2.96737 # DEPENDENCYPART_ARC
(27,6),-3.0759 # DEPENDENCYPART_ARC
(27,7),-2.94633 # DEPENDENCYPART_ARC
(27,8),-3.03402 # DEPENDENCYPART_ARC
(27,9),-2.21355 # DEPENDENCYPART_ARC
(27,10),-2.21313 # DEPENDENCYPART_ARC
(27,11),-2.45048 # DEPENDENCYPART_ARC
(27,12),-2.0136 # DEPENDENCYPART_ARC
(27,13),-2.15813 # DEPENDENCYPART_ARC
(27,14),-2.30028 # DEPENDENCYPART_ARC
(27,15),-2.22713 # DEPENDENCYPART_ARC
(27,16),-1.72901 # DEPENDENCYPART_ARC
(27,17),-1.6667 # DEPENDENCYPART_ARC
(27,18),-1.62988 # DEPENDENCYPART_ARC
(27,19),-1.76391 # DEPENDENCYPART_ARC
(27,20),-1.07251 # DEPENDENCYPART_ARC
(27,21),-1.48679 # DEPENDENCYPART_ARC
(27,22),-1.88143 # DEPENDENCYPART_ARC
(27,23),-1.6081 # DEPENDENCYPART_ARC
(27,24),-1.12218 # DEPENDENCYPART_ARC
(27,25),-1.64909 # DEPENDENCYPART_ARC
(27,26),-1.565 # DEPENDENCYPART_ARC
