# _root_ Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically dropped out of the taxpayers ' coalition , '' says Ms. MacDonald .
#goldHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,22,25,27,25,23,30,30,0,32,30,30,
#predictedHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,21,25,27,25,23,30,30,0,32,30,30,
(15,26),0.0727173 # DEPENDENCYPART_ARC
(15,27),0.454957 # DEPENDENCYPART_ARC
(15,28),1.27928 # DEPENDENCYPART_ARC
(15,29),1.22484 # DEPENDENCYPART_ARC
(15,30),-0.670095 # DEPENDENCYPART_ARC
(15,31),-1.03424 # DEPENDENCYPART_ARC
(15,32),-1.30054 # DEPENDENCYPART_ARC
(15,33),0.471768 # DEPENDENCYPART_ARC
(16,1),-2.80422 # DEPENDENCYPART_ARC
(16,2),-2.41845 # DEPENDENCYPART_ARC
(16,3),-3.03045 # DEPENDENCYPART_ARC
(16,4),-1.68507 # DEPENDENCYPART_ARC
(16,5),-2.07983 # DEPENDENCYPART_ARC
(16,6),-2.43406 # DEPENDENCYPART_ARC
(16,7),-1.98942 # DEPENDENCYPART_ARC
(16,8),-1.88873 # DEPENDENCYPART_ARC
(16,9),-1.4494 # DEPENDENCYPART_ARC
(16,10),-1.56194 # DEPENDENCYPART_ARC
(16,11),-1.73997 # DEPENDENCYPART_ARC
(16,12),-1.50846 # DEPENDENCYPART_ARC
(16,13),-1.18509 # DEPENDENCYPART_ARC
(16,14),-1.64975 # DEPENDENCYPART_ARC
(16,15),-1.10231 # DEPENDENCYPART_ARC
(16,17),-0.118487 # DEPENDENCYPART_ARC
(16,18),-0.795129 # DEPENDENCYPART_ARC
(16,19),-0.336942 # DEPENDENCYPART_ARC
(16,20),-1.27555 # DEPENDENCYPART_ARC
(16,21),-0.996003 # DEPENDENCYPART_ARC
(16,22),-1.56723 # DEPENDENCYPART_ARC
(16,23),-1.26556 # DEPENDENCYPART_ARC
(16,24),-1.82344 # DEPENDENCYPART_ARC
(16,25),-2.21218 # DEPENDENCYPART_ARC
(16,26),-2.01818 # DEPENDENCYPART_ARC
(16,27),-2.47075 # DEPENDENCYPART_ARC
(16,28),-0.710065 # DEPENDENCYPART_ARC
(16,29),-1.36903 # DEPENDENCYPART_ARC
(16,30),-1.98694 # DEPENDENCYPART_ARC
(16,31),-2.55485 # DEPENDENCYPART_ARC
(16,32),-2.69606 # DEPENDENCYPART_ARC
(16,33),-2.01291 # DEPENDENCYPART_ARC
(17,1),-3.40979 # DEPENDENCYPART_ARC
(17,2),-3.68794 # DEPENDENCYPART_ARC
(17,3),-3.55515 # DEPENDENCYPART_ARC
(17,4),-2.63693 # DEPENDENCYPART_ARC
(17,5),-2.77802 # DEPENDENCYPART_ARC
(17,6),-3.20537 # DEPENDENCYPART_ARC
(17,7),-2.84997 # DEPENDENCYPART_ARC
(17,8),-2.39598 # DEPENDENCYPART_ARC
(17,9),-2.04487 # DEPENDENCYPART_ARC
(17,10),-2.32317 # DEPENDENCYPART_ARC
(17,11),-2.26731 # DEPENDENCYPART_ARC
(17,12),-1.99614 # DEPENDENCYPART_ARC
(17,13),-2.25925 # DEPENDENCYPART_ARC
(17,14),-1.93924 # DEPENDENCYPART_ARC
(17,15),-1.96035 # DEPENDENCYPART_ARC
(17,16),-0.767289 # DEPENDENCYPART_ARC
(17,18),-0.236172 # DEPENDENCYPART_ARC
(17,19),-1.31016 # DEPENDENCYPART_ARC
(17,20),-1.45839 # DEPENDENCYPART_ARC
(17,21),-0.941467 # DEPENDENCYPART_ARC
(17,22),-1.60034 # DEPENDENCYPART_ARC
(17,23),-1.40789 # DEPENDENCYPART_ARC
(17,24),-2.65975 # DEPENDENCYPART_ARC
(17,25),-2.10388 # DEPENDENCYPART_ARC
(17,26),-2.57193 # DEPENDENCYPART_ARC
(17,27),-2.3107 # DEPENDENCYPART_ARC
(17,28),-1.80559 # DEPENDENCYPART_ARC
(17,29),-1.89988 # DEPENDENCYPART_ARC
(17,30),-3.07844 # DEPENDENCYPART_ARC
(17,31),-3.32723 # DEPENDENCYPART_ARC
(17,32),-3.34878 # DEPENDENCYPART_ARC
(17,33),-2.40176 # DEPENDENCYPART_ARC
(18,1),-3.60158 # DEPENDENCYPART_ARC
(18,2),-3.12035 # DEPENDENCYPART_ARC
(18,3),-4.78933 # DEPENDENCYPART_ARC
(18,4),-3.299 # DEPENDENCYPART_ARC
(18,5),-2.95567 # DEPENDENCYPART_ARC
(18,6),-4.79397 # DEPENDENCYPART_ARC
(18,7),-2.1489 # DEPENDENCYPART_ARC
(18,8),-0.948231 # DEPENDENCYPART_ARC
(18,9),0.822722 # DEPENDENCYPART_ARC
(18,10),-0.305775 # DEPENDENCYPART_ARC
(18,11),-1.48152 # DEPENDENCYPART_ARC
(18,12),-1.2657 # DEPENDENCYPART_ARC
(18,13),0.18787 # DEPENDENCYPART_ARC
(18,14),-0.0324947 # DEPENDENCYPART_ARC
(18,15),-0.874286 # DEPENDENCYPART_ARC
(18,16),0.523906 # DEPENDENCYPART_ARC
(18,17),3.64961 # DEPENDENCYPART_ARC
(18,19),1.44325 # DEPENDENCYPART_ARC
(18,20),0.731972 # DEPENDENCYPART_ARC
(18,21),1.92824 # DEPENDENCYPART_ARC
(18,22),0.435016 # DEPENDENCYPART_ARC
(18,23),1.06801 # DEPENDENCYPART_ARC
(18,24),-0.115738 # DEPENDENCYPART_ARC
(18,25),-0.110959 # DEPENDENCYPART_ARC
(18,26),0.678948 # DEPENDENCYPART_ARC
(18,27),-0.0766076 # DEPENDENCYPART_ARC
(18,28),0.631756 # DEPENDENCYPART_ARC
(18,29),1.48786 # DEPENDENCYPART_ARC
(18,30),-0.184653 # DEPENDENCYPART_ARC
(18,31),-1.10944 # DEPENDENCYPART_ARC
(18,32),-0.691554 # DEPENDENCYPART_ARC
(18,33),1.02219 # DEPENDENCYPART_ARC
(19,1),-2.53757 # DEPENDENCYPART_ARC
(19,2),-1.54336 # DEPENDENCYPART_ARC
(19,3),-2.55409 # DEPENDENCYPART_ARC
(19,4),-1.64667 # DEPENDENCYPART_ARC
(19,5),-2.13513 # DEPENDENCYPART_ARC
(19,6),-2.23378 # DEPENDENCYPART_ARC
(19,7),-1.97658 # DEPENDENCYPART_ARC
(19,8),-1.80414 # DEPENDENCYPART_ARC
(19,9),-1.42871 # DEPENDENCYPART_ARC
(19,10),-1.48582 # DEPENDENCYPART_ARC
(19,11),-1.4807 # DEPENDENCYPART_ARC
(19,12),-1.336 # DEPENDENCYPART_ARC
(19,13),-1.3622 # DEPENDENCYPART_ARC
(19,14),-1.18099 # DEPENDENCYPART_ARC
(19,15),-0.94948 # DEPENDENCYPART_ARC
(19,16),-0.456797 # DEPENDENCYPART_ARC
(19,17),-0.0525443 # DEPENDENCYPART_ARC
(19,18),0.0408427 # DEPENDENCYPART_ARC
(19,20),0.045894 # DEPENDENCYPART_ARC
(19,21),-0.401452 # DEPENDENCYPART_ARC
(19,22),-0.868934 # DEPENDENCYPART_ARC
(19,23),-1.23573 # DEPENDENCYPART_ARC
(19,24),-1.96576 # DEPENDENCYPART_ARC
(19,25),-2.01224 # DEPENDENCYPART_ARC
(19,26),-1.73499 # DEPENDENCYPART_ARC
(19,27),-1.80219 # DEPENDENCYPART_ARC
(19,28),-1.15008 # DEPENDENCYPART_ARC
(19,29),-0.355702 # DEPENDENCYPART_ARC
(19,30),-1.80198 # DEPENDENCYPART_ARC
(19,31),-2.35957 # DEPENDENCYPART_ARC
(19,32),-2.43071 # DEPENDENCYPART_ARC
(19,33),-1.46879 # DEPENDENCYPART_ARC
(20,1),-2.33225 # DEPENDENCYPART_ARC
(20,2),-1.56544 # DEPENDENCYPART_ARC
(20,3),-1.85661 # DEPENDENCYPART_ARC
(20,4),-1.07305 # DEPENDENCYPART_ARC
(20,5),-1.10064 # DEPENDENCYPART_ARC
(20,6),-2.20561 # DEPENDENCYPART_ARC
(20,7),-1.77689 # DEPENDENCYPART_ARC
(20,8),-1.73568 # DEPENDENCYPART_ARC
(20,9),-0.855086 # DEPENDENCYPART_ARC
(20,10),-1.09567 # DEPENDENCYPART_ARC
(20,11),-1.23683 # DEPENDENCYPART_ARC
(20,12),-1.19162 # DEPENDENCYPART_ARC
(20,13),-1.23837 # DEPENDENCYPART_ARC
(20,14),-1.39029 # DEPENDENCYPART_ARC
(20,15),-1.28659 # DEPENDENCYPART_ARC
(20,16),-0.312923 # DEPENDENCYPART_ARC
(20,17),0.511871 # DEPENDENCYPART_ARC
(20,18),-0.194768 # DEPENDENCYPART_ARC
(20,19),1.07687 # DEPENDENCYPART_ARC
(20,21),1.50297 # DEPENDENCYPART_ARC
(20,22),0.868932 # DEPENDENCYPART_ARC
(20,23),0.880158 # DEPENDENCYPART_ARC
(20,24),-0.393004 # DEPENDENCYPART_ARC
(20,25),-0.68705 # DEPENDENCYPART_ARC
(20,26),-1.00878 # DEPENDENCYPART_ARC
(20,27),-0.978921 # DEPENDENCYPART_ARC
(20,28),0.0985156 # DEPENDENCYPART_ARC
(20,29),0.527374 # DEPENDENCYPART_ARC
(20,30),-0.849704 # DEPENDENCYPART_ARC
(20,31),-1.75849 # DEPENDENCYPART_ARC
(20,32),-1.93365 # DEPENDENCYPART_ARC
(20,33),0.402136 # DEPENDENCYPART_ARC
(21,1),-0.229641 # DEPENDENCYPART_ARC
(21,2),-0.315672 # DEPENDENCYPART_ARC
(21,3),1.53366 # DEPENDENCYPART_ARC
(21,4),1.65829 # DEPENDENCYPART_ARC
(21,5),-1.21226 # DEPENDENCYPART_ARC
(21,6),0.564128 # DEPENDENCYPART_ARC
(21,7),0.628576 # DEPENDENCYPART_ARC
(21,8),0.999514 # DEPENDENCYPART_ARC
(21,9),-0.642588 # DEPENDENCYPART_ARC
(21,10),0.136435 # DEPENDENCYPART_ARC
(21,11),0.186244 # DEPENDENCYPART_ARC
(21,12),0.203216 # DEPENDENCYPART_ARC
(21,13),0.62172 # DEPENDENCYPART_ARC
(21,14),0.543863 # DEPENDENCYPART_ARC
(21,15),0.655211 # DEPENDENCYPART_ARC
(21,16),3.16504 # DEPENDENCYPART_ARC
(21,17),1.28279 # DEPENDENCYPART_ARC
(21,18),2.34328 # DEPENDENCYPART_ARC
(21,19),2.38502 # DEPENDENCYPART_ARC
(21,20),3.40325 # DEPENDENCYPART_ARC
(21,22),3.60309 # DEPENDENCYPART_ARC
(21,23),2.04076 # DEPENDENCYPART_ARC
(21,24),0.203005 # DEPENDENCYPART_ARC
(21,25),1.33401 # DEPENDENCYPART_ARC
(21,26),0.655235 # DEPENDENCYPART_ARC
(21,27),2.03647 # DEPENDENCYPART_ARC
(21,28),2.38695 # DEPENDENCYPART_ARC
(21,29),1.0398 # DEPENDENCYPART_ARC
(21,30),0.800427 # DEPENDENCYPART_ARC
(21,31),-0.533382 # DEPENDENCYPART_ARC
(21,32),-0.289132 # DEPENDENCYPART_ARC
(21,33),2.44251 # DEPENDENCYPART_ARC
(22,1),-2.28493 # DEPENDENCYPART_ARC
(22,2),-2.40337 # DEPENDENCYPART_ARC
(22,3),-2.38176 # DEPENDENCYPART_ARC
(22,4),-1.3079 # DEPENDENCYPART_ARC
(22,5),-1.16354 # DEPENDENCYPART_ARC
(22,6),-1.81313 # DEPENDENCYPART_ARC
(22,7),-1.75373 # DEPENDENCYPART_ARC
(22,8),-1.02693 # DEPENDENCYPART_ARC
(22,9),-0.741489 # DEPENDENCYPART_ARC
(22,10),-1.33085 # DEPENDENCYPART_ARC
(22,11),-1.24667 # DEPENDENCYPART_ARC
(22,12),-1.03378 # DEPENDENCYPART_ARC
(22,13),-1.17837 # DEPENDENCYPART_ARC
(22,14),-1.10222 # DEPENDENCYPART_ARC
(22,15),-0.965766 # DEPENDENCYPART_ARC
(22,16),-0.46183 # DEPENDENCYPART_ARC
(22,17),0.299922 # DEPENDENCYPART_ARC
(22,18),-0.345129 # DEPENDENCYPART_ARC
(22,19),0.330675 # DEPENDENCYPART_ARC
(22,20),0.317669 # DEPENDENCYPART_ARC
(22,21),0.531886 # DEPENDENCYPART_ARC
(22,23),1.4659 # DEPENDENCYPART_ARC
(22,24),-0.352869 # DEPENDENCYPART_ARC
(22,25),0.19135 # DEPENDENCYPART_ARC
(22,26),-0.442906 # DEPENDENCYPART_ARC
(22,27),-0.236707 # DEPENDENCYPART_ARC
(22,28),0.0127897 # DEPENDENCYPART_ARC
(22,29),-0.0734001 # DEPENDENCYPART_ARC
(22,30),-0.686466 # DEPENDENCYPART_ARC
(22,31),-1.08957 # DEPENDENCYPART_ARC
(22,32),-1.18037 # DEPENDENCYPART_ARC
(22,33),-0.213967 # DEPENDENCYPART_ARC
(23,1),-3.08504 # DEPENDENCYPART_ARC
(23,2),-3.71856 # DEPENDENCYPART_ARC
(23,3),-3.20142 # DEPENDENCYPART_ARC
(23,4),-1.34632 # DEPENDENCYPART_ARC
(23,5),-2.96129 # DEPENDENCYPART_ARC
(23,6),-2.56422 # DEPENDENCYPART_ARC
(23,7),-2.7158 # DEPENDENCYPART_ARC
(23,8),-2.80155 # DEPENDENCYPART_ARC
(23,9),-2.60601 # DEPENDENCYPART_ARC
(23,10),-2.40828 # DEPENDENCYPART_ARC
(23,11),-2.1053 # DEPENDENCYPART_ARC
(23,12),-2.13343 # DEPENDENCYPART_ARC
(23,13),-1.9152 # DEPENDENCYPART_ARC
(23,14),-2.08881 # DEPENDENCYPART_ARC
(23,15),-2.17532 # DEPENDENCYPART_ARC
(23,16),-1.4906 # DEPENDENCYPART_ARC
(23,17),-1.09278 # DEPENDENCYPART_ARC
(23,18),-0.746166 # DEPENDENCYPART_ARC
(23,19),-0.463091 # DEPENDENCYPART_ARC
(23,20),-0.108704 # DEPENDENCYPART_ARC
(23,21),-0.766909 # DEPENDENCYPART_ARC
(23,22),0.501505 # DEPENDENCYPART_ARC
(23,24),0.968891 # DEPENDENCYPART_ARC
(23,25),2.75883 # DEPENDENCYPART_ARC
(23,26),0.754543 # DEPENDENCYPART_ARC
(23,27),3.15895 # DEPENDENCYPART_ARC
(23,28),0.426021 # DEPENDENCYPART_ARC
(23,29),-0.198602 # DEPENDENCYPART_ARC
(23,30),-0.476671 # DEPENDENCYPART_ARC
(23,31),-1.76404 # DEPENDENCYPART_ARC
(23,32),-0.860066 # DEPENDENCYPART_ARC
(23,33),-0.821152 # DEPENDENCYPART_ARC
(24,1),-4.20279 # DEPENDENCYPART_ARC
(24,2),-4.57579 # DEPENDENCYPART_ARC
(24,3),-4.33195 # DEPENDENCYPART_ARC
(24,4),-3.54772 # DEPENDENCYPART_ARC
(24,5),-3.66033 # DEPENDENCYPART_ARC
(24,6),-3.99001 # DEPENDENCYPART_ARC
(24,7),-3.71582 # DEPENDENCYPART_ARC
(24,8),-3.50399 # DEPENDENCYPART_ARC
(24,9),-3.16875 # DEPENDENCYPART_ARC
(24,10),-3.37094 # DEPENDENCYPART_ARC
(24,11),-3.10688 # DEPENDENCYPART_ARC
(24,12),-3.04589 # DEPENDENCYPART_ARC
(24,13),-3.63196 # DEPENDENCYPART_ARC
(24,14),-3.38054 # DEPENDENCYPART_ARC
(24,15),-3.30094 # DEPENDENCYPART_ARC
(24,16),-2.78585 # DEPENDENCYPART_ARC
(24,17),-2.06406 # DEPENDENCYPART_ARC
(24,18),-2.89524 # DEPENDENCYPART_ARC
(24,19),-2.51291 # DEPENDENCYPART_ARC
(24,20),-2.09544 # DEPENDENCYPART_ARC
(24,21),-1.93891 # DEPENDENCYPART_ARC
(24,22),-1.46245 # DEPENDENCYPART_ARC
(24,23),-0.708155 # DEPENDENCYPART_ARC
(24,25),-0.611911 # DEPENDENCYPART_ARC
(24,26),-1.07913 # DEPENDENCYPART_ARC
(24,27),-1.15197 # DEPENDENCYPART_ARC
(24,28),-1.31509 # DEPENDENCYPART_ARC
(24,29),-1.83493 # DEPENDENCYPART_ARC
(24,30),-1.81151 # DEPENDENCYPART_ARC
(24,31),-2.57854 # DEPENDENCYPART_ARC
(24,32),-2.67366 # DEPENDENCYPART_ARC
(24,33),-2.23608 # DEPENDENCYPART_ARC
(25,1),-4.62927 # DEPENDENCYPART_ARC
(25,2),-5.46446 # DEPENDENCYPART_ARC
(25,3),-4.14733 # DEPENDENCYPART_ARC
(25,4),-1.53642 # DEPENDENCYPART_ARC
(25,5),-5.52707 # DEPENDENCYPART_ARC
(25,6),-5.89488 # DEPENDENCYPART_ARC
(25,7),-2.65791 # DEPENDENCYPART_ARC
(25,8),-2.3422 # DEPENDENCYPART_ARC
(25,9),-2.79722 # DEPENDENCYPART_ARC
(25,10),-2.73475 # DEPENDENCYPART_ARC
(25,11),-3.57488 # DEPENDENCYPART_ARC
(25,12),-2.85963 # DEPENDENCYPART_ARC
(25,13),-2.49328 # DEPENDENCYPART_ARC
(25,14),-2.4089 # DEPENDENCYPART_ARC
(25,15),-3.47849 # DEPENDENCYPART_ARC
(25,16),-1.26576 # DEPENDENCYPART_ARC
(25,17),-1.09303 # DEPENDENCYPART_ARC
(25,18),-1.8734 # DEPENDENCYPART_ARC
(25,19),-1.21721 # DEPENDENCYPART_ARC
(25,20),-0.552066 # DEPENDENCYPART_ARC
(25,21),-0.907758 # DEPENDENCYPART_ARC
(25,22),-0.389097 # DEPENDENCYPART_ARC
(25,23),0.566224 # DEPENDENCYPART_ARC
(25,24),4.66696 # DEPENDENCYPART_ARC
(25,26),3.74753 # DEPENDENCYPART_ARC
(25,27),0.291479 # DEPENDENCYPART_ARC
(25,28),0.134474 # DEPENDENCYPART_ARC
(25,29),-0.122327 # DEPENDENCYPART_ARC
(25,30),-0.18036 # DEPENDENCYPART_ARC
(25,31),-0.888743 # DEPENDENCYPART_ARC
(25,32),-0.971485 # DEPENDENCYPART_ARC
(25,33),-0.284107 # DEPENDENCYPART_ARC
(26,1),-2.77262 # DEPENDENCYPART_ARC
(26,2),-2.44106 # DEPENDENCYPART_ARC
(26,3),-3.11 # DEPENDENCYPART_ARC
(26,4),-1.83609 # DEPENDENCYPART_ARC
(26,5),-2.00113 # DEPENDENCYPART_ARC
(26,6),-1.97788 # DEPENDENCYPART_ARC
(26,7),-2.09025 # DEPENDENCYPART_ARC
(26,8),-2.73761 # DEPENDENCYPART_ARC
(26,9),-1.35254 # DEPENDENCYPART_ARC
(26,10),-1.75954 # DEPENDENCYPART_ARC
(26,11),-1.7987 # DEPENDENCYPART_ARC
(26,12),-1.71638 # DEPENDENCYPART_ARC
(26,13),-1.77125 # DEPENDENCYPART_ARC
(26,14),-1.69869 # DEPENDENCYPART_ARC
(26,15),-1.59891 # DEPENDENCYPART_ARC
(26,16),-1.04689 # DEPENDENCYPART_ARC
(26,17),-0.357586 # DEPENDENCYPART_ARC
(26,18),-1.10503 # DEPENDENCYPART_ARC
(26,19),-0.610559 # DEPENDENCYPART_ARC
(26,20),-1.01084 # DEPENDENCYPART_ARC
(26,21),-0.620745 # DEPENDENCYPART_ARC
(26,22),-0.26387 # DEPENDENCYPART_ARC
(26,23),-0.0814751 # DEPENDENCYPART_ARC
(26,24),1.35956 # DEPENDENCYPART_ARC
(26,25),1.08407 # DEPENDENCYPART_ARC
(26,27),-0.222297 # DEPENDENCYPART_ARC
(26,28),-0.74812 # DEPENDENCYPART_ARC
(26,29),-0.821286 # DEPENDENCYPART_ARC
(26,30),-1.00136 # DEPENDENCYPART_ARC
(26,31),-1.55611 # DEPENDENCYPART_ARC
(26,32),-1.986 # DEPENDENCYPART_ARC
(26,33),-1.34837 # DEPENDENCYPART_ARC
(27,1),-4.09693 # DEPENDENCYPART_ARC
(27,2),-2.52271 # DEPENDENCYPART_ARC
(27,3),-5.32976 # DEPENDENCYPART_ARC
(27,4),-3.5302 # DEPENDENCYPART_ARC
(27,5),-6.06261 # DEPENDENCYPART_ARC
(27,6),-7.09556 # DEPENDENCYPART_ARC
(27,7),-2.03069 # DEPENDENCYPART_ARC
(27,8),-1.22002 # DEPENDENCYPART_ARC
(27,9),-2.7904 # DEPENDENCYPART_ARC
(27,10),-1.97007 # DEPENDENCYPART_ARC
(27,11),-2.35358 # DEPENDENCYPART_ARC
(27,12),-2.23752 # DEPENDENCYPART_ARC
(27,13),-2.44252 # DEPENDENCYPART_ARC
(27,14),-2.75685 # DEPENDENCYPART_ARC
(27,15),-4.06941 # DEPENDENCYPART_ARC
(27,16),-0.952243 # DEPENDENCYPART_ARC
(27,17),-1.64693 # DEPENDENCYPART_ARC
(27,18),-1.29611 # DEPENDENCYPART_ARC
(27,19),0.273033 # DEPENDENCYPART_ARC
(27,20),-0.185365 # DEPENDENCYPART_ARC
(27,21),-0.0462302 # DEPENDENCYPART_ARC
(27,22),0.496576 # DEPENDENCYPART_ARC
(27,23),0.835231 # DEPENDENCYPART_ARC
(27,24),2.43034 # DEPENDENCYPART_ARC
(27,25),4.58875 # DEPENDENCYPART_ARC
(27,26),1.38788 # DEPENDENCYPART_ARC
(27,28),1.42256 # DEPENDENCYPART_ARC
(27,29),1.51667 # DEPENDENCYPART_ARC
(27,30),0.645231 # DEPENDENCYPART_ARC
(27,31),0.635663 # DEPENDENCYPART_ARC
(27,32),0.543229 # DEPENDENCYPART_ARC
(27,33),0.181193 # DEPENDENCYPART_ARC
(28,1),-3.57226 # DEPENDENCYPART_ARC
(28,2),-2.99556 # DEPENDENCYPART_ARC
(28,3),-3.81372 # DEPENDENCYPART_ARC
(28,4),-2.60188 # DEPENDENCYPART_ARC
(28,5),-3.02737 # DEPENDENCYPART_ARC
(28,6),-3.50269 # DEPENDENCYPART_ARC
(28,7),-2.6487 # DEPENDENCYPART_ARC
(28,8),-2.78247 # DEPENDENCYPART_ARC
(28,9),-2.50672 # DEPENDENCYPART_ARC
(28,10),-2.49748 # DEPENDENCYPART_ARC
(28,11),-2.56681 # DEPENDENCYPART_ARC
(28,12),-2.47288 # DEPENDENCYPART_ARC
(28,13),-2.03931 # DEPENDENCYPART_ARC
(28,14),-2.09537 # DEPENDENCYPART_ARC
(28,15),-2.08545 # DEPENDENCYPART_ARC
(28,16),-0.114292 # DEPENDENCYPART_ARC
(28,17),-1.66568 # DEPENDENCYPART_ARC
(28,18),-1.89296 # DEPENDENCYPART_ARC
(28,19),-1.40588 # DEPENDENCYPART_ARC
(28,20),-2.14575 # DEPENDENCYPART_ARC
(28,21),-1.16758 # DEPENDENCYPART_ARC
(28,22),-1.34094 # DEPENDENCYPART_ARC
(28,23),-1.30469 # DEPENDENCYPART_ARC
(28,24),-0.671053 # DEPENDENCYPART_ARC
(28,25),-1.0281 # DEPENDENCYPART_ARC
(28,26),-0.818449 # DEPENDENCYPART_ARC
(28,27),-0.62844 # DEPENDENCYPART_ARC
(28,29),0.48345 # DEPENDENCYPART_ARC
(28,30),0.018182 # DEPENDENCYPART_ARC
(28,31),-0.499004 # DEPENDENCYPART_ARC
(28,32),-0.799287 # DEPENDENCYPART_ARC
(28,33),-0.90801 # DEPENDENCYPART_ARC
(29,1),-3.69609 # DEPENDENCYPART_ARC
(29,2),-3.39111 # DEPENDENCYPART_ARC
(29,3),-3.8497 # DEPENDENCYPART_ARC
(29,4),-2.71108 # DEPENDENCYPART_ARC
(29,5),-2.78255 # DEPENDENCYPART_ARC
(29,6),-3.62644 # DEPENDENCYPART_ARC
(29,7),-2.97163 # DEPENDENCYPART_ARC
(29,8),-3.09564 # DEPENDENCYPART_ARC
(29,9),-2.22946 # DEPENDENCYPART_ARC
(29,10),-2.689 # DEPENDENCYPART_ARC
(29,11),-2.67127 # DEPENDENCYPART_ARC
(29,12),-2.5994 # DEPENDENCYPART_ARC
(29,13),-2.9618 # DEPENDENCYPART_ARC
(29,14),-2.87908 # DEPENDENCYPART_ARC
(29,15),-2.79975 # DEPENDENCYPART_ARC
(29,16),-1.629 # DEPENDENCYPART_ARC
(29,17),-1.32684 # DEPENDENCYPART_ARC
(29,18),-2.44381 # DEPENDENCYPART_ARC
(29,19),-0.0425981 # DEPENDENCYPART_ARC
(29,20),-2.08013 # DEPENDENCYPART_ARC
(29,21),-1.61056 # DEPENDENCYPART_ARC
(29,22),-1.54351 # DEPENDENCYPART_ARC
(29,23),-1.13696 # DEPENDENCYPART_ARC
(29,24),-0.298144 # DEPENDENCYPART_ARC
(29,25),-0.998222 # DEPENDENCYPART_ARC
(29,26),-0.727934 # DEPENDENCYPART_ARC
(29,27),-1.10422 # DEPENDENCYPART_ARC
(29,28),0.598204 # DEPENDENCYPART_ARC
(29,30),-0.0854632 # DEPENDENCYPART_ARC
(29,31),-1.19239 # DEPENDENCYPART_ARC
(29,32),-1.53401 # DEPENDENCYPART_ARC
(29,33),-1.47634 # DEPENDENCYPART_ARC
(30,1),-3.50567 # DEPENDENCYPART_ARC
(30,2),-3.47147 # DEPENDENCYPART_ARC
(30,3),-3.30462 # DEPENDENCYPART_ARC
(30,4),-1.5893 # DEPENDENCYPART_ARC
(30,5),-4.22511 # DEPENDENCYPART_ARC
(30,6),-1.21619 # DEPENDENCYPART_ARC
(30,7),0.53351 # DEPENDENCYPART_ARC
(30,8),-1.95391 # DEPENDENCYPART_ARC
(30,9),-3.85486 # DEPENDENCYPART_ARC
(30,10),-1.80831 # DEPENDENCYPART_ARC
(30,11),-2.39465 # DEPENDENCYPART_ARC
(30,12),-2.13935 # DEPENDENCYPART_ARC
(30,13),-2.90501 # DEPENDENCYPART_ARC
(30,14),-3.02275 # DEPENDENCYPART_ARC
(30,15),-3.52603 # DEPENDENCYPART_ARC
(30,16),1.16575 # DEPENDENCYPART_ARC
(30,17),-1.95789 # DEPENDENCYPART_ARC
(30,18),-1.5459 # DEPENDENCYPART_ARC
(30,19),0.679988 # DEPENDENCYPART_ARC
(30,20),-1.0206 # DEPENDENCYPART_ARC
(30,21),0.802635 # DEPENDENCYPART_ARC
(30,22),-1.08448 # DEPENDENCYPART_ARC
(30,23),-1.43487 # DEPENDENCYPART_ARC
(30,24),-0.961947 # DEPENDENCYPART_ARC
(30,25),-0.649556 # DEPENDENCYPART_ARC
(30,26),-0.19466 # DEPENDENCYPART_ARC
(30,27),-0.43234 # DEPENDENCYPART_ARC
(30,28),3.49071 # DEPENDENCYPART_ARC
(30,29),3.68898 # DEPENDENCYPART_ARC
(30,31),1.62054 # DEPENDENCYPART_ARC
(30,32),2.26158 # DEPENDENCYPART_ARC
(30,33),7.12718 # DEPENDENCYPART_ARC
(31,1),-5.14864 # DEPENDENCYPART_ARC
(31,2),-6.02249 # DEPENDENCYPART_ARC
(31,3),-6.08293 # DEPENDENCYPART_ARC
(31,4),-5.26966 # DEPENDENCYPART_ARC
(31,5),-7.04935 # DEPENDENCYPART_ARC
(31,6),-9.1964 # DEPENDENCYPART_ARC
(31,7),-5.53012 # DEPENDENCYPART_ARC
(31,8),-4.16125 # DEPENDENCYPART_ARC
(31,9),-5.42794 # DEPENDENCYPART_ARC
(31,10),-5.24009 # DEPENDENCYPART_ARC
(31,11),-4.02882 # DEPENDENCYPART_ARC
(31,12),-4.27532 # DEPENDENCYPART_ARC
(31,13),-3.91317 # DEPENDENCYPART_ARC
(31,14),-3.79053 # DEPENDENCYPART_ARC
(31,15),-5.63767 # DEPENDENCYPART_ARC
(31,16),-4.48555 # DEPENDENCYPART_ARC
(31,17),-4.69491 # DEPENDENCYPART_ARC
(31,18),-4.00694 # DEPENDENCYPART_ARC
(31,19),-2.73931 # DEPENDENCYPART_ARC
(31,20),-3.75103 # DEPENDENCYPART_ARC
(31,21),-3.35116 # DEPENDENCYPART_ARC
(31,22),-2.90121 # DEPENDENCYPART_ARC
(31,23),-2.52527 # DEPENDENCYPART_ARC
(31,24),-1.98362 # DEPENDENCYPART_ARC
(31,25),-2.0774 # DEPENDENCYPART_ARC
