# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,12,13,14,15,9,17,20,17,22,20,7,
(23,6),-0.734176 # DEPENDENCYPART_ARC
(23,7),-2.17238 # DEPENDENCYPART_ARC
(23,8),-1.60455 # DEPENDENCYPART_ARC
(23,9),-1.32518 # DEPENDENCYPART_ARC
(23,10),-1.90288 # DEPENDENCYPART_ARC
(23,11),-2.1785 # DEPENDENCYPART_ARC
(23,12),-2.06231 # DEPENDENCYPART_ARC
(23,13),-1.71595 # DEPENDENCYPART_ARC
(23,14),-1.82389 # DEPENDENCYPART_ARC
(23,15),-1.49299 # DEPENDENCYPART_ARC
(23,16),-1.59641 # DEPENDENCYPART_ARC
(23,17),-1.13833 # DEPENDENCYPART_ARC
(23,18),-1.09999 # DEPENDENCYPART_ARC
(23,19),-0.92775 # DEPENDENCYPART_ARC
(23,20),-0.556599 # DEPENDENCYPART_ARC
(23,21),-1.08594 # DEPENDENCYPART_ARC
(23,22),-0.969356 # DEPENDENCYPART_ARC
