# _root_ Leery of the costs -- and , critics say , competition -- the airlines have sought to gain leverage over the city of Denver .
#goldHeads=15,1,4,2,9,9,9,9,4,9,9,9,14,15,0,15,16,17,18,19,22,20,22,23,15,
#predictedHeads=15,1,4,2,2,1,9,9,0,9,6,11,14,15,9,15,16,17,18,19,22,20,22,23,9,
(21,8),-3.1768 # DEPENDENCYPART_ARC
(21,9),-2.93613 # DEPENDENCYPART_ARC
(21,10),-2.66479 # DEPENDENCYPART_ARC
(21,11),-3.00234 # DEPENDENCYPART_ARC
(21,12),-1.81431 # DEPENDENCYPART_ARC
(21,13),-1.89375 # DEPENDENCYPART_ARC
(21,14),-2.45999 # DEPENDENCYPART_ARC
(21,15),-2.31282 # DEPENDENCYPART_ARC
(21,16),-2.11733 # DEPENDENCYPART_ARC
(21,17),-1.86399 # DEPENDENCYPART_ARC
(21,18),-1.22374 # DEPENDENCYPART_ARC
(21,19),-1.70762 # DEPENDENCYPART_ARC
(21,20),-0.277262 # DEPENDENCYPART_ARC
(21,22),0.0360022 # DEPENDENCYPART_ARC
(21,23),-0.641419 # DEPENDENCYPART_ARC
(21,24),-1.6853 # DEPENDENCYPART_ARC
(21,25),-2.07482 # DEPENDENCYPART_ARC
(22,1),-6.71377 # DEPENDENCYPART_ARC
(22,2),-2.39182 # DEPENDENCYPART_ARC
(22,3),-5.92891 # DEPENDENCYPART_ARC
(22,4),-3.23466 # DEPENDENCYPART_ARC
(22,5),-1.88163 # DEPENDENCYPART_ARC
(22,6),-1.3719 # DEPENDENCYPART_ARC
(22,7),-2.12009 # DEPENDENCYPART_ARC
(22,8),-2.8068 # DEPENDENCYPART_ARC
(22,9),-2.57333 # DEPENDENCYPART_ARC
(22,10),-2.65096 # DEPENDENCYPART_ARC
(22,11),-5.22512 # DEPENDENCYPART_ARC
(22,12),-1.26897 # DEPENDENCYPART_ARC
(22,13),-2.40046 # DEPENDENCYPART_ARC
(22,14),-1.39311 # DEPENDENCYPART_ARC
(22,15),-1.81839 # DEPENDENCYPART_ARC
(22,16),-1.52749 # DEPENDENCYPART_ARC
(22,17),-1.52436 # DEPENDENCYPART_ARC
(22,18),-0.810577 # DEPENDENCYPART_ARC
(22,19),-0.685372 # DEPENDENCYPART_ARC
(22,20),0.765825 # DEPENDENCYPART_ARC
(22,21),4.68904 # DEPENDENCYPART_ARC
(22,23),3.27728 # DEPENDENCYPART_ARC
(22,24),0.483984 # DEPENDENCYPART_ARC
(22,25),0.68915 # DEPENDENCYPART_ARC
(23,1),-3.33426 # DEPENDENCYPART_ARC
(23,2),-3.87746 # DEPENDENCYPART_ARC
(23,3),-3.84882 # DEPENDENCYPART_ARC
(23,4),-3.31892 # DEPENDENCYPART_ARC
(23,5),-1.60163 # DEPENDENCYPART_ARC
(23,6),-3.54916 # DEPENDENCYPART_ARC
(23,7),-2.95553 # DEPENDENCYPART_ARC
(23,8),-2.79618 # DEPENDENCYPART_ARC
(23,9),-2.85482 # DEPENDENCYPART_ARC
(23,10),-2.73521 # DEPENDENCYPART_ARC
(23,11),-2.50434 # DEPENDENCYPART_ARC
(23,12),-1.46449 # DEPENDENCYPART_ARC
(23,13),-2.08788 # DEPENDENCYPART_ARC
(23,14),-2.01416 # DEPENDENCYPART_ARC
(23,15),-2.10257 # DEPENDENCYPART_ARC
(23,16),-1.47935 # DEPENDENCYPART_ARC
(23,17),-1.54419 # DEPENDENCYPART_ARC
(23,18),-1.48804 # DEPENDENCYPART_ARC
(23,19),-0.907861 # DEPENDENCYPART_ARC
(23,20),-0.578969 # DEPENDENCYPART_ARC
(23,21),-0.656912 # DEPENDENCYPART_ARC
(23,22),0.398681 # DEPENDENCYPART_ARC
(23,24),3.78515 # DEPENDENCYPART_ARC
(23,25),-0.139714 # DEPENDENCYPART_ARC
(24,1),-6.28895 # DEPENDENCYPART_ARC
(24,2),-2.5424 # DEPENDENCYPART_ARC
(24,3),-5.93923 # DEPENDENCYPART_ARC
(24,4),-4.06126 # DEPENDENCYPART_ARC
(24,5),-2.57693 # DEPENDENCYPART_ARC
(24,6),-3.78377 # DEPENDENCYPART_ARC
(24,7),-3.70145 # DEPENDENCYPART_ARC
(24,8),-3.40389 # DEPENDENCYPART_ARC
(24,9),-3.24525 # DEPENDENCYPART_ARC
(24,10),-3.43657 # DEPENDENCYPART_ARC
(24,11),-3.69629 # DEPENDENCYPART_ARC
(24,12),-1.77601 # DEPENDENCYPART_ARC
(24,13),-2.38863 # DEPENDENCYPART_ARC
(24,14),-1.74509 # DEPENDENCYPART_ARC
(24,15),-2.3227 # DEPENDENCYPART_ARC
(24,16),-1.98033 # DEPENDENCYPART_ARC
(24,17),-2.17775 # DEPENDENCYPART_ARC
(24,18),-1.38761 # DEPENDENCYPART_ARC
(24,19),-1.49125 # DEPENDENCYPART_ARC
(24,20),-0.367354 # DEPENDENCYPART_ARC
(24,21),1.39906 # DEPENDENCYPART_ARC
(24,22),-0.000859862 # DEPENDENCYPART_ARC
(24,23),1.50645 # DEPENDENCYPART_ARC
(24,25),0.183 # DEPENDENCYPART_ARC
(25,1),-3.54558 # DEPENDENCYPART_ARC
(25,2),-3.56805 # DEPENDENCYPART_ARC
(25,3),-2.70266 # DEPENDENCYPART_ARC
(25,4),-2.78238 # DEPENDENCYPART_ARC
(25,5),-1.3902 # DEPENDENCYPART_ARC
(25,6),-2.49767 # DEPENDENCYPART_ARC
(25,7),-1.51174 # DEPENDENCYPART_ARC
(25,8),-2.23503 # DEPENDENCYPART_ARC
(25,9),-1.81424 # DEPENDENCYPART_ARC
(25,10),-1.29012 # DEPENDENCYPART_ARC
(25,11),-1.66049 # DEPENDENCYPART_ARC
(25,12),-0.263332 # DEPENDENCYPART_ARC
(25,13),-1.68188 # DEPENDENCYPART_ARC
(25,14),-1.78167 # DEPENDENCYPART_ARC
(25,15),-1.76003 # DEPENDENCYPART_ARC
(25,16),-1.41769 # DEPENDENCYPART_ARC
(25,17),-1.63107 # DEPENDENCYPART_ARC
(25,18),-1.42878 # DEPENDENCYPART_ARC
(25,19),-1.05604 # DEPENDENCYPART_ARC
(25,20),-1.65218 # DEPENDENCYPART_ARC
(25,21),-0.822889 # DEPENDENCYPART_ARC
(25,22),-1.15871 # DEPENDENCYPART_ARC
(25,23),-1.31446 # DEPENDENCYPART_ARC
(25,24),-1.09504 # DEPENDENCYPART_ARC
