# _root_ James Alexander , a Burmah spokesman , said SHV had previously owned `` a little under 5 % '' of Burmah for about two years .
#goldHeads=2,8,2,6,6,2,2,0,10,8,10,10,15,15,18,15,15,12,18,18,20,12,25,23,22,8,
#predictedHeads=2,8,2,6,6,2,2,0,10,8,10,10,18,15,18,12,18,16,18,18,20,10,25,23,22,8,
(20,10),-1.10943 # DEPENDENCYPART_ARC
(20,11),-0.901911 # DEPENDENCYPART_ARC
(20,12),-0.965276 # DEPENDENCYPART_ARC
(20,13),0.103304 # DEPENDENCYPART_ARC
(20,14),-0.753039 # DEPENDENCYPART_ARC
(20,15),-0.830874 # DEPENDENCYPART_ARC
(20,16),-0.0900363 # DEPENDENCYPART_ARC
(20,17),-0.0190915 # DEPENDENCYPART_ARC
(20,18),-0.159794 # DEPENDENCYPART_ARC
(20,19),0.34961 # DEPENDENCYPART_ARC
(20,21),3.34704 # DEPENDENCYPART_ARC
(20,22),-0.171664 # DEPENDENCYPART_ARC
(20,23),-0.155175 # DEPENDENCYPART_ARC
(20,24),-0.4278 # DEPENDENCYPART_ARC
(20,25),0.320465 # DEPENDENCYPART_ARC
(20,26),0.175226 # DEPENDENCYPART_ARC
(21,1),-7.15396 # DEPENDENCYPART_ARC
(21,2),-8.00531 # DEPENDENCYPART_ARC
(21,3),-3.35013 # DEPENDENCYPART_ARC
(21,4),-2.34626 # DEPENDENCYPART_ARC
(21,5),-5.62577 # DEPENDENCYPART_ARC
(21,6),-4.97176 # DEPENDENCYPART_ARC
(21,7),-3.24986 # DEPENDENCYPART_ARC
(21,8),-3.44323 # DEPENDENCYPART_ARC
(21,9),-4.34661 # DEPENDENCYPART_ARC
(21,10),-3.21347 # DEPENDENCYPART_ARC
(21,11),-2.16246 # DEPENDENCYPART_ARC
(21,12),-2.20672 # DEPENDENCYPART_ARC
(21,13),-0.694246 # DEPENDENCYPART_ARC
(21,14),-0.395486 # DEPENDENCYPART_ARC
(21,15),-1.64737 # DEPENDENCYPART_ARC
(21,16),-0.938199 # DEPENDENCYPART_ARC
(21,17),0.453299 # DEPENDENCYPART_ARC
(21,18),-0.510825 # DEPENDENCYPART_ARC
(21,19),0.0896133 # DEPENDENCYPART_ARC
(21,20),0.8008 # DEPENDENCYPART_ARC
(21,22),0.539534 # DEPENDENCYPART_ARC
(21,23),0.0172996 # DEPENDENCYPART_ARC
(21,24),0.035644 # DEPENDENCYPART_ARC
(21,25),-0.563408 # DEPENDENCYPART_ARC
(21,26),0.0692022 # DEPENDENCYPART_ARC
(22,1),-3.11216 # DEPENDENCYPART_ARC
(22,2),-3.15979 # DEPENDENCYPART_ARC
(22,3),-2.2631 # DEPENDENCYPART_ARC
(22,4),-2.10856 # DEPENDENCYPART_ARC
(22,5),-2.43194 # DEPENDENCYPART_ARC
(22,6),-3.44828 # DEPENDENCYPART_ARC
(22,7),-1.8914 # DEPENDENCYPART_ARC
(22,8),-2.01604 # DEPENDENCYPART_ARC
(22,9),-2.11386 # DEPENDENCYPART_ARC
(22,10),-1.56726 # DEPENDENCYPART_ARC
(22,11),-1.73338 # DEPENDENCYPART_ARC
(22,12),-1.20001 # DEPENDENCYPART_ARC
(22,13),-0.370014 # DEPENDENCYPART_ARC
(22,14),-0.811935 # DEPENDENCYPART_ARC
(22,15),-1.27472 # DEPENDENCYPART_ARC
(22,16),-0.0589798 # DEPENDENCYPART_ARC
(22,17),-0.659371 # DEPENDENCYPART_ARC
(22,18),-0.928888 # DEPENDENCYPART_ARC
(22,19),-0.420285 # DEPENDENCYPART_ARC
(22,20),0.439837 # DEPENDENCYPART_ARC
(22,21),0.29771 # DEPENDENCYPART_ARC
(22,23),0.984177 # DEPENDENCYPART_ARC
(22,24),1.3425 # DEPENDENCYPART_ARC
(22,25),3.66094 # DEPENDENCYPART_ARC
(22,26),0.266625 # DEPENDENCYPART_ARC
(23,1),-3.41574 # DEPENDENCYPART_ARC
(23,2),-3.35767 # DEPENDENCYPART_ARC
(23,3),-2.79071 # DEPENDENCYPART_ARC
(23,4),-1.36258 # DEPENDENCYPART_ARC
(23,5),-2.88421 # DEPENDENCYPART_ARC
(23,6),-3.0963 # DEPENDENCYPART_ARC
(23,7),-2.3458 # DEPENDENCYPART_ARC
(23,8),-2.30863 # DEPENDENCYPART_ARC
(23,9),-2.5661 # DEPENDENCYPART_ARC
(23,10),-2.14801 # DEPENDENCYPART_ARC
(23,11),-0.663971 # DEPENDENCYPART_ARC
(23,12),-1.76535 # DEPENDENCYPART_ARC
(23,13),-1.66349 # DEPENDENCYPART_ARC
(23,14),-0.0701486 # DEPENDENCYPART_ARC
(23,15),-1.00593 # DEPENDENCYPART_ARC
(23,16),-0.716649 # DEPENDENCYPART_ARC
(23,17),-1.24637 # DEPENDENCYPART_ARC
(23,18),-1.19839 # DEPENDENCYPART_ARC
(23,19),-1.34953 # DEPENDENCYPART_ARC
(23,20),-0.405339 # DEPENDENCYPART_ARC
(23,21),-0.581203 # DEPENDENCYPART_ARC
(23,22),0.942261 # DEPENDENCYPART_ARC
(23,24),4.53304 # DEPENDENCYPART_ARC
(23,25),1.1057 # DEPENDENCYPART_ARC
(23,26),0.289742 # DEPENDENCYPART_ARC
(24,1),-3.92072 # DEPENDENCYPART_ARC
(24,2),-3.78612 # DEPENDENCYPART_ARC
(24,3),-3.63519 # DEPENDENCYPART_ARC
(24,4),-2.29558 # DEPENDENCYPART_ARC
(24,5),-3.16514 # DEPENDENCYPART_ARC
(24,6),-3.50995 # DEPENDENCYPART_ARC
(24,7),-3.19064 # DEPENDENCYPART_ARC
(24,8),-2.7125 # DEPENDENCYPART_ARC
(24,9),-2.66522 # DEPENDENCYPART_ARC
(24,10),-2.51783 # DEPENDENCYPART_ARC
(24,11),-2.13675 # DEPENDENCYPART_ARC
(24,12),-2.05629 # DEPENDENCYPART_ARC
(24,13),-1.84388 # DEPENDENCYPART_ARC
(24,14),-0.960419 # DEPENDENCYPART_ARC
(24,15),-1.39404 # DEPENDENCYPART_ARC
(24,16),-1.24565 # DEPENDENCYPART_ARC
(24,17),-0.976 # DEPENDENCYPART_ARC
(24,18),-1.87629 # DEPENDENCYPART_ARC
(24,19),-1.07976 # DEPENDENCYPART_ARC
(24,20),-0.29139 # DEPENDENCYPART_ARC
(24,21),-0.288465 # DEPENDENCYPART_ARC
(24,22),-0.0681705 # DEPENDENCYPART_ARC
(24,23),1.85706 # DEPENDENCYPART_ARC
(24,25),0.332229 # DEPENDENCYPART_ARC
(24,26),-1.06528 # DEPENDENCYPART_ARC
(25,1),-7.50035 # DEPENDENCYPART_ARC
(25,2),-8.5839 # DEPENDENCYPART_ARC
(25,3),-1.93514 # DEPENDENCYPART_ARC
(25,4),-4.80189 # DEPENDENCYPART_ARC
(25,5),-6.44297 # DEPENDENCYPART_ARC
(25,6),-5.1922 # DEPENDENCYPART_ARC
(25,7),-2.26639 # DEPENDENCYPART_ARC
(25,8),-2.10934 # DEPENDENCYPART_ARC
(25,9),-5.61279 # DEPENDENCYPART_ARC
(25,10),-1.7768 # DEPENDENCYPART_ARC
(25,11),-1.99711 # DEPENDENCYPART_ARC
(25,12),-2.32547 # DEPENDENCYPART_ARC
(25,13),-1.22969 # DEPENDENCYPART_ARC
(25,14),-1.77195 # DEPENDENCYPART_ARC
(25,15),-1.17043 # DEPENDENCYPART_ARC
(25,16),-0.453578 # DEPENDENCYPART_ARC
(25,17),-0.109799 # DEPENDENCYPART_ARC
(25,18),-1.59642 # DEPENDENCYPART_ARC
(25,19),-0.756982 # DEPENDENCYPART_ARC
(25,20),0.279095 # DEPENDENCYPART_ARC
(25,21),-0.127016 # DEPENDENCYPART_ARC
(25,22),0.402489 # DEPENDENCYPART_ARC
(25,23),3.59955 # DEPENDENCYPART_ARC
(25,24),3.94832 # DEPENDENCYPART_ARC
(25,26),0.169664 # DEPENDENCYPART_ARC
(26,1),-3.03536 # DEPENDENCYPART_ARC
(26,2),-3.41934 # DEPENDENCYPART_ARC
(26,3),-1.73995 # DEPENDENCYPART_ARC
(26,4),-2.95774 # DEPENDENCYPART_ARC
(26,5),-2.94094 # DEPENDENCYPART_ARC
(26,6),-2.48409 # DEPENDENCYPART_ARC
(26,7),-1.54093 # DEPENDENCYPART_ARC
(26,8),-1.87394 # DEPENDENCYPART_ARC
(26,9),-2.56502 # DEPENDENCYPART_ARC
(26,10),-1.62386 # DEPENDENCYPART_ARC
(26,11),-1.97815 # DEPENDENCYPART_ARC
(26,12),-1.82431 # DEPENDENCYPART_ARC
(26,13),-1.58956 # DEPENDENCYPART_ARC
(26,14),-1.82155 # DEPENDENCYPART_ARC
(26,15),-1.96073 # DEPENDENCYPART_ARC
(26,16),-1.58186 # DEPENDENCYPART_ARC
(26,17),-1.91665 # DEPENDENCYPART_ARC
(26,18),-1.43866 # DEPENDENCYPART_ARC
(26,19),-1.31681 # DEPENDENCYPART_ARC
(26,20),-1.04728 # DEPENDENCYPART_ARC
(26,21),-1.63407 # DEPENDENCYPART_ARC
(26,22),-1.26115 # DEPENDENCYPART_ARC
(26,23),-0.79378 # DEPENDENCYPART_ARC
(26,24),-1.48091 # DEPENDENCYPART_ARC
(26,25),-1.50853 # DEPENDENCYPART_ARC
