# _root_ Gitano Group Inc. said it agreed to buy 50 % of Regatta Sport Ltd. , a closely held apparel maker , with the assumption of $ 3 million of contingent debt .
#goldHeads=2,4,2,0,6,4,6,7,10,8,10,13,11,13,13,20,18,20,20,13,13,8,24,22,24,25,26,26,26,31,29,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,8,10,13,11,13,13,20,18,20,20,13,13,20,24,22,24,25,26,26,26,31,29,4,
(16,10),-2.03245 # DEPENDENCYPART_ARC
(16,11),-1.00304 # DEPENDENCYPART_ARC
(16,12),-1.2086 # DEPENDENCYPART_ARC
(16,13),-0.972265 # DEPENDENCYPART_ARC
(16,14),-0.938324 # DEPENDENCYPART_ARC
(16,15),-0.0284367 # DEPENDENCYPART_ARC
(16,17),0.465415 # DEPENDENCYPART_ARC
(16,18),0.537995 # DEPENDENCYPART_ARC
(16,19),-0.0332395 # DEPENDENCYPART_ARC
(16,20),-0.237046 # DEPENDENCYPART_ARC
(16,21),-0.27318 # DEPENDENCYPART_ARC
(16,22),-0.385109 # DEPENDENCYPART_ARC
(16,23),-1.41992 # DEPENDENCYPART_ARC
(16,24),-0.991176 # DEPENDENCYPART_ARC
(16,25),-0.783736 # DEPENDENCYPART_ARC
(16,26),-2.1539 # DEPENDENCYPART_ARC
(16,27),-1.35602 # DEPENDENCYPART_ARC
(16,28),-1.43357 # DEPENDENCYPART_ARC
(16,29),-1.32429 # DEPENDENCYPART_ARC
(16,30),-2.03304 # DEPENDENCYPART_ARC
(16,31),-1.94687 # DEPENDENCYPART_ARC
(16,32),-0.782583 # DEPENDENCYPART_ARC
(17,1),-2.70849 # DEPENDENCYPART_ARC
(17,2),-2.65524 # DEPENDENCYPART_ARC
(17,3),-2.54538 # DEPENDENCYPART_ARC
(17,4),-2.08507 # DEPENDENCYPART_ARC
(17,5),-2.38146 # DEPENDENCYPART_ARC
(17,6),-1.90458 # DEPENDENCYPART_ARC
(17,7),-1.73015 # DEPENDENCYPART_ARC
(17,8),-1.62905 # DEPENDENCYPART_ARC
(17,9),-1.48993 # DEPENDENCYPART_ARC
(17,10),-1.3357 # DEPENDENCYPART_ARC
(17,11),-0.965861 # DEPENDENCYPART_ARC
(17,12),-1.38549 # DEPENDENCYPART_ARC
(17,13),-1.2334 # DEPENDENCYPART_ARC
(17,14),-0.845245 # DEPENDENCYPART_ARC
(17,15),-0.060991 # DEPENDENCYPART_ARC
(17,16),1.2821 # DEPENDENCYPART_ARC
(17,18),1.66491 # DEPENDENCYPART_ARC
(17,19),1.07071 # DEPENDENCYPART_ARC
(17,20),0.500898 # DEPENDENCYPART_ARC
(17,21),0.252353 # DEPENDENCYPART_ARC
(17,22),-0.668878 # DEPENDENCYPART_ARC
(17,23),-0.697798 # DEPENDENCYPART_ARC
(17,24),-1.26337 # DEPENDENCYPART_ARC
(17,25),-1.01315 # DEPENDENCYPART_ARC
(17,26),-1.11988 # DEPENDENCYPART_ARC
(17,27),-2.01662 # DEPENDENCYPART_ARC
(17,28),-2.06385 # DEPENDENCYPART_ARC
(17,29),-1.52777 # DEPENDENCYPART_ARC
(17,30),-0.361347 # DEPENDENCYPART_ARC
(17,31),-2.09496 # DEPENDENCYPART_ARC
(17,32),-0.439512 # DEPENDENCYPART_ARC
(18,1),-0.807715 # DEPENDENCYPART_ARC
(18,2),-0.92063 # DEPENDENCYPART_ARC
(18,3),-1.05783 # DEPENDENCYPART_ARC
(18,4),-1.28635 # DEPENDENCYPART_ARC
(18,5),-0.362323 # DEPENDENCYPART_ARC
(18,6),-0.865669 # DEPENDENCYPART_ARC
(18,7),-0.662575 # DEPENDENCYPART_ARC
(18,8),-0.953139 # DEPENDENCYPART_ARC
(18,9),-0.769664 # DEPENDENCYPART_ARC
(18,10),0.0246986 # DEPENDENCYPART_ARC
(18,11),-0.495647 # DEPENDENCYPART_ARC
(18,12),0.18826 # DEPENDENCYPART_ARC
(18,13),-0.0952916 # DEPENDENCYPART_ARC
(18,14),-0.0224766 # DEPENDENCYPART_ARC
(18,15),1.08421 # DEPENDENCYPART_ARC
(18,16),0.795027 # DEPENDENCYPART_ARC
(18,17),3.8831 # DEPENDENCYPART_ARC
(18,19),1.17146 # DEPENDENCYPART_ARC
(18,20),1.40211 # DEPENDENCYPART_ARC
(18,21),0.907296 # DEPENDENCYPART_ARC
(18,22),0.605883 # DEPENDENCYPART_ARC
(18,23),-1.73414 # DEPENDENCYPART_ARC
(18,24),-1.32322 # DEPENDENCYPART_ARC
(18,25),-1.47623 # DEPENDENCYPART_ARC
(18,26),-1.18006 # DEPENDENCYPART_ARC
(18,27),-1.78128 # DEPENDENCYPART_ARC
(18,28),-1.80437 # DEPENDENCYPART_ARC
(18,29),-2.4696 # DEPENDENCYPART_ARC
(18,30),-2.02429 # DEPENDENCYPART_ARC
(18,31),-2.38146 # DEPENDENCYPART_ARC
(18,32),1.24149 # DEPENDENCYPART_ARC
(19,1),-6.05001 # DEPENDENCYPART_ARC
(19,2),-5.81112 # DEPENDENCYPART_ARC
(19,3),-6.10517 # DEPENDENCYPART_ARC
(19,4),-3.01964 # DEPENDENCYPART_ARC
(19,5),-2.53493 # DEPENDENCYPART_ARC
(19,6),-2.42259 # DEPENDENCYPART_ARC
(19,7),-2.92277 # DEPENDENCYPART_ARC
(19,8),-2.15915 # DEPENDENCYPART_ARC
(19,9),-1.25275 # DEPENDENCYPART_ARC
(19,10),-3.46369 # DEPENDENCYPART_ARC
(19,11),-1.19627 # DEPENDENCYPART_ARC
(19,12),-1.23431 # DEPENDENCYPART_ARC
(19,13),-1.80316 # DEPENDENCYPART_ARC
(19,14),-2.01189 # DEPENDENCYPART_ARC
(19,15),-0.205413 # DEPENDENCYPART_ARC
(19,16),2.11999 # DEPENDENCYPART_ARC
(19,17),1.02179 # DEPENDENCYPART_ARC
(19,18),1.54651 # DEPENDENCYPART_ARC
(19,20),1.33828 # DEPENDENCYPART_ARC
(19,21),0.464291 # DEPENDENCYPART_ARC
(19,22),0.574222 # DEPENDENCYPART_ARC
(19,23),-0.723594 # DEPENDENCYPART_ARC
(19,24),-0.506457 # DEPENDENCYPART_ARC
(19,25),-0.491465 # DEPENDENCYPART_ARC
(19,26),-1.50026 # DEPENDENCYPART_ARC
(19,27),-0.590771 # DEPENDENCYPART_ARC
(19,28),-1.07206 # DEPENDENCYPART_ARC
(19,29),-2.28143 # DEPENDENCYPART_ARC
(19,30),-1.20419 # DEPENDENCYPART_ARC
(19,31),-0.823166 # DEPENDENCYPART_ARC
(19,32),0.066923 # DEPENDENCYPART_ARC
(20,1),-3.70513 # DEPENDENCYPART_ARC
(20,2),-3.47879 # DEPENDENCYPART_ARC
(20,3),-4.18324 # DEPENDENCYPART_ARC
(20,4),-1.77364 # DEPENDENCYPART_ARC
(20,5),-0.770281 # DEPENDENCYPART_ARC
(20,6),-1.07325 # DEPENDENCYPART_ARC
(20,7),-1.93091 # DEPENDENCYPART_ARC
(20,8),-0.773238 # DEPENDENCYPART_ARC
(20,9),-0.142893 # DEPENDENCYPART_ARC
(20,10),-2.05758 # DEPENDENCYPART_ARC
(20,11),0.0519314 # DEPENDENCYPART_ARC
(20,12),0.940576 # DEPENDENCYPART_ARC
(20,13),0.339397 # DEPENDENCYPART_ARC
(20,14),-0.578134 # DEPENDENCYPART_ARC
(20,15),0.700215 # DEPENDENCYPART_ARC
(20,16),3.95693 # DEPENDENCYPART_ARC
(20,17),2.08729 # DEPENDENCYPART_ARC
(20,18),3.3645 # DEPENDENCYPART_ARC
(20,19),4.7233 # DEPENDENCYPART_ARC
(20,21),1.16468 # DEPENDENCYPART_ARC
(20,22),0.854668 # DEPENDENCYPART_ARC
(20,23),-0.642069 # DEPENDENCYPART_ARC
(20,24),-0.27034 # DEPENDENCYPART_ARC
(20,25),-0.415947 # DEPENDENCYPART_ARC
(20,26),-1.52196 # DEPENDENCYPART_ARC
(20,27),-0.389148 # DEPENDENCYPART_ARC
(20,28),-0.917917 # DEPENDENCYPART_ARC
(20,29),-2.22874 # DEPENDENCYPART_ARC
(20,30),-0.873324 # DEPENDENCYPART_ARC
(20,31),-1.04945 # DEPENDENCYPART_ARC
(20,32),0.341701 # DEPENDENCYPART_ARC
(21,1),-3.64449 # DEPENDENCYPART_ARC
(21,2),-3.51608 # DEPENDENCYPART_ARC
(21,3),-3.37357 # DEPENDENCYPART_ARC
(21,4),-2.74436 # DEPENDENCYPART_ARC
(21,5),-3.04178 # DEPENDENCYPART_ARC
(21,6),-2.53047 # DEPENDENCYPART_ARC
(21,7),-2.18103 # DEPENDENCYPART_ARC
(21,8),-2.51837 # DEPENDENCYPART_ARC
(21,9),-2.52108 # DEPENDENCYPART_ARC
(21,10),-1.59029 # DEPENDENCYPART_ARC
(21,11),-2.0904 # DEPENDENCYPART_ARC
(21,12),-2.37587 # DEPENDENCYPART_ARC
(21,13),-2.30535 # DEPENDENCYPART_ARC
(21,14),-2.2222 # DEPENDENCYPART_ARC
(21,15),-0.363074 # DEPENDENCYPART_ARC
(21,16),-1.32745 # DEPENDENCYPART_ARC
(21,17),-1.96647 # DEPENDENCYPART_ARC
(21,18),-0.958024 # DEPENDENCYPART_ARC
(21,19),-1.63141 # DEPENDENCYPART_ARC
(21,20),-1.16261 # DEPENDENCYPART_ARC
(21,22),-0.576997 # DEPENDENCYPART_ARC
(21,23),-0.938341 # DEPENDENCYPART_ARC
(21,24),-1.33252 # DEPENDENCYPART_ARC
(21,25),-1.09489 # DEPENDENCYPART_ARC
(21,26),-1.72522 # DEPENDENCYPART_ARC
(21,27),-2.08728 # DEPENDENCYPART_ARC
(21,28),-2.22953 # DEPENDENCYPART_ARC
(21,29),-1.48969 # DEPENDENCYPART_ARC
(21,30),-2.12096 # DEPENDENCYPART_ARC
(21,31),-2.50384 # DEPENDENCYPART_ARC
(21,32),-1.47486 # DEPENDENCYPART_ARC
(22,1),-3.35092 # DEPENDENCYPART_ARC
(22,2),-3.11785 # DEPENDENCYPART_ARC
(22,3),-3.15 # DEPENDENCYPART_ARC
(22,4),-2.83319 # DEPENDENCYPART_ARC
(22,5),-2.89437 # DEPENDENCYPART_ARC
(22,6),-2.51999 # DEPENDENCYPART_ARC
(22,7),-2.28052 # DEPENDENCYPART_ARC
(22,8),-2.36446 # DEPENDENCYPART_ARC
(22,9),-2.18897 # DEPENDENCYPART_ARC
(22,10),-2.93001 # DEPENDENCYPART_ARC
(22,11),-1.88108 # DEPENDENCYPART_ARC
(22,12),-1.64374 # DEPENDENCYPART_ARC
(22,13),-1.82319 # DEPENDENCYPART_ARC
(22,14),-1.9136 # DEPENDENCYPART_ARC
(22,15),-1.74846 # DEPENDENCYPART_ARC
(22,16),-1.03166 # DEPENDENCYPART_ARC
(22,17),-1.69908 # DEPENDENCYPART_ARC
(22,18),-0.844004 # DEPENDENCYPART_ARC
(22,19),-0.85729 # DEPENDENCYPART_ARC
(22,20),-1.57609 # DEPENDENCYPART_ARC
(22,21),0.0454417 # DEPENDENCYPART_ARC
(22,23),0.231196 # DEPENDENCYPART_ARC
(22,24),2.75382 # DEPENDENCYPART_ARC
(22,25),0.801628 # DEPENDENCYPART_ARC
(22,26),-0.0277113 # DEPENDENCYPART_ARC
(22,27),-0.375761 # DEPENDENCYPART_ARC
(22,28),-0.275709 # DEPENDENCYPART_ARC
(22,29),-0.344057 # DEPENDENCYPART_ARC
(22,30),-0.16255 # DEPENDENCYPART_ARC
(22,31),1.24365 # DEPENDENCYPART_ARC
(22,32),0.44234 # DEPENDENCYPART_ARC
(23,1),-4.76058 # DEPENDENCYPART_ARC
(23,2),-4.72773 # DEPENDENCYPART_ARC
(23,3),-4.51523 # DEPENDENCYPART_ARC
(23,4),-4.14587 # DEPENDENCYPART_ARC
(23,5),-3.8315 # DEPENDENCYPART_ARC
(23,6),-3.93148 # DEPENDENCYPART_ARC
(23,7),-3.80919 # DEPENDENCYPART_ARC
(23,8),-3.58625 # DEPENDENCYPART_ARC
(23,9),-3.4644 # DEPENDENCYPART_ARC
(23,10),-4.07476 # DEPENDENCYPART_ARC
(23,11),-3.29607 # DEPENDENCYPART_ARC
(23,12),-3.53528 # DEPENDENCYPART_ARC
(23,13),-3.28144 # DEPENDENCYPART_ARC
(23,14),-3.19478 # DEPENDENCYPART_ARC
(23,15),-2.99775 # DEPENDENCYPART_ARC
(23,16),-2.41516 # DEPENDENCYPART_ARC
(23,17),-2.82254 # DEPENDENCYPART_ARC
(23,18),-2.69893 # DEPENDENCYPART_ARC
(23,19),-2.61661 # DEPENDENCYPART_ARC
(23,20),-2.31611 # DEPENDENCYPART_ARC
(23,21),-1.73191 # DEPENDENCYPART_ARC
(23,22),-0.896881 # DEPENDENCYPART_ARC
(23,24),0.00191627 # DEPENDENCYPART_ARC
(23,25),-0.896677 # DEPENDENCYPART_ARC
(23,26),-2.36936 # DEPENDENCYPART_ARC
(23,27),-1.39306 # DEPENDENCYPART_ARC
(23,28),-1.65912 # DEPENDENCYPART_ARC
(23,29),-1.44973 # DEPENDENCYPART_ARC
(23,30),-2.20574 # DEPENDENCYPART_ARC
(23,31),-2.37565 # DEPENDENCYPART_ARC
(23,32),-2.18511 # DEPENDENCYPART_ARC
(24,1),-8.92174 # DEPENDENCYPART_ARC
(24,2),-8.08536 # DEPENDENCYPART_ARC
(24,3),-8.75568 # DEPENDENCYPART_ARC
(24,4),-3.4151 # DEPENDENCYPART_ARC
(24,5),-2.95154 # DEPENDENCYPART_ARC
(24,6),-2.52137 # DEPENDENCYPART_ARC
(24,7),-3.80756 # DEPENDENCYPART_ARC
(24,8),-2.89608 # DEPENDENCYPART_ARC
(24,9),-3.71449 # DEPENDENCYPART_ARC
(24,10),-5.35645 # DEPENDENCYPART_ARC
(24,11),-1.97339 # DEPENDENCYPART_ARC
(24,12),-4.15142 # DEPENDENCYPART_ARC
(24,13),-4.65994 # DEPENDENCYPART_ARC
(24,14),-5.11815 # DEPENDENCYPART_ARC
(24,15),-1.31331 # DEPENDENCYPART_ARC
(24,16),-0.00747766 # DEPENDENCYPART_ARC
(24,17),-1.62574 # DEPENDENCYPART_ARC
(24,18),-1.02347 # DEPENDENCYPART_ARC
(24,19),-0.410848 # DEPENDENCYPART_ARC
(24,20),-2.27969 # DEPENDENCYPART_ARC
(24,21),0.00987438 # DEPENDENCYPART_ARC
(24,22),0.594612 # DEPENDENCYPART_ARC
(24,23),4.69464 # DEPENDENCYPART_ARC
(24,25),3.0543 # DEPENDENCYPART_ARC
(24,26),0.619881 # DEPENDENCYPART_ARC
(24,27),1.41017 # DEPENDENCYPART_ARC
(24,28),0.492406 # DEPENDENCYPART_ARC
(24,29),0.979343 # DEPENDENCYPART_ARC
(24,30),0.244195 # DEPENDENCYPART_ARC
(24,31),0.758562 # DEPENDENCYPART_ARC
(24,32),0.900896 # DEPENDENCYPART_ARC
(25,1),-3.80235 # DEPENDENCYPART_ARC
(25,2),-3.67607 # DEPENDENCYPART_ARC
(25,3),-3.67344 # DEPENDENCYPART_ARC
(25,4),-3.67148 # DEPENDENCYPART_ARC
(25,5),-3.51826 # DEPENDENCYPART_ARC
(25,6),-3.25233 # DEPENDENCYPART_ARC
(25,7),-2.91242 # DEPENDENCYPART_ARC
(25,8),-2.88762 # DEPENDENCYPART_ARC
(25,9),-2.94048 # DEPENDENCYPART_ARC
(25,10),-3.6454 # DEPENDENCYPART_ARC
(25,11),-3.01306 # DEPENDENCYPART_ARC
(25,12),-2.41146 # DEPENDENCYPART_ARC
(25,13),-2.548 # DEPENDENCYPART_ARC
(25,14),-2.56983 # DEPENDENCYPART_ARC
(25,15),-2.38855 # DEPENDENCYPART_ARC
(25,16),-1.97971 # DEPENDENCYPART_ARC
(25,17),-1.93689 # DEPENDENCYPART_ARC
(25,18),-1.47191 # DEPENDENCYPART_ARC
(25,19),-1.67255 # DEPENDENCYPART_ARC
(25,20),-2.09877 # DEPENDENCYPART_ARC
(25,21),-1.30337 # DEPENDENCYPART_ARC
(25,22),-0.77738 # DEPENDENCYPART_ARC
(25,23),-0.685401 # DEPENDENCYPART_ARC
(25,24),0.0692756 # DEPENDENCYPART_ARC
(25,26),3.62565 # DEPENDENCYPART_ARC
(25,27),1.27913 # DEPENDENCYPART_ARC
(25,28),1.26461 # DEPENDENCYPART_ARC
(25,29),0.758936 # DEPENDENCYPART_ARC
(25,30),0.0996406 # DEPENDENCYPART_ARC
(25,31),1.55924 # DEPENDENCYPART_ARC
(25,32),-0.247675 # DEPENDENCYPART_ARC
(26,1),-3.74936 # DEPENDENCYPART_ARC
(26,2),-3.75275 # DEPENDENCYPART_ARC
(26,3),-3.63343 # DEPENDENCYPART_ARC
(26,4),-2.63477 # DEPENDENCYPART_ARC
(26,5),-2.6929 # DEPENDENCYPART_ARC
(26,6),-2.5972 # DEPENDENCYPART_ARC
(26,7),-2.44383 # DEPENDENCYPART_ARC
(26,8),-2.22336 # DEPENDENCYPART_ARC
(26,9),-2.20851 # DEPENDENCYPART_ARC
(26,10),-2.84702 # DEPENDENCYPART_ARC
(26,11),-2.30755 # DEPENDENCYPART_ARC
(26,12),-2.44551 # DEPENDENCYPART_ARC
(26,13),-2.27994 # DEPENDENCYPART_ARC
(26,14),-2.20244 # DEPENDENCYPART_ARC
(26,15),-1.61315 # DEPENDENCYPART_ARC
(26,16),0.145974 # DEPENDENCYPART_ARC
(26,17),-1.21274 # DEPENDENCYPART_ARC
(26,18),-1.08166 # DEPENDENCYPART_ARC
(26,19),-1.17047 # DEPENDENCYPART_ARC
(26,20),-1.34828 # DEPENDENCYPART_ARC
(26,21),-0.790724 # DEPENDENCYPART_ARC
(26,22),-0.823854 # DEPENDENCYPART_ARC
(26,23),1.89042 # DEPENDENCYPART_ARC
(26,24),0.937596 # DEPENDENCYPART_ARC
(26,25),1.55483 # DEPENDENCYPART_ARC
(26,27),4.71644 # DEPENDENCYPART_ARC
(26,28),4.25527 # DEPENDENCYPART_ARC
(26,29),3.26974 # DEPENDENCYPART_ARC
(26,30),1.34984 # DEPENDENCYPART_ARC
(26,31),0.447728 # DEPENDENCYPART_ARC
(26,32),0.489571 # DEPENDENCYPART_ARC
(27,1),-5.27023 # DEPENDENCYPART_ARC
(27,2),-5.10367 # DEPENDENCYPART_ARC
(27,3),-5.1144 # DEPENDENCYPART_ARC
(27,4),-4.75915 # DEPENDENCYPART_ARC
(27,5),-4.71275 # DEPENDENCYPART_ARC
(27,6),-4.47832 # DEPENDENCYPART_ARC
(27,7),-4.49989 # DEPENDENCYPART_ARC
(27,8),-3.53934 # DEPENDENCYPART_ARC
(27,9),-4.05257 # DEPENDENCYPART_ARC
(27,10),-4.47272 # DEPENDENCYPART_ARC
(27,11),-3.01774 # DEPENDENCYPART_ARC
(27,12),-3.69584 # DEPENDENCYPART_ARC
(27,13),-3.79761 # DEPENDENCYPART_ARC
(27,14),-3.67961 # DEPENDENCYPART_ARC
(27,15),-3.27752 # DEPENDENCYPART_ARC
(27,16),-2.49873 # DEPENDENCYPART_ARC
(27,17),-2.90066 # DEPENDENCYPART_ARC
(27,18),-2.81538 # DEPENDENCYPART_ARC
(27,19),-3.24462 # DEPENDENCYPART_ARC
(27,20),-3.15066 # DEPENDENCYPART_ARC
(27,21),-2.70348 # DEPENDENCYPART_ARC
(27,22),-2.64272 # DEPENDENCYPART_ARC
(27,23),-1.09449 # DEPENDENCYPART_ARC
(27,24),-1.87979 # DEPENDENCYPART_ARC
(27,25),-0.893852 # DEPENDENCYPART_ARC
(27,26),-0.658928 # DEPENDENCYPART_ARC
(27,28),1.49867 # DEPENDENCYPART_ARC
(27,29),-0.313648 # DEPENDENCYPART_ARC
(27,30),-0.594197 # DEPENDENCYPART_ARC
(27,31),-0.756499 # DEPENDENCYPART_ARC
(27,32),-1.08772 # DEPENDENCYPART_ARC
(28,1),-3.60519 # DEPENDENCYPART_ARC
(28,2),-3.57877 # DEPENDENCYPART_ARC
(28,3),-3.39294 # DEPENDENCYPART_ARC
(28,4),-3.15917 # DEPENDENCYPART_ARC
(28,5),-3.14036 # DEPENDENCYPART_ARC
(28,6),-2.7916 # DEPENDENCYPART_ARC
(28,7),-2.43333 # DEPENDENCYPART_ARC
(28,8),-1.86983 # DEPENDENCYPART_ARC
(28,9),-2.79976 # DEPENDENCYPART_ARC
(28,10),-2.96506 # DEPENDENCYPART_ARC
(28,11),-1.11415 # DEPENDENCYPART_ARC
(28,12),-2.10145 # DEPENDENCYPART_ARC
(28,13),-2.18364 # DEPENDENCYPART_ARC
(28,14),-2.14903 # DEPENDENCYPART_ARC
(28,15),-1.56308 # DEPENDENCYPART_ARC
(28,16),-0.628034 # DEPENDENCYPART_ARC
(28,17),-1.20053 # DEPENDENCYPART_ARC
(28,18),-1.08499 # DEPENDENCYPART_ARC
(28,19),-1.72532 # DEPENDENCYPART_ARC
(28,20),-1.71062 # DEPENDENCYPART_ARC
(28,21),-1.093 # DEPENDENCYPART_ARC
(28,22),-1.24824 # DEPENDENCYPART_ARC
(28,23),0.622044 # DEPENDENCYPART_ARC
(28,24),-0.601964 # DEPENDENCYPART_ARC
(28,25),0.264483 # DEPENDENCYPART_ARC
(28,26),0.574839 # DEPENDENCYPART_ARC
(28,27),1.70282 # DEPENDENCYPART_ARC
(28,29),0.57496 # DEPENDENCYPART_ARC
(28,30),0.149731 # DEPENDENCYPART_ARC
(28,31),0.31588 # DEPENDENCYPART_ARC
(28,32),-0.746556 # DEPENDENCYPART_ARC
(29,1),-3.69483 # DEPENDENCYPART_ARC
(29,2),-3.54148 # DEPENDENCYPART_ARC
(29,3),-3.74022 # DEPENDENCYPART_ARC
(29,4),-3.52366 # DEPENDENCYPART_ARC
(29,5),-3.53552 # DEPENDENCYPART_ARC
(29,6),-3.26534 # DEPENDENCYPART_ARC
(29,7),-2.77234 # DEPENDENCYPART_ARC
(29,8),-2.86926 # DEPENDENCYPART_ARC
(29,9),-2.92273 # DEPENDENCYPART_ARC
(29,10),-3.7163 # DEPENDENCYPART_ARC
(29,11),-3.17581 # DEPENDENCYPART_ARC
(29,12),-2.44781 # DEPENDENCYPART_ARC
(29,13),-2.55698 # DEPENDENCYPART_ARC
(29,14),-2.5781 # DEPENDENCYPART_ARC
(29,15),-2.39054 # DEPENDENCYPART_ARC
(29,16),-2.43688 # DEPENDENCYPART_ARC
(29,17),-2.13964 # DEPENDENCYPART_ARC
(29,18),-1.5553 # DEPENDENCYPART_ARC
(29,19),-1.6033 # DEPENDENCYPART_ARC
(29,20),-2.0331 # DEPENDENCYPART_ARC
(29,21),-1.13175 # DEPENDENCYPART_ARC
(29,22),-1.00574 # DEPENDENCYPART_ARC
(29,23),-1.12878 # DEPENDENCYPART_ARC
(29,24),-0.543988 # DEPENDENCYPART_ARC
(29,25),-0.643285 # DEPENDENCYPART_ARC
(29,26),-0.390686 # DEPENDENCYPART_ARC
(29,27),-0.472602 # DEPENDENCYPART_ARC
(29,28),-0.13172 # DEPENDENCYPART_ARC
(29,30),1.42293 # DEPENDENCYPART_ARC
(29,31),4.31484 # DEPENDENCYPART_ARC
(29,32),-0.370627 # DEPENDENCYPART_ARC
(30,1),-4.36135 # DEPENDENCYPART_ARC
(30,2),-4.57225 # DEPENDENCYPART_ARC
(30,3),-4.95401 # DEPENDENCYPART_ARC
(30,4),-4.27907 # DEPENDENCYPART_ARC
(30,5),-4.12215 # DEPENDENCYPART_ARC
(30,6),-4.14121 # DEPENDENCYPART_ARC
(30,7),-2.383 # DEPENDENCYPART_ARC
(30,8),-3.21391 # DEPENDENCYPART_ARC
(30,9),-2.74967 # DEPENDENCYPART_ARC
(30,10),-2.62392 # DEPENDENCYPART_ARC
(30,11),-3.16065 # DEPENDENCYPART_ARC
(30,12),-2.86298 # DEPENDENCYPART_ARC
(30,13),-3.29364 # DEPENDENCYPART_ARC
(30,14),-3.6747 # DEPENDENCYPART_ARC
(30,15),-2.2467 # DEPENDENCYPART_ARC
(30,16),-0.977656 # DEPENDENCYPART_ARC
(30,17),-2.13254 # DEPENDENCYPART_ARC
(30,18),-2.48875 # DEPENDENCYPART_ARC
(30,19),-2.09502 # DEPENDENCYPART_ARC
(30,20),-2.04479 # DEPENDENCYPART_ARC
(30,21),-1.5608 # DEPENDENCYPART_ARC
(30,22),-2.06503 # DEPENDENCYPART_ARC
(30,23),-0.488675 # DEPENDENCYPART_ARC
(30,24),-1.3895 # DEPENDENCYPART_ARC
(30,25),-1.02749 # DEPENDENCYPART_ARC
(30,26),-0.181069 # DEPENDENCYPART_ARC
(30,27),0.185547 # DEPENDENCYPART_ARC
(30,28),-0.0215851 # DEPENDENCYPART_ARC
(30,29),0.564472 # DEPENDENCYPART_ARC
(30,31),1.65993 # DEPENDENCYPART_ARC
(30,32),-0.0748626 # DEPENDENCYPART_ARC
(31,1),-9.21097 # DEPENDENCYPART_ARC
(31,2),-8.65236 # DEPENDENCYPART_ARC
(31,3),-9.21217 # DEPENDENCYPART_ARC
(31,4),-3.33613 # DEPENDENCYPART_ARC
(31,5),-2.85165 # DEPENDENCYPART_ARC
(31,6),-2.67951 # DEPENDENCYPART_ARC
(31,7),-4.60877 # DEPENDENCYPART_ARC
(31,8),-3.08859 # DEPENDENCYPART_ARC
(31,9),-4.61278 # DEPENDENCYPART_ARC
(31,10),-7.49491 # DEPENDENCYPART_ARC
(31,11),-2.69975 # DEPENDENCYPART_ARC
(31,12),-4.93993 # DEPENDENCYPART_ARC
(31,13),-5.49668 # DEPENDENCYPART_ARC
(31,14),-6.5504 # DEPENDENCYPART_ARC
(31,15),-1.6632 # DEPENDENCYPART_ARC
(31,16),-1.28114 # DEPENDENCYPART_ARC
(31,17),-2.66126 # DEPENDENCYPART_ARC
(31,18),-1.1023 # DEPENDENCYPART_ARC
(31,19),-3.31908 # DEPENDENCYPART_ARC
(31,20),-4.76575 # DEPENDENCYPART_ARC
(31,21),-1.21567 # DEPENDENCYPART_ARC
(31,22),-1.43033 # DEPENDENCYPART_ARC
(31,23),0.143018 # DEPENDENCYPART_ARC
(31,24),-1.51943 # DEPENDENCYPART_ARC
(31,25),-0.533505 # DEPENDENCYPART_ARC
(31,26),-0.290465 # DEPENDENCYPART_ARC
(31,27),0.805174 # DEPENDENCYPART_ARC
(31,28),0.234358 # DEPENDENCYPART_ARC
(31,29),0.978105 # DEPENDENCYPART_ARC
(31,30),4.09102 # DEPENDENCYPART_ARC
(31,32),-0.0181095 # DEPENDENCYPART_ARC
(32,1),-3.64452 # DEPENDENCYPART_ARC
(32,2),-3.21115 # DEPENDENCYPART_ARC
(32,3),-3.39139 # DEPENDENCYPART_ARC
(32,4),-2.14837 # DEPENDENCYPART_ARC
(32,5),-1.22484 # DEPENDENCYPART_ARC
(32,6),-2.10981 # DEPENDENCYPART_ARC
(32,7),-3.09054 # DEPENDENCYPART_ARC
(32,8),-2.94389 # DEPENDENCYPART_ARC
(32,9),-3.23467 # DEPENDENCYPART_ARC
(32,10),-2.46961 # DEPENDENCYPART_ARC
(32,11),-3.03799 # DEPENDENCYPART_ARC
(32,12),-2.44302 # DEPENDENCYPART_ARC
(32,13),-2.37707 # DEPENDENCYPART_ARC
(32,14),-2.44553 # DEPENDENCYPART_ARC
(32,15),-0.761328 # DEPENDENCYPART_ARC
(32,16),-2.16056 # DEPENDENCYPART_ARC
(32,17),-1.96336 # DEPENDENCYPART_ARC
(32,18),-1.62411 # DEPENDENCYPART_ARC
(32,19),-1.83006 # DEPENDENCYPART_ARC
(32,20),-1.82827 # DEPENDENCYPART_ARC
(32,21),-0.504558 # DEPENDENCYPART_ARC
(32,22),-2.09129 # DEPENDENCYPART_ARC
(32,23),-1.02395 # DEPENDENCYPART_ARC
(32,24),-1.87754 # DEPENDENCYPART_ARC
(32,25),-1.22279 # DEPENDENCYPART_ARC
(32,26),-1.32517 # DEPENDENCYPART_ARC
