# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,2,11,9,11,14,12,9,0,18,16,20,21,18,18,24,22,24,31,31,27,31,31,25,31,32,16,
(15,10),-0.898633 # DEPENDENCYPART_ARC
(15,11),-1.26434 # DEPENDENCYPART_ARC
(15,12),-0.844591 # DEPENDENCYPART_ARC
(15,13),-1.36913 # DEPENDENCYPART_ARC
(15,14),-0.815835 # DEPENDENCYPART_ARC
(15,16),-0.396366 # DEPENDENCYPART_ARC
(15,17),-1.55794 # DEPENDENCYPART_ARC
(15,18),-1.37288 # DEPENDENCYPART_ARC
(15,19),-2.23106 # DEPENDENCYPART_ARC
(15,20),-2.26701 # DEPENDENCYPART_ARC
(15,21),-2.50681 # DEPENDENCYPART_ARC
(15,22),-2.17326 # DEPENDENCYPART_ARC
(15,23),-2.57636 # DEPENDENCYPART_ARC
(15,24),-2.29088 # DEPENDENCYPART_ARC
(15,25),-2.52086 # DEPENDENCYPART_ARC
(15,26),-3.02558 # DEPENDENCYPART_ARC
(15,27),-3.14216 # DEPENDENCYPART_ARC
(15,28),-2.81169 # DEPENDENCYPART_ARC
(15,29),-3.33968 # DEPENDENCYPART_ARC
(15,30),-3.42278 # DEPENDENCYPART_ARC
(15,31),-3.54522 # DEPENDENCYPART_ARC
(15,32),-3.16666 # DEPENDENCYPART_ARC
(15,33),-3.80269 # DEPENDENCYPART_ARC
(15,34),-2.90956 # DEPENDENCYPART_ARC
(16,1),-2.95075 # DEPENDENCYPART_ARC
(16,2),-0.463682 # DEPENDENCYPART_ARC
(16,3),0.0561763 # DEPENDENCYPART_ARC
(16,4),-0.573361 # DEPENDENCYPART_ARC
(16,5),0.229653 # DEPENDENCYPART_ARC
(16,6),-0.756581 # DEPENDENCYPART_ARC
(16,7),-0.621272 # DEPENDENCYPART_ARC
(16,8),-0.486832 # DEPENDENCYPART_ARC
(16,9),-0.796392 # DEPENDENCYPART_ARC
(16,10),-0.194256 # DEPENDENCYPART_ARC
(16,11),0.389063 # DEPENDENCYPART_ARC
(16,12),-0.576849 # DEPENDENCYPART_ARC
(16,13),0.509691 # DEPENDENCYPART_ARC
(16,14),1.2513 # DEPENDENCYPART_ARC
(16,15),1.38287 # DEPENDENCYPART_ARC
(16,17),1.36617 # DEPENDENCYPART_ARC
(16,18),3.79331 # DEPENDENCYPART_ARC
(16,19),-0.226073 # DEPENDENCYPART_ARC
(16,20),-1.17399 # DEPENDENCYPART_ARC
(16,21),-0.023116 # DEPENDENCYPART_ARC
(16,22),1.43895 # DEPENDENCYPART_ARC
(16,23),-0.796133 # DEPENDENCYPART_ARC
(16,24),1.32441 # DEPENDENCYPART_ARC
(16,25),-1.55134 # DEPENDENCYPART_ARC
(16,26),-2.0057 # DEPENDENCYPART_ARC
(16,27),-1.47746 # DEPENDENCYPART_ARC
(16,28),-2.46529 # DEPENDENCYPART_ARC
(16,29),-2.53119 # DEPENDENCYPART_ARC
(16,30),-2.20181 # DEPENDENCYPART_ARC
(16,31),-1.56512 # DEPENDENCYPART_ARC
(16,32),-1.8337 # DEPENDENCYPART_ARC
(16,33),-2.3875 # DEPENDENCYPART_ARC
(16,34),8.36114 # DEPENDENCYPART_ARC
(17,1),-2.18423 # DEPENDENCYPART_ARC
(17,2),-3.23773 # DEPENDENCYPART_ARC
(17,3),-2.75113 # DEPENDENCYPART_ARC
(17,4),-2.42902 # DEPENDENCYPART_ARC
(17,5),-2.53379 # DEPENDENCYPART_ARC
(17,6),-1.42075 # DEPENDENCYPART_ARC
(17,7),-1.16125 # DEPENDENCYPART_ARC
(17,8),-2.36179 # DEPENDENCYPART_ARC
(17,9),-1.6373 # DEPENDENCYPART_ARC
(17,10),-1.23202 # DEPENDENCYPART_ARC
(17,11),-2.03531 # DEPENDENCYPART_ARC
(17,12),-1.23767 # DEPENDENCYPART_ARC
(17,13),-1.31564 # DEPENDENCYPART_ARC
(17,14),-1.00858 # DEPENDENCYPART_ARC
(17,15),0.109147 # DEPENDENCYPART_ARC
(17,16),-0.104729 # DEPENDENCYPART_ARC
(17,18),0.671013 # DEPENDENCYPART_ARC
(17,19),-0.490884 # DEPENDENCYPART_ARC
(17,20),-0.555893 # DEPENDENCYPART_ARC
(17,21),-1.33587 # DEPENDENCYPART_ARC
(17,22),-0.187807 # DEPENDENCYPART_ARC
(17,23),-0.826548 # DEPENDENCYPART_ARC
(17,24),-1.17578 # DEPENDENCYPART_ARC
(17,25),-0.963847 # DEPENDENCYPART_ARC
(17,26),-1.39303 # DEPENDENCYPART_ARC
(17,27),-1.63584 # DEPENDENCYPART_ARC
(17,28),-1.59043 # DEPENDENCYPART_ARC
(17,29),-1.96366 # DEPENDENCYPART_ARC
(17,30),-1.9939 # DEPENDENCYPART_ARC
(17,31),-2.09086 # DEPENDENCYPART_ARC
(17,32),-2.10076 # DEPENDENCYPART_ARC
(17,33),-2.29723 # DEPENDENCYPART_ARC
(17,34),-1.6494 # DEPENDENCYPART_ARC
(18,1),-2.57077 # DEPENDENCYPART_ARC
(18,2),-0.837225 # DEPENDENCYPART_ARC
(18,3),-0.809719 # DEPENDENCYPART_ARC
(18,4),-1.4729 # DEPENDENCYPART_ARC
(18,5),-1.07962 # DEPENDENCYPART_ARC
(18,6),-0.879624 # DEPENDENCYPART_ARC
(18,7),-1.58081 # DEPENDENCYPART_ARC
(18,8),-0.0123907 # DEPENDENCYPART_ARC
(18,9),-0.778399 # DEPENDENCYPART_ARC
(18,10),-0.736675 # DEPENDENCYPART_ARC
(18,11),0.324296 # DEPENDENCYPART_ARC
(18,12),-0.756756 # DEPENDENCYPART_ARC
(18,13),-0.549576 # DEPENDENCYPART_ARC
(18,14),-1.14725 # DEPENDENCYPART_ARC
(18,15),0.683211 # DEPENDENCYPART_ARC
(18,16),-0.147398 # DEPENDENCYPART_ARC
(18,17),2.87474 # DEPENDENCYPART_ARC
(18,19),1.41222 # DEPENDENCYPART_ARC
(18,20),1.63669 # DEPENDENCYPART_ARC
(18,21),1.82365 # DEPENDENCYPART_ARC
(18,22),2.23402 # DEPENDENCYPART_ARC
(18,23),-0.334204 # DEPENDENCYPART_ARC
(18,24),0.545252 # DEPENDENCYPART_ARC
(18,25),0.865138 # DEPENDENCYPART_ARC
(18,26),-1.37851 # DEPENDENCYPART_ARC
(18,27),-1.3148 # DEPENDENCYPART_ARC
(18,28),-1.0149 # DEPENDENCYPART_ARC
(18,29),-2.11289 # DEPENDENCYPART_ARC
(18,30),-1.97355 # DEPENDENCYPART_ARC
(18,31),-1.80807 # DEPENDENCYPART_ARC
(18,32),-0.898665 # DEPENDENCYPART_ARC
(18,33),-2.42352 # DEPENDENCYPART_ARC
(18,34),6.30986 # DEPENDENCYPART_ARC
(19,1),-2.75562 # DEPENDENCYPART_ARC
(19,2),-3.49815 # DEPENDENCYPART_ARC
(19,3),-2.92463 # DEPENDENCYPART_ARC
(19,4),-3.01386 # DEPENDENCYPART_ARC
(19,5),-2.76216 # DEPENDENCYPART_ARC
(19,6),-2.66515 # DEPENDENCYPART_ARC
(19,7),-1.90151 # DEPENDENCYPART_ARC
(19,8),-2.17455 # DEPENDENCYPART_ARC
(19,9),-2.04642 # DEPENDENCYPART_ARC
(19,10),-1.18789 # DEPENDENCYPART_ARC
(19,11),-2.27526 # DEPENDENCYPART_ARC
(19,12),-1.48476 # DEPENDENCYPART_ARC
(19,13),-1.27189 # DEPENDENCYPART_ARC
(19,14),-1.2874 # DEPENDENCYPART_ARC
(19,15),-0.850279 # DEPENDENCYPART_ARC
(19,16),-0.786342 # DEPENDENCYPART_ARC
(19,17),0.0162311 # DEPENDENCYPART_ARC
(19,18),0.160093 # DEPENDENCYPART_ARC
(19,20),0.417547 # DEPENDENCYPART_ARC
(19,21),0.0592482 # DEPENDENCYPART_ARC
(19,22),0.17085 # DEPENDENCYPART_ARC
(19,23),-1.06518 # DEPENDENCYPART_ARC
(19,24),-0.332242 # DEPENDENCYPART_ARC
(19,25),-0.64969 # DEPENDENCYPART_ARC
(19,26),-1.35227 # DEPENDENCYPART_ARC
(19,27),-1.27156 # DEPENDENCYPART_ARC
(19,28),-0.936831 # DEPENDENCYPART_ARC
(19,29),-1.39985 # DEPENDENCYPART_ARC
(19,30),-1.54199 # DEPENDENCYPART_ARC
(19,31),-1.58703 # DEPENDENCYPART_ARC
(19,32),-1.94266 # DEPENDENCYPART_ARC
(19,33),-1.87277 # DEPENDENCYPART_ARC
(19,34),-1.48848 # DEPENDENCYPART_ARC
(20,1),-3.42952 # DEPENDENCYPART_ARC
(20,2),-2.80006 # DEPENDENCYPART_ARC
(20,3),-6.58679 # DEPENDENCYPART_ARC
(20,4),-1.80803 # DEPENDENCYPART_ARC
(20,5),-5.90555 # DEPENDENCYPART_ARC
(20,6),-1.86147 # DEPENDENCYPART_ARC
(20,7),-2.11133 # DEPENDENCYPART_ARC
(20,8),-2.17538 # DEPENDENCYPART_ARC
(20,9),-1.71582 # DEPENDENCYPART_ARC
(20,10),0.154846 # DEPENDENCYPART_ARC
(20,11),-1.71019 # DEPENDENCYPART_ARC
(20,12),-0.945991 # DEPENDENCYPART_ARC
(20,13),-1.49246 # DEPENDENCYPART_ARC
(20,14),-2.92739 # DEPENDENCYPART_ARC
(20,15),-0.630729 # DEPENDENCYPART_ARC
(20,16),-0.611908 # DEPENDENCYPART_ARC
(20,17),0.273971 # DEPENDENCYPART_ARC
(20,18),0.240823 # DEPENDENCYPART_ARC
(20,19),3.84378 # DEPENDENCYPART_ARC
(20,21),1.27713 # DEPENDENCYPART_ARC
(20,22),1.15754 # DEPENDENCYPART_ARC
(20,23),0.0354364 # DEPENDENCYPART_ARC
(20,24),1.09399 # DEPENDENCYPART_ARC
(20,25),0.453601 # DEPENDENCYPART_ARC
(20,26),-0.409 # DEPENDENCYPART_ARC
(20,27),-0.461669 # DEPENDENCYPART_ARC
(20,28),0.17441 # DEPENDENCYPART_ARC
(20,29),-0.988637 # DEPENDENCYPART_ARC
(20,30),-0.845655 # DEPENDENCYPART_ARC
(20,31),-0.895714 # DEPENDENCYPART_ARC
(20,32),-1.15367 # DEPENDENCYPART_ARC
(20,33),-1.70776 # DEPENDENCYPART_ARC
(20,34),1.02749 # DEPENDENCYPART_ARC
(21,1),-1.0752 # DEPENDENCYPART_ARC
(21,2),-1.48555 # DEPENDENCYPART_ARC
(21,3),-1.56309 # DEPENDENCYPART_ARC
(21,4),-1.50934 # DEPENDENCYPART_ARC
(21,5),-1.57638 # DEPENDENCYPART_ARC
(21,6),-0.837932 # DEPENDENCYPART_ARC
(21,7),-0.287633 # DEPENDENCYPART_ARC
(21,8),-1.23209 # DEPENDENCYPART_ARC
(21,9),-1.26838 # DEPENDENCYPART_ARC
(21,10),0.0931383 # DEPENDENCYPART_ARC
(21,11),-0.288689 # DEPENDENCYPART_ARC
(21,12),-0.343549 # DEPENDENCYPART_ARC
(21,13),0.376004 # DEPENDENCYPART_ARC
(21,14),-0.460628 # DEPENDENCYPART_ARC
(21,15),-0.248528 # DEPENDENCYPART_ARC
(21,16),-0.392813 # DEPENDENCYPART_ARC
(21,17),0.160338 # DEPENDENCYPART_ARC
(21,18),0.428309 # DEPENDENCYPART_ARC
(21,19),1.78117 # DEPENDENCYPART_ARC
(21,20),3.50998 # DEPENDENCYPART_ARC
(21,22),2.02053 # DEPENDENCYPART_ARC
(21,23),0.829647 # DEPENDENCYPART_ARC
(21,24),0.771478 # DEPENDENCYPART_ARC
(21,25),0.647378 # DEPENDENCYPART_ARC
(21,26),-0.602512 # DEPENDENCYPART_ARC
(21,27),-0.333817 # DEPENDENCYPART_ARC
(21,28),0.603067 # DEPENDENCYPART_ARC
(21,29),-0.59579 # DEPENDENCYPART_ARC
(21,30),-0.58489 # DEPENDENCYPART_ARC
(21,31),-0.668017 # DEPENDENCYPART_ARC
(21,32),-0.184126 # DEPENDENCYPART_ARC
(21,33),-1.15686 # DEPENDENCYPART_ARC
(21,34),1.11273 # DEPENDENCYPART_ARC
(22,1),-2.91766 # DEPENDENCYPART_ARC
(22,2),-2.82447 # DEPENDENCYPART_ARC
(22,3),-1.99745 # DEPENDENCYPART_ARC
(22,4),-2.82417 # DEPENDENCYPART_ARC
(22,5),-1.45002 # DEPENDENCYPART_ARC
(22,6),-2.64098 # DEPENDENCYPART_ARC
(22,7),-1.91353 # DEPENDENCYPART_ARC
(22,8),-2.7483 # DEPENDENCYPART_ARC
(22,9),-1.38835 # DEPENDENCYPART_ARC
(22,10),-1.57095 # DEPENDENCYPART_ARC
(22,11),-1.87147 # DEPENDENCYPART_ARC
(22,12),-1.56242 # DEPENDENCYPART_ARC
(22,13),-0.924332 # DEPENDENCYPART_ARC
(22,14),-0.862962 # DEPENDENCYPART_ARC
(22,15),-1.70622 # DEPENDENCYPART_ARC
(22,16),-0.329344 # DEPENDENCYPART_ARC
(22,17),-1.40949 # DEPENDENCYPART_ARC
(22,18),-0.744449 # DEPENDENCYPART_ARC
(22,19),-0.75049 # DEPENDENCYPART_ARC
(22,20),-0.657323 # DEPENDENCYPART_ARC
(22,21),-0.159511 # DEPENDENCYPART_ARC
(22,23),1.89067 # DEPENDENCYPART_ARC
(22,24),2.762 # DEPENDENCYPART_ARC
(22,25),0.547212 # DEPENDENCYPART_ARC
(22,26),-0.470339 # DEPENDENCYPART_ARC
(22,27),-0.211964 # DEPENDENCYPART_ARC
(22,28),-0.0368912 # DEPENDENCYPART_ARC
(22,29),-1.32327 # DEPENDENCYPART_ARC
(22,30),-0.806212 # DEPENDENCYPART_ARC
(22,31),-0.836821 # DEPENDENCYPART_ARC
(22,32),-0.804344 # DEPENDENCYPART_ARC
(22,33),-1.81865 # DEPENDENCYPART_ARC
(22,34),1.59205 # DEPENDENCYPART_ARC
(23,1),-3.80817 # DEPENDENCYPART_ARC
(23,2),-4.93554 # DEPENDENCYPART_ARC
(23,3),-4.36015 # DEPENDENCYPART_ARC
(23,4),-3.98349 # DEPENDENCYPART_ARC
(23,5),-4.09255 # DEPENDENCYPART_ARC
(23,6),-2.87777 # DEPENDENCYPART_ARC
(23,7),-2.92797 # DEPENDENCYPART_ARC
(23,8),-4.00504 # DEPENDENCYPART_ARC
(23,9),-3.15477 # DEPENDENCYPART_ARC
(23,10),-2.89056 # DEPENDENCYPART_ARC
(23,11),-3.82649 # DEPENDENCYPART_ARC
(23,12),-2.87191 # DEPENDENCYPART_ARC
(23,13),-3.11047 # DEPENDENCYPART_ARC
(23,14),-3.10517 # DEPENDENCYPART_ARC
(23,15),-1.98431 # DEPENDENCYPART_ARC
(23,16),-2.43562 # DEPENDENCYPART_ARC
(23,17),-2.71299 # DEPENDENCYPART_ARC
(23,18),-2.5189 # DEPENDENCYPART_ARC
(23,19),-2.02501 # DEPENDENCYPART_ARC
(23,20),-2.08232 # DEPENDENCYPART_ARC
(23,21),-1.52771 # DEPENDENCYPART_ARC
(23,22),-0.627266 # DEPENDENCYPART_ARC
(23,24),0.867092 # DEPENDENCYPART_ARC
(23,25),0.00416168 # DEPENDENCYPART_ARC
(23,26),-0.196462 # DEPENDENCYPART_ARC
(23,27),-0.199131 # DEPENDENCYPART_ARC
(23,28),-0.595865 # DEPENDENCYPART_ARC
(23,29),-0.755958 # DEPENDENCYPART_ARC
(23,30),-0.79972 # DEPENDENCYPART_ARC
(23,31),-0.917988 # DEPENDENCYPART_ARC
(23,32),-1.0601 # DEPENDENCYPART_ARC
(23,33),-1.1522 # DEPENDENCYPART_ARC
(23,34),-0.609723 # DEPENDENCYPART_ARC
(24,1),-3.59364 # DEPENDENCYPART_ARC
(24,2),-1.94526 # DEPENDENCYPART_ARC
(24,3),-2.2457 # DEPENDENCYPART_ARC
(24,4),-1.63687 # DEPENDENCYPART_ARC
(24,5),-2.29438 # DEPENDENCYPART_ARC
(24,6),-1.51565 # DEPENDENCYPART_ARC
(24,7),-0.319489 # DEPENDENCYPART_ARC
(24,8),-0.752347 # DEPENDENCYPART_ARC
(24,9),-0.183394 # DEPENDENCYPART_ARC
(24,10),-0.936108 # DEPENDENCYPART_ARC
(24,11),-0.777783 # DEPENDENCYPART_ARC
(24,12),-0.263905 # DEPENDENCYPART_ARC
(24,13),-1.643 # DEPENDENCYPART_ARC
(24,14),-1.35016 # DEPENDENCYPART_ARC
(24,15),-0.623466 # DEPENDENCYPART_ARC
(24,16),-0.271355 # DEPENDENCYPART_ARC
(24,17),0.429353 # DEPENDENCYPART_ARC
(24,18),-0.0477127 # DEPENDENCYPART_ARC
(24,19),-0.0197393 # DEPENDENCYPART_ARC
(24,20),0.0640994 # DEPENDENCYPART_ARC
(24,21),0.341218 # DEPENDENCYPART_ARC
(24,22),1.05977 # DEPENDENCYPART_ARC
(24,23),3.27633 # DEPENDENCYPART_ARC
(24,25),4.30712 # DEPENDENCYPART_ARC
(24,26),0.285633 # DEPENDENCYPART_ARC
(24,27),1.30713 # DEPENDENCYPART_ARC
(24,28),1.2431 # DEPENDENCYPART_ARC
(24,29),-0.0845535 # DEPENDENCYPART_ARC
(24,30),-0.161438 # DEPENDENCYPART_ARC
(24,31),0.388028 # DEPENDENCYPART_ARC
(24,32),0.945227 # DEPENDENCYPART_ARC
(24,33),-0.577047 # DEPENDENCYPART_ARC
(24,34),3.13589 # DEPENDENCYPART_ARC
(25,1),-3.41531 # DEPENDENCYPART_ARC
(25,2),-3.69234 # DEPENDENCYPART_ARC
(25,3),-3.16834 # DEPENDENCYPART_ARC
(25,4),-3.06902 # DEPENDENCYPART_ARC
(25,5),-3.08944 # DEPENDENCYPART_ARC
(25,6),-2.01798 # DEPENDENCYPART_ARC
(25,7),-1.37575 # DEPENDENCYPART_ARC
(25,8),-2.86364 # DEPENDENCYPART_ARC
(25,9),-2.5241 # DEPENDENCYPART_ARC
(25,10),-1.80146 # DEPENDENCYPART_ARC
(25,11),-2.65702 # DEPENDENCYPART_ARC
(25,12),-1.30728 # DEPENDENCYPART_ARC
(25,13),-1.93659 # DEPENDENCYPART_ARC
(25,14),-2.18374 # DEPENDENCYPART_ARC
(25,15),-1.03731 # DEPENDENCYPART_ARC
(25,16),-1.64742 # DEPENDENCYPART_ARC
(25,17),-1.72767 # DEPENDENCYPART_ARC
(25,18),-1.11112 # DEPENDENCYPART_ARC
(25,19),-0.80781 # DEPENDENCYPART_ARC
(25,20),-0.664713 # DEPENDENCYPART_ARC
(25,21),-0.611244 # DEPENDENCYPART_ARC
(25,22),-0.440353 # DEPENDENCYPART_ARC
(25,23),-0.231744 # DEPENDENCYPART_ARC
(25,24),0.0525339 # DEPENDENCYPART_ARC
(25,26),0.50754 # DEPENDENCYPART_ARC
(25,27),2.4292 # DEPENDENCYPART_ARC
(25,28),0.388576 # DEPENDENCYPART_ARC
(25,29),0.510286 # DEPENDENCYPART_ARC
(25,30),1.22476 # DEPENDENCYPART_ARC
(25,31),3.18512 # DEPENDENCYPART_ARC
(25,32),-1.01366 # DEPENDENCYPART_ARC
(25,33),-0.187046 # DEPENDENCYPART_ARC
(25,34),-0.0300287 # DEPENDENCYPART_ARC
(26,1),-4.73511 # DEPENDENCYPART_ARC
(26,2),-5.60958 # DEPENDENCYPART_ARC
(26,3),-5.16352 # DEPENDENCYPART_ARC
(26,4),-4.93662 # DEPENDENCYPART_ARC
(26,5),-4.91843 # DEPENDENCYPART_ARC
(26,6),-4.42428 # DEPENDENCYPART_ARC
(26,7),-3.63433 # DEPENDENCYPART_ARC
(26,8),-4.46307 # DEPENDENCYPART_ARC
(26,9),-4.13934 # DEPENDENCYPART_ARC
(26,10),-3.58538 # DEPENDENCYPART_ARC
(26,11),-4.50164 # DEPENDENCYPART_ARC
(26,12),-3.64619 # DEPENDENCYPART_ARC
(26,13),-3.90702 # DEPENDENCYPART_ARC
(26,14),-3.84357 # DEPENDENCYPART_ARC
(26,15),-3.45212 # DEPENDENCYPART_ARC
(26,16),-3.38773 # DEPENDENCYPART_ARC
(26,17),-3.16809 # DEPENDENCYPART_ARC
(26,18),-3.32297 # DEPENDENCYPART_ARC
(26,19),-2.8375 # DEPENDENCYPART_ARC
(26,20),-3.1132 # DEPENDENCYPART_ARC
(26,21),-2.68131 # DEPENDENCYPART_ARC
(26,22),-3.02959 # DEPENDENCYPART_ARC
(26,23),-1.93029 # DEPENDENCYPART_ARC
(26,24),-2.25285 # DEPENDENCYPART_ARC
(26,25),-0.906951 # DEPENDENCYPART_ARC
(26,27),-0.871515 # DEPENDENCYPART_ARC
(26,28),-0.438905 # DEPENDENCYPART_ARC
(26,29),-1.41732 # DEPENDENCYPART_ARC
(26,30),-1.59849 # DEPENDENCYPART_ARC
(26,31),-1.7695 # DEPENDENCYPART_ARC
(26,32),-1.60496 # DEPENDENCYPART_ARC
(26,33),-2.25132 # DEPENDENCYPART_ARC
(26,34),-2.32986 # DEPENDENCYPART_ARC
(27,1),-6.47879 # DEPENDENCYPART_ARC
(27,2),-6.39813 # DEPENDENCYPART_ARC
(27,3),-12.027 # DEPENDENCYPART_ARC
(27,4),-4.22579 # DEPENDENCYPART_ARC
(27,5),-9.81485 # DEPENDENCYPART_ARC
(27,6),-3.54934 # DEPENDENCYPART_ARC
(27,7),-3.95424 # DEPENDENCYPART_ARC
(27,8),-3.44527 # DEPENDENCYPART_ARC
(27,9),-3.58549 # DEPENDENCYPART_ARC
(27,10),-1.30675 # DEPENDENCYPART_ARC
(27,11),-5.32333 # DEPENDENCYPART_ARC
(27,12),-3.26122 # DEPENDENCYPART_ARC
(27,13),-5.44964 # DEPENDENCYPART_ARC
(27,14),-6.43981 # DEPENDENCYPART_ARC
(27,15),-2.14882 # DEPENDENCYPART_ARC
(27,16),-2.97202 # DEPENDENCYPART_ARC
(27,17),-2.08043 # DEPENDENCYPART_ARC
(27,18),-2.31705 # DEPENDENCYPART_ARC
(27,19),-1.58471 # DEPENDENCYPART_ARC
(27,20),-2.06495 # DEPENDENCYPART_ARC
(27,21),-1.46885 # DEPENDENCYPART_ARC
(27,22),-1.65216 # DEPENDENCYPART_ARC
(27,23),-0.615528 # DEPENDENCYPART_ARC
(27,24),-0.874814 # DEPENDENCYPART_ARC
(27,25),0.0174818 # DEPENDENCYPART_ARC
(27,26),3.13175 # DEPENDENCYPART_ARC
(27,28),4.06674 # DEPENDENCYPART_ARC
(27,29),1.63121 # DEPENDENCYPART_ARC
(27,30),1.67205 # DEPENDENCYPART_ARC
(27,31),1.60824 # DEPENDENCYPART_ARC
(27,32),2.29038 # DEPENDENCYPART_ARC
(27,33),0.203201 # DEPENDENCYPART_ARC
(27,34),1.40037 # DEPENDENCYPART_ARC
(28,1),-4.22595 # DEPENDENCYPART_ARC
(28,2),-4.16128 # DEPENDENCYPART_ARC
(28,3),-3.4036 # DEPENDENCYPART_ARC
(28,4),-3.90973 # DEPENDENCYPART_ARC
(28,5),-3.53043 # DEPENDENCYPART_ARC
(28,6),-3.19781 # DEPENDENCYPART_ARC
(28,7),-1.43536 # DEPENDENCYPART_ARC
(28,8),-3.46438 # DEPENDENCYPART_ARC
(28,9),-3.07576 # DEPENDENCYPART_ARC
(28,10),-2.29642 # DEPENDENCYPART_ARC
(28,11),-3.12591 # DEPENDENCYPART_ARC
(28,12),-2.35411 # DEPENDENCYPART_ARC
(28,13),-2.17768 # DEPENDENCYPART_ARC
(28,14),-2.55521 # DEPENDENCYPART_ARC
(28,15),-2.14489 # DEPENDENCYPART_ARC
(28,16),-2.37034 # DEPENDENCYPART_ARC
(28,17),-2.41958 # DEPENDENCYPART_ARC
(28,18),-1.76885 # DEPENDENCYPART_ARC
(28,19),-1.42155 # DEPENDENCYPART_ARC
(28,20),-1.07783 # DEPENDENCYPART_ARC
(28,21),-1.34964 # DEPENDENCYPART_ARC
(28,22),-1.66527 # DEPENDENCYPART_ARC
(28,23),-1.48564 # DEPENDENCYPART_ARC
(28,24),-1.20703 # DEPENDENCYPART_ARC
(28,25),-0.212104 # DEPENDENCYPART_ARC
(28,26),-0.444249 # DEPENDENCYPART_ARC
(28,27),0.383399 # DEPENDENCYPART_ARC
(28,29),3.5404 # DEPENDENCYPART_ARC
(28,30),2.93639 # DEPENDENCYPART_ARC
(28,31),2.66075 # DEPENDENCYPART_ARC
(28,32),0.0134265 # DEPENDENCYPART_ARC
(28,33),1.94423 # DEPENDENCYPART_ARC
(28,34),-0.655077 # DEPENDENCYPART_ARC
(29,1),-8.82869 # DEPENDENCYPART_ARC
(29,2),-8.80185 # DEPENDENCYPART_ARC
(29,3),-14.3707 # DEPENDENCYPART_ARC
(29,4),-6.02959 # DEPENDENCYPART_ARC
(29,5),-11.9143 # DEPENDENCYPART_ARC
(29,6),-5.93066 # DEPENDENCYPART_ARC
(29,7),-5.92157 # DEPENDENCYPART_ARC
(29,8),-5.5362 # DEPENDENCYPART_ARC
(29,9),-5.46067 # DEPENDENCYPART_ARC
(29,10),-3.29456 # DEPENDENCYPART_ARC
(29,11),-7.71275 # DEPENDENCYPART_ARC
(29,12),-5.55987 # DEPENDENCYPART_ARC
(29,13),-8.13261 # DEPENDENCYPART_ARC
(29,14),-9.33269 # DEPENDENCYPART_ARC
(29,15),-4.52062 # DEPENDENCYPART_ARC
(29,16),-4.8074 # DEPENDENCYPART_ARC
(29,17),-4.27789 # DEPENDENCYPART_ARC
(29,18),-4.74812 # DEPENDENCYPART_ARC
(29,19),-3.57124 # DEPENDENCYPART_ARC
(29,20),-4.20104 # DEPENDENCYPART_ARC
(29,21),-3.67585 # DEPENDENCYPART_ARC
(29,22),-4.24766 # DEPENDENCYPART_ARC
(29,23),-3.22576 # DEPENDENCYPART_ARC
(29,24),-3.03992 # DEPENDENCYPART_ARC
(29,25),-2.91936 # DEPENDENCYPART_ARC
(29,26),-0.47623 # DEPENDENCYPART_ARC
(29,27),-0.801134 # DEPENDENCYPART_ARC
(29,28),-1.14419 # DEPENDENCYPART_ARC
(29,30),0.928957 # DEPENDENCYPART_ARC
(29,31),0.340999 # DEPENDENCYPART_ARC
(29,32),0.845991 # DEPENDENCYPART_ARC
(29,33),-1.24004 # DEPENDENCYPART_ARC
(29,34),-1.17707 # DEPENDENCYPART_ARC
(30,1),-8.37822 # DEPENDENCYPART_ARC
(30,2),-6.94429 # DEPENDENCYPART_ARC
(30,3),-11.7223 # DEPENDENCYPART_ARC
(30,4),-4.64896 # DEPENDENCYPART_ARC
(30,5),-8.84603 # DEPENDENCYPART_ARC
(30,6),-4.09524 # DEPENDENCYPART_ARC
(30,7),-4.77873 # DEPENDENCYPART_ARC
(30,8),-3.94572 # DEPENDENCYPART_ARC
(30,9),-3.91254 # DEPENDENCYPART_ARC
(30,10),-1.64762 # DEPENDENCYPART_ARC
(30,11),-6.41659 # DEPENDENCYPART_ARC
(30,12),-4.34265 # DEPENDENCYPART_ARC
(30,13),-5.37633 # DEPENDENCYPART_ARC
(30,14),-7.10466 # DEPENDENCYPART_ARC
(30,15),-2.71626 # DEPENDENCYPART_ARC
(30,16),-3.36093 # DEPENDENCYPART_ARC
(30,17),-2.71087 # DEPENDENCYPART_ARC
(30,18),-3.45029 # DEPENDENCYPART_ARC
(30,19),-2.54907 # DEPENDENCYPART_ARC
(30,20),-2.52597 # DEPENDENCYPART_ARC
(30,21),-2.15101 # DEPENDENCYPART_ARC
(30,22),-2.87731 # DEPENDENCYPART_ARC
(30,23),-1.71842 # DEPENDENCYPART_ARC
(30,24),-1.89667 # DEPENDENCYPART_ARC
(30,25),-1.71843 # DEPENDENCYPART_ARC
(30,26),0.905576 # DEPENDENCYPART_ARC
(30,27),1.40806 # DEPENDENCYPART_ARC
