# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,5,8,13,8,11,13,13,16,13,14,0,16,17,16,21,19,21,16,
(23,4),-2.47888 # DEPENDENCYPART_ARC
(23,5),-2.70269 # DEPENDENCYPART_ARC
(23,6),-2.15649 # DEPENDENCYPART_ARC
(23,7),-2.47242 # DEPENDENCYPART_ARC
(23,8),-2.44146 # DEPENDENCYPART_ARC
(23,9),-2.35522 # DEPENDENCYPART_ARC
(23,10),-2.43134 # DEPENDENCYPART_ARC
(23,11),-2.37064 # DEPENDENCYPART_ARC
(23,12),-2.16318 # DEPENDENCYPART_ARC
(23,13),-2.2198 # DEPENDENCYPART_ARC
(23,14),-1.81694 # DEPENDENCYPART_ARC
(23,15),-2.01419 # DEPENDENCYPART_ARC
(23,16),-1.18024 # DEPENDENCYPART_ARC
(23,17),-1.64136 # DEPENDENCYPART_ARC
(23,18),-1.82412 # DEPENDENCYPART_ARC
(23,19),-1.49075 # DEPENDENCYPART_ARC
(23,20),-1.26053 # DEPENDENCYPART_ARC
(23,21),-1.68205 # DEPENDENCYPART_ARC
(23,22),-1.66629 # DEPENDENCYPART_ARC
