# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,10,11,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
(19,16),1.0542 # DEPENDENCYPART_ARC
(19,17),0.332488 # DEPENDENCYPART_ARC
(19,18),0.977062 # DEPENDENCYPART_ARC
(19,20),4.43492 # DEPENDENCYPART_ARC
(19,21),0.874752 # DEPENDENCYPART_ARC
(19,22),0.221287 # DEPENDENCYPART_ARC
(19,23),0.426777 # DEPENDENCYPART_ARC
(19,24),-0.0348046 # DEPENDENCYPART_ARC
(19,25),-1.34845 # DEPENDENCYPART_ARC
(19,26),-0.91264 # DEPENDENCYPART_ARC
(19,27),0.283087 # DEPENDENCYPART_ARC
(20,1),-1.58484 # DEPENDENCYPART_ARC
(20,2),-1.36882 # DEPENDENCYPART_ARC
(20,3),-0.688618 # DEPENDENCYPART_ARC
(20,4),-0.938406 # DEPENDENCYPART_ARC
(20,5),-1.61527 # DEPENDENCYPART_ARC
(20,6),-1.35135 # DEPENDENCYPART_ARC
(20,7),-0.932262 # DEPENDENCYPART_ARC
(20,8),-0.827793 # DEPENDENCYPART_ARC
(20,9),-0.679436 # DEPENDENCYPART_ARC
(20,10),0.091427 # DEPENDENCYPART_ARC
(20,11),0.0313257 # DEPENDENCYPART_ARC
(20,12),0.292403 # DEPENDENCYPART_ARC
(20,13),-0.102876 # DEPENDENCYPART_ARC
(20,14),0.21378 # DEPENDENCYPART_ARC
(20,15),-0.591681 # DEPENDENCYPART_ARC
(20,16),0.630443 # DEPENDENCYPART_ARC
(20,17),0.837031 # DEPENDENCYPART_ARC
(20,18),0.466416 # DEPENDENCYPART_ARC
(20,19),0.9126 # DEPENDENCYPART_ARC
(20,21),2.94531 # DEPENDENCYPART_ARC
(20,22),1.22784 # DEPENDENCYPART_ARC
(20,23),1.71541 # DEPENDENCYPART_ARC
(20,24),1.30329 # DEPENDENCYPART_ARC
(20,25),0.87029 # DEPENDENCYPART_ARC
(20,26),0.26006 # DEPENDENCYPART_ARC
(20,27),0.0594382 # DEPENDENCYPART_ARC
(21,1),-2.58392 # DEPENDENCYPART_ARC
(21,2),-3.80434 # DEPENDENCYPART_ARC
(21,3),-3.063 # DEPENDENCYPART_ARC
(21,4),-3.13209 # DEPENDENCYPART_ARC
(21,5),-2.14898 # DEPENDENCYPART_ARC
(21,6),-2.34774 # DEPENDENCYPART_ARC
(21,7),-1.97511 # DEPENDENCYPART_ARC
(21,8),-1.93462 # DEPENDENCYPART_ARC
(21,9),-2.67803 # DEPENDENCYPART_ARC
(21,10),-1.54292 # DEPENDENCYPART_ARC
(21,11),-1.94167 # DEPENDENCYPART_ARC
(21,12),-0.654915 # DEPENDENCYPART_ARC
(21,13),-1.6038 # DEPENDENCYPART_ARC
(21,14),-0.67666 # DEPENDENCYPART_ARC
(21,15),-0.296376 # DEPENDENCYPART_ARC
(21,16),-1.29156 # DEPENDENCYPART_ARC
(21,17),-0.766408 # DEPENDENCYPART_ARC
(21,18),-1.16398 # DEPENDENCYPART_ARC
(21,19),-0.462206 # DEPENDENCYPART_ARC
(21,20),0.20663 # DEPENDENCYPART_ARC
(21,22),0.780472 # DEPENDENCYPART_ARC
(21,23),1.28096 # DEPENDENCYPART_ARC
(21,24),0.567342 # DEPENDENCYPART_ARC
(21,25),0.113656 # DEPENDENCYPART_ARC
(21,26),2.14334 # DEPENDENCYPART_ARC
(21,27),-0.868729 # DEPENDENCYPART_ARC
(22,1),-3.05547 # DEPENDENCYPART_ARC
(22,2),-3.4157 # DEPENDENCYPART_ARC
(22,3),-2.94262 # DEPENDENCYPART_ARC
(22,4),-2.85855 # DEPENDENCYPART_ARC
(22,5),-2.40538 # DEPENDENCYPART_ARC
(22,6),-2.30041 # DEPENDENCYPART_ARC
(22,7),-2.39648 # DEPENDENCYPART_ARC
(22,8),-1.55166 # DEPENDENCYPART_ARC
(22,9),-2.46015 # DEPENDENCYPART_ARC
(22,10),-1.80811 # DEPENDENCYPART_ARC
(22,11),-2.20105 # DEPENDENCYPART_ARC
(22,12),-1.46391 # DEPENDENCYPART_ARC
(22,13),-1.79947 # DEPENDENCYPART_ARC
(22,14),-1.25721 # DEPENDENCYPART_ARC
(22,15),-1.69459 # DEPENDENCYPART_ARC
(22,16),-1.68521 # DEPENDENCYPART_ARC
(22,17),-0.475014 # DEPENDENCYPART_ARC
(22,18),-1.18212 # DEPENDENCYPART_ARC
(22,19),-0.384177 # DEPENDENCYPART_ARC
(22,20),-0.290574 # DEPENDENCYPART_ARC
(22,21),0.704559 # DEPENDENCYPART_ARC
(22,23),1.73899 # DEPENDENCYPART_ARC
(22,24),0.70703 # DEPENDENCYPART_ARC
(22,25),1.19682 # DEPENDENCYPART_ARC
(22,26),-0.38844 # DEPENDENCYPART_ARC
(22,27),0.0170899 # DEPENDENCYPART_ARC
(23,1),-2.44002 # DEPENDENCYPART_ARC
(23,2),-3.14581 # DEPENDENCYPART_ARC
(23,3),-3.31552 # DEPENDENCYPART_ARC
(23,4),-3.27118 # DEPENDENCYPART_ARC
(23,5),-3.44892 # DEPENDENCYPART_ARC
(23,6),-2.86365 # DEPENDENCYPART_ARC
(23,7),-1.86289 # DEPENDENCYPART_ARC
(23,8),-2.43154 # DEPENDENCYPART_ARC
(23,9),-2.4864 # DEPENDENCYPART_ARC
(23,10),-2.30052 # DEPENDENCYPART_ARC
(23,11),-2.57821 # DEPENDENCYPART_ARC
(23,12),-2.07494 # DEPENDENCYPART_ARC
(23,13),-2.4217 # DEPENDENCYPART_ARC
(23,14),-0.983818 # DEPENDENCYPART_ARC
(23,15),-2.21166 # DEPENDENCYPART_ARC
(23,16),-2.03536 # DEPENDENCYPART_ARC
(23,17),-2.17577 # DEPENDENCYPART_ARC
(23,18),-2.03827 # DEPENDENCYPART_ARC
(23,19),-1.55926 # DEPENDENCYPART_ARC
(23,20),-0.896774 # DEPENDENCYPART_ARC
(23,21),-1.1125 # DEPENDENCYPART_ARC
(23,22),-0.22338 # DEPENDENCYPART_ARC
(23,24),-0.207426 # DEPENDENCYPART_ARC
(23,25),-0.757211 # DEPENDENCYPART_ARC
(23,26),-1.19853 # DEPENDENCYPART_ARC
(23,27),-1.10431 # DEPENDENCYPART_ARC
(24,1),-3.26403 # DEPENDENCYPART_ARC
(24,2),-3.45902 # DEPENDENCYPART_ARC
(24,3),-3.08895 # DEPENDENCYPART_ARC
(24,4),-2.93306 # DEPENDENCYPART_ARC
(24,5),-2.67963 # DEPENDENCYPART_ARC
(24,6),-2.59644 # DEPENDENCYPART_ARC
(24,7),-2.54087 # DEPENDENCYPART_ARC
(24,8),-1.82261 # DEPENDENCYPART_ARC
(24,9),-2.44441 # DEPENDENCYPART_ARC
(24,10),-2.05523 # DEPENDENCYPART_ARC
(24,11),-1.99447 # DEPENDENCYPART_ARC
(24,12),-1.80252 # DEPENDENCYPART_ARC
(24,13),-2.03531 # DEPENDENCYPART_ARC
(24,14),-1.69094 # DEPENDENCYPART_ARC
(24,15),-1.13281 # DEPENDENCYPART_ARC
(24,16),-1.81671 # DEPENDENCYPART_ARC
(24,17),-1.31365 # DEPENDENCYPART_ARC
(24,18),-1.40533 # DEPENDENCYPART_ARC
(24,19),-1.11487 # DEPENDENCYPART_ARC
(24,20),-1.02187 # DEPENDENCYPART_ARC
(24,21),-0.355702 # DEPENDENCYPART_ARC
(24,22),0.185728 # DEPENDENCYPART_ARC
(24,23),0.54747 # DEPENDENCYPART_ARC
(24,25),1.01599 # DEPENDENCYPART_ARC
(24,26),0.745886 # DEPENDENCYPART_ARC
(24,27),0.660272 # DEPENDENCYPART_ARC
(25,1),-2.85805 # DEPENDENCYPART_ARC
(25,2),-2.59006 # DEPENDENCYPART_ARC
(25,3),-2.83268 # DEPENDENCYPART_ARC
(25,4),-2.74605 # DEPENDENCYPART_ARC
(25,5),-2.37417 # DEPENDENCYPART_ARC
(25,6),-2.1888 # DEPENDENCYPART_ARC
(25,7),-2.07211 # DEPENDENCYPART_ARC
(25,8),-1.31726 # DEPENDENCYPART_ARC
(25,9),-1.53945 # DEPENDENCYPART_ARC
(25,10),-1.317 # DEPENDENCYPART_ARC
(25,11),-1.96025 # DEPENDENCYPART_ARC
(25,12),-0.529666 # DEPENDENCYPART_ARC
(25,13),-1.48364 # DEPENDENCYPART_ARC
(25,14),-0.596901 # DEPENDENCYPART_ARC
(25,15),-1.35584 # DEPENDENCYPART_ARC
(25,16),-1.36842 # DEPENDENCYPART_ARC
(25,17),-0.508517 # DEPENDENCYPART_ARC
(25,18),-1.18771 # DEPENDENCYPART_ARC
(25,19),-0.636531 # DEPENDENCYPART_ARC
(25,20),-0.566183 # DEPENDENCYPART_ARC
(25,21),0.555199 # DEPENDENCYPART_ARC
(25,22),0.545986 # DEPENDENCYPART_ARC
(25,23),0.669808 # DEPENDENCYPART_ARC
(25,24),3.17136 # DEPENDENCYPART_ARC
(25,26),0.646929 # DEPENDENCYPART_ARC
(25,27),-0.207601 # DEPENDENCYPART_ARC
(26,1),-2.13908 # DEPENDENCYPART_ARC
(26,2),-3.8706 # DEPENDENCYPART_ARC
(26,3),-4.52629 # DEPENDENCYPART_ARC
(26,4),-2.19507 # DEPENDENCYPART_ARC
(26,5),-4.30566 # DEPENDENCYPART_ARC
(26,6),-2.35483 # DEPENDENCYPART_ARC
(26,7),-1.68767 # DEPENDENCYPART_ARC
(26,8),-3.33714 # DEPENDENCYPART_ARC
(26,9),-3.19562 # DEPENDENCYPART_ARC
(26,10),-1.31319 # DEPENDENCYPART_ARC
(26,11),-2.48272 # DEPENDENCYPART_ARC
(26,12),-0.863068 # DEPENDENCYPART_ARC
(26,13),-3.3164 # DEPENDENCYPART_ARC
(26,14),-0.963453 # DEPENDENCYPART_ARC
(26,15),-1.20341 # DEPENDENCYPART_ARC
(26,16),-0.708447 # DEPENDENCYPART_ARC
(26,17),-1.07896 # DEPENDENCYPART_ARC
(26,18),-0.73123 # DEPENDENCYPART_ARC
(26,19),-0.397793 # DEPENDENCYPART_ARC
(26,20),0.0892092 # DEPENDENCYPART_ARC
(26,21),0.389848 # DEPENDENCYPART_ARC
(26,22),2.0008 # DEPENDENCYPART_ARC
(26,23),2.01712 # DEPENDENCYPART_ARC
(26,24),2.14408 # DEPENDENCYPART_ARC
(26,25),3.76279 # DEPENDENCYPART_ARC
(26,27),0.0456493 # DEPENDENCYPART_ARC
(27,1),-3.29581 # DEPENDENCYPART_ARC
(27,2),-3.00328 # DEPENDENCYPART_ARC
(27,3),-3.47519 # DEPENDENCYPART_ARC
(27,4),-2.86661 # DEPENDENCYPART_ARC
(27,5),-2.47764 # DEPENDENCYPART_ARC
(27,6),-3.19058 # DEPENDENCYPART_ARC
(27,7),-2.66079 # DEPENDENCYPART_ARC
(27,8),-2.53086 # DEPENDENCYPART_ARC
(27,9),-2.67579 # DEPENDENCYPART_ARC
(27,10),-2.43668 # DEPENDENCYPART_ARC
(27,11),-2.94913 # DEPENDENCYPART_ARC
(27,12),-2.25956 # DEPENDENCYPART_ARC
(27,13),-2.65718 # DEPENDENCYPART_ARC
(27,14),-0.767185 # DEPENDENCYPART_ARC
(27,15),-1.75487 # DEPENDENCYPART_ARC
(27,16),-1.61368 # DEPENDENCYPART_ARC
(27,17),-1.63422 # DEPENDENCYPART_ARC
(27,18),-1.45062 # DEPENDENCYPART_ARC
(27,19),-1.78469 # DEPENDENCYPART_ARC
(27,20),-1.41912 # DEPENDENCYPART_ARC
(27,21),-1.38098 # DEPENDENCYPART_ARC
(27,22),-1.35635 # DEPENDENCYPART_ARC
(27,23),-0.214999 # DEPENDENCYPART_ARC
(27,24),-1.0976 # DEPENDENCYPART_ARC
(27,25),-1.64918 # DEPENDENCYPART_ARC
(27,26),-1.68441 # DEPENDENCYPART_ARC
