# _root_ Aimed at commercial photographers , the film can be used in very low light without sacrificing quality , says Donald Franz of Photofinishing Newsletter .
#goldHeads=8,1,4,2,8,7,8,19,8,9,10,13,14,11,10,15,16,8,0,21,19,21,24,22,19,
#predictedHeads=8,1,4,2,8,7,8,19,8,9,10,13,14,11,10,15,16,19,0,21,19,21,24,22,19,
(21,6),-2.48058 # DEPENDENCYPART_ARC
(21,7),-3.75333 # DEPENDENCYPART_ARC
(21,8),-2.77036 # DEPENDENCYPART_ARC
(21,9),-2.27089 # DEPENDENCYPART_ARC
(21,10),-2.21161 # DEPENDENCYPART_ARC
(21,11),-1.65686 # DEPENDENCYPART_ARC
(21,12),-1.50295 # DEPENDENCYPART_ARC
(21,13),-1.29023 # DEPENDENCYPART_ARC
(21,14),-2.516 # DEPENDENCYPART_ARC
(21,15),-1.16679 # DEPENDENCYPART_ARC
(21,16),0.0756953 # DEPENDENCYPART_ARC
(21,17),-0.821905 # DEPENDENCYPART_ARC
(21,18),-0.266187 # DEPENDENCYPART_ARC
(21,19),-0.0912753 # DEPENDENCYPART_ARC
(21,20),4.16804 # DEPENDENCYPART_ARC
(21,22),3.45949 # DEPENDENCYPART_ARC
(21,23),1.50172 # DEPENDENCYPART_ARC
(21,24),1.47916 # DEPENDENCYPART_ARC
(21,25),1.40518 # DEPENDENCYPART_ARC
(22,1),-2.59763 # DEPENDENCYPART_ARC
(22,2),-2.65624 # DEPENDENCYPART_ARC
(22,3),-2.58541 # DEPENDENCYPART_ARC
(22,4),-3.14065 # DEPENDENCYPART_ARC
(22,5),-2.81156 # DEPENDENCYPART_ARC
(22,6),-2.6802 # DEPENDENCYPART_ARC
(22,7),-2.39734 # DEPENDENCYPART_ARC
(22,8),-2.72784 # DEPENDENCYPART_ARC
(22,9),-1.98387 # DEPENDENCYPART_ARC
(22,10),-1.66895 # DEPENDENCYPART_ARC
(22,11),-1.33914 # DEPENDENCYPART_ARC
(22,12),-1.31284 # DEPENDENCYPART_ARC
(22,13),-1.5491 # DEPENDENCYPART_ARC
(22,14),-1.65155 # DEPENDENCYPART_ARC
(22,15),-0.980026 # DEPENDENCYPART_ARC
(22,16),-1.37707 # DEPENDENCYPART_ARC
(22,17),-1.23805 # DEPENDENCYPART_ARC
(22,18),-0.654385 # DEPENDENCYPART_ARC
(22,19),-0.426648 # DEPENDENCYPART_ARC
(22,20),-0.182443 # DEPENDENCYPART_ARC
(22,21),0.127038 # DEPENDENCYPART_ARC
(22,23),3.42333 # DEPENDENCYPART_ARC
(22,24),3.15463 # DEPENDENCYPART_ARC
(22,25),-0.143982 # DEPENDENCYPART_ARC
(23,1),-4.85824 # DEPENDENCYPART_ARC
(23,2),-4.99577 # DEPENDENCYPART_ARC
(23,3),-5.03625 # DEPENDENCYPART_ARC
(23,4),-5.13141 # DEPENDENCYPART_ARC
(23,5),-4.82556 # DEPENDENCYPART_ARC
(23,6),-4.53764 # DEPENDENCYPART_ARC
(23,7),-5.56301 # DEPENDENCYPART_ARC
(23,8),-4.19413 # DEPENDENCYPART_ARC
(23,9),-3.71889 # DEPENDENCYPART_ARC
(23,10),-3.57563 # DEPENDENCYPART_ARC
(23,11),-3.65452 # DEPENDENCYPART_ARC
(23,12),-3.31457 # DEPENDENCYPART_ARC
(23,13),-2.99787 # DEPENDENCYPART_ARC
(23,14),-4.22958 # DEPENDENCYPART_ARC
(23,15),-2.83551 # DEPENDENCYPART_ARC
(23,16),-1.88339 # DEPENDENCYPART_ARC
(23,17),-3.30794 # DEPENDENCYPART_ARC
(23,18),-2.49658 # DEPENDENCYPART_ARC
(23,19),-2.16208 # DEPENDENCYPART_ARC
(23,20),0.589139 # DEPENDENCYPART_ARC
(23,21),-0.349623 # DEPENDENCYPART_ARC
(23,22),-0.197065 # DEPENDENCYPART_ARC
(23,24),1.74295 # DEPENDENCYPART_ARC
(23,25),-1.01237 # DEPENDENCYPART_ARC
(24,1),-3.6269 # DEPENDENCYPART_ARC
(24,2),-3.58224 # DEPENDENCYPART_ARC
(24,3),-3.83778 # DEPENDENCYPART_ARC
(24,4),-3.81689 # DEPENDENCYPART_ARC
(24,5),-3.23503 # DEPENDENCYPART_ARC
(24,6),-2.42748 # DEPENDENCYPART_ARC
(24,7),-4.00051 # DEPENDENCYPART_ARC
(24,8),-2.90035 # DEPENDENCYPART_ARC
(24,9),-2.35988 # DEPENDENCYPART_ARC
(24,10),-2.18062 # DEPENDENCYPART_ARC
(24,11),-2.25304 # DEPENDENCYPART_ARC
(24,12),-1.91601 # DEPENDENCYPART_ARC
(24,13),-1.82507 # DEPENDENCYPART_ARC
(24,14),-2.64678 # DEPENDENCYPART_ARC
(24,15),-1.50618 # DEPENDENCYPART_ARC
(24,16),-0.27535 # DEPENDENCYPART_ARC
(24,17),-2.0473 # DEPENDENCYPART_ARC
(24,18),-1.72039 # DEPENDENCYPART_ARC
(24,19),-1.11112 # DEPENDENCYPART_ARC
(24,20),2.52361 # DEPENDENCYPART_ARC
(24,21),1.60805 # DEPENDENCYPART_ARC
(24,22),1.28015 # DEPENDENCYPART_ARC
(24,23),4.69303 # DEPENDENCYPART_ARC
(24,25),0.948065 # DEPENDENCYPART_ARC
(25,1),-2.74133 # DEPENDENCYPART_ARC
(25,2),-3.06054 # DEPENDENCYPART_ARC
(25,3),-2.99058 # DEPENDENCYPART_ARC
(25,4),-2.82736 # DEPENDENCYPART_ARC
(25,5),-1.58565 # DEPENDENCYPART_ARC
(25,6),-2.22547 # DEPENDENCYPART_ARC
(25,7),-2.01194 # DEPENDENCYPART_ARC
(25,8),-2.08772 # DEPENDENCYPART_ARC
(25,9),-2.15939 # DEPENDENCYPART_ARC
(25,10),-1.61863 # DEPENDENCYPART_ARC
(25,11),-1.98317 # DEPENDENCYPART_ARC
(25,12),-2.11404 # DEPENDENCYPART_ARC
(25,13),-1.91593 # DEPENDENCYPART_ARC
(25,14),-1.44798 # DEPENDENCYPART_ARC
(25,15),-1.38526 # DEPENDENCYPART_ARC
(25,16),-0.957437 # DEPENDENCYPART_ARC
(25,17),-1.29016 # DEPENDENCYPART_ARC
(25,18),-0.666439 # DEPENDENCYPART_ARC
(25,19),-0.00615172 # DEPENDENCYPART_ARC
(25,20),-1.26566 # DEPENDENCYPART_ARC
(25,21),-1.21955 # DEPENDENCYPART_ARC
(25,22),-0.672302 # DEPENDENCYPART_ARC
(25,23),-1.21919 # DEPENDENCYPART_ARC
(25,24),-1.1351 # DEPENDENCYPART_ARC
