# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,15,27,27,24,14,
(18,24),-1.03805 # DEPENDENCYPART_ARC
(18,25),-2.09499 # DEPENDENCYPART_ARC
(18,26),-1.56631 # DEPENDENCYPART_ARC
(18,27),-1.79481 # DEPENDENCYPART_ARC
(18,28),-1.14163 # DEPENDENCYPART_ARC
(19,1),-2.4483 # DEPENDENCYPART_ARC
(19,2),-6.49593 # DEPENDENCYPART_ARC
(19,3),-3.63934 # DEPENDENCYPART_ARC
(19,4),-4.19654 # DEPENDENCYPART_ARC
(19,5),-4.74962 # DEPENDENCYPART_ARC
(19,6),-5.7331 # DEPENDENCYPART_ARC
(19,7),-2.44509 # DEPENDENCYPART_ARC
(19,8),-0.772007 # DEPENDENCYPART_ARC
(19,9),-3.3742 # DEPENDENCYPART_ARC
(19,10),-1.97358 # DEPENDENCYPART_ARC
(19,11),-1.27706 # DEPENDENCYPART_ARC
(19,12),-2.41838 # DEPENDENCYPART_ARC
(19,13),-1.36046 # DEPENDENCYPART_ARC
(19,14),-0.947139 # DEPENDENCYPART_ARC
(19,15),-0.179982 # DEPENDENCYPART_ARC
(19,16),-0.0820346 # DEPENDENCYPART_ARC
(19,17),0.322481 # DEPENDENCYPART_ARC
(19,18),4.09881 # DEPENDENCYPART_ARC
(19,20),3.75404 # DEPENDENCYPART_ARC
(19,21),1.49483 # DEPENDENCYPART_ARC
(19,22),1.06097 # DEPENDENCYPART_ARC
(19,23),0.94374 # DEPENDENCYPART_ARC
(19,24),1.93395 # DEPENDENCYPART_ARC
(19,25),0.206826 # DEPENDENCYPART_ARC
(19,26),0.375736 # DEPENDENCYPART_ARC
(19,27),-0.148348 # DEPENDENCYPART_ARC
(19,28),0.771433 # DEPENDENCYPART_ARC
(20,1),-2.6551 # DEPENDENCYPART_ARC
(20,2),-2.58421 # DEPENDENCYPART_ARC
(20,3),-2.16468 # DEPENDENCYPART_ARC
(20,4),-1.44344 # DEPENDENCYPART_ARC
(20,5),-1.41432 # DEPENDENCYPART_ARC
(20,6),-1.30463 # DEPENDENCYPART_ARC
(20,7),-2.07079 # DEPENDENCYPART_ARC
(20,8),-1.76743 # DEPENDENCYPART_ARC
(20,9),-1.82202 # DEPENDENCYPART_ARC
(20,10),-1.20349 # DEPENDENCYPART_ARC
(20,11),-0.670382 # DEPENDENCYPART_ARC
(20,12),-0.608615 # DEPENDENCYPART_ARC
(20,13),-1.47673 # DEPENDENCYPART_ARC
(20,14),-0.747861 # DEPENDENCYPART_ARC
(20,15),-1.21594 # DEPENDENCYPART_ARC
(20,16),-1.11318 # DEPENDENCYPART_ARC
(20,17),-0.0203664 # DEPENDENCYPART_ARC
(20,18),-0.583908 # DEPENDENCYPART_ARC
(20,19),0.128431 # DEPENDENCYPART_ARC
(20,21),2.46075 # DEPENDENCYPART_ARC
(20,22),2.40491 # DEPENDENCYPART_ARC
(20,23),2.95128 # DEPENDENCYPART_ARC
(20,24),0.582715 # DEPENDENCYPART_ARC
(20,25),-1.03792 # DEPENDENCYPART_ARC
(20,26),-0.760438 # DEPENDENCYPART_ARC
(20,27),0.253312 # DEPENDENCYPART_ARC
(20,28),-0.0237179 # DEPENDENCYPART_ARC
(21,1),-3.26218 # DEPENDENCYPART_ARC
(21,2),-3.80968 # DEPENDENCYPART_ARC
(21,3),-3.35053 # DEPENDENCYPART_ARC
(21,4),-2.72579 # DEPENDENCYPART_ARC
(21,5),-3.13439 # DEPENDENCYPART_ARC
(21,6),-3.50947 # DEPENDENCYPART_ARC
(21,7),-2.28059 # DEPENDENCYPART_ARC
(21,8),-1.93542 # DEPENDENCYPART_ARC
(21,9),-2.7784 # DEPENDENCYPART_ARC
(21,10),-2.50425 # DEPENDENCYPART_ARC
(21,11),-1.77008 # DEPENDENCYPART_ARC
(21,12),-2.55945 # DEPENDENCYPART_ARC
(21,13),-1.80603 # DEPENDENCYPART_ARC
(21,14),-2.41601 # DEPENDENCYPART_ARC
(21,15),-2.2074 # DEPENDENCYPART_ARC
(21,16),-1.18912 # DEPENDENCYPART_ARC
(21,17),-1.54687 # DEPENDENCYPART_ARC
(21,18),-0.212137 # DEPENDENCYPART_ARC
(21,19),-0.835809 # DEPENDENCYPART_ARC
(21,20),-0.0755036 # DEPENDENCYPART_ARC
(21,22),1.28435 # DEPENDENCYPART_ARC
(21,23),0.900723 # DEPENDENCYPART_ARC
(21,24),-0.26858 # DEPENDENCYPART_ARC
(21,25),-1.21872 # DEPENDENCYPART_ARC
(21,26),-0.585686 # DEPENDENCYPART_ARC
(21,27),-1.09728 # DEPENDENCYPART_ARC
(21,28),-0.64391 # DEPENDENCYPART_ARC
(22,1),-3.70634 # DEPENDENCYPART_ARC
(22,2),-7.11388 # DEPENDENCYPART_ARC
(22,3),-4.27853 # DEPENDENCYPART_ARC
(22,4),-5.43644 # DEPENDENCYPART_ARC
(22,5),-5.91953 # DEPENDENCYPART_ARC
(22,6),-6.91344 # DEPENDENCYPART_ARC
(22,7),-3.21112 # DEPENDENCYPART_ARC
(22,8),-2.09624 # DEPENDENCYPART_ARC
(22,9),-4.29115 # DEPENDENCYPART_ARC
(22,10),-2.8261 # DEPENDENCYPART_ARC
(22,11),-2.90687 # DEPENDENCYPART_ARC
(22,12),-3.4791 # DEPENDENCYPART_ARC
(22,13),-2.26996 # DEPENDENCYPART_ARC
(22,14),-1.96956 # DEPENDENCYPART_ARC
(22,15),-1.47893 # DEPENDENCYPART_ARC
(22,16),-1.9574 # DEPENDENCYPART_ARC
(22,17),-1.0499 # DEPENDENCYPART_ARC
(22,18),0.865642 # DEPENDENCYPART_ARC
(22,19),0.0311006 # DEPENDENCYPART_ARC
(22,20),-0.689396 # DEPENDENCYPART_ARC
(22,21),1.72928 # DEPENDENCYPART_ARC
(22,23),1.03658 # DEPENDENCYPART_ARC
(22,24),0.241139 # DEPENDENCYPART_ARC
(22,25),-0.864895 # DEPENDENCYPART_ARC
(22,26),-0.432399 # DEPENDENCYPART_ARC
(22,27),-0.872609 # DEPENDENCYPART_ARC
(22,28),-0.565982 # DEPENDENCYPART_ARC
(23,1),-1.47165 # DEPENDENCYPART_ARC
(23,2),-4.132 # DEPENDENCYPART_ARC
(23,3),-1.52899 # DEPENDENCYPART_ARC
(23,4),-2.12698 # DEPENDENCYPART_ARC
(23,5),-2.775 # DEPENDENCYPART_ARC
(23,6),-4.07686 # DEPENDENCYPART_ARC
(23,7),-0.837948 # DEPENDENCYPART_ARC
(23,8),-2.01397 # DEPENDENCYPART_ARC
(23,9),-2.21876 # DEPENDENCYPART_ARC
(23,10),-1.26424 # DEPENDENCYPART_ARC
(23,11),-0.607234 # DEPENDENCYPART_ARC
(23,12),-2.35428 # DEPENDENCYPART_ARC
(23,13),-0.725796 # DEPENDENCYPART_ARC
(23,14),-0.56011 # DEPENDENCYPART_ARC
(23,15),0.3972 # DEPENDENCYPART_ARC
(23,16),-1.11257 # DEPENDENCYPART_ARC
(23,17),-0.54133 # DEPENDENCYPART_ARC
(23,18),3.28973 # DEPENDENCYPART_ARC
(23,19),1.33449 # DEPENDENCYPART_ARC
(23,20),0.0297819 # DEPENDENCYPART_ARC
(23,21),3.84744 # DEPENDENCYPART_ARC
(23,22),4.73853 # DEPENDENCYPART_ARC
(23,24),2.12133 # DEPENDENCYPART_ARC
(23,25),-0.13061 # DEPENDENCYPART_ARC
(23,26),0.74836 # DEPENDENCYPART_ARC
(23,27),0.203619 # DEPENDENCYPART_ARC
(23,28),0.596917 # DEPENDENCYPART_ARC
(24,1),-3.00808 # DEPENDENCYPART_ARC
(24,2),-3.86052 # DEPENDENCYPART_ARC
(24,3),-2.6879 # DEPENDENCYPART_ARC
(24,4),-2.66784 # DEPENDENCYPART_ARC
(24,5),-2.76976 # DEPENDENCYPART_ARC
(24,6),-2.77188 # DEPENDENCYPART_ARC
(24,7),-2.09848 # DEPENDENCYPART_ARC
(24,8),-2.17662 # DEPENDENCYPART_ARC
(24,9),-1.97851 # DEPENDENCYPART_ARC
(24,10),-1.63573 # DEPENDENCYPART_ARC
(24,11),-1.91263 # DEPENDENCYPART_ARC
(24,12),-2.1886 # DEPENDENCYPART_ARC
(24,13),-1.42194 # DEPENDENCYPART_ARC
(24,14),-1.4478 # DEPENDENCYPART_ARC
(24,15),-1.08129 # DEPENDENCYPART_ARC
(24,16),-0.875669 # DEPENDENCYPART_ARC
(24,17),-0.8691 # DEPENDENCYPART_ARC
(24,18),-0.771202 # DEPENDENCYPART_ARC
(24,19),-1.1078 # DEPENDENCYPART_ARC
(24,20),-0.835166 # DEPENDENCYPART_ARC
(24,21),-0.201066 # DEPENDENCYPART_ARC
(24,22),-0.958411 # DEPENDENCYPART_ARC
(24,23),0.286554 # DEPENDENCYPART_ARC
(24,25),0.50684 # DEPENDENCYPART_ARC
(24,26),2.26591 # DEPENDENCYPART_ARC
(24,27),3.02414 # DEPENDENCYPART_ARC
(24,28),-0.911694 # DEPENDENCYPART_ARC
(25,1),-5.05238 # DEPENDENCYPART_ARC
(25,2),-5.54522 # DEPENDENCYPART_ARC
(25,3),-4.47975 # DEPENDENCYPART_ARC
(25,4),-4.90133 # DEPENDENCYPART_ARC
(25,5),-4.70191 # DEPENDENCYPART_ARC
(25,6),-4.55834 # DEPENDENCYPART_ARC
(25,7),-4.14243 # DEPENDENCYPART_ARC
(25,8),-3.98273 # DEPENDENCYPART_ARC
(25,9),-4.61699 # DEPENDENCYPART_ARC
(25,10),-3.73143 # DEPENDENCYPART_ARC
(25,11),-4.05472 # DEPENDENCYPART_ARC
(25,12),-3.90933 # DEPENDENCYPART_ARC
(25,13),-3.5404 # DEPENDENCYPART_ARC
(25,14),-3.6291 # DEPENDENCYPART_ARC
(25,15),-3.43021 # DEPENDENCYPART_ARC
(25,16),-3.38763 # DEPENDENCYPART_ARC
(25,17),-2.92965 # DEPENDENCYPART_ARC
(25,18),-3.04222 # DEPENDENCYPART_ARC
(25,19),-3.31804 # DEPENDENCYPART_ARC
(25,20),-3.23596 # DEPENDENCYPART_ARC
(25,21),-2.42465 # DEPENDENCYPART_ARC
(25,22),-2.46409 # DEPENDENCYPART_ARC
(25,23),-2.23496 # DEPENDENCYPART_ARC
(25,24),-0.740512 # DEPENDENCYPART_ARC
(25,26),0.548833 # DEPENDENCYPART_ARC
(25,27),-0.391791 # DEPENDENCYPART_ARC
(25,28),-1.49249 # DEPENDENCYPART_ARC
(26,1),-6.32491 # DEPENDENCYPART_ARC
(26,2),-9.76302 # DEPENDENCYPART_ARC
(26,3),-5.83509 # DEPENDENCYPART_ARC
(26,4),-8.54401 # DEPENDENCYPART_ARC
(26,5),-9.12888 # DEPENDENCYPART_ARC
(26,6),-9.59208 # DEPENDENCYPART_ARC
(26,7),-3.88889 # DEPENDENCYPART_ARC
(26,8),-5.04951 # DEPENDENCYPART_ARC
(26,9),-6.91393 # DEPENDENCYPART_ARC
(26,10),-3.96504 # DEPENDENCYPART_ARC
(26,11),-5.81291 # DEPENDENCYPART_ARC
(26,12),-6.60885 # DEPENDENCYPART_ARC
(26,13),-3.33276 # DEPENDENCYPART_ARC
(26,14),-3.38345 # DEPENDENCYPART_ARC
(26,15),-3.62691 # DEPENDENCYPART_ARC
(26,16),-3.82825 # DEPENDENCYPART_ARC
(26,17),-2.77572 # DEPENDENCYPART_ARC
(26,18),-2.46037 # DEPENDENCYPART_ARC
(26,19),-3.66428 # DEPENDENCYPART_ARC
(26,20),-2.32379 # DEPENDENCYPART_ARC
(26,21),-1.71266 # DEPENDENCYPART_ARC
(26,22),-2.05866 # DEPENDENCYPART_ARC
(26,23),-1.89448 # DEPENDENCYPART_ARC
(26,24),-0.401321 # DEPENDENCYPART_ARC
(26,25),2.92792 # DEPENDENCYPART_ARC
(26,27),1.04528 # DEPENDENCYPART_ARC
(26,28),-0.672017 # DEPENDENCYPART_ARC
(27,1),-3.89423 # DEPENDENCYPART_ARC
(27,2),-7.17159 # DEPENDENCYPART_ARC
(27,3),-4.36014 # DEPENDENCYPART_ARC
(27,4),-6.33275 # DEPENDENCYPART_ARC
(27,5),-6.70101 # DEPENDENCYPART_ARC
(27,6),-7.59701 # DEPENDENCYPART_ARC
(27,7),-2.71739 # DEPENDENCYPART_ARC
(27,8),-2.6907 # DEPENDENCYPART_ARC
(27,9),-4.20201 # DEPENDENCYPART_ARC
(27,10),-2.41838 # DEPENDENCYPART_ARC
(27,11),-3.46181 # DEPENDENCYPART_ARC
(27,12),-4.31826 # DEPENDENCYPART_ARC
(27,13),-1.9756 # DEPENDENCYPART_ARC
(27,14),-1.2188 # DEPENDENCYPART_ARC
(27,15),-1.25361 # DEPENDENCYPART_ARC
(27,16),-2.59036 # DEPENDENCYPART_ARC
(27,17),-1.23798 # DEPENDENCYPART_ARC
(27,18),0.0618549 # DEPENDENCYPART_ARC
(27,19),-1.25987 # DEPENDENCYPART_ARC
(27,20),-0.792384 # DEPENDENCYPART_ARC
(27,21),0.123283 # DEPENDENCYPART_ARC
(27,22),0.537311 # DEPENDENCYPART_ARC
(27,23),0.0359094 # DEPENDENCYPART_ARC
(27,24),0.895965 # DEPENDENCYPART_ARC
(27,25),4.42301 # DEPENDENCYPART_ARC
(27,26),4.07771 # DEPENDENCYPART_ARC
(27,28),0.995066 # DEPENDENCYPART_ARC
(28,1),-3.56514 # DEPENDENCYPART_ARC
(28,2),-2.72299 # DEPENDENCYPART_ARC
(28,3),-3.44524 # DEPENDENCYPART_ARC
(28,4),-3.02618 # DEPENDENCYPART_ARC
(28,5),-2.99754 # DEPENDENCYPART_ARC
(28,6),-2.98324 # DEPENDENCYPART_ARC
(28,7),-1.29686 # DEPENDENCYPART_ARC
(28,8),-2.82678 # DEPENDENCYPART_ARC
(28,9),-2.30145 # DEPENDENCYPART_ARC
(28,10),-2.64704 # DEPENDENCYPART_ARC
(28,11),-2.29108 # DEPENDENCYPART_ARC
(28,12),-2.41927 # DEPENDENCYPART_ARC
(28,13),-0.831939 # DEPENDENCYPART_ARC
(28,14),-2.14594 # DEPENDENCYPART_ARC
(28,15),-1.51675 # DEPENDENCYPART_ARC
(28,16),-1.70118 # DEPENDENCYPART_ARC
(28,17),-2.42423 # DEPENDENCYPART_ARC
(28,18),-1.77962 # DEPENDENCYPART_ARC
(28,19),-1.38217 # DEPENDENCYPART_ARC
(28,20),-1.50118 # DEPENDENCYPART_ARC
(28,21),-1.4527 # DEPENDENCYPART_ARC
(28,22),-1.0433 # DEPENDENCYPART_ARC
(28,23),-1.43914 # DEPENDENCYPART_ARC
(28,24),-1.61764 # DEPENDENCYPART_ARC
(28,25),-0.347023 # DEPENDENCYPART_ARC
(28,26),-1.79598 # DEPENDENCYPART_ARC
(28,27),-1.72226 # DEPENDENCYPART_ARC
