# _root_ SHV , which last year merged its North Sea oil and gas operations with those of Calor Group PLC , has been pegged by speculators as a possible suitor for Burmah Oil in recent weeks .
#goldHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,23,29,29,26,29,32,30,23,35,33,21,
#predictedHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,25,29,29,26,29,32,30,23,35,33,21,
(14,15),3.31631 # DEPENDENCYPART_ARC
(14,16),0.612943 # DEPENDENCYPART_ARC
(14,17),0.758199 # DEPENDENCYPART_ARC
(14,18),1.4405 # DEPENDENCYPART_ARC
(14,19),1.66166 # DEPENDENCYPART_ARC
(14,20),1.06426 # DEPENDENCYPART_ARC
(14,21),-0.0907649 # DEPENDENCYPART_ARC
(14,22),0.163283 # DEPENDENCYPART_ARC
(14,23),0.336161 # DEPENDENCYPART_ARC
(14,24),0.128088 # DEPENDENCYPART_ARC
(14,25),-2.03488 # DEPENDENCYPART_ARC
(14,26),0.0573632 # DEPENDENCYPART_ARC
(14,27),-2.90395 # DEPENDENCYPART_ARC
(14,28),-0.453285 # DEPENDENCYPART_ARC
(14,29),-2.23292 # DEPENDENCYPART_ARC
(14,30),-0.967823 # DEPENDENCYPART_ARC
(14,31),-4.7833 # DEPENDENCYPART_ARC
(14,32),-3.19751 # DEPENDENCYPART_ARC
(14,33),-1.14257 # DEPENDENCYPART_ARC
(14,34),-1.67177 # DEPENDENCYPART_ARC
(14,35),-5.74008 # DEPENDENCYPART_ARC
(14,36),-0.256715 # DEPENDENCYPART_ARC
(15,1),-2.9735 # DEPENDENCYPART_ARC
(15,2),-2.50738 # DEPENDENCYPART_ARC
(15,3),-1.80265 # DEPENDENCYPART_ARC
(15,4),-2.48907 # DEPENDENCYPART_ARC
(15,5),-2.68024 # DEPENDENCYPART_ARC
(15,6),-2.18814 # DEPENDENCYPART_ARC
(15,7),-1.5575 # DEPENDENCYPART_ARC
(15,8),-2.0333 # DEPENDENCYPART_ARC
(15,9),-1.89939 # DEPENDENCYPART_ARC
(15,10),-1.9371 # DEPENDENCYPART_ARC
(15,11),-1.92739 # DEPENDENCYPART_ARC
(15,12),-1.35444 # DEPENDENCYPART_ARC
(15,13),-1.14912 # DEPENDENCYPART_ARC
(15,14),0.211017 # DEPENDENCYPART_ARC
(15,16),4.19465 # DEPENDENCYPART_ARC
(15,17),1.54886 # DEPENDENCYPART_ARC
(15,18),1.44426 # DEPENDENCYPART_ARC
(15,19),1.21679 # DEPENDENCYPART_ARC
(15,20),1.86645 # DEPENDENCYPART_ARC
(15,21),1.24092 # DEPENDENCYPART_ARC
(15,22),1.90071 # DEPENDENCYPART_ARC
(15,23),2.07603 # DEPENDENCYPART_ARC
(15,24),0.916739 # DEPENDENCYPART_ARC
(15,25),0.858282 # DEPENDENCYPART_ARC
(15,26),0.652098 # DEPENDENCYPART_ARC
(15,27),-0.445566 # DEPENDENCYPART_ARC
(15,28),0.404243 # DEPENDENCYPART_ARC
(15,29),0.0316491 # DEPENDENCYPART_ARC
(15,30),0.453744 # DEPENDENCYPART_ARC
(15,31),-0.742868 # DEPENDENCYPART_ARC
(15,32),-0.792419 # DEPENDENCYPART_ARC
(15,33),-0.884325 # DEPENDENCYPART_ARC
(15,34),-0.352434 # DEPENDENCYPART_ARC
(15,35),-0.260275 # DEPENDENCYPART_ARC
(15,36),1.26817 # DEPENDENCYPART_ARC
(16,1),-2.63585 # DEPENDENCYPART_ARC
(16,2),-2.70822 # DEPENDENCYPART_ARC
(16,3),-0.584688 # DEPENDENCYPART_ARC
(16,4),-2.41742 # DEPENDENCYPART_ARC
(16,5),-1.92984 # DEPENDENCYPART_ARC
(16,6),-2.17785 # DEPENDENCYPART_ARC
(16,7),-1.33425 # DEPENDENCYPART_ARC
(16,8),-1.6471 # DEPENDENCYPART_ARC
(16,9),-1.58349 # DEPENDENCYPART_ARC
(16,10),-1.36667 # DEPENDENCYPART_ARC
(16,11),-1.86701 # DEPENDENCYPART_ARC
(16,12),-1.05838 # DEPENDENCYPART_ARC
(16,13),-1.11848 # DEPENDENCYPART_ARC
(16,14),-0.605475 # DEPENDENCYPART_ARC
(16,15),0.100854 # DEPENDENCYPART_ARC
(16,17),3.06434 # DEPENDENCYPART_ARC
(16,18),3.42893 # DEPENDENCYPART_ARC
(16,19),3.19506 # DEPENDENCYPART_ARC
(16,20),0.834554 # DEPENDENCYPART_ARC
(16,21),0.508807 # DEPENDENCYPART_ARC
(16,22),-0.203706 # DEPENDENCYPART_ARC
(16,23),-0.284516 # DEPENDENCYPART_ARC
(16,24),-0.395552 # DEPENDENCYPART_ARC
(16,25),-0.971221 # DEPENDENCYPART_ARC
(16,26),-0.278567 # DEPENDENCYPART_ARC
(16,27),-2.64026 # DEPENDENCYPART_ARC
(16,28),-1.33322 # DEPENDENCYPART_ARC
(16,29),-3.10279 # DEPENDENCYPART_ARC
(16,30),-1.23805 # DEPENDENCYPART_ARC
(16,31),-4.2748 # DEPENDENCYPART_ARC
(16,32),-3.90265 # DEPENDENCYPART_ARC
(16,33),-2.7394 # DEPENDENCYPART_ARC
(16,34),-3.15971 # DEPENDENCYPART_ARC
(16,35),-6.70122 # DEPENDENCYPART_ARC
(16,36),-1.7844 # DEPENDENCYPART_ARC
(17,1),-7.94313 # DEPENDENCYPART_ARC
(17,2),-5.23494 # DEPENDENCYPART_ARC
(17,3),-5.29006 # DEPENDENCYPART_ARC
(17,4),-5.58515 # DEPENDENCYPART_ARC
(17,5),-6.10019 # DEPENDENCYPART_ARC
(17,6),-4.75951 # DEPENDENCYPART_ARC
(17,7),-2.65033 # DEPENDENCYPART_ARC
(17,8),-4.06462 # DEPENDENCYPART_ARC
(17,9),-4.76657 # DEPENDENCYPART_ARC
(17,10),-4.44462 # DEPENDENCYPART_ARC
(17,11),-4.34484 # DEPENDENCYPART_ARC
(17,12),-2.93674 # DEPENDENCYPART_ARC
(17,13),-3.29946 # DEPENDENCYPART_ARC
(17,14),-2.47658 # DEPENDENCYPART_ARC
(17,15),-1.52246 # DEPENDENCYPART_ARC
(17,16),-1.25207 # DEPENDENCYPART_ARC
(17,18),0.508724 # DEPENDENCYPART_ARC
(17,19),0.534931 # DEPENDENCYPART_ARC
(17,20),0.168151 # DEPENDENCYPART_ARC
(17,21),-1.74228 # DEPENDENCYPART_ARC
(17,22),-1.81523 # DEPENDENCYPART_ARC
(17,23),-1.87721 # DEPENDENCYPART_ARC
(17,24),-2.81807 # DEPENDENCYPART_ARC
(17,25),-2.60134 # DEPENDENCYPART_ARC
(17,26),-2.89495 # DEPENDENCYPART_ARC
(17,27),-2.29294 # DEPENDENCYPART_ARC
(17,28),-2.53675 # DEPENDENCYPART_ARC
(17,29),-3.78669 # DEPENDENCYPART_ARC
(17,30),-2.74509 # DEPENDENCYPART_ARC
(17,31),-3.87345 # DEPENDENCYPART_ARC
(17,32),-3.076 # DEPENDENCYPART_ARC
(17,33),-3.58042 # DEPENDENCYPART_ARC
(17,34),-3.3892 # DEPENDENCYPART_ARC
(17,35),-3.57049 # DEPENDENCYPART_ARC
(17,36),-0.727636 # DEPENDENCYPART_ARC
(18,1),-6.55743 # DEPENDENCYPART_ARC
(18,2),-4.35011 # DEPENDENCYPART_ARC
(18,3),-4.28403 # DEPENDENCYPART_ARC
(18,4),-4.32713 # DEPENDENCYPART_ARC
(18,5),-5.07504 # DEPENDENCYPART_ARC
(18,6),-3.49229 # DEPENDENCYPART_ARC
(18,7),-1.5363 # DEPENDENCYPART_ARC
(18,8),-2.79125 # DEPENDENCYPART_ARC
(18,9),-3.14148 # DEPENDENCYPART_ARC
(18,10),-3.15759 # DEPENDENCYPART_ARC
(18,11),-3.34828 # DEPENDENCYPART_ARC
(18,12),-2.02527 # DEPENDENCYPART_ARC
(18,13),-2.08563 # DEPENDENCYPART_ARC
(18,14),-2.01316 # DEPENDENCYPART_ARC
(18,15),-0.857724 # DEPENDENCYPART_ARC
(18,16),-0.988132 # DEPENDENCYPART_ARC
(18,17),3.6249 # DEPENDENCYPART_ARC
(18,19),1.51112 # DEPENDENCYPART_ARC
(18,20),1.30071 # DEPENDENCYPART_ARC
(18,21),-0.291697 # DEPENDENCYPART_ARC
(18,22),-0.575925 # DEPENDENCYPART_ARC
(18,23),-0.676198 # DEPENDENCYPART_ARC
(18,24),-2.26713 # DEPENDENCYPART_ARC
(18,25),-1.57806 # DEPENDENCYPART_ARC
(18,26),-2.46461 # DEPENDENCYPART_ARC
(18,27),-1.51468 # DEPENDENCYPART_ARC
(18,28),-1.57883 # DEPENDENCYPART_ARC
(18,29),-2.25816 # DEPENDENCYPART_ARC
(18,30),-2.50959 # DEPENDENCYPART_ARC
(18,31),-3.1096 # DEPENDENCYPART_ARC
(18,32),-2.05071 # DEPENDENCYPART_ARC
(18,33),-2.66657 # DEPENDENCYPART_ARC
(18,34),-2.16154 # DEPENDENCYPART_ARC
(18,35),-2.20221 # DEPENDENCYPART_ARC
(18,36),0.807078 # DEPENDENCYPART_ARC
(19,1),-3.99122 # DEPENDENCYPART_ARC
(19,2),-1.67101 # DEPENDENCYPART_ARC
(19,3),-2.10628 # DEPENDENCYPART_ARC
(19,4),-2.60935 # DEPENDENCYPART_ARC
(19,5),-3.03947 # DEPENDENCYPART_ARC
(19,6),-1.21825 # DEPENDENCYPART_ARC
(19,7),1.0321 # DEPENDENCYPART_ARC
(19,8),-0.099336 # DEPENDENCYPART_ARC
(19,9),-0.573988 # DEPENDENCYPART_ARC
(19,10),-0.904881 # DEPENDENCYPART_ARC
(19,11),-1.01313 # DEPENDENCYPART_ARC
(19,12),0.162144 # DEPENDENCYPART_ARC
(19,13),-0.394611 # DEPENDENCYPART_ARC
(19,14),0.085202 # DEPENDENCYPART_ARC
(19,15),1.5635 # DEPENDENCYPART_ARC
(19,16),1.01271 # DEPENDENCYPART_ARC
(19,17),5.29776 # DEPENDENCYPART_ARC
(19,18),4.82564 # DEPENDENCYPART_ARC
(19,20),1.91736 # DEPENDENCYPART_ARC
(19,21),0.383 # DEPENDENCYPART_ARC
(19,22),0.0432001 # DEPENDENCYPART_ARC
(19,23),-0.0250459 # DEPENDENCYPART_ARC
(19,24),-1.31774 # DEPENDENCYPART_ARC
(19,25),-1.23009 # DEPENDENCYPART_ARC
(19,26),-1.19609 # DEPENDENCYPART_ARC
(19,27),-1.21468 # DEPENDENCYPART_ARC
(19,28),-1.22285 # DEPENDENCYPART_ARC
(19,29),-1.29149 # DEPENDENCYPART_ARC
(19,30),-1.74751 # DEPENDENCYPART_ARC
(19,31),-2.8891 # DEPENDENCYPART_ARC
(19,32),-2.01215 # DEPENDENCYPART_ARC
(19,33),-2.28691 # DEPENDENCYPART_ARC
(19,34),-1.92567 # DEPENDENCYPART_ARC
(19,35),-2.25868 # DEPENDENCYPART_ARC
(19,36),0.787339 # DEPENDENCYPART_ARC
(20,1),-3.42471 # DEPENDENCYPART_ARC
(20,2),-1.26882 # DEPENDENCYPART_ARC
(20,3),-2.23428 # DEPENDENCYPART_ARC
(20,4),-2.69803 # DEPENDENCYPART_ARC
(20,5),-2.46275 # DEPENDENCYPART_ARC
(20,6),-2.11582 # DEPENDENCYPART_ARC
(20,7),-1.76867 # DEPENDENCYPART_ARC
(20,8),-2.58489 # DEPENDENCYPART_ARC
(20,9),-2.51916 # DEPENDENCYPART_ARC
(20,10),-1.72268 # DEPENDENCYPART_ARC
(20,11),-2.1926 # DEPENDENCYPART_ARC
(20,12),-1.53893 # DEPENDENCYPART_ARC
(20,13),-1.67353 # DEPENDENCYPART_ARC
(20,14),-1.33748 # DEPENDENCYPART_ARC
(20,15),-1.09282 # DEPENDENCYPART_ARC
(20,16),-1.25919 # DEPENDENCYPART_ARC
(20,17),-1.32502 # DEPENDENCYPART_ARC
(20,18),-1.46919 # DEPENDENCYPART_ARC
(20,19),-0.878154 # DEPENDENCYPART_ARC
(20,21),-0.617709 # DEPENDENCYPART_ARC
(20,22),-1.51058 # DEPENDENCYPART_ARC
(20,23),-1.9403 # DEPENDENCYPART_ARC
(20,24),-2.07446 # DEPENDENCYPART_ARC
(20,25),-2.47195 # DEPENDENCYPART_ARC
(20,26),-2.23355 # DEPENDENCYPART_ARC
(20,27),-2.73531 # DEPENDENCYPART_ARC
(20,28),-2.96748 # DEPENDENCYPART_ARC
(20,29),-3.39735 # DEPENDENCYPART_ARC
(20,30),-2.53911 # DEPENDENCYPART_ARC
(20,31),-3.18548 # DEPENDENCYPART_ARC
(20,32),-3.34612 # DEPENDENCYPART_ARC
(20,33),-2.93825 # DEPENDENCYPART_ARC
(20,34),-3.62503 # DEPENDENCYPART_ARC
(20,35),-3.81329 # DEPENDENCYPART_ARC
(20,36),-2.79462 # DEPENDENCYPART_ARC
(21,1),0.894206 # DEPENDENCYPART_ARC
(21,2),-0.11721 # DEPENDENCYPART_ARC
(21,3),-2.31655 # DEPENDENCYPART_ARC
(21,4),-0.0698581 # DEPENDENCYPART_ARC
(21,5),-0.517644 # DEPENDENCYPART_ARC
(21,6),-1.12619 # DEPENDENCYPART_ARC
(21,7),-1.22499 # DEPENDENCYPART_ARC
(21,8),0.779331 # DEPENDENCYPART_ARC
(21,9),0.549552 # DEPENDENCYPART_ARC
(21,10),-0.0736335 # DEPENDENCYPART_ARC
(21,11),-0.431134 # DEPENDENCYPART_ARC
(21,12),0.805084 # DEPENDENCYPART_ARC
(21,13),-1.19372 # DEPENDENCYPART_ARC
(21,14),-0.31923 # DEPENDENCYPART_ARC
(21,15),-0.343597 # DEPENDENCYPART_ARC
(21,16),-0.69502 # DEPENDENCYPART_ARC
(21,17),0.709817 # DEPENDENCYPART_ARC
(21,18),1.52998 # DEPENDENCYPART_ARC
(21,19),1.51657 # DEPENDENCYPART_ARC
(21,20),1.42278 # DEPENDENCYPART_ARC
(21,22),4.50915 # DEPENDENCYPART_ARC
(21,23),1.94069 # DEPENDENCYPART_ARC
(21,24),-0.026092 # DEPENDENCYPART_ARC
(21,25),-0.894679 # DEPENDENCYPART_ARC
(21,26),-0.0824849 # DEPENDENCYPART_ARC
(21,27),-1.39836 # DEPENDENCYPART_ARC
(21,28),-2.01564 # DEPENDENCYPART_ARC
(21,29),-1.62253 # DEPENDENCYPART_ARC
(21,30),-0.725596 # DEPENDENCYPART_ARC
(21,31),-2.82628 # DEPENDENCYPART_ARC
(21,32),-2.56921 # DEPENDENCYPART_ARC
(21,33),-1.77852 # DEPENDENCYPART_ARC
(21,34),-2.87438 # DEPENDENCYPART_ARC
(21,35),-2.50684 # DEPENDENCYPART_ARC
(21,36),6.45872 # DEPENDENCYPART_ARC
(22,1),-1.47104 # DEPENDENCYPART_ARC
(22,2),-0.416545 # DEPENDENCYPART_ARC
(22,3),-0.883668 # DEPENDENCYPART_ARC
(22,4),-1.26175 # DEPENDENCYPART_ARC
(22,5),-1.69382 # DEPENDENCYPART_ARC
(22,6),-0.820103 # DEPENDENCYPART_ARC
(22,7),-1.32262 # DEPENDENCYPART_ARC
(22,8),-0.875231 # DEPENDENCYPART_ARC
(22,9),-0.743326 # DEPENDENCYPART_ARC
(22,10),-1.00859 # DEPENDENCYPART_ARC
(22,11),-1.62812 # DEPENDENCYPART_ARC
(22,12),-0.908122 # DEPENDENCYPART_ARC
(22,13),-0.527952 # DEPENDENCYPART_ARC
(22,14),-0.993218 # DEPENDENCYPART_ARC
(22,15),-0.611398 # DEPENDENCYPART_ARC
(22,16),-1.00527 # DEPENDENCYPART_ARC
(22,17),-0.253666 # DEPENDENCYPART_ARC
(22,18),-0.0218105 # DEPENDENCYPART_ARC
(22,19),0.0117856 # DEPENDENCYPART_ARC
(22,20),0.240957 # DEPENDENCYPART_ARC
(22,21),0.994323 # DEPENDENCYPART_ARC
(22,23),4.25459 # DEPENDENCYPART_ARC
(22,24),1.69673 # DEPENDENCYPART_ARC
(22,25),0.958087 # DEPENDENCYPART_ARC
(22,26),1.54247 # DEPENDENCYPART_ARC
(22,27),-0.681242 # DEPENDENCYPART_ARC
(22,28),-0.761367 # DEPENDENCYPART_ARC
(22,29),-0.233104 # DEPENDENCYPART_ARC
(22,30),1.24654 # DEPENDENCYPART_ARC
(22,31),-1.47331 # DEPENDENCYPART_ARC
(22,32),-0.813149 # DEPENDENCYPART_ARC
(22,33),0.235257 # DEPENDENCYPART_ARC
(22,34),-1.49155 # DEPENDENCYPART_ARC
(22,35),-1.50114 # DEPENDENCYPART_ARC
(22,36),1.90187 # DEPENDENCYPART_ARC
(23,1),-1.37682 # DEPENDENCYPART_ARC
(23,2),-0.908621 # DEPENDENCYPART_ARC
(23,3),-0.283667 # DEPENDENCYPART_ARC
(23,4),-1.51342 # DEPENDENCYPART_ARC
(23,5),-1.73781 # DEPENDENCYPART_ARC
(23,6),-1.39359 # DEPENDENCYPART_ARC
(23,7),-1.2792 # DEPENDENCYPART_ARC
(23,8),-0.846325 # DEPENDENCYPART_ARC
(23,9),-0.872593 # DEPENDENCYPART_ARC
(23,10),-1.03039 # DEPENDENCYPART_ARC
(23,11),-1.4942 # DEPENDENCYPART_ARC
(23,12),-0.97827 # DEPENDENCYPART_ARC
(23,13),-0.493235 # DEPENDENCYPART_ARC
(23,14),-0.902934 # DEPENDENCYPART_ARC
(23,15),-0.52556 # DEPENDENCYPART_ARC
(23,16),-0.701238 # DEPENDENCYPART_ARC
(23,17),-0.181804 # DEPENDENCYPART_ARC
(23,18),-0.30805 # DEPENDENCYPART_ARC
(23,19),-0.395919 # DEPENDENCYPART_ARC
(23,20),0.384922 # DEPENDENCYPART_ARC
(23,21),-0.23413 # DEPENDENCYPART_ARC
(23,22),0.589384 # DEPENDENCYPART_ARC
(23,24),3.93825 # DEPENDENCYPART_ARC
(23,25),1.12983 # DEPENDENCYPART_ARC
(23,26),2.53793 # DEPENDENCYPART_ARC
(23,27),-0.318737 # DEPENDENCYPART_ARC
(23,28),-0.261677 # DEPENDENCYPART_ARC
(23,29),-0.100039 # DEPENDENCYPART_ARC
(23,30),1.56468 # DEPENDENCYPART_ARC
(23,31),-1.00904 # DEPENDENCYPART_ARC
(23,32),-0.430116 # DEPENDENCYPART_ARC
(23,33),1.42446 # DEPENDENCYPART_ARC
(23,34),-1.16586 # DEPENDENCYPART_ARC
(23,35),-2.05055 # DEPENDENCYPART_ARC
(23,36),1.54343 # DEPENDENCYPART_ARC
(24,1),-3.30991 # DEPENDENCYPART_ARC
(24,2),-2.56812 # DEPENDENCYPART_ARC
(24,3),-0.799818 # DEPENDENCYPART_ARC
(24,4),-2.7548 # DEPENDENCYPART_ARC
(24,5),-2.63824 # DEPENDENCYPART_ARC
(24,6),-2.38239 # DEPENDENCYPART_ARC
(24,7),-1.79025 # DEPENDENCYPART_ARC
(24,8),-2.32781 # DEPENDENCYPART_ARC
(24,9),-2.30996 # DEPENDENCYPART_ARC
(24,10),-2.63984 # DEPENDENCYPART_ARC
(24,11),-2.4615 # DEPENDENCYPART_ARC
(24,12),-2.51565 # DEPENDENCYPART_ARC
(24,13),-2.01273 # DEPENDENCYPART_ARC
(24,14),-1.19596 # DEPENDENCYPART_ARC
(24,15),-1.21354 # DEPENDENCYPART_ARC
(24,16),-0.67444 # DEPENDENCYPART_ARC
(24,17),-0.978321 # DEPENDENCYPART_ARC
(24,18),-0.966762 # DEPENDENCYPART_ARC
(24,19),-1.14179 # DEPENDENCYPART_ARC
(24,20),-0.370736 # DEPENDENCYPART_ARC
(24,21),-0.303671 # DEPENDENCYPART_ARC
(24,22),-0.226347 # DEPENDENCYPART_ARC
(24,23),0.59087 # DEPENDENCYPART_ARC
(24,25),4.29383 # DEPENDENCYPART_ARC
(24,26),0.624274 # DEPENDENCYPART_ARC
(24,27),-0.891242 # DEPENDENCYPART_ARC
(24,28),0.233347 # DEPENDENCYPART_ARC
(24,29),0.108644 # DEPENDENCYPART_ARC
(24,30),0.280287 # DEPENDENCYPART_ARC
(24,31),-1.46412 # DEPENDENCYPART_ARC
(24,32),-0.920091 # DEPENDENCYPART_ARC
(24,33),-0.664329 # DEPENDENCYPART_ARC
(24,34),-1.67835 # DEPENDENCYPART_ARC
(24,35),-2.1674 # DEPENDENCYPART_ARC
(24,36),-1.07004 # DEPENDENCYPART_ARC
(25,1),-7.42308 # DEPENDENCYPART_ARC
(25,2),-3.3533 # DEPENDENCYPART_ARC
(25,3),-3.95769 # DEPENDENCYPART_ARC
(25,4),-6.49015 # DEPENDENCYPART_ARC
(25,5),-6.87856 # DEPENDENCYPART_ARC
(25,6),-3.09762 # DEPENDENCYPART_ARC
(25,7),-2.82044 # DEPENDENCYPART_ARC
(25,8),-4.33452 # DEPENDENCYPART_ARC
(25,9),-4.77981 # DEPENDENCYPART_ARC
(25,10),-5.31928 # DEPENDENCYPART_ARC
(25,11),-2.52077 # DEPENDENCYPART_ARC
(25,12),-4.30568 # DEPENDENCYPART_ARC
(25,13),-3.89983 # DEPENDENCYPART_ARC
(25,14),-1.5265 # DEPENDENCYPART_ARC
(25,15),-3.12963 # DEPENDENCYPART_ARC
(25,16),-1.26463 # DEPENDENCYPART_ARC
(25,17),-1.34898 # DEPENDENCYPART_ARC
(25,18),-1.66976 # DEPENDENCYPART_ARC
(25,19),-2.7743 # DEPENDENCYPART_ARC
(25,20),-1.24799 # DEPENDENCYPART_ARC
(25,21),-1.32677 # DEPENDENCYPART_ARC
(25,22),-0.0662668 # DEPENDENCYPART_ARC
(25,23),0.516391 # DEPENDENCYPART_ARC
(25,24),0.94532 # DEPENDENCYPART_ARC
(25,26),2.77735 # DEPENDENCYPART_ARC
(25,27),0.264787 # DEPENDENCYPART_ARC
(25,28),0.741695 # DEPENDENCYPART_ARC
(25,29),0.798169 # DEPENDENCYPART_ARC
(25,30),1.14625 # DEPENDENCYPART_ARC
(25,31),-0.122182 # DEPENDENCYPART_ARC
(25,32),0.166043 # DEPENDENCYPART_ARC
(25,33),0.714961 # DEPENDENCYPART_ARC
(25,34),0.118993 # DEPENDENCYPART_ARC
(25,35),-0.0647846 # DEPENDENCYPART_ARC
(25,36),0.6632 # DEPENDENCYPART_ARC
(26,1),-2.87297 # DEPENDENCYPART_ARC
(26,2),-2.33544 # DEPENDENCYPART_ARC
(26,3),-1.24425 # DEPENDENCYPART_ARC
(26,4),-2.40808 # DEPENDENCYPART_ARC
(26,5),-2.93057 # DEPENDENCYPART_ARC
(26,6),-2.47731 # DEPENDENCYPART_ARC
(26,7),-1.82198 # DEPENDENCYPART_ARC
(26,8),-2.04958 # DEPENDENCYPART_ARC
(26,9),-2.08871 # DEPENDENCYPART_ARC
(26,10),-2.6072 # DEPENDENCYPART_ARC
(26,11),-2.5672 # DEPENDENCYPART_ARC
(26,12),-2.46767 # DEPENDENCYPART_ARC
(26,13),-1.59241 # DEPENDENCYPART_ARC
(26,14),-2.08724 # DEPENDENCYPART_ARC
(26,15),-1.75233 # DEPENDENCYPART_ARC
(26,16),-1.23388 # DEPENDENCYPART_ARC
(26,17),-0.7515 # DEPENDENCYPART_ARC
(26,18),-0.864558 # DEPENDENCYPART_ARC
(26,19),-0.969517 # DEPENDENCYPART_ARC
(26,20),-0.15805 # DEPENDENCYPART_ARC
(26,21),-0.704958 # DEPENDENCYPART_ARC
(26,22),-0.411328 # DEPENDENCYPART_ARC
(26,23),-0.0312724 # DEPENDENCYPART_ARC
(26,24),0.192466 # DEPENDENCYPART_ARC
(26,25),0.914859 # DEPENDENCYPART_ARC
(26,27),0.706973 # DEPENDENCYPART_ARC
(26,28),2.17198 # DEPENDENCYPART_ARC
(26,29),2.92966 # DEPENDENCYPART_ARC
(26,30),0.513871 # DEPENDENCYPART_ARC
(26,31),-0.0777463 # DEPENDENCYPART_ARC
(26,32),0.707014 # DEPENDENCYPART_ARC
(26,33),-0.584617 # DEPENDENCYPART_ARC
(26,34),-0.690352 # DEPENDENCYPART_ARC
(26,35),-0.360417 # DEPENDENCYPART_ARC
(26,36),-0.213975 # DEPENDENCYPART_ARC
(27,1),-3.74518 # DEPENDENCYPART_ARC
(27,2),-3.62929 # DEPENDENCYPART_ARC
(27,3),-2.98206 # DEPENDENCYPART_ARC
(27,4),-3.74813 # DEPENDENCYPART_ARC
(27,5),-4.07618 # DEPENDENCYPART_ARC
(27,6),-3.34591 # DEPENDENCYPART_ARC
(27,7),-3.60754 # DEPENDENCYPART_ARC
(27,8),-2.98212 # DEPENDENCYPART_ARC
(27,9),-2.94718 # DEPENDENCYPART_ARC
(27,10),-3.48892 # DEPENDENCYPART_ARC
(27,11),-3.27151 # DEPENDENCYPART_ARC
(27,12),-3.28783 # DEPENDENCYPART_ARC
(27,13),-2.90364 # DEPENDENCYPART_ARC
(27,14),-2.00034 # DEPENDENCYPART_ARC
(27,15),-1.964 # DEPENDENCYPART_ARC
(27,16),-1.7269 # DEPENDENCYPART_ARC
(27,17),-2.1084 # DEPENDENCYPART_ARC
(27,18),-2.12932 # DEPENDENCYPART_ARC
(27,19),-2.14014 # DEPENDENCYPART_ARC
(27,20),-1.84839 # DEPENDENCYPART_ARC
(27,21),-1.83174 # DEPENDENCYPART_ARC
(27,22),-1.7375 # DEPENDENCYPART_ARC
(27,23),-1.49904 # DEPENDENCYPART_ARC
(27,24),-0.280614 # DEPENDENCYPART_ARC
(27,25),-1.01054 # DEPENDENCYPART_ARC
(27,26),0.0151861 # DEPENDENCYPART_ARC
(27,28),1.0884 # DEPENDENCYPART_ARC
(27,29),0.424283 # DEPENDENCYPART_ARC
(27,30),0.287631 # DEPENDENCYPART_ARC
(27,31),-0.33157 # DEPENDENCYPART_ARC
(27,32),-0.35728 # DEPENDENCYPART_ARC
(27,33),-0.684739 # DEPENDENCYPART_ARC
(27,34),-0.785102 # DEPENDENCYPART_ARC
(27,35),-1.00264 # DEPENDENCYPART_ARC
(27,36),-0.437044 # DEPENDENCYPART_ARC
(28,1),-4.29979 # DEPENDENCYPART_ARC
(28,2),-2.53388 # DEPENDENCYPART_ARC
(28,3),-2.44169 # DEPENDENCYPART_ARC
(28,4),-3.23399 # DEPENDENCYPART_ARC
(28,5),-3.57912 # DEPENDENCYPART_ARC
(28,6),-3.48344 # DEPENDENCYPART_ARC
(28,7),-1.2588 # DEPENDENCYPART_ARC
(28,8),-2.68576 # DEPENDENCYPART_ARC
(28,9),-3.59247 # DEPENDENCYPART_ARC
(28,10),-2.8067 # DEPENDENCYPART_ARC
(28,11),-3.40345 # DEPENDENCYPART_ARC
(28,12),-2.7975 # DEPENDENCYPART_ARC
(28,13),-2.58988 # DEPENDENCYPART_ARC
(28,14),-2.17406 # DEPENDENCYPART_ARC
(28,15),-2.06073 # DEPENDENCYPART_ARC
(28,16),-1.56633 # DEPENDENCYPART_ARC
(28,17),-1.42948 # DEPENDENCYPART_ARC
(28,18),-1.66076 # DEPENDENCYPART_ARC
(28,19),-2.16486 # DEPENDENCYPART_ARC
(28,20),-1.22752 # DEPENDENCYPART_ARC
(28,21),-1.71616 # DEPENDENCYPART_ARC
(28,22),-1.44157 # DEPENDENCYPART_ARC
(28,23),-1.23951 # DEPENDENCYPART_ARC
(28,24),-0.216062 # DEPENDENCYPART_ARC
(28,25),-0.349448 # DEPENDENCYPART_ARC
(28,26),0.214952 # DEPENDENCYPART_ARC
(28,27),2.03715 # DEPENDENCYPART_ARC
(28,29),1.12335 # DEPENDENCYPART_ARC
(28,30),0.220344 # DEPENDENCYPART_ARC
(28,31),-0.217048 # DEPENDENCYPART_ARC
(28,32),-0.518144 # DEPENDENCYPART_ARC
(28,33),-0.857551 # DEPENDENCYPART_ARC
(28,34),-1.10532 # DEPENDENCYPART_ARC
(28,35),-0.941321 # DEPENDENCYPART_ARC
(28,36),-0.394119 # DEPENDENCYPART_ARC
(29,1),-11.3233 # DEPENDENCYPART_ARC
