# _root_ As usual , few favorable reviews were heard for that ever-present marching band of program traders , although most serious studies suggest they only play the music that others write .
#goldHeads=7,1,7,6,6,7,0,7,6,13,13,13,9,13,16,14,8,8,21,21,22,18,25,25,22,27,25,30,30,27,7,
#predictedHeads=7,1,7,6,6,7,0,7,8,13,13,13,9,13,16,14,22,8,21,21,22,18,22,25,22,27,25,30,30,27,7,
(16,29),-1.2031 # DEPENDENCYPART_ARC
(16,30),-0.514681 # DEPENDENCYPART_ARC
(16,31),0.202408 # DEPENDENCYPART_ARC
(17,1),-2.59211 # DEPENDENCYPART_ARC
(17,2),-2.62352 # DEPENDENCYPART_ARC
(17,3),-0.34228 # DEPENDENCYPART_ARC
(17,4),-2.35284 # DEPENDENCYPART_ARC
(17,5),-2.28202 # DEPENDENCYPART_ARC
(17,6),-1.98702 # DEPENDENCYPART_ARC
(17,7),-1.68566 # DEPENDENCYPART_ARC
(17,8),-1.13998 # DEPENDENCYPART_ARC
(17,9),-1.67733 # DEPENDENCYPART_ARC
(17,10),-1.24897 # DEPENDENCYPART_ARC
(17,11),-1.53854 # DEPENDENCYPART_ARC
(17,12),-1.11737 # DEPENDENCYPART_ARC
(17,13),-1.22852 # DEPENDENCYPART_ARC
(17,14),-0.927435 # DEPENDENCYPART_ARC
(17,15),-1.32174 # DEPENDENCYPART_ARC
(17,16),-1.017 # DEPENDENCYPART_ARC
(17,18),-0.674505 # DEPENDENCYPART_ARC
(17,19),-1.226 # DEPENDENCYPART_ARC
(17,20),-1.42414 # DEPENDENCYPART_ARC
(17,21),-1.75006 # DEPENDENCYPART_ARC
(17,22),-1.57436 # DEPENDENCYPART_ARC
(17,23),-1.91696 # DEPENDENCYPART_ARC
(17,24),-2.02209 # DEPENDENCYPART_ARC
(17,25),-1.90419 # DEPENDENCYPART_ARC
(17,26),-2.364 # DEPENDENCYPART_ARC
(17,27),-2.81033 # DEPENDENCYPART_ARC
(17,28),-2.96698 # DEPENDENCYPART_ARC
(17,29),-2.94184 # DEPENDENCYPART_ARC
(17,30),-2.48801 # DEPENDENCYPART_ARC
(17,31),-2.02797 # DEPENDENCYPART_ARC
(18,1),-1.60009 # DEPENDENCYPART_ARC
(18,2),-1.15362 # DEPENDENCYPART_ARC
(18,3),-2.17665 # DEPENDENCYPART_ARC
(18,4),-1.15315 # DEPENDENCYPART_ARC
(18,5),-0.988498 # DEPENDENCYPART_ARC
(18,6),-1.47969 # DEPENDENCYPART_ARC
(18,7),-1.38749 # DEPENDENCYPART_ARC
(18,8),-0.827822 # DEPENDENCYPART_ARC
(18,9),-0.60773 # DEPENDENCYPART_ARC
(18,10),-0.948465 # DEPENDENCYPART_ARC
(18,11),-0.270135 # DEPENDENCYPART_ARC
(18,12),-0.966258 # DEPENDENCYPART_ARC
(18,13),-0.706242 # DEPENDENCYPART_ARC
(18,14),-0.194523 # DEPENDENCYPART_ARC
(18,15),-0.3587 # DEPENDENCYPART_ARC
(18,16),-0.311051 # DEPENDENCYPART_ARC
(18,17),0.611942 # DEPENDENCYPART_ARC
(18,19),1.81534 # DEPENDENCYPART_ARC
(18,20),1.49304 # DEPENDENCYPART_ARC
(18,21),0.952837 # DEPENDENCYPART_ARC
(18,22),3.10798 # DEPENDENCYPART_ARC
(18,23),-1.18212 # DEPENDENCYPART_ARC
(18,24),-0.168358 # DEPENDENCYPART_ARC
(18,25),0.457085 # DEPENDENCYPART_ARC
(18,26),-1.82329 # DEPENDENCYPART_ARC
(18,27),-3.68303 # DEPENDENCYPART_ARC
(18,28),-1.24277 # DEPENDENCYPART_ARC
(18,29),-4.52799 # DEPENDENCYPART_ARC
(18,30),0.778057 # DEPENDENCYPART_ARC
(18,31),1.57877 # DEPENDENCYPART_ARC
(19,1),-2.55446 # DEPENDENCYPART_ARC
(19,2),-2.65111 # DEPENDENCYPART_ARC
(19,3),-2.45516 # DEPENDENCYPART_ARC
(19,4),-2.46855 # DEPENDENCYPART_ARC
(19,5),-2.37495 # DEPENDENCYPART_ARC
(19,6),-2.3227 # DEPENDENCYPART_ARC
(19,7),-2.025 # DEPENDENCYPART_ARC
(19,8),-1.83379 # DEPENDENCYPART_ARC
(19,9),-1.68416 # DEPENDENCYPART_ARC
(19,10),-1.03626 # DEPENDENCYPART_ARC
(19,11),-1.62826 # DEPENDENCYPART_ARC
(19,12),-1.40898 # DEPENDENCYPART_ARC
(19,13),-1.65114 # DEPENDENCYPART_ARC
(19,14),-1.12611 # DEPENDENCYPART_ARC
(19,15),-1.13132 # DEPENDENCYPART_ARC
(19,16),-0.76861 # DEPENDENCYPART_ARC
(19,17),-0.355536 # DEPENDENCYPART_ARC
(19,18),0.395559 # DEPENDENCYPART_ARC
(19,20),1.07271 # DEPENDENCYPART_ARC
(19,21),-0.0632464 # DEPENDENCYPART_ARC
(19,22),-0.033265 # DEPENDENCYPART_ARC
(19,23),-0.435141 # DEPENDENCYPART_ARC
(19,24),-0.55328 # DEPENDENCYPART_ARC
(19,25),-0.65741 # DEPENDENCYPART_ARC
(19,26),-1.05434 # DEPENDENCYPART_ARC
(19,27),-0.838832 # DEPENDENCYPART_ARC
(19,28),-1.72422 # DEPENDENCYPART_ARC
(19,29),-1.65501 # DEPENDENCYPART_ARC
(19,30),-1.19282 # DEPENDENCYPART_ARC
(19,31),-0.587284 # DEPENDENCYPART_ARC
(20,1),-2.93834 # DEPENDENCYPART_ARC
(20,2),-1.78493 # DEPENDENCYPART_ARC
(20,3),-1.90933 # DEPENDENCYPART_ARC
(20,4),-1.82865 # DEPENDENCYPART_ARC
(20,5),-1.67564 # DEPENDENCYPART_ARC
(20,6),-2.31849 # DEPENDENCYPART_ARC
(20,7),-2.48856 # DEPENDENCYPART_ARC
(20,8),-2.10098 # DEPENDENCYPART_ARC
(20,9),-1.61385 # DEPENDENCYPART_ARC
(20,10),-1.14686 # DEPENDENCYPART_ARC
(20,11),-0.651865 # DEPENDENCYPART_ARC
(20,12),-1.52343 # DEPENDENCYPART_ARC
(20,13),-1.00473 # DEPENDENCYPART_ARC
(20,14),-0.70974 # DEPENDENCYPART_ARC
(20,15),-0.690235 # DEPENDENCYPART_ARC
(20,16),-0.81993 # DEPENDENCYPART_ARC
(20,17),0.108182 # DEPENDENCYPART_ARC
(20,18),0.419585 # DEPENDENCYPART_ARC
(20,19),1.97326 # DEPENDENCYPART_ARC
(20,21),0.632287 # DEPENDENCYPART_ARC
(20,22),0.43709 # DEPENDENCYPART_ARC
(20,23),-0.783671 # DEPENDENCYPART_ARC
(20,24),-1.10786 # DEPENDENCYPART_ARC
(20,25),-1.27835 # DEPENDENCYPART_ARC
(20,26),-1.58808 # DEPENDENCYPART_ARC
(20,27),-1.25269 # DEPENDENCYPART_ARC
(20,28),-1.78597 # DEPENDENCYPART_ARC
(20,29),-1.10028 # DEPENDENCYPART_ARC
(20,30),-1.09482 # DEPENDENCYPART_ARC
(20,31),-0.129384 # DEPENDENCYPART_ARC
(21,1),-1.7206 # DEPENDENCYPART_ARC
(21,2),-3.73975 # DEPENDENCYPART_ARC
(21,3),-0.324798 # DEPENDENCYPART_ARC
(21,4),-2.7741 # DEPENDENCYPART_ARC
(21,5),-3.65424 # DEPENDENCYPART_ARC
(21,6),-3.33766 # DEPENDENCYPART_ARC
(21,7),-1.45112 # DEPENDENCYPART_ARC
(21,8),-1.71617 # DEPENDENCYPART_ARC
(21,9),-1.47325 # DEPENDENCYPART_ARC
(21,10),-3.26117 # DEPENDENCYPART_ARC
(21,11),-1.06584 # DEPENDENCYPART_ARC
(21,12),-0.099065 # DEPENDENCYPART_ARC
(21,13),-1.0627 # DEPENDENCYPART_ARC
(21,14),-0.302122 # DEPENDENCYPART_ARC
(21,15),0.821067 # DEPENDENCYPART_ARC
(21,16),-0.592818 # DEPENDENCYPART_ARC
(21,17),-0.0398818 # DEPENDENCYPART_ARC
(21,18),0.91055 # DEPENDENCYPART_ARC
(21,19),3.6607 # DEPENDENCYPART_ARC
(21,20),3.82534 # DEPENDENCYPART_ARC
(21,22),0.724363 # DEPENDENCYPART_ARC
(21,23),-0.339362 # DEPENDENCYPART_ARC
(21,24),-0.152452 # DEPENDENCYPART_ARC
(21,25),-0.1691 # DEPENDENCYPART_ARC
(21,26),-0.584404 # DEPENDENCYPART_ARC
(21,27),-0.592943 # DEPENDENCYPART_ARC
(21,28),-2.06946 # DEPENDENCYPART_ARC
(21,29),-0.457923 # DEPENDENCYPART_ARC
(21,30),-0.867761 # DEPENDENCYPART_ARC
(21,31),0.238226 # DEPENDENCYPART_ARC
(22,1),0.940886 # DEPENDENCYPART_ARC
(22,2),-1.38017 # DEPENDENCYPART_ARC
(22,3),1.79869 # DEPENDENCYPART_ARC
(22,4),-0.691571 # DEPENDENCYPART_ARC
(22,5),-1.01511 # DEPENDENCYPART_ARC
(22,6),0.97151 # DEPENDENCYPART_ARC
(22,7),-0.180775 # DEPENDENCYPART_ARC
(22,8),0.38952 # DEPENDENCYPART_ARC
(22,9),0.406565 # DEPENDENCYPART_ARC
(22,10),-0.101988 # DEPENDENCYPART_ARC
(22,11),-0.154417 # DEPENDENCYPART_ARC
(22,12),0.735609 # DEPENDENCYPART_ARC
(22,13),0.524205 # DEPENDENCYPART_ARC
(22,14),-0.0118909 # DEPENDENCYPART_ARC
(22,15),0.209107 # DEPENDENCYPART_ARC
(22,16),0.70731 # DEPENDENCYPART_ARC
(22,17),1.67429 # DEPENDENCYPART_ARC
(22,18),1.36815 # DEPENDENCYPART_ARC
(22,19),1.8711 # DEPENDENCYPART_ARC
(22,20),1.05219 # DEPENDENCYPART_ARC
(22,21),3.37402 # DEPENDENCYPART_ARC
(22,23),2.4484 # DEPENDENCYPART_ARC
(22,24),2.19702 # DEPENDENCYPART_ARC
(22,25),1.86324 # DEPENDENCYPART_ARC
(22,26),-0.147914 # DEPENDENCYPART_ARC
(22,27),1.17799 # DEPENDENCYPART_ARC
(22,28),-0.770011 # DEPENDENCYPART_ARC
(22,29),-0.0672358 # DEPENDENCYPART_ARC
(22,30),1.21197 # DEPENDENCYPART_ARC
(22,31),5.35578 # DEPENDENCYPART_ARC
(23,1),-3.08398 # DEPENDENCYPART_ARC
(23,2),-3.22033 # DEPENDENCYPART_ARC
(23,3),-2.44261 # DEPENDENCYPART_ARC
(23,4),-2.94983 # DEPENDENCYPART_ARC
(23,5),-2.80732 # DEPENDENCYPART_ARC
(23,6),-3.0774 # DEPENDENCYPART_ARC
(23,7),-2.13186 # DEPENDENCYPART_ARC
(23,8),-2.4888 # DEPENDENCYPART_ARC
(23,9),-2.24849 # DEPENDENCYPART_ARC
(23,10),-1.71541 # DEPENDENCYPART_ARC
(23,11),-2.22999 # DEPENDENCYPART_ARC
(23,12),-2.1343 # DEPENDENCYPART_ARC
(23,13),-2.39598 # DEPENDENCYPART_ARC
(23,14),-1.65958 # DEPENDENCYPART_ARC
(23,15),-2.21994 # DEPENDENCYPART_ARC
(23,16),-1.95368 # DEPENDENCYPART_ARC
(23,17),-0.89502 # DEPENDENCYPART_ARC
(23,18),-1.1866 # DEPENDENCYPART_ARC
(23,19),-0.97973 # DEPENDENCYPART_ARC
(23,20),-0.637116 # DEPENDENCYPART_ARC
(23,21),-0.90812 # DEPENDENCYPART_ARC
(23,22),-0.158581 # DEPENDENCYPART_ARC
(23,24),0.870453 # DEPENDENCYPART_ARC
(23,25),0.141761 # DEPENDENCYPART_ARC
(23,26),0.343319 # DEPENDENCYPART_ARC
(23,27),0.216925 # DEPENDENCYPART_ARC
(23,28),-1.01768 # DEPENDENCYPART_ARC
(23,29),-0.00738571 # DEPENDENCYPART_ARC
(23,30),-0.177453 # DEPENDENCYPART_ARC
(23,31),0.0328366 # DEPENDENCYPART_ARC
(24,1),-3.3891 # DEPENDENCYPART_ARC
(24,2),-2.31617 # DEPENDENCYPART_ARC
(24,3),-3.02942 # DEPENDENCYPART_ARC
(24,4),-2.25413 # DEPENDENCYPART_ARC
(24,5),-2.31866 # DEPENDENCYPART_ARC
(24,6),-3.25092 # DEPENDENCYPART_ARC
(24,7),-3.22657 # DEPENDENCYPART_ARC
(24,8),-2.93808 # DEPENDENCYPART_ARC
(24,9),-2.59223 # DEPENDENCYPART_ARC
(24,10),-2.23306 # DEPENDENCYPART_ARC
(24,11),-1.86284 # DEPENDENCYPART_ARC
(24,12),-2.88918 # DEPENDENCYPART_ARC
(24,13),-3.04703 # DEPENDENCYPART_ARC
(24,14),-1.68458 # DEPENDENCYPART_ARC
(24,15),-2.73159 # DEPENDENCYPART_ARC
(24,16),-2.57721 # DEPENDENCYPART_ARC
(24,17),-1.98898 # DEPENDENCYPART_ARC
(24,18),-1.37794 # DEPENDENCYPART_ARC
(24,19),-1.52861 # DEPENDENCYPART_ARC
(24,20),-0.996456 # DEPENDENCYPART_ARC
(24,21),-1.50149 # DEPENDENCYPART_ARC
(24,22),-1.4556 # DEPENDENCYPART_ARC
(24,23),-0.235371 # DEPENDENCYPART_ARC
(24,25),0.70332 # DEPENDENCYPART_ARC
(24,26),0.434938 # DEPENDENCYPART_ARC
(24,27),-0.0482808 # DEPENDENCYPART_ARC
(24,28),-0.69471 # DEPENDENCYPART_ARC
(24,29),-0.882067 # DEPENDENCYPART_ARC
(24,30),-0.183881 # DEPENDENCYPART_ARC
(24,31),-0.50444 # DEPENDENCYPART_ARC
(25,1),-0.656917 # DEPENDENCYPART_ARC
(25,2),-1.34473 # DEPENDENCYPART_ARC
(25,3),0.494986 # DEPENDENCYPART_ARC
(25,4),-0.858781 # DEPENDENCYPART_ARC
(25,5),-0.639785 # DEPENDENCYPART_ARC
(25,6),0.131725 # DEPENDENCYPART_ARC
(25,7),-0.693507 # DEPENDENCYPART_ARC
(25,8),-0.804592 # DEPENDENCYPART_ARC
(25,9),-0.0275144 # DEPENDENCYPART_ARC
(25,10),-0.264355 # DEPENDENCYPART_ARC
(25,11),-0.130638 # DEPENDENCYPART_ARC
(25,12),0.160097 # DEPENDENCYPART_ARC
(25,13),0.468805 # DEPENDENCYPART_ARC
(25,14),0.311331 # DEPENDENCYPART_ARC
(25,15),0.913033 # DEPENDENCYPART_ARC
(25,16),0.40767 # DEPENDENCYPART_ARC
(25,17),0.706075 # DEPENDENCYPART_ARC
(25,18),1.00918 # DEPENDENCYPART_ARC
(25,19),0.750325 # DEPENDENCYPART_ARC
(25,20),1.08957 # DEPENDENCYPART_ARC
(25,21),1.53397 # DEPENDENCYPART_ARC
(25,22),1.29001 # DEPENDENCYPART_ARC
(25,23),2.3027 # DEPENDENCYPART_ARC
(25,24),2.95959 # DEPENDENCYPART_ARC
(25,26),1.82624 # DEPENDENCYPART_ARC
(25,27),3.67378 # DEPENDENCYPART_ARC
(25,28),0.0202895 # DEPENDENCYPART_ARC
(25,29),1.64591 # DEPENDENCYPART_ARC
(25,30),2.45054 # DEPENDENCYPART_ARC
(25,31),3.1143 # DEPENDENCYPART_ARC
(26,1),-4.29492 # DEPENDENCYPART_ARC
(26,2),-4.35564 # DEPENDENCYPART_ARC
(26,3),-4.00388 # DEPENDENCYPART_ARC
(26,4),-4.01763 # DEPENDENCYPART_ARC
(26,5),-3.99148 # DEPENDENCYPART_ARC
(26,6),-4.06192 # DEPENDENCYPART_ARC
(26,7),-3.63822 # DEPENDENCYPART_ARC
(26,8),-3.5117 # DEPENDENCYPART_ARC
(26,9),-3.08839 # DEPENDENCYPART_ARC
(26,10),-3.24542 # DEPENDENCYPART_ARC
(26,11),-3.31834 # DEPENDENCYPART_ARC
(26,12),-3.16669 # DEPENDENCYPART_ARC
(26,13),-3.54073 # DEPENDENCYPART_ARC
(26,14),-2.63671 # DEPENDENCYPART_ARC
(26,15),-3.34512 # DEPENDENCYPART_ARC
(26,16),-2.89453 # DEPENDENCYPART_ARC
(26,17),-2.55677 # DEPENDENCYPART_ARC
(26,18),-1.95695 # DEPENDENCYPART_ARC
(26,19),-1.87296 # DEPENDENCYPART_ARC
(26,20),-2.20213 # DEPENDENCYPART_ARC
(26,21),-2.23281 # DEPENDENCYPART_ARC
(26,22),-2.16616 # DEPENDENCYPART_ARC
(26,23),-1.10121 # DEPENDENCYPART_ARC
(26,24),-1.01401 # DEPENDENCYPART_ARC
(26,25),-0.234577 # DEPENDENCYPART_ARC
(26,27),-0.353053 # DEPENDENCYPART_ARC
(26,28),-1.89345 # DEPENDENCYPART_ARC
(26,29),-1.48697 # DEPENDENCYPART_ARC
(26,30),-1.11026 # DEPENDENCYPART_ARC
(26,31),-1.99443 # DEPENDENCYPART_ARC
(27,1),-3.42523 # DEPENDENCYPART_ARC
(27,2),-5.36616 # DEPENDENCYPART_ARC
(27,3),-2.05094 # DEPENDENCYPART_ARC
(27,4),-5.28588 # DEPENDENCYPART_ARC
(27,5),-5.01101 # DEPENDENCYPART_ARC
(27,6),-3.68922 # DEPENDENCYPART_ARC
(27,7),-2.51008 # DEPENDENCYPART_ARC
(27,8),-2.70991 # DEPENDENCYPART_ARC
(27,9),-1.87565 # DEPENDENCYPART_ARC
(27,10),-5.02516 # DEPENDENCYPART_ARC
(27,11),-2.5945 # DEPENDENCYPART_ARC
(27,12),-0.895581 # DEPENDENCYPART_ARC
(27,13),-4.0642 # DEPENDENCYPART_ARC
(27,14),-1.34692 # DEPENDENCYPART_ARC
(27,15),-2.14196 # DEPENDENCYPART_ARC
(27,16),-2.40388 # DEPENDENCYPART_ARC
(27,17),-1.05684 # DEPENDENCYPART_ARC
(27,18),0.228571 # DEPENDENCYPART_ARC
(27,19),-0.312366 # DEPENDENCYPART_ARC
(27,20),-0.519805 # DEPENDENCYPART_ARC
(27,21),-0.900361 # DEPENDENCYPART_ARC
(27,22),-0.787932 # DEPENDENCYPART_ARC
(27,23),0.0100561 # DEPENDENCYPART_ARC
(27,24),0.970556 # DEPENDENCYPART_ARC
(27,25),0.455463 # DEPENDENCYPART_ARC
(27,26),4.91475 # DEPENDENCYPART_ARC
(27,28),0.712862 # DEPENDENCYPART_ARC
(27,29),0.958367 # DEPENDENCYPART_ARC
(27,30),2.56942 # DEPENDENCYPART_ARC
(27,31),1.10103 # DEPENDENCYPART_ARC
(28,1),-2.9135 # DEPENDENCYPART_ARC
(28,2),-3.47298 # DEPENDENCYPART_ARC
(28,3),-2.5116 # DEPENDENCYPART_ARC
(28,4),-3.39382 # DEPENDENCYPART_ARC
(28,5),-3.27283 # DEPENDENCYPART_ARC
(28,6),-3.67499 # DEPENDENCYPART_ARC
(28,7),-2.99495 # DEPENDENCYPART_ARC
(28,8),-3.03538 # DEPENDENCYPART_ARC
(28,9),-2.27468 # DEPENDENCYPART_ARC
(28,10),-2.4601 # DEPENDENCYPART_ARC
(28,11),-2.50638 # DEPENDENCYPART_ARC
(28,12),-2.62278 # DEPENDENCYPART_ARC
(28,13),-3.02972 # DEPENDENCYPART_ARC
(28,14),-1.87987 # DEPENDENCYPART_ARC
(28,15),-2.79597 # DEPENDENCYPART_ARC
(28,16),-2.59743 # DEPENDENCYPART_ARC
(28,17),-1.52244 # DEPENDENCYPART_ARC
(28,18),-1.51632 # DEPENDENCYPART_ARC
(28,19),-1.62664 # DEPENDENCYPART_ARC
(28,20),-1.64189 # DEPENDENCYPART_ARC
(28,21),-1.93509 # DEPENDENCYPART_ARC
(28,22),-1.64836 # DEPENDENCYPART_ARC
(28,23),-1.42274 # DEPENDENCYPART_ARC
(28,24),-1.15851 # DEPENDENCYPART_ARC
(28,25),-0.814669 # DEPENDENCYPART_ARC
(28,26),0.0307734 # DEPENDENCYPART_ARC
(28,27),-0.424234 # DEPENDENCYPART_ARC
(28,29),-0.399062 # DEPENDENCYPART_ARC
(28,30),0.909679 # DEPENDENCYPART_ARC
(28,31),0.0135901 # DEPENDENCYPART_ARC
(29,1),-2.64416 # DEPENDENCYPART_ARC
(29,2),-7.18146 # DEPENDENCYPART_ARC
(29,3),-2.54629 # DEPENDENCYPART_ARC
(29,4),-5.72608 # DEPENDENCYPART_ARC
(29,5),-7.02755 # DEPENDENCYPART_ARC
(29,6),-6.07185 # DEPENDENCYPART_ARC
(29,7),-3.0219 # DEPENDENCYPART_ARC
(29,8),-4.10593 # DEPENDENCYPART_ARC
(29,9),-2.71206 # DEPENDENCYPART_ARC
(29,10),-7.10947 # DEPENDENCYPART_ARC
(29,11),-4.77204 # DEPENDENCYPART_ARC
(29,12),-2.8352 # DEPENDENCYPART_ARC
(29,13),-4.53469 # DEPENDENCYPART_ARC
(29,14),-1.37323 # DEPENDENCYPART_ARC
(29,15),-2.84044 # DEPENDENCYPART_ARC
(29,16),-3.74222 # DEPENDENCYPART_ARC
(29,17),-2.23128 # DEPENDENCYPART_ARC
(29,18),-1.2998 # DEPENDENCYPART_ARC
(29,19),-0.330332 # DEPENDENCYPART_ARC
(29,20),-1.6735 # DEPENDENCYPART_ARC
(29,21),-2.27122 # DEPENDENCYPART_ARC
(29,22),-1.94146 # DEPENDENCYPART_ARC
(29,23),-1.65859 # DEPENDENCYPART_ARC
(29,24),0.0816411 # DEPENDENCYPART_ARC
(29,25),-0.690551 # DEPENDENCYPART_ARC
(29,26),1.92016 # DEPENDENCYPART_ARC
(29,27),0.812677 # DEPENDENCYPART_ARC
(29,28),1.86263 # DEPENDENCYPART_ARC
(29,30),0.603398 # DEPENDENCYPART_ARC
(29,31),-0.392844 # DEPENDENCYPART_ARC
(30,1),0.286482 # DEPENDENCYPART_ARC
(30,2),-2.28441 # DEPENDENCYPART_ARC
(30,3),0.193641 # DEPENDENCYPART_ARC
(30,4),-1.67271 # DEPENDENCYPART_ARC
(30,5),-1.97032 # DEPENDENCYPART_ARC
(30,6),-0.987949 # DEPENDENCYPART_ARC
(30,7),-0.760653 # DEPENDENCYPART_ARC
(30,8),-0.183855 # DEPENDENCYPART_ARC
(30,9),-0.863749 # DEPENDENCYPART_ARC
(30,10),-1.71387 # DEPENDENCYPART_ARC
(30,11),-1.09999 # DEPENDENCYPART_ARC
(30,12),-0.293249 # DEPENDENCYPART_ARC
(30,13),-1.13709 # DEPENDENCYPART_ARC
(30,14),-1.03144 # DEPENDENCYPART_ARC
(30,15),-1.30429 # DEPENDENCYPART_ARC
(30,16),-1.4396 # DEPENDENCYPART_ARC
(30,17),0.327624 # DEPENDENCYPART_ARC
(30,18),1.27167 # DEPENDENCYPART_ARC
(30,19),0.160924 # DEPENDENCYPART_ARC
(30,20),-0.250727 # DEPENDENCYPART_ARC
(30,21),1.02339 # DEPENDENCYPART_ARC
(30,22),0.437903 # DEPENDENCYPART_ARC
(30,23),1.4254 # DEPENDENCYPART_ARC
(30,24),0.476355 # DEPENDENCYPART_ARC
(30,25),-0.0639328 # DEPENDENCYPART_ARC
(30,26),0.525723 # DEPENDENCYPART_ARC
(30,27),1.02012 # DEPENDENCYPART_ARC
(30,28),2.5216 # DEPENDENCYPART_ARC
(30,29),3.57321 # DEPENDENCYPART_ARC
(30,31),4.60663 # DEPENDENCYPART_ARC
(31,1),-3.81526 # DEPENDENCYPART_ARC
(31,2),-4.14005 # DEPENDENCYPART_ARC
(31,3),-2.25406 # DEPENDENCYPART_ARC
(31,4),-3.93169 # DEPENDENCYPART_ARC
(31,5),-3.91797 # DEPENDENCYPART_ARC
(31,6),-3.17927 # DEPENDENCYPART_ARC
(31,7),-2.33693 # DEPENDENCYPART_ARC
(31,8),-3.18503 # DEPENDENCYPART_ARC
(31,9),-3.75256 # DEPENDENCYPART_ARC
(31,10),-2.99936 # DEPENDENCYPART_ARC
(31,11),-3.27656 # DEPENDENCYPART_ARC
(31,12),-1.91953 # DEPENDENCYPART_ARC
(31,13),-2.48224 # DEPENDENCYPART_ARC
(31,14),-2.90157 # DEPENDENCYPART_ARC
(31,15),-2.5953 # DEPENDENCYPART_ARC
(31,16),-2.46618 # DEPENDENCYPART_ARC
(31,17),-1.29766 # DEPENDENCYPART_ARC
(31,18),-2.26062 # DEPENDENCYPART_ARC
(31,19),-2.18157 # DEPENDENCYPART_ARC
(31,20),-2.29618 # DEPENDENCYPART_ARC
(31,21),-2.17286 # DEPENDENCYPART_ARC
(31,22),-1.73057 # DEPENDENCYPART_ARC
(31,23),-1.35159 # DEPENDENCYPART_ARC
(31,24),-1.6283 # DEPENDENCYPART_ARC
(31,25),-1.54642 # DEPENDENCYPART_ARC
(31,26),-1.3034 # DEPENDENCYPART_ARC
(31,27),-1.8317 # DEPENDENCYPART_ARC
(31,28),-0.534192 # DEPENDENCYPART_ARC
(31,29),-1.97008 # DEPENDENCYPART_ARC
(31,30),-1.07453 # DEPENDENCYPART_ARC
