# _root_ Hertz Corp. of Park Ridge , N.J. , said it retained Merrill Lynch Capital Markets to sell its Hertz Equipment Rental Corp. unit .
#goldHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
#predictedHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
(22,3),-5.10594 # DEPENDENCYPART_ARC
(22,4),-3.58138 # DEPENDENCYPART_ARC
(22,5),-5.12163 # DEPENDENCYPART_ARC
(22,6),-3.63497 # DEPENDENCYPART_ARC
(22,7),-3.71865 # DEPENDENCYPART_ARC
(22,8),-3.90219 # DEPENDENCYPART_ARC
(22,9),-4.25982 # DEPENDENCYPART_ARC
(22,10),-3.81792 # DEPENDENCYPART_ARC
(22,11),-3.47301 # DEPENDENCYPART_ARC
(22,12),0.124342 # DEPENDENCYPART_ARC
(22,13),-0.724092 # DEPENDENCYPART_ARC
(22,14),-1.17621 # DEPENDENCYPART_ARC
(22,15),-2.43297 # DEPENDENCYPART_ARC
(22,16),-3.45327 # DEPENDENCYPART_ARC
(22,17),-2.04233 # DEPENDENCYPART_ARC
(22,18),0.0793888 # DEPENDENCYPART_ARC
(22,19),0.17777 # DEPENDENCYPART_ARC
(22,20),0.18874 # DEPENDENCYPART_ARC
(22,21),-0.0133489 # DEPENDENCYPART_ARC
(22,23),-0.0450797 # DEPENDENCYPART_ARC
(22,24),-1.41774 # DEPENDENCYPART_ARC
(23,1),-3.9783 # DEPENDENCYPART_ARC
(23,2),-5.77172 # DEPENDENCYPART_ARC
(23,3),-0.83612 # DEPENDENCYPART_ARC
(23,4),-2.10521 # DEPENDENCYPART_ARC
(23,5),-3.43228 # DEPENDENCYPART_ARC
(23,6),-1.04419 # DEPENDENCYPART_ARC
(23,7),-2.17163 # DEPENDENCYPART_ARC
(23,8),-1.36012 # DEPENDENCYPART_ARC
(23,9),-0.51286 # DEPENDENCYPART_ARC
(23,10),0.24716 # DEPENDENCYPART_ARC
(23,11),-0.0907968 # DEPENDENCYPART_ARC
(23,12),1.35913 # DEPENDENCYPART_ARC
(23,13),1.94275 # DEPENDENCYPART_ARC
(23,14),1.41992 # DEPENDENCYPART_ARC
(23,15),0.840838 # DEPENDENCYPART_ARC
(23,16),-0.118225 # DEPENDENCYPART_ARC
(23,17),1.24634 # DEPENDENCYPART_ARC
(23,18),4.88949 # DEPENDENCYPART_ARC
(23,19),4.64076 # DEPENDENCYPART_ARC
(23,20),4.54077 # DEPENDENCYPART_ARC
(23,21),4.80524 # DEPENDENCYPART_ARC
(23,22),5.44625 # DEPENDENCYPART_ARC
(23,24),0.473985 # DEPENDENCYPART_ARC
(24,1),-2.36818 # DEPENDENCYPART_ARC
(24,2),-2.42211 # DEPENDENCYPART_ARC
(24,3),-2.44678 # DEPENDENCYPART_ARC
(24,4),-2.10637 # DEPENDENCYPART_ARC
(24,5),-2.18492 # DEPENDENCYPART_ARC
(24,6),-2.49212 # DEPENDENCYPART_ARC
(24,7),-2.11482 # DEPENDENCYPART_ARC
(24,8),-2.21566 # DEPENDENCYPART_ARC
(24,9),-2.01565 # DEPENDENCYPART_ARC
(24,10),-0.96631 # DEPENDENCYPART_ARC
(24,11),-1.883 # DEPENDENCYPART_ARC
(24,12),-1.45507 # DEPENDENCYPART_ARC
(24,13),-1.44363 # DEPENDENCYPART_ARC
(24,14),-1.33968 # DEPENDENCYPART_ARC
(24,15),-1.43208 # DEPENDENCYPART_ARC
(24,16),-1.56206 # DEPENDENCYPART_ARC
(24,17),-1.39522 # DEPENDENCYPART_ARC
(24,18),-0.663029 # DEPENDENCYPART_ARC
(24,19),-1.27806 # DEPENDENCYPART_ARC
(24,20),-1.13858 # DEPENDENCYPART_ARC
(24,21),-0.861147 # DEPENDENCYPART_ARC
(24,22),-1.34742 # DEPENDENCYPART_ARC
(24,23),-1.54925 # DEPENDENCYPART_ARC
