# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,8,4,8,8,13,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(23,6),-2.60149 # DEPENDENCYPART_ARC
(23,7),-1.97665 # DEPENDENCYPART_ARC
(23,8),-2.29753 # DEPENDENCYPART_ARC
(23,9),-1.70446 # DEPENDENCYPART_ARC
(23,10),-1.96997 # DEPENDENCYPART_ARC
(23,11),-2.12335 # DEPENDENCYPART_ARC
(23,12),-0.745548 # DEPENDENCYPART_ARC
(23,13),-1.61473 # DEPENDENCYPART_ARC
(23,14),-1.40228 # DEPENDENCYPART_ARC
(23,15),-1.30791 # DEPENDENCYPART_ARC
(23,16),-1.35952 # DEPENDENCYPART_ARC
(23,17),-1.21691 # DEPENDENCYPART_ARC
(23,18),-1.56615 # DEPENDENCYPART_ARC
(23,19),-1.31471 # DEPENDENCYPART_ARC
(23,20),-1.20953 # DEPENDENCYPART_ARC
(23,21),-0.734573 # DEPENDENCYPART_ARC
(23,22),-1.85302 # DEPENDENCYPART_ARC
