# _root_ Besides spurring Barry Wright 's sales , which were $ 201.7 million in 1988 , Mr. Sim must pare its costs and product line .
#goldHeads=18,1,4,6,4,2,6,9,6,9,10,10,9,13,6,17,18,0,18,21,19,21,24,22,18,
#predictedHeads=18,1,4,6,4,2,6,9,6,9,10,10,10,13,18,17,18,0,18,21,19,21,24,22,18,
(21,5),-2.07621 # DEPENDENCYPART_ARC
(21,6),-2.68034 # DEPENDENCYPART_ARC
(21,7),-2.39792 # DEPENDENCYPART_ARC
(21,8),-2.11734 # DEPENDENCYPART_ARC
(21,9),-1.887 # DEPENDENCYPART_ARC
(21,10),-2.0195 # DEPENDENCYPART_ARC
(21,11),-1.55121 # DEPENDENCYPART_ARC
(21,12),-1.32112 # DEPENDENCYPART_ARC
(21,13),-0.750272 # DEPENDENCYPART_ARC
(21,14),0.0329927 # DEPENDENCYPART_ARC
(21,15),-0.695612 # DEPENDENCYPART_ARC
(21,16),0.17476 # DEPENDENCYPART_ARC
(21,17),0.205931 # DEPENDENCYPART_ARC
(21,18),-0.184461 # DEPENDENCYPART_ARC
(21,19),0.89334 # DEPENDENCYPART_ARC
(21,20),4.65322 # DEPENDENCYPART_ARC
(21,22),3.58185 # DEPENDENCYPART_ARC
(21,23),1.01778 # DEPENDENCYPART_ARC
(21,24),0.524578 # DEPENDENCYPART_ARC
(21,25),0.648591 # DEPENDENCYPART_ARC
(22,1),-2.79816 # DEPENDENCYPART_ARC
(22,2),-1.60789 # DEPENDENCYPART_ARC
(22,3),-1.43482 # DEPENDENCYPART_ARC
(22,4),-1.41291 # DEPENDENCYPART_ARC
(22,5),-2.44824 # DEPENDENCYPART_ARC
(22,6),-1.96985 # DEPENDENCYPART_ARC
(22,7),-2.38163 # DEPENDENCYPART_ARC
(22,8),-1.66164 # DEPENDENCYPART_ARC
(22,9),-1.15865 # DEPENDENCYPART_ARC
(22,10),-2.08473 # DEPENDENCYPART_ARC
(22,11),-1.96878 # DEPENDENCYPART_ARC
(22,12),-1.77636 # DEPENDENCYPART_ARC
(22,13),-1.38836 # DEPENDENCYPART_ARC
(22,14),-1.62003 # DEPENDENCYPART_ARC
(22,15),-1.54042 # DEPENDENCYPART_ARC
(22,16),-0.389119 # DEPENDENCYPART_ARC
(22,17),-0.583155 # DEPENDENCYPART_ARC
(22,18),-1.10814 # DEPENDENCYPART_ARC
(22,19),-0.587692 # DEPENDENCYPART_ARC
(22,20),0.209666 # DEPENDENCYPART_ARC
(22,21),0.175953 # DEPENDENCYPART_ARC
(22,23),3.20495 # DEPENDENCYPART_ARC
(22,24),3.11717 # DEPENDENCYPART_ARC
(22,25),0.628911 # DEPENDENCYPART_ARC
(23,1),-5.05032 # DEPENDENCYPART_ARC
(23,2),-3.91603 # DEPENDENCYPART_ARC
(23,3),-5.96883 # DEPENDENCYPART_ARC
(23,4),-5.89064 # DEPENDENCYPART_ARC
(23,5),-3.45827 # DEPENDENCYPART_ARC
(23,6),-4.75256 # DEPENDENCYPART_ARC
(23,7),-3.943 # DEPENDENCYPART_ARC
(23,8),-3.75122 # DEPENDENCYPART_ARC
(23,9),-3.49898 # DEPENDENCYPART_ARC
(23,10),-3.93626 # DEPENDENCYPART_ARC
(23,11),-3.43196 # DEPENDENCYPART_ARC
(23,12),-4.1195 # DEPENDENCYPART_ARC
(23,13),-3.23852 # DEPENDENCYPART_ARC
(23,14),-2.45885 # DEPENDENCYPART_ARC
(23,15),-3.1188 # DEPENDENCYPART_ARC
(23,16),-2.52379 # DEPENDENCYPART_ARC
(23,17),-3.32662 # DEPENDENCYPART_ARC
(23,18),-2.43701 # DEPENDENCYPART_ARC
(23,19),-1.94326 # DEPENDENCYPART_ARC
(23,20),0.13286 # DEPENDENCYPART_ARC
(23,21),-0.955483 # DEPENDENCYPART_ARC
(23,22),-0.424646 # DEPENDENCYPART_ARC
(23,24),1.85079 # DEPENDENCYPART_ARC
(23,25),-0.88705 # DEPENDENCYPART_ARC
(24,1),-3.09082 # DEPENDENCYPART_ARC
(24,2),-1.27112 # DEPENDENCYPART_ARC
(24,3),-3.08675 # DEPENDENCYPART_ARC
(24,4),-2.73387 # DEPENDENCYPART_ARC
(24,5),-1.27695 # DEPENDENCYPART_ARC
(24,6),-1.90536 # DEPENDENCYPART_ARC
(24,7),-1.65378 # DEPENDENCYPART_ARC
(24,8),-1.34522 # DEPENDENCYPART_ARC
(24,9),-1.21245 # DEPENDENCYPART_ARC
(24,10),-1.46695 # DEPENDENCYPART_ARC
(24,11),-1.16125 # DEPENDENCYPART_ARC
(24,12),-1.74741 # DEPENDENCYPART_ARC
(24,13),-1.47502 # DEPENDENCYPART_ARC
(24,14),-0.211327 # DEPENDENCYPART_ARC
(24,15),-1.0939 # DEPENDENCYPART_ARC
(24,16),0.802106 # DEPENDENCYPART_ARC
(24,17),-0.450963 # DEPENDENCYPART_ARC
(24,18),-0.316652 # DEPENDENCYPART_ARC
(24,19),0.159379 # DEPENDENCYPART_ARC
(24,20),2.97844 # DEPENDENCYPART_ARC
(24,21),1.42699 # DEPENDENCYPART_ARC
(24,22),0.812639 # DEPENDENCYPART_ARC
(24,23),4.21203 # DEPENDENCYPART_ARC
(24,25),-0.288695 # DEPENDENCYPART_ARC
(25,1),-3.0031 # DEPENDENCYPART_ARC
(25,2),-1.68461 # DEPENDENCYPART_ARC
(25,3),-2.54884 # DEPENDENCYPART_ARC
(25,4),-2.68148 # DEPENDENCYPART_ARC
(25,5),-2.50372 # DEPENDENCYPART_ARC
(25,6),-1.88884 # DEPENDENCYPART_ARC
(25,7),-1.61518 # DEPENDENCYPART_ARC
(25,8),-1.455 # DEPENDENCYPART_ARC
(25,9),-1.44107 # DEPENDENCYPART_ARC
(25,10),-2.32591 # DEPENDENCYPART_ARC
(25,11),-2.07645 # DEPENDENCYPART_ARC
(25,12),-1.9281 # DEPENDENCYPART_ARC
(25,13),-1.60089 # DEPENDENCYPART_ARC
(25,14),-1.76086 # DEPENDENCYPART_ARC
(25,15),-0.598686 # DEPENDENCYPART_ARC
(25,16),-1.25368 # DEPENDENCYPART_ARC
(25,17),-1.23326 # DEPENDENCYPART_ARC
(25,18),-0.667595 # DEPENDENCYPART_ARC
(25,19),-0.910625 # DEPENDENCYPART_ARC
(25,20),-0.49479 # DEPENDENCYPART_ARC
(25,21),-1.26417 # DEPENDENCYPART_ARC
(25,22),-0.656645 # DEPENDENCYPART_ARC
(25,23),-1.30185 # DEPENDENCYPART_ARC
(25,24),-1.47734 # DEPENDENCYPART_ARC
