# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,6,
(20,10),-2.35895 # DEPENDENCYPART_ARC
(20,11),-2.38908 # DEPENDENCYPART_ARC
(20,12),-2.14803 # DEPENDENCYPART_ARC
(20,13),-2.0594 # DEPENDENCYPART_ARC
(20,14),-1.92763 # DEPENDENCYPART_ARC
(20,15),-2.11823 # DEPENDENCYPART_ARC
(20,16),-1.45648 # DEPENDENCYPART_ARC
(20,17),-1.31096 # DEPENDENCYPART_ARC
(20,18),-1.19557 # DEPENDENCYPART_ARC
(20,19),-0.436235 # DEPENDENCYPART_ARC
(20,21),0.926021 # DEPENDENCYPART_ARC
(20,22),-0.166798 # DEPENDENCYPART_ARC
(20,23),-0.622524 # DEPENDENCYPART_ARC
(20,24),-0.257787 # DEPENDENCYPART_ARC
(20,25),-1.06068 # DEPENDENCYPART_ARC
(20,26),-0.744481 # DEPENDENCYPART_ARC
(21,1),-2.62438 # DEPENDENCYPART_ARC
(21,2),-4.62204 # DEPENDENCYPART_ARC
(21,3),-3.45368 # DEPENDENCYPART_ARC
(21,4),-2.29952 # DEPENDENCYPART_ARC
(21,5),-4.3858 # DEPENDENCYPART_ARC
(21,6),-2.14925 # DEPENDENCYPART_ARC
(21,7),-2.58704 # DEPENDENCYPART_ARC
(21,8),-1.93469 # DEPENDENCYPART_ARC
(21,9),-0.799862 # DEPENDENCYPART_ARC
(21,10),-2.07812 # DEPENDENCYPART_ARC
(21,11),-2.17161 # DEPENDENCYPART_ARC
(21,12),-1.41346 # DEPENDENCYPART_ARC
(21,13),-1.90043 # DEPENDENCYPART_ARC
(21,14),-2.02701 # DEPENDENCYPART_ARC
(21,15),-1.22463 # DEPENDENCYPART_ARC
(21,16),-0.270575 # DEPENDENCYPART_ARC
(21,17),-0.55891 # DEPENDENCYPART_ARC
(21,18),-0.14887 # DEPENDENCYPART_ARC
(21,19),0.611928 # DEPENDENCYPART_ARC
(21,20),4.01121 # DEPENDENCYPART_ARC
(21,22),2.15439 # DEPENDENCYPART_ARC
(21,23),2.00262 # DEPENDENCYPART_ARC
(21,24),0.990155 # DEPENDENCYPART_ARC
(21,25),0.253978 # DEPENDENCYPART_ARC
(21,26),0.253683 # DEPENDENCYPART_ARC
(22,1),-3.38561 # DEPENDENCYPART_ARC
(22,2),-3.588 # DEPENDENCYPART_ARC
(22,3),-3.4633 # DEPENDENCYPART_ARC
(22,4),-2.9998 # DEPENDENCYPART_ARC
(22,5),-2.43463 # DEPENDENCYPART_ARC
(22,6),-2.28397 # DEPENDENCYPART_ARC
(22,7),-2.06509 # DEPENDENCYPART_ARC
(22,8),-2.6073 # DEPENDENCYPART_ARC
(22,9),-2.5449 # DEPENDENCYPART_ARC
(22,10),-2.48248 # DEPENDENCYPART_ARC
(22,11),-2.7858 # DEPENDENCYPART_ARC
(22,12),-0.633952 # DEPENDENCYPART_ARC
(22,13),-2.32308 # DEPENDENCYPART_ARC
(22,14),-2.25257 # DEPENDENCYPART_ARC
(22,15),-1.48101 # DEPENDENCYPART_ARC
(22,16),-1.739 # DEPENDENCYPART_ARC
(22,17),-2.16805 # DEPENDENCYPART_ARC
(22,18),-1.29151 # DEPENDENCYPART_ARC
(22,19),-1.10227 # DEPENDENCYPART_ARC
(22,20),-0.471761 # DEPENDENCYPART_ARC
(22,21),-1.13985 # DEPENDENCYPART_ARC
(22,23),-0.663475 # DEPENDENCYPART_ARC
(22,24),-1.24985 # DEPENDENCYPART_ARC
(22,25),-1.68015 # DEPENDENCYPART_ARC
(22,26),-1.58885 # DEPENDENCYPART_ARC
(23,1),-3.32035 # DEPENDENCYPART_ARC
(23,2),-5.50142 # DEPENDENCYPART_ARC
(23,3),-4.90482 # DEPENDENCYPART_ARC
(23,4),-1.60335 # DEPENDENCYPART_ARC
(23,5),-4.56763 # DEPENDENCYPART_ARC
(23,6),-1.93826 # DEPENDENCYPART_ARC
(23,7),-2.33988 # DEPENDENCYPART_ARC
(23,8),-2.40499 # DEPENDENCYPART_ARC
(23,9),-1.60855 # DEPENDENCYPART_ARC
(23,10),-1.28215 # DEPENDENCYPART_ARC
(23,11),-2.07308 # DEPENDENCYPART_ARC
(23,12),-1.51078 # DEPENDENCYPART_ARC
(23,13),-1.6028 # DEPENDENCYPART_ARC
(23,14),-3.13994 # DEPENDENCYPART_ARC
(23,15),-0.971427 # DEPENDENCYPART_ARC
(23,16),-0.289144 # DEPENDENCYPART_ARC
(23,17),-0.281419 # DEPENDENCYPART_ARC
(23,18),-0.37592 # DEPENDENCYPART_ARC
(23,19),0.228199 # DEPENDENCYPART_ARC
(23,20),2.4111 # DEPENDENCYPART_ARC
(23,21),1.27794 # DEPENDENCYPART_ARC
(23,22),0.69906 # DEPENDENCYPART_ARC
(23,24),4.04244 # DEPENDENCYPART_ARC
(23,25),0.917812 # DEPENDENCYPART_ARC
(23,26),0.639312 # DEPENDENCYPART_ARC
(24,1),-2.98262 # DEPENDENCYPART_ARC
(24,2),-2.22391 # DEPENDENCYPART_ARC
(24,3),-2.36616 # DEPENDENCYPART_ARC
(24,4),-2.80719 # DEPENDENCYPART_ARC
(24,5),-2.33184 # DEPENDENCYPART_ARC
(24,6),-1.53651 # DEPENDENCYPART_ARC
(24,7),-2.38845 # DEPENDENCYPART_ARC
(24,8),-2.25225 # DEPENDENCYPART_ARC
(24,9),-2.4033 # DEPENDENCYPART_ARC
(24,10),-2.21492 # DEPENDENCYPART_ARC
(24,11),-1.83107 # DEPENDENCYPART_ARC
(24,12),-2.07102 # DEPENDENCYPART_ARC
(24,13),-1.08621 # DEPENDENCYPART_ARC
(24,14),-1.03715 # DEPENDENCYPART_ARC
(24,15),-0.598953 # DEPENDENCYPART_ARC
(24,16),-1.47474 # DEPENDENCYPART_ARC
(24,17),-1.06111 # DEPENDENCYPART_ARC
(24,18),-1.22316 # DEPENDENCYPART_ARC
(24,19),-0.840389 # DEPENDENCYPART_ARC
(24,20),-0.267193 # DEPENDENCYPART_ARC
(24,21),-0.379896 # DEPENDENCYPART_ARC
(24,22),-0.800066 # DEPENDENCYPART_ARC
(24,23),0.357405 # DEPENDENCYPART_ARC
(24,25),3.39538 # DEPENDENCYPART_ARC
(24,26),0.240615 # DEPENDENCYPART_ARC
(25,1),-4.84452 # DEPENDENCYPART_ARC
(25,2),-6.84169 # DEPENDENCYPART_ARC
(25,3),-6.65397 # DEPENDENCYPART_ARC
(25,4),-3.27015 # DEPENDENCYPART_ARC
(25,5),-6.01743 # DEPENDENCYPART_ARC
(25,6),-2.95151 # DEPENDENCYPART_ARC
(25,7),-3.32852 # DEPENDENCYPART_ARC
(25,8),-4.19582 # DEPENDENCYPART_ARC
(25,9),-3.22729 # DEPENDENCYPART_ARC
(25,10),-2.63923 # DEPENDENCYPART_ARC
(25,11),-3.35329 # DEPENDENCYPART_ARC
(25,12),-2.67951 # DEPENDENCYPART_ARC
(25,13),-3.70445 # DEPENDENCYPART_ARC
(25,14),-4.79279 # DEPENDENCYPART_ARC
(25,15),-2.0593 # DEPENDENCYPART_ARC
(25,16),-1.62156 # DEPENDENCYPART_ARC
(25,17),-1.82971 # DEPENDENCYPART_ARC
(25,18),-1.90989 # DEPENDENCYPART_ARC
(25,19),-1.67069 # DEPENDENCYPART_ARC
(25,20),0.526244 # DEPENDENCYPART_ARC
(25,21),-0.728974 # DEPENDENCYPART_ARC
(25,22),-0.767773 # DEPENDENCYPART_ARC
(25,23),-0.0900655 # DEPENDENCYPART_ARC
(25,24),0.370909 # DEPENDENCYPART_ARC
(25,26),0.0113437 # DEPENDENCYPART_ARC
(26,1),-3.25682 # DEPENDENCYPART_ARC
(26,2),-3.12088 # DEPENDENCYPART_ARC
(26,3),-3.15899 # DEPENDENCYPART_ARC
(26,4),-2.85667 # DEPENDENCYPART_ARC
(26,5),-3.12696 # DEPENDENCYPART_ARC
(26,6),-2.35356 # DEPENDENCYPART_ARC
(26,7),-2.12309 # DEPENDENCYPART_ARC
(26,8),-2.39555 # DEPENDENCYPART_ARC
(26,9),-2.58556 # DEPENDENCYPART_ARC
(26,10),-2.39419 # DEPENDENCYPART_ARC
(26,11),-2.29691 # DEPENDENCYPART_ARC
(26,12),-1.05022 # DEPENDENCYPART_ARC
(26,13),-1.9507 # DEPENDENCYPART_ARC
(26,14),-1.94884 # DEPENDENCYPART_ARC
(26,15),-1.08428 # DEPENDENCYPART_ARC
(26,16),-1.7624 # DEPENDENCYPART_ARC
(26,17),-1.70909 # DEPENDENCYPART_ARC
(26,18),-1.15803 # DEPENDENCYPART_ARC
(26,19),-1.34771 # DEPENDENCYPART_ARC
(26,20),-0.533436 # DEPENDENCYPART_ARC
(26,21),-1.73589 # DEPENDENCYPART_ARC
(26,22),-0.331131 # DEPENDENCYPART_ARC
(26,23),-0.864244 # DEPENDENCYPART_ARC
(26,24),-0.929605 # DEPENDENCYPART_ARC
(26,25),-1.3854 # DEPENDENCYPART_ARC
