# _root_ That 50 % is now held by Clifford Parker , Regatta 's president and chief executive officer , who will continue to manage Regatta 's operations under Gitano .
#goldHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,9,20,21,22,26,24,23,23,27,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,17,20,17,20,21,22,26,24,23,23,27,4,
(18,4),-2.15676 # DEPENDENCYPART_ARC
(18,5),-2.54691 # DEPENDENCYPART_ARC
(18,6),-1.18678 # DEPENDENCYPART_ARC
(18,7),-1.72318 # DEPENDENCYPART_ARC
(18,8),-1.96992 # DEPENDENCYPART_ARC
(18,9),-1.95841 # DEPENDENCYPART_ARC
(18,10),-0.480142 # DEPENDENCYPART_ARC
(18,11),-1.64918 # DEPENDENCYPART_ARC
(18,12),-1.30803 # DEPENDENCYPART_ARC
(18,13),-1.19429 # DEPENDENCYPART_ARC
(18,14),-1.41502 # DEPENDENCYPART_ARC
(18,15),-0.733059 # DEPENDENCYPART_ARC
(18,16),-0.884991 # DEPENDENCYPART_ARC
(18,17),-0.604573 # DEPENDENCYPART_ARC
(18,19),-0.414217 # DEPENDENCYPART_ARC
(18,20),-0.0778026 # DEPENDENCYPART_ARC
(18,21),-0.298303 # DEPENDENCYPART_ARC
(18,22),-0.881138 # DEPENDENCYPART_ARC
(18,23),-0.734017 # DEPENDENCYPART_ARC
(18,24),-1.27432 # DEPENDENCYPART_ARC
(18,25),-1.40869 # DEPENDENCYPART_ARC
(18,26),-1.75003 # DEPENDENCYPART_ARC
(18,27),-1.27082 # DEPENDENCYPART_ARC
(18,28),-1.73074 # DEPENDENCYPART_ARC
(18,29),-0.908562 # DEPENDENCYPART_ARC
(19,1),-2.83043 # DEPENDENCYPART_ARC
(19,2),-2.82762 # DEPENDENCYPART_ARC
(19,3),-3.03937 # DEPENDENCYPART_ARC
(19,4),-2.70985 # DEPENDENCYPART_ARC
(19,5),-2.4954 # DEPENDENCYPART_ARC
(19,6),-2.38689 # DEPENDENCYPART_ARC
(19,7),-2.09761 # DEPENDENCYPART_ARC
(19,8),-2.39577 # DEPENDENCYPART_ARC
(19,9),-2.16239 # DEPENDENCYPART_ARC
(19,10),-1.83753 # DEPENDENCYPART_ARC
(19,11),-1.94311 # DEPENDENCYPART_ARC
(19,12),-1.86531 # DEPENDENCYPART_ARC
(19,13),-1.77714 # DEPENDENCYPART_ARC
(19,14),-2.0593 # DEPENDENCYPART_ARC
(19,15),-1.08582 # DEPENDENCYPART_ARC
(19,16),-0.741919 # DEPENDENCYPART_ARC
(19,17),-0.995074 # DEPENDENCYPART_ARC
(19,18),0.168133 # DEPENDENCYPART_ARC
(19,20),0.153371 # DEPENDENCYPART_ARC
(19,21),-0.465614 # DEPENDENCYPART_ARC
(19,22),-0.689682 # DEPENDENCYPART_ARC
(19,23),-1.20338 # DEPENDENCYPART_ARC
(19,24),-1.2299 # DEPENDENCYPART_ARC
(19,25),-1.59711 # DEPENDENCYPART_ARC
(19,26),-1.60311 # DEPENDENCYPART_ARC
(19,27),-1.1982 # DEPENDENCYPART_ARC
(19,28),-1.88441 # DEPENDENCYPART_ARC
(19,29),-0.668424 # DEPENDENCYPART_ARC
(20,1),-1.39544 # DEPENDENCYPART_ARC
(20,2),-1.48159 # DEPENDENCYPART_ARC
(20,3),-1.91717 # DEPENDENCYPART_ARC
(20,4),-1.2212 # DEPENDENCYPART_ARC
(20,5),-0.969284 # DEPENDENCYPART_ARC
(20,6),-0.740611 # DEPENDENCYPART_ARC
(20,7),0.668711 # DEPENDENCYPART_ARC
(20,8),0.254056 # DEPENDENCYPART_ARC
(20,9),-0.0346238 # DEPENDENCYPART_ARC
(20,10),0.437773 # DEPENDENCYPART_ARC
(20,11),0.736729 # DEPENDENCYPART_ARC
(20,12),-1.06589 # DEPENDENCYPART_ARC
(20,13),-0.268084 # DEPENDENCYPART_ARC
(20,14),-0.4812 # DEPENDENCYPART_ARC
(20,15),-0.372573 # DEPENDENCYPART_ARC
(20,16),-0.590845 # DEPENDENCYPART_ARC
(20,17),-0.203082 # DEPENDENCYPART_ARC
(20,18),2.02401 # DEPENDENCYPART_ARC
(20,19),3.55793 # DEPENDENCYPART_ARC
(20,21),3.87391 # DEPENDENCYPART_ARC
(20,22),0.818564 # DEPENDENCYPART_ARC
(20,23),0.849619 # DEPENDENCYPART_ARC
(20,24),0.119412 # DEPENDENCYPART_ARC
(20,25),-0.209605 # DEPENDENCYPART_ARC
(20,26),-0.310687 # DEPENDENCYPART_ARC
(20,27),-0.235258 # DEPENDENCYPART_ARC
(20,28),-0.608089 # DEPENDENCYPART_ARC
(20,29),2.47393 # DEPENDENCYPART_ARC
(21,1),-1.30924 # DEPENDENCYPART_ARC
(21,2),-2.24249 # DEPENDENCYPART_ARC
(21,3),-1.68349 # DEPENDENCYPART_ARC
(21,4),-1.97265 # DEPENDENCYPART_ARC
(21,5),-1.70829 # DEPENDENCYPART_ARC
(21,6),-1.76734 # DEPENDENCYPART_ARC
(21,7),-1.82399 # DEPENDENCYPART_ARC
(21,8),-1.17377 # DEPENDENCYPART_ARC
(21,9),-1.4643 # DEPENDENCYPART_ARC
(21,10),-0.588724 # DEPENDENCYPART_ARC
(21,11),-0.915092 # DEPENDENCYPART_ARC
(21,12),-1.18882 # DEPENDENCYPART_ARC
(21,13),-0.829647 # DEPENDENCYPART_ARC
(21,14),-1.36807 # DEPENDENCYPART_ARC
(21,15),-0.228695 # DEPENDENCYPART_ARC
(21,16),-0.0507928 # DEPENDENCYPART_ARC
(21,17),-0.360037 # DEPENDENCYPART_ARC
(21,18),0.369906 # DEPENDENCYPART_ARC
(21,19),1.12436 # DEPENDENCYPART_ARC
(21,20),0.720526 # DEPENDENCYPART_ARC
(21,22),4.5958 # DEPENDENCYPART_ARC
(21,23),1.58299 # DEPENDENCYPART_ARC
(21,24),0.868925 # DEPENDENCYPART_ARC
(21,25),0.222718 # DEPENDENCYPART_ARC
(21,26),1.37061 # DEPENDENCYPART_ARC
(21,27),2.56409 # DEPENDENCYPART_ARC
(21,28),-0.404182 # DEPENDENCYPART_ARC
(21,29),0.426567 # DEPENDENCYPART_ARC
(22,1),-1.94994 # DEPENDENCYPART_ARC
(22,2),-2.56538 # DEPENDENCYPART_ARC
(22,3),-2.50459 # DEPENDENCYPART_ARC
(22,4),-2.29067 # DEPENDENCYPART_ARC
(22,5),-3.30207 # DEPENDENCYPART_ARC
(22,6),-2.41799 # DEPENDENCYPART_ARC
(22,7),-1.99102 # DEPENDENCYPART_ARC
(22,8),-0.69368 # DEPENDENCYPART_ARC
(22,9),-0.976907 # DEPENDENCYPART_ARC
(22,10),-1.55059 # DEPENDENCYPART_ARC
(22,11),-0.917186 # DEPENDENCYPART_ARC
(22,12),-0.868041 # DEPENDENCYPART_ARC
(22,13),-0.643712 # DEPENDENCYPART_ARC
(22,14),-1.24537 # DEPENDENCYPART_ARC
(22,15),-0.967596 # DEPENDENCYPART_ARC
(22,16),-0.882841 # DEPENDENCYPART_ARC
(22,17),-1.10014 # DEPENDENCYPART_ARC
(22,18),-0.431446 # DEPENDENCYPART_ARC
(22,19),1.63705 # DEPENDENCYPART_ARC
(22,20),-0.299567 # DEPENDENCYPART_ARC
(22,21),0.83096 # DEPENDENCYPART_ARC
(22,23),4.19548 # DEPENDENCYPART_ARC
(22,24),0.814189 # DEPENDENCYPART_ARC
(22,25),0.639729 # DEPENDENCYPART_ARC
(22,26),1.77197 # DEPENDENCYPART_ARC
(22,27),0.75945 # DEPENDENCYPART_ARC
(22,28),-0.941557 # DEPENDENCYPART_ARC
(22,29),0.55995 # DEPENDENCYPART_ARC
(23,1),-1.1631 # DEPENDENCYPART_ARC
(23,2),-2.43587 # DEPENDENCYPART_ARC
(23,3),-1.88091 # DEPENDENCYPART_ARC
(23,4),-2.08728 # DEPENDENCYPART_ARC
(23,5),-1.63146 # DEPENDENCYPART_ARC
(23,6),-1.89087 # DEPENDENCYPART_ARC
(23,7),-1.94884 # DEPENDENCYPART_ARC
(23,8),-1.34691 # DEPENDENCYPART_ARC
(23,9),-1.60642 # DEPENDENCYPART_ARC
(23,10),-0.813154 # DEPENDENCYPART_ARC
(23,11),-1.22294 # DEPENDENCYPART_ARC
(23,12),-1.29341 # DEPENDENCYPART_ARC
(23,13),-0.915291 # DEPENDENCYPART_ARC
(23,14),-1.54896 # DEPENDENCYPART_ARC
(23,15),-0.495896 # DEPENDENCYPART_ARC
(23,16),-0.351994 # DEPENDENCYPART_ARC
(23,17),-0.827494 # DEPENDENCYPART_ARC
(23,18),-0.488956 # DEPENDENCYPART_ARC
(23,19),1.23645 # DEPENDENCYPART_ARC
(23,20),0.0821832 # DEPENDENCYPART_ARC
(23,21),0.472968 # DEPENDENCYPART_ARC
(23,22),1.13134 # DEPENDENCYPART_ARC
(23,24),2.21598 # DEPENDENCYPART_ARC
(23,25),1.64237 # DEPENDENCYPART_ARC
(23,26),3.46599 # DEPENDENCYPART_ARC
(23,27),2.71462 # DEPENDENCYPART_ARC
(23,28),1.15934 # DEPENDENCYPART_ARC
(23,29),0.666857 # DEPENDENCYPART_ARC
(24,1),-5.66246 # DEPENDENCYPART_ARC
(24,2),-3.51239 # DEPENDENCYPART_ARC
(24,3),-5.1357 # DEPENDENCYPART_ARC
(24,4),-4.71691 # DEPENDENCYPART_ARC
(24,5),-4.48001 # DEPENDENCYPART_ARC
(24,6),-2.56516 # DEPENDENCYPART_ARC
(24,7),-3.84426 # DEPENDENCYPART_ARC
(24,8),-2.50132 # DEPENDENCYPART_ARC
(24,9),-4.82301 # DEPENDENCYPART_ARC
(24,10),-2.24249 # DEPENDENCYPART_ARC
(24,11),-2.93184 # DEPENDENCYPART_ARC
(24,12),-2.92391 # DEPENDENCYPART_ARC
(24,13),-3.40281 # DEPENDENCYPART_ARC
(24,14),-3.15238 # DEPENDENCYPART_ARC
(24,15),-1.10684 # DEPENDENCYPART_ARC
(24,16),-1.3863 # DEPENDENCYPART_ARC
(24,17),-2.99793 # DEPENDENCYPART_ARC
(24,18),-1.94603 # DEPENDENCYPART_ARC
(24,19),-0.562193 # DEPENDENCYPART_ARC
(24,20),-1.32622 # DEPENDENCYPART_ARC
(24,21),-0.422037 # DEPENDENCYPART_ARC
(24,22),-0.412241 # DEPENDENCYPART_ARC
(24,23),1.10238 # DEPENDENCYPART_ARC
(24,25),4.83491 # DEPENDENCYPART_ARC
(24,26),0.503347 # DEPENDENCYPART_ARC
(24,27),0.894967 # DEPENDENCYPART_ARC
(24,28),0.303841 # DEPENDENCYPART_ARC
(24,29),0.475595 # DEPENDENCYPART_ARC
(25,1),-4.05077 # DEPENDENCYPART_ARC
(25,2),-3.3709 # DEPENDENCYPART_ARC
(25,3),-4.34276 # DEPENDENCYPART_ARC
(25,4),-3.26388 # DEPENDENCYPART_ARC
(25,5),-3.78975 # DEPENDENCYPART_ARC
(25,6),-2.40365 # DEPENDENCYPART_ARC
(25,7),-2.65837 # DEPENDENCYPART_ARC
(25,8),-2.24816 # DEPENDENCYPART_ARC
(25,9),-2.30141 # DEPENDENCYPART_ARC
(25,10),-2.32011 # DEPENDENCYPART_ARC
(25,11),-2.26612 # DEPENDENCYPART_ARC
(25,12),-1.94207 # DEPENDENCYPART_ARC
(25,13),-2.74655 # DEPENDENCYPART_ARC
(25,14),-1.73174 # DEPENDENCYPART_ARC
(25,15),-1.64942 # DEPENDENCYPART_ARC
(25,16),-1.56277 # DEPENDENCYPART_ARC
(25,17),-2.04775 # DEPENDENCYPART_ARC
(25,18),-1.16896 # DEPENDENCYPART_ARC
(25,19),-0.535189 # DEPENDENCYPART_ARC
(25,20),-1.49111 # DEPENDENCYPART_ARC
(25,21),-0.789859 # DEPENDENCYPART_ARC
(25,22),-0.686539 # DEPENDENCYPART_ARC
(25,23),-0.153368 # DEPENDENCYPART_ARC
(25,24),0.801782 # DEPENDENCYPART_ARC
(25,26),-0.49046 # DEPENDENCYPART_ARC
(25,27),-1.32079 # DEPENDENCYPART_ARC
(25,28),-1.4543 # DEPENDENCYPART_ARC
(25,29),-1.46681 # DEPENDENCYPART_ARC
(26,1),-6.49181 # DEPENDENCYPART_ARC
(26,2),-2.15414 # DEPENDENCYPART_ARC
(26,3),-2.54094 # DEPENDENCYPART_ARC
(26,4),-2.01687 # DEPENDENCYPART_ARC
(26,5),-4.29901 # DEPENDENCYPART_ARC
(26,6),-2.66811 # DEPENDENCYPART_ARC
(26,7),-1.67467 # DEPENDENCYPART_ARC
(26,8),-1.18696 # DEPENDENCYPART_ARC
(26,9),-2.47141 # DEPENDENCYPART_ARC
(26,10),-1.73756 # DEPENDENCYPART_ARC
(26,11),-0.0762788 # DEPENDENCYPART_ARC
(26,12),-1.4655 # DEPENDENCYPART_ARC
(26,13),-1.16198 # DEPENDENCYPART_ARC
(26,14),-1.7111 # DEPENDENCYPART_ARC
(26,15),-0.839295 # DEPENDENCYPART_ARC
(26,16),-0.607699 # DEPENDENCYPART_ARC
(26,17),-0.934349 # DEPENDENCYPART_ARC
(26,18),-0.926539 # DEPENDENCYPART_ARC
(26,19),0.175198 # DEPENDENCYPART_ARC
(26,20),-0.773586 # DEPENDENCYPART_ARC
(26,21),0.280997 # DEPENDENCYPART_ARC
(26,22),-0.00192421 # DEPENDENCYPART_ARC
(26,23),0.956032 # DEPENDENCYPART_ARC
(26,24),4.68301 # DEPENDENCYPART_ARC
(26,25),1.60502 # DEPENDENCYPART_ARC
(26,27),1.78919 # DEPENDENCYPART_ARC
(26,28),0.138437 # DEPENDENCYPART_ARC
(26,29),0.448618 # DEPENDENCYPART_ARC
(27,1),-2.49018 # DEPENDENCYPART_ARC
(27,2),-2.91866 # DEPENDENCYPART_ARC
(27,3),-3.86413 # DEPENDENCYPART_ARC
(27,4),-2.79725 # DEPENDENCYPART_ARC
(27,5),-3.0227 # DEPENDENCYPART_ARC
(27,6),-2.35872 # DEPENDENCYPART_ARC
(27,7),-2.44127 # DEPENDENCYPART_ARC
(27,8),-2.45321 # DEPENDENCYPART_ARC
(27,9),-2.61852 # DEPENDENCYPART_ARC
(27,10),-1.95332 # DEPENDENCYPART_ARC
(27,11),-2.28645 # DEPENDENCYPART_ARC
(27,12),-1.71845 # DEPENDENCYPART_ARC
(27,13),-2.20883 # DEPENDENCYPART_ARC
(27,14),-2.00156 # DEPENDENCYPART_ARC
(27,15),-1.38496 # DEPENDENCYPART_ARC
(27,16),-1.42214 # DEPENDENCYPART_ARC
(27,17),-2.15746 # DEPENDENCYPART_ARC
(27,18),-1.03543 # DEPENDENCYPART_ARC
(27,19),0.467372 # DEPENDENCYPART_ARC
(27,20),-1.59561 # DEPENDENCYPART_ARC
(27,21),-0.79128 # DEPENDENCYPART_ARC
(27,22),-0.809533 # DEPENDENCYPART_ARC
(27,23),-0.545026 # DEPENDENCYPART_ARC
(27,24),-0.309598 # DEPENDENCYPART_ARC
(27,25),0.215036 # DEPENDENCYPART_ARC
(27,26),0.294908 # DEPENDENCYPART_ARC
(27,28),3.14986 # DEPENDENCYPART_ARC
(27,29),0.266482 # DEPENDENCYPART_ARC
(28,1),-6.18541 # DEPENDENCYPART_ARC
(28,2),-3.63599 # DEPENDENCYPART_ARC
(28,3),-4.67991 # DEPENDENCYPART_ARC
(28,4),-4.81458 # DEPENDENCYPART_ARC
(28,5),-4.46762 # DEPENDENCYPART_ARC
(28,6),-2.54392 # DEPENDENCYPART_ARC
(28,7),-3.61219 # DEPENDENCYPART_ARC
(28,8),-4.0962 # DEPENDENCYPART_ARC
(28,9),-5.08834 # DEPENDENCYPART_ARC
(28,10),-2.17956 # DEPENDENCYPART_ARC
(28,11),-3.36971 # DEPENDENCYPART_ARC
(28,12),-2.84894 # DEPENDENCYPART_ARC
(28,13),-3.0498 # DEPENDENCYPART_ARC
(28,14),-3.48506 # DEPENDENCYPART_ARC
(28,15),-1.24225 # DEPENDENCYPART_ARC
(28,16),-1.70572 # DEPENDENCYPART_ARC
(28,17),-2.89052 # DEPENDENCYPART_ARC
(28,18),-2.27041 # DEPENDENCYPART_ARC
(28,19),-1.27073 # DEPENDENCYPART_ARC
(28,20),-2.08318 # DEPENDENCYPART_ARC
(28,21),-1.32356 # DEPENDENCYPART_ARC
(28,22),-1.80527 # DEPENDENCYPART_ARC
(28,23),-0.568257 # DEPENDENCYPART_ARC
(28,24),1.90291 # DEPENDENCYPART_ARC
(28,25),-0.120754 # DEPENDENCYPART_ARC
(28,26),0.399 # DEPENDENCYPART_ARC
(28,27),2.19394 # DEPENDENCYPART_ARC
(28,29),0.266206 # DEPENDENCYPART_ARC
(29,1),-3.19291 # DEPENDENCYPART_ARC
(29,2),-3.55531 # DEPENDENCYPART_ARC
(29,3),-3.10177 # DEPENDENCYPART_ARC
(29,4),-3.26381 # DEPENDENCYPART_ARC
(29,5),-3.07898 # DEPENDENCYPART_ARC
(29,6),-2.535 # DEPENDENCYPART_ARC
(29,7),-2.57248 # DEPENDENCYPART_ARC
(29,8),-2.70973 # DEPENDENCYPART_ARC
(29,9),-2.78575 # DEPENDENCYPART_ARC
(29,10),-1.97243 # DEPENDENCYPART_ARC
(29,11),-2.54476 # DEPENDENCYPART_ARC
(29,12),-2.35524 # DEPENDENCYPART_ARC
(29,13),-2.28578 # DEPENDENCYPART_ARC
(29,14),-1.71654 # DEPENDENCYPART_ARC
(29,15),-2.19493 # DEPENDENCYPART_ARC
(29,16),-2.03 # DEPENDENCYPART_ARC
(29,17),-1.71698 # DEPENDENCYPART_ARC
(29,18),-0.995794 # DEPENDENCYPART_ARC
(29,19),-0.591078 # DEPENDENCYPART_ARC
(29,20),-1.16228 # DEPENDENCYPART_ARC
(29,21),-1.39496 # DEPENDENCYPART_ARC
(29,22),-1.2557 # DEPENDENCYPART_ARC
(29,23),-1.10898 # DEPENDENCYPART_ARC
(29,24),-1.49047 # DEPENDENCYPART_ARC
(29,25),-1.09319 # DEPENDENCYPART_ARC
(29,26),-0.940391 # DEPENDENCYPART_ARC
(29,27),-1.15468 # DEPENDENCYPART_ARC
(29,28),-0.92062 # DEPENDENCYPART_ARC
