# _root_ `` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of the RTC .
#goldHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
#predictedHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
(23,6),-1.4325 # DEPENDENCYPART_ARC
(23,7),-2.09172 # DEPENDENCYPART_ARC
(23,8),-1.5246 # DEPENDENCYPART_ARC
(23,9),-1.68385 # DEPENDENCYPART_ARC
(23,10),-1.56645 # DEPENDENCYPART_ARC
(23,11),-1.11219 # DEPENDENCYPART_ARC
(23,12),-0.436113 # DEPENDENCYPART_ARC
(23,13),-1.29095 # DEPENDENCYPART_ARC
(23,14),-0.972852 # DEPENDENCYPART_ARC
(23,15),-1.01739 # DEPENDENCYPART_ARC
(23,16),-1.20894 # DEPENDENCYPART_ARC
(23,17),0.118687 # DEPENDENCYPART_ARC
(23,18),-1.19961 # DEPENDENCYPART_ARC
(23,19),-0.796719 # DEPENDENCYPART_ARC
(23,20),-0.577497 # DEPENDENCYPART_ARC
(23,21),-0.378205 # DEPENDENCYPART_ARC
(23,22),-0.638121 # DEPENDENCYPART_ARC
