# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,12,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(20,8),-2.5342 # DEPENDENCYPART_ARC
(20,9),-1.62927 # DEPENDENCYPART_ARC
(20,10),-0.625714 # DEPENDENCYPART_ARC
(20,11),-1.26217 # DEPENDENCYPART_ARC
(20,12),-1.42629 # DEPENDENCYPART_ARC
(20,13),-0.442939 # DEPENDENCYPART_ARC
(20,14),-0.63683 # DEPENDENCYPART_ARC
(20,15),-0.942441 # DEPENDENCYPART_ARC
(20,16),0.676168 # DEPENDENCYPART_ARC
(20,17),0.614866 # DEPENDENCYPART_ARC
(20,18),0.236546 # DEPENDENCYPART_ARC
(20,19),4.83748 # DEPENDENCYPART_ARC
(20,21),0.123546 # DEPENDENCYPART_ARC
(20,22),-0.14975 # DEPENDENCYPART_ARC
(20,23),-0.768865 # DEPENDENCYPART_ARC
(20,24),-1.28172 # DEPENDENCYPART_ARC
(20,25),-0.948371 # DEPENDENCYPART_ARC
(20,26),-0.411696 # DEPENDENCYPART_ARC
(21,1),-0.183994 # DEPENDENCYPART_ARC
(21,2),-2.82733 # DEPENDENCYPART_ARC
(21,3),-1.02807 # DEPENDENCYPART_ARC
(21,4),0.25863 # DEPENDENCYPART_ARC
(21,5),-0.617362 # DEPENDENCYPART_ARC
(21,6),-0.679582 # DEPENDENCYPART_ARC
(21,7),-0.691119 # DEPENDENCYPART_ARC
(21,8),-1.03061 # DEPENDENCYPART_ARC
(21,9),-0.738607 # DEPENDENCYPART_ARC
(21,10),-0.0568898 # DEPENDENCYPART_ARC
(21,11),1.41073 # DEPENDENCYPART_ARC
(21,12),-0.655405 # DEPENDENCYPART_ARC
(21,13),0.0277941 # DEPENDENCYPART_ARC
(21,14),0.0760506 # DEPENDENCYPART_ARC
(21,15),-0.0105329 # DEPENDENCYPART_ARC
(21,16),0.301242 # DEPENDENCYPART_ARC
(21,17),0.392198 # DEPENDENCYPART_ARC
(21,18),0.335716 # DEPENDENCYPART_ARC
(21,19),1.95931 # DEPENDENCYPART_ARC
(21,20),3.17983 # DEPENDENCYPART_ARC
(21,22),1.58739 # DEPENDENCYPART_ARC
(21,23),2.76767 # DEPENDENCYPART_ARC
(21,24),3.88309 # DEPENDENCYPART_ARC
(21,25),0.17443 # DEPENDENCYPART_ARC
(21,26),3.51299 # DEPENDENCYPART_ARC
(22,1),-3.62205 # DEPENDENCYPART_ARC
(22,2),-4.4025 # DEPENDENCYPART_ARC
(22,3),-2.38253 # DEPENDENCYPART_ARC
(22,4),-3.61121 # DEPENDENCYPART_ARC
(22,5),-3.34503 # DEPENDENCYPART_ARC
(22,6),-1.8857 # DEPENDENCYPART_ARC
(22,7),-2.63151 # DEPENDENCYPART_ARC
(22,8),-2.01947 # DEPENDENCYPART_ARC
(22,9),-1.84779 # DEPENDENCYPART_ARC
(22,10),-1.82606 # DEPENDENCYPART_ARC
(22,11),-2.75744 # DEPENDENCYPART_ARC
(22,12),-2.46343 # DEPENDENCYPART_ARC
(22,13),-1.02012 # DEPENDENCYPART_ARC
(22,14),-1.92464 # DEPENDENCYPART_ARC
(22,15),-1.4369 # DEPENDENCYPART_ARC
(22,16),-0.791153 # DEPENDENCYPART_ARC
(22,17),-1.40681 # DEPENDENCYPART_ARC
(22,18),-1.89609 # DEPENDENCYPART_ARC
(22,19),-0.983931 # DEPENDENCYPART_ARC
(22,20),-0.523568 # DEPENDENCYPART_ARC
(22,21),-0.0412193 # DEPENDENCYPART_ARC
(22,23),0.944976 # DEPENDENCYPART_ARC
(22,24),0.405995 # DEPENDENCYPART_ARC
(22,25),-0.280416 # DEPENDENCYPART_ARC
(22,26),-0.0458413 # DEPENDENCYPART_ARC
(23,1),-2.4249 # DEPENDENCYPART_ARC
(23,2),-3.45355 # DEPENDENCYPART_ARC
(23,3),-1.73499 # DEPENDENCYPART_ARC
(23,4),-2.48775 # DEPENDENCYPART_ARC
(23,5),-2.31453 # DEPENDENCYPART_ARC
(23,6),0.0586196 # DEPENDENCYPART_ARC
(23,7),-1.62073 # DEPENDENCYPART_ARC
(23,8),-0.545899 # DEPENDENCYPART_ARC
(23,9),-0.711509 # DEPENDENCYPART_ARC
(23,10),-0.89473 # DEPENDENCYPART_ARC
(23,11),-1.59494 # DEPENDENCYPART_ARC
(23,12),-1.5451 # DEPENDENCYPART_ARC
(23,13),0.945009 # DEPENDENCYPART_ARC
(23,14),-0.812994 # DEPENDENCYPART_ARC
(23,15),-0.0242114 # DEPENDENCYPART_ARC
(23,16),1.10094 # DEPENDENCYPART_ARC
(23,17),-0.469669 # DEPENDENCYPART_ARC
(23,18),-0.732846 # DEPENDENCYPART_ARC
(23,19),-0.0618654 # DEPENDENCYPART_ARC
(23,20),0.247287 # DEPENDENCYPART_ARC
(23,21),0.353536 # DEPENDENCYPART_ARC
(23,22),4.10408 # DEPENDENCYPART_ARC
(23,24),1.0543 # DEPENDENCYPART_ARC
(23,25),0.639784 # DEPENDENCYPART_ARC
(23,26),0.25731 # DEPENDENCYPART_ARC
(24,1),-3.59366 # DEPENDENCYPART_ARC
(24,2),-3.83475 # DEPENDENCYPART_ARC
(24,3),-2.72828 # DEPENDENCYPART_ARC
(24,4),-3.15135 # DEPENDENCYPART_ARC
(24,5),-2.42821 # DEPENDENCYPART_ARC
(24,6),-2.34747 # DEPENDENCYPART_ARC
(24,7),-2.56565 # DEPENDENCYPART_ARC
(24,8),-1.78332 # DEPENDENCYPART_ARC
(24,9),-2.07813 # DEPENDENCYPART_ARC
(24,10),-2.18334 # DEPENDENCYPART_ARC
(24,11),-2.20671 # DEPENDENCYPART_ARC
(24,12),-1.66017 # DEPENDENCYPART_ARC
(24,13),-1.57371 # DEPENDENCYPART_ARC
(24,14),-1.47144 # DEPENDENCYPART_ARC
(24,15),-0.776956 # DEPENDENCYPART_ARC
(24,16),-1.04035 # DEPENDENCYPART_ARC
(24,17),-1.18271 # DEPENDENCYPART_ARC
(24,18),-1.12348 # DEPENDENCYPART_ARC
(24,19),-0.699776 # DEPENDENCYPART_ARC
(24,20),-0.658287 # DEPENDENCYPART_ARC
(24,21),-0.197006 # DEPENDENCYPART_ARC
(24,22),0.180716 # DEPENDENCYPART_ARC
(24,23),0.555495 # DEPENDENCYPART_ARC
(24,25),2.97382 # DEPENDENCYPART_ARC
(24,26),0.222338 # DEPENDENCYPART_ARC
(25,1),-2.35162 # DEPENDENCYPART_ARC
(25,2),-3.30322 # DEPENDENCYPART_ARC
(25,3),-0.665674 # DEPENDENCYPART_ARC
(25,4),-2.52345 # DEPENDENCYPART_ARC
(25,5),-2.23452 # DEPENDENCYPART_ARC
(25,6),-0.596704 # DEPENDENCYPART_ARC
(25,7),-1.78178 # DEPENDENCYPART_ARC
(25,8),-0.557051 # DEPENDENCYPART_ARC
(25,9),-0.561962 # DEPENDENCYPART_ARC
(25,10),-0.120834 # DEPENDENCYPART_ARC
(25,11),-1.4965 # DEPENDENCYPART_ARC
(25,12),-1.35337 # DEPENDENCYPART_ARC
(25,13),0.0563438 # DEPENDENCYPART_ARC
(25,14),-1.2784 # DEPENDENCYPART_ARC
(25,15),-0.0190554 # DEPENDENCYPART_ARC
(25,16),0.552603 # DEPENDENCYPART_ARC
(25,17),-0.848741 # DEPENDENCYPART_ARC
(25,18),-0.72762 # DEPENDENCYPART_ARC
(25,19),-0.260248 # DEPENDENCYPART_ARC
(25,20),-0.00165079 # DEPENDENCYPART_ARC
(25,21),-0.0440498 # DEPENDENCYPART_ARC
(25,22),1.61072 # DEPENDENCYPART_ARC
(25,23),0.981279 # DEPENDENCYPART_ARC
(25,24),2.26843 # DEPENDENCYPART_ARC
(25,26),0.26602 # DEPENDENCYPART_ARC
(26,1),-3.46823 # DEPENDENCYPART_ARC
(26,2),-4.43801 # DEPENDENCYPART_ARC
(26,3),-3.93998 # DEPENDENCYPART_ARC
(26,4),-3.00109 # DEPENDENCYPART_ARC
(26,5),-2.18041 # DEPENDENCYPART_ARC
(26,6),-2.9344 # DEPENDENCYPART_ARC
(26,7),-2.80601 # DEPENDENCYPART_ARC
(26,8),-2.17002 # DEPENDENCYPART_ARC
(26,9),-2.60631 # DEPENDENCYPART_ARC
(26,10),-2.62828 # DEPENDENCYPART_ARC
(26,11),-2.2544 # DEPENDENCYPART_ARC
(26,12),-1.50595 # DEPENDENCYPART_ARC
(26,13),-2.14182 # DEPENDENCYPART_ARC
(26,14),-2.09696 # DEPENDENCYPART_ARC
(26,15),-1.47047 # DEPENDENCYPART_ARC
(26,16),-1.91339 # DEPENDENCYPART_ARC
(26,17),-1.81206 # DEPENDENCYPART_ARC
(26,18),-0.942916 # DEPENDENCYPART_ARC
(26,19),-1.18483 # DEPENDENCYPART_ARC
(26,20),-1.19001 # DEPENDENCYPART_ARC
(26,21),-1.13946 # DEPENDENCYPART_ARC
(26,22),-1.34559 # DEPENDENCYPART_ARC
(26,23),-0.998928 # DEPENDENCYPART_ARC
(26,24),-1.03097 # DEPENDENCYPART_ARC
(26,25),-0.892795 # DEPENDENCYPART_ARC
