# _root_ The 7 1\/8 % issue of Triborough Bridge and Tunnel Authority of New York , due 2019 , was off 5\/8 at 98 1\/8 bid .
#goldHeads=5,3,5,3,19,5,8,6,8,11,9,8,14,12,5,5,16,5,0,19,20,19,24,25,22,19,
#predictedHeads=5,3,5,3,19,5,8,6,8,11,9,11,14,12,8,5,16,8,0,19,20,19,24,22,24,19,
(20,10),-1.05979 # DEPENDENCYPART_ARC
(20,11),-1.63065 # DEPENDENCYPART_ARC
(20,12),-1.18686 # DEPENDENCYPART_ARC
(20,13),-0.113687 # DEPENDENCYPART_ARC
(20,14),-1.38177 # DEPENDENCYPART_ARC
(20,15),-0.807008 # DEPENDENCYPART_ARC
(20,16),-0.0581613 # DEPENDENCYPART_ARC
(20,17),0.109975 # DEPENDENCYPART_ARC
(20,18),-0.0438377 # DEPENDENCYPART_ARC
(20,19),-0.145031 # DEPENDENCYPART_ARC
(20,21),2.32495 # DEPENDENCYPART_ARC
(20,22),1.23604 # DEPENDENCYPART_ARC
(20,23),1.26939 # DEPENDENCYPART_ARC
(20,24),1.32451 # DEPENDENCYPART_ARC
(20,25),1.31365 # DEPENDENCYPART_ARC
(20,26),1.27872 # DEPENDENCYPART_ARC
(21,1),-1.82189 # DEPENDENCYPART_ARC
(21,2),-1.89721 # DEPENDENCYPART_ARC
(21,3),-2.84591 # DEPENDENCYPART_ARC
(21,4),-3.08064 # DEPENDENCYPART_ARC
(21,5),-2.96359 # DEPENDENCYPART_ARC
(21,6),-1.11627 # DEPENDENCYPART_ARC
(21,7),-2.25041 # DEPENDENCYPART_ARC
(21,8),-2.27832 # DEPENDENCYPART_ARC
(21,9),-2.42027 # DEPENDENCYPART_ARC
(21,10),-2.02968 # DEPENDENCYPART_ARC
(21,11),-1.79109 # DEPENDENCYPART_ARC
(21,12),-0.768319 # DEPENDENCYPART_ARC
(21,13),-1.30646 # DEPENDENCYPART_ARC
(21,14),-1.41538 # DEPENDENCYPART_ARC
(21,15),-0.868416 # DEPENDENCYPART_ARC
(21,16),-0.160878 # DEPENDENCYPART_ARC
(21,17),0.157947 # DEPENDENCYPART_ARC
(21,18),0.136284 # DEPENDENCYPART_ARC
(21,19),0.0570892 # DEPENDENCYPART_ARC
(21,20),1.77927 # DEPENDENCYPART_ARC
(21,22),0.857802 # DEPENDENCYPART_ARC
(21,23),0.725586 # DEPENDENCYPART_ARC
(21,24),0.172858 # DEPENDENCYPART_ARC
(21,25),-0.10875 # DEPENDENCYPART_ARC
(21,26),-0.000904495 # DEPENDENCYPART_ARC
(22,1),-3.34051 # DEPENDENCYPART_ARC
(22,2),-2.93663 # DEPENDENCYPART_ARC
(22,3),-2.93344 # DEPENDENCYPART_ARC
(22,4),-3.57344 # DEPENDENCYPART_ARC
(22,5),-3.47642 # DEPENDENCYPART_ARC
(22,6),-2.41031 # DEPENDENCYPART_ARC
(22,7),-2.46191 # DEPENDENCYPART_ARC
(22,8),-2.58584 # DEPENDENCYPART_ARC
(22,9),-2.62705 # DEPENDENCYPART_ARC
(22,10),-2.35424 # DEPENDENCYPART_ARC
(22,11),-2.48205 # DEPENDENCYPART_ARC
(22,12),-1.59543 # DEPENDENCYPART_ARC
(22,13),-1.75423 # DEPENDENCYPART_ARC
(22,14),-1.95928 # DEPENDENCYPART_ARC
(22,15),-1.12166 # DEPENDENCYPART_ARC
(22,16),-0.975853 # DEPENDENCYPART_ARC
(22,17),-1.0822 # DEPENDENCYPART_ARC
(22,18),-0.678393 # DEPENDENCYPART_ARC
(22,19),-0.846503 # DEPENDENCYPART_ARC
(22,20),-0.746145 # DEPENDENCYPART_ARC
(22,21),-0.0282211 # DEPENDENCYPART_ARC
(22,23),2.26532 # DEPENDENCYPART_ARC
(22,24),1.90626 # DEPENDENCYPART_ARC
(22,25),1.42035 # DEPENDENCYPART_ARC
(22,26),-0.362312 # DEPENDENCYPART_ARC
(23,1),-3.92549 # DEPENDENCYPART_ARC
(23,2),-3.30494 # DEPENDENCYPART_ARC
(23,3),-4.31643 # DEPENDENCYPART_ARC
(23,4),-4.66719 # DEPENDENCYPART_ARC
(23,5),-4.49937 # DEPENDENCYPART_ARC
(23,6),-2.71756 # DEPENDENCYPART_ARC
(23,7),-3.8025 # DEPENDENCYPART_ARC
(23,8),-3.88923 # DEPENDENCYPART_ARC
(23,9),-4.09795 # DEPENDENCYPART_ARC
(23,10),-3.5609 # DEPENDENCYPART_ARC
(23,11),-3.5462 # DEPENDENCYPART_ARC
(23,12),-2.43899 # DEPENDENCYPART_ARC
(23,13),-2.85235 # DEPENDENCYPART_ARC
(23,14),-3.01223 # DEPENDENCYPART_ARC
(23,15),-2.47626 # DEPENDENCYPART_ARC
(23,16),-2.297 # DEPENDENCYPART_ARC
(23,17),-1.66855 # DEPENDENCYPART_ARC
(23,18),-1.75189 # DEPENDENCYPART_ARC
(23,19),-2.11454 # DEPENDENCYPART_ARC
(23,20),-1.21228 # DEPENDENCYPART_ARC
(23,21),-0.134019 # DEPENDENCYPART_ARC
(23,22),0.14871 # DEPENDENCYPART_ARC
(23,24),0.699876 # DEPENDENCYPART_ARC
(23,25),0.718016 # DEPENDENCYPART_ARC
(23,26),-0.344191 # DEPENDENCYPART_ARC
(24,1),-2.92498 # DEPENDENCYPART_ARC
(24,2),-0.841567 # DEPENDENCYPART_ARC
(24,3),-2.87325 # DEPENDENCYPART_ARC
(24,4),-3.29453 # DEPENDENCYPART_ARC
(24,5),-3.10559 # DEPENDENCYPART_ARC
(24,6),-0.710529 # DEPENDENCYPART_ARC
(24,7),-2.27231 # DEPENDENCYPART_ARC
(24,8),-2.36748 # DEPENDENCYPART_ARC
(24,9),-2.69547 # DEPENDENCYPART_ARC
(24,10),-2.09654 # DEPENDENCYPART_ARC
(24,11),-1.9939 # DEPENDENCYPART_ARC
(24,12),-0.432927 # DEPENDENCYPART_ARC
(24,13),-1.52974 # DEPENDENCYPART_ARC
(24,14),-1.4744 # DEPENDENCYPART_ARC
(24,15),-1.08325 # DEPENDENCYPART_ARC
(24,16),-0.926023 # DEPENDENCYPART_ARC
(24,17),-0.127362 # DEPENDENCYPART_ARC
(24,18),-0.650562 # DEPENDENCYPART_ARC
(24,19),-0.839134 # DEPENDENCYPART_ARC
(24,20),-0.131553 # DEPENDENCYPART_ARC
(24,21),0.778432 # DEPENDENCYPART_ARC
(24,22),1.52093 # DEPENDENCYPART_ARC
(24,23),3.45749 # DEPENDENCYPART_ARC
(24,25),1.96528 # DEPENDENCYPART_ARC
(24,26),-0.392802 # DEPENDENCYPART_ARC
(25,1),-1.3226 # DEPENDENCYPART_ARC
(25,2),-2.92715 # DEPENDENCYPART_ARC
(25,3),-2.68084 # DEPENDENCYPART_ARC
(25,4),-4.27223 # DEPENDENCYPART_ARC
(25,5),-5.80414 # DEPENDENCYPART_ARC
(25,6),-1.47123 # DEPENDENCYPART_ARC
(25,7),-1.76544 # DEPENDENCYPART_ARC
(25,8),-2.95556 # DEPENDENCYPART_ARC
(25,9),-1.63937 # DEPENDENCYPART_ARC
(25,10),-1.56765 # DEPENDENCYPART_ARC
(25,11),-2.36387 # DEPENDENCYPART_ARC
(25,12),-0.727991 # DEPENDENCYPART_ARC
(25,13),-0.214645 # DEPENDENCYPART_ARC
(25,14),-1.88944 # DEPENDENCYPART_ARC
(25,15),0.388813 # DEPENDENCYPART_ARC
(25,16),-0.198081 # DEPENDENCYPART_ARC
(25,17),-1.15156 # DEPENDENCYPART_ARC
(25,18),0.0137745 # DEPENDENCYPART_ARC
(25,19),0.267079 # DEPENDENCYPART_ARC
(25,20),1.59966 # DEPENDENCYPART_ARC
(25,21),0.38802 # DEPENDENCYPART_ARC
(25,22),1.22867 # DEPENDENCYPART_ARC
(25,23),1.46573 # DEPENDENCYPART_ARC
(25,24),2.3577 # DEPENDENCYPART_ARC
(25,26),0.641104 # DEPENDENCYPART_ARC
(26,1),-3.09254 # DEPENDENCYPART_ARC
(26,2),-3.64468 # DEPENDENCYPART_ARC
(26,3),-3.54853 # DEPENDENCYPART_ARC
(26,4),-3.65054 # DEPENDENCYPART_ARC
(26,5),-3.82602 # DEPENDENCYPART_ARC
(26,6),-2.76995 # DEPENDENCYPART_ARC
(26,7),-2.62737 # DEPENDENCYPART_ARC
(26,8),-2.65604 # DEPENDENCYPART_ARC
(26,9),-2.1141 # DEPENDENCYPART_ARC
(26,10),-2.3779 # DEPENDENCYPART_ARC
(26,11),-2.42698 # DEPENDENCYPART_ARC
(26,12),-2.29022 # DEPENDENCYPART_ARC
(26,13),-2.13522 # DEPENDENCYPART_ARC
(26,14),-2.28651 # DEPENDENCYPART_ARC
(26,15),-1.24629 # DEPENDENCYPART_ARC
(26,16),-2.00687 # DEPENDENCYPART_ARC
(26,17),-2.05649 # DEPENDENCYPART_ARC
(26,18),-1.03864 # DEPENDENCYPART_ARC
(26,19),-1.18292 # DEPENDENCYPART_ARC
(26,20),-1.5528 # DEPENDENCYPART_ARC
(26,21),-1.81878 # DEPENDENCYPART_ARC
(26,22),-1.49075 # DEPENDENCYPART_ARC
(26,23),-1.26053 # DEPENDENCYPART_ARC
(26,24),-1.67261 # DEPENDENCYPART_ARC
(26,25),-1.66629 # DEPENDENCYPART_ARC
