# _root_ Far better for policy makers to concentrate on the war against drugs , Panama and the deficit , all of them parades that seem never to end .
#goldHeads=3,1,0,5,6,3,6,7,10,8,10,11,10,10,14,17,15,10,22,19,20,10,24,22,26,24,26,3,
#predictedHeads=0,1,2,5,3,3,6,7,10,8,10,11,12,12,14,17,15,17,17,19,22,20,24,22,24,24,26,2,
(18,24),-0.955752 # DEPENDENCYPART_ARC
(18,25),-1.22367 # DEPENDENCYPART_ARC
(18,26),-1.22973 # DEPENDENCYPART_ARC
(18,27),-1.18413 # DEPENDENCYPART_ARC
(18,28),-1.05978 # DEPENDENCYPART_ARC
(19,1),-2.89261 # DEPENDENCYPART_ARC
(19,2),-2.39564 # DEPENDENCYPART_ARC
(19,3),-1.94136 # DEPENDENCYPART_ARC
(19,4),-2.84148 # DEPENDENCYPART_ARC
(19,5),-2.51388 # DEPENDENCYPART_ARC
(19,6),-1.99548 # DEPENDENCYPART_ARC
(19,7),-1.81563 # DEPENDENCYPART_ARC
(19,8),-1.512 # DEPENDENCYPART_ARC
(19,9),-1.07165 # DEPENDENCYPART_ARC
(19,10),-2.07033 # DEPENDENCYPART_ARC
(19,11),-1.15193 # DEPENDENCYPART_ARC
(19,12),-1.64114 # DEPENDENCYPART_ARC
(19,13),-1.24228 # DEPENDENCYPART_ARC
(19,14),-1.2033 # DEPENDENCYPART_ARC
(19,15),-1.38394 # DEPENDENCYPART_ARC
(19,16),0.224321 # DEPENDENCYPART_ARC
(19,17),-0.826702 # DEPENDENCYPART_ARC
(19,18),0.348199 # DEPENDENCYPART_ARC
(19,20),3.06716 # DEPENDENCYPART_ARC
(19,21),0.455211 # DEPENDENCYPART_ARC
(19,22),0.883819 # DEPENDENCYPART_ARC
(19,23),-0.318442 # DEPENDENCYPART_ARC
(19,24),1.32494 # DEPENDENCYPART_ARC
(19,25),0.410433 # DEPENDENCYPART_ARC
(19,26),0.522963 # DEPENDENCYPART_ARC
(19,27),-0.131104 # DEPENDENCYPART_ARC
(19,28),0.773259 # DEPENDENCYPART_ARC
(20,1),-3.04795 # DEPENDENCYPART_ARC
(20,2),-2.85484 # DEPENDENCYPART_ARC
(20,3),-3.28322 # DEPENDENCYPART_ARC
(20,4),-3.54732 # DEPENDENCYPART_ARC
(20,5),-2.79373 # DEPENDENCYPART_ARC
(20,6),-2.4514 # DEPENDENCYPART_ARC
(20,7),-2.12629 # DEPENDENCYPART_ARC
(20,8),-2.70525 # DEPENDENCYPART_ARC
(20,9),-2.48303 # DEPENDENCYPART_ARC
(20,10),-2.02471 # DEPENDENCYPART_ARC
(20,11),-2.08694 # DEPENDENCYPART_ARC
(20,12),-1.88063 # DEPENDENCYPART_ARC
(20,13),-1.55548 # DEPENDENCYPART_ARC
(20,14),-1.04363 # DEPENDENCYPART_ARC
(20,15),-1.54205 # DEPENDENCYPART_ARC
(20,16),-0.935291 # DEPENDENCYPART_ARC
(20,17),-0.872277 # DEPENDENCYPART_ARC
(20,18),-0.586541 # DEPENDENCYPART_ARC
(20,19),0.747639 # DEPENDENCYPART_ARC
(20,21),2.65366 # DEPENDENCYPART_ARC
(20,22),4.00893 # DEPENDENCYPART_ARC
(20,23),0.157313 # DEPENDENCYPART_ARC
(20,24),-0.414335 # DEPENDENCYPART_ARC
(20,25),0.123407 # DEPENDENCYPART_ARC
(20,26),-0.911324 # DEPENDENCYPART_ARC
(20,27),0.214841 # DEPENDENCYPART_ARC
(20,28),0.57622 # DEPENDENCYPART_ARC
(21,1),-3.70257 # DEPENDENCYPART_ARC
(21,2),-3.04642 # DEPENDENCYPART_ARC
(21,3),-2.7338 # DEPENDENCYPART_ARC
(21,4),-3.66397 # DEPENDENCYPART_ARC
(21,5),-3.29328 # DEPENDENCYPART_ARC
(21,6),-2.87566 # DEPENDENCYPART_ARC
(21,7),-2.68649 # DEPENDENCYPART_ARC
(21,8),-2.45095 # DEPENDENCYPART_ARC
(21,9),-2.19862 # DEPENDENCYPART_ARC
(21,10),-3.07342 # DEPENDENCYPART_ARC
(21,11),-2.08155 # DEPENDENCYPART_ARC
(21,12),-2.47472 # DEPENDENCYPART_ARC
(21,13),-2.12603 # DEPENDENCYPART_ARC
(21,14),-2.1285 # DEPENDENCYPART_ARC
(21,15),-2.38542 # DEPENDENCYPART_ARC
(21,16),-0.991124 # DEPENDENCYPART_ARC
(21,17),-1.79225 # DEPENDENCYPART_ARC
(21,18),-1.04242 # DEPENDENCYPART_ARC
(21,19),-0.0797645 # DEPENDENCYPART_ARC
(21,20),0.0646654 # DEPENDENCYPART_ARC
(21,22),0.00664289 # DEPENDENCYPART_ARC
(21,23),-1.2497 # DEPENDENCYPART_ARC
(21,24),-0.0274751 # DEPENDENCYPART_ARC
(21,25),-1.32088 # DEPENDENCYPART_ARC
(21,26),-1.47038 # DEPENDENCYPART_ARC
(21,27),-1.54199 # DEPENDENCYPART_ARC
(21,28),-0.87862 # DEPENDENCYPART_ARC
(22,1),-4.9846 # DEPENDENCYPART_ARC
(22,2),-2.62132 # DEPENDENCYPART_ARC
(22,3),-1.39744 # DEPENDENCYPART_ARC
(22,4),-4.13182 # DEPENDENCYPART_ARC
(22,5),-4.09308 # DEPENDENCYPART_ARC
(22,6),-2.64815 # DEPENDENCYPART_ARC
(22,7),-1.7302 # DEPENDENCYPART_ARC
(22,8),-0.798691 # DEPENDENCYPART_ARC
(22,9),-3.02505 # DEPENDENCYPART_ARC
(22,10),-3.2144 # DEPENDENCYPART_ARC
(22,11),-0.576903 # DEPENDENCYPART_ARC
(22,12),-2.14416 # DEPENDENCYPART_ARC
(22,13),-0.491916 # DEPENDENCYPART_ARC
(22,14),-2.28064 # DEPENDENCYPART_ARC
(22,15),-0.350957 # DEPENDENCYPART_ARC
(22,16),-0.277073 # DEPENDENCYPART_ARC
(22,17),-0.991466 # DEPENDENCYPART_ARC
(22,18),0.288085 # DEPENDENCYPART_ARC
(22,19),0.931022 # DEPENDENCYPART_ARC
(22,20),1.16347 # DEPENDENCYPART_ARC
(22,21),4.3311 # DEPENDENCYPART_ARC
(22,23),0.118864 # DEPENDENCYPART_ARC
(22,24),3.54689 # DEPENDENCYPART_ARC
(22,25),0.711084 # DEPENDENCYPART_ARC
(22,26),0.746339 # DEPENDENCYPART_ARC
(22,27),0.722926 # DEPENDENCYPART_ARC
(22,28),1.36319 # DEPENDENCYPART_ARC
(23,1),-3.13332 # DEPENDENCYPART_ARC
(23,2),-3.28915 # DEPENDENCYPART_ARC
(23,3),-2.19381 # DEPENDENCYPART_ARC
(23,4),-3.40306 # DEPENDENCYPART_ARC
(23,5),-3.19374 # DEPENDENCYPART_ARC
(23,6),-2.66644 # DEPENDENCYPART_ARC
(23,7),-2.61103 # DEPENDENCYPART_ARC
(23,8),-1.7085 # DEPENDENCYPART_ARC
(23,9),-2.08359 # DEPENDENCYPART_ARC
(23,10),-2.74712 # DEPENDENCYPART_ARC
(23,11),-1.46495 # DEPENDENCYPART_ARC
(23,12),-2.47901 # DEPENDENCYPART_ARC
(23,13),-1.38429 # DEPENDENCYPART_ARC
(23,14),-2.02293 # DEPENDENCYPART_ARC
(23,15),-2.06269 # DEPENDENCYPART_ARC
(23,16),-1.08749 # DEPENDENCYPART_ARC
(23,17),-1.8253 # DEPENDENCYPART_ARC
(23,18),-0.907242 # DEPENDENCYPART_ARC
(23,19),-0.53844 # DEPENDENCYPART_ARC
(23,20),-0.425354 # DEPENDENCYPART_ARC
(23,21),0.09181 # DEPENDENCYPART_ARC
(23,22),-0.34582 # DEPENDENCYPART_ARC
(23,24),1.10124 # DEPENDENCYPART_ARC
(23,25),-0.907515 # DEPENDENCYPART_ARC
(23,26),-0.959459 # DEPENDENCYPART_ARC
(23,27),-0.864423 # DEPENDENCYPART_ARC
(23,28),-0.776778 # DEPENDENCYPART_ARC
(24,1),-0.0467073 # DEPENDENCYPART_ARC
(24,2),-2.94525 # DEPENDENCYPART_ARC
(24,3),-1.72514 # DEPENDENCYPART_ARC
(24,4),-2.08751 # DEPENDENCYPART_ARC
(24,5),-1.29463 # DEPENDENCYPART_ARC
(24,6),-1.43334 # DEPENDENCYPART_ARC
(24,7),-2.41453 # DEPENDENCYPART_ARC
(24,8),-1.31688 # DEPENDENCYPART_ARC
(24,9),-2.70515 # DEPENDENCYPART_ARC
(24,10),-1.31107 # DEPENDENCYPART_ARC
(24,11),-0.616526 # DEPENDENCYPART_ARC
(24,12),-0.963095 # DEPENDENCYPART_ARC
(24,13),0.470399 # DEPENDENCYPART_ARC
(24,14),-0.643376 # DEPENDENCYPART_ARC
(24,15),-0.834031 # DEPENDENCYPART_ARC
(24,16),-1.35924 # DEPENDENCYPART_ARC
(24,17),-0.934915 # DEPENDENCYPART_ARC
(24,18),0.986714 # DEPENDENCYPART_ARC
(24,19),0.20749 # DEPENDENCYPART_ARC
(24,20),-0.557224 # DEPENDENCYPART_ARC
(24,21),-0.0743087 # DEPENDENCYPART_ARC
(24,22),0.349993 # DEPENDENCYPART_ARC
(24,23),4.21092 # DEPENDENCYPART_ARC
(24,25),3.18872 # DEPENDENCYPART_ARC
(24,26),2.09406 # DEPENDENCYPART_ARC
(24,27),0.935336 # DEPENDENCYPART_ARC
(24,28),1.15938 # DEPENDENCYPART_ARC
(25,1),-2.42773 # DEPENDENCYPART_ARC
(25,2),-2.54348 # DEPENDENCYPART_ARC
(25,3),-2.68509 # DEPENDENCYPART_ARC
(25,4),-3.49442 # DEPENDENCYPART_ARC
(25,5),-2.79534 # DEPENDENCYPART_ARC
(25,6),-2.52923 # DEPENDENCYPART_ARC
(25,7),-2.42481 # DEPENDENCYPART_ARC
(25,8),-1.8678 # DEPENDENCYPART_ARC
(25,9),-1.24525 # DEPENDENCYPART_ARC
(25,10),-2.43393 # DEPENDENCYPART_ARC
(25,11),-1.62673 # DEPENDENCYPART_ARC
(25,12),-2.10346 # DEPENDENCYPART_ARC
(25,13),-1.19185 # DEPENDENCYPART_ARC
(25,14),-1.9391 # DEPENDENCYPART_ARC
(25,15),-1.85418 # DEPENDENCYPART_ARC
(25,16),-0.400135 # DEPENDENCYPART_ARC
(25,17),-1.58986 # DEPENDENCYPART_ARC
(25,18),-0.917173 # DEPENDENCYPART_ARC
(25,19),0.145359 # DEPENDENCYPART_ARC
(25,20),-0.506615 # DEPENDENCYPART_ARC
(25,21),0.0128672 # DEPENDENCYPART_ARC
(25,22),-0.641537 # DEPENDENCYPART_ARC
(25,23),0.33139 # DEPENDENCYPART_ARC
(25,24),0.158532 # DEPENDENCYPART_ARC
(25,26),1.08944 # DEPENDENCYPART_ARC
(25,27),1.07896 # DEPENDENCYPART_ARC
(25,28),0.177099 # DEPENDENCYPART_ARC
(26,1),-3.66131 # DEPENDENCYPART_ARC
(26,2),-2.77564 # DEPENDENCYPART_ARC
(26,3),-2.75379 # DEPENDENCYPART_ARC
(26,4),-1.88686 # DEPENDENCYPART_ARC
(26,5),-0.805589 # DEPENDENCYPART_ARC
(26,6),-2.05371 # DEPENDENCYPART_ARC
(26,7),-1.82671 # DEPENDENCYPART_ARC
(26,8),-1.65259 # DEPENDENCYPART_ARC
(26,9),-1.00087 # DEPENDENCYPART_ARC
(26,10),-1.26068 # DEPENDENCYPART_ARC
(26,11),-1.40527 # DEPENDENCYPART_ARC
(26,12),-0.211083 # DEPENDENCYPART_ARC
(26,13),-0.763472 # DEPENDENCYPART_ARC
(26,14),-0.919407 # DEPENDENCYPART_ARC
(26,15),-1.30665 # DEPENDENCYPART_ARC
(26,16),-0.104434 # DEPENDENCYPART_ARC
(26,17),-0.568379 # DEPENDENCYPART_ARC
(26,18),-0.330872 # DEPENDENCYPART_ARC
(26,19),0.377035 # DEPENDENCYPART_ARC
(26,20),0.19351 # DEPENDENCYPART_ARC
(26,21),0.334999 # DEPENDENCYPART_ARC
(26,22),0.466587 # DEPENDENCYPART_ARC
(26,23),0.963104 # DEPENDENCYPART_ARC
(26,24),0.320182 # DEPENDENCYPART_ARC
(26,25),1.50591 # DEPENDENCYPART_ARC
(26,27),3.48721 # DEPENDENCYPART_ARC
(26,28),0.513069 # DEPENDENCYPART_ARC
(27,1),-1.71772 # DEPENDENCYPART_ARC
(27,2),-2.09317 # DEPENDENCYPART_ARC
(27,3),-1.33562 # DEPENDENCYPART_ARC
(27,4),-1.65565 # DEPENDENCYPART_ARC
(27,5),-1.86033 # DEPENDENCYPART_ARC
(27,6),-1.59085 # DEPENDENCYPART_ARC
(27,7),-1.20852 # DEPENDENCYPART_ARC
(27,8),-0.505481 # DEPENDENCYPART_ARC
(27,9),-1.12224 # DEPENDENCYPART_ARC
(27,10),-1.0806 # DEPENDENCYPART_ARC
(27,11),0.431753 # DEPENDENCYPART_ARC
(27,12),-0.871274 # DEPENDENCYPART_ARC
(27,13),-0.310881 # DEPENDENCYPART_ARC
(27,14),-0.766941 # DEPENDENCYPART_ARC
(27,15),-0.89903 # DEPENDENCYPART_ARC
(27,16),-0.68109 # DEPENDENCYPART_ARC
(27,17),-0.638914 # DEPENDENCYPART_ARC
(27,18),0.127114 # DEPENDENCYPART_ARC
(27,19),-0.141633 # DEPENDENCYPART_ARC
(27,20),0.718871 # DEPENDENCYPART_ARC
(27,21),0.107479 # DEPENDENCYPART_ARC
(27,22),0.554241 # DEPENDENCYPART_ARC
(27,23),2.20338 # DEPENDENCYPART_ARC
(27,24),0.576008 # DEPENDENCYPART_ARC
(27,25),1.08871 # DEPENDENCYPART_ARC
(27,26),1.5353 # DEPENDENCYPART_ARC
(27,28),-0.511203 # DEPENDENCYPART_ARC
(28,1),-2.69378 # DEPENDENCYPART_ARC
(28,2),-3.37351 # DEPENDENCYPART_ARC
(28,3),-4.25437 # DEPENDENCYPART_ARC
(28,4),-2.92931 # DEPENDENCYPART_ARC
(28,5),-2.9026 # DEPENDENCYPART_ARC
(28,6),-3.26214 # DEPENDENCYPART_ARC
(28,7),-3.10277 # DEPENDENCYPART_ARC
(28,8),-3.43256 # DEPENDENCYPART_ARC
(28,9),-2.71353 # DEPENDENCYPART_ARC
(28,10),-2.53471 # DEPENDENCYPART_ARC
(28,11),-2.8844 # DEPENDENCYPART_ARC
(28,12),-2.46629 # DEPENDENCYPART_ARC
(28,13),-1.51572 # DEPENDENCYPART_ARC
(28,14),-2.82551 # DEPENDENCYPART_ARC
(28,15),-2.20791 # DEPENDENCYPART_ARC
(28,16),-1.9742 # DEPENDENCYPART_ARC
(28,17),-2.01174 # DEPENDENCYPART_ARC
(28,18),-0.82405 # DEPENDENCYPART_ARC
(28,19),-1.55382 # DEPENDENCYPART_ARC
(28,20),-1.84945 # DEPENDENCYPART_ARC
(28,21),-1.30928 # DEPENDENCYPART_ARC
(28,22),-1.80639 # DEPENDENCYPART_ARC
(28,23),-1.13427 # DEPENDENCYPART_ARC
(28,24),-1.79827 # DEPENDENCYPART_ARC
(28,25),-1.3039 # DEPENDENCYPART_ARC
(28,26),-1.54877 # DEPENDENCYPART_ARC
(28,27),-0.935775 # DEPENDENCYPART_ARC
