# _root_ In fact , Lever Bros. confirms that its Sunlight brand does contain chlorine bleach , even though it is n't listed on the label for the powder version .
#goldHeads=6,1,6,6,4,0,6,10,10,11,7,11,14,12,12,17,12,19,17,19,19,21,24,22,24,28,28,25,6,
#predictedHeads=6,1,6,5,6,0,6,10,10,11,7,11,14,12,12,17,6,19,17,19,19,21,24,22,24,28,28,25,6,
(18,4),-2.81252 # DEPENDENCYPART_ARC
(18,5),-2.69579 # DEPENDENCYPART_ARC
(18,6),-2.45081 # DEPENDENCYPART_ARC
(18,7),-1.99686 # DEPENDENCYPART_ARC
(18,8),-1.64687 # DEPENDENCYPART_ARC
(18,9),-2.1216 # DEPENDENCYPART_ARC
(18,10),-2.41197 # DEPENDENCYPART_ARC
(18,11),-1.86603 # DEPENDENCYPART_ARC
(18,12),-1.77451 # DEPENDENCYPART_ARC
(18,13),-1.86925 # DEPENDENCYPART_ARC
(18,14),-1.67466 # DEPENDENCYPART_ARC
(18,15),-0.0931601 # DEPENDENCYPART_ARC
(18,16),-0.790473 # DEPENDENCYPART_ARC
(18,17),0.297765 # DEPENDENCYPART_ARC
(18,19),0.75362 # DEPENDENCYPART_ARC
(18,20),-0.618405 # DEPENDENCYPART_ARC
(18,21),-1.04203 # DEPENDENCYPART_ARC
(18,22),0.154247 # DEPENDENCYPART_ARC
(18,23),-0.942038 # DEPENDENCYPART_ARC
(18,24),-0.91222 # DEPENDENCYPART_ARC
(18,25),-0.454488 # DEPENDENCYPART_ARC
(18,26),-1.15947 # DEPENDENCYPART_ARC
(18,27),-0.920403 # DEPENDENCYPART_ARC
(18,28),-1.05294 # DEPENDENCYPART_ARC
(18,29),-0.990223 # DEPENDENCYPART_ARC
(19,1),-0.73468 # DEPENDENCYPART_ARC
(19,2),-1.71563 # DEPENDENCYPART_ARC
(19,3),0.43835 # DEPENDENCYPART_ARC
(19,4),-1.02608 # DEPENDENCYPART_ARC
(19,5),-1.37622 # DEPENDENCYPART_ARC
(19,6),-0.763173 # DEPENDENCYPART_ARC
(19,7),-1.27832 # DEPENDENCYPART_ARC
(19,8),-1.25147 # DEPENDENCYPART_ARC
(19,9),-0.527201 # DEPENDENCYPART_ARC
(19,10),-0.907704 # DEPENDENCYPART_ARC
(19,11),-0.298624 # DEPENDENCYPART_ARC
(19,12),-0.741826 # DEPENDENCYPART_ARC
(19,13),-0.0684675 # DEPENDENCYPART_ARC
(19,14),-1.0848 # DEPENDENCYPART_ARC
(19,15),0.971841 # DEPENDENCYPART_ARC
(19,16),0.137747 # DEPENDENCYPART_ARC
(19,17),0.703305 # DEPENDENCYPART_ARC
(19,18),3.08681 # DEPENDENCYPART_ARC
(19,20),4.07114 # DEPENDENCYPART_ARC
(19,21),2.55198 # DEPENDENCYPART_ARC
(19,22),1.29709 # DEPENDENCYPART_ARC
(19,23),-0.921101 # DEPENDENCYPART_ARC
(19,24),0.471436 # DEPENDENCYPART_ARC
(19,25),0.657846 # DEPENDENCYPART_ARC
(19,26),-1.42331 # DEPENDENCYPART_ARC
(19,27),-1.56683 # DEPENDENCYPART_ARC
(19,28),-1.02322 # DEPENDENCYPART_ARC
(19,29),3.67662 # DEPENDENCYPART_ARC
(20,1),-2.96118 # DEPENDENCYPART_ARC
(20,2),-3.10693 # DEPENDENCYPART_ARC
(20,3),-2.40572 # DEPENDENCYPART_ARC
(20,4),-2.71214 # DEPENDENCYPART_ARC
(20,5),-2.66573 # DEPENDENCYPART_ARC
(20,6),-2.53803 # DEPENDENCYPART_ARC
(20,7),-1.93516 # DEPENDENCYPART_ARC
(20,8),-1.77886 # DEPENDENCYPART_ARC
(20,9),-2.18989 # DEPENDENCYPART_ARC
(20,10),-2.27879 # DEPENDENCYPART_ARC
(20,11),-1.95359 # DEPENDENCYPART_ARC
(20,12),-1.63283 # DEPENDENCYPART_ARC
(20,13),-1.89372 # DEPENDENCYPART_ARC
(20,14),-1.92101 # DEPENDENCYPART_ARC
(20,15),-1.24436 # DEPENDENCYPART_ARC
(20,16),-0.5508 # DEPENDENCYPART_ARC
(20,17),-0.556311 # DEPENDENCYPART_ARC
(20,18),-0.21482 # DEPENDENCYPART_ARC
(20,19),-0.181967 # DEPENDENCYPART_ARC
(20,21),0.145164 # DEPENDENCYPART_ARC
(20,22),0.175992 # DEPENDENCYPART_ARC
(20,23),-0.755265 # DEPENDENCYPART_ARC
(20,24),-1.05901 # DEPENDENCYPART_ARC
(20,25),-0.895649 # DEPENDENCYPART_ARC
(20,26),-1.35691 # DEPENDENCYPART_ARC
(20,27),-1.94753 # DEPENDENCYPART_ARC
(20,28),-1.89861 # DEPENDENCYPART_ARC
(20,29),-1.45743 # DEPENDENCYPART_ARC
(21,1),-3.15879 # DEPENDENCYPART_ARC
(21,2),-2.77818 # DEPENDENCYPART_ARC
(21,3),-1.9302 # DEPENDENCYPART_ARC
(21,4),-1.74967 # DEPENDENCYPART_ARC
(21,5),-1.71118 # DEPENDENCYPART_ARC
(21,6),-1.61733 # DEPENDENCYPART_ARC
(21,7),-0.322785 # DEPENDENCYPART_ARC
(21,8),-1.2308 # DEPENDENCYPART_ARC
(21,9),-1.45542 # DEPENDENCYPART_ARC
(21,10),-1.56123 # DEPENDENCYPART_ARC
(21,11),-1.29781 # DEPENDENCYPART_ARC
(21,12),-1.6353 # DEPENDENCYPART_ARC
(21,13),-1.05927 # DEPENDENCYPART_ARC
(21,14),-1.65383 # DEPENDENCYPART_ARC
(21,15),-1.02922 # DEPENDENCYPART_ARC
(21,16),-0.654374 # DEPENDENCYPART_ARC
(21,17),-0.542135 # DEPENDENCYPART_ARC
(21,18),0.264084 # DEPENDENCYPART_ARC
(21,19),-0.714166 # DEPENDENCYPART_ARC
(21,20),1.32973 # DEPENDENCYPART_ARC
(21,22),3.82349 # DEPENDENCYPART_ARC
(21,23),0.455143 # DEPENDENCYPART_ARC
(21,24),1.4396 # DEPENDENCYPART_ARC
(21,25),2.66058 # DEPENDENCYPART_ARC
(21,26),-0.304904 # DEPENDENCYPART_ARC
(21,27),0.137345 # DEPENDENCYPART_ARC
(21,28),0.145258 # DEPENDENCYPART_ARC
(21,29),1.16122 # DEPENDENCYPART_ARC
(22,1),-3.12748 # DEPENDENCYPART_ARC
(22,2),-3.68583 # DEPENDENCYPART_ARC
(22,3),-2.51902 # DEPENDENCYPART_ARC
(22,4),-2.15963 # DEPENDENCYPART_ARC
(22,5),-2.32919 # DEPENDENCYPART_ARC
(22,6),-2.16195 # DEPENDENCYPART_ARC
(22,7),-0.646028 # DEPENDENCYPART_ARC
(22,8),-1.4294 # DEPENDENCYPART_ARC
(22,9),-1.92343 # DEPENDENCYPART_ARC
(22,10),-2.47285 # DEPENDENCYPART_ARC
(22,11),-1.5957 # DEPENDENCYPART_ARC
(22,12),-1.16056 # DEPENDENCYPART_ARC
(22,13),-1.77086 # DEPENDENCYPART_ARC
(22,14),-2.24623 # DEPENDENCYPART_ARC
(22,15),-1.09954 # DEPENDENCYPART_ARC
(22,16),0.0177323 # DEPENDENCYPART_ARC
(22,17),0.196158 # DEPENDENCYPART_ARC
(22,18),-0.645568 # DEPENDENCYPART_ARC
(22,19),-0.170917 # DEPENDENCYPART_ARC
(22,20),0.185042 # DEPENDENCYPART_ARC
(22,21),0.309639 # DEPENDENCYPART_ARC
(22,23),0.261007 # DEPENDENCYPART_ARC
(22,24),3.39425 # DEPENDENCYPART_ARC
(22,25),0.399336 # DEPENDENCYPART_ARC
(22,26),-1.48961 # DEPENDENCYPART_ARC
(22,27),-0.595257 # DEPENDENCYPART_ARC
(22,28),-0.0401445 # DEPENDENCYPART_ARC
(22,29),-0.483639 # DEPENDENCYPART_ARC
(23,1),-4.58468 # DEPENDENCYPART_ARC
(23,2),-4.98397 # DEPENDENCYPART_ARC
(23,3),-4.14152 # DEPENDENCYPART_ARC
(23,4),-4.28588 # DEPENDENCYPART_ARC
(23,5),-4.13909 # DEPENDENCYPART_ARC
(23,6),-3.95747 # DEPENDENCYPART_ARC
(23,7),-3.51623 # DEPENDENCYPART_ARC
(23,8),-3.18357 # DEPENDENCYPART_ARC
(23,9),-3.77798 # DEPENDENCYPART_ARC
(23,10),-3.96533 # DEPENDENCYPART_ARC
(23,11),-3.45579 # DEPENDENCYPART_ARC
(23,12),-3.07345 # DEPENDENCYPART_ARC
(23,13),-3.50576 # DEPENDENCYPART_ARC
(23,14),-3.4669 # DEPENDENCYPART_ARC
(23,15),-2.90007 # DEPENDENCYPART_ARC
(23,16),-2.87642 # DEPENDENCYPART_ARC
(23,17),-2.22667 # DEPENDENCYPART_ARC
(23,18),-2.12781 # DEPENDENCYPART_ARC
(23,19),-2.43399 # DEPENDENCYPART_ARC
(23,20),-1.66131 # DEPENDENCYPART_ARC
(23,21),-1.75798 # DEPENDENCYPART_ARC
(23,22),-0.520054 # DEPENDENCYPART_ARC
(23,24),0.124075 # DEPENDENCYPART_ARC
(23,25),-1.16176 # DEPENDENCYPART_ARC
(23,26),-2.14046 # DEPENDENCYPART_ARC
(23,27),-1.15967 # DEPENDENCYPART_ARC
(23,28),-1.47367 # DEPENDENCYPART_ARC
(23,29),-1.83946 # DEPENDENCYPART_ARC
(24,1),-4.45838 # DEPENDENCYPART_ARC
(24,2),-7.26465 # DEPENDENCYPART_ARC
(24,3),-3.52851 # DEPENDENCYPART_ARC
(24,4),-7.50498 # DEPENDENCYPART_ARC
(24,5),-8.03155 # DEPENDENCYPART_ARC
(24,6),-2.97718 # DEPENDENCYPART_ARC
(24,7),-3.24805 # DEPENDENCYPART_ARC
(24,8),-1.81816 # DEPENDENCYPART_ARC
(24,9),-5.08833 # DEPENDENCYPART_ARC
(24,10),-4.84912 # DEPENDENCYPART_ARC
(24,11),-2.52303 # DEPENDENCYPART_ARC
(24,12),-2.46795 # DEPENDENCYPART_ARC
(24,13),-3.15093 # DEPENDENCYPART_ARC
(24,14),-4.69279 # DEPENDENCYPART_ARC
(24,15),-1.5663 # DEPENDENCYPART_ARC
(24,16),-1.67704 # DEPENDENCYPART_ARC
(24,17),-0.346664 # DEPENDENCYPART_ARC
(24,18),-0.987094 # DEPENDENCYPART_ARC
(24,19),-1.05329 # DEPENDENCYPART_ARC
(24,20),-0.653356 # DEPENDENCYPART_ARC
(24,21),-0.497076 # DEPENDENCYPART_ARC
(24,22),0.798678 # DEPENDENCYPART_ARC
(24,23),4.67608 # DEPENDENCYPART_ARC
(24,25),2.68449 # DEPENDENCYPART_ARC
(24,26),0.172423 # DEPENDENCYPART_ARC
(24,27),0.765935 # DEPENDENCYPART_ARC
(24,28),0.392682 # DEPENDENCYPART_ARC
(24,29),0.11541 # DEPENDENCYPART_ARC
(25,1),-2.67088 # DEPENDENCYPART_ARC
(25,2),-4.69901 # DEPENDENCYPART_ARC
(25,3),-2.82373 # DEPENDENCYPART_ARC
(25,4),-3.44433 # DEPENDENCYPART_ARC
(25,5),-3.35407 # DEPENDENCYPART_ARC
(25,6),-2.84213 # DEPENDENCYPART_ARC
(25,7),-0.931065 # DEPENDENCYPART_ARC
(25,8),-2.06956 # DEPENDENCYPART_ARC
(25,9),-2.85197 # DEPENDENCYPART_ARC
(25,10),-3.2947 # DEPENDENCYPART_ARC
(25,11),-2.30251 # DEPENDENCYPART_ARC
(25,12),-2.17014 # DEPENDENCYPART_ARC
(25,13),-2.85012 # DEPENDENCYPART_ARC
(25,14),-3.40828 # DEPENDENCYPART_ARC
(25,15),-1.42385 # DEPENDENCYPART_ARC
(25,16),-0.695509 # DEPENDENCYPART_ARC
(25,17),-0.579614 # DEPENDENCYPART_ARC
(25,18),-1.51945 # DEPENDENCYPART_ARC
(25,19),-1.09169 # DEPENDENCYPART_ARC
(25,20),-0.94911 # DEPENDENCYPART_ARC
(25,21),-0.938247 # DEPENDENCYPART_ARC
(25,22),0.0362112 # DEPENDENCYPART_ARC
(25,23),0.240342 # DEPENDENCYPART_ARC
(25,24),-0.0154905 # DEPENDENCYPART_ARC
(25,26),0.318722 # DEPENDENCYPART_ARC
(25,27),1.98496 # DEPENDENCYPART_ARC
(25,28),2.89096 # DEPENDENCYPART_ARC
(25,29),-0.847566 # DEPENDENCYPART_ARC
(26,1),-5.16631 # DEPENDENCYPART_ARC
(26,2),-5.60598 # DEPENDENCYPART_ARC
(26,3),-4.68672 # DEPENDENCYPART_ARC
(26,4),-4.92089 # DEPENDENCYPART_ARC
(26,5),-4.89047 # DEPENDENCYPART_ARC
(26,6),-4.56821 # DEPENDENCYPART_ARC
(26,7),-4.08922 # DEPENDENCYPART_ARC
(26,8),-3.70209 # DEPENDENCYPART_ARC
(26,9),-4.30694 # DEPENDENCYPART_ARC
(26,10),-4.57037 # DEPENDENCYPART_ARC
(26,11),-4.02019 # DEPENDENCYPART_ARC
(26,12),-3.66593 # DEPENDENCYPART_ARC
(26,13),-4.22243 # DEPENDENCYPART_ARC
(26,14),-4.19939 # DEPENDENCYPART_ARC
(26,15),-3.43008 # DEPENDENCYPART_ARC
(26,16),-3.44995 # DEPENDENCYPART_ARC
(26,17),-2.85965 # DEPENDENCYPART_ARC
(26,18),-2.95349 # DEPENDENCYPART_ARC
(26,19),-3.12962 # DEPENDENCYPART_ARC
(26,20),-2.81733 # DEPENDENCYPART_ARC
(26,21),-2.86167 # DEPENDENCYPART_ARC
(26,22),-2.08724 # DEPENDENCYPART_ARC
(26,23),-1.44625 # DEPENDENCYPART_ARC
(26,24),-2.46132 # DEPENDENCYPART_ARC
(26,25),-1.14162 # DEPENDENCYPART_ARC
(26,27),0.365005 # DEPENDENCYPART_ARC
(26,28),-0.580246 # DEPENDENCYPART_ARC
(26,29),-1.67933 # DEPENDENCYPART_ARC
(27,1),-5.27625 # DEPENDENCYPART_ARC
(27,2),-10.3559 # DEPENDENCYPART_ARC
(27,3),-5.09814 # DEPENDENCYPART_ARC
(27,4),-11.2731 # DEPENDENCYPART_ARC
(27,5),-11.7294 # DEPENDENCYPART_ARC
(27,6),-4.60877 # DEPENDENCYPART_ARC
(27,7),-5.29353 # DEPENDENCYPART_ARC
(27,8),-4.83867 # DEPENDENCYPART_ARC
(27,9),-8.70977 # DEPENDENCYPART_ARC
(27,10),-7.85953 # DEPENDENCYPART_ARC
(27,11),-4.05118 # DEPENDENCYPART_ARC
(27,12),-4.08741 # DEPENDENCYPART_ARC
(27,13),-6.62805 # DEPENDENCYPART_ARC
(27,14),-7.91937 # DEPENDENCYPART_ARC
(27,15),-3.25714 # DEPENDENCYPART_ARC
(27,16),-4.07081 # DEPENDENCYPART_ARC
(27,17),-1.67018 # DEPENDENCYPART_ARC
(27,18),-2.68724 # DEPENDENCYPART_ARC
(27,19),-2.92674 # DEPENDENCYPART_ARC
(27,20),-3.78387 # DEPENDENCYPART_ARC
(27,21),-3.37873 # DEPENDENCYPART_ARC
(27,22),-1.22348 # DEPENDENCYPART_ARC
(27,23),-1.19845 # DEPENDENCYPART_ARC
(27,24),-2.37285 # DEPENDENCYPART_ARC
(27,25),-0.547088 # DEPENDENCYPART_ARC
(27,26),2.82521 # DEPENDENCYPART_ARC
(27,28),0.982474 # DEPENDENCYPART_ARC
(27,29),-0.739013 # DEPENDENCYPART_ARC
(28,1),-3.16448 # DEPENDENCYPART_ARC
(28,2),-7.24717 # DEPENDENCYPART_ARC
(28,3),-2.8573 # DEPENDENCYPART_ARC
(28,4),-8.08264 # DEPENDENCYPART_ARC
(28,5),-9.17542 # DEPENDENCYPART_ARC
(28,6),-2.00977 # DEPENDENCYPART_ARC
(28,7),-3.69601 # DEPENDENCYPART_ARC
(28,8),-1.73739 # DEPENDENCYPART_ARC
(28,9),-5.74993 # DEPENDENCYPART_ARC
(28,10),-5.12317 # DEPENDENCYPART_ARC
(28,11),-1.57034 # DEPENDENCYPART_ARC
(28,12),-1.93918 # DEPENDENCYPART_ARC
(28,13),-3.42929 # DEPENDENCYPART_ARC
(28,14),-5.06117 # DEPENDENCYPART_ARC
(28,15),-1.19029 # DEPENDENCYPART_ARC
(28,16),-2.41283 # DEPENDENCYPART_ARC
(28,17),-0.0140642 # DEPENDENCYPART_ARC
(28,18),-0.3072 # DEPENDENCYPART_ARC
(28,19),-0.300828 # DEPENDENCYPART_ARC
(28,20),-1.95572 # DEPENDENCYPART_ARC
(28,21),-0.564129 # DEPENDENCYPART_ARC
(28,22),0.472912 # DEPENDENCYPART_ARC
(28,23),1.67368 # DEPENDENCYPART_ARC
(28,24),0.469135 # DEPENDENCYPART_ARC
(28,25),1.14961 # DEPENDENCYPART_ARC
(28,26),4.9237 # DEPENDENCYPART_ARC
(28,27),4.50275 # DEPENDENCYPART_ARC
(28,29),0.543897 # DEPENDENCYPART_ARC
(29,1),-4.62514 # DEPENDENCYPART_ARC
(29,2),-2.10745 # DEPENDENCYPART_ARC
(29,3),-1.54122 # DEPENDENCYPART_ARC
(29,4),-3.07361 # DEPENDENCYPART_ARC
(29,5),-3.1713 # DEPENDENCYPART_ARC
(29,6),-3.15325 # DEPENDENCYPART_ARC
(29,7),-3.34948 # DEPENDENCYPART_ARC
(29,8),-2.15331 # DEPENDENCYPART_ARC
(29,9),-2.49632 # DEPENDENCYPART_ARC
(29,10),-1.49529 # DEPENDENCYPART_ARC
(29,11),-2.59931 # DEPENDENCYPART_ARC
(29,12),-2.29129 # DEPENDENCYPART_ARC
(29,13),-1.39124 # DEPENDENCYPART_ARC
(29,14),-1.36371 # DEPENDENCYPART_ARC
(29,15),-0.461248 # DEPENDENCYPART_ARC
(29,16),-1.62935 # DEPENDENCYPART_ARC
(29,17),-2.14402 # DEPENDENCYPART_ARC
(29,18),-0.397743 # DEPENDENCYPART_ARC
(29,19),-1.01572 # DEPENDENCYPART_ARC
(29,20),-1.42311 # DEPENDENCYPART_ARC
(29,21),-1.1932 # DEPENDENCYPART_ARC
(29,22),-1.59321 # DEPENDENCYPART_ARC
(29,23),-0.726618 # DEPENDENCYPART_ARC
(29,24),-1.44303 # DEPENDENCYPART_ARC
(29,25),-1.57924 # DEPENDENCYPART_ARC
(29,26),-0.329911 # DEPENDENCYPART_ARC
(29,27),-1.77887 # DEPENDENCYPART_ARC
(29,28),-1.70515 # DEPENDENCYPART_ARC
