# _root_ `` This is not the sort of market to have a big position in , '' said David Smith , who heads trading in all non-U.S. stocks .
#goldHeads=17,3,17,3,6,3,6,7,6,9,13,13,10,10,17,17,0,19,17,19,22,19,22,23,27,27,24,17,
#predictedHeads=17,3,17,3,6,3,6,7,6,9,13,13,10,13,17,17,0,19,17,19,22,19,22,23,27,27,24,17,
(18,24),-1.93345 # DEPENDENCYPART_ARC
(18,25),-0.804196 # DEPENDENCYPART_ARC
(18,26),-1.06405 # DEPENDENCYPART_ARC
(18,27),-1.34828 # DEPENDENCYPART_ARC
(18,28),0.301607 # DEPENDENCYPART_ARC
(19,1),-0.808003 # DEPENDENCYPART_ARC
(19,2),-3.67358 # DEPENDENCYPART_ARC
(19,3),-2.72619 # DEPENDENCYPART_ARC
(19,4),-1.40795 # DEPENDENCYPART_ARC
(19,5),-2.62708 # DEPENDENCYPART_ARC
(19,6),-3.85335 # DEPENDENCYPART_ARC
(19,7),-1.21345 # DEPENDENCYPART_ARC
(19,8),-2.06556 # DEPENDENCYPART_ARC
(19,9),-1.53994 # DEPENDENCYPART_ARC
(19,10),-0.816145 # DEPENDENCYPART_ARC
(19,11),0.543955 # DEPENDENCYPART_ARC
(19,12),0.270707 # DEPENDENCYPART_ARC
(19,13),-2.02461 # DEPENDENCYPART_ARC
(19,14),-0.0241358 # DEPENDENCYPART_ARC
(19,15),0.177083 # DEPENDENCYPART_ARC
(19,16),0.589356 # DEPENDENCYPART_ARC
(19,17),0.754494 # DEPENDENCYPART_ARC
(19,18),5.70003 # DEPENDENCYPART_ARC
(19,20),4.04763 # DEPENDENCYPART_ARC
(19,21),0.777221 # DEPENDENCYPART_ARC
(19,22),3.25663 # DEPENDENCYPART_ARC
(19,23),1.54824 # DEPENDENCYPART_ARC
(19,24),0.506156 # DEPENDENCYPART_ARC
(19,25),0.736478 # DEPENDENCYPART_ARC
(19,26),0.617166 # DEPENDENCYPART_ARC
(19,27),0.380187 # DEPENDENCYPART_ARC
(19,28),2.13378 # DEPENDENCYPART_ARC
(20,1),-2.74578 # DEPENDENCYPART_ARC
(20,2),-2.70345 # DEPENDENCYPART_ARC
(20,3),-2.83461 # DEPENDENCYPART_ARC
(20,4),-3.2893 # DEPENDENCYPART_ARC
(20,5),-2.43772 # DEPENDENCYPART_ARC
(20,6),-2.33207 # DEPENDENCYPART_ARC
(20,7),-2.29185 # DEPENDENCYPART_ARC
(20,8),-2.17226 # DEPENDENCYPART_ARC
(20,9),-1.74763 # DEPENDENCYPART_ARC
(20,10),-2.13045 # DEPENDENCYPART_ARC
(20,11),-1.61744 # DEPENDENCYPART_ARC
(20,12),-1.98685 # DEPENDENCYPART_ARC
(20,13),-1.81437 # DEPENDENCYPART_ARC
(20,14),-1.52264 # DEPENDENCYPART_ARC
(20,15),-0.686791 # DEPENDENCYPART_ARC
(20,16),-1.47661 # DEPENDENCYPART_ARC
(20,17),-1.2155 # DEPENDENCYPART_ARC
(20,18),-1.5893 # DEPENDENCYPART_ARC
(20,19),-1.036 # DEPENDENCYPART_ARC
(20,21),-0.771635 # DEPENDENCYPART_ARC
(20,22),-0.279003 # DEPENDENCYPART_ARC
(20,23),-1.24131 # DEPENDENCYPART_ARC
(20,24),-1.13208 # DEPENDENCYPART_ARC
(20,25),-1.65492 # DEPENDENCYPART_ARC
(20,26),-1.72621 # DEPENDENCYPART_ARC
(20,27),-2.00545 # DEPENDENCYPART_ARC
(20,28),-1.28093 # DEPENDENCYPART_ARC
(21,1),-3.24753 # DEPENDENCYPART_ARC
(21,2),-3.01657 # DEPENDENCYPART_ARC
(21,3),-3.01921 # DEPENDENCYPART_ARC
(21,4),-2.83542 # DEPENDENCYPART_ARC
(21,5),-2.70826 # DEPENDENCYPART_ARC
(21,6),-2.98793 # DEPENDENCYPART_ARC
(21,7),-2.37054 # DEPENDENCYPART_ARC
(21,8),-2.74714 # DEPENDENCYPART_ARC
(21,9),-2.31594 # DEPENDENCYPART_ARC
(21,10),-2.35839 # DEPENDENCYPART_ARC
(21,11),-1.81993 # DEPENDENCYPART_ARC
(21,12),-1.94052 # DEPENDENCYPART_ARC
(21,13),-2.12523 # DEPENDENCYPART_ARC
(21,14),-1.58396 # DEPENDENCYPART_ARC
(21,15),-1.51019 # DEPENDENCYPART_ARC
(21,16),-1.75147 # DEPENDENCYPART_ARC
(21,17),-1.49145 # DEPENDENCYPART_ARC
(21,18),-1.00771 # DEPENDENCYPART_ARC
(21,19),-0.918077 # DEPENDENCYPART_ARC
(21,20),0.111361 # DEPENDENCYPART_ARC
(21,22),0.389855 # DEPENDENCYPART_ARC
(21,23),-0.351391 # DEPENDENCYPART_ARC
(21,24),-0.62098 # DEPENDENCYPART_ARC
(21,25),-1.56536 # DEPENDENCYPART_ARC
(21,26),-1.37798 # DEPENDENCYPART_ARC
(21,27),-1.4974 # DEPENDENCYPART_ARC
(21,28),-0.430099 # DEPENDENCYPART_ARC
(22,1),0.534337 # DEPENDENCYPART_ARC
(22,2),-2.1278 # DEPENDENCYPART_ARC
(22,3),-1.58249 # DEPENDENCYPART_ARC
(22,4),-2.77938 # DEPENDENCYPART_ARC
(22,5),-3.06584 # DEPENDENCYPART_ARC
(22,6),-1.57344 # DEPENDENCYPART_ARC
(22,7),-2.45774 # DEPENDENCYPART_ARC
(22,8),-1.45858 # DEPENDENCYPART_ARC
(22,9),-1.94493 # DEPENDENCYPART_ARC
(22,10),-1.83225 # DEPENDENCYPART_ARC
(22,11),-1.99897 # DEPENDENCYPART_ARC
(22,12),-1.22633 # DEPENDENCYPART_ARC
(22,13),-1.08641 # DEPENDENCYPART_ARC
(22,14),-1.49872 # DEPENDENCYPART_ARC
(22,15),-0.818874 # DEPENDENCYPART_ARC
(22,16),0.131359 # DEPENDENCYPART_ARC
(22,17),-1.12717 # DEPENDENCYPART_ARC
(22,18),-0.0955767 # DEPENDENCYPART_ARC
(22,19),-0.509272 # DEPENDENCYPART_ARC
(22,20),0.173599 # DEPENDENCYPART_ARC
(22,21),3.59898 # DEPENDENCYPART_ARC
(22,23),3.25067 # DEPENDENCYPART_ARC
(22,24),2.18085 # DEPENDENCYPART_ARC
(22,25),-0.0445679 # DEPENDENCYPART_ARC
(22,26),-0.0858605 # DEPENDENCYPART_ARC
(22,27),1.17144 # DEPENDENCYPART_ARC
(22,28),1.39606 # DEPENDENCYPART_ARC
(23,1),-2.84001 # DEPENDENCYPART_ARC
(23,2),-8.3534 # DEPENDENCYPART_ARC
(23,3),-3.48039 # DEPENDENCYPART_ARC
(23,4),-4.65293 # DEPENDENCYPART_ARC
(23,5),-5.41369 # DEPENDENCYPART_ARC
(23,6),-5.71836 # DEPENDENCYPART_ARC
(23,7),-2.8523 # DEPENDENCYPART_ARC
(23,8),-4.52605 # DEPENDENCYPART_ARC
(23,9),-2.68486 # DEPENDENCYPART_ARC
(23,10),-2.33306 # DEPENDENCYPART_ARC
(23,11),-0.664187 # DEPENDENCYPART_ARC
(23,12),-0.486062 # DEPENDENCYPART_ARC
(23,13),-2.64014 # DEPENDENCYPART_ARC
(23,14),-2.00185 # DEPENDENCYPART_ARC
(23,15),-1.0927 # DEPENDENCYPART_ARC
(23,16),-0.810767 # DEPENDENCYPART_ARC
(23,17),-1.33203 # DEPENDENCYPART_ARC
(23,18),0.854808 # DEPENDENCYPART_ARC
(23,19),-0.420605 # DEPENDENCYPART_ARC
(23,20),-0.196099 # DEPENDENCYPART_ARC
(23,21),1.5786 # DEPENDENCYPART_ARC
(23,22),0.546765 # DEPENDENCYPART_ARC
(23,24),2.65837 # DEPENDENCYPART_ARC
(23,25),-0.011086 # DEPENDENCYPART_ARC
(23,26),0.320765 # DEPENDENCYPART_ARC
(23,27),0.678766 # DEPENDENCYPART_ARC
(23,28),0.0665316 # DEPENDENCYPART_ARC
(24,1),-0.909457 # DEPENDENCYPART_ARC
(24,2),-2.66932 # DEPENDENCYPART_ARC
(24,3),-1.98914 # DEPENDENCYPART_ARC
(24,4),-2.41676 # DEPENDENCYPART_ARC
(24,5),-2.05139 # DEPENDENCYPART_ARC
(24,6),-1.81999 # DEPENDENCYPART_ARC
(24,7),-2.27483 # DEPENDENCYPART_ARC
(24,8),-2.50079 # DEPENDENCYPART_ARC
(24,9),-1.90487 # DEPENDENCYPART_ARC
(24,10),-1.76479 # DEPENDENCYPART_ARC
(24,11),-1.46966 # DEPENDENCYPART_ARC
(24,12),-1.65586 # DEPENDENCYPART_ARC
(24,13),-1.99837 # DEPENDENCYPART_ARC
(24,14),-1.24289 # DEPENDENCYPART_ARC
(24,15),-0.494737 # DEPENDENCYPART_ARC
(24,16),-0.966853 # DEPENDENCYPART_ARC
(24,17),-0.710753 # DEPENDENCYPART_ARC
(24,18),-0.655057 # DEPENDENCYPART_ARC
(24,19),-0.837041 # DEPENDENCYPART_ARC
(24,20),0.0730885 # DEPENDENCYPART_ARC
(24,21),1.43922 # DEPENDENCYPART_ARC
(24,22),0.0656708 # DEPENDENCYPART_ARC
(24,23),1.25861 # DEPENDENCYPART_ARC
(24,25),1.16818 # DEPENDENCYPART_ARC
(24,26),1.5439 # DEPENDENCYPART_ARC
(24,27),3.8705 # DEPENDENCYPART_ARC
(24,28),-0.633015 # DEPENDENCYPART_ARC
(25,1),-4.36139 # DEPENDENCYPART_ARC
(25,2),-4.1104 # DEPENDENCYPART_ARC
(25,3),-3.91675 # DEPENDENCYPART_ARC
(25,4),-3.66669 # DEPENDENCYPART_ARC
(25,5),-3.55898 # DEPENDENCYPART_ARC
(25,6),-4.23254 # DEPENDENCYPART_ARC
(25,7),-3.26667 # DEPENDENCYPART_ARC
(25,8),-3.97006 # DEPENDENCYPART_ARC
(25,9),-3.26018 # DEPENDENCYPART_ARC
(25,10),-2.86433 # DEPENDENCYPART_ARC
(25,11),-2.96385 # DEPENDENCYPART_ARC
(25,12),-3.03851 # DEPENDENCYPART_ARC
(25,13),-3.49399 # DEPENDENCYPART_ARC
(25,14),-2.7083 # DEPENDENCYPART_ARC
(25,15),-2.59451 # DEPENDENCYPART_ARC
(25,16),-2.84288 # DEPENDENCYPART_ARC
(25,17),-2.46017 # DEPENDENCYPART_ARC
(25,18),-2.41236 # DEPENDENCYPART_ARC
(25,19),-2.27846 # DEPENDENCYPART_ARC
(25,20),-1.88111 # DEPENDENCYPART_ARC
(25,21),-0.899426 # DEPENDENCYPART_ARC
(25,22),-1.63721 # DEPENDENCYPART_ARC
(25,23),-1.76095 # DEPENDENCYPART_ARC
(25,24),-0.645543 # DEPENDENCYPART_ARC
(25,26),1.08304 # DEPENDENCYPART_ARC
(25,27),-0.0469276 # DEPENDENCYPART_ARC
(25,28),-0.29483 # DEPENDENCYPART_ARC
(26,1),-3.11357 # DEPENDENCYPART_ARC
(26,2),-3.56411 # DEPENDENCYPART_ARC
(26,3),-3.36417 # DEPENDENCYPART_ARC
(26,4),-3.73538 # DEPENDENCYPART_ARC
(26,5),-2.47783 # DEPENDENCYPART_ARC
(26,6),-2.40287 # DEPENDENCYPART_ARC
(26,7),-2.56794 # DEPENDENCYPART_ARC
(26,8),-2.34544 # DEPENDENCYPART_ARC
(26,9),-1.78682 # DEPENDENCYPART_ARC
(26,10),-2.52663 # DEPENDENCYPART_ARC
(26,11),-0.623072 # DEPENDENCYPART_ARC
(26,12),-1.76551 # DEPENDENCYPART_ARC
(26,13),-2.43416 # DEPENDENCYPART_ARC
(26,14),-1.90536 # DEPENDENCYPART_ARC
(26,15),-1.54612 # DEPENDENCYPART_ARC
(26,16),-1.87237 # DEPENDENCYPART_ARC
(26,17),-2.14599 # DEPENDENCYPART_ARC
(26,18),-1.30282 # DEPENDENCYPART_ARC
(26,19),-2.0019 # DEPENDENCYPART_ARC
(26,20),-1.1449 # DEPENDENCYPART_ARC
(26,21),0.139147 # DEPENDENCYPART_ARC
(26,22),-1.18448 # DEPENDENCYPART_ARC
(26,23),-0.109768 # DEPENDENCYPART_ARC
(26,24),0.153298 # DEPENDENCYPART_ARC
(26,25),1.5813 # DEPENDENCYPART_ARC
(26,27),0.948242 # DEPENDENCYPART_ARC
(26,28),0.0423258 # DEPENDENCYPART_ARC
(27,1),-2.56085 # DEPENDENCYPART_ARC
(27,2),-7.30879 # DEPENDENCYPART_ARC
(27,3),-1.80365 # DEPENDENCYPART_ARC
(27,4),-4.25568 # DEPENDENCYPART_ARC
(27,5),-5.05658 # DEPENDENCYPART_ARC
(27,6),-4.62179 # DEPENDENCYPART_ARC
(27,7),-1.50551 # DEPENDENCYPART_ARC
(27,8),-3.68561 # DEPENDENCYPART_ARC
(27,9),-2.27809 # DEPENDENCYPART_ARC
(27,10),-1.79152 # DEPENDENCYPART_ARC
(27,11),-1.6262 # DEPENDENCYPART_ARC
(27,12),-0.970861 # DEPENDENCYPART_ARC
(27,13),-2.86821 # DEPENDENCYPART_ARC
(27,14),-0.921593 # DEPENDENCYPART_ARC
(27,15),-0.348471 # DEPENDENCYPART_ARC
(27,16),-0.05027 # DEPENDENCYPART_ARC
(27,17),-0.802059 # DEPENDENCYPART_ARC
(27,18),-0.247743 # DEPENDENCYPART_ARC
(27,19),-1.5148 # DEPENDENCYPART_ARC
(27,20),-0.583233 # DEPENDENCYPART_ARC
(27,21),0.344143 # DEPENDENCYPART_ARC
(27,22),0.129116 # DEPENDENCYPART_ARC
(27,23),0.154544 # DEPENDENCYPART_ARC
(27,24),0.442003 # DEPENDENCYPART_ARC
(27,25),4.75513 # DEPENDENCYPART_ARC
(27,26),3.99912 # DEPENDENCYPART_ARC
(27,28),0.249681 # DEPENDENCYPART_ARC
(28,1),-3.1392 # DEPENDENCYPART_ARC
(28,2),-3.28714 # DEPENDENCYPART_ARC
(28,3),-3.48179 # DEPENDENCYPART_ARC
(28,4),-2.86802 # DEPENDENCYPART_ARC
(28,5),-3.03639 # DEPENDENCYPART_ARC
(28,6),-2.89863 # DEPENDENCYPART_ARC
(28,7),-3.40207 # DEPENDENCYPART_ARC
(28,8),-2.74709 # DEPENDENCYPART_ARC
(28,9),-2.79025 # DEPENDENCYPART_ARC
(28,10),-3.01914 # DEPENDENCYPART_ARC
(28,11),-2.5942 # DEPENDENCYPART_ARC
(28,12),-2.68404 # DEPENDENCYPART_ARC
(28,13),-2.20065 # DEPENDENCYPART_ARC
(28,14),-2.33393 # DEPENDENCYPART_ARC
(28,15),-0.841485 # DEPENDENCYPART_ARC
(28,16),-1.96392 # DEPENDENCYPART_ARC
(28,17),-1.54812 # DEPENDENCYPART_ARC
(28,18),-1.80724 # DEPENDENCYPART_ARC
(28,19),-1.95712 # DEPENDENCYPART_ARC
(28,20),-0.391632 # DEPENDENCYPART_ARC
(28,21),-0.644698 # DEPENDENCYPART_ARC
(28,22),-1.03457 # DEPENDENCYPART_ARC
(28,23),-1.57989 # DEPENDENCYPART_ARC
(28,24),-1.47771 # DEPENDENCYPART_ARC
(28,25),-0.636884 # DEPENDENCYPART_ARC
(28,26),-1.6682 # DEPENDENCYPART_ARC
(28,27),-1.69939 # DEPENDENCYPART_ARC
