# _root_ `` We 're encouraged that talks are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .
#goldHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
#predictedHeads=26,3,26,3,4,7,5,7,8,5,10,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
(19,17),-0.322433 # DEPENDENCYPART_ARC
(19,18),0.359986 # DEPENDENCYPART_ARC
(19,20),4.6911 # DEPENDENCYPART_ARC
(19,21),0.736411 # DEPENDENCYPART_ARC
(19,22),0.394758 # DEPENDENCYPART_ARC
(19,23),-1.25725 # DEPENDENCYPART_ARC
(19,24),-0.779673 # DEPENDENCYPART_ARC
(19,25),-0.813149 # DEPENDENCYPART_ARC
(19,26),-0.505568 # DEPENDENCYPART_ARC
(19,27),0.181738 # DEPENDENCYPART_ARC
(20,1),-3.65193 # DEPENDENCYPART_ARC
(20,2),-3.15642 # DEPENDENCYPART_ARC
(20,3),-3.22971 # DEPENDENCYPART_ARC
(20,4),-3.53165 # DEPENDENCYPART_ARC
(20,5),-2.83862 # DEPENDENCYPART_ARC
(20,6),-3.72934 # DEPENDENCYPART_ARC
(20,7),-2.62496 # DEPENDENCYPART_ARC
(20,8),-2.46881 # DEPENDENCYPART_ARC
(20,9),-3.20522 # DEPENDENCYPART_ARC
(20,10),-2.17608 # DEPENDENCYPART_ARC
(20,11),-1.25115 # DEPENDENCYPART_ARC
(20,12),-3.3534 # DEPENDENCYPART_ARC
(20,13),-1.46448 # DEPENDENCYPART_ARC
(20,14),-1.57172 # DEPENDENCYPART_ARC
(20,15),-1.7413 # DEPENDENCYPART_ARC
(20,16),-0.726765 # DEPENDENCYPART_ARC
(20,17),0.662474 # DEPENDENCYPART_ARC
(20,18),0.157544 # DEPENDENCYPART_ARC
(20,19),0.837727 # DEPENDENCYPART_ARC
(20,21),1.06303 # DEPENDENCYPART_ARC
(20,22),1.30289 # DEPENDENCYPART_ARC
(20,23),0.293225 # DEPENDENCYPART_ARC
(20,24),0.00838017 # DEPENDENCYPART_ARC
(20,25),0.125284 # DEPENDENCYPART_ARC
(20,26),0.232352 # DEPENDENCYPART_ARC
(20,27),-0.144006 # DEPENDENCYPART_ARC
(21,1),-2.70553 # DEPENDENCYPART_ARC
(21,2),-3.08064 # DEPENDENCYPART_ARC
(21,3),-3.13787 # DEPENDENCYPART_ARC
(21,4),-1.79036 # DEPENDENCYPART_ARC
(21,5),-2.45857 # DEPENDENCYPART_ARC
(21,6),-2.61307 # DEPENDENCYPART_ARC
(21,7),-2.63166 # DEPENDENCYPART_ARC
(21,8),-1.49923 # DEPENDENCYPART_ARC
(21,9),-2.71386 # DEPENDENCYPART_ARC
(21,10),-2.2311 # DEPENDENCYPART_ARC
(21,11),-1.8058 # DEPENDENCYPART_ARC
(21,12),-1.51136 # DEPENDENCYPART_ARC
(21,13),-0.184986 # DEPENDENCYPART_ARC
(21,14),-1.82421 # DEPENDENCYPART_ARC
(21,15),-1.79559 # DEPENDENCYPART_ARC
(21,16),-1.23831 # DEPENDENCYPART_ARC
(21,17),-0.840117 # DEPENDENCYPART_ARC
(21,18),-0.952141 # DEPENDENCYPART_ARC
(21,19),-0.95592 # DEPENDENCYPART_ARC
(21,20),-0.938511 # DEPENDENCYPART_ARC
(21,22),0.333253 # DEPENDENCYPART_ARC
(21,23),-0.75405 # DEPENDENCYPART_ARC
(21,24),-0.76331 # DEPENDENCYPART_ARC
(21,25),-1.35973 # DEPENDENCYPART_ARC
(21,26),-0.904562 # DEPENDENCYPART_ARC
(21,27),-0.88667 # DEPENDENCYPART_ARC
(22,1),-1.76345 # DEPENDENCYPART_ARC
(22,2),-3.46365 # DEPENDENCYPART_ARC
(22,3),-3.13897 # DEPENDENCYPART_ARC
(22,4),-3.00375 # DEPENDENCYPART_ARC
(22,5),-2.87852 # DEPENDENCYPART_ARC
(22,6),-2.92864 # DEPENDENCYPART_ARC
(22,7),-2.73027 # DEPENDENCYPART_ARC
(22,8),-2.65572 # DEPENDENCYPART_ARC
(22,9),-2.90393 # DEPENDENCYPART_ARC
(22,10),-2.61147 # DEPENDENCYPART_ARC
(22,11),-2.15682 # DEPENDENCYPART_ARC
(22,12),-1.64799 # DEPENDENCYPART_ARC
(22,13),-1.7439 # DEPENDENCYPART_ARC
(22,14),-2.17689 # DEPENDENCYPART_ARC
(22,15),-1.96118 # DEPENDENCYPART_ARC
(22,16),-1.78851 # DEPENDENCYPART_ARC
(22,17),-0.926585 # DEPENDENCYPART_ARC
(22,18),-1.69724 # DEPENDENCYPART_ARC
(22,19),-0.897627 # DEPENDENCYPART_ARC
(22,20),-1.22242 # DEPENDENCYPART_ARC
(22,21),0.0613796 # DEPENDENCYPART_ARC
(22,23),-0.159264 # DEPENDENCYPART_ARC
(22,24),-0.318825 # DEPENDENCYPART_ARC
(22,25),-0.715198 # DEPENDENCYPART_ARC
(22,26),-0.764281 # DEPENDENCYPART_ARC
(22,27),-0.926474 # DEPENDENCYPART_ARC
(23,1),-2.54469 # DEPENDENCYPART_ARC
(23,2),-2.30244 # DEPENDENCYPART_ARC
(23,3),-2.50129 # DEPENDENCYPART_ARC
(23,4),-2.27636 # DEPENDENCYPART_ARC
(23,5),-1.70988 # DEPENDENCYPART_ARC
(23,6),-2.2668 # DEPENDENCYPART_ARC
(23,7),-2.05817 # DEPENDENCYPART_ARC
(23,8),-1.86813 # DEPENDENCYPART_ARC
(23,9),-2.17311 # DEPENDENCYPART_ARC
(23,10),-2.08898 # DEPENDENCYPART_ARC
(23,11),-0.913685 # DEPENDENCYPART_ARC
(23,12),-1.1517 # DEPENDENCYPART_ARC
(23,13),-1.27964 # DEPENDENCYPART_ARC
(23,14),-1.16043 # DEPENDENCYPART_ARC
(23,15),-1.30056 # DEPENDENCYPART_ARC
(23,16),-1.05239 # DEPENDENCYPART_ARC
(23,17),-0.161018 # DEPENDENCYPART_ARC
(23,18),-0.943544 # DEPENDENCYPART_ARC
(23,19),0.131896 # DEPENDENCYPART_ARC
(23,20),-0.250371 # DEPENDENCYPART_ARC
(23,21),0.163574 # DEPENDENCYPART_ARC
(23,22),0.650308 # DEPENDENCYPART_ARC
(23,24),0.961282 # DEPENDENCYPART_ARC
(23,25),0.420032 # DEPENDENCYPART_ARC
(23,26),0.694813 # DEPENDENCYPART_ARC
(23,27),-0.680476 # DEPENDENCYPART_ARC
(24,1),-3.07291 # DEPENDENCYPART_ARC
(24,2),-1.99061 # DEPENDENCYPART_ARC
(24,3),-1.88594 # DEPENDENCYPART_ARC
(24,4),-2.1224 # DEPENDENCYPART_ARC
(24,5),-1.7125 # DEPENDENCYPART_ARC
(24,6),-1.36324 # DEPENDENCYPART_ARC
(24,7),-1.121 # DEPENDENCYPART_ARC
(24,8),-1.66679 # DEPENDENCYPART_ARC
(24,9),-2.17201 # DEPENDENCYPART_ARC
(24,10),-2.31482 # DEPENDENCYPART_ARC
(24,11),-1.94417 # DEPENDENCYPART_ARC
(24,12),-1.01607 # DEPENDENCYPART_ARC
(24,13),-1.25674 # DEPENDENCYPART_ARC
(24,14),-0.882985 # DEPENDENCYPART_ARC
(24,15),-1.06365 # DEPENDENCYPART_ARC
(24,16),-0.848916 # DEPENDENCYPART_ARC
(24,17),-0.263249 # DEPENDENCYPART_ARC
(24,18),-0.644126 # DEPENDENCYPART_ARC
(24,19),-0.501008 # DEPENDENCYPART_ARC
(24,20),0.250756 # DEPENDENCYPART_ARC
(24,21),0.126282 # DEPENDENCYPART_ARC
(24,22),-0.266411 # DEPENDENCYPART_ARC
(24,23),1.46627 # DEPENDENCYPART_ARC
(24,25),1.35529 # DEPENDENCYPART_ARC
(24,26),1.36656 # DEPENDENCYPART_ARC
(24,27),0.253769 # DEPENDENCYPART_ARC
(25,1),-2.75899 # DEPENDENCYPART_ARC
(25,2),-3.17809 # DEPENDENCYPART_ARC
(25,3),-2.68486 # DEPENDENCYPART_ARC
(25,4),-3.79597 # DEPENDENCYPART_ARC
(25,5),-2.42767 # DEPENDENCYPART_ARC
(25,6),-2.8431 # DEPENDENCYPART_ARC
(25,7),-2.6083 # DEPENDENCYPART_ARC
(25,8),-2.71734 # DEPENDENCYPART_ARC
(25,9),-4.41034 # DEPENDENCYPART_ARC
(25,10),-1.43527 # DEPENDENCYPART_ARC
(25,11),-1.22868 # DEPENDENCYPART_ARC
(25,12),-3.77296 # DEPENDENCYPART_ARC
(25,13),-1.18151 # DEPENDENCYPART_ARC
(25,14),-1.5022 # DEPENDENCYPART_ARC
(25,15),-1.3755 # DEPENDENCYPART_ARC
(25,16),-1.11679 # DEPENDENCYPART_ARC
(25,17),0.571804 # DEPENDENCYPART_ARC
(25,18),-1.39291 # DEPENDENCYPART_ARC
(25,19),-0.709029 # DEPENDENCYPART_ARC
(25,20),-0.144739 # DEPENDENCYPART_ARC
(25,21),-0.0449578 # DEPENDENCYPART_ARC
(25,22),0.804063 # DEPENDENCYPART_ARC
(25,23),4.11037 # DEPENDENCYPART_ARC
(25,24),4.06574 # DEPENDENCYPART_ARC
(25,26),0.851781 # DEPENDENCYPART_ARC
(25,27),0.0784537 # DEPENDENCYPART_ARC
(26,1),4.65217 # DEPENDENCYPART_ARC
(26,2),-1.94411 # DEPENDENCYPART_ARC
(26,3),0.816731 # DEPENDENCYPART_ARC
(26,4),-0.212468 # DEPENDENCYPART_ARC
(26,5),-4.19631 # DEPENDENCYPART_ARC
(26,6),-2.21626 # DEPENDENCYPART_ARC
(26,7),1.64916 # DEPENDENCYPART_ARC
(26,8),0.115899 # DEPENDENCYPART_ARC
(26,9),-1.01534 # DEPENDENCYPART_ARC
(26,10),-0.322936 # DEPENDENCYPART_ARC
(26,11),-0.885679 # DEPENDENCYPART_ARC
(26,12),-3.68862 # DEPENDENCYPART_ARC
(26,13),1.92396 # DEPENDENCYPART_ARC
(26,14),-0.206738 # DEPENDENCYPART_ARC
(26,15),1.75327 # DEPENDENCYPART_ARC
(26,16),0.234603 # DEPENDENCYPART_ARC
(26,17),-1.13497 # DEPENDENCYPART_ARC
(26,18),-0.120902 # DEPENDENCYPART_ARC
(26,19),-1.39185 # DEPENDENCYPART_ARC
(26,20),0.238417 # DEPENDENCYPART_ARC
(26,21),3.88865 # DEPENDENCYPART_ARC
(26,22),3.48456 # DEPENDENCYPART_ARC
(26,23),0.940656 # DEPENDENCYPART_ARC
(26,24),0.996215 # DEPENDENCYPART_ARC
(26,25),3.50673 # DEPENDENCYPART_ARC
(26,27),7.30349 # DEPENDENCYPART_ARC
(27,1),-3.27317 # DEPENDENCYPART_ARC
(27,2),-2.75772 # DEPENDENCYPART_ARC
(27,3),-2.80569 # DEPENDENCYPART_ARC
(27,4),-3.27784 # DEPENDENCYPART_ARC
(27,5),-3.59765 # DEPENDENCYPART_ARC
(27,6),-3.07384 # DEPENDENCYPART_ARC
(27,7),-2.61014 # DEPENDENCYPART_ARC
(27,8),-2.72997 # DEPENDENCYPART_ARC
(27,9),-2.19819 # DEPENDENCYPART_ARC
(27,10),-2.40137 # DEPENDENCYPART_ARC
(27,11),-2.97163 # DEPENDENCYPART_ARC
(27,12),-2.38842 # DEPENDENCYPART_ARC
(27,13),-0.878963 # DEPENDENCYPART_ARC
(27,14),-1.76056 # DEPENDENCYPART_ARC
(27,15),-1.95581 # DEPENDENCYPART_ARC
(27,16),-1.90283 # DEPENDENCYPART_ARC
(27,17),-1.65467 # DEPENDENCYPART_ARC
(27,18),-1.99232 # DEPENDENCYPART_ARC
(27,19),-1.94484 # DEPENDENCYPART_ARC
(27,20),-1.89889 # DEPENDENCYPART_ARC
(27,21),-0.324351 # DEPENDENCYPART_ARC
(27,22),-1.70546 # DEPENDENCYPART_ARC
(27,23),-1.1606 # DEPENDENCYPART_ARC
(27,24),-1.03698 # DEPENDENCYPART_ARC
(27,25),-2.02707 # DEPENDENCYPART_ARC
(27,26),-0.991395 # DEPENDENCYPART_ARC
