# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(0,6),(6,6),(6,16),-0.10984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,17),0.00882496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,18),0.0655245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,19),-0.0693904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,20),-0.0138382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,23),-0.0886762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,27),-0.0415161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,28),-0.143148 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,7),(6,8),-0.0469412 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,9),-0.0557518 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,10),-0.0421454 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,14),-0.0261954 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,15),-0.0575255 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,16),-0.065634 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,17),-0.0466138 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,18),-0.0575255 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,19),-0.0478402 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,20),-0.0553815 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,23),-0.00675928 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,27),-0.0587887 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,28),-0.0462217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,8),(6,9),-0.0282854 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,10),-0.0467151 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,14),-0.0291841 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,15),-0.138026 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,16),-0.0172955 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,17),-0.0510594 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,18),-0.138026 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,19),-0.0441334 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,20),-0.0282444 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,23),-0.0526038 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,27),-0.0137534 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,28),-0.0582169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,9),(6,10),-0.0467324 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,14),-0.0584897 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,15),-0.0170673 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,16),-0.015546 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,17),-0.0337097 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,18),-0.0170673 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,19),-0.037441 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,20),-0.0240639 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,23),-0.0481219 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,27),-0.0462481 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,28),-0.0696578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,10),(6,14),-0.0293916 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,15),-0.118996 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,16),-0.027566 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,17),-0.0464064 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,18),-0.118996 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,19),-0.0422574 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,20),-0.047617 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,23),-0.0350323 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,27),-0.00900725 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,28),-0.0942614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,14),(6,15),-0.0503869 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,16),-0.0408318 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,17),-0.0640652 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,18),-0.0503869 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,19),-0.0551296 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,20),-0.0721053 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,23),-0.0297524 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,27),-0.0475081 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,28),-0.123567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,15),(6,16),0.014835 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,17),-0.0719946 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,18),-0.0329929 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,19),-0.000493072 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,20),-0.098743 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,23),0.0159852 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,27),-0.0252874 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,28),0.146531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,16),(6,17),-0.0335024 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,18),-0.0482166 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,19),-0.0440271 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,20),-0.0150344 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,23),-0.0449401 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,27),0.0197211 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,28),-0.135354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,17),(6,18),-0.13022 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,19),-0.0441334 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,20),-0.0282137 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,23),-0.0526038 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,27),0.00418975 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,28),-0.0570602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,18),(6,19),-0.000493072 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,20),-0.098743 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,23),0.0159852 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,27),-0.0252874 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,28),0.146531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,19),(6,20),-0.0450752 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,19),(6,23),-0.0346195 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,19),(6,27),-0.0628358 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,19),(6,28),0.0724604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,20),(6,23),-0.0471985 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,20),(6,27),-0.042389 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,20),(6,28),-0.0696552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,23),(6,27),0.0372752 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,23),(6,28),-0.0277112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,27),(6,28),0.0868909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,5),0.203944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,4),0.204845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,3),0.150595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,2),0.267213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,-1),-0.364131 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,5),(6,4),0.034544 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,3),0.0813697 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,2),0.0760059 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,-1),-0.0389434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,4),(6,3),0.0811166 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,2),0.0760059 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,-1),-0.0423543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,3),(6,2),0.164804 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,3),(6,-1),-0.118702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,2),(6,-1),-0.0668652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,9),-0.00582715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,10),0.028658 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,12),-0.0196758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,13),-0.0715923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,14),-0.0159057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,15),0.0165423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,16),-0.109314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,17),-0.0465021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,18),0.0165423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,19),-0.0615457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,20),-0.0287743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,22),0.0480804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,23),-0.110786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,24),-0.0809992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,26),0.0396725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,27),-0.0663445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,28),-0.145154 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,9),(8,10),-0.0359091 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,12),-0.0622911 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,13),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,14),-0.0622908 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,15),-0.0113657 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,16),-0.0145752 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,17),-0.0314942 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,18),-0.0113657 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,19),-0.0374383 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,20),-0.0256134 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,22),-0.0480374 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,23),-0.0497282 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,24),-0.0596289 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,26),-0.0594826 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,27),-0.0587411 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,28),-0.0678074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,10),(8,12),-0.0279762 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,14),-0.0279762 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,15),-0.12184 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,16),-0.0194774 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,17),-0.0467263 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,18),-0.12184 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,19),-0.0422574 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,20),-0.048959 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,22),-0.0468569 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,23),-0.0350382 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,24),-0.043275 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,26),-0.0378147 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,27),0.0173215 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,28),-0.0992604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,12),(8,13),-0.042429 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,14),0.00190097 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,15),-0.0582505 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,16),-0.0381032 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,17),-0.0626943 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,18),-0.0582505 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,19),-0.0536799 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,20),-0.0748503 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,22),-0.016635 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,23),-0.0359739 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,24),0.0252733 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,26),-0.0450985 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,27),-0.0581598 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,28),-0.119607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,13),(8,14),-0.0420812 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,15),-0.0468942 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,16),-0.0423656 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,18),-0.0468942 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,19),-0.0441658 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,23),-0.0420525 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,24),-0.0436555 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,27),-0.0343453 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,28),-0.0528539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,14),(8,15),-0.0574915 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,16),-0.0380795 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,17),-0.0626943 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,18),-0.0574915 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,19),-0.0536799 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,20),-0.0748503 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,22),-0.0163045 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,23),-0.0359739 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,24),0.0283886 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,26),-0.0450985 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,27),-0.0528694 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,28),-0.119606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,15),(8,16),0.0277041 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,17),-0.0771167 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,18),-0.0276616 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,19),-0.00104714 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,20),-0.0949095 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,22),-0.160269 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,23),-0.00237669 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,24),-0.0169813 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,26),-0.128812 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,27),-0.000754338 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,28),0.121562 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,16),(8,17),-0.0353043 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,18),-0.047285 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,19),-0.0439986 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,20),-0.0113295 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,22),-0.0433569 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,23),-0.0445167 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,24),-0.0164731 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,26),-0.0370603 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,27),0.0354149 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,28),-0.129081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,17),(8,18),-0.118185 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,19),-0.0439536 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,20),-0.0273355 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,22),-0.0443213 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,23),-0.0490729 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,24),-0.0443358 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,26),-0.0420439 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,27),-0.00351735 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,28),-0.0508548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,18),(8,19),-0.00104714 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,18),(8,20),-0.0949095 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,18),(8,22),-0.160269 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,18),(8,23),-0.00237669 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,18),(8,24),-0.0169813 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,18),(8,26),-0.128812 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,18),(8,27),-0.000754338 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,18),(8,28),0.121562 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,19),(8,20),-0.0469666 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,19),(8,22),-0.0500033 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,19),(8,23),-0.0344234 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,19),(8,24),-0.0819985 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,19),(8,26),-0.0376819 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,19),(8,27),-0.0602311 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,19),(8,28),0.0516498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,20),(8,22),-0.0479456 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,20),(8,23),-0.0488049 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,20),(8,24),-0.0514409 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,20),(8,26),-0.053924 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,20),(8,27),-0.0548819 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,20),(8,28),-0.0678048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,22),(8,23),-0.0317686 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,22),(8,24),-0.00443764 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,22),(8,26),-0.0269531 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,22),(8,27),-0.0556856 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,22),(8,28),-0.0684181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,23),(8,24),-0.0595262 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,23),(8,26),-0.0424655 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,23),(8,27),-0.0112791 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,23),(8,28),-0.0388989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,24),(8,26),-0.0626157 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,24),(8,27),-0.000405452 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,24),(8,28),-0.127502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,26),(8,27),-0.0870414 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,26),(8,28),-0.0427742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,27),(8,28),0.0686578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,7),0.153548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,6),0.064659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,5),0.19134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,4),0.192241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,3),0.135027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,2),0.237933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,-1),-0.354754 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,7),(8,6),0.119998 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,5),0.100474 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,4),0.100474 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,3),0.134483 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,2),0.142733 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,-1),-0.159178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,6),(8,5),0.0892088 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,4),0.0892088 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,3),0.0971521 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,2),0.0871963 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,-1),-0.0579588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,5),(8,4),0.0428266 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,3),0.108443 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,2),0.0803694 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,-1),-0.0444009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,4),(8,3),0.10819 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,4),(8,2),0.0803694 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,4),(8,-1),-0.0478118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,3),(8,2),0.163897 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,3),(8,-1),-0.0836633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,2),(8,-1),-0.0545462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,17),(17,18),0.0264156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,19),-0.0613868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,20),-0.0234179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,21),0.0596381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,22),0.0606459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,23),-0.108751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,24),-0.063991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,26),0.0172334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,27),-0.0411245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,28),-0.145318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,17),(17,18),(17,19),-0.0011236 # DEPENDENCYPART_GRANDSIBL
