# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(6,1),(1,7),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,12),-0.064157 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,24),-0.064243 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,26),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,27),-0.0435826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,8),(1,11),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,12),-0.0646423 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,15),-0.0641593 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,24),-0.0641501 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,26),-0.0645076 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,27),-0.0262108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,11),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,24),-0.0642531 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,26),-0.0641464 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,27),-0.00624001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,12),(1,15),-0.0650497 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,12),(1,24),-0.0650387 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,12),(1,26),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,12),(1,27),-0.12771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,15),(1,24),-0.0642201 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,15),(1,26),-0.0661899 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,15),(1,27),0.0336665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,24),(1,26),-0.0654287 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,24),(1,27),-0.133181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,26),(1,27),-0.0417676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,1),(1,-1),-0.164792 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,3),(3,4),0.0888283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,5),0.0810516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,6),-0.0666209 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,3),(3,7),-0.0647958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,11),-0.0641812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,12),-0.0642335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,27),-0.0299825 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,4),(3,5),0.0979374 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,4),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,27),-0.0991194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,5),(3,6),-0.0641513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,5),(3,7),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,11),-0.064166 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,12),-0.0830956 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,27),-0.0910788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,6),(3,7),-0.0642444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,12),-0.0713872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,27),-0.0705217 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,7),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,7),(3,12),-0.0642534 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,7),(3,27),-0.0683566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,11),(3,12),-0.0652662 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,11),(3,27),-0.0881146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,12),(3,27),-0.0790403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,3),(3,2),-0.0501012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,1),-0.0510039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,-1),0.0757622 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,2),(3,1),-0.0490844 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,2),(3,-1),0.122924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,1),(3,-1),-0.0493619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,6),-0.0642033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,4),(4,27),-0.0724063 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,6),(4,27),-0.0656147 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,4),(4,1),-0.040288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,-1),-0.0514892 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,1),(4,-1),-0.029291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,5),(5,6),-0.0665339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,5),(5,7),-0.06894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,8),0.0371295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,12),-0.0641609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,15),-0.0699926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,27),-0.0971206 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,6),(5,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,8),-0.0641504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,12),-0.0690813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,15),-0.067747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,27),-0.00905386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,7),(5,8),-0.0646349 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,12),-0.0687737 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,27),-0.0777908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,8),(5,12),-0.0686481 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,15),-0.064535 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,27),0.11679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,12),(5,15),-0.0739921 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,27),-0.0223086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,15),(5,27),-0.0140518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,5),(5,4),-0.0938802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,3),-0.012582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,2),-0.0161323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,1),-0.100749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,-1),-0.00363003 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,4),(5,3),-0.0446335 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,4),(5,2),-0.0446335 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,4),(5,1),-0.0424232 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,4),(5,-1),-0.0563581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,3),(5,2),-0.0226392 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,3),(5,1),-0.0338123 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,3),(5,-1),-0.0205799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,2),(5,1),-0.0338125 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,2),(5,-1),-0.0241413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,1),(5,-1),-0.00369174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,7),(7,8),-0.0880064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,9),-0.0510768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,10),-0.00954515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,11),-0.0391515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,12),-0.0763213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,14),-0.0249172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,15),-0.0421888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,17),-0.0397811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,18),-0.0250599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,19),-0.0694331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,21),-0.0391515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,22),-0.0763213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,23),0.0379796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,24),-0.0791634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,26),-0.0470027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,27),0.0337955 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,8),(7,9),-0.0451207 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,10),-0.0469416 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,11),-0.0510895 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,12),-0.0519357 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,14),-0.0139471 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,15),-0.041789 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,17),-0.0510895 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,18),-0.0478752 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,19),-0.0470826 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,21),-0.0510895 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,22),-0.0519357 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,23),-0.0218145 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,24),-0.0192344 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,26),-0.0444427 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,27),-0.0718843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,9),(7,10),-0.0420209 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,12),-0.0307002 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,14),-0.0410449 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,18),-0.0420241 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,19),-0.0413908 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,22),-0.0307002 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,23),-0.0430371 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,27),-0.0628267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,10),(7,11),-0.0423925 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,12),-0.00949391 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,14),-0.0439715 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,15),-0.0451859 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,17),-0.0423925 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,18),-0.0420368 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,19),-0.0215185 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,21),-0.0423925 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,22),-0.00949391 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,23),-0.0455906 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,24),-0.0561123 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,26),-0.0421192 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,27),-0.0283537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,11),(7,12),-0.0436564 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,14),-0.0422561 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,15),-0.0406357 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,17),-0.0372184 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,18),-0.0422666 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,19),-0.0321196 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,21),-0.0372184 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,22),-0.0436564 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,23),-0.04358 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,24),-0.043422 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,26),-0.0432483 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,27),-0.069408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,12),(7,14),-0.049132 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,15),-0.0567571 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,17),-0.0516872 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,18),-0.0361309 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,19),-0.0574551 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,21),-0.0516864 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,22),-0.0429783 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,23),-0.0486945 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,24),-0.118193 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,26),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,27),-0.0578491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,14),(7,15),-0.0404249 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,17),-0.0406663 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,18),-0.042016 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,19),-0.0412942 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,21),-0.0406663 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,22),-0.0299573 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,23),-0.0411037 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,24),-0.0469948 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,26),-0.0391428 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,27),-0.0477854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,15),(7,17),-0.042014 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,18),-0.0420518 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,19),-0.0443453 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,21),-0.042014 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,22),-0.0394598 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,23),-0.0422504 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,24),-0.0449728 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,26),-0.0420312 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,27),-0.0524729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,17),(7,18),-0.0422666 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,17),(7,19),-0.0321196 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,17),(7,21),-0.0372184 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,17),(7,22),-0.0439623 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,17),(7,23),-0.04358 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,17),(7,24),-0.043422 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,17),(7,26),-0.0432483 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,17),(7,27),-0.0697403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,18),(7,19),-0.0427456 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,21),-0.0420168 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,22),-0.0476798 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,24),-0.0434376 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,26),-0.0420392 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,18),(7,27),-0.0385102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,19),(7,21),-0.050448 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,19),(7,22),-0.0675111 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,19),(7,23),-0.0274885 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,19),(7,24),-0.00676831 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,19),(7,26),-0.044442 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,19),(7,27),-0.0365016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,21),(7,22),-0.0436564 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,21),(7,23),-0.04358 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,21),(7,24),-0.043422 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,21),(7,26),-0.0432483 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,21),(7,27),-0.069408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,22),(7,23),-0.0486945 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,22),(7,24),-0.118193 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,22),(7,26),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,22),(7,27),-0.0578491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,23),(7,24),-0.0480572 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,23),(7,26),-0.0427585 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,23),(7,27),0.0167548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,24),(7,26),-0.0423447 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,24),(7,27),-0.0761063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,26),(7,27),-0.0543068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,7),(7,6),0.0964316 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,7),(7,5),-0.0651256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,3),-0.0663268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,1),-0.0341412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,-1),-0.107821 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,6),(7,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,-1),-0.0642289 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,5),(7,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,1),-0.0650583 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,-1),-0.0623533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,3),(7,1),-0.0641708 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,3),(7,-1),-0.0797549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,1),(7,-1),-0.0403945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,8),(8,9),0.0979244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,10),-0.0516986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,11),-0.0758415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,12),-0.0124616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,14),0.0297446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,15),-0.0699435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,17),-0.076003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,26),-0.0420773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,27),-0.0743799 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,9),(8,10),-0.0420765 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,11),-0.0420849 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,12),-0.0528783 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,14),-0.0417782 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,15),-0.0350442 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,17),-0.0420849 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,27),0.0496993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,10),(8,11),-0.0422003 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,12),-0.0473132 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,14),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,15),-0.0424615 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,17),-0.0422025 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,26),-0.0420172 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,27),-0.0292852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,11),(8,12),-0.0641762 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,14),-0.0444416 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,15),-0.038634 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,17),-0.0421597 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,26),-0.0421407 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,27),0.000299516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,12),(8,14),-0.0443728 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,15),-0.0519478 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,17),-0.043745 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,27),-0.0883669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,14),(8,15),-0.0363164 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,14),(8,17),-0.0431565 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,14),(8,26),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,14),(8,27),-0.0366063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,15),(8,17),-0.0425954 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,15),(8,26),-0.0375089 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,15),(8,27),-0.0958155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
