# _root_ That 50 % is now held by Clifford Parker , Regatta 's president and chief executive officer , who will continue to manage Regatta 's operations under Gitano .
#goldHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,9,20,21,22,26,24,23,23,27,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,17,20,21,22,26,24,23,23,27,4,
(6,2),(2,1),0.126353 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),0.16651 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.0072022 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),0.253977 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.04586 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,1),0.193711 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),0.133276 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),0.0703883 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),0.224969 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.08523 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,10),-0.247029 # DEPENDENCYPART_GRANDPAR
(6,3),(3,14),-0.13092 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),0.0456573 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.0196791 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.0800234 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),0.198607 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.07704 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),0.192177 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.299743 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.291212 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.101024 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-0.51767 # DEPENDENCYPART_GRANDPAR
(6,4),(4,12),-0.492171 # DEPENDENCYPART_GRANDPAR
(6,4),(4,13),-0.253508 # DEPENDENCYPART_GRANDPAR
(6,4),(4,14),-0.0376395 # DEPENDENCYPART_GRANDPAR
(6,4),(4,15),-0.470596 # DEPENDENCYPART_GRANDPAR
(6,4),(4,17),-0.470645 # DEPENDENCYPART_GRANDPAR
(6,4),(4,18),-0.128468 # DEPENDENCYPART_GRANDPAR
(6,4),(4,20),-0.175421 # DEPENDENCYPART_GRANDPAR
(6,4),(4,21),-0.413223 # DEPENDENCYPART_GRANDPAR
(6,4),(4,27),-0.31245 # DEPENDENCYPART_GRANDPAR
(6,4),(4,29),-0.432671 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),0.159323 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),0.0483047 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.03544 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),0.359063 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.256513 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.126613 # DEPENDENCYPART_GRANDPAR
(6,7),(7,8),0.553484 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.566987 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.536837 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),0.335845 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),0.542887 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),0.63017 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),0.34328 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),0.475678 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.279102 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.318032 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),0.0516773 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.0850012 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),0.283418 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),0.231161 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),0.0646281 # DEPENDENCYPART_GRANDPAR
(6,8),(8,18),0.290588 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),-0.253574 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.453456 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-0.173216 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.590119 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,8),0.173167 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.317489 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),0.0549941 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.0850102 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),0.283644 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),0.231148 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),-0.0175409 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),0.0648438 # DEPENDENCYPART_GRANDPAR
(6,9),(9,18),0.290045 # DEPENDENCYPART_GRANDPAR
(6,9),(9,19),-0.197197 # DEPENDENCYPART_GRANDPAR
(6,9),(9,20),0.289353 # DEPENDENCYPART_GRANDPAR
(6,9),(9,25),-0.28894 # DEPENDENCYPART_GRANDPAR
(6,9),(9,28),-0.641056 # DEPENDENCYPART_GRANDPAR
(6,9),(9,29),-0.0102608 # DEPENDENCYPART_GRANDPAR
(6,11),(11,1),-0.253574 # DEPENDENCYPART_GRANDPAR
(6,11),(11,6),-0.590083 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,11),(11,8),0.172136 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),0.177473 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),0.408688 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),-0.0850009 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),0.283438 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),0.231162 # DEPENDENCYPART_GRANDPAR
(6,11),(11,18),0.290625 # DEPENDENCYPART_GRANDPAR
(6,11),(11,25),-0.28893 # DEPENDENCYPART_GRANDPAR
(6,13),(13,3),-0.507207 # DEPENDENCYPART_GRANDPAR
(6,13),(13,8),0.22594 # DEPENDENCYPART_GRANDPAR
(6,13),(13,9),0.235676 # DEPENDENCYPART_GRANDPAR
(6,13),(13,10),0.374361 # DEPENDENCYPART_GRANDPAR
(6,13),(13,11),0.00802265 # DEPENDENCYPART_GRANDPAR
(6,13),(13,12),0.135709 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),0.315708 # DEPENDENCYPART_GRANDPAR
(6,13),(13,15),0.0719817 # DEPENDENCYPART_GRANDPAR
(6,13),(13,16),0.151225 # DEPENDENCYPART_GRANDPAR
(6,13),(13,17),0.140048 # DEPENDENCYPART_GRANDPAR
(6,13),(13,18),0.361273 # DEPENDENCYPART_GRANDPAR
(6,13),(13,19),-0.107049 # DEPENDENCYPART_GRANDPAR
(6,13),(13,20),0.363714 # DEPENDENCYPART_GRANDPAR
(6,13),(13,21),0.0898875 # DEPENDENCYPART_GRANDPAR
(6,13),(13,22),0.1617 # DEPENDENCYPART_GRANDPAR
(6,13),(13,24),-0.442601 # DEPENDENCYPART_GRANDPAR
(6,13),(13,25),-0.309266 # DEPENDENCYPART_GRANDPAR
(6,13),(13,26),-0.0658381 # DEPENDENCYPART_GRANDPAR
(6,13),(13,27),0.222023 # DEPENDENCYPART_GRANDPAR
(6,13),(13,28),-0.647597 # DEPENDENCYPART_GRANDPAR
(6,13),(13,29),0.0478818 # DEPENDENCYPART_GRANDPAR
(6,14),(14,15),0.330368 # DEPENDENCYPART_GRANDPAR
(6,14),(14,16),0.428172 # DEPENDENCYPART_GRANDPAR
(6,14),(14,17),0.251701 # DEPENDENCYPART_GRANDPAR
(6,14),(14,18),0.47711 # DEPENDENCYPART_GRANDPAR
(6,14),(14,19),-0.00681383 # DEPENDENCYPART_GRANDPAR
(6,14),(14,20),0.49501 # DEPENDENCYPART_GRANDPAR
(6,14),(14,21),0.270054 # DEPENDENCYPART_GRANDPAR
(6,14),(14,22),0.332317 # DEPENDENCYPART_GRANDPAR
(6,14),(14,26),-0.00568739 # DEPENDENCYPART_GRANDPAR
(6,17),(17,8),0.233497 # DEPENDENCYPART_GRANDPAR
(6,17),(17,9),0.243235 # DEPENDENCYPART_GRANDPAR
(6,17),(17,11),0.0155809 # DEPENDENCYPART_GRANDPAR
(6,17),(17,13),0.252044 # DEPENDENCYPART_GRANDPAR
(6,17),(17,15),0.0728754 # DEPENDENCYPART_GRANDPAR
(6,17),(17,16),0.10604 # DEPENDENCYPART_GRANDPAR
(6,17),(17,18),0.27617 # DEPENDENCYPART_GRANDPAR
(6,17),(17,19),-0.151704 # DEPENDENCYPART_GRANDPAR
(6,17),(17,20),0.322533 # DEPENDENCYPART_GRANDPAR
(6,17),(17,21),0.0457802 # DEPENDENCYPART_GRANDPAR
(6,17),(17,22),0.132096 # DEPENDENCYPART_GRANDPAR
(6,17),(17,25),-0.352404 # DEPENDENCYPART_GRANDPAR
(6,17),(17,26),-0.143103 # DEPENDENCYPART_GRANDPAR
(6,17),(17,29),0.0100139 # DEPENDENCYPART_GRANDPAR
(6,20),(20,1),-0.161249 # DEPENDENCYPART_GRANDPAR
(6,20),(20,3),-0.445109 # DEPENDENCYPART_GRANDPAR
(6,20),(20,4),-0.397295 # DEPENDENCYPART_GRANDPAR
(6,20),(20,5),-0.138658 # DEPENDENCYPART_GRANDPAR
(6,20),(20,6),-0.691131 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,20),(20,7),0.646006 # DEPENDENCYPART_GRANDPAR
(6,20),(20,8),0.0853616 # DEPENDENCYPART_GRANDPAR
(6,20),(20,9),0.0938972 # DEPENDENCYPART_GRANDPAR
(6,20),(20,10),0.173527 # DEPENDENCYPART_GRANDPAR
(6,20),(20,11),-0.132561 # DEPENDENCYPART_GRANDPAR
(6,20),(20,13),0.202627 # DEPENDENCYPART_GRANDPAR
(6,20),(20,14),0.216546 # DEPENDENCYPART_GRANDPAR
(6,20),(20,15),-0.116883 # DEPENDENCYPART_GRANDPAR
(6,20),(20,17),-0.0144174 # DEPENDENCYPART_GRANDPAR
(6,20),(20,18),0.146083 # DEPENDENCYPART_GRANDPAR
(6,20),(20,19),-0.193569 # DEPENDENCYPART_GRANDPAR
(6,20),(20,21),0.0922846 # DEPENDENCYPART_GRANDPAR
(6,20),(20,22),0.0994632 # DEPENDENCYPART_GRANDPAR
(6,20),(20,23),0.26816 # DEPENDENCYPART_GRANDPAR
(6,20),(20,24),-0.498914 # DEPENDENCYPART_GRANDPAR
(6,20),(20,26),-0.171259 # DEPENDENCYPART_GRANDPAR
(6,20),(20,27),0.190213 # DEPENDENCYPART_GRANDPAR
(6,20),(20,28),-0.70391 # DEPENDENCYPART_GRANDPAR
(6,20),(20,29),-0.112637 # DEPENDENCYPART_GRANDPAR
(6,22),(22,19),-0.230734 # DEPENDENCYPART_GRANDPAR
(6,22),(22,23),0.352155 # DEPENDENCYPART_GRANDPAR
(6,22),(22,24),-0.371732 # DEPENDENCYPART_GRANDPAR
(6,22),(22,25),-0.17349 # DEPENDENCYPART_GRANDPAR
(6,22),(22,26),-0.069703 # DEPENDENCYPART_GRANDPAR
(6,22),(22,27),0.194292 # DEPENDENCYPART_GRANDPAR
(6,22),(22,28),-0.576728 # DEPENDENCYPART_GRANDPAR
(6,27),(27,26),-0.255585 # DEPENDENCYPART_GRANDPAR
(6,27),(27,28),-0.510885 # DEPENDENCYPART_GRANDPAR
(6,29),(29,28),-0.820635 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),0.145161 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.0946782 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.159164 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-0.982725 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,9),0.541005 # DEPENDENCYPART_GRANDPAR
(7,8),(8,9),1.22983 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),1.03725 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.914432 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),0.0569649 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),0.213369 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),0.647805 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),0.163211 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),0.857569 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.425742 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.567075 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.292882 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.321217 # DEPENDENCYPART_GRANDPAR
(7,9),(9,8),1.21644 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),1.04571 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.926528 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),0.061893 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.218532 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),0.652728 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),0.0578734 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),0.168363 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),0.86603 # DEPENDENCYPART_GRANDPAR
(7,9),(9,19),-0.769817 # DEPENDENCYPART_GRANDPAR
(7,9),(9,20),0.0486228 # DEPENDENCYPART_GRANDPAR
(7,9),(9,25),-0.147797 # DEPENDENCYPART_GRANDPAR
(7,9),(9,28),-0.241667 # DEPENDENCYPART_GRANDPAR
(7,9),(9,29),-0.931013 # DEPENDENCYPART_GRANDPAR
(7,11),(11,1),-0.425742 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.321217 # DEPENDENCYPART_GRANDPAR
(7,11),(11,8),1.20917 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),1.22151 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.881964 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),0.0569653 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.213389 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),0.647805 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),0.857606 # DEPENDENCYPART_GRANDPAR
(7,11),(11,25),-0.152725 # DEPENDENCYPART_GRANDPAR
(7,13),(13,3),-0.65635 # DEPENDENCYPART_GRANDPAR
(7,13),(13,8),0.993351 # DEPENDENCYPART_GRANDPAR
(7,13),(13,9),1.01305 # DEPENDENCYPART_GRANDPAR
(7,13),(13,10),0.783686 # DEPENDENCYPART_GRANDPAR
(7,13),(13,11),0.699419 # DEPENDENCYPART_GRANDPAR
(7,13),(13,12),0.217067 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),0.651903 # DEPENDENCYPART_GRANDPAR
(7,13),(13,15),0.074651 # DEPENDENCYPART_GRANDPAR
(7,13),(13,16),0.0589125 # DEPENDENCYPART_GRANDPAR
(7,13),(13,17),0.194181 # DEPENDENCYPART_GRANDPAR
(7,13),(13,18),0.867498 # DEPENDENCYPART_GRANDPAR
(7,13),(13,19),-0.724968 # DEPENDENCYPART_GRANDPAR
(7,13),(13,20),0.0551234 # DEPENDENCYPART_GRANDPAR
(7,13),(13,21),-0.199805 # DEPENDENCYPART_GRANDPAR
(7,13),(13,22),-0.271021 # DEPENDENCYPART_GRANDPAR
(7,13),(13,24),-0.180733 # DEPENDENCYPART_GRANDPAR
(7,13),(13,25),-0.23138 # DEPENDENCYPART_GRANDPAR
(7,13),(13,26),-0.177253 # DEPENDENCYPART_GRANDPAR
(7,13),(13,27),0.00438804 # DEPENDENCYPART_GRANDPAR
(7,13),(13,28),-0.316524 # DEPENDENCYPART_GRANDPAR
(7,13),(13,29),-0.919292 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),-0.0785884 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),-0.0732515 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),-0.0399912 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),0.635213 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),-0.976504 # DEPENDENCYPART_GRANDPAR
(7,14),(14,20),-0.130843 # DEPENDENCYPART_GRANDPAR
(7,14),(14,21),-0.434166 # DEPENDENCYPART_GRANDPAR
(7,14),(14,22),-0.398179 # DEPENDENCYPART_GRANDPAR
(7,14),(14,26),-0.481405 # DEPENDENCYPART_GRANDPAR
(7,17),(17,8),1.04639 # DEPENDENCYPART_GRANDPAR
(7,17),(17,9),1.06609 # DEPENDENCYPART_GRANDPAR
(7,17),(17,11),0.752455 # DEPENDENCYPART_GRANDPAR
(7,17),(17,13),0.217472 # DEPENDENCYPART_GRANDPAR
(7,17),(17,15),0.0312156 # DEPENDENCYPART_GRANDPAR
(7,17),(17,16),-0.0251983 # DEPENDENCYPART_GRANDPAR
(7,17),(17,18),0.951665 # DEPENDENCYPART_GRANDPAR
(7,17),(17,19),-0.666787 # DEPENDENCYPART_GRANDPAR
(7,17),(17,20),0.115848 # DEPENDENCYPART_GRANDPAR
(7,17),(17,21),-0.141076 # DEPENDENCYPART_GRANDPAR
(7,17),(17,22),-0.202058 # DEPENDENCYPART_GRANDPAR
(7,17),(17,25),-0.171101 # DEPENDENCYPART_GRANDPAR
(7,17),(17,26),-0.147395 # DEPENDENCYPART_GRANDPAR
(7,17),(17,29),-0.854329 # DEPENDENCYPART_GRANDPAR
(7,20),(20,1),-0.363347 # DEPENDENCYPART_GRANDPAR
(7,20),(20,3),-0.582696 # DEPENDENCYPART_GRANDPAR
(7,20),(20,4),-0.277346 # DEPENDENCYPART_GRANDPAR
(7,20),(20,5),-0.283286 # DEPENDENCYPART_GRANDPAR
(7,20),(20,6),-0.34697 # DEPENDENCYPART_GRANDPAR
(7,20),(20,7),-0.643569 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,20),(20,8),0.873998 # DEPENDENCYPART_GRANDPAR
(7,20),(20,9),0.892506 # DEPENDENCYPART_GRANDPAR
(7,20),(20,10),0.539834 # DEPENDENCYPART_GRANDPAR
(7,20),(20,11),0.580061 # DEPENDENCYPART_GRANDPAR
(7,20),(20,13),0.0122871 # DEPENDENCYPART_GRANDPAR
(7,20),(20,14),0.32177 # DEPENDENCYPART_GRANDPAR
(7,20),(20,15),-0.211099 # DEPENDENCYPART_GRANDPAR
(7,20),(20,17),-0.0735486 # DEPENDENCYPART_GRANDPAR
(7,20),(20,18),0.360152 # DEPENDENCYPART_GRANDPAR
(7,20),(20,19),-0.979665 # DEPENDENCYPART_GRANDPAR
(7,20),(20,21),-0.265781 # DEPENDENCYPART_GRANDPAR
(7,20),(20,22),-0.42491 # DEPENDENCYPART_GRANDPAR
(7,20),(20,23),-0.56176 # DEPENDENCYPART_GRANDPAR
(7,20),(20,24),-0.338716 # DEPENDENCYPART_GRANDPAR
(7,20),(20,26),-0.343547 # DEPENDENCYPART_GRANDPAR
(7,20),(20,27),-0.0936771 # DEPENDENCYPART_GRANDPAR
(7,20),(20,28),-0.474507 # DEPENDENCYPART_GRANDPAR
(7,20),(20,29),-1.17896 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-0.897237 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-0.924715 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.458827 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.702395 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.744039 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),0.120526 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),0.811798 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),-0.292897 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),0.0646219 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),0.371171 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),0.177229 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),0.14188 # DEPENDENCYPART_GRANDPAR
(8,9),(9,18),0.155494 # DEPENDENCYPART_GRANDPAR
(8,9),(9,19),0.587722 # DEPENDENCYPART_GRANDPAR
(8,9),(9,20),-0.247502 # DEPENDENCYPART_GRANDPAR
(8,9),(9,25),-0.643873 # DEPENDENCYPART_GRANDPAR
(8,9),(9,28),-0.324883 # DEPENDENCYPART_GRANDPAR
(8,9),(9,29),-0.266988 # DEPENDENCYPART_GRANDPAR
(8,11),(11,1),-0.897237 # DEPENDENCYPART_GRANDPAR
(8,11),(11,6),-0.702395 # DEPENDENCYPART_GRANDPAR
(8,11),(11,8),-0.745102 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,11),(11,9),0.514485 # DEPENDENCYPART_GRANDPAR
(8,11),(11,10),-0.0296395 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),-0.292873 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),0.0644312 # DEPENDENCYPART_GRANDPAR
(8,11),(11,14),0.3712 # DEPENDENCYPART_GRANDPAR
(8,11),(11,18),0.156089 # DEPENDENCYPART_GRANDPAR
(8,11),(11,25),-0.643849 # DEPENDENCYPART_GRANDPAR
(8,13),(13,3),-0.937408 # DEPENDENCYPART_GRANDPAR
(8,13),(13,8),-0.618534 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,13),(13,9),0.645442 # DEPENDENCYPART_GRANDPAR
(8,13),(13,10),0.0200616 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.68667 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),0.160895 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),0.272511 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),0.222629 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),0.0974504 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),0.20061 # DEPENDENCYPART_GRANDPAR
(8,13),(13,18),0.104014 # DEPENDENCYPART_GRANDPAR
(8,13),(13,19),0.613277 # DEPENDENCYPART_GRANDPAR
(8,13),(13,20),-0.247578 # DEPENDENCYPART_GRANDPAR
(8,13),(13,21),-0.158183 # DEPENDENCYPART_GRANDPAR
(8,13),(13,22),-0.294595 # DEPENDENCYPART_GRANDPAR
(8,13),(13,24),-0.234051 # DEPENDENCYPART_GRANDPAR
(8,13),(13,25),-0.700462 # DEPENDENCYPART_GRANDPAR
(8,13),(13,26),-0.019777 # DEPENDENCYPART_GRANDPAR
(8,13),(13,27),-0.00935655 # DEPENDENCYPART_GRANDPAR
(8,13),(13,28),-0.457389 # DEPENDENCYPART_GRANDPAR
(8,13),(13,29),-0.311777 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),0.290267 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),0.186375 # DEPENDENCYPART_GRANDPAR
(8,14),(14,17),0.281094 # DEPENDENCYPART_GRANDPAR
(8,14),(14,18),0.171451 # DEPENDENCYPART_GRANDPAR
(8,14),(14,19),0.579949 # DEPENDENCYPART_GRANDPAR
(8,14),(14,20),-0.273605 # DEPENDENCYPART_GRANDPAR
(8,14),(14,21),-0.179062 # DEPENDENCYPART_GRANDPAR
(8,14),(14,22),-0.286042 # DEPENDENCYPART_GRANDPAR
(8,14),(14,26),0.0696986 # DEPENDENCYPART_GRANDPAR
(8,17),(17,8),-0.545141 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,17),(17,9),0.718835 # DEPENDENCYPART_GRANDPAR
(8,17),(17,11),0.760064 # DEPENDENCYPART_GRANDPAR
(8,17),(17,13),0.388471 # DEPENDENCYPART_GRANDPAR
(8,17),(17,15),0.515431 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),0.288623 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),0.102225 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),0.635196 # DEPENDENCYPART_GRANDPAR
(8,17),(17,20),-0.222725 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),-0.135742 # DEPENDENCYPART_GRANDPAR
(8,17),(17,22),-0.262803 # DEPENDENCYPART_GRANDPAR
(8,17),(17,25),-0.677037 # DEPENDENCYPART_GRANDPAR
(8,17),(17,26),-0.0283696 # DEPENDENCYPART_GRANDPAR
(8,17),(17,29),-0.28297 # DEPENDENCYPART_GRANDPAR
(9,1),(1,2),-0.0937045 # DEPENDENCYPART_GRANDPAR
(9,1),(1,3),-0.315901 # DEPENDENCYPART_GRANDPAR
(9,1),(1,4),-0.00521984 # DEPENDENCYPART_GRANDPAR
(9,1),(1,5),0.227592 # DEPENDENCYPART_GRANDPAR
(9,1),(1,6),-0.0477869 # DEPENDENCYPART_GRANDPAR
(9,1),(1,7),-0.0693292 # DEPENDENCYPART_GRANDPAR
(9,1),(1,10),-0.12921 # DEPENDENCYPART_GRANDPAR
(9,1),(1,14),0.170512 # DEPENDENCYPART_GRANDPAR
(9,1),(1,20),-0.712419 # DEPENDENCYPART_GRANDPAR
(9,3),(3,1),-0.358955 # DEPENDENCYPART_GRANDPAR
(9,3),(3,2),-0.162026 # DEPENDENCYPART_GRANDPAR
(9,3),(3,4),0.247731 # DEPENDENCYPART_GRANDPAR
(9,3),(3,5),0.37212 # DEPENDENCYPART_GRANDPAR
(9,3),(3,6),0.105541 # DEPENDENCYPART_GRANDPAR
(9,3),(3,10),-0.200087 # DEPENDENCYPART_GRANDPAR
(9,3),(3,14),0.12977 # DEPENDENCYPART_GRANDPAR
(9,5),(5,1),-0.327042 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-0.347443 # DEPENDENCYPART_GRANDPAR
(9,5),(5,6),-0.0240649 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.108201 # DEPENDENCYPART_GRANDPAR
(9,5),(5,9),-1.03949 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,6),(6,1),-0.320975 # DEPENDENCYPART_GRANDPAR
(9,6),(6,2),-0.171465 # DEPENDENCYPART_GRANDPAR
(9,6),(6,3),-0.347227 # DEPENDENCYPART_GRANDPAR
(9,6),(6,4),0.0892246 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),0.354371 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),-0.112277 # DEPENDENCYPART_GRANDPAR
(9,6),(6,8),-0.0579089 # DEPENDENCYPART_GRANDPAR
(9,6),(6,9),-1.04654 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,6),(6,10),-0.127892 # DEPENDENCYPART_GRANDPAR
(9,6),(6,11),0.231742 # DEPENDENCYPART_GRANDPAR
(9,6),(6,12),-0.510729 # DEPENDENCYPART_GRANDPAR
(9,6),(6,13),-0.18053 # DEPENDENCYPART_GRANDPAR
(9,6),(6,14),0.174417 # DEPENDENCYPART_GRANDPAR
(9,6),(6,17),-0.221393 # DEPENDENCYPART_GRANDPAR
(9,6),(6,18),-0.263033 # DEPENDENCYPART_GRANDPAR
(9,6),(6,20),-0.626272 # DEPENDENCYPART_GRANDPAR
(9,6),(6,22),-0.542518 # DEPENDENCYPART_GRANDPAR
(9,6),(6,27),-0.335769 # DEPENDENCYPART_GRANDPAR
(9,6),(6,29),-0.710444 # DEPENDENCYPART_GRANDPAR
