# _root_ It also recommends better retirement and day-care benefits , and basing pay on education , experience and nurses ' demanding work schedules .
#goldHeads=3,3,0,5,3,5,8,6,8,8,10,11,11,13,14,14,16,22,18,22,22,17,3,
#predictedHeads=3,3,0,5,3,5,8,6,3,3,10,11,11,13,14,14,16,22,18,22,22,17,3,
(18,21),(18,23),-1.19861 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,24),-1.00858 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,22),(18,23),-0.840895 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,24),-0.961388 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,23),(18,24),-2.27544 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,16),-0.543552 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.809573 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,16),(18,-1),-0.691907 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,20),-0.570953 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,22),-0.452451 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,24),-0.380727 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,22),-1.06288 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,24),-0.898903 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,22),(19,24),-1.07381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,18),-0.300254 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.74833 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,18),(19,-1),-0.754417 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.552274 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,24),-0.67267 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,24),-0.963067 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-1.07126 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,18),-0.308979 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.695077 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,18),-0.758063 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-1.0992 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,18),(20,-1),-0.763656 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,24),-0.576569 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,21),(21,20),-0.384465 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,19),-1.06995 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,18),-0.219512 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.64415 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,19),-0.567686 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,18),-0.835856 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,-1),-0.999923 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,19),(21,18),-0.707957 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,-1),-1.11316 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,18),(21,-1),-0.727751 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.820024 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,24),-0.664814 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,24),-2.27717 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),-0.324536 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,20),-0.440457 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,19),-1.11157 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,18),-0.246672 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,16),-0.543437 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,14),-0.336377 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,12),-0.453035 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,5),-0.174679 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,4),-0.454916 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.824778 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,20),-0.11679 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,19),-0.773618 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,18),-0.89255 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,16),-0.916676 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,14),-1.05819 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,12),-1.11871 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,5),-1.01507 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,4),-0.802027 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,-1),-1.02927 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,20),(22,19),-0.592555 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,18),-0.845841 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,16),-0.983472 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,14),-1.19278 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,12),-1.15504 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,5),-1.17915 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,4),-1.121 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,-1),-0.943982 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,19),(22,18),-0.747422 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,16),-1.18968 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,14),-1.21515 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,12),-1.30165 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,5),-1.20921 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,4),-1.12831 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,-1),-1.12599 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,18),(22,16),-1.04395 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,14),-1.28612 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,12),-1.50134 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,5),-1.42949 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,4),-1.21793 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,-1),-0.731185 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,16),(22,14),-0.909095 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,12),-1.13209 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,5),-1.23425 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,4),-0.892546 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,-1),-0.691762 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,14),(22,12),-1.13591 # DEPENDENCYPART_NEXTSIBL
(22,14),(22,5),-1.43581 # DEPENDENCYPART_NEXTSIBL
(22,14),(22,4),-1.07426 # DEPENDENCYPART_NEXTSIBL
(22,14),(22,-1),-0.667805 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,12),(22,5),-1.3698 # DEPENDENCYPART_NEXTSIBL
(22,12),(22,4),-1.03234 # DEPENDENCYPART_NEXTSIBL
(22,12),(22,-1),-1.02473 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,5),(22,4),-0.400237 # DEPENDENCYPART_NEXTSIBL
(22,5),(22,-1),-0.945025 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,4),(22,-1),-0.947625 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,24),-0.325476 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,23),(23,-1),-0.127414 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(1,2),0.858358 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.941306 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.225635 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.111829 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.168224 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),0.682058 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),0.159398 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),1.24158 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.874246 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.174346 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.0353124 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.194803 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.185977 # DEPENDENCYPART_GRANDPAR
(0,2),(2,23),2.66751 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),1.21354 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.670757 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.282128 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.20916 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.420425 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.0880681 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.406107 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),0.584163 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.411599 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.175111 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.1169 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.408623 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),0.278681 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),0.328981 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),-0.029331 # DEPENDENCYPART_GRANDPAR
(0,3),(3,23),2.87092 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),1.21502 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.719702 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.573797 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.0199741 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.169201 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.0508164 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.294226 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.459778 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.160375 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.000660515 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.075915 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.200034 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.0337525 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.154296 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),-0.000396896 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),0.077757 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.103816 # DEPENDENCYPART_GRANDPAR
(0,5),(5,23),2.74754 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.817929 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.171775 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.176681 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),0.0884536 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),0.173282 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),0.0726615 # DEPENDENCYPART_GRANDPAR
(1,2),(2,23),0.0660282 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.743255 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.247676 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.20636 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),0.0986345 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.219102 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),0.0613108 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),0.323337 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),0.0925288 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),0.118481 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),0.0264253 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.0410546 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),0.190508 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.0420002 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),-0.0361 # DEPENDENCYPART_GRANDPAR
(1,3),(3,22),0.117182 # DEPENDENCYPART_GRANDPAR
(1,3),(3,23),0.0497011 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.814144 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.284291 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),0.0690113 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),0.0765363 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),0.165809 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),0.233466 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),0.120332 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),0.0651884 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),0.0263676 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),0.214233 # DEPENDENCYPART_GRANDPAR
(1,4),(4,15),-0.0141968 # DEPENDENCYPART_GRANDPAR
(1,4),(4,17),-0.0893927 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.812119 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.288953 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.137201 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.198181 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),0.207508 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),0.154708 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),0.339018 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),0.153816 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),0.106887 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),0.0168637 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),0.0509689 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),0.18259 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.00348109 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),0.0192872 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.0397833 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),-0.047694 # DEPENDENCYPART_GRANDPAR
(1,5),(5,19),-0.290552 # DEPENDENCYPART_GRANDPAR
(1,5),(5,23),0.125642 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.115075 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),0.238848 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),0.466047 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),0.187313 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),0.179381 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),0.0891785 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),0.148031 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),0.245328 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),0.0794726 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),0.0530318 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.179019 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),0.0876838 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),0.135376 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),-0.00414443 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),0.0891785 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),0.148031 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),0.245328 # DEPENDENCYPART_GRANDPAR
(1,10),(10,14),0.0794726 # DEPENDENCYPART_GRANDPAR
(1,10),(10,15),0.0527837 # DEPENDENCYPART_GRANDPAR
(1,10),(10,16),0.0530318 # DEPENDENCYPART_GRANDPAR
(1,10),(10,17),0.0248001 # DEPENDENCYPART_GRANDPAR
(1,10),(10,22),0.26406 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.33211 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.32004 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.499285 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.377127 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.0771532 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.168159 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-0.0139698 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.56888 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.943734 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.0591499 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),0.00413155 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.479933 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.131355 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),0.0332703 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),0.311045 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),0.543117 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.13381 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.39657 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.0225189 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),0.271849 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),0.542948 # DEPENDENCYPART_GRANDPAR
(2,3),(3,22),-0.0859583 # DEPENDENCYPART_GRANDPAR
(2,3),(3,23),-0.509416 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.556892 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.947819 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.0405178 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0347243 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.377068 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.0872075 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.32069 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),0.440252 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),-0.143072 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.0337939 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),0.281494 # DEPENDENCYPART_GRANDPAR
(2,4),(4,17),0.440084 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.552156 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.935872 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.115722 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.0619942 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.313392 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.117654 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.0447814 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),0.273095 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),0.376576 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.211298 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.384904 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.11286 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.445685 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),0.233899 # DEPENDENCYPART_GRANDPAR
(2,5),(5,16),-0.503875 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),0.376407 # DEPENDENCYPART_GRANDPAR
(2,5),(5,19),-0.237394 # DEPENDENCYPART_GRANDPAR
(2,5),(5,23),-0.506512 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),-0.157878 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.0108496 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),0.0526303 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),0.367713 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),0.544995 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.0637518 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.242817 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),0.0701541 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.318367 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.366696 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),-0.128144 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),0.117897 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.0637518 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.242817 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),0.0701541 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.318367 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),0.328517 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),-0.366696 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),0.544827 # DEPENDENCYPART_GRANDPAR
(2,10),(10,22),-0.0624305 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.688157 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.646026 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),0.463863 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),0.560722 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),0.416219 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),0.320386 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),0.255004 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.348843 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.730256 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),0.407711 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),0.449621 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),0.382355 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),0.221139 # DEPENDENCYPART_GRANDPAR
(3,2),(2,23),0.664227 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.079663 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),0.401183 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.346931 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.857383 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.744091 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.679232 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.743349 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),0.582875 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),0.5502 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),0.719454 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),0.608739 # DEPENDENCYPART_GRANDPAR
(3,4),(4,17),0.477567 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.0682654 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),0.385054 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.285261 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.77176 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.723989 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),0.687153 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),0.753424 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),0.735482 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),0.562774 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),0.503062 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),0.342833 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),0.590586 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),0.358457 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),0.600871 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),0.257404 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),0.457466 # DEPENDENCYPART_GRANDPAR
(3,5),(5,19),-0.0304266 # DEPENDENCYPART_GRANDPAR
(3,5),(5,23),0.843388 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),0.517145 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.680422 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.850372 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),0.830163 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),0.677029 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),0.581227 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),0.346964 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),0.676033 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),0.350541 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),0.259348 # DEPENDENCYPART_GRANDPAR
(3,7),(7,4),0.768814 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),0.756933 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),0.738078 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),0.5502 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),0.505574 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-0.0774166 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),0.400076 # DEPENDENCYPART_GRANDPAR
(3,8),(8,4),0.797358 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),0.823088 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.595658 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.526363 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.730384 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),0.550044 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),0.478124 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),0.200588 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),0.499463 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),0.226382 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),0.595774 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),0.124691 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),0.444736 # DEPENDENCYPART_GRANDPAR
(3,8),(8,19),-0.158946 # DEPENDENCYPART_GRANDPAR
