# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(1,3),(3,12),(3,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,15),(3,16),-0.0420446 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,24),-0.0420547 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,27),-0.0425385 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,28),-0.0447385 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,16),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,27),-0.0423495 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,28),-0.0421891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,22),(3,24),-0.0420149 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,22),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,22),(3,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,24),(3,27),-0.0423495 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,24),(3,28),-0.0421993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,27),(3,28),-0.0423254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,2),0.10036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,1),0.10307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,-1),-0.0700759 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,2),(3,1),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,2),(3,-1),-0.0668557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,1),(3,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,28),-0.109727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,28),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,28),-0.0641465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),-0.0875536 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),-0.0494141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.0528889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,6),-0.0449222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),-0.0420126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,8),-0.0450946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,10),-0.0451357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,11),-0.0451357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,12),-0.0449222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,15),-0.0528889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,16),-0.048856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,22),-0.0420122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,24),-0.0506316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,28),-0.0873299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0420229 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,12),-0.0420229 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,16),-0.0436116 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,22),-0.0420203 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,24),-0.0432125 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,28),-0.0441126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0421298 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,7),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.0420129 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,12),-0.0421298 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,15),-0.0420526 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,16),-0.0423253 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,24),-0.0422442 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,27),-0.042265 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,28),-0.0520431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,8),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,10),-0.0421193 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,11),-0.0421193 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,15),-0.0426606 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,16),-0.0420869 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,24),-0.0420869 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,28),-0.0448642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,16),-0.0420133 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,24),-0.0420133 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,28),-0.0420218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,16),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,22),-0.0420123 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,24),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,28),-0.0466813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,12),-0.0421193 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,16),-0.042012 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,24),-0.042012 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,28),-0.0449668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,11),(3,12),-0.0421193 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,16),-0.042012 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,24),-0.042012 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,28),-0.0449668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,12),(3,15),-0.0426606 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,16),-0.0420869 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,24),-0.0420869 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,28),-0.0448642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,15),(3,16),-0.0423253 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,24),-0.0422442 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,27),-0.042265 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,28),-0.0520431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,16),(3,22),-0.0420128 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,16),(3,24),-0.0422024 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,16),(3,27),-0.0420213 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,16),(3,28),-0.0516604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,22),(3,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,22),(3,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,22),(3,28),-0.04204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,24),(3,27),-0.0420314 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,24),(3,28),-0.0529958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,27),(3,28),-0.0424248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,2),0.122175 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),-0.100153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,2),(3,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,2),(3,-1),-0.043583 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.0641717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,6),-0.0431353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),-0.0420336 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,8),-0.0452631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,9),-0.0422991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,10),-0.0422991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),-0.0422991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,12),-0.0431353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,15),-0.0477475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,16),-0.0670967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,19),-0.0422991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,28),-0.0717323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.0426784 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,8),-0.0420532 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,9),-0.0420129 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,10),-0.0420129 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.0420129 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,15),-0.0426683 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,16),-0.0421991 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,19),-0.0420129 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,28),-0.0423736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,16),-0.0426958 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,28),-0.0420196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,8),(5,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,12),-0.042022 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,15),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,16),-0.042014 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,28),-0.0451584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,12),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,16),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,28),-0.0422993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,10),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,12),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,16),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,28),-0.0422993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,12),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,16),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,28),-0.0422993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,12),(5,15),-0.0426683 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,16),-0.0421991 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,19),-0.0420129 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,28),-0.0423736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,15),(5,16),-0.0422604 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,28),-0.0444329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,16),(5,19),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,16),(5,28),-0.0517216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,19),(5,28),-0.0422993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.095672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.102257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.103069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.117014 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.101368 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,4),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.0646416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.0672995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.0662616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,28),0.0690491 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,6),(6,5),0.103045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,3),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,-1),0.0465697 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,5),(6,3),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,5),(6,-1),-0.0641485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,3),(6,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,9),-0.0440017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,10),-0.0440017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,11),-0.0440017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,12),-0.0425897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,15),-0.03649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,16),-0.0479018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,19),-0.0440017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,20),-0.0420963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,22),-0.0420122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,23),-0.0440017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,24),-0.047819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,26),-0.0440017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,27),-0.0420177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,28),-0.0309407 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,9),(8,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,12),-0.0420164 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,15),-0.0420231 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,16),-0.0420833 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,22),-0.0420228 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,24),-0.0420833 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,28),-0.0438441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,10),(8,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,12),-0.0420164 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,15),-0.0420231 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,16),-0.0420833 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,22),-0.0420228 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,24),-0.0420833 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,28),-0.0438441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,11),(8,12),-0.0420164 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,15),-0.0420231 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,16),-0.0420833 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,22),-0.0420228 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,24),-0.0420833 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,28),-0.0438441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,12),(8,15),-0.0420158 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,16),-0.0420338 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,24),-0.0420329 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,28),-0.0422584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,15),(8,16),-0.0417156 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,22),-0.0420243 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,24),-0.0417686 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,27),-0.0420891 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,28),-0.0466561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,16),(8,19),-0.0420157 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,16),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
