# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,6,6,17,18,19,20,20,6,
(0,7),(7,9),(7,22),-0.0499689 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,23),-0.0448852 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,24),-0.0477702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,10),(7,11),-0.0479782 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,12),-0.0441398 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,15),-0.0332744 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,16),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,17),-0.040856 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,18),-0.0332744 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,19),-0.0408514 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,22),-0.0441398 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,23),-0.0420145 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,24),-0.0423708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,11),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,15),-0.0427359 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,16),-0.0422106 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,17),-0.045729 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,18),-0.0427352 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,19),-0.0454674 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,23),-0.0448786 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,24),-0.0429986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,12),(7,13),-0.0420153 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,15),-0.0427616 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,16),-0.049776 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,17),-0.0360943 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,18),-0.0427552 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,19),-0.0311881 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,22),-0.0499689 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,23),-0.0443716 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,12),(7,24),-0.0472719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,13),(7,15),-0.0420256 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,16),-0.0424547 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,17),-0.0420132 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,18),-0.0420256 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,19),-0.0420132 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,23),-0.0420569 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,13),(7,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,15),(7,16),-0.0323794 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,17),-0.0431274 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,19),-0.0434817 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,20),-0.0420413 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,23),-0.0435575 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,15),(7,24),-0.0423799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,16),(7,17),-0.040856 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,16),(7,18),-0.0332744 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,16),(7,19),-0.0408514 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,16),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,16),(7,22),-0.0441398 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,16),(7,23),-0.0420145 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,16),(7,24),-0.0423708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,17),(7,18),-0.0420208 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,17),(7,19),-0.0472365 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,17),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,17),(7,22),-0.0433022 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,17),(7,23),-0.0548565 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,17),(7,24),-0.0503463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,18),(7,19),-0.0434753 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,18),(7,20),-0.0420413 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,18),(7,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,18),(7,23),-0.0435574 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,18),(7,24),-0.0423792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,19),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,19),(7,22),-0.0439478 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,19),(7,23),-0.0579094 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,19),(7,24),-0.0523457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,20),(7,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,20),(7,23),-0.0420599 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,20),(7,24),-0.0425205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,22),(7,23),-0.0448852 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,22),(7,24),-0.0477702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,23),(7,24),-0.0405996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,7),(7,5),0.102979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,2),0.103034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,1),0.0977344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,-1),-0.0184873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,7),(7,5),(7,2),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,5),(7,1),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,5),(7,-1),-0.0711885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,2),(7,1),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,2),(7,-1),-0.0641811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,1),(7,-1),-0.0715765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),-0.0228251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,4),-0.0546698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,5),-0.110994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,6),-0.0539688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,7),-0.0443587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,10),-0.0156631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,11),-0.0770589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,16),-0.0156631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,24),0.121114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,3),(2,4),-0.0421901 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,5),-0.0422162 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,10),-0.0444208 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,16),-0.0444208 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,24),-0.0223047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,4),(2,5),-0.0434834 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,6),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,7),-0.042017 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,10),-0.0402795 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,11),-0.0431761 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,16),-0.0402795 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,24),-0.0220903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,5),(2,6),-0.0428213 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,7),-0.048784 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,10),-0.0394763 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,11),-0.043003 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,16),-0.0394763 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,24),-0.0578532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,6),(2,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,10),-0.0279074 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,11),-0.040864 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,16),-0.0279074 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,24),-0.00905841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,7),(2,10),-0.0422689 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,11),-0.0420417 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,16),-0.0422689 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,24),-0.0577477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,10),(2,11),-0.0538073 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,16),-0.0435264 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,24),-0.0625121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,11),(2,16),-0.0250817 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,11),(2,24),-0.119326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,16),(2,24),-0.0625121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,1),0.106346 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),-0.173953 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.0586776 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,7),-0.0473251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,23),-0.0247769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,24),0.265923 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,7),(4,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,24),-0.0635996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,23),(4,24),-0.0201286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.0764781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,2),0.0695789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.0600934 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,-1),-0.109632 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,3),(4,2),0.103063 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,1),0.101272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,3),(4,-1),-0.12307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,1),0.111842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,-1),-0.083546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.0682324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),-0.0854135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,7),-0.0341598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,10),-0.0636127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,11),-0.0930414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,16),-0.0636127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,24),0.213513 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,7),-0.0420215 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,10),-0.00718819 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,11),-0.0363681 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,16),-0.00718819 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,24),-0.0696866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,7),(5,10),-0.0109686 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,11),-0.0265886 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,16),-0.0109686 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,24),-0.0944298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,10),(5,11),-0.126478 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,16),-0.0634292 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,24),-0.0483534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,11),(5,16),-0.0363361 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,24),-0.114845 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,16),(5,24),-0.0483534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,5),(5,4),0.0699835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,3),0.0915683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,2),0.136298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,1),0.0655444 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,-1),-0.239635 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,4),(5,3),0.121234 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,4),(5,2),0.113331 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,4),(5,1),0.104522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,4),(5,-1),-0.0332942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,3),(5,2),0.0970124 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,3),(5,1),0.129413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,3),(5,-1),-0.0765029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,2),(5,1),0.101938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,2),(5,-1),-0.0649879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,1),(5,-1),-0.11301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,7),-0.062356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,8),-0.0402985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,9),-0.0403501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,10),-0.108122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,11),-0.0620057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,12),-0.0402985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,13),0.0350134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,15),0.0121421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,16),-0.108122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,17),-0.0700778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,18),0.0107005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,19),-0.0783643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,20),-0.062356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,23),-0.0457838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,24),0.000141496 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,7),(6,8),-0.0420517 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,9),-0.0420517 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,10),-0.0493533 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,11),-0.0444965 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,12),-0.0420517 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,13),-0.0420135 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,15),-0.0508266 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,16),-0.0493533 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,17),-0.0472374 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,18),-0.0494843 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,19),-0.0471734 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,23),-0.0420254 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,24),-0.022294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,8),(6,9),-0.0420761 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,10),-0.0390936 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,11),-0.0424395 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,12),-0.0420753 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,15),-0.0421592 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,16),-0.0390936 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,17),-0.0440332 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,18),-0.0421565 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,19),-0.0442999 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,20),-0.0421377 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,23),-0.042035 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,24),-0.0585485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,9),(6,10),-0.0390944 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,11),-0.0424395 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,12),-0.0420753 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,15),-0.0421592 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,16),-0.0390944 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,17),-0.0440332 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,18),-0.0421565 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,19),-0.0442999 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,20),-0.0421377 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,23),-0.042035 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,24),-0.0587822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,10),(6,11),-0.00463868 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,12),-0.0420324 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,13),-0.0325465 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,15),-0.0561073 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,16),-0.0424595 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,17),-0.046024 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,18),-0.056108 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,19),-0.0477112 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,20),-0.043353 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,24),-0.0681426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,11),(6,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,13),-0.035278 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,15),-0.0417076 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,16),-0.0645196 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,17),-0.0330318 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,18),-0.0417044 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,19),-0.0370624 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,23),-0.0484268 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,24),-0.0173369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,12),(6,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,15),-0.0421592 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,16),-0.0390936 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,17),-0.0440332 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,18),-0.0421565 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,19),-0.0442999 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,20),-0.0421377 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,23),-0.042035 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,24),-0.0585485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,13),(6,15),-0.0459451 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,16),-0.0139115 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,17),-0.056275 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,18),-0.0458177 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,19),-0.0492043 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,20),-0.0382813 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,24),-0.0394406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,15),(6,16),-0.0400107 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,17),-0.034401 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,18),-0.0508458 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,19),-0.0138044 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,20),-0.037553 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,23),-0.0491002 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,24),-0.0440535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,16),(6,17),-0.046024 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,18),-0.056108 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,19),-0.0477112 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,20),-0.043353 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,24),-0.0681426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,17),(6,18),-0.042943 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,17),(6,19),-0.0356009 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,17),(6,20),-0.0420334 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,17),(6,23),-0.0471043 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,17),(6,24),-0.0441624 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,18),(6,19),-0.0125328 # DEPENDENCYPART_GRANDSIBL
