# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(21,28),(21,30),-0.0387789 # DEPENDENCYPART_SIBL
(21,28),(21,31),0.0270759 # DEPENDENCYPART_SIBL
(21,28),(21,32),-0.00217582 # DEPENDENCYPART_SIBL
(21,28),(21,33),-0.136596 # DEPENDENCYPART_SIBL
(21,28),(21,36),0.00301363 # DEPENDENCYPART_SIBL
(21,30),(21,31),0.00957345 # DEPENDENCYPART_SIBL
(21,30),(21,32),0.0407521 # DEPENDENCYPART_SIBL
(21,30),(21,33),-0.0206154 # DEPENDENCYPART_SIBL
(21,30),(21,36),-0.104526 # DEPENDENCYPART_SIBL
(21,31),(21,32),0.0222662 # DEPENDENCYPART_SIBL
(21,31),(21,33),-0.0111478 # DEPENDENCYPART_SIBL
(21,31),(21,36),-0.0420487 # DEPENDENCYPART_SIBL
(21,32),(21,33),-0.0122528 # DEPENDENCYPART_SIBL
(21,32),(21,36),0.0526094 # DEPENDENCYPART_SIBL
(21,33),(21,36),0.00301363 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.0224434 # DEPENDENCYPART_SIBL
(23,22),(23,24),0.0409659 # DEPENDENCYPART_SIBL
(23,22),(23,26),0.121533 # DEPENDENCYPART_SIBL
(23,22),(23,27),0.467557 # DEPENDENCYPART_SIBL
(23,22),(23,28),0.081154 # DEPENDENCYPART_SIBL
(23,22),(23,31),0.0653034 # DEPENDENCYPART_SIBL
(23,22),(23,32),0.20855 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.000382561 # DEPENDENCYPART_SIBL
(23,24),(23,27),0.0193075 # DEPENDENCYPART_SIBL
(23,24),(23,28),-0.0017968 # DEPENDENCYPART_SIBL
(23,24),(23,31),-0.0272649 # DEPENDENCYPART_SIBL
(23,24),(23,32),0.0106748 # DEPENDENCYPART_SIBL
(23,26),(23,27),0.0926088 # DEPENDENCYPART_SIBL
(23,26),(23,28),-0.0291078 # DEPENDENCYPART_SIBL
(23,26),(23,31),0.00130064 # DEPENDENCYPART_SIBL
(23,26),(23,32),0.0385452 # DEPENDENCYPART_SIBL
(23,27),(23,28),0.0124988 # DEPENDENCYPART_SIBL
(23,27),(23,31),0.0877213 # DEPENDENCYPART_SIBL
(23,27),(23,32),-0.0313645 # DEPENDENCYPART_SIBL
(23,28),(23,31),0.127286 # DEPENDENCYPART_SIBL
(23,28),(23,32),0.133626 # DEPENDENCYPART_SIBL
(23,31),(23,32),0.0520234 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.113963 # DEPENDENCYPART_SIBL
(24,22),(24,27),0.41338 # DEPENDENCYPART_SIBL
(24,22),(24,28),0.00408922 # DEPENDENCYPART_SIBL
(24,23),(24,27),0.0325477 # DEPENDENCYPART_SIBL
(24,23),(24,28),0.0252057 # DEPENDENCYPART_SIBL
(24,27),(24,28),0.11221 # DEPENDENCYPART_SIBL
(25,13),(25,16),0.0394386 # DEPENDENCYPART_SIBL
(25,13),(25,18),0.0454391 # DEPENDENCYPART_SIBL
(25,13),(25,19),0.0273216 # DEPENDENCYPART_SIBL
(25,13),(25,20),0.0511714 # DEPENDENCYPART_SIBL
(25,13),(25,22),-0.0469327 # DEPENDENCYPART_SIBL
(25,13),(25,23),0.0531155 # DEPENDENCYPART_SIBL
(25,13),(25,24),0.00122121 # DEPENDENCYPART_SIBL
(25,13),(25,26),0.0256837 # DEPENDENCYPART_SIBL
(25,13),(25,27),0.0159396 # DEPENDENCYPART_SIBL
(25,13),(25,28),-0.00310224 # DEPENDENCYPART_SIBL
(25,13),(25,30),0.0160215 # DEPENDENCYPART_SIBL
(25,13),(25,31),0.0450719 # DEPENDENCYPART_SIBL
(25,13),(25,32),0.0719436 # DEPENDENCYPART_SIBL
(25,13),(25,33),-0.00310224 # DEPENDENCYPART_SIBL
(25,13),(25,36),0.0679756 # DEPENDENCYPART_SIBL
(25,16),(25,18),0.00602665 # DEPENDENCYPART_SIBL
(25,16),(25,19),-0.0156598 # DEPENDENCYPART_SIBL
(25,16),(25,20),-0.0146817 # DEPENDENCYPART_SIBL
(25,16),(25,22),-0.131934 # DEPENDENCYPART_SIBL
(25,16),(25,23),-0.0151932 # DEPENDENCYPART_SIBL
(25,16),(25,24),-0.049267 # DEPENDENCYPART_SIBL
(25,16),(25,26),0.0577746 # DEPENDENCYPART_SIBL
(25,16),(25,27),-0.027069 # DEPENDENCYPART_SIBL
(25,16),(25,28),0.0193926 # DEPENDENCYPART_SIBL
(25,16),(25,30),0.0206194 # DEPENDENCYPART_SIBL
(25,16),(25,31),0.0538659 # DEPENDENCYPART_SIBL
(25,16),(25,32),0.0556735 # DEPENDENCYPART_SIBL
(25,16),(25,33),0.0193926 # DEPENDENCYPART_SIBL
(25,16),(25,36),0.0256518 # DEPENDENCYPART_SIBL
(25,18),(25,19),0.0611509 # DEPENDENCYPART_SIBL
(25,18),(25,20),0.0772601 # DEPENDENCYPART_SIBL
(25,18),(25,22),0.0182869 # DEPENDENCYPART_SIBL
(25,18),(25,23),0.0749908 # DEPENDENCYPART_SIBL
(25,18),(25,24),0.0639181 # DEPENDENCYPART_SIBL
(25,18),(25,26),0.866545 # DEPENDENCYPART_SIBL
(25,18),(25,27),0.118795 # DEPENDENCYPART_SIBL
(25,18),(25,28),0.0209871 # DEPENDENCYPART_SIBL
(25,18),(25,30),0.110248 # DEPENDENCYPART_SIBL
(25,18),(25,31),0.0714536 # DEPENDENCYPART_SIBL
(25,18),(25,32),0.116855 # DEPENDENCYPART_SIBL
(25,18),(25,33),0.0209871 # DEPENDENCYPART_SIBL
(25,18),(25,36),0.0702772 # DEPENDENCYPART_SIBL
(25,19),(25,20),0.015143 # DEPENDENCYPART_SIBL
(25,19),(25,22),0.0301661 # DEPENDENCYPART_SIBL
(25,19),(25,23),0.0128611 # DEPENDENCYPART_SIBL
(25,19),(25,24),-0.0237696 # DEPENDENCYPART_SIBL
(25,19),(25,26),0.041177 # DEPENDENCYPART_SIBL
(25,19),(25,27),0.0557757 # DEPENDENCYPART_SIBL
(25,19),(25,28),-0.0183264 # DEPENDENCYPART_SIBL
(25,19),(25,30),0.0683014 # DEPENDENCYPART_SIBL
(25,19),(25,31),0.0293569 # DEPENDENCYPART_SIBL
(25,19),(25,32),0.0395482 # DEPENDENCYPART_SIBL
(25,19),(25,33),-0.0183264 # DEPENDENCYPART_SIBL
(25,19),(25,36),0.0810106 # DEPENDENCYPART_SIBL
(25,20),(25,22),-0.155948 # DEPENDENCYPART_SIBL
(25,20),(25,23),-0.00766584 # DEPENDENCYPART_SIBL
(25,20),(25,24),-0.0129593 # DEPENDENCYPART_SIBL
(25,20),(25,26),0.0431765 # DEPENDENCYPART_SIBL
(25,20),(25,27),0.123646 # DEPENDENCYPART_SIBL
(25,20),(25,28),0.0576673 # DEPENDENCYPART_SIBL
(25,20),(25,30),-0.00689231 # DEPENDENCYPART_SIBL
(25,20),(25,31),0.108559 # DEPENDENCYPART_SIBL
(25,20),(25,32),0.0476308 # DEPENDENCYPART_SIBL
(25,20),(25,33),0.0576673 # DEPENDENCYPART_SIBL
(25,20),(25,36),0.0609788 # DEPENDENCYPART_SIBL
(25,22),(25,23),0.00306839 # DEPENDENCYPART_SIBL
(25,22),(25,24),0.0509388 # DEPENDENCYPART_SIBL
(25,22),(25,26),0.0882075 # DEPENDENCYPART_SIBL
(25,22),(25,27),0.444967 # DEPENDENCYPART_SIBL
(25,22),(25,28),-0.0385605 # DEPENDENCYPART_SIBL
(25,22),(25,30),0.00347751 # DEPENDENCYPART_SIBL
(25,22),(25,31),-0.00867926 # DEPENDENCYPART_SIBL
(25,22),(25,32),0.0575101 # DEPENDENCYPART_SIBL
(25,22),(25,33),-0.0385605 # DEPENDENCYPART_SIBL
(25,22),(25,36),-0.00139482 # DEPENDENCYPART_SIBL
(25,23),(25,24),-0.00721013 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.0443001 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.121388 # DEPENDENCYPART_SIBL
(25,23),(25,28),0.0590429 # DEPENDENCYPART_SIBL
(25,23),(25,30),-0.00487264 # DEPENDENCYPART_SIBL
(25,23),(25,31),0.109007 # DEPENDENCYPART_SIBL
(25,23),(25,32),0.0516126 # DEPENDENCYPART_SIBL
(25,23),(25,33),0.0590429 # DEPENDENCYPART_SIBL
(25,23),(25,36),0.0631066 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.0132937 # DEPENDENCYPART_SIBL
(25,24),(25,27),0.0369933 # DEPENDENCYPART_SIBL
(25,24),(25,28),0.0388898 # DEPENDENCYPART_SIBL
(25,24),(25,30),0.00947125 # DEPENDENCYPART_SIBL
(25,24),(25,31),0.0288421 # DEPENDENCYPART_SIBL
(25,24),(25,32),0.0999338 # DEPENDENCYPART_SIBL
(25,24),(25,33),0.0388898 # DEPENDENCYPART_SIBL
(25,24),(25,36),0.0889514 # DEPENDENCYPART_SIBL
(25,26),(25,27),0.11864 # DEPENDENCYPART_SIBL
(25,26),(25,28),0.00378787 # DEPENDENCYPART_SIBL
(25,26),(25,30),0.0763812 # DEPENDENCYPART_SIBL
(25,26),(25,31),0.0189527 # DEPENDENCYPART_SIBL
(25,26),(25,32),0.028693 # DEPENDENCYPART_SIBL
(25,26),(25,33),0.00378787 # DEPENDENCYPART_SIBL
(25,26),(25,36),0.0773427 # DEPENDENCYPART_SIBL
(25,27),(25,28),0.0321402 # DEPENDENCYPART_SIBL
(25,27),(25,30),0.0719398 # DEPENDENCYPART_SIBL
(25,27),(25,31),0.0360894 # DEPENDENCYPART_SIBL
(25,27),(25,32),-0.0280592 # DEPENDENCYPART_SIBL
(25,27),(25,33),0.0321402 # DEPENDENCYPART_SIBL
(25,27),(25,36),0.069354 # DEPENDENCYPART_SIBL
(25,28),(25,30),0.0587826 # DEPENDENCYPART_SIBL
(25,28),(25,31),0.0750394 # DEPENDENCYPART_SIBL
(25,28),(25,32),0.0616995 # DEPENDENCYPART_SIBL
(25,28),(25,33),-0.0653753 # DEPENDENCYPART_SIBL
(25,28),(25,36),0.0780619 # DEPENDENCYPART_SIBL
(25,30),(25,31),0.0289797 # DEPENDENCYPART_SIBL
(25,30),(25,32),0.0823777 # DEPENDENCYPART_SIBL
(25,30),(25,33),0.0523905 # DEPENDENCYPART_SIBL
(25,30),(25,36),0.00503791 # DEPENDENCYPART_SIBL
(25,31),(25,32),0.0283254 # DEPENDENCYPART_SIBL
(25,31),(25,33),0.0140088 # DEPENDENCYPART_SIBL
(25,31),(25,36),-0.00374992 # DEPENDENCYPART_SIBL
(25,32),(25,33),-0.0361862 # DEPENDENCYPART_SIBL
(25,32),(25,36),0.0125465 # DEPENDENCYPART_SIBL
(25,33),(25,36),0.0780619 # DEPENDENCYPART_SIBL
(26,23),(26,24),-0.0108271 # DEPENDENCYPART_SIBL
(26,23),(26,25),0.0183412 # DEPENDENCYPART_SIBL
(26,23),(26,27),-0.00508242 # DEPENDENCYPART_SIBL
(26,23),(26,28),-0.00281341 # DEPENDENCYPART_SIBL
(26,24),(26,25),0.00369985 # DEPENDENCYPART_SIBL
(26,24),(26,27),0.0273512 # DEPENDENCYPART_SIBL
(26,24),(26,28),0.0278017 # DEPENDENCYPART_SIBL
(26,25),(26,27),0.0348186 # DEPENDENCYPART_SIBL
(26,25),(26,28),-0.0167511 # DEPENDENCYPART_SIBL
(26,27),(26,28),0.0210419 # DEPENDENCYPART_SIBL
(27,25),(27,26),0.02174 # DEPENDENCYPART_SIBL
(27,25),(27,28),-0.118407 # DEPENDENCYPART_SIBL
(27,25),(27,29),-0.0936282 # DEPENDENCYPART_SIBL
(27,25),(27,30),-0.103083 # DEPENDENCYPART_SIBL
(27,25),(27,31),-0.0453881 # DEPENDENCYPART_SIBL
(27,25),(27,32),-0.093019 # DEPENDENCYPART_SIBL
(27,25),(27,33),-0.118407 # DEPENDENCYPART_SIBL
(27,25),(27,36),-0.0619388 # DEPENDENCYPART_SIBL
(27,26),(27,28),-0.0161223 # DEPENDENCYPART_SIBL
(27,26),(27,29),0.0313494 # DEPENDENCYPART_SIBL
(27,26),(27,30),0.0286733 # DEPENDENCYPART_SIBL
(27,26),(27,31),0.106974 # DEPENDENCYPART_SIBL
(27,26),(27,32),-0.0676625 # DEPENDENCYPART_SIBL
(27,26),(27,33),-0.0161223 # DEPENDENCYPART_SIBL
(27,26),(27,36),0.048499 # DEPENDENCYPART_SIBL
(27,28),(27,29),-0.101155 # DEPENDENCYPART_SIBL
(27,28),(27,30),-0.106733 # DEPENDENCYPART_SIBL
(27,28),(27,31),0.0291165 # DEPENDENCYPART_SIBL
(27,28),(27,32),-0.0332791 # DEPENDENCYPART_SIBL
(27,28),(27,33),-0.209063 # DEPENDENCYPART_SIBL
(27,28),(27,36),-0.129466 # DEPENDENCYPART_SIBL
(27,29),(27,30),-0.0639076 # DEPENDENCYPART_SIBL
(27,29),(27,31),-0.00724382 # DEPENDENCYPART_SIBL
(27,29),(27,32),-0.00850137 # DEPENDENCYPART_SIBL
(27,29),(27,33),-0.0581921 # DEPENDENCYPART_SIBL
(27,29),(27,36),-0.100527 # DEPENDENCYPART_SIBL
(27,30),(27,31),0.024113 # DEPENDENCYPART_SIBL
(27,30),(27,32),0.0443926 # DEPENDENCYPART_SIBL
(27,30),(27,33),-0.037528 # DEPENDENCYPART_SIBL
(27,30),(27,36),-0.122109 # DEPENDENCYPART_SIBL
(27,31),(27,32),0.0614997 # DEPENDENCYPART_SIBL
(27,31),(27,33),0.00663451 # DEPENDENCYPART_SIBL
(27,31),(27,36),-0.0309576 # DEPENDENCYPART_SIBL
(27,32),(27,33),-0.0702829 # DEPENDENCYPART_SIBL
(27,32),(27,36),-0.0217168 # DEPENDENCYPART_SIBL
(27,33),(27,36),-0.129466 # DEPENDENCYPART_SIBL
(28,22),(28,23),0.0617992 # DEPENDENCYPART_SIBL
(28,22),(28,24),0.0648606 # DEPENDENCYPART_SIBL
(28,22),(28,26),0.134832 # DEPENDENCYPART_SIBL
(28,22),(28,27),0.132983 # DEPENDENCYPART_SIBL
(28,22),(28,29),0.138144 # DEPENDENCYPART_SIBL
(28,22),(28,30),0.0563055 # DEPENDENCYPART_SIBL
(28,22),(28,31),0.10447 # DEPENDENCYPART_SIBL
(28,22),(28,32),0.112617 # DEPENDENCYPART_SIBL
(28,22),(28,33),0.00855724 # DEPENDENCYPART_SIBL
(28,22),(28,34),0.138144 # DEPENDENCYPART_SIBL
(28,22),(28,36),0.134919 # DEPENDENCYPART_SIBL
(28,23),(28,24),0.00750767 # DEPENDENCYPART_SIBL
(28,23),(28,26),0.088509 # DEPENDENCYPART_SIBL
(28,23),(28,27),0.136729 # DEPENDENCYPART_SIBL
(28,23),(28,29),-0.13439 # DEPENDENCYPART_SIBL
(28,23),(28,30),-0.289733 # DEPENDENCYPART_SIBL
(28,23),(28,31),-0.109323 # DEPENDENCYPART_SIBL
(28,23),(28,32),-0.142328 # DEPENDENCYPART_SIBL
(28,23),(28,33),-0.11286 # DEPENDENCYPART_SIBL
(28,23),(28,34),-0.13439 # DEPENDENCYPART_SIBL
(28,23),(28,36),-0.106998 # DEPENDENCYPART_SIBL
(28,24),(28,26),0.0603544 # DEPENDENCYPART_SIBL
(28,24),(28,27),0.110223 # DEPENDENCYPART_SIBL
(28,24),(28,29),-0.0540601 # DEPENDENCYPART_SIBL
(28,24),(28,30),-0.142471 # DEPENDENCYPART_SIBL
(28,24),(28,31),-0.0685834 # DEPENDENCYPART_SIBL
(28,24),(28,32),-0.0390592 # DEPENDENCYPART_SIBL
(28,24),(28,33),-0.0596683 # DEPENDENCYPART_SIBL
(28,24),(28,34),-0.0540601 # DEPENDENCYPART_SIBL
(28,24),(28,36),-0.0253777 # DEPENDENCYPART_SIBL
(28,26),(28,27),0.122868 # DEPENDENCYPART_SIBL
(28,26),(28,29),0.143788 # DEPENDENCYPART_SIBL
(28,26),(28,30),0.0842914 # DEPENDENCYPART_SIBL
(28,26),(28,31),0.0776885 # DEPENDENCYPART_SIBL
(28,26),(28,32),-0.0226098 # DEPENDENCYPART_SIBL
(28,26),(28,33),-0.00118819 # DEPENDENCYPART_SIBL
(28,26),(28,34),0.143788 # DEPENDENCYPART_SIBL
(28,26),(28,36),0.0671295 # DEPENDENCYPART_SIBL
(28,27),(28,29),0.0600126 # DEPENDENCYPART_SIBL
(28,27),(28,30),-0.00182197 # DEPENDENCYPART_SIBL
(28,27),(28,31),-0.00914098 # DEPENDENCYPART_SIBL
(28,27),(28,32),-0.0743021 # DEPENDENCYPART_SIBL
(28,27),(28,33),-0.0772748 # DEPENDENCYPART_SIBL
(28,27),(28,34),0.0600126 # DEPENDENCYPART_SIBL
(28,27),(28,36),-0.0197227 # DEPENDENCYPART_SIBL
(28,29),(28,30),0.171431 # DEPENDENCYPART_SIBL
(28,29),(28,31),-0.00094056 # DEPENDENCYPART_SIBL
(28,29),(28,32),0.271049 # DEPENDENCYPART_SIBL
(28,29),(28,33),0.150451 # DEPENDENCYPART_SIBL
(28,29),(28,34),-0.0591713 # DEPENDENCYPART_SIBL
(28,29),(28,36),0.0730265 # DEPENDENCYPART_SIBL
(28,30),(28,31),0.0804264 # DEPENDENCYPART_SIBL
(28,30),(28,32),0.418798 # DEPENDENCYPART_SIBL
(28,30),(28,33),0.188569 # DEPENDENCYPART_SIBL
(28,30),(28,34),-0.0515778 # DEPENDENCYPART_SIBL
(28,30),(28,36),0.0213699 # DEPENDENCYPART_SIBL
(28,31),(28,32),0.0762993 # DEPENDENCYPART_SIBL
(28,31),(28,33),0.068371 # DEPENDENCYPART_SIBL
(28,31),(28,34),-0.124013 # DEPENDENCYPART_SIBL
(28,31),(28,36),-0.0535678 # DEPENDENCYPART_SIBL
(28,32),(28,33),-0.0294844 # DEPENDENCYPART_SIBL
(28,32),(28,34),-0.12619 # DEPENDENCYPART_SIBL
(28,32),(28,36),-0.0695967 # DEPENDENCYPART_SIBL
(28,33),(28,34),0.0797726 # DEPENDENCYPART_SIBL
(28,33),(28,36),0.111148 # DEPENDENCYPART_SIBL
(28,34),(28,36),0.0730265 # DEPENDENCYPART_SIBL
(29,30),(29,32),0.0438271 # DEPENDENCYPART_SIBL
(29,30),(29,33),0.0606123 # DEPENDENCYPART_SIBL
(29,32),(29,33),0.0328619 # DEPENDENCYPART_SIBL
(30,22),(30,24),0.142888 # DEPENDENCYPART_SIBL
(30,22),(30,29),0.112125 # DEPENDENCYPART_SIBL
(30,22),(30,31),0.157967 # DEPENDENCYPART_SIBL
(30,22),(30,32),-0.040109 # DEPENDENCYPART_SIBL
(30,22),(30,33),0.00726657 # DEPENDENCYPART_SIBL
(30,22),(30,36),0.0978454 # DEPENDENCYPART_SIBL
(30,24),(30,29),0.0358379 # DEPENDENCYPART_SIBL
(30,24),(30,31),0.0448733 # DEPENDENCYPART_SIBL
(30,24),(30,32),-0.00454174 # DEPENDENCYPART_SIBL
(30,24),(30,33),0.102615 # DEPENDENCYPART_SIBL
(30,24),(30,36),0.252776 # DEPENDENCYPART_SIBL
(30,29),(30,31),0.0566851 # DEPENDENCYPART_SIBL
(30,29),(30,32),0.00311542 # DEPENDENCYPART_SIBL
(30,29),(30,33),0.106157 # DEPENDENCYPART_SIBL
(30,29),(30,36),0.256547 # DEPENDENCYPART_SIBL
(30,31),(30,32),0.0295549 # DEPENDENCYPART_SIBL
(30,31),(30,33),0.0608753 # DEPENDENCYPART_SIBL
(30,31),(30,36),0.0458198 # DEPENDENCYPART_SIBL
(30,32),(30,33),0.0360732 # DEPENDENCYPART_SIBL
(30,32),(30,36),0.0361304 # DEPENDENCYPART_SIBL
(30,33),(30,36),0.0476028 # DEPENDENCYPART_SIBL
(32,33),(32,34),-0.01112 # DEPENDENCYPART_SIBL
(32,33),(32,36),-0.0207337 # DEPENDENCYPART_SIBL
(32,34),(32,36),-0.0438654 # DEPENDENCYPART_SIBL
(33,30),(33,34),-0.0896555 # DEPENDENCYPART_SIBL
(33,30),(33,35),-0.0789227 # DEPENDENCYPART_SIBL
(33,30),(33,36),-0.030834 # DEPENDENCYPART_SIBL
(33,34),(33,35),0.0140619 # DEPENDENCYPART_SIBL
(33,34),(33,36),0.0730265 # DEPENDENCYPART_SIBL
(33,35),(33,36),-0.00278544 # DEPENDENCYPART_SIBL
(34,30),(34,33),0.0707882 # DEPENDENCYPART_SIBL
(34,30),(34,36),0.219973 # DEPENDENCYPART_SIBL
(34,33),(34,36),0.0860011 # DEPENDENCYPART_SIBL
(36,22),(36,33),0.124533 # DEPENDENCYPART_SIBL
(36,22),(36,34),0.118069 # DEPENDENCYPART_SIBL
(36,22),(36,35),-0.527411 # DEPENDENCYPART_SIBL
(36,33),(36,34),0.010873 # DEPENDENCYPART_SIBL
(36,33),(36,35),-0.10531 # DEPENDENCYPART_SIBL
(36,34),(36,35),-0.132614 # DEPENDENCYPART_SIBL
(0,0),(0,2),0.0469723 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,6),0.0745731 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,38),-1.38219 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,2),(0,6),-0.97581 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,38),-0.427143 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,6),(0,38),-0.872023 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.667927 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,5),-0.491772 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.268758 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,38),-0.562073 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,5),(1,6),-1.11723 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,38),-0.938906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,38),-1.14264 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.486032 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-1.25028 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.649499 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.557253 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,6),-0.128855 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,7),-0.443234 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,8),-0.81007 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,11),-0.551119 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,12),-0.621226 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,13),-0.55247 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,17),-0.875199 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,18),-0.9134 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,19),-0.401292 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,20),-0.288015 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,21),-0.776299 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,26),-1.17182 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,31),-1.13056 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,37),-1.25995 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,38),-1.11317 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-1.15903 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,5),-1.38537 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,6),-1.28294 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,7),-1.38894 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,8),-1.16305 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,11),-1.38592 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,12),-1.29126 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,13),-1.31251 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,17),-1.18215 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,18),-1.50783 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,19),-1.44972 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,20),-1.29263 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,21),-1.39268 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,26),-1.54921 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,31),-1.31801 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,37),-2.1332 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,38),-1.45395 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,5),-1.12 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,6),-1.10263 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,7),-1.27329 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,8),-1.02648 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,11),-1.32192 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,12),-0.948003 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,13),-1.31245 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,17),-1.06098 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,18),-1.27055 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,19),-1.25129 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,20),-1.2481 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,21),-0.917943 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,26),-1.12268 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,31),-1.17049 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,37),-1.01542 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,38),-1.0689 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,5),(2,6),-1.08979 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,7),-1.15363 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,8),-0.966721 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,11),-1.23122 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,12),-1.05105 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,13),-0.910513 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,17),-0.773379 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,18),-1.1501 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,19),-1.16875 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,20),-0.897103 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,21),-0.89442 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,26),-1.17889 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,31),-1.16777 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,37),-1.43365 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,38),-1.14183 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
