# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,15,22,7,
(3,8),(8,9),(8,13),-0.0423175 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,14),-0.042317 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,15),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,16),-0.0420142 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,17),-0.0237498 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,18),-0.042317 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,25),-0.0495468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,10),(8,11),-0.0447822 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,12),-0.0443212 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,13),-0.0574325 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,14),-0.0441174 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,15),-0.0420291 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,16),-0.042316 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,17),-0.0448531 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,18),-0.0441174 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,25),0.0383502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,11),(8,12),-0.0483385 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,13),0.00429118 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,14),-0.0177223 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,15),-0.0392772 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,16),-0.0381581 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,17),-0.0353893 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,18),-0.0181155 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,24),-0.0401001 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,25),-0.141143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,12),(8,13),-0.0493755 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,14),-0.0411126 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,15),-0.0422556 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,16),-0.0420662 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,17),-0.0350018 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,18),-0.0411145 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,24),-0.0441489 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,25),0.0112604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,13),(8,14),-0.078689 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,15),-0.0343599 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,16),-0.0521932 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,17),-0.0510842 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,18),-0.0779612 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,25),-0.0701808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,14),(8,15),-0.0391903 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,16),-0.0420412 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,17),-0.0389382 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,18),-0.0294796 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,24),-0.0401001 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,25),-0.127785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,15),(8,16),-0.0433719 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,17),-0.0405538 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,18),-0.043609 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,24),-0.0421191 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,25),-0.0523185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,16),(8,17),-0.0433657 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,16),(8,18),-0.0393031 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,16),(8,24),-0.0427654 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,16),(8,25),-0.115214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,17),(8,18),-0.0424093 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,17),(8,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,17),(8,25),-0.031081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,18),(8,24),-0.0401001 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,18),(8,25),-0.119245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,24),(8,25),-0.0447734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,6),0.0811831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,5),0.0879453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,-1),0.0605861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,6),(8,5),0.097127 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,-1),-0.0720562 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,5),(8,-1),-0.0526392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,10),-0.0541845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,25),0.0304517 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,10),(9,25),-0.0537129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,6),0.101809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,1),-0.064672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,-1),0.165521 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,6),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,-1),-0.0654187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,1),(9,-1),-0.0635545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,11),-0.0368821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,12),-0.0576749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,13),0.0490627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,14),-0.0377931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,15),-0.0434666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,16),-0.0651317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,17),-0.0614876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,18),-0.0406809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,21),-0.0581377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,22),-0.0368821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,24),-0.0442102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,25),0.0385503 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,11),(10,12),-0.0445679 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,13),-0.0311341 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,14),-0.037117 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,15),-0.0426785 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,16),-0.042978 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,17),-0.042704 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,18),-0.0371185 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,21),-0.0445679 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,22),-0.0355525 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,24),-0.0420192 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,25),-0.11358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,12),(10,13),-0.0563264 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,14),-0.0406992 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,15),-0.0426268 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,16),-0.0428335 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,17),-0.0513765 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,18),-0.0409282 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,21),-0.0411312 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,22),-0.0410671 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,24),-0.0421684 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,25),-0.0205471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,13),(10,14),-0.0485461 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,15),-0.0412697 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,16),-0.0518437 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,17),-0.0346192 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,18),-0.0485526 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,21),-0.0224513 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,22),-0.0494259 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,25),-0.079478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,14),(10,15),-0.0426739 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,16),-0.0425697 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,17),-0.0427027 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,18),-0.0365383 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,21),-0.0439709 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,22),-0.0349723 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,24),-0.0420165 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,25),-0.104499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,15),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,18),-0.042092 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,21),-0.042046 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,22),-0.0420945 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,25),-0.0427046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,16),(10,17),-0.0422827 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,18),-0.0431801 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,21),-0.0430291 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,22),-0.0431982 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,24),-0.0424136 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,25),-0.0549425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,17),(10,18),-0.0427817 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,21),-0.0431965 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,22),-0.0427396 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,25),-0.0945805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,18),(10,21),-0.0439748 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,18),(10,22),-0.034972 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,18),(10,24),-0.0420165 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,18),(10,25),-0.0935086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,21),(10,22),-0.0410671 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,21),(10,24),-0.0421684 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,21),(10,25),-0.0210292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,22),(10,24),-0.0420192 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,22),(10,25),-0.11358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,24),(10,25),-0.0459438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,9),0.20423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,8),0.127544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,7),0.0984875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,6),0.117455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,5),0.0740533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,4),0.0776919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,3),0.127537 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,10),(10,2),-0.0641458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,1),-0.0651114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,-1),-0.0415113 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,9),(10,8),0.102929 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,7),0.103068 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,6),0.102725 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,5),0.102819 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,4),0.102978 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,3),0.102929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,9),(10,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,1),-0.0641478 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,-1),0.0187107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,8),(10,7),0.103055 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,6),0.101748 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,5),0.11423 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,4),0.100619 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,3),0.108492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,8),(10,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,1),-0.0647192 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,-1),-0.0760069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,7),(10,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,5),0.103066 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,4),0.103039 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,3),0.10933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,7),(10,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,-1),-0.0726125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,6),(10,5),0.106173 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,6),(10,4),0.101154 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,6),(10,3),0.102525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,6),(10,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,6),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,6),(10,-1),-0.0795494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,5),(10,4),0.0932706 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,5),(10,3),0.103788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,5),(10,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,5),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,5),(10,-1),-0.0802661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,4),(10,3),0.0966227 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,4),(10,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,4),(10,1),-0.064411 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,4),(10,-1),-0.0563664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,3),(10,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,3),(10,1),-0.0647192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,3),(10,-1),-0.0760114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,2),(10,1),-0.0641504 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,2),(10,-1),-0.104134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,1),(10,-1),-0.0397191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,12),-0.0350597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,13),-0.0976985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,14),-0.0555601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,15),-0.0138659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,16),-0.0902286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,17),-0.0259279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,25),-0.201446 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,12),(11,13),-0.0609662 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,14),-0.0523305 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,15),-0.0426539 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,16),-0.0470149 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,17),-0.0458665 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,25),0.0315487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,13),(11,14),-0.0314817 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,15),-0.0461119 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,16),-0.0146334 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,17),-0.0442086 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,25),0.0312771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,14),(11,15),-0.0426008 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,16),-0.0425071 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,17),-0.0426618 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,25),-0.0716088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,15),(11,16),-0.036809 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,17),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,25),-0.017119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,16),(11,17),-0.0420775 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,25),-0.0560236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,17),(11,25),-0.031371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,10),0.137495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,9),0.0812709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,1),-0.0614458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,-1),0.00390953 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,10),(11,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,1),-0.0641753 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,-1),-0.0445682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,9),(11,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,-1),-0.0851208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,1),(11,-1),-0.108025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,12),(12,13),0.0378637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,14),0.056075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,15),-0.0561801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,16),-0.0509709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,17),-0.0508712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,18),0.0714216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,21),-0.0787501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,22),0.0952783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,24),-0.0509293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,25),0.0570671 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,13),(12,14),-0.078689 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,15),-0.0343599 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,16),-0.0521932 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,17),-0.0510842 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,18),-0.0779612 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,21),0.0540576 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,22),-0.0818302 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,25),-0.070167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,14),(12,15),-0.0391903 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,16),-0.0420411 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,17),-0.0389382 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,18),-0.0294753 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,21),-0.0477892 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,22),-0.0319297 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,24),-0.0401001 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,25),-0.124005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,15),(12,16),-0.0433719 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,17),-0.0405538 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,18),-0.043609 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,21),-0.039737 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,22),-0.043645 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,24),-0.0421191 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,25),-0.0523185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,16),(12,17),-0.0433657 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,18),-0.0393031 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,21),-0.0443158 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,22),-0.0399648 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,24),-0.0427654 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,25),-0.115214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,17),(12,18),-0.0424093 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,21),-0.0454089 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,22),-0.042812 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,25),-0.031081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,18),(12,21),-0.0478062 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,22),-0.0320044 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,24),-0.0401001 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,25),-0.115464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,21),(12,22),-0.0386312 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,21),(12,24),-0.0441489 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,21),(12,25),0.011843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,22),(12,24),-0.0401001 # DEPENDENCYPART_GRANDSIBL
