# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,7,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(3,9),(9,9),(9,19),-0.033401 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,10),(9,11),-0.0351214 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,13),-0.0420464 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,14),-0.0351214 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,17),-0.0420464 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,18),-0.0420839 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,19),-0.0269091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,11),(9,13),-0.0421888 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,14),-0.0397611 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,16),-0.0422394 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,17),-0.0421888 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,19),-0.0330497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,13),(9,14),-0.0515897 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,16),-0.0422897 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,17),-0.0421744 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,19),-0.0819135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,14),(9,16),-0.0422394 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,17),-0.0421888 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,19),-0.0344118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,16),(9,17),-0.0420464 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,16),(9,18),-0.0420839 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,16),(9,19),-0.0269091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,17),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,19),-0.0819135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,18),(9,19),-0.0443942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,8),0.0986741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,7),0.122934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,6),0.102459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,5),0.106909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,4),0.113084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,3),0.106909 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,9),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,1),-0.0647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,-1),-0.113165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,8),(9,7),0.102799 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,6),0.102928 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,5),0.108514 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,3),0.108514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,8),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,-1),-0.0588866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,7),(9,6),0.103067 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,5),0.102699 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,3),0.102699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,7),(9,2),-0.0641826 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,-1),-0.0283984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,3),0.103067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,-1),-0.064944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,3),0.102509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,-1),-0.0674972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,4),(9,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,4),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,4),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,4),(9,-1),-0.0544543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,3),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,3),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,3),(9,-1),-0.0677733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,2),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,2),(9,-1),-0.0588866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,1),(9,-1),-0.0419839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,11),-0.0470674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,12),-0.0436303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,13),-0.0702678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,14),-0.0470856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,15),-0.00377692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,16),-0.0449552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,17),-0.0702678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,19),-0.0316913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,11),(10,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,13),-0.0422155 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,14),-0.0448876 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,17),-0.0422155 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,19),-0.0395456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,12),(10,13),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,14),-0.0420565 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,17),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,19),-0.0441562 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,13),(10,14),-0.0372972 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,17),-0.0425684 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,18),-0.0420142 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,19),-0.0738568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,14),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,17),-0.0422155 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,19),-0.039577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,15),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,19),-0.00376141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,16),(10,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,19),-0.0454526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,17),(10,18),-0.0420142 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,19),-0.0738568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,18),(10,19),-0.0420157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,8),0.102742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,7),0.102668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,6),0.103023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,5),0.127544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,3),0.127544 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,10),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,-1),-0.140123 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,8),(10,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,5),0.103009 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,3),0.103009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,8),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,8),(10,-1),-0.0644887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,7),(10,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,7),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,-1),-0.0670614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,6),(10,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,6),(10,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,6),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,6),(10,-1),-0.0643615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,5),(10,3),0.103069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,5),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,5),(10,-1),-0.0400687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,3),(10,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,3),(10,-1),-0.0400687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,1),(10,-1),-0.0641523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,12),-0.0443835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,13),-0.071217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,14),-0.0471213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,16),-0.0729043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,17),-0.072589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,18),-0.042699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,19),0.132006 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,12),(11,13),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,14),-0.0423638 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,17),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,19),-0.0427074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,13),(11,14),-0.0355277 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,16),-0.0421116 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,17),-0.0300714 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,18),-0.0426263 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,19),-0.0934905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,14),(11,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,17),-0.0404964 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,14),(11,19),-0.00512151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,16),(11,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,19),-0.099427 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,17),(11,18),-0.0426263 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,19),-0.0948639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,18),(11,19),-0.0431746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,10),0.100222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,8),0.0975506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,7),0.0774043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,3),0.0845904 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,11),(11,-1),0.108629 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,10),(11,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,10),(11,-1),-0.06818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,8),(11,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,3),0.102866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,8),(11,-1),-0.0725417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,7),(11,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,7),(11,-1),-0.0970044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,3),(11,-1),-0.0802941 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,13),(13,14),-0.0931965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,15),-0.0477468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,16),-0.0380174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,17),-0.0536707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,18),-0.042013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,19),-0.020664 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,14),(13,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,16),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,17),-0.04216 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,18),-0.0420141 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,19),-0.0537913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,15),(13,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,15),(13,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,15),(13,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,15),(13,19),-0.0455988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,16),(13,17),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,16),(13,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,16),(13,19),-0.0381681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,17),(13,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,17),(13,19),-0.0494927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,18),(13,19),-0.0420185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,13),(13,12),0.0816872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,11),0.104712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,10),0.106223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,8),0.110271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,6),0.117317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,3),0.108086 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,13),(13,-1),-0.0892318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,12),(13,11),0.10284 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,8),0.101921 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,3),0.103306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,12),(13,-1),-0.0978502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,11),(13,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,11),(13,8),0.102548 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,11),(13,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,11),(13,3),0.102715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,11),(13,-1),-0.0677222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,10),(13,8),0.103053 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,10),(13,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,10),(13,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,10),(13,-1),-0.0583426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,8),(13,6),0.103069 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,8),(13,3),0.102195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,8),(13,-1),-0.037094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,6),(13,3),0.102955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,6),(13,-1),-0.0458736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,3),(13,-1),-0.0778781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,14),(14,15),-0.0527793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,16),-0.0900188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,17),-0.0350412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,19),0.127895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,15),(14,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,19),-0.0528352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,16),(14,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,19),-0.116232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,17),(14,19),-0.0578202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,13),0.0762219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,7),0.0762219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,-1),0.142918 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,13),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,-1),-0.0986151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,7),(14,-1),-0.0986151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,16),(16,17),-0.0702678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,19),-0.0316914 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,17),(16,18),-0.0420142 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,19),-0.0738568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,18),(16,19),-0.0420157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,16),(16,15),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,7),0.102668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,-1),-0.140123 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,15),(16,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,-1),-0.064149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,7),(16,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,7),(16,-1),-0.0670614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,1),(16,-1),-0.0641523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,18),(18,18),(18,19),-0.108296 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,18),(18,18),(18,17),0.100092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,18),(18,18),(18,-1),-0.11708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,18),(18,17),(18,-1),-0.0671148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,2),0.139479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,3),0.103036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,1),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,7),-0.0646101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,13),-0.0646101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,17),-0.0646101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,19),-0.13649 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,2),(1,3),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,2),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
