# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,23,27,27,24,14,
(11,15),(15,14),0.34437 # DEPENDENCYPART_GRANDPAR
(11,15),(15,16),0.518712 # DEPENDENCYPART_GRANDPAR
(11,15),(15,17),0.389268 # DEPENDENCYPART_GRANDPAR
(11,15),(15,18),0.30004 # DEPENDENCYPART_GRANDPAR
(11,15),(15,19),0.220204 # DEPENDENCYPART_GRANDPAR
(11,15),(15,20),0.251825 # DEPENDENCYPART_GRANDPAR
(11,15),(15,21),0.100331 # DEPENDENCYPART_GRANDPAR
(11,15),(15,22),0.122373 # DEPENDENCYPART_GRANDPAR
(11,15),(15,23),0.287414 # DEPENDENCYPART_GRANDPAR
(11,15),(15,24),0.364155 # DEPENDENCYPART_GRANDPAR
(11,15),(15,27),0.092121 # DEPENDENCYPART_GRANDPAR
(11,15),(15,28),-0.0286942 # DEPENDENCYPART_GRANDPAR
(11,16),(16,2),-1.10333 # DEPENDENCYPART_GRANDPAR
(11,16),(16,3),-0.75379 # DEPENDENCYPART_GRANDPAR
(11,16),(16,15),0.320458 # DEPENDENCYPART_GRANDPAR
(11,16),(16,17),0.365276 # DEPENDENCYPART_GRANDPAR
(11,16),(16,18),0.278312 # DEPENDENCYPART_GRANDPAR
(11,16),(16,19),0.19833 # DEPENDENCYPART_GRANDPAR
(11,16),(16,20),0.26896 # DEPENDENCYPART_GRANDPAR
(11,16),(16,21),0.0660213 # DEPENDENCYPART_GRANDPAR
(11,16),(16,23),0.279691 # DEPENDENCYPART_GRANDPAR
(11,16),(16,24),0.341371 # DEPENDENCYPART_GRANDPAR
(11,16),(16,28),-0.09431 # DEPENDENCYPART_GRANDPAR
(11,17),(17,2),-1.18196 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),0.368503 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),0.214106 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),0.346204 # DEPENDENCYPART_GRANDPAR
(11,17),(17,20),0.327094 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),0.0512687 # DEPENDENCYPART_GRANDPAR
(11,17),(17,22),0.250301 # DEPENDENCYPART_GRANDPAR
(11,17),(17,23),0.404076 # DEPENDENCYPART_GRANDPAR
(11,17),(17,24),0.260613 # DEPENDENCYPART_GRANDPAR
(11,17),(17,27),0.219404 # DEPENDENCYPART_GRANDPAR
(11,17),(17,28),-0.0602966 # DEPENDENCYPART_GRANDPAR
(11,18),(18,16),0.390515 # DEPENDENCYPART_GRANDPAR
(11,18),(18,17),0.337721 # DEPENDENCYPART_GRANDPAR
(11,18),(18,19),0.272997 # DEPENDENCYPART_GRANDPAR
(11,18),(18,20),0.313002 # DEPENDENCYPART_GRANDPAR
(11,19),(19,11),-0.410952 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,19),(19,15),0.475224 # DEPENDENCYPART_GRANDPAR
(11,19),(19,16),0.514335 # DEPENDENCYPART_GRANDPAR
(11,19),(19,17),0.387588 # DEPENDENCYPART_GRANDPAR
(11,19),(19,18),0.446233 # DEPENDENCYPART_GRANDPAR
(11,19),(19,20),0.267023 # DEPENDENCYPART_GRANDPAR
(11,19),(19,21),0.0904875 # DEPENDENCYPART_GRANDPAR
(11,19),(19,22),0.193572 # DEPENDENCYPART_GRANDPAR
(11,19),(19,23),0.326935 # DEPENDENCYPART_GRANDPAR
(11,19),(19,24),0.366312 # DEPENDENCYPART_GRANDPAR
(11,19),(19,27),0.164225 # DEPENDENCYPART_GRANDPAR
(11,19),(19,28),-0.0182115 # DEPENDENCYPART_GRANDPAR
(11,20),(20,21),0.164829 # DEPENDENCYPART_GRANDPAR
(11,20),(20,22),0.241276 # DEPENDENCYPART_GRANDPAR
(11,20),(20,23),0.432071 # DEPENDENCYPART_GRANDPAR
(11,20),(20,24),0.337143 # DEPENDENCYPART_GRANDPAR
(11,20),(20,27),0.213799 # DEPENDENCYPART_GRANDPAR
(11,21),(21,22),0.179277 # DEPENDENCYPART_GRANDPAR
(11,23),(23,1),-0.732752 # DEPENDENCYPART_GRANDPAR
(11,23),(23,3),-0.728765 # DEPENDENCYPART_GRANDPAR
(11,23),(23,11),-0.530333 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,23),(23,15),0.431954 # DEPENDENCYPART_GRANDPAR
(11,23),(23,16),0.390141 # DEPENDENCYPART_GRANDPAR
(11,23),(23,17),0.328198 # DEPENDENCYPART_GRANDPAR
(11,23),(23,18),0.379106 # DEPENDENCYPART_GRANDPAR
(11,23),(23,19),0.32375 # DEPENDENCYPART_GRANDPAR
(11,23),(23,21),0.15257 # DEPENDENCYPART_GRANDPAR
(11,23),(23,22),0.22974 # DEPENDENCYPART_GRANDPAR
(11,23),(23,24),0.38453 # DEPENDENCYPART_GRANDPAR
(11,23),(23,25),-0.0638377 # DEPENDENCYPART_GRANDPAR
(11,23),(23,26),0.334848 # DEPENDENCYPART_GRANDPAR
(11,23),(23,27),0.190161 # DEPENDENCYPART_GRANDPAR
(11,23),(23,28),0.0345635 # DEPENDENCYPART_GRANDPAR
(12,2),(2,1),0.00460331 # DEPENDENCYPART_GRANDPAR
(12,2),(2,3),0.0348146 # DEPENDENCYPART_GRANDPAR
(12,2),(2,4),0.18059 # DEPENDENCYPART_GRANDPAR
(12,2),(2,5),0.00172295 # DEPENDENCYPART_GRANDPAR
(12,2),(2,6),0.0851973 # DEPENDENCYPART_GRANDPAR
(12,2),(2,7),0.580271 # DEPENDENCYPART_GRANDPAR
(12,2),(2,9),0.114895 # DEPENDENCYPART_GRANDPAR
(12,2),(2,10),0.307914 # DEPENDENCYPART_GRANDPAR
(12,2),(2,11),0.252755 # DEPENDENCYPART_GRANDPAR
(12,2),(2,12),-1.56744 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,2),(2,13),-0.705565 # DEPENDENCYPART_GRANDPAR
(12,2),(2,14),-0.835468 # DEPENDENCYPART_GRANDPAR
(12,2),(2,15),-0.553322 # DEPENDENCYPART_GRANDPAR
(12,2),(2,17),-0.53871 # DEPENDENCYPART_GRANDPAR
(12,2),(2,20),-0.539459 # DEPENDENCYPART_GRANDPAR
(12,2),(2,24),-0.497031 # DEPENDENCYPART_GRANDPAR
(12,2),(2,28),-1.03108 # DEPENDENCYPART_GRANDPAR
(12,9),(9,1),-0.0200044 # DEPENDENCYPART_GRANDPAR
(12,9),(9,3),0.0815545 # DEPENDENCYPART_GRANDPAR
(12,9),(9,4),0.117542 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),-0.0647489 # DEPENDENCYPART_GRANDPAR
(12,9),(9,6),0.0186848 # DEPENDENCYPART_GRANDPAR
(12,9),(9,7),0.572139 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),-0.28837 # DEPENDENCYPART_GRANDPAR
(12,9),(9,10),0.283243 # DEPENDENCYPART_GRANDPAR
(12,9),(9,11),0.256285 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-1.57103 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,9),(9,13),-0.705957 # DEPENDENCYPART_GRANDPAR
(12,9),(9,14),-0.83577 # DEPENDENCYPART_GRANDPAR
(12,9),(9,15),-0.553668 # DEPENDENCYPART_GRANDPAR
(12,9),(9,16),-0.477152 # DEPENDENCYPART_GRANDPAR
(12,9),(9,17),-0.539552 # DEPENDENCYPART_GRANDPAR
(12,9),(9,19),-0.672237 # DEPENDENCYPART_GRANDPAR
(12,9),(9,20),-0.539793 # DEPENDENCYPART_GRANDPAR
(12,9),(9,24),-0.498127 # DEPENDENCYPART_GRANDPAR
(12,9),(9,27),-0.759006 # DEPENDENCYPART_GRANDPAR
(12,9),(9,28),-1.03142 # DEPENDENCYPART_GRANDPAR
(12,11),(11,6),0.0992178 # DEPENDENCYPART_GRANDPAR
(12,11),(11,9),-0.184242 # DEPENDENCYPART_GRANDPAR
(12,11),(11,10),0.187689 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-1.59816 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,13),-0.744175 # DEPENDENCYPART_GRANDPAR
(12,11),(11,14),-0.83384 # DEPENDENCYPART_GRANDPAR
(12,11),(11,15),-0.56566 # DEPENDENCYPART_GRANDPAR
(12,11),(11,16),-0.479173 # DEPENDENCYPART_GRANDPAR
(12,11),(11,17),-0.585643 # DEPENDENCYPART_GRANDPAR
(12,11),(11,18),-0.671741 # DEPENDENCYPART_GRANDPAR
(12,11),(11,19),-0.668223 # DEPENDENCYPART_GRANDPAR
(12,11),(11,20),-0.544025 # DEPENDENCYPART_GRANDPAR
(12,11),(11,21),-0.817323 # DEPENDENCYPART_GRANDPAR
(12,11),(11,23),-0.756173 # DEPENDENCYPART_GRANDPAR
(12,11),(11,28),-1.04112 # DEPENDENCYPART_GRANDPAR
(12,14),(14,1),-0.456071 # DEPENDENCYPART_GRANDPAR
(12,14),(14,2),-0.781 # DEPENDENCYPART_GRANDPAR
(12,14),(14,3),-0.4637 # DEPENDENCYPART_GRANDPAR
(12,14),(14,4),-0.412776 # DEPENDENCYPART_GRANDPAR
(12,14),(14,5),-0.592406 # DEPENDENCYPART_GRANDPAR
(12,14),(14,6),-0.508937 # DEPENDENCYPART_GRANDPAR
(12,14),(14,7),0.186665 # DEPENDENCYPART_GRANDPAR
(12,14),(14,9),-0.5599 # DEPENDENCYPART_GRANDPAR
(12,14),(14,10),-0.258323 # DEPENDENCYPART_GRANDPAR
(12,14),(14,11),-0.339176 # DEPENDENCYPART_GRANDPAR
(12,14),(14,12),-1.1133 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,14),(14,13),-0.269433 # DEPENDENCYPART_GRANDPAR
(12,14),(14,15),-0.0323939 # DEPENDENCYPART_GRANDPAR
(12,14),(14,16),-0.0139682 # DEPENDENCYPART_GRANDPAR
(12,14),(14,17),-0.072154 # DEPENDENCYPART_GRANDPAR
(12,14),(14,18),-0.245038 # DEPENDENCYPART_GRANDPAR
(12,14),(14,19),-0.224592 # DEPENDENCYPART_GRANDPAR
(12,14),(14,20),-0.0312362 # DEPENDENCYPART_GRANDPAR
(12,14),(14,23),-0.221284 # DEPENDENCYPART_GRANDPAR
(12,14),(14,24),-0.0627523 # DEPENDENCYPART_GRANDPAR
(12,14),(14,28),-0.594459 # DEPENDENCYPART_GRANDPAR
(14,1),(1,2),0.130612 # DEPENDENCYPART_GRANDPAR
(14,1),(1,3),0.0734184 # DEPENDENCYPART_GRANDPAR
(14,1),(1,6),0.180052 # DEPENDENCYPART_GRANDPAR
(14,1),(1,7),0.6649 # DEPENDENCYPART_GRANDPAR
(14,2),(2,1),0.651949 # DEPENDENCYPART_GRANDPAR
(14,2),(2,3),0.06556 # DEPENDENCYPART_GRANDPAR
(14,2),(2,4),0.636687 # DEPENDENCYPART_GRANDPAR
(14,2),(2,5),0.584389 # DEPENDENCYPART_GRANDPAR
(14,2),(2,6),0.411114 # DEPENDENCYPART_GRANDPAR
(14,2),(2,7),0.879929 # DEPENDENCYPART_GRANDPAR
(14,2),(2,9),0.485544 # DEPENDENCYPART_GRANDPAR
(14,2),(2,10),0.5198 # DEPENDENCYPART_GRANDPAR
(14,2),(2,11),0.623395 # DEPENDENCYPART_GRANDPAR
(14,2),(2,12),0.68704 # DEPENDENCYPART_GRANDPAR
(14,2),(2,13),1.23001 # DEPENDENCYPART_GRANDPAR
(14,2),(2,14),-0.902616 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,2),(2,15),0.158583 # DEPENDENCYPART_GRANDPAR
(14,2),(2,17),0.510201 # DEPENDENCYPART_GRANDPAR
(14,2),(2,20),0.155994 # DEPENDENCYPART_GRANDPAR
(14,2),(2,24),0.358743 # DEPENDENCYPART_GRANDPAR
(14,2),(2,28),0.043062 # DEPENDENCYPART_GRANDPAR
(14,3),(3,1),0.656123 # DEPENDENCYPART_GRANDPAR
(14,3),(3,2),0.254481 # DEPENDENCYPART_GRANDPAR
(14,3),(3,4),0.374915 # DEPENDENCYPART_GRANDPAR
(14,3),(3,5),0.322651 # DEPENDENCYPART_GRANDPAR
(14,3),(3,6),0.149375 # DEPENDENCYPART_GRANDPAR
(14,3),(3,7),0.735531 # DEPENDENCYPART_GRANDPAR
(14,3),(3,9),0.403538 # DEPENDENCYPART_GRANDPAR
(14,3),(3,11),0.362162 # DEPENDENCYPART_GRANDPAR
(14,3),(3,12),0.415343 # DEPENDENCYPART_GRANDPAR
(14,3),(3,14),-1.02896 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,4),(4,5),0.563144 # DEPENDENCYPART_GRANDPAR
(14,4),(4,6),0.391582 # DEPENDENCYPART_GRANDPAR
(14,4),(4,7),0.870941 # DEPENDENCYPART_GRANDPAR
(14,4),(4,9),0.548143 # DEPENDENCYPART_GRANDPAR
(14,4),(4,13),1.22102 # DEPENDENCYPART_GRANDPAR
(14,5),(5,1),0.532351 # DEPENDENCYPART_GRANDPAR
(14,5),(5,2),0.235932 # DEPENDENCYPART_GRANDPAR
(14,5),(5,3),0.169302 # DEPENDENCYPART_GRANDPAR
(14,5),(5,4),0.593976 # DEPENDENCYPART_GRANDPAR
(14,5),(5,6),0.389829 # DEPENDENCYPART_GRANDPAR
(14,5),(5,7),0.875313 # DEPENDENCYPART_GRANDPAR
(14,5),(5,9),0.548763 # DEPENDENCYPART_GRANDPAR
(14,5),(5,10),0.731749 # DEPENDENCYPART_GRANDPAR
(14,5),(5,12),0.738203 # DEPENDENCYPART_GRANDPAR
(14,5),(5,13),1.22539 # DEPENDENCYPART_GRANDPAR
(14,5),(5,14),-0.930479 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,6),(6,1),0.536082 # DEPENDENCYPART_GRANDPAR
(14,6),(6,2),0.242748 # DEPENDENCYPART_GRANDPAR
(14,6),(6,3),0.173151 # DEPENDENCYPART_GRANDPAR
(14,6),(6,4),0.598409 # DEPENDENCYPART_GRANDPAR
(14,6),(6,5),0.546132 # DEPENDENCYPART_GRANDPAR
(14,6),(6,7),0.873608 # DEPENDENCYPART_GRANDPAR
(14,6),(6,8),0.390463 # DEPENDENCYPART_GRANDPAR
(14,6),(6,9),0.549882 # DEPENDENCYPART_GRANDPAR
(14,6),(6,10),0.73327 # DEPENDENCYPART_GRANDPAR
(14,6),(6,11),0.605445 # DEPENDENCYPART_GRANDPAR
(14,6),(6,12),0.743257 # DEPENDENCYPART_GRANDPAR
(14,6),(6,13),1.22368 # DEPENDENCYPART_GRANDPAR
(14,6),(6,14),-0.930479 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,6),(6,15),0.0874865 # DEPENDENCYPART_GRANDPAR
(14,6),(6,16),-0.034445 # DEPENDENCYPART_GRANDPAR
(14,6),(6,17),0.371993 # DEPENDENCYPART_GRANDPAR
(14,6),(6,19),-0.111383 # DEPENDENCYPART_GRANDPAR
(14,6),(6,20),0.110519 # DEPENDENCYPART_GRANDPAR
(14,6),(6,23),0.0472256 # DEPENDENCYPART_GRANDPAR
(14,6),(6,28),-0.0184364 # DEPENDENCYPART_GRANDPAR
(14,7),(7,9),0.317336 # DEPENDENCYPART_GRANDPAR
(14,9),(9,1),0.672655 # DEPENDENCYPART_GRANDPAR
(14,9),(9,3),0.217148 # DEPENDENCYPART_GRANDPAR
(14,9),(9,4),0.706225 # DEPENDENCYPART_GRANDPAR
(14,9),(9,5),0.659162 # DEPENDENCYPART_GRANDPAR
(14,9),(9,6),0.478939 # DEPENDENCYPART_GRANDPAR
(14,9),(9,7),0.801891 # DEPENDENCYPART_GRANDPAR
(14,9),(9,8),0.414422 # DEPENDENCYPART_GRANDPAR
(14,9),(9,10),0.506946 # DEPENDENCYPART_GRANDPAR
(14,9),(9,11),0.644433 # DEPENDENCYPART_GRANDPAR
(14,9),(9,12),0.717828 # DEPENDENCYPART_GRANDPAR
(14,9),(9,13),1.30616 # DEPENDENCYPART_GRANDPAR
(14,9),(9,14),-0.902885 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,9),(9,15),0.158197 # DEPENDENCYPART_GRANDPAR
(14,9),(9,16),0.0181793 # DEPENDENCYPART_GRANDPAR
(14,9),(9,17),0.509149 # DEPENDENCYPART_GRANDPAR
(14,9),(9,19),-0.069543 # DEPENDENCYPART_GRANDPAR
(14,9),(9,20),0.155638 # DEPENDENCYPART_GRANDPAR
(14,9),(9,24),0.357183 # DEPENDENCYPART_GRANDPAR
(14,9),(9,27),-0.37284 # DEPENDENCYPART_GRANDPAR
(14,9),(9,28),0.0427073 # DEPENDENCYPART_GRANDPAR
(14,10),(10,11),0.328092 # DEPENDENCYPART_GRANDPAR
(14,10),(10,12),0.383839 # DEPENDENCYPART_GRANDPAR
(14,10),(10,13),1.04199 # DEPENDENCYPART_GRANDPAR
(14,10),(10,14),-1.03666 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,10),(10,15),0.0576009 # DEPENDENCYPART_GRANDPAR
(14,10),(10,16),-0.0593814 # DEPENDENCYPART_GRANDPAR
(14,10),(10,19),-0.178654 # DEPENDENCYPART_GRANDPAR
(14,11),(11,6),0.372354 # DEPENDENCYPART_GRANDPAR
(14,11),(11,9),0.513997 # DEPENDENCYPART_GRANDPAR
(14,11),(11,10),0.573927 # DEPENDENCYPART_GRANDPAR
(14,11),(11,12),0.745154 # DEPENDENCYPART_GRANDPAR
(14,11),(11,13),1.22324 # DEPENDENCYPART_GRANDPAR
(14,11),(11,14),-0.930479 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,11),(11,15),0.0874865 # DEPENDENCYPART_GRANDPAR
(14,11),(11,16),-0.034445 # DEPENDENCYPART_GRANDPAR
(14,11),(11,17),0.371993 # DEPENDENCYPART_GRANDPAR
(14,11),(11,18),-0.245346 # DEPENDENCYPART_GRANDPAR
(14,11),(11,19),-0.111383 # DEPENDENCYPART_GRANDPAR
(14,11),(11,20),0.110514 # DEPENDENCYPART_GRANDPAR
(14,11),(11,21),-0.417248 # DEPENDENCYPART_GRANDPAR
(14,11),(11,23),0.0472256 # DEPENDENCYPART_GRANDPAR
(14,11),(11,28),-0.0184421 # DEPENDENCYPART_GRANDPAR
(14,12),(12,2),0.206338 # DEPENDENCYPART_GRANDPAR
(14,12),(12,9),0.474658 # DEPENDENCYPART_GRANDPAR
(14,12),(12,11),0.511029 # DEPENDENCYPART_GRANDPAR
(14,12),(12,13),1.15347 # DEPENDENCYPART_GRANDPAR
(14,12),(12,14),-0.930479 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,2),-0.0741502 # DEPENDENCYPART_GRANDPAR
(14,15),(15,3),0.143062 # DEPENDENCYPART_GRANDPAR
(14,15),(15,5),0.169531 # DEPENDENCYPART_GRANDPAR
(14,15),(15,6),-0.00374975 # DEPENDENCYPART_GRANDPAR
(14,15),(15,7),0.50655 # DEPENDENCYPART_GRANDPAR
(14,15),(15,9),0.189056 # DEPENDENCYPART_GRANDPAR
(14,15),(15,10),0.464766 # DEPENDENCYPART_GRANDPAR
(14,15),(15,11),0.209036 # DEPENDENCYPART_GRANDPAR
(14,15),(15,12),0.247262 # DEPENDENCYPART_GRANDPAR
(14,15),(15,13),0.856626 # DEPENDENCYPART_GRANDPAR
(14,15),(15,14),-0.538493 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,16),0.66247 # DEPENDENCYPART_GRANDPAR
(14,15),(15,17),0.896831 # DEPENDENCYPART_GRANDPAR
(14,15),(15,18),0.511432 # DEPENDENCYPART_GRANDPAR
(14,15),(15,19),0.686257 # DEPENDENCYPART_GRANDPAR
(14,15),(15,20),0.632383 # DEPENDENCYPART_GRANDPAR
(14,15),(15,21),0.349239 # DEPENDENCYPART_GRANDPAR
(14,15),(15,22),0.447517 # DEPENDENCYPART_GRANDPAR
(14,15),(15,23),0.90877 # DEPENDENCYPART_GRANDPAR
(14,15),(15,24),0.682146 # DEPENDENCYPART_GRANDPAR
(14,15),(15,27),0.381074 # DEPENDENCYPART_GRANDPAR
(14,15),(15,28),0.366566 # DEPENDENCYPART_GRANDPAR
(14,16),(16,2),-0.221999 # DEPENDENCYPART_GRANDPAR
(14,16),(16,3),0.00313206 # DEPENDENCYPART_GRANDPAR
(14,16),(16,15),0.400973 # DEPENDENCYPART_GRANDPAR
(14,16),(16,17),0.631562 # DEPENDENCYPART_GRANDPAR
(14,16),(16,18),0.217551 # DEPENDENCYPART_GRANDPAR
(14,16),(16,19),0.305848 # DEPENDENCYPART_GRANDPAR
(14,16),(16,20),0.440399 # DEPENDENCYPART_GRANDPAR
(14,16),(16,21),0.0317993 # DEPENDENCYPART_GRANDPAR
(14,16),(16,23),0.483096 # DEPENDENCYPART_GRANDPAR
(14,16),(16,24),0.448612 # DEPENDENCYPART_GRANDPAR
(14,16),(16,28),0.0576213 # DEPENDENCYPART_GRANDPAR
(14,17),(17,2),-0.375615 # DEPENDENCYPART_GRANDPAR
(14,17),(17,16),0.313029 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),0.229465 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),0.555524 # DEPENDENCYPART_GRANDPAR
(14,17),(17,20),0.547263 # DEPENDENCYPART_GRANDPAR
(14,17),(17,21),0.0762132 # DEPENDENCYPART_GRANDPAR
(14,17),(17,22),0.319958 # DEPENDENCYPART_GRANDPAR
(14,17),(17,23),0.695718 # DEPENDENCYPART_GRANDPAR
(14,17),(17,24),0.421923 # DEPENDENCYPART_GRANDPAR
(14,17),(17,27),0.252864 # DEPENDENCYPART_GRANDPAR
(14,17),(17,28),0.158568 # DEPENDENCYPART_GRANDPAR
(14,18),(18,16),0.283739 # DEPENDENCYPART_GRANDPAR
(14,18),(18,17),0.586987 # DEPENDENCYPART_GRANDPAR
(14,18),(18,19),0.330215 # DEPENDENCYPART_GRANDPAR
(14,18),(18,20),0.447123 # DEPENDENCYPART_GRANDPAR
(14,19),(19,11),0.0455837 # DEPENDENCYPART_GRANDPAR
(14,19),(19,15),0.550426 # DEPENDENCYPART_GRANDPAR
(14,19),(19,16),0.434116 # DEPENDENCYPART_GRANDPAR
(14,19),(19,17),0.598782 # DEPENDENCYPART_GRANDPAR
(14,19),(19,18),0.301788 # DEPENDENCYPART_GRANDPAR
(14,19),(19,20),0.498371 # DEPENDENCYPART_GRANDPAR
(14,19),(19,21),0.153429 # DEPENDENCYPART_GRANDPAR
(14,19),(19,22),0.260018 # DEPENDENCYPART_GRANDPAR
(14,19),(19,23),0.598218 # DEPENDENCYPART_GRANDPAR
(14,19),(19,24),0.534698 # DEPENDENCYPART_GRANDPAR
(14,19),(19,27),0.194985 # DEPENDENCYPART_GRANDPAR
(14,19),(19,28),0.181771 # DEPENDENCYPART_GRANDPAR
(14,20),(20,21),0.302213 # DEPENDENCYPART_GRANDPAR
(14,20),(20,22),0.284281 # DEPENDENCYPART_GRANDPAR
(14,20),(20,23),0.732625 # DEPENDENCYPART_GRANDPAR
(14,20),(20,24),0.655123 # DEPENDENCYPART_GRANDPAR
(14,20),(20,27),0.220647 # DEPENDENCYPART_GRANDPAR
(14,23),(23,1),0.052442 # DEPENDENCYPART_GRANDPAR
(14,23),(23,3),0.0175138 # DEPENDENCYPART_GRANDPAR
(14,23),(23,11),0.0373701 # DEPENDENCYPART_GRANDPAR
(14,23),(23,15),0.46137 # DEPENDENCYPART_GRANDPAR
(14,23),(23,16),0.304179 # DEPENDENCYPART_GRANDPAR
(14,23),(23,17),0.564578 # DEPENDENCYPART_GRANDPAR
(14,23),(23,18),0.332325 # DEPENDENCYPART_GRANDPAR
(14,23),(23,19),0.331431 # DEPENDENCYPART_GRANDPAR
(14,23),(23,21),0.168662 # DEPENDENCYPART_GRANDPAR
(14,23),(23,22),0.0974077 # DEPENDENCYPART_GRANDPAR
(14,23),(23,24),0.462117 # DEPENDENCYPART_GRANDPAR
(14,23),(23,25),0.186157 # DEPENDENCYPART_GRANDPAR
(14,23),(23,26),0.194413 # DEPENDENCYPART_GRANDPAR
(14,23),(23,27),0.10392 # DEPENDENCYPART_GRANDPAR
(14,23),(23,28),0.199425 # DEPENDENCYPART_GRANDPAR
(14,24),(24,23),0.498595 # DEPENDENCYPART_GRANDPAR
(14,24),(24,25),0.0405677 # DEPENDENCYPART_GRANDPAR
(14,24),(24,26),0.189524 # DEPENDENCYPART_GRANDPAR
(14,24),(24,27),0.0975127 # DEPENDENCYPART_GRANDPAR
(15,2),(2,1),0.286964 # DEPENDENCYPART_GRANDPAR
(15,2),(2,3),-0.285702 # DEPENDENCYPART_GRANDPAR
(15,2),(2,4),0.251212 # DEPENDENCYPART_GRANDPAR
(15,2),(2,5),0.245774 # DEPENDENCYPART_GRANDPAR
(15,2),(2,6),0.183925 # DEPENDENCYPART_GRANDPAR
(15,2),(2,7),0.242311 # DEPENDENCYPART_GRANDPAR
(15,2),(2,9),0.0769801 # DEPENDENCYPART_GRANDPAR
(15,2),(2,10),0.257826 # DEPENDENCYPART_GRANDPAR
(15,2),(2,11),0.251484 # DEPENDENCYPART_GRANDPAR
(15,2),(2,12),0.241855 # DEPENDENCYPART_GRANDPAR
(15,2),(2,13),0.326284 # DEPENDENCYPART_GRANDPAR
(15,2),(2,14),0.102615 # DEPENDENCYPART_GRANDPAR
(15,2),(2,15),-0.937068 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,2),(2,17),0.15406 # DEPENDENCYPART_GRANDPAR
(15,2),(2,20),-0.160946 # DEPENDENCYPART_GRANDPAR
(15,2),(2,24),0.082172 # DEPENDENCYPART_GRANDPAR
(15,2),(2,28),-0.024465 # DEPENDENCYPART_GRANDPAR
(15,3),(3,1),0.404158 # DEPENDENCYPART_GRANDPAR
(15,3),(3,2),0.242674 # DEPENDENCYPART_GRANDPAR
(15,3),(3,4),0.00474049 # DEPENDENCYPART_GRANDPAR
(15,3),(3,5),-0.00133049 # DEPENDENCYPART_GRANDPAR
(15,3),(3,6),-0.0631806 # DEPENDENCYPART_GRANDPAR
(15,3),(3,7),0.155427 # DEPENDENCYPART_GRANDPAR
(15,3),(3,9),0.000438563 # DEPENDENCYPART_GRANDPAR
(15,3),(3,11),0.00488424 # DEPENDENCYPART_GRANDPAR
(15,3),(3,12),-0.0165533 # DEPENDENCYPART_GRANDPAR
(15,3),(3,14),0.116739 # DEPENDENCYPART_GRANDPAR
(15,5),(5,1),0.195782 # DEPENDENCYPART_GRANDPAR
(15,5),(5,2),0.0813223 # DEPENDENCYPART_GRANDPAR
(15,5),(5,3),-0.201297 # DEPENDENCYPART_GRANDPAR
(15,5),(5,4),0.323991 # DEPENDENCYPART_GRANDPAR
(15,5),(5,6),0.167452 # DEPENDENCYPART_GRANDPAR
(15,5),(5,7),0.38235 # DEPENDENCYPART_GRANDPAR
(15,5),(5,9),0.177757 # DEPENDENCYPART_GRANDPAR
(15,5),(5,10),0.45395 # DEPENDENCYPART_GRANDPAR
(15,5),(5,12),0.273869 # DEPENDENCYPART_GRANDPAR
(15,5),(5,13),0.466323 # DEPENDENCYPART_GRANDPAR
(15,5),(5,14),0.158133 # DEPENDENCYPART_GRANDPAR
(15,6),(6,1),0.195668 # DEPENDENCYPART_GRANDPAR
(15,6),(6,2),0.0834972 # DEPENDENCYPART_GRANDPAR
(15,6),(6,3),-0.201294 # DEPENDENCYPART_GRANDPAR
