# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,6,6,9,10,11,12,12,5,5,16,17,20,18,24,23,24,0,24,
(5,6),(6,10),(6,16),-0.073108 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,17),-0.0475988 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,18),-0.0431846 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,20),-0.0236496 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,21),0.00632316 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,23),-0.011773 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,26),0.0394426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,11),(6,12),-0.0470004 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,15),-0.0426793 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,16),-0.0199176 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,17),-0.039828 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,18),-0.0464311 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,20),-0.0510912 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,21),-0.0526532 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,23),-0.0483375 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,26),0.0667031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,12),(6,15),-0.0454375 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,16),-0.0520387 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,17),-0.0436186 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,20),-0.0340057 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,21),-0.0300479 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,23),-0.0307234 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,26),-0.0341112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,15),(6,16),-0.0467399 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,17),-0.0451514 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,18),-0.0435241 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,20),-0.0465989 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,21),-0.0429874 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,23),-0.0385154 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,26),-0.0555196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,16),(6,17),-0.05869 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,18),-0.0467392 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,20),-0.0576366 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,21),-0.0471185 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,23),-0.0418138 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,26),-0.102916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,17),(6,18),-0.043658 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,20),-0.0344924 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,21),-0.0559985 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,23),-0.0420163 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,26),-0.204646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,18),(6,20),-0.0319439 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,21),-0.0656777 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,23),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,26),-0.0769237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,20),(6,21),0.00454086 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,23),-0.011773 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,26),0.0504231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,21),(6,23),-0.0558152 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,26),-0.0534504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,23),(6,26),-0.0389059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,4),-0.0647626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,3),-0.0642524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,2),-0.0688618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,1),-0.0406459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,-1),0.0444555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,4),(6,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,1),-0.0649708 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,-1),-0.0842956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,3),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,1),-0.0701201 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,-1),-0.0533536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,2),(6,1),-0.0641847 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,2),(6,-1),-0.0683456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,1),(6,-1),-0.0641617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,8),-0.0255624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,9),0.0177592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,10),-0.0723701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,11),0.0148202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,12),-0.0450131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,15),-0.0449718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,16),-0.0397698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,17),-0.0521907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,20),-0.0697368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,21),-0.0407437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,23),-0.0624084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,24),-0.0290777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,26),0.10021 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,8),(7,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,10),-0.0354944 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,17),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,20),-0.0354944 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,21),-0.042014 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,23),-0.0385588 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,24),-0.0420166 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,26),-0.0889446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,9),(7,10),-0.0423024 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,11),-0.0434391 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,15),-0.0424014 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,16),-0.0423995 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,17),-0.0474401 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,20),-0.0423024 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,21),-0.0474937 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,23),-0.0420251 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,24),-0.0420176 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,26),0.00618271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,10),(7,11),-0.0468058 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,15),-0.0434612 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,16),-0.0430444 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,17),-0.0434719 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,20),-0.04831 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,21),-0.0472163 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,23),-0.0375612 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,24),-0.0420824 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,26),-0.0547049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,11),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,15),-0.0424016 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,16),-0.0424639 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,17),-0.0464017 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,20),-0.0424197 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,21),-0.047652 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,23),-0.0420252 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,24),-0.0420176 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,26),0.0113743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,12),(7,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,16),-0.0420207 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,21),-0.0439627 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,24),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,26),-0.0428047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,15),(7,16),-0.0420725 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,17),-0.0420117 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,20),-0.0424712 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,21),-0.0427818 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,23),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,24),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,26),-0.0442051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,16),(7,17),-0.0420144 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,20),-0.042272 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,21),-0.0423645 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,23),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,24),-0.0420152 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,26),-0.0540544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,17),(7,20),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,21),-0.0427729 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,23),-0.0420322 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,17),(7,26),-0.0609402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,20),(7,21),-0.0472163 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,20),(7,23),-0.0375612 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,20),(7,24),-0.0420824 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,20),(7,26),-0.0517086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,21),(7,23),-0.0458886 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,21),(7,24),-0.0421136 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,21),(7,26),-0.0513451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,23),(7,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,23),(7,26),-0.0106654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,24),(7,26),-0.0503832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,6),0.107065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,5),0.101184 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,7),(7,4),-0.0641645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,3),-0.0641469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,-1),-0.188738 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,6),(7,5),0.101985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,6),(7,4),-0.0641459 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,-1),-0.0647752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,5),(7,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,5),(7,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,5),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,5),(7,-1),-0.0772375 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,4),(7,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,4),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,4),(7,-1),-0.0752662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,3),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,3),(7,-1),-0.0415448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,2),(7,-1),-0.0653551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,9),-0.0420467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,26),0.00299188 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,9),(8,26),-0.0420467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,7),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,6),0.102936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,5),0.103069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,8),(8,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,-1),-0.00272537 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,7),(8,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,5),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,7),(8,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,5),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,-1),-0.06428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,5),(8,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,-1),-0.0641463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,4),(8,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,-1),-0.0648158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,3),(8,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,3),(8,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,1),(8,-1),-0.0641811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,10),-0.0584544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,11),-0.0530556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,12),-0.0424665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,14),-0.0453353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,16),-0.0416982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,17),-0.0600561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,18),-0.0592996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,26),-0.0601225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,10),(9,11),-0.0422179 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,12),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,16),-0.0423267 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,17),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,18),-0.0420195 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,26),-0.048251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,11),(9,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,16),-0.0426374 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,17),-0.042364 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,18),-0.0420117 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,26),-0.0628117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,12),(9,14),-0.042017 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,26),-0.0415239 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,14),(9,16),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,26),-0.0451441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,16),(9,17),-0.0422829 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,26),-0.0504147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,17),(9,18),-0.0420244 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,17),(9,26),-0.0628661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,18),(9,26),-0.0604528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,8),0.0980508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,7),0.0917123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,-1),-0.081516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,8),(9,7),0.102982 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,-1),-0.0652312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,7),(9,-1),-0.0459828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,10),(10,11),-0.064195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,12),-0.0426272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,14),-0.0782237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,15),-0.0202999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,16),-0.0550606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,17),-0.0494735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,20),-0.0103479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,21),-0.0360496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,24),-0.0532928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,26),0.00832839 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,11),(10,12),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,14),-0.043564 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,15),-0.0420141 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,16),-0.0434705 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,17),-0.0420265 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,20),-0.0473804 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,21),-0.0459125 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,24),-0.0420894 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,26),-0.0188225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,12),(10,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,20),-0.0420132 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,21),-0.0437619 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,26),-0.0432912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,14),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,16),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,20),-0.0216189 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,21),-0.0420776 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,24),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,26),-0.0748907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,15),(10,16),-0.0420612 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,17),-0.0420195 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,20),-0.036368 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,21),-0.0420375 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,24),-0.0420302 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,26),-0.0432066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,16),(10,17),-0.042027 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,20),-0.0454306 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,21),-0.0444315 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,24),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,26),-0.0764009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,17),(10,20),-0.0420272 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,17),(10,21),-0.0427474 # DEPENDENCYPART_GRANDSIBL
