# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(7,8),(7,30),-0.884459 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-0.607943 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-0.948632 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,14),-0.642919 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,30),-0.863594 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,13),-0.798671 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,14),-0.677145 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,30),-0.645916 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,14),-0.404267 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,30),-0.952298 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,30),-0.801511 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.467106 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,4),-0.572166 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,1),-0.579471 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.765839 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,4),-1.34892 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,1),-1.11309 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.916305 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,4),(7,1),-0.97596 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,-1),-0.848591 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,1),(7,-1),-0.423208 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.784228 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.369918 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),-0.624702 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,14),-0.438247 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,18),-1.48889 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,19),-0.957997 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,24),-1.3165 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,29),-1.3996 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,30),-0.641126 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.675156 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-0.965376 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,14),-0.701303 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,18),0.0230406 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,19),-0.521625 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,24),-0.175569 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,29),0.0242728 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,30),-0.977107 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,13),-0.84348 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,14),-0.67167 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,18),-0.656961 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,19),-0.990931 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,24),-0.556547 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,29),-0.421722 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,30),-0.716996 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,14),-0.373947 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,18),-0.485325 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,19),-0.746124 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,24),-0.162884 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,29),-0.388935 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,30),-0.87663 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,14),(8,18),-0.55885 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,19),-0.832198 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,24),-0.27194 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,29),-0.583299 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,30),-0.83983 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,18),(8,19),0.276617 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,24),-0.964077 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,29),-0.860137 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,30),-0.900982 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,19),(8,24),-0.148712 # DEPENDENCYPART_NEXTSIBL
(8,19),(8,29),-0.921693 # DEPENDENCYPART_NEXTSIBL
(8,19),(8,30),-0.440146 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,24),(8,29),-0.763529 # DEPENDENCYPART_NEXTSIBL
(8,24),(8,30),-0.95797 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,29),(8,30),-1.66093 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.373896 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),-0.694668 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.512401 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.505224 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,3),-0.495436 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,2),-0.932862 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,1),-0.508197 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.784694 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.458669 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,5),-0.836279 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-0.74956 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,3),-1.11662 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,2),-1.02444 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,1),-1.02697 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-1.18579 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,5),-0.664512 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,4),-1.24915 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,3),-1.26704 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,2),-1.24339 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,1),-1.01564 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.74902 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.518429 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,3),-0.836033 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,2),-1.0592 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,1),-0.972722 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-1.1475 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,3),-0.532242 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,2),-0.712702 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,1),-0.849932 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-0.75871 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,3),(8,2),-0.477099 # DEPENDENCYPART_NEXTSIBL
(8,3),(8,1),-0.795775 # DEPENDENCYPART_NEXTSIBL
(8,3),(8,-1),-1.42807 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,2),(8,1),-0.698297 # DEPENDENCYPART_NEXTSIBL
(8,2),(8,-1),-1.38968 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,1),(8,-1),-0.39288 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.304149 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.42448 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),-0.452731 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,15),-0.500571 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,18),-1.62729 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,19),-0.971797 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,21),-0.591618 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,24),-1.45489 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,25),-0.75161 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,29),-1.57325 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,30),-0.844415 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,13),-0.762838 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-0.786436 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,15),-0.89032 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,18),-0.617223 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,19),-0.915441 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,21),-0.912034 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,24),-0.516809 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,25),-1.21769 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,29),-0.33965 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,30),-0.469784 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),-0.467566 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,15),-0.625836 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,18),-0.592474 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,19),-0.726891 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,21),-0.786644 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,24),-0.270033 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,25),-0.872931 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,29),-0.414099 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,30),-0.917219 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,15),-1.00442 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,18),-0.610943 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,19),-0.876706 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,21),-1.00311 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,24),-0.324033 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,25),-0.843921 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,29),-0.643849 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,30),-0.842234 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,15),(9,18),-1.02358 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,19),-1.07671 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,21),-1.50415 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,24),-0.73111 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,25),-0.996715 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,29),-0.981305 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,30),-1.0951 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,18),(9,19),0.065863 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,21),-0.655707 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,24),-0.998613 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,25),-1.10141 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,29),-0.951778 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,30),-0.9392 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,19),(9,21),-0.52224 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,24),-0.25686 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,25),-0.597371 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,29),-0.919284 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,30),-0.618833 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,21),(9,24),-0.560909 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,25),-0.575829 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,29),-0.925579 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,30),-0.721422 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,24),(9,25),-0.431189 # DEPENDENCYPART_NEXTSIBL
(9,24),(9,29),-0.855171 # DEPENDENCYPART_NEXTSIBL
(9,24),(9,30),-0.996188 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,25),(9,29),-0.415722 # DEPENDENCYPART_NEXTSIBL
(9,25),(9,30),-0.744407 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,29),(9,30),-1.60551 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.562534 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.413263 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,6),-0.675791 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,5),-0.449953 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,4),-0.592752 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,2),-0.870073 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,1),-0.607728 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.816283 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.553762 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,6),-1.00509 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,5),-1.04678 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,4),-1.31065 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,2),-1.22355 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,1),-1.16767 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),-0.972708 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,6),-0.669371 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,5),-0.85067 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,4),-0.858473 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,2),-1.05236 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,1),-1.09074 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,-1),-1.16112 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,6),(9,5),-0.841494 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,4),-1.42191 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,2),-1.36399 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,1),-1.19488 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,-1),-1.12187 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,5),(9,4),-0.540496 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,2),-1.04417 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,1),-0.991897 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,-1),-1.22153 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,4),(9,2),-0.766092 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,1),-0.977418 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,-1),-0.850359 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,2),(9,1),-0.726141 # DEPENDENCYPART_NEXTSIBL
(9,2),(9,-1),-1.35979 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,1),(9,-1),-0.443572 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,11),-1.21011 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,12),-0.84514 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),-0.372176 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,14),-0.438655 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,15),-0.489807 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,17),-0.93418 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,18),-1.75455 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,19),-1.15605 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,21),-0.603926 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,25),-0.851568 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,29),-1.5249 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,30),-1.39727 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,12),-1.30883 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,13),-1.45828 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,14),-1.35102 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,15),-1.46268 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,17),-1.42383 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,18),-1.26708 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,19),-1.6073 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,21),-1.49883 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,25),-1.63285 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,29),-2.17107 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,30),-1.20884 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,12),(10,13),-1.21416 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,14),-0.991526 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,15),-1.34446 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,17),-1.38019 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,18),-1.02326 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,19),-1.15258 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,21),-1.28133 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,25),-0.982621 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,29),-0.781475 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,30),-1.29291 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,14),-0.489349 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,15),-0.706477 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,17),-0.913222 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,18),-0.603812 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,19),-0.746621 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,21),-0.890525 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,25),-1.02992 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,29),-0.459544 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,30),-0.79145 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,14),(10,15),-0.992162 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,17),-1.05663 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,18),-0.631248 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,19),-0.93199 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,21),-0.878701 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,25),-0.854226 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,29),-0.691312 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,30),-1.0885 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,15),(10,17),-1.08249 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,18),-1.04846 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,19),-1.11035 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,21),-1.56217 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,25),-0.989491 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,29),-1.01963 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,30),-1.01048 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,17),(10,18),-0.686799 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,19),-1.06223 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,21),-1.22316 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,25),-0.956823 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,29),-0.710515 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,30),-0.833513 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,18),(10,19),0.141512 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,21),-0.712015 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,25),-1.10715 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,29),-1.00111 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,30),-0.877353 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,19),(10,21),-0.570267 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,25),-0.536214 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,29),-0.98978 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,30),-0.703953 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,21),(10,25),-0.69229 # DEPENDENCYPART_NEXTSIBL
(10,21),(10,29),-1.01769 # DEPENDENCYPART_NEXTSIBL
(10,21),(10,30),-0.497066 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,25),(10,29),-0.529895 # DEPENDENCYPART_NEXTSIBL
(10,25),(10,30),-0.918718 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,29),(10,30),-1.68882 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,9),-0.61634 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,8),-0.567408 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,7),-0.486486 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,5),-0.388497 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,4),-0.607052 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.711073 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,9),(10,8),-0.826591 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,7),-0.938282 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,5),-0.975457 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,4),-1.22634 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,-1),-0.845259 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,8),(10,7),-0.595015 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,5),-1.02812 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,4),-1.36281 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,-1),-0.947675 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,7),(10,5),-0.842049 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,4),-0.902827 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,-1),-1.22286 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,5),(10,4),-0.51934 # DEPENDENCYPART_NEXTSIBL
(10,5),(10,-1),-1.18989 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,4),(10,-1),-0.833607 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,14),-0.358728 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,30),-0.57493 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,14),(11,30),-0.820148 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,-1),-0.577919 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,12),(12,14),-0.299303 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.487761 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,30),-0.71036 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,14),(12,15),-0.945678 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,30),-0.79847 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,30),-1.17567 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),-0.631034 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.714693 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,-1),-0.835324 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),-0.336322 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,15),-0.462202 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.892598 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,18),-1.50054 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,19),-0.937795 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),-0.640251 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,21),-0.740314 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,23),-0.818564 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,24),-1.32814 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,25),-0.724615 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,28),-1.07177 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,29),-1.40433 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,30),-0.712618 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,15),-0.876312 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-0.924335 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,18),-0.497782 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,19),-0.766836 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,20),-0.841759 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,21),-0.913216 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,23),-0.81802 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,24),-0.210872 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,25),-0.550917 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,28),-0.863159 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,29),-0.54115 # DEPENDENCYPART_NEXTSIBL
