# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,10,17,10,19,17,17,17,21,22,27,26,27,23,10,10,
(19,16),(19,23),-0.140622 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.0106366 # DEPENDENCYPART_SIBL
(19,16),(19,27),-0.0231167 # DEPENDENCYPART_SIBL
(19,16),(19,28),-0.0019199 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.081186 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0107456 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.216264 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.112256 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.330008 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.136207 # DEPENDENCYPART_SIBL
(19,18),(19,27),-0.113111 # DEPENDENCYPART_SIBL
(19,18),(19,28),-0.167697 # DEPENDENCYPART_SIBL
(19,18),(19,29),-0.173419 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0746981 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.00415723 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0207667 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.0329348 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.0732313 # DEPENDENCYPART_SIBL
(19,20),(19,28),0.0221161 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.0374098 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0172517 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0141788 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0364244 # DEPENDENCYPART_SIBL
(19,21),(19,27),0.0450186 # DEPENDENCYPART_SIBL
(19,21),(19,28),0.0274477 # DEPENDENCYPART_SIBL
(19,21),(19,29),0.0948109 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0314504 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0126036 # DEPENDENCYPART_SIBL
(19,22),(19,27),-0.00392853 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.0146394 # DEPENDENCYPART_SIBL
(19,22),(19,29),0.0030583 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0193833 # DEPENDENCYPART_SIBL
(19,23),(19,27),-0.00673484 # DEPENDENCYPART_SIBL
(19,23),(19,28),-0.0155179 # DEPENDENCYPART_SIBL
(19,23),(19,29),0.0704909 # DEPENDENCYPART_SIBL
(19,25),(19,27),0.0590238 # DEPENDENCYPART_SIBL
(19,25),(19,28),-0.00195548 # DEPENDENCYPART_SIBL
(19,25),(19,29),-0.00828064 # DEPENDENCYPART_SIBL
(19,27),(19,28),0.000433985 # DEPENDENCYPART_SIBL
(19,27),(19,29),-0.00294316 # DEPENDENCYPART_SIBL
(19,28),(19,29),0.207413 # DEPENDENCYPART_SIBL
(20,1),(20,3),0.013801 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0298463 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0176454 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.00190918 # DEPENDENCYPART_SIBL
(20,1),(20,21),0.0248846 # DEPENDENCYPART_SIBL
(20,1),(20,22),0.0292933 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.0337725 # DEPENDENCYPART_SIBL
(20,1),(20,27),0.015601 # DEPENDENCYPART_SIBL
(20,3),(20,15),0.0147348 # DEPENDENCYPART_SIBL
(20,3),(20,18),-0.0238871 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.0259432 # DEPENDENCYPART_SIBL
(20,3),(20,21),0.392588 # DEPENDENCYPART_SIBL
(20,3),(20,22),0.0708413 # DEPENDENCYPART_SIBL
(20,3),(20,23),0.17233 # DEPENDENCYPART_SIBL
(20,3),(20,27),0.0435712 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.00017126 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0128479 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0876146 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.050102 # DEPENDENCYPART_SIBL
(20,15),(20,23),0.0822997 # DEPENDENCYPART_SIBL
(20,15),(20,27),0.0528006 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.00771728 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.072356 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.00399525 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0511888 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.0106292 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0293656 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0129625 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0128203 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.0103187 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0199029 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0305727 # DEPENDENCYPART_SIBL
(20,21),(20,27),0.0214547 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.00397685 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.00370206 # DEPENDENCYPART_SIBL
(20,23),(20,27),0.0275291 # DEPENDENCYPART_SIBL
(21,2),(21,19),0.0302039 # DEPENDENCYPART_SIBL
(21,2),(21,20),0.150274 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.0311114 # DEPENDENCYPART_SIBL
(21,2),(21,23),0.134576 # DEPENDENCYPART_SIBL
(21,2),(21,24),0.0157033 # DEPENDENCYPART_SIBL
(21,2),(21,25),0.0421711 # DEPENDENCYPART_SIBL
(21,2),(21,26),0.0178555 # DEPENDENCYPART_SIBL
(21,2),(21,27),0.00406511 # DEPENDENCYPART_SIBL
(21,2),(21,28),0.103853 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.0704481 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.0410358 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.0108553 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0530802 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.0547462 # DEPENDENCYPART_SIBL
(21,19),(21,26),-0.0284894 # DEPENDENCYPART_SIBL
(21,19),(21,27),-0.0465708 # DEPENDENCYPART_SIBL
(21,19),(21,28),0.0096283 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.115829 # DEPENDENCYPART_SIBL
(21,20),(21,23),0.0287984 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0581651 # DEPENDENCYPART_SIBL
(21,20),(21,25),-0.0398495 # DEPENDENCYPART_SIBL
(21,20),(21,26),-0.0515088 # DEPENDENCYPART_SIBL
(21,20),(21,27),-0.111764 # DEPENDENCYPART_SIBL
(21,20),(21,28),0.0400822 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.00550908 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.0330746 # DEPENDENCYPART_SIBL
(21,22),(21,25),0.0316623 # DEPENDENCYPART_SIBL
(21,22),(21,26),-0.0234764 # DEPENDENCYPART_SIBL
(21,22),(21,27),-0.0598879 # DEPENDENCYPART_SIBL
(21,22),(21,28),0.00225692 # DEPENDENCYPART_SIBL
(21,23),(21,24),0.00394054 # DEPENDENCYPART_SIBL
(21,23),(21,25),0.00157306 # DEPENDENCYPART_SIBL
(21,23),(21,26),0.0243738 # DEPENDENCYPART_SIBL
(21,23),(21,27),-0.00331283 # DEPENDENCYPART_SIBL
(21,23),(21,28),0.0121017 # DEPENDENCYPART_SIBL
(21,24),(21,25),-0.0311869 # DEPENDENCYPART_SIBL
(21,24),(21,26),-0.0558698 # DEPENDENCYPART_SIBL
(21,24),(21,27),-0.085205 # DEPENDENCYPART_SIBL
(21,24),(21,28),-0.0468592 # DEPENDENCYPART_SIBL
(21,25),(21,26),-0.0298354 # DEPENDENCYPART_SIBL
(21,25),(21,27),-0.0202022 # DEPENDENCYPART_SIBL
(21,25),(21,28),-0.0262474 # DEPENDENCYPART_SIBL
(21,26),(21,27),-0.0753643 # DEPENDENCYPART_SIBL
(21,26),(21,28),-0.0541136 # DEPENDENCYPART_SIBL
(21,27),(21,28),-0.0497311 # DEPENDENCYPART_SIBL
(22,1),(22,19),0.00624883 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.0163914 # DEPENDENCYPART_SIBL
(22,1),(22,21),-0.0142762 # DEPENDENCYPART_SIBL
(22,1),(22,23),0.0021096 # DEPENDENCYPART_SIBL
(22,1),(22,24),0.00151282 # DEPENDENCYPART_SIBL
(22,1),(22,25),0.0011186 # DEPENDENCYPART_SIBL
(22,1),(22,26),-0.0219912 # DEPENDENCYPART_SIBL
(22,1),(22,27),-0.0315122 # DEPENDENCYPART_SIBL
(22,1),(22,28),0.00342788 # DEPENDENCYPART_SIBL
(22,19),(22,20),0.0261033 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.0304158 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0505133 # DEPENDENCYPART_SIBL
(22,19),(22,24),0.0195387 # DEPENDENCYPART_SIBL
(22,19),(22,25),0.0170606 # DEPENDENCYPART_SIBL
(22,19),(22,26),0.0494676 # DEPENDENCYPART_SIBL
(22,19),(22,27),0.0036985 # DEPENDENCYPART_SIBL
(22,19),(22,28),0.0264554 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.0454232 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.0411005 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0284997 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0614372 # DEPENDENCYPART_SIBL
(22,20),(22,26),-0.0128457 # DEPENDENCYPART_SIBL
(22,20),(22,27),-0.0292006 # DEPENDENCYPART_SIBL
(22,20),(22,28),0.00316372 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.024257 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0365701 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0405304 # DEPENDENCYPART_SIBL
(22,21),(22,26),-0.00257385 # DEPENDENCYPART_SIBL
(22,21),(22,27),-0.0712478 # DEPENDENCYPART_SIBL
(22,21),(22,28),-0.0139607 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.00672099 # DEPENDENCYPART_SIBL
(22,23),(22,25),0.0232507 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.014225 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.0112364 # DEPENDENCYPART_SIBL
(22,23),(22,28),0.0215546 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0308374 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.0498078 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.0397465 # DEPENDENCYPART_SIBL
(22,24),(22,28),-0.0150546 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.0504612 # DEPENDENCYPART_SIBL
(22,25),(22,27),-0.0417968 # DEPENDENCYPART_SIBL
(22,25),(22,28),-0.0125153 # DEPENDENCYPART_SIBL
(22,26),(22,27),-0.0229176 # DEPENDENCYPART_SIBL
(22,26),(22,28),-0.014028 # DEPENDENCYPART_SIBL
(22,27),(22,28),-0.0333101 # DEPENDENCYPART_SIBL
(23,19),(23,20),0.0353875 # DEPENDENCYPART_SIBL
(23,19),(23,21),0.0552486 # DEPENDENCYPART_SIBL
(23,19),(23,22),0.0175091 # DEPENDENCYPART_SIBL
(23,19),(23,24),-0.0512308 # DEPENDENCYPART_SIBL
(23,19),(23,25),-0.0652982 # DEPENDENCYPART_SIBL
(23,19),(23,26),-0.00941553 # DEPENDENCYPART_SIBL
(23,19),(23,27),0.00525956 # DEPENDENCYPART_SIBL
(23,19),(23,28),0.00292511 # DEPENDENCYPART_SIBL
(23,19),(23,29),0.00508544 # DEPENDENCYPART_SIBL
(23,20),(23,21),0.0892366 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.00606457 # DEPENDENCYPART_SIBL
(23,20),(23,24),-0.0515283 # DEPENDENCYPART_SIBL
(23,20),(23,25),-0.0496394 # DEPENDENCYPART_SIBL
(23,20),(23,26),-0.0221463 # DEPENDENCYPART_SIBL
(23,20),(23,27),-0.0207767 # DEPENDENCYPART_SIBL
(23,20),(23,28),0.041931 # DEPENDENCYPART_SIBL
(23,20),(23,29),0.0734731 # DEPENDENCYPART_SIBL
(23,21),(23,22),-0.0161735 # DEPENDENCYPART_SIBL
(23,21),(23,24),-0.0555949 # DEPENDENCYPART_SIBL
(23,21),(23,25),-0.0538944 # DEPENDENCYPART_SIBL
(23,21),(23,26),-0.0214245 # DEPENDENCYPART_SIBL
(23,21),(23,27),-0.044361 # DEPENDENCYPART_SIBL
(23,21),(23,28),0.0088486 # DEPENDENCYPART_SIBL
(23,21),(23,29),0.0751422 # DEPENDENCYPART_SIBL
(23,22),(23,24),-0.0367464 # DEPENDENCYPART_SIBL
(23,22),(23,25),-0.0424932 # DEPENDENCYPART_SIBL
(23,22),(23,26),-0.0290968 # DEPENDENCYPART_SIBL
(23,22),(23,27),-0.00454735 # DEPENDENCYPART_SIBL
(23,22),(23,28),0.00605727 # DEPENDENCYPART_SIBL
(23,22),(23,29),0.0416933 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.0345606 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.0642829 # DEPENDENCYPART_SIBL
(23,24),(23,27),-0.082507 # DEPENDENCYPART_SIBL
(23,24),(23,28),-0.0308728 # DEPENDENCYPART_SIBL
(23,24),(23,29),-0.0693367 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.0358303 # DEPENDENCYPART_SIBL
(23,25),(23,27),-0.019174 # DEPENDENCYPART_SIBL
(23,25),(23,28),0.00715975 # DEPENDENCYPART_SIBL
(23,25),(23,29),-0.00894617 # DEPENDENCYPART_SIBL
(23,26),(23,27),-0.0682855 # DEPENDENCYPART_SIBL
(23,26),(23,28),-0.0307738 # DEPENDENCYPART_SIBL
(23,26),(23,29),-0.0165265 # DEPENDENCYPART_SIBL
(23,27),(23,28),-0.0235118 # DEPENDENCYPART_SIBL
(23,27),(23,29),-0.0143687 # DEPENDENCYPART_SIBL
(23,28),(23,29),0.135435 # DEPENDENCYPART_SIBL
(24,25),(24,26),-0.0135759 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.00755225 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.0571727 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.0489282 # DEPENDENCYPART_SIBL
(25,23),(25,28),0.0410079 # DEPENDENCYPART_SIBL
(25,24),(25,26),-0.00662523 # DEPENDENCYPART_SIBL
(25,24),(25,27),-0.0613808 # DEPENDENCYPART_SIBL
(25,24),(25,28),0.000480656 # DEPENDENCYPART_SIBL
(25,26),(25,27),0.00908472 # DEPENDENCYPART_SIBL
(25,26),(25,28),0.0285659 # DEPENDENCYPART_SIBL
(25,27),(25,28),-0.0119786 # DEPENDENCYPART_SIBL
(26,24),(26,25),0.00499765 # DEPENDENCYPART_SIBL
(27,20),(27,22),-0.00476462 # DEPENDENCYPART_SIBL
(27,20),(27,23),0.0521312 # DEPENDENCYPART_SIBL
(27,20),(27,24),0.00179359 # DEPENDENCYPART_SIBL
(27,20),(27,25),-0.0167039 # DEPENDENCYPART_SIBL
(27,20),(27,26),0.0172494 # DEPENDENCYPART_SIBL
(27,20),(27,28),-0.00769596 # DEPENDENCYPART_SIBL
(27,20),(27,29),0.0200268 # DEPENDENCYPART_SIBL
(27,22),(27,23),0.0117341 # DEPENDENCYPART_SIBL
(27,22),(27,24),0.0273436 # DEPENDENCYPART_SIBL
(27,22),(27,25),0.00909211 # DEPENDENCYPART_SIBL
(27,22),(27,26),0.0318892 # DEPENDENCYPART_SIBL
(27,22),(27,28),-0.00402716 # DEPENDENCYPART_SIBL
(27,22),(27,29),0.0420263 # DEPENDENCYPART_SIBL
(27,23),(27,24),0.000674755 # DEPENDENCYPART_SIBL
(27,23),(27,25),-0.0386419 # DEPENDENCYPART_SIBL
(27,23),(27,26),-0.0308582 # DEPENDENCYPART_SIBL
(27,23),(27,28),-0.0268351 # DEPENDENCYPART_SIBL
(27,23),(27,29),0.0384239 # DEPENDENCYPART_SIBL
(27,24),(27,25),-0.00886657 # DEPENDENCYPART_SIBL
(27,24),(27,26),0.058572 # DEPENDENCYPART_SIBL
(27,24),(27,28),0.0755941 # DEPENDENCYPART_SIBL
(27,24),(27,29),0.0320722 # DEPENDENCYPART_SIBL
(27,25),(27,26),0.0185716 # DEPENDENCYPART_SIBL
(27,25),(27,28),-0.0336188 # DEPENDENCYPART_SIBL
(27,25),(27,29),0.058833 # DEPENDENCYPART_SIBL
(27,26),(27,28),-2.30519e-06 # DEPENDENCYPART_SIBL
(27,26),(27,29),0.00136393 # DEPENDENCYPART_SIBL
(27,28),(27,29),0.223587 # DEPENDENCYPART_SIBL
(28,26),(28,27),0.0107944 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.548144 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,2),-0.835366 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-0.640701 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,6),-0.307728 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,10),-0.200416 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,17),0.189031 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,30),-1.40308 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,2),-1.14885 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,3),-1.10357 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,6),-1.09576 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,10),-0.948881 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,17),-1.05435 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,30),-0.471455 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(0,3),-0.863316 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,6),-0.91016 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,10),-0.968421 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,17),-1.08107 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,30),-0.932659 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,3),(0,6),-0.857404 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,10),-0.682186 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,17),-0.720318 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,30),-0.97643 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,6),(0,10),-1.19024 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,17),-1.05542 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,30),-0.91432 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,10),(0,17),-1.16946 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,30),-0.433567 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,17),(0,30),-0.929168 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.688814 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.746101 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.496633 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.342172 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.585791 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,7),-0.597571 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,8),-1.05625 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,9),-0.349287 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,10),-0.580769 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,13),-0.497294 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,14),-0.823668 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,15),-0.87404 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,17),-0.0942166 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,20),-0.388622 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,21),-0.463785 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,22),-0.461627 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,29),-1.38131 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,30),-0.785225 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.774468 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.727922 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-0.916402 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,7),-0.737471 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,8),-0.747455 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,9),-0.976623 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,10),-1.02312 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,13),-0.85274 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,14),-0.870379 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,15),-1.01764 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,17),-1.11558 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,20),-1.3798 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,21),-1.25685 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,22),-1.24618 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,29),-0.557295 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,30),-0.912616 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,5),-0.559097 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,6),-0.804436 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,7),-0.277325 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,8),-0.590774 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,9),-0.741091 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,10),-0.673893 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,13),-0.488884 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,14),-0.350819 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,15),-0.23732 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,17),-0.703924 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,20),-0.655296 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,21),-1.07697 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,22),-0.756015 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,29),-0.276874 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,30),-0.820882 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-1.1179 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,7),-0.939709 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,8),-0.92933 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,9),-1.09734 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,10),-1.20015 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,13),-1.19832 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,14),-0.839994 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,15),-1.13985 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,17),-1.02923 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,20),-1.07967 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,21),-1.29723 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,22),-1.20077 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,29),-1.16199 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,30),-1.10043 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,7),-0.860182 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,8),-0.597443 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,9),-1.01342 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,10),-1.28492 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,13),-1.02969 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,14),-0.601497 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,15),-0.867484 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,17),-1.14009 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,20),-0.952292 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,21),-0.899698 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,22),-1.0189 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,29),-0.165142 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,30),-1.08192 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,7),(1,8),-0.607454 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,9),-0.873833 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,10),-0.915497 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,13),-1.02933 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,14),-0.538934 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,15),-0.880269 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,17),-0.818284 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,20),-0.78792 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,21),-0.793415 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,22),-0.901959 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,29),-0.882568 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,30),-0.654268 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,8),(1,9),-0.82304 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,10),-0.535796 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,13),-0.655936 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,14),-1.1649 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,15),-0.906161 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,17),-0.774539 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,20),-1.25528 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,21),-1.5003 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,22),-1.18021 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,29),-1.12467 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,30),-0.867716 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,9),(1,10),-0.953702 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,13),-0.934419 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,14),-1.2721 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,15),-1.22754 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,17),-1.12909 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,20),-1.13036 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,21),-1.30017 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,22),-1.10118 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,29),-1.37622 # DEPENDENCYPART_NEXTSIBL
