# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(4,13),(13,7),(13,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,7),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,6),(13,5),0.094719 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,4),0.100316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,6),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,1),-0.0641483 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,-1),0.0305586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,5),(13,4),0.0963735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,5),(13,3),-0.0642468 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,5),(13,1),-0.0645917 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,5),(13,-1),-0.0873523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,4),(13,3),-0.0641486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,4),(13,1),-0.0641708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,4),(13,-1),-0.0753317 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,3),(13,1),-0.0641708 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,3),(13,-1),-0.0753897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,1),(13,-1),0.0305586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,14),(14,15),-0.0333095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,16),-0.0133782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,17),-0.0431525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,18),-0.0606435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,19),-0.0478987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,20),0.0434726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,22),-0.0698031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,24),-0.0843203 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,15),(14,16),-0.0420203 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,20),-0.0426416 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,24),-0.0385336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,16),(14,17),-0.0420238 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,18),-0.042014 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,19),-0.0427128 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,20),-0.061109 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,22),-0.0470294 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,24),-0.0116823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,17),(14,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,20),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,22),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,24),-0.0446285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,18),(14,19),-0.0422098 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,20),-0.0456456 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,22),-0.0424886 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,24),-0.0550538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,19),(14,20),-0.0483425 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,22),-0.0429979 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,23),-0.0424009 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,24),-0.031769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,20),(14,22),-0.0280441 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,20),(14,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,20),(14,24),0.00821758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,22),(14,23),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,24),-0.035259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,23),(14,24),-0.0426882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,14),(14,13),0.144943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,11),0.101125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,10),0.101126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,8),0.101126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,6),0.101125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,5),0.118153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,4),0.104948 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,14),(14,-1),0.101554 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,13),(14,11),0.102718 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,10),0.102718 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,8),0.102718 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,6),0.102718 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,5),0.103066 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,4),0.103027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,13),(14,-1),-0.0438366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,11),(14,10),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,8),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,6),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,11),(14,-1),-0.0727189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,10),(14,8),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,6),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,10),(14,-1),-0.0727189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,8),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,8),(14,6),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,8),(14,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,8),(14,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,8),(14,-1),-0.0727189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,7),(14,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,7),(14,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,7),(14,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,7),(14,-1),-0.064167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,6),(14,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,6),(14,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,6),(14,-1),-0.0727198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,5),(14,4),0.109172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,5),(14,-1),-0.0539322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,4),(14,-1),-0.0674827 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,15),(15,16),-0.0129485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,17),-0.0431525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,18),-0.0587027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,19),-0.0478964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,20),0.0483491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,22),-0.0697328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,24),-0.0742446 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,16),(15,17),-0.0420238 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,18),-0.042014 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,19),-0.0427128 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,20),-0.0610103 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,22),-0.0470294 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,16),(15,24),-0.0112032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,17),(15,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,20),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,22),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,17),(15,24),-0.0446283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,18),(15,19),-0.0422098 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,18),(15,20),-0.0456456 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,18),(15,22),-0.0424886 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,18),(15,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,18),(15,24),-0.0531114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,19),(15,20),-0.0483425 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,22),-0.0429979 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,23),-0.0424009 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,19),(15,24),-0.0317685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,20),(15,22),-0.0278899 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,20),(15,24),0.013432 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,22),(15,23),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,22),(15,24),-0.0352036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,23),(15,24),-0.0426882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,15),(15,14),0.101362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,13),0.130691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,12),0.118153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,11),0.101133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,10),0.101135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,8),0.101135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,7),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,6),0.101134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,5),0.118153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,15),(15,15),(15,4),0.104977 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,15),(15,-1),0.121734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,15),(15,14),(15,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,12),0.103051 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,5),0.103051 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,14),(15,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,14),(15,-1),-0.0684753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,13),(15,12),0.103066 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,11),0.102894 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,10),0.102894 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,8),0.102894 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,6),0.102894 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,5),0.103066 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,13),(15,4),0.103027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,13),(15,-1),-0.0510141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,12),(15,11),0.102961 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,10),0.102961 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,8),0.102961 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,6),0.102961 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,5),0.103069 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,12),(15,4),0.109172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,12),(15,-1),-0.053931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,11),(15,10),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,8),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,6),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,11),(15,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,11),(15,-1),-0.0725343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,10),(15,8),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,6),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,10),(15,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,10),(15,-1),-0.0725343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,8),(15,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,8),(15,6),0.103017 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,8),(15,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,8),(15,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,8),(15,-1),-0.0725343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,7),(15,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,7),(15,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,7),(15,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,7),(15,-1),-0.064167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,6),(15,5),0.103067 # DEPENDENCYPART_GRANDSIBL
(4,15),(15,6),(15,4),0.103065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,6),(15,-1),-0.0725352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,5),(15,4),0.109172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,5),(15,-1),-0.053931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,15),(15,4),(15,-1),-0.06746 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,16),(16,16),(16,17),0.0104736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,18),-0.00407585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,19),-0.0271188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,20),-0.0569413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,24),-0.152346 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,16),(16,17),(16,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,17),(16,19),-0.0466828 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,17),(16,20),-0.0279034 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,17),(16,24),-0.0375535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,16),(16,18),(16,19),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,18),(16,20),-0.0420755 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,18),(16,24),-0.00639164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,16),(16,19),(16,20),-0.0467223 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,19),(16,24),-0.0216032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,16),(16,20),(16,24),-0.0179303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,16),(16,16),(16,15),0.102941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,8),0.0932352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,-1),-0.00819027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,16),(16,15),(16,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,15),(16,-1),-0.0641615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,16),(16,8),(16,-1),-0.0855033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,20),(20,20),(20,21),0.00217512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,20),(20,20),(20,22),-0.00826849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,20),(20,20),(20,23),-0.0420282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,20),(20,20),(20,24),-0.233063 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,20),(20,21),(20,22),-0.0424159 # DEPENDENCYPART_GRANDSIBL
(4,20),(20,21),(20,23),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(4,20),(20,21),(20,24),-0.00684885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,20),(20,22),(20,23),-0.0421403 # DEPENDENCYPART_GRANDSIBL
(4,20),(20,22),(20,24),0.0553743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,20),(20,23),(20,24),-0.0467807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,20),(20,20),(20,19),0.137694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,20),(20,20),(20,-1),0.0480482 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,20),(20,19),(20,-1),-0.0449896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,22),(22,22),(22,24),0.0654823 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,22),(22,22),(22,21),0.0594593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,22),(22,22),(22,20),0.146623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,22),(22,22),(22,19),0.0820002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,22),(22,22),(22,18),0.0901716 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,22),(22,22),(22,-1),0.0554921 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,22),(22,21),(22,20),0.111276 # DEPENDENCYPART_GRANDSIBL
(4,22),(22,21),(22,19),0.106311 # DEPENDENCYPART_GRANDSIBL
(4,22),(22,21),(22,18),0.0946816 # DEPENDENCYPART_GRANDSIBL
(4,22),(22,21),(22,-1),-0.11251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,22),(22,20),(22,19),0.110161 # DEPENDENCYPART_GRANDSIBL
(4,22),(22,20),(22,18),0.107913 # DEPENDENCYPART_GRANDSIBL
(4,22),(22,20),(22,-1),-0.0728294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,22),(22,19),(22,18),0.0971193 # DEPENDENCYPART_GRANDSIBL
(4,22),(22,19),(22,-1),-0.0713204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,22),(22,18),(22,-1),-0.0514264 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,23),(23,23),(23,24),-0.0272193 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,23),(23,23),(23,-1),-0.0452485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,1),(1,2),0.116289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,3),0.0892087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,4),0.0930357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,5),0.117363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,6),-0.0791486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,1),(1,7),-0.0641537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,8),-0.0791486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,9),-0.0730428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,11),-0.0813935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,12),-0.0651782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,23),-0.0641537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,24),0.150989 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,2),(1,3),0.102861 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,4),0.102861 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,5),0.10156 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,6),-0.0642549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,2),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,8),-0.0642549 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,9),-0.0642675 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,11),-0.0642871 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,12),-0.0641868 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,24),0.00542802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,3),(1,4),0.10248 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,5),0.102005 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,6),-0.0641704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,3),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,8),-0.0641704 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,9),-0.0641465 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,11),-0.0641704 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,12),-0.0647451 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,24),-0.0741691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
