# _root_ Similarly , Agfa is sponsoring scores of photography contests at high schools and colleges , offering free black-and-white film and paper as prizes .
#goldHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
#predictedHeads=4,4,4,0,4,5,6,9,7,5,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
(3,6),(6,17),(6,25),-0.0469752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,19),(6,20),-0.0422582 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,19),(6,22),-0.0424437 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,19),(6,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,19),(6,25),-0.0360208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,20),(6,22),-0.0425464 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,20),(6,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,20),(6,25),0.0294185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,22),(6,24),-0.0336248 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,22),(6,25),-0.0522897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,24),(6,25),-0.0420452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,5),0.0939039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,3),0.104595 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,2),-0.0644884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,1),-0.0641463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,-1),-0.076999 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,5),(6,3),0.103023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,5),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,-1),-0.0723519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,3),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,3),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,3),(6,-1),-0.0907704 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,2),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,2),(6,-1),-0.0696893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,1),(6,-1),-0.0718502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,2),0.0921655 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,3),0.102429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,4),-0.0643485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,1),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,6),-0.0641516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,7),-0.0659186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,10),-0.0659096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,24),-0.064514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,25),-0.0715938 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,2),(1,3),0.102007 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,4),-0.0641462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,2),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,7),-0.0642229 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,10),-0.0642229 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,25),-0.0716077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,25),-0.057421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,4),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,24),-0.0641689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,25),-0.0505333 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,5),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,25),-0.0701524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,6),(1,7),-0.0646155 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,10),-0.0645908 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,24),-0.0641466 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,25),-0.0908936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,7),(1,10),-0.0641534 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,24),-0.0642697 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,25),0.0128269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,10),(1,24),-0.0642697 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,25),0.00983968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,24),(1,25),-0.0487997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,-1),0.116422 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,3),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,25),0.0151626 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,3),(2,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,2),(2,1),-0.0522572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,-1),0.0364811 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,1),(2,-1),-0.0483322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,4),-0.0685863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,3),(3,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,6),-0.0641645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,25),-0.0502449 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,4),(3,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,25),-0.130196 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,5),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,25),-0.0545714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,6),(3,25),-0.0611601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,2),-0.0291669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,1),-0.0282195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,-1),0.0414744 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,2),(3,1),-0.0365947 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,2),(3,-1),-0.123327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,1),(3,-1),-0.0348997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,6),0.00462507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,7),-0.0831864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,8),0.0101047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,9),0.00462507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,10),-0.0727909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,11),-0.037769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,12),0.00462507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,13),-0.0670353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,14),0.00462507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,15),-0.0628604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,16),-0.0421265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,20),-0.0670353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,22),-0.0723246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,25),0.0991109 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,6),(5,7),0.0161242 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,8),-0.0394088 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,9),-0.0403485 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,10),0.0189115 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,11),-0.0272864 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,12),-0.0403485 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,13),-0.0536419 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,14),-0.0403485 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,15),-0.0323729 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,16),-0.0485188 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,20),-0.0536419 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,22),0.0216029 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,25),-0.0735956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,7),(5,8),-0.0504271 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,9),-0.0391248 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,10),-0.0598886 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,11),-0.0438825 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,12),-0.0391248 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,13),-0.0280666 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,14),-0.0391248 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,15),-0.0226192 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,16),-0.0363835 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,20),-0.0280666 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,22),-0.0662096 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,25),0.0208862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,8),(5,9),-0.0468569 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,10),-0.0493277 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,11),-0.042855 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,12),-0.0468569 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,13),-0.0512642 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,14),-0.0468569 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,15),-0.0276516 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,16),-0.031183 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,20),-0.0512642 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,22),-0.043958 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,25),-0.00132111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,9),(5,10),0.0189115 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,11),-0.0272864 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,12),-0.0403485 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,13),-0.0536419 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,14),-0.0403485 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,15),-0.0323729 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,16),-0.0485188 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,20),-0.0536419 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,22),0.0216029 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,25),-0.0735956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,10),(5,11),-0.0438825 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,12),-0.0400753 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,13),-0.0262953 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,14),-0.0400753 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,15),-0.0236202 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,16),-0.0345765 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,20),-0.0262953 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,22),-0.0740546 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,25),0.0474195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,11),(5,12),-0.0421997 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,13),-0.0469051 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,14),-0.0421997 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,15),-0.0424678 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,16),-0.0424489 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,20),-0.0469051 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,22),-0.0425493 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,25),-0.0623835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,12),(5,13),-0.0536419 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,14),-0.0403485 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,15),-0.0323729 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,16),-0.0485188 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,20),-0.0536419 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,22),0.0240358 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,25),-0.0756538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,13),(5,14),-0.043679 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,13),(5,15),-0.0439917 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,13),(5,16),-0.0430425 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,13),(5,20),-0.0420178 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,13),(5,22),-0.0729451 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,13),(5,25),-0.0391549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,14),(5,15),-0.0323729 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,14),(5,16),-0.0485188 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,14),(5,20),-0.0536419 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,14),(5,22),0.0216029 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,14),(5,25),-0.0735956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,15),(5,16),0.0103381 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,20),-0.0632964 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,22),-0.00640094 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,25),-0.0770196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,16),(5,20),-0.0432086 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,16),(5,22),-0.0437484 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,16),(5,25),0.0123453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,20),(5,22),-0.0729451 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,20),(5,25),-0.0391549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,22),(5,25),0.0211092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,3),-0.0644906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,2),-0.0641547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,1),-0.0678231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.0987364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,3),(5,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,1),-0.0658141 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,-1),-0.0628747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,2),(5,1),-0.0641995 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,2),(5,-1),-0.0681927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,1),(5,-1),-0.126287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,7),-0.0676894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,8),-0.0938104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,9),-0.0803847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,10),-0.0742239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,11),-0.0799338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,12),-0.0803847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,13),-0.051219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,14),-0.0803847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,15),-0.0232409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,16),-0.0654417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,17),-0.0806199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,19),-0.0938113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,20),-0.051219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,22),-0.0582353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,24),-0.044509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,25),0.0708108 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,7),(6,8),-0.0503737 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,9),-0.0473293 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,10),-0.0423979 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,11),-0.0478001 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,12),-0.0473293 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,13),-0.0109703 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,14),-0.0473293 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,15),-0.0372831 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,16),-0.036957 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,17),-0.0478001 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,19),-0.0503737 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,20),-0.0109703 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,22),-0.0445499 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,24),-0.0428936 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,25),-0.0408108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,8),(6,9),-0.0421546 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,10),-0.0488566 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,11),-0.0547001 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,12),-0.0421546 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,13),-0.0483019 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,14),-0.0421546 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,15),-0.0479193 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,16),-0.0433289 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,17),-0.0544557 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,19),-0.0464411 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,20),-0.0483019 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,22),-0.048582 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,24),-0.0437355 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,25),-0.0621588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,9),(6,10),-0.040793 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,11),-0.0425907 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,12),-0.0422182 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,13),-0.0472144 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,14),-0.0422182 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,15),-0.0361483 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,16),-0.042021 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,17),-0.0425907 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,19),-0.0424351 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,20),-0.0472144 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,22),-0.0408335 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,24),-0.0428062 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,25),-0.0738951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,10),(6,11),-0.0487411 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,12),-0.0454014 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,13),-0.0332024 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,14),-0.0454014 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,15),-0.0499306 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,16),-0.0386566 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,17),-0.0487411 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,19),-0.0490718 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,20),-0.0332024 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,22),-0.0244454 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,24),-0.0428794 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,25),-0.0530152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,11),(6,12),-0.0398975 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,13),-0.0437717 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,14),-0.0398975 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,15),-0.0416867 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,16),-0.0310494 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,17),-0.0428045 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,19),-0.0382934 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,20),-0.0437717 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,22),-0.0380479 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,25),-0.101064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,12),(6,13),-0.0472144 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,14),-0.0422182 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,15),-0.0361495 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,16),-0.042021 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,17),-0.0425907 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,19),-0.0424351 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,20),-0.0472144 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,22),-0.0408335 # DEPENDENCYPART_GRANDSIBL
