# _root_ Slated for market by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says an Agfa spokesman .
#goldHeads=14,1,2,1,6,4,6,9,7,1,12,14,14,31,14,15,16,20,20,21,17,14,24,25,22,25,25,25,14,14,0,34,34,31,31,
#predictedHeads=14,1,2,1,6,4,6,9,7,14,12,14,14,31,14,15,16,20,20,17,17,14,24,25,22,25,25,27,31,31,0,34,34,31,31,
(0,25),(25,2),(25,1),0.0971719 # DEPENDENCYPART_GRANDSIBL
(0,25),(25,2),(25,-1),-0.0895094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,25),(25,1),(25,-1),-0.00603347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,31),(31,32),-0.0288376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,33),0.0995145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,34),0.00333639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,35),-0.0496751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,36),-0.0747278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,31),(31,32),(31,33),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,32),(31,34),0.00993768 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,32),(31,35),-0.0518644 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,32),(31,36),-0.045575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,33),(31,34),-0.0267475 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,33),(31,35),0.026328 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,33),(31,36),-0.140808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,34),(31,35),-0.0301451 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,34),(31,36),-0.11507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,35),(31,36),0.072288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,31),(31,30),0.128148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,29),0.0776443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,28),0.152903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,27),0.14901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,26),0.158162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,25),0.102821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,24),0.192051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,22),0.0262125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,21),0.158212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,20),0.189186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,17),0.0901651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,16),0.0901624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,15),0.0958852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,14),0.130151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,13),0.0539097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,12),0.190969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,4),0.120055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,2),0.132661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,1),0.0901651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,31),(31,31),(31,-1),-0.140197 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,31),(31,30),(31,29),0.143487 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,28),0.102584 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,27),0.102575 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,26),0.102584 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,25),0.138104 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,24),0.0905855 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,22),0.100117 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,21),0.102584 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,20),0.0902583 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,17),0.102587 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,16),0.102587 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,15),0.109392 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,14),0.101165 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,13),0.0694724 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,12),0.0905855 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,4),0.0916035 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,2),0.0919114 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,1),0.10258 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,30),(31,-1),-0.0711456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,29),(31,28),0.0572256 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,27),0.062557 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,26),0.0640083 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,25),0.123139 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,24),0.0906241 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,22),0.0801367 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,21),0.0597175 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,20),0.090414 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,17),0.154615 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,16),0.155275 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,15),0.161122 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,14),0.153312 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,13),0.108141 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,12),0.0872926 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,4),0.121896 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,2),0.124768 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,1),0.155815 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,29),(31,-1),0.0801676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,28),(31,27),0.116681 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,26),0.115406 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,25),0.103038 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,24),0.139388 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,22),0.0743107 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,21),0.115406 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,20),0.138027 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,17),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,16),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,15),0.102298 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,14),0.102098 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,13),0.0891582 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,12),0.139774 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,4),0.0567223 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,2),0.0602831 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,1),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,28),(31,-1),-0.0850272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,27),(31,26),0.117945 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,25),0.102915 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,24),0.13373 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,22),0.0730309 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,21),0.117945 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,20),0.132368 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,17),0.0989528 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,16),0.0989528 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,15),0.101463 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,14),0.101395 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,13),0.0870834 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,12),0.134115 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,4),0.059807 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,2),0.0633679 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,1),0.0989528 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,27),(31,-1),-0.0871867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,26),(31,25),0.103036 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,24),0.13828 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,22),0.0756937 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,21),0.114998 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,20),0.136918 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,17),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,16),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,15),0.102298 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,14),0.102097 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,13),0.0891582 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,12),0.138665 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,4),0.0591355 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,2),0.0626964 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,1),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,26),(31,-1),-0.0790155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,25),(31,24),0.0951155 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,22),0.102123 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,21),0.100975 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,20),0.0951155 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,17),0.103069 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,16),0.103069 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,13),0.164383 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,12),0.0951155 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,4),0.10177 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,2),0.101766 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,1),0.103069 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,25),(31,-1),-0.0102205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,24),(31,22),0.160468 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,21),0.0879248 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,20),0.0939315 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,17),0.0961271 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,16),0.096127 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,15),0.105413 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,14),0.102458 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,13),0.0855718 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,12),0.0972716 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,4),0.103172 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,2),0.104311 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,1),0.0961271 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,24),(31,-1),-0.0929544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,22),(31,21),0.0984375 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,20),0.103047 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,17),0.102705 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,16),0.102705 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,15),0.103069 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,13),0.163289 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,12),0.103047 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,4),0.100761 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,2),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,1),0.102705 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,22),(31,-1),-0.00983677 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,21),(31,20),0.133658 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,17),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,16),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,15),0.102298 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,14),0.102096 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,13),0.0885085 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,12),0.135405 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,4),0.0591355 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,2),0.0626964 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,1),0.0998046 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,21),(31,-1),-0.0792469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,20),(31,17),0.0961271 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,16),0.096127 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,15),0.105413 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,14),0.102458 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,13),0.0811594 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,12),0.0983161 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,4),0.100263 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,2),0.101402 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,1),0.0961271 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,20),(31,-1),-0.0991161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,17),(31,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,15),0.101814 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,13),0.102713 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,12),0.100186 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,4),0.100812 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,2),0.100812 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,1),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,17),(31,-1),-0.0309638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,16),(31,15),0.101814 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,16),(31,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,16),(31,13),0.102713 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,16),(31,12),0.100186 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,16),(31,4),0.100812 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,16),(31,2),0.100812 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,16),(31,1),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,16),(31,-1),-0.0314652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,15),(31,14),0.103019 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,15),(31,13),0.137125 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,15),(31,12),0.111245 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,15),(31,4),0.102815 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,15),(31,2),0.102815 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,15),(31,1),0.10307 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,15),(31,-1),-0.0498179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,14),(31,13),0.0990796 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,14),(31,12),0.10041 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,14),(31,4),0.101154 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,14),(31,2),0.101146 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,14),(31,1),0.103024 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,14),(31,-1),0.0218943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,13),(31,12),0.0944887 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,13),(31,4),0.0943713 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,13),(31,2),0.0941179 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,13),(31,1),0.103058 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,13),(31,-1),0.00320055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,12),(31,4),0.100411 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,12),(31,2),0.10155 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,12),(31,1),0.0961271 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,12),(31,-1),-0.0964359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,4),(31,2),0.118933 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,4),(31,1),0.101243 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,4),(31,-1),-0.0734791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,2),(31,1),0.101243 # DEPENDENCYPART_GRANDSIBL
(0,31),(31,2),(31,-1),-0.0720829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,31),(31,1),(31,-1),-0.0309638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),-0.013983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,4),-0.12135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,6),-0.00939376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,7),-0.0856067 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,36),-0.0781793 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,3),(2,4),-0.043956 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,6),-0.0509558 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,7),-0.0423006 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,36),-0.0372763 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,4),(2,6),-0.0378157 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,7),-0.0430601 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,36),0.00367468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,6),(2,7),-0.0422455 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,36),-0.03089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,7),(2,36),-0.0215315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,1),0.0991718 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),-0.0772661 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.0675657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,4),-0.0697314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,6),-0.0582923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,7),-0.0909637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,9),-0.0634594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,10),-0.00545506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,14),-0.05976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,36),0.020152 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,4),(3,6),-0.0483769 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,7),-0.0584174 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,9),-0.0493405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,10),-0.0616786 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,14),-0.0366045 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,36),-0.0325319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,6),(3,7),-0.0396138 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,9),-0.0428724 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,10),-0.0549798 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,14),-0.0427914 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,36),-0.0555306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,7),(3,9),-0.0550449 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,10),-0.0698039 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,14),-0.0364529 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,36),-0.0112862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,9),(3,10),-0.0564846 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,14),-0.0427914 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,36),-0.0560984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,10),(3,14),-0.0228436 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,36),-0.0554959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,14),(3,36),-0.0174267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,2),0.105356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,1),0.0895596 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,-1),-0.108639 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,2),(3,1),0.101851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,2),(3,-1),-0.0355834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,1),(3,-1),-0.0933237 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,5),-0.0690033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,6),0.0782137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,7),-0.0788422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,9),0.0808181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,10),-0.067815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,14),-0.0310025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,36),-0.123255 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,5),(4,6),-0.0426267 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,7),-0.0423581 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,9),-0.0426279 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,10),-0.0455565 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,14),-0.0421938 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,36),-0.0631378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,6),(4,7),-0.0432748 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,9),-0.0512374 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,10),-0.0185036 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,14),-0.042017 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,36),0.0587386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,7),(4,9),-0.0243612 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,10),-0.0422213 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,14),-0.0370547 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,36),0.0167123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,9),(4,10),-0.0181719 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,14),-0.042017 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,36),0.0692387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,10),(4,14),-0.0418831 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,36),-0.0693451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,14),(4,36),-0.0242092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.0945981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
